kĩ	a
kũingĩha	extended
kwandandũra	extension
ũraihu	extent
nja	external
thiru	extinct
mangĩ	extra
ingĩ	extra
kuruta	extract
ya mwanya	extraordinary
mũkiru	extreme
mũno mũno	extremely
maitho	eye
maitho	eyes
nguo	fabric
nĩ kĩega mũno	fabulous
ũthiũ	face
gũteithĩrĩria	facilitate
indo cia gwaka	facilities
mwako	facility
ũhoro wa ma	fact
ũndũ	factor
kĩganda	factory
ũhoro wa ma	facts
kũhunyũka	fade
kũremwo	fail
kũgwa	failed
kwaga kũhingia	failure
kũringĩka	faint
waraganu	fair
na njĩra njega	fairly
waragania	fairy
wĩtĩkio	faith
kwĩhokeka	faithful
maheeni	fake
kũgũa	fall
maheeni	FALSE
igweta	fame
kũmenya na ũkuruhanu	familiar
bamiri	family
ng'aragu	famine
mũndũ wĩ igweta	famous
cambiki	fan
kĩndu kia mwanya	fancy
ũndũ mwega mũno	fantastic
kũraya mũno	far
thĩĩ na wega	farewell
mũgũnda	farm
mũrĩmi	farmer
nĩ wa magegania	fascinating
mũtugo	fashion
na ihenya	fast
maguta	fat
mũũru	fatal
mũtino	fate
ithe wa mundu	father
mĩnoga	fatigue
mahĩtia	fault
ũrĩa wendete	favorite
gwĩtĩkĩrĩka	favour
ũrĩa wendete	favourite
guoya	fear
gĩathĩ	feast
ithagu	feather
mũhiano	feature
maũndũ	features
mweri wa ĩrĩ	february
gũkinya mũico	fed up
thogora	fee
kuhe irio	feed
macokio	feedback
kũigua	feel
kũigua	feeling
magũrũ	feet
akĩgũa	fell
mũruna	fellow
kũigwa	felt
mũndũ mũka	female
rũgiri	fence
mũnoru	fertile
gĩathĩ	festival
gwetha	fetch
kũhiũha mwiri	fever
tũnini	few
tũnini	fewer
mwendwa	fiance
ng'ano	fiction
kiharo	field
wira	field
kũmakania	fierce
ikũmi na ithano	fifteen
mĩrongo ĩtano	fifty
kũrũa	fight
mararũa	fighting
namba	figure
ta wĩcirie	figure out
bairu	file
kũiyũra	fill
ĩiyũrĩtwo	filled
thenema	film
kĩrĩ na gĩko	filthy
mũthia-inĩ	finally
mbeca	finance
mbeca	financial
kuona	find
kũmenya	find out
wega	fine
kĩara	finger
gũtiriha	finish
nĩ yathira	finished
mwaki	fire
kĩrũmu	firm
wa mbere	first
rĩĩtwa rĩa mbere	first name
thamaki	fish
kũiganu	fit
ithano	five
gũtura	fix
gĩture	fixed
bendera	flag
ũtheri	flash
haraganu	flat
mawathe	flaw
itarĩ na mahĩtia	flawless
kũũra	flee
nyama	flesh
kũũmbũka	flew
kũhiũha	flex
kũgarũrũka	flexible
rũgendo	flight
kũgarũra	flip
kũringa itheru	flirt
gũthaka	flirting
kũrera	float
kĩguũ	flood
thĩ ya nyumba	floor
mũtu	flour
gũtherera	flow
ihua	flower
homa	flu
kwaria wega	fluent
na njĩra njega	fluently
mũtungu	fluffy
maĩ	fluid
kũumbuka	fly
kũrũngiriria meciria	focus
kĩbii	fog
kĩbii	foggy
gũkũnja	fold
inyuĩ andũ akwa	folks
kũrũmĩrĩra	follow
kũrũmĩrĩra	follow up
thutha ũcio	following
irio	food
mũndũ mũkĩĩgu	fool
kĩrimũ	foolish
kugũrũ	foot
mũbira wa magũrũ	football
harĩ	for
Kwa mũhiano	For example
kwa ngerekano	for instance
nĩ ũndũ waku	for you
kũgirio	forbidden
gũtindĩkĩrĩria	force
kũratha	forecast
mũtwe	forehead
kindu gia bururi ungi	foreign
mũtitũ	forest
nginya tene	forever
kuriganirwo	forget
kũohera	forgive
kũriganĩirũo	forgot
hũma	fork
mũhianĩre	form
gĩthomo	formal
tene	former
kwa munyaka	fortunately
ũtonga	fortune
mĩrongo ĩna	forty
mĩrongo ĩna na ĩgĩrĩ	forty-two
mbere	forward
mũciari	foster
kũrũa	fought
nĩ monire	found
mũthingi	foundation
inya	four
ikumi na ĩnya	fourteen
mbwe	fox
gĩtarĩ hinya	fragile
buremu	frame
mũhianĩre	framework
wũici	fraud
mũgũrũki	freak
tũhũ	free
wĩyathi	freedom
kũgia na heho nene	freeze
ngengecua-inĩ	frequency
maita maingĩ	frequent
kaingĩ muno	frequently
kĩerũ	fresh
mũthenya wa gatano	friday
frinji	fridge
mũrata	friend
ũrata	friendly
arata	friends
ũrata	friendship
kuigua guoya	frightened
kũmakania	frightening
kĩura	frog
kuuma	from
mwena wa mbere	front
macinĩtwo	frozen
itunda	fruit
gũkua ngoro	frustrated
maguta	fuel
Fulfulde	Fulfulde
kĩiyũrĩte	full
gĩkeno	fun
iruga	function
kuruta wĩra	function
ũndũ wa bata	fundamental
mathiko	funeral
undu wa guthekania	funny
guoya	fur
nĩ marakara	furious
indo cia mbao	furniture
ningĩ	further
ningĩ	furthermore
mahinda mokĩte	future
kũgĩa	gain
mũthako	game
mwanya	gap
ngaranji	garage
mborera	garbage
mũgũnda	garden
ngigĩ	garlic
kĩhingo	gate
gũcookanĩrĩria	gather
gũcokanĩrĩria	gathering
gĩthimi	gauge
aheyanire	gave
indo cia gũcuuria	gear
mwĩrĩ	gender
muingĩ	general
kaingĩ	generally
kũruta	generate
rũciaro	generation
mũtugi	generous
mũũgĩ	genius
rũgano	genre
mũhooreri	gentle
ma	genuine
ciĩko	gesture
kũgĩa	get
wĩhumbe	get dressed
ũkĩra	get up
ũrohona na ihenya	get well soon
kũgĩa	getting
roho	ghost
gũtigana	ghosting
njamba nene	giant
kĩheo	gift
tangaũthi	ginger
mũirĩtu	girl
mũrata wakwa mũiritu	girlfriend
kũheana	give
gũteyaniria	give up
kũheo	given
gukena	glad
kũrora	glance
ngirathi	glass
ngirathi	glasses
kuona na maitho	glimpse
thĩ yothe	global
gũtukia gĩthiithi	gloomy
indo cia moko	gloves
ũtheri	glow
ũtheri	glow up
ngamu	glue
thiĩ	go
thiĩ na mbere	go ahead
thiĩ	go away
thiĩ ũgakome	go to bed
muoroto	goal
mĩoroto	goals
mbũri	goat
ngai	god
ngai arokũrathima	god bless you
ĩrathiĩ	goes
gũthiĩ	going
gũthiĩ	going to
thahabu	gold
nĩ athiĩte	gone
nĩ ngũthiĩ	gonna
Kiguũ	goo
wega	good
miaraho miega	good afternoon
thĩĩ na wega	good bye
mũthenya mwega	good day
Ũtukũ mwega	good evening
wĩra mwega	good job
nĩ mũthaka	good looking
Nĩ ndakwendithiria mũnyaka	good luck
ũhoro wa ruci-inĩ	good morning
rũci-ini rwega mwendwa wakwa	good morning my love
utukũ mwega	good night
kuuganira uhoro	goodbye
utukũ mwega	goodnight
mirigo	goods
Google	Google
Ũtaũri wa Google	Google Translate
mbata	goose
kĩega mũno	gorgeous
mũhuhu	gossip
nĩ ngũkinyĩra	got
nĩ ndamenya	got it
thirikari	government
kũgutha	grab
gĩkiro	grade
kahora kahora	gradually
mũrutwo	graduate
ngano	grain
kuheyana ũteithio	grant
kũheo	granted
thabibũ	grapes
kũnyiita	grasp
nyeki	grass
ngatho	grateful
ngatho	gratitude
mbĩrĩra	grave
rangi wa grey	gray
wega mũno	great
ũkoroku	greed
ũkoroku	greedy
rangi wa ngirini	green
kũgeithia	greet
kũgeithia	greeting
ngeithi	greetings
rangi wa grey	grey
kĩbara	grid
ihooru	grief
gũthĩa	grind
kũnyiita	grip
thoko ya indo cia kũrũga	grocery
mũhikania	groom
ũndũ mũũru	gross
thĩ	ground
gĩkundi	group
gũkũra	grow
gũkũra	growth
mũndu ũri na marakara ma na ihenya	grumpy
Guarani	Guarani
ũira	guarantee
mũrangĩri	guard
gwikuira	guess
mũgeni	guest
ũtongoria	guidance
gũtongoria	guide
ũcuke	guilty
mũndũ	guy
inyuĩ andũ	guys
nyũmba ya mĩthako	gym
mũtugo	habit
mũtũũrĩre	habitat
warĩ	had
mbura ya mbembe	hail
njuĩrĩ	hair
nuthu	half
nyũmba ya mĩcemanio	hall
guoko	hand
kũhiurania	handle
mũthaka	handsome
gũcuria	hang
gũikarania	hang out
kũhaanĩka	happen
nĩ gwekĩkire	happened
gĩkeno	happiness
gĩkeno	happy
mũthenya mwega wa gũciarwo	happy birthday
gia na mũthenya mwega wa gũciarwo	happy birthday to you
mwaka mwerũ mwega	happy new year
hinya	hard
o na hanini	hardly
ti muno	hardly ever
gũthũkia	harm
gũthũkia	harmful
ũrũmwe	harmony
kĩrũmu	harsh
kugetha	harvest
hihi	has
gũthũũra	hate
kũgĩa	have
gĩa na mũthenya mwega	have a good day
gĩa na mũthenya mwega	have a nice day
rĩa irio cia rũcinĩ	have breakfast
wĩkenie	have fun
nĩ ũrite	have you eaten
kũgĩa na	having
ũgwati	hazard
kĩbii	haze
we	he
nĩ arĩ	he has
nĩ we	he is
mũtwe	head
guturwo ni mũtwe	headache
kũhonia	heal
kũhonio	healing
ũgima wa mwĩrĩ	health
ũrĩ na ũgima mwega wa mwĩrĩ	healthy
kuigua	hear
kũigua	heard
ngoro	heart
ũrugarĩ	heat
matu-inĩ	heaven
kĩritũ	heavy
mĩhang’o mĩingĩ	hectic
uraihu	height
mũgai	heir
kũiya	heist
gũkorwo	held
icua-inĩ	hell
Ũhoro waku	Hello
ũhoro waku mwendwa wakwa	hello dear
nĩndakũgeithia, uhana atia	hello how are you
nĩndakũgeithia	hello how are you doing
ngũbia	helmet
ũteithio	help
nĩ ũteithio	helpful
nĩ ũndũ ũcio	hence
nake	her
rũũru	herd
haha	here
ũtonga	heritage
gũtithia	hesitate
Geithika	Hey
Geithika	Hi
nĩndakũgeithia, ũhana atia	hi how are you
Nĩndakũgeithia	Hi there
kũhithwo	hidden
kuhitha	hide
mũtaratara wa utongoria	hierarchy
goro	high
iguru	high
gũkindĩra	highlight
rũgendo	hike
gũceera	hiking
gũthekania mũno	hilarious
kĩrĩma	hill
we mwene	him
kĩmenyithia	hint
kĩero	hip
ciero	hips
gũkombora	hire
kwandika andũ wĩra	hiring
wake	his
historĩ	history
kũgũtha	hit
gũtangĩka	Hmm
maũndũ ma gwĩkenia	hobby
nyita	hold
nyitĩrĩra	hold on
irima	hole
thigũku	holiday
irima	hollow
mũciĩ	home
mawĩra ma mũciĩ	homework
mũndũ wa ma	honest
na ma	honestly
Ũũkĩ	Honey
gĩtĩo	honor
ĩtura	hood
nduano	hook
kũruga	hop
kĩĩrĩgĩrĩro	hope
nĩ ngwĩhoka	hopefully
gũtarĩ kĩĩrĩgĩrĩro	hopeless
na igũrũ	horizontal
rũhĩa	horn
ũndũ wa kũmakania	horrible
ũndũ wa kũmakania	horror
mbarathi	horse
thibitarĩ	hospital
ũtugi	hospitality
mũnyitani ugeni	host
kũhinyĩrĩria	hostile
kihiu	hot
mũkawa	hotel
thaa	hour
mathaa	hours
nyũmba	house
mũciĩ	household
atĩa	how
ĩĩ wee ũkuona atĩa	how about you
ũhana atia	how are you
uhaana atĩa	how are you doing
Ũhana atia umuthi	how are you doing today
ũhana atĩa ũmũthĩ	how are you today
ũhana atĩa	how do you do
atĩa	how is
nĩ aigana	how many
thogora ni uriku	how much
maigana	how often
ũrĩ na mĩaka ĩigana	how old are you
mũthenya waku ukũhanaga atĩa	how was your day
ũtukũ waku ũratariĩ atĩa	how was your night
o na kũrĩ ũguo	however
kĩhumo	hub
mũthuri wakwa	hubby
kũhĩmbĩria	hug
nĩ mũnene mũno	huge
mũndũ	human
mwĩnyihia	humble
ũgunyu	humid
ũrugarĩ	humidity
igana rĩmwe	hundred
kũhũta	hungry
kũhita	hunt
kĩhuhũkanio	hurricane
hiuha	hurry
hiuha	hurry up
kũgurario	hurt
mũthuri wa mundu	husband
kũruta wira	hustle
thingira	hut
ũtheru	hygiene
Nĩi	I
Nĩ niĩ	I am
Ndĩ mwega	I am fine
No hote	I can
Ndingĩhota	I can't
Nĩ ndĩrenda	I do
Ndiũĩ	I do not know
Ndirataukĩrĩrwo	I do not understand
ndingĩigua ũguo	I don't
Ndiũĩ	I don't know
Ndirataũkĩrũo	I don't understand
Ndirataũkĩrwo ũrĩa ũrauga	I don't understand what you mean
Ndirataukirwo ni uria urauga	I don't understand you
Ndiũĩ	I don’t know
Ndirataukirwo	I don’t understand
ngwĩciria	i guess
Nĩ ndaarĩ	I had
nĩ ndĩ na	I have
Nĩngoretwo	I have been
Ngwĩhoka ũguo	I hope so
Nĩ njũĩ	I know
Nĩ nyendete	I like
nĩ ngwendete	I like you
Nĩ nyendete	I love
Nĩ nyendete mũrũ wa maitũ ũrĩa mũkũrũ	I love my big brother
Nĩ nyendete mwarĩ wa maitũ ũrĩa mũkũrũ	I love my big sister
Nĩ nyendete baba	I love my father
Nĩ nyendete mũrũ wa maitũ ũrĩa mũnini	I love my little brother
Nĩ nyendete mwarĩ wa maitũ ũrĩa mũnini	I love my little sister
Nĩ nyendete mami	I love my mother
Nĩ ngwendete	I love you
Nĩ ngwendete mũno	I love you so much
O na niĩ nĩ ngwendete	I love you too
Nĩ ta kuuga	I mean
Nĩ ndĩmwĩrigagirira mũno	I miss you
nĩ ndĩmwĩriragĩria mũno	I miss you so much
niguo	I see
Ngwĩciria	I think
Nĩ ndataukirwo	I understand
Nĩ ngwenda	I want
Nĩ ngwenda gũkuona	I want to see you
Nĩ ndĩrakwenda	I want you
Nĩ ndaarĩ	I was
Nĩngwĩka ũguo	I will
Ingĩkorwo	I would be
Nĩ niĩ	I'm
Ndĩ mwega	I'm fine
ndĩ mwega	I'm good
Ndĩ haha	I'm here
Nĩ ndacunga muhera	I'm sorry
mbarabu	ice
rĩciria	idea
wagĩrĩire	ideal
ihunaine	identical
kũonania	identify
wĩĩmenyo	identity
kĩrimũ	idiot
gũtarĩ ũndũ wa gwĩka	idle
angĩkorũo	if
kũhũthia	ignore
kũrũara	ill
mũgarũ na watho	illegal
mũrimũ	illness
Ilocano	Ilocano
mbica	image
ta hũũra mbica	imagine
oo rimwe	immediate
oo rimwe	immediately
nĩ mũnene mũno	immense
kuhutia	impact
ndarĩ na wetereri	impatient
kũhingia	implement
kũrehe	import
cia bata	important
kũigĩrĩra	impose
ndũngĩhoteka	impossible
gũkenia	impress
mũonekana	impression
nĩ wa magegania	impressive
kwambatiria	improve
gũkũra	improvement
thĩinĩ	in
ngĩongerera	in addition
Ma nĩ atĩ	In fact
mbere ya	in front of
nĩguo	in order to
itarĩ njega	inappropriate
kĩheo	incentive
ũndũ ũcio	incident
nĩ hamwe na	include
hamwe na	including
ithukuma	income
kwaga kũiganĩra	inconvenience
kwongerereka	increase
kwongerereka	increased
nĩ wa magegania	incredible
hatarĩ nganja	indeed
mwĩyathi	independent
Bũrũri wa India	India
kuonania	indicate
cia ndũire	indigenous
mũndũ kiumbe	individual
kiganda	industry
ũndũ ũtangĩhithĩka	inevitable
kaana	infant
mũrimũ	infection
ũturo wothe	infinity
mĩrimũ wa kuimba	inflammation
thogora wa thĩ	inflation
ũgucania	influence
kũmenyithia	inform
ũhoro	information
indo iria irĩ thĩinĩ	ingredients
igai	inheritance
kĩambĩrĩria	initial
riambiriria	initiative
kũgurario	injured
kũgurara	injury
matarĩ na mahĩtia	innocent
ũthunduri	innovation
ũthuthuria	inquiry
mũndũ mũguruki	insane
nyoni	insect
kwaga mwĩhoko	insecure
gathika	insert
thĩinĩ	inside
ũtaũku	insight
gũthing'ĩrĩria	insist
kwaga toro	insomnia
kũgucĩrĩrio	inspiration
kũhe ngoro	inspire
kũgathĩka	install
ngerekano	instance
o rĩmwe	instant
handũ ha ũguo	instead
handũ ha	instead of
motaaro	instructions
kĩnanda	instrument
kũrumwo	insult
thiirĩ	insurance
ĩtarĩ na mahĩtia	intact
wĩhokeku	integrity
muthomi	intellectual
ũũgĩ	intelligence
njũgĩ	intelligent
kũbanga	intend
kwĩrĩgĩrĩra	intended
na hinya	intense
itanya	intention
gũkuruhana	interact
kũiguithania	interaction
wendi	interest
nĩ ndĩrenda	interested
kuguciriria	interesting
kũingĩrĩra	interfere
gatagatĩ-inĩ	intermediate
thĩinĩ	internal
kimabũrũri	international
kũrutwo wĩra	internship
gũtaũra	interpret
mũtaũri	interpreter
gũtigithĩria	interrupt
mĩario	interview
gũkũruhana	intimate
thĩinĩ	into
kwambĩrĩria	introduce
kĩambĩrĩria	introduction
mũndũ wĩ mutugo wa kwiikaria ari wiki	introvert
ũtaukĩrwo	intuition
gĩtiagĩrĩire	invalid
gũthundũra	invent
indo iria irĩ kuo	inventory
kwigithia	invest
gũtuĩria	investigate
kũnyitwo ũgeni	invitation
kũnyita ũgeni	invite
iratathi rĩa marĩhi	invoice
kũingĩra	involve
gũkuruhanio	involved
kĩgera	iron
nĩ	is
gĩcigĩrĩra	island
kũhithwo	isolated
kaũndũ	issue
tuũndũ	issues
ũguo	it
ũguo noguo	it is
nĩrĩo	it was
nĩ	it's
nĩ wega	it's ok
nĩ wega	It's okay
kĩndu	item
indo	items
nĩ	its
Nĩ niĩ	I’m
igoti	jacket
njera	jail
mweri wa mwambĩrĩrio	January
gĩkombe	jar
thĩya	jaw
ũiru	jealous
mũhĩnga	jerk
indo cia kwĩgemia	jewelry
wĩra	job
gũteng'era	jogging
kũnyitanĩra	join
njointi	joint
ithekania	joke
mwandĩki wa mohoro	journalist
rũgendo	journey
gĩkeno	joy
mũtuanĩri cira	judge
ngogoyo	juice
mweri wa mugwanja	july
kũrũga	jump
mweri wa gatandatũ	june
mĩrigo	junk
mwaragania	just
no ũguo	just
Ĩka ũguo	just do it
kĩhooto	justice
kuonania kĩhooto	justify
Kalaallisut	Kalaallisut
ũthikĩrĩria	keen
kuiga	keep
thiĩ na mbere	keep it up
kũigwo	kept
mbirika	kettle
cabi	key
kũgũtha	kick
kaana	kid
Nĩ itherũ	kidding
higo	kidney
ciana	kids
Gĩgĩkũyũ	Kikuyu
kũũraga	kill
mũthemba	kind
ũtugi	kind
ta ũguo	kinda
na ũtugi	kindly
ũtugi	kindness
mũthamaki	king
mumunya	kiss
riko	kitchen
hũngũ	kite
kanyau	kitten
iru	knee
nĩ aamenyaga	knew
kahiũ	knife
mũthigari	knight
kũmenya	know
ũmenyi	knowledge
kũmenyekana	known
Konkani	Konkani
Krio	Krio
rũũri	label
wĩra	labor
kunoga	labour
kwaga	lack
ngathĩ	ladder
mũtumia	lady
kũigwo	laid
iria	lake
gatũrũme	lamb
kĩonje	lame
tawa	lamp
mudunda	land
mũgũnda	landscape
rũthiomi	language
ciero	lap
nene	large
muthiya	last
ũndũ wa mũthiya	last but not least
rĩtwa rĩa mũthiya	last name
gucererwo	late
ica ikuhĩ	lately
thutha ũcio	later
ica ikuhĩ	latest
thutha ũcio	latter
gũtheka	laugh
gũtheka	laughing
mĩtheko	laughter
guthundura	launch
nguo thambie	laundry
nyũmba ya guthambĩria nguo	laundry
watho	law
kaharo	lawn
wakiri	lawyer
kũiga	lay
kũiganĩrĩrũo	layer
mũbango	layout
kĩgũũta	lazy
tongoria	lead
mũtongoria	leader
ithangũ	leaf
gũitika	leak
kwĩgiritania	lean
gũthua	leap
kwĩruta	learn
kwĩruta	learning
gũkombora	lease
o na hanini	least
ngothi	leather
thiĩ	leave
mathangũ	leaves
gũtongoria	led
mwena wa ũmotho	left
kũgũru	leg
igai	legacy
watho	legal
rũgano	legend
na kĩhooto	legit
maũndũ ma gwĩkenia	leisure
gũkombera	lend
ũraihu	length
tũnini	less
ũrutani	lesson
reke	let
marũa	letter
nyeni	lettuce
gĩthimi	level
kũhũthĩra mbeca	leverage
mũrigo	liability
library	library
gũcuna	lick
maheeni	lie
maheeni	lies
muoyo	life
kuoya	lift
ũtheri	light
rũheni	lightning
ta	like
no kũhoteke	likely
o ta ũguo	likewise
mũhari	line
Lingala	Lingala
gĩcunjĩ	link
mũrũthi	lion
gĩcũrũcũrũ ta maĩ	liquid
rũrenda	list
thikĩrĩria	listen
gũthikĩrĩria	listening
na njĩra ya biũ	literally
uthomi wa mabuku	literature
giiko	litter
kanini	little
gũtũũra	live
ini	liver
mĩoyo	lives
gũtũũra	living
nyũmba ya gũikara	living room
njagathi	lizard
mũrigo	load
mũgate	loaf
thiirĩ	loan
gĩcigo-inĩ	local
ĩtuura	location
kũhinga	lock
kũhinga	lockdown
mũgogo	log
gutheka muno	lol
ndĩ wiki	lonely
ihinda iraya	long
kiraihu	long
tũtionanĩte kwa ihinda iraihu	long time no see
ta rora	look
gĩkũndo	loop
gute	loose
mwathani	lord
gũte	lose
gũkua	loss
kuura	lost
gĩkundi	lot
na mũgambo mũnene	loud
mũkawa	lounge
wendo	love
nĩ ngwendete	love you
nĩ githaka mũno	lovely
kĩnyinyi	low
thĩ	lower
mwĩhokeku	loyal
wĩhokeku	loyalty
munyaka	luck
mũnyaka	lucky
Luganda	Luganda
mĩrigo	luggage
wũimbo	lump
irio cia mũthenya	lunch
mahũri	lungs
indo cia goro	luxury
maheeni	lying
macini	machine
kuguruka	mad
mũtumi	madam
gũthondekwo	made
ngathĩti	magazine
ũkaru	magnificent
ndungata ya mũciĩ	maid
nene	main
gũtũũria	maintain
ũmenyereri	maintenance
Maithili	Maithili
manene	major
arĩa aingĩ	majority
gũthondeka	make
gũthundura	make up
mũndũrũme	male
thoko ya biacara	mall
mũndũ	man
kũrugamirira	manage
ũrũgamĩrĩri	management
mũrugamiriri	manager
kũbatarania	mandatory
kũonania	manifest
kũhũthĩrwo	manipulate
mutugo	manner
ibuku rĩa gĩkũnjo	manual
nyingĩ	many
nĩndakwendithiria mithenya miingi mũno ta ũmũthĩ	many many happy returns of the day
thoitha	march
ũtiganu	margin
thoko	market
kĩhiko	marriage
ahikanĩtie	married
karembeko	mask
miitha	mass
ũritũ	mass
kĩnene mũno	massive
mwathi	master
kũringana	match
mũrata wakwa	mate
indo cia gwaka	material
mathabu	math
ũhoro	matter
kũgimara	maturity
mweri wa gatano	may
hihi	maybe
niĩ	me
o na niĩ	me too
irio	meal
kũuga ati	mean
ũguo nĩ kuuga	meaning
njĩra	means
ndendaga kuuga	meant
ihinda-inĩ rĩu	meanwhile
guthima	measure
mĩbango	measures
nyama	meat
ũrigitani	medical
ndawa	medicine
gwĩcũrania	meditation
njĩra ya	medium
gũcemania	meet
mũcemanio	meeting
Meiteilon	Meiteilon
gũtweka	melt
kũririkana	memories
Kũririkana	memory
meciria	mental
kũgweta	mention
ũrĩa wagwetetwo	mentioned
mũtaarani	mentor
mũndũ wa biacara	merchant
tha	mercy
o ũguo	merely
kirisimasi njega	merry christmas
mũhĩnga	mess
ndũmĩrĩri	message
giiko	messy
cuma	metal
njĩra	method
mbĩya	mice
gatagatĩ	middle
ũtukũ gatagatĩ	midnight
no kũhoteke	might
kĩnyinyi	mild
ũndũ wa bata mũno	milestone
thigari	military
iria	milk
mirioni	million
meciria	mind
mwĩcirĩrie	mindset
yakwa	mine
gũikarania	mingle
tũnini	minor
ndagĩka	minute
ndagĩka	minutes
kĩama	miracle
gĩcicio	mirror
indo ingĩ	miscellaneous
mũru	mischievous
mũnyamarĩku	miserable
mĩnyamaro	misery
mwarĩ wa Ithe witũ	miss
nĩ ndĩramũririkana	miss you
matirĩ kuo	missing
mũoroto	mission
kĩbii	mist
ihĩtia	mistake
Mizo	Mizo
thimũ	mobile
gũcambia	mock
kĩonereria	model
ũigananĩru	moderate
cia kĩrĩu	modern
kwĩnyihia	modest
ũgũnyu	moist
ũgũnyu	moisture
kũũmba	mold
huko	mole
mami	mom
kahinda	moment
mũthenya wa mwambĩrĩrio	monday
mbeca	money
kurora	monitor
nũgũ	monkey
mweri	month
mwerekera	mood
ũtari mukenu	moody
mweri	moon
mĩtugo	moral
nyingĩ	more
makĩria ma ũguo	moreover
rũcinĩ	morning
ngombo ya nyumba	mortgage
mũno	most
kaingĩ	mostly
nyina	mother
gĩthingithia	motion
kĩyo	motivation
kĩrĩma	mountain
mbĩya	mouse
kanua	mouth
gũthama	move
rũgendo	movement
thenema	movie
mũtumia	mrs
mũno	much
ndoro	mud
gĩkombe	mug
icoka	muscle
nyũmba ya indo cia tene	museum
ikuno	mushroom
nyĩmbo	music
no mũhaka	must
gũkiria	mute
kũiguithania	mutual
wakwa	my
Mwendwa wakwa	My dear
mũrata wakwa	my friend
wendo wakwa	my love
rĩĩtwa rĩakwa nĩ	my name is
ni gĩkeno giakwa	my pleasure
niĩ mwene	myself
wa magegania	mysterious
hitho	mystery
rũgano	myth
rwara	nail
ũtarĩ na ũmenyo	naive
rĩĩtwa	name
rũgano	narrative
haceke	narrow
kĩũru	nasty
bũrũri	national
rũrĩrĩ	nationality
kĩmerera	native
cia ndũire	natural
ũũmbi	nature
kuira ngoro	nausea
hakuhĩhĩirie	near
hakuhĩ	nearby
hakuhĩ	nearly
mũbangĩku	neat
kũbatarania	necessary
ngiingo	neck
mũgathĩ	necklace
bata	need
itagĩrĩire	negative
gũtiganĩria	neglect
kwarĩrĩria	negotiate
mũndũ wa itũũra	neighbor
itũũra	neighborhood
o na kana	neither
mwana wa nyina	nephew
mũndũ mũũgi	nerd
ndĩ na mĩtangĩko	nervous
itara	nest
neti	net
netiwaki	network
kwaga kũnyita mbaru mwena o wothe	neutral
gũtirĩ hĩndĩ	never
Ndũkanateyanĩirie	never give up
ndũkegiye	never mind
Ndũgatangike	nevermind
o na kũrĩ ũguo	nevertheless
kĩerũ	new
mohoro	news
kĩrĩa kĩrũmĩrĩire	next
hakuhĩ na	next to
wega	nice
Nĩ ndakena nĩ gũkũmenya	nice to meet you
mwana wa mwarĩ wa nyina	niece
ũtukũ	night
kĩroto kĩũru	nightmare
kenda	nine
ikũmi na kenda	nineteen
mĩrongo kenda	ninety
Aca	No
gũtirĩ thĩna	no problem
gũtirĩ ũndũ	no way
gũtirĩ mũndũ	nobody
inegene	noise
inegene	noisy
gũtirĩ	none
mĩaraho	noon
aca	nope
o na kana	nor
kawaida	normal
mwena wa rũgongo	north
iniuru	nose
kũigua ihooru	nostalgic
ti ũguo	not
aca ti ũguo	not at all
ti ũũru	not bad
Ti thaa ici	Not now
no ti rĩu	not yet
menya ati	note
kwandika	noted
gũtirĩ ũndũ	nothing
Kũmenyithia	notice
kimenyithia	notice
nĩ monete	noticed
rĩĩtwa	noun
marĩĩtwa	nouns
ibuku ria ng'ano	novel
mweri wa kenda	november
rĩu	now
matukũ-inĩ maya	nowadays
gĩtango	nuisance
tũhũ	null
kũmaka	numb
namba	number
mũrigitani	nurse
mbegũ	nut
mũtũngũrũ	nutmeg
irio	nutrition
mwĩhĩtwa	oath
ũritu mũkĩru wa mwĩrĩ	obesity
gwathĩkĩra	obey
kĩndũ	object
muoroto	objective
wũigiririki	obligation
ũndu ũtoĩkaine	obscure
kwĩrorera	observation
kũrora	observe
kwenda muno	obsessed
kũhinyĩrĩrĩka	obsession
gĩtirĩ na bata	obsolete
mũhĩnga	obstacle
kwĩgwatira	obtain
kũgĩa	obtained
nĩ ũndũ wonekaga	obvious
hatarĩ nganja	obviously
rĩmwe na rĩmwe	occasionally
wĩra	occupation
gũkorwo ukiruta wĩra	occupied
gũuka	occur
nĩ gwekĩkire	occurred
kũhanĩka	occurs
iria	ocean
mweri wa ikumi	october
tũhũ	odd
ũhotekeku	odds
cia	of
ma nĩ atĩ	of course
gũtiga	off
ũru	offensive
kũheana	offer
wabici	office
mũndũ wa thirikari	official
kaingĩ	often
Ĩĩ nĩguo	Oh
ma nĩ atĩ	oh really
maguta	oil
nĩ wega	ok
Nĩguo mwendwa	ok dear
nĩguo, mwendwa	ok honey
nĩguo, mwendwa wakwa	ok my love
nĩ wega	okay
nĩguo mwendwa wakwa	okay baby
nĩguo mwendwa	okay dear
nĩ wega mwendwa	okay honey
nĩ wega, mwendwa wakwa	okay my love
mũndũ mũkũrũ	old
iguru	on
rĩmwe	once
ũmwe	one
rũthiomi rũmwe rũtiiganaga	one language is never enough
gitũngũrũ	onion
intaneti-inĩ	online
o ũguo tu	only
hingũra	open
ũtwarithia	operation
mawoni	opinion
mĩeke	opportunities
mweke	opportunity
mugaru na	opposite
