sere	a
salamakki allampa	good day
salama bangngi	good evening
bajina jama jamanta	good job
gammara	good looking
semoga abbaruntung	good luck
salama baribbasa	good morning
salama baribasa, sayangku	good morning my love
salama bangngi	good night
salama allampa	goodbye
salama bangngi	goodnight
barang barang	goods
Gogele	Google
penterjemah googele	Google Translate
angsa	goose
gammarak dudu	gorgeous
gossi	gossip
gappa	got
pahang	got it
pammarenta	government
anrampasa	grab
nilai	grade
perlahan lahan	gradually
lulusu	graduate
bulir	grain
assare	grant
nisare	granted
angguru	grapes
appakokko	grasp
rumput	grass
sukkuru	grateful
risukkurri	gratitude
kuburan	grave
lango lango	gray
lompo	great
ketamakan	greed
balala	greedy
ijo	green
menyapa	greet
sallang	greeting
sallang	greetings
lango lango	grey
kisi	grid
parrisi nyawa	grief
aggiling	grind
pattigallang	grip
kebutuhan allo allo	grocery
bunting burane	groom
bruto	gross
butta	ground
kalompo	group
ammunjulu	grow
pattimboang	growth
pemarah	grumpy
Guarani	Guarani
anjamin	guarantee
penjaga	guard
nakira	guess
toana	guest
panduan	guidance
angbimbing	guide
panduan	guide
salai	guilty
burane	guy
agan agan	guys
gym	gym
kabiasan	habit
habitat	habitat
lebba	had
akkio	hail
uuk	hair
sitangnga	half
aula	hall
lima	hand
nagaukangi	handle
gammara	handsome
angngentung	hang
siagang nongkrong	hang out
kajarian	happen
lebba kajariang	happened
kasannanngan	happiness
sannang	happy
labbu umuru	happy birthday
salama ulang taung	happy birthday to you
salama tahun beru	happy new year
terasak	hard
sekedde tena	hardly
sikedde tena lebba	hardly ever
loko	harm
allokoki	harm
abbahaya	harmful
harmoni	harmony
kasara	harsh
akkatto	harvest
burakne pata	has
angngurisi	hate
punna	have
semoga allo nu anne bajiki	have a good day
semoga allo allota bajiki	have a nice day
nganre baribbasa	have breakfast
salamakki assannang sannang	have fun
lebba maki nganre	have you eaten
ia pata	having
bahaya	hazard
kabut	haze
burakne	he
dia pata	he has
ia antu	he is
ulu	head
garring ulu	headache
gassing	heal
pagassingngang	healing
kagassingang	health
gassing	healthy
allangngere	hear
allangngere	heard
ating	heart
bambang	heat
dibambangi	heat
suruga	heaven
battala	heavy
sibuk sanna	hectic
longga	height
ahli waris	heir
parampokan	heist
rita'gala	held
naraka	hell
Halo	Hello
halo, sayang	hello dear
halo apa kabar anntu	hello how are you
halo ante kamma kabara	hello how are you doing
helm	helmet
nabantu	help
matu matu	helpful
saba antu	hence
bai'baine	her
kawanang	herd
anrinni	here
warisan	heritage
ragu ragu	hesitate
hei ante kamma antu kabara	hi how are you
woy anjorengnga	Hi there
accakko	hidden
accakko	hide
hirarki	hierarchy
tinggi	high
menyorot	highlight
annai	hike
lintas alam	hiking
pakakkala	hilarious
moncong	hill
ia	him
appijo'jo	hint
aya	hip
panggul	hips
ampanjama	hire
appakajama	hiring
ia pata	his
sejarah	history
ammajji	hit
hmm	Hmm
hobbi	hobby
naggala	hold
tayang	hold on
kalibon	hole
allo libur	holiday
kosong	hollow
balla	home
jama jaman balla	homework
jujuru'	honest
sitojenganna	honestly
anghormati	honor
akkalepu	hood
kai	hook
allumpa	hop
panggullei	hope
harapang	hope
semoga	hopefully
tena harapang	hopeless
horisontala	horizontal
pippi	horn
appakamalla	horrible
kengerian	horror
jarang	horse
balla garring umum daerah	hospital
keramahan	hospitality
patanna balla	host
annarima tamu	host
agresif	hostile
bambang	hot
hotele	hotel
jam	hour
jam	hours
balla	house
rumah tangga	household
antekamma	how
antekamma ikau	how about you
apa kareba	how are you
antekamma kabara'nu	how are you doing
antekamma kabara'nu anne alloa	how are you doing today
ante kamma kabaratta	how are you today
anteng kamma kabaratta	how do you do
antekamma	how is
siapa jaina	how many
siapa ballinna	how much
siapa serringna	how often
siapa umurunu	how old are you
ante kamma kabarata anne alloa	how was your day
antekamma bangnginu	how was your night
ingka	however
pusa	hub
bura'ne	hubby
pelukan	hug
arraka	hug
lompo dudu	huge
tautau	human
rendah hati	humble
akmasak	humid
kelembaban	humidity
ratus	hundred
cipuru	hungry
angngondang	hunt
badai	hurricane
akkaro karo	hurry
intakki	hurry up
marrisi	hurt
bura'ne	husband
angdesak	hustle
keramaian	hustle
pondok	hut
katangkasan	hygiene
Nakke	I
Nakke	I am
baji bajija	I am fine
akkuleja	I can
nakke tena kulle	I can't
nakke assadia	I do
tena ku issengi	I do not know
tena ku ngarti	I do not understand
nakke teba	I don't
Tena kuissengi	I don't know
Tena ku issengngi	I don't understand
tena ku pahangi massuknu	I don't understand what you mean
nakke tena kupaham massunu	I don't understand you
tena ku issengi	I don’t know
tena ku pahang	I don’t understand
kukira	i guess
nakke pata	I had
nakke pata	I have
nakke lebba	I have been
kuharap ki kamma anjo	I hope so
Kuissengi	I know
kungai	I like
ku ngaiki	I like you
nakke ngai	I love
ku ngai daeng ku	I love my big brother
ku ngai daengku	I love my big sister
ku ngai mangge ku	I love my father
ku ngai andi burane ku	I love my little brother
ku ngai andi baine ku	I love my little sister
ku ngai ammakku	I love my mother
Kungaiko	I love you
sanna kungaita	I love you so much
nakke ton kungaiki	I love you too
massuknu	I mean
Nakku ka ri kau	I miss you
nakke sanna nakkukku	I miss you so much
kammanjo	I see
punna inakke	I think
ku paham mi	I understand
eroka	I want
nakke ero amuntuluki	I want to see you
eroka ri kau	I want you
inakke	I was
nakke akan	I will
nakke ero	I would be
Nakke	I'm
bajik bajikja	I'm fine
nakke baji bajiji	I'm good
anrinniya	I'm here
pammopooranga	I'm sorry
es	ice
es krim	ice cream
ide	idea
ideak	ideal
singkamma	identical
mangngassengi	identify
identitas	identity
tolo	idiot
tena jaman	idle
punna	if
ni tolak	ignore
garring	ill
liara	illegal
garring	illness
Ilocano	Ilocano
gambara	image
ambayangkan	imagine
tettere	immediate
silalonna	immediately
sanna luarana	immense
beturan	impact
dampak	impact
tena na sa'bara	impatient
anggaukang	implement
mengimpor	import
impor	import
parallu	important
ammassa	impose
tena mungkit	impossible
appare kesan	impress
pakkasia	impression
appakalannasa	impressive
ammajiki	improve
kanaikang	improvement
ilalang	in
pantaranganna anjo	in addition
nyatanya	In fact
ri dallekan	in front of
untuk	in order to
tena na pantas	inappropriate
insentif	incentive
kajarin	incident
antamai	include
antama tong	including
panggappang	income
tena nannyaman	inconvenience
abbajiki	increase
pakanaik	increase
ripakanai	increased
appakalannasa	incredible
memantong	indeed
mandiri	independent
India	India
anjojoki	indicate
asli	indigenous
kale kale	individual
paberek	industry
tena kulle ri hindari	inevitable
ana lolo	infant
infeksi	infection
ketakterbatasan	infinity
arra'dang	inflammation
inflasi	inflation
pangaruh	influence
angpengaruhi	influence
ampoangi	inform
informasi	information
bahan-bagan	ingredients
warisang	inheritance
uru uru	initial
appakaramula	initiative
loko	injured
loko	injury
tena na salah	innocent
inovasi	innovation
pakkuta'nangngang	inquiry
pongoro	insane
ula'ula'	insect
kukasia tena na aman	insecure
appasisi	insert
ri lalang	inside
wawasan	insight
nipaterasa	insist
insomnia	insomnia
inspirasi	inspiration
mengilhami	inspire
install	install
conto	instance
tettere	instant
passibalianna	instead
alih-alih	instead of
instruksia	instructions
instrumen	instrument
menyinggung	insult
pertanggungan	insurance
utuh	intact
integritas	integrity
panrita	intellectual
intelijen	intelligence
carade	intelligent
massukku	intend
disengaja	intended
amole mole	intense
massu	intention
berinteraksi	interact
interaksi	interaction
ero	interest
ero	interested
gakgai	interesting
angnganggu	interfere
intermediat	intermediate
ilalang	internal
internasional	international
magang	internship
menafsirkan	interpret
paterjemah	interpreter
angganggu	interrupt
wawancara	interview
intim	intimate
antama	into
appasiasseng	introduce
appasisseng	introduction
ta'tongko	introvert
intuisi	intuition
tena sah	invalid
appaka nia	invent
inventaris	inventory
ang investasi	invest
annyelidik	investigate
undangan	invitation
angngundang	invite
ambayara	invoice
tagihan	invoice
appapinawang	involve
nia tongi	involved
setrika	iron
assetrika	iron
rikana	is
pulau	island
tapancili	isolated
urusang	issue
masalahna	issue
masalah	issues
anjo	it is
riolo	it was
ia	it's
tena angngapa	it's ok
tena apa-apa	It's okay
barang	item
item	items
ia	its
nakke	I’m
jake	jacket
terungkap	jail
januari	January
stoples	jar
rahang	jaw
cemburu	jealous
brengsek	jerk
perhiasan	jewelry
jaman jaman	job
joging	jogging
anggabung	join
persendian	joint
candaan	joke
wartawan	journalist
pajjappangang	journey
sikarannuang	joy
angnilai	judge
hakin	judge
jus	juice
juli	july
lumpa	jump
juni	june
loro	junk
punna	just
jama mi	just do it
keadilan	justice
appakatojeng	justify
Kalaalisut	Kalaallisut
ngai	keen
boli	keep
pakatarrusuki jama baji nu	keep it up
ni boli	kept
ketel	kettle
konci	key
annyempa	kick
ana	kid
bercanda	kidding
ginjal	kidney
ana'-ana'	kids
ammuno	kill
bajik	kind
porei	kind
agak	kinda
baji	kindly
kebajikan	kindness
raja	king
cippo	kiss
dapuru	kitchen
layang-kayang	kite
ana' miong	kitten
kulantu	knee
ngisseng	knew
lading	knife
ksatria	knight
isseng	know
pangngissengang	knowledge
niisseng	known
Konkani	Konkani
Krio	Krio
angngareng	label
label	label
tenaga kerja	labor
pajama	labour
akkurang	lack
tuka	ladder
baine	lady
nipatinro	laid
danau	lake
domba	lamb
caca	lame
lampu	lamp
butta	land
mendarat	land
lanskap	landscape
bahasa	language
pangkuan	lap
lompo	large
kalabbusang	last
riboko dudu tapi tena nakala parallu	last but not least
areng keluarga	last name
terlambat	late
kamma kamma anne	lately
sallang	later
paling beru	latest
paling riboko	latter
ammakkala	laugh
ammakkala	laughing
makkala	laughter
appaluncuru	launch
sassan	laundry
hukkum	law
halaman ruku	lawn
pengacara	lawyer
attinro tinro	lay
lapisan	layer
tata letak	layout
kuttu	lazy
ammimping	lead
pemimpin	leader
leko	leaf
boncoro	leak
assandara	lean
allumpa	leap
nipilajari	learn
appilajara	learning
sewa	lease
sanna sikekdek	least
kuli	leather
pilari	leave
lampa	leave
leko leko	leaves
diparenta	led
na	left
bangkeng	leg
warisan	legacy
hukkung	legal
legenda	legend
sah	legit
mari mari poso	leisure
angnginrang	lend
labbu	length
sanna sikekdek	less
pappilajaran	lesson
napassang	let
surat	letter
selada	lettuce
tingka	level
matu matu	leverage
beban	liability
perpustakaan	library
angngemu	lick
a'balle balleang	lie
balle balle	lie
abballe balle	lies
pattalassang	life
angkatan	lift
angngangket	lift
ciknong	light
singara	light
kabuyubuyu	light
pettiri	lightning
ngai	like
kuntu	likely
iyatong	likewise
garisi	line
Lingala	Lingala
passikkokan	link
singa	lion
cairan	liquid
dattara	list
appilangngeri	listen
appilangeri	listening
bate harfiah	literally
literatur	literature
loro	litter
caddi	little
tallassa	live
gassingi	live
ati	liver
tallasa	lives
tallasa	living
ruang toana	living room
padalle	lizard
ammone	load
roti	loaf
appainrang	loan
lokal	local
tampa	location
konci	lock
kuncitara	lockdown
catatan	log
makkala lompo	lol
kesepian	lonely
labbu	long
sallo tena sibuntulu	long time no see
paccini	look
accini	look
lingkaran	loop
longgara	loose
angpalappasa	loose
nipaklabbiri	lord
kalannyakkan	lose
tappela	loss
lannyak	lost
jai	lot
terasa	loud
ruang santai	lounge
pangngai	love
kungaiki	love you
ga'ga	lovely
rendah	low
labbi rawa	lower
setia	loyal
loyalitas	loyalty
kaupakkang	luck
upa	lucky
Luganda	Luganda
bagasi	luggage
gumpalan	lump
nganre tangngaallo	lunch
paru paru	lungs
kemewahan	luxury
abballe balle	lying
masina	machine
pongoro	mad
nyonya	madam
ripare	made
majalla	magazine
agung	magnificent
pembantu	maid
utama	main
ajjaga	maintain
ammalihara	maintenance
Maithili	Maithili
lompo	major
jai	major
paling jai	majority
Mangkasara	Makasar
appare	make
paruru	make up
burakne	male
mall	mall
burakne	man
angngola	manage
angkelola	management
pangurusu	manager
wajib	mandatory
kacinikan	manifest
memanipulasi	manipulate
pangngadakkan	manner
manual	manual
jai	many
anne allowa jai kasannangngang nipoterang	many many happy returns of the day
abbarrisi	march
batasa	margin
pasara	market
pabbuntingan	marriage
lebba buntin	married
masker	mask
tau jai	mass
lompo sanna	massive
akkuasa	master
cocok	match
pertandingan	match
pasangan	mate
bahan	material
matematika	math
urusang	matter
kasulitang	matter
kematangan	maturity
akkullei	may
kulle	may
kapang	maybe
nakke	me
nakee todong	me too
kanre kanreang	meal
anjomi	mean
iyaminjo	mean
battuanna	meaning
cara	means
dimaksudkan	meant
iamo anjo ro	meanwhile
ukkurang	measure
pa ukkuran	measures
assi	meat
medis	medical
pabballe	medicine
meditasi	meditation
sedang	medium
sibuntulu'	meet
passibuntulang	meeting
Meiteilon	Meiteilon
allele	melt
pakngurangngang	memories
pabbolikang	memory
mental	mental
nisabbukkan	mention
ia antu	mentioned
mentor	mentor
pa'balu	merchant
pama seang	mercy
iaji	merely
salama natal	merry christmas
sanna ricuna	mess
pappipasang	message
tassimbung	messy
bassi	metal
cara	method
balao	mice
tangnga	middle
lantang bangngia	midnight
ta'gala	might
lu'mu	mild
tonggak pencapaian	milestone
tantara	military
susu	milk
juta	million
akkalak	mind
pikkirang	mind
kerangka appikkiri	mindset
patanna	mine
anungku	mine
abbauru	mingle
minor	minor
manni	minute
manni	minutes
keajaiban	miracle
carammen	mirror
arrupa rupa	miscellaneous
banna	mischievous
adderita	miserable
penderitaan	misery
nakku	miss
nakku mange rikatte	miss you
lannya	missing
misi	mission
kabut	mist
anu salah	mistake
Mizo	Mizo
mobile	mobile
angngejek	mock
modele	model
moderat	moderate
menenangkan	moderate
modern	modern
sederhana	modest
akmasak	moist
akmasa	moisture
ambentuk	mold
cetakan	mold
tikus butta	mole
amma	mom
momen	moment
sanning	monday
doek	money
anciniki	monitor
dare	monkey
bulan	month
pakkasia	mood
koro koroang	moody
bulan	moon
moral	moral
la'bi	more
labbi labbi poen	moreover
baribbasa	morning
hipotek	mortgage
paling	most
kabanyakang	mostly
amma	mother
giokang	motion
motivasi	motivation
bulu	mountain
mouse	mouse
bawa	mouth
a'lolo	move
panggiogakan	movement
pelleng	movie
nyonya	mrs
jai	much
lumpuru	mud
mug	mug
ura'	muscle
musium	museum
jamuru	mushroom
musi	music
parallui	must
siratang	must
bisu	mute
saling	mutual
anuku	my
sayangku	My dear
agangku	my friend
na rassiyiya londeng	My hovercraft is full of eels
singaingku	my love
arengku iami antu	my name is
siagang pa'mai sannang	my pleasure
kale kalenna	myself
gaib	mysterious
misteri	mystery
mitos	myth
paku	nail
naif	naive
areng	name
carita	narrative
seppa	narrow
kodi pakkasia	nasty
nasional	national
pangpa'rasangan	nationality
tau anrinni	native
alami	natural
lino	nature
mual	nausea
ri rampi'	near
ri ampina anne	nearby
sike'de	nearly
rappi	neat
parallu	necessary
kallong	neck
kalung	necklace
parallu	need
kapantingang	need
negatif	negative
menelantarkan	neglect
nego	negotiate
sari balla	neighbor
lingkungan	neighborhood
ia tong teai	neither
kamanakang burakne	nephew
tau ganjili	nerd
bata bata	nervous
sarang	nest
tangkasa	net
jaringang	network
netral	neutral
tenalekba	never
teaki le'ba menyerah	never give up
le'bami	never mind
palebbai	nevermind
namun demikian	nevertheless
beru	new
kabara	news
lebakna	next
ri sa'ri	next to
baji	nice
rannuku assigappa siagang kau	nice to meet you
kamanakang baine	niece
bangngi	night
bayo-bayoan kodi	nightmare
selapang	nine
sampulo salapang	nineteen
salapang pulo	ninety
Tena	No
tenanggapa	no problem
mustahil	no way
tiau inai inai	nobody
ge'gere	noise
gegere	noisy
tena	none
allo	noon
tena	nope
tiai pole	nor
normal	normal
ara	north
ka'muru	nose
nakku	nostalgic
teai	not
tena mentong	not at all
tena kodi	not bad
tena kamma kamma anne	Not now
tenapa	not yet
catatan	note
nicatat	noted
tena nia	nothing
accinik	notice
ni perhatikan	noticed
bicara benda	noun
kana barang	nouns
novel	novel
november	november
kamma-kamma anne	now
allo allo anne	nowadays
gangguan	nuisance
batala	null
mate pakkasia	numb
nomoro	number
perawat	nurse
kacang	nut
pala	nutmeg
nutrisi	nutrition
sumpah	oath
sanna co'mo na	obesity
ampatuhi	obey
obyek	object
objektif	objective
anu tojeng	obligation
samar samara	obscure
pengamatan	observation
anciniki	observe
sanna na ngaina	obsessed
obsesi	obsession
usang	obsolete
rintangan	obstacle
anggappa	obtain
ni gappa	obtained
singara	obvious
sanna tangkasana	obviously
kadang-kadang	occasionally
sikali sikali	occasionally
jama jamang	occupation
sibuk	occupied
terjadi	occur
munjulu	occurred
anjari	occurs
tamparan	ocean
Oktober	october
ganjili	odd
kantunganna	odds
battu	of
tantumi	of course
mate	off
menyinggung	offensive
tarawan	offer
annawarakan	offer
kantoro	office
resmi	official
sirapik	often
ah tojengki	oh really
minnyak	oil
oke sayang	ok dear
oke, sayang	ok honey
oke, sayangku	ok my love
oke sayang	okay baby
bajiki, sayang	okay dear
oke sayang	okay honey
oke, sayang	okay my love
toa	old
rinra	on
sikali	once
se're	one
we're bahasa tena na ganna	one language is never enough
lasuna vombai	onion
on line	online
ingka	only
annyungke	open
operasi	operation
panggappa	opinion
peluang	opportunities
nai sabana	opportunity
ri dallekang	opposite
optimis	optimistic
pilihan	option
pammileang	optional
iyareka	or
oranye	orange
lemo	orange
appesang	order
anngalle	order
biasa	ordinary
organisasi	organization
orientasi	orientation
assala	origin
asli	original
Oromo	Oromo
tena tau toana	orphan
maraeng	other
punna tena	otherwise
sebaiknya	ought
katte	our
Ikatte pata misi ia mintu untu akkullena ia ngaseng rupa taua kemaepun nia untuk napahangngi linowa siagang na ekspresi kangi kalenna ilalang bahasa	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Ikatte pata misi ia mintu angngatoroki informasi na linowa dan ampareki akkulle nipake ia ngaseng rupa taua siagang bermanfaaat	Our mission: to organize the world's information and make it universally accessible and useful.
assulu	out
passele	outcome
baju	outfit
outing	outgoing
gadde	outlet
garisi lompo	outline
pantarang	outside
sanna pore	outstanding
open	oven
la'bi	over
anjoeng	over there
iangasengna	overall
ambatasi	overcome
kalabbiang appikkiri	overthinking
kewalahan	overwhelmed
sanna jaina	overwhelming
inrang	owe
jangang jangang setan	owl
ammallaki	own
appata	own
patanna	owner
sapi	ox
gassing	pace
appakarannu	pack
kemasan	package
nibayara	paid
pa'risik	pain
cat	paint
lukisan	painting
pasangan	pair
pucca	pale
lapa	palm
urin	pan
pandemi	pandemic
lingu	panic
saluara	pants
karattasa	paper
suruga	paradise
sipakaturu	parallel
paket	parcel
pamopporang	pardon
tau toa	parents
taman	park
jangan beo	parrot
peterseli	parsley
antama	part
amminawang	participate
attantu	particular
akkusus	particularly
agan	partner
a'gau gau	party
lulusu	pass
oloan	passage
lulusu	passed
sumanga	passion
rassi sumanga	passionate
pasif	passive
pau sandi	password
allo riolo	past
tambalang	patch
agadang	path
akkamaseang	pathetic
kasabbaran	patience
tena paklarroang	patient
sa'barak	patient
pola	pattern
ammari sinampe	pause
trotoar	pavement
abbayara	pay
pabbayaran	payment
addamai	peace
sannang	peaceful
persik	peach
paling rate	peak
pir	pear
kacang polong	peas
ganjili	peculiar
tamea	pee
ta'mea	pee
abba'bi	peel
agan	peer
abang silompo	peers
pulupen	pen
potolo	pencil
tertunda	pending
tau	people
marica	pepper
accini	perceive
pamai	perception
sampurna	perfect
aggaukang	perform
passuara suarrang	performance
kapang	perhaps
periode	period
tena na minra	permanent
paramisi	permission
ijin	permit
kegigihan	perseverance
gigih	persistent
tau	person
kalenta	personal
kepribadian	personality
perspektif	perspective
angngoco	persuade
tau cabul	pervert
papparakaian	pet
fase	phase
fenomena	phenomenon
filsafat	philosophy
talipon	phone
foto	photo
frasa	phrase
pisi	physical
ammile	pick
anjemput	pick up
gambara	picture
bagian	piece
bagian-bagian	pieces
babi	pig
merpati	pigeon
tumpukan	pile
pa'lungang	pillow
pilo	pilot
pin	pin
nanas	pineapple
eja hambu	pink
kalibung	pit
annyambila	pitch
nisayangkan	pity
ammoli	place
pammantangngang	place
tampa	places
wabah	plague
polos	plain
rencana	plan
kappala	plane
lamung lamungan	plant
lamung lamungang	plants
piring	plate
platfrorm	platform
kare karenang	play
kare karena	play
akkarena	playing
appakasannang	pleasant
alle balii	please
allei	please
rannu	pleased
kesenangan	pleasure
sumpah	pledge
jai	plenty
arrencana	plot
steker	plug
prem	plum
tukang ledeng	plumber
jamak	plural
siniar	podcast
puisi	poem
puisi	poetry
titti	point
racun	poison
polisi	police
kebijakan	policy
sopan	polite
polusi	pollution
kollang	pond
kollang	pool
tai	poop
kasiasi	poor
pop	pop
terkenal	popular
populasi	population
babi	pork
buburu	porridge
palabuhang	port
posisi	position
positif	positive
ampatangi	possess
pata	possession
posesif	possessive
mungkin	possible
angmasang	post
pos	post
antunda	postpone
lame-lame	potato
potensi	potential
pound	pound
kasiasi	poverty
kakassakkan	power
kassa	powerful
praktis	practical
paratte	practice
allati	practice
ammuji	praise
paka'kala	prank
addoa	pray
berharga	precious
tepat	precise
pitappa	precisely
anramala	predict
labbi nangai	prefer
preferensi	preference
tianang	pregnant
parasangka	prejudice
tampa	premises
premium	premium
persiapan	preparation
appakasadia	prepare
sia	prepared
proposisi	preposition
kaniakan	presence
makkekkuwangnge	present
pabbere	present
mabbere	present
presentasi	presentation
melestarikan	preserve
parasideng	president
annekang	press
tekanan	press
tekanan	pressure
abballe balle	pretend
ga'gai	pretty
gammarakki	pretty
angnyegah	prevent
ribokona	previous
kanre	prey
ballinna	price
kebanggaan	pride
pendeta	priest
poko	primary
utama	prime
putri	princess
kapala sikola	principal
ribokoanna	prior
prioritas	priority
tarunku	prison
kalengta	privacy
kale	private
hak istimewa	privilege
hadia	prize
kutarng	probably
masala	problem
prosedur	procedure
assambungi	proceed
carana	process
sistingna	process
wassele	produce
wassele	product
assele	production
profesi	profession
professional	professional
profil	profile
passawala	profit
menonjol	profound
maju	progress
kamajuan	progress
proyek	project
kalabian	prominent
janji	promise
a'janji	promise
appakamaju	promote
pappaganti	promotion
appakainga	prompt
gampang	prone
kana sambe	pronouns
pakkanang	pronunciation
butti	proof
pantasa	proper
sanna baji	properly
properti	properties
properti	property
ussulu'	proposal
prospek	prospect
kemakmuran	prosperity
makmuru	prosperous
anjagai	protect
bangga	proud
appabutti	prove
appasadia	provide
assala	provided
pa'rasangan	province
passadiaan	provision
wattu balek	puberty
ia ngaseng	public
abbeso	pull
labu	pumpkin
tetap wattu	punctual
murid	pupil
ammalli	purchase
tangkasa	pure
longkolame	purple
pangngolo	purpose
tas caddi	purse
angngondang	pursue
angngondang	pursuit
sorongan	push
appadongko	put
kualifikasi	qualification
kualitas	quality
jai	quantity
nipabangngi	quarantine
abbesere	quarrel
pabbeserang	quarrel
siparapa	quarter
Quechua	Quechua
ratu	queen
queer	queer
pakkuta'nang	query
pakkuta'nang	question
antri	queue
angngantri	queue
tettere	quick
si agang tettere	quickly
sannang	quiet
kalimbu	quilt
ammantang	quit
gannaki	quite
rassi	quite
ulangang	quiz
kutipan	quotation
angngutip	quote
kutipang	quote
kutipan	quotes
kalinci	rabbit
pallumba	race
kalarroan	rage
bosi	rain
appanai	raise
angngangka	raise
nipanai	raised
allari	ran
ngacak	random
jangkauan	range
tettere	rapid
siagang tettere	rapidly
sawala	rare
masagala	rarely
ruam	rash
tikusu	rat
katetteran	rate
bajikna	rather
appasibanding	ratio
antama ri akkala	rational
lolo	raw
motere	re
anrapi	reach
nagappa	reached
reaksi	reaction
ammaca	read
ammaca	reading
siap	ready
anu tojeng	real
kebiasanna	reality
angsadari	realize
ri pakka nia	realized
tojeng	really
riboko	rear
alasan	reason
wajar	reasonable
angngerange	recall
kuitansi	receipt
annarima	receive
ritarima	received
kamma kamma anne	recent
beru-beru anne	recently
panarimaan	reception
resep	recipe
kajili jili	reckless
angngakui	recognition
naisseng	recognize
angsarangkang	recommend
ni rekomendasikan	recommended
catatan	record
anrekam	record
gassing	recover
pemulihan	recovery
persegi labbu	rectangle
eja	red
appassambe	redeem
penebusan	redemption
angngurangi	reduce
angngulang	redundant
atta'gala	refer
referensi	reference
mencerminkan	reflect
cerminang	reflection
annahang kale	refrain
kamari es	refrigerator
ammoterang doe	refund
annolak	refuse
ni tolak	refused
paccini	regard
tentang	regarding
tena nipaduli	regardless
sallang	regards
daerah	region
dattara	register
nisassali	regret
ammutara	regular
secara taatoro	regularly
annolak	reject
appasikko	relate
terkait	related
hubungan	relationship
sanak	relative
relatif	relative
bija	relatives
santai	relax
ampilari	release
anlappassang	release
nilappassang	released
sin cocok	relevant
kulle dipattoang	reliable
assau	relief
meredakan	relieve
assao	relieved
agama	religion
keagamaan	religious
battala ati	reluctant
angngandalkan	rely
attantumi	remain
tersisa	remaining
sanna pore	remarkable
appakabaji	remedy
u'rangi	remember
appakainga	remind
pakainga	reminder
taccappi	remote
angngapusu	remove
assareang	render
assewa	rent
appakabaji	repair
angngulang	repeat
annyambeang	replace
balasan	reply
angjawab	reply
a'laporo	report
laporan	report
awwakili	represent
reputasi	reputation
pappala	request
appala	request
parallu	require
riparallui	required
pasalama	rescue
riset	research
singkamma	resemble
panngurisi	resentment
reservasi	reservation
ammoli	reserve
penduduk	resident
ammantang	resign
kakassakkan	resilience
ulet	resilient
angngewa	resist
angngewa	resistance
resolusi	resolution
menyelesaikan	resolve
resor	resort
sumber daya	resources
hormat	respect
appabakkan	respect
menanggapi	respond
panggappa	response
tanggung jawab	responsibility
attanggungjawab	responsible
mari mari	rest
istirahat ilalang kasannangngang	rest in peace
warung	restaurant
appakamulih	restore
ambatasi	restrict
wassele	result
wassele	results
melanjutkan	resume
pabalu	retail
mempertahankan	retain
ammoli	retention
pensiung	retired
ammunduru	retreat
angngalle	retrieve
ammotere	return
appakasingara	reveal
terungkap	revealed
abbalasa dendam	revenge
panggappang	revenue
ammotere	reverse
anciniki ammotera	review
ulasan	review
appakabaji	revise
revisi	revision
revolusi	revolution
hadiah	reward
irama	rhythm
iga	rib
berasa	rice
kalumannyang	rich
ampasa'ri	rid
menunggangi	ride
appajappa	ride
konyolo	ridiculous
kanang	right
sakri	right
kama kamanne	right now
kaku	rigid
cincin	ring
ammacco	rinse
karicuang	riot
robehan	rip
anngekke	rip
matang	ripe
naik	rise
kenaikang	rise
resiko	risk
anngalle resiko	risk
saingang	rival
binanga	river
agadan	road
ammanggang	roast
terasa	robust
batu	rock
tongka	rod
gau	role
gulungan	roll
pattonko	roof
ruan	room
aka'	root
otere	rope
botto	rotten
kasaraki	rough
siagang kasara	roughly
bundala	round
pangngoloan	route
allomo lomo	routine
barrisi	row
anggoso	rub
gatta	rubber
loro	rubbish
kasara	rude
kareppe	rug
ammanraki	ruin
aturan	rule
panggarisi	ruler
aturan	rules
lari	run
a'lari	running
pakkampongang	rural
aliran	rush
annyerbu	rush
ammecat	sack
tangkasa	sacred
pengorbanan	sacrifice
aman	safe
selamakki ri pa'ribbakanta	safe flight
keamanan	safety
sage	sage
angngatakan	said
allayara	sail
pelayaran	sailing
demi	sake
gaji	salary
abbalu	sale
juku salamon	salmon
cela	salt
singkamma	same
sikamma rinni	Same here
sampel	sample
passi	sand
Sansekerta	Sanskrit
pakalabbi labbi	sarcastic
lancang	sassy
ammempo	sat
kepuasan	satisfaction
puas	satisfied
memuaskan	satisfy
memuaskan	satisfying
sattu	Saturday
sosis	sausage
liara	savage
ammoli	save
garagaji	saw
abbicara	say
skala	scale
tipuan	scam
bate loko	scar
masagala	scarce
malla	scared
syal	scarf
appakamalla	scary
arratasa	scattered
pamandangan	scene
pemandangan	scenery
bau	scent
rancangang	schedule
wattunna	schedule
sikola	school
sains	science
ilmuwang	scientist
ilmuang	scientists
gunting	scissors
angngalarroi	scold
cakupan	scope
skor	score
ambatalkan	scrap
anggores	scratch
ammarrang	scream
layara	screen
mor	screw
naskah	script
tamparang	sea
segel	seal
abboya	search
musim	season
kadera	seat
makarua	second
rasia	secret
iatong	section
aman	secure
keamanan	security
accini	see
sibuntulu poen	see you
