i	a
ngokutjhelela	fluently
mavukuvuku	fluffy
amanzana	fluid
phapha	fly
itjhejo	focus
tjheja	focus
ikungu	fog
kunekungu	foggy
bhinca	fold
abantu bomndeni	folks
landela	follow
ilandelela	follow up
okulandelako	following
ukudla	food
isidlhadlha	fool
kobudlhadlha	foolish
inyawo	foot
ibholo erarhwako	football
kwe	for
Isibonelo	For example
isibonelo	for instance
ngeyakho	for you
ngadliwako	forbidden
amandla	force
bikezela	forecast
ipandla	forehead
kwangaphandle	foreign
ihlathi	forest
kwanaphakade	forever
khohlwa	forget
colela	forgive
khohliwe	forgot
iforogo	fork
bumba	form
isibumbeko	form
okusemthethweni	formal
kwangaphambilini	former
ngetjhudu	fortunately
itjhudu	fortune
amatjhumi amane	forty
amatjhumi amane nambili	forty-two
phambili	forward
ukukhulisa umntwana ongasuye wakho	foster
ukulwa	fought
thola	found
isendlalelo	foundation
kune	four
itjhumi nane	fourteen
udahla	fox
phukako	fragile
ifreyimu	frame
iphahla	framework
ubukhwabanisi	fraud
isiphithiphithi	freak
simahla	free
ikululeko	freedom
rhahla	freeze
kanengi	frequency
kanengi	frequent
kanengana	frequently
fretjhi	fresh
lesihlanu	friday
isiqandisi	fridge
mngani	friend
nomusa	friendly
abangani	friends
ubungani	friendship
ethukwa	frightened
ukuthusa	frightening
isirhwerhwe	frog
ku	from
phambili	front
rhahlileko	frozen
isithelo	fruit
tshwenyekileko	frustrated
isibaseli	fuel
isiFulfulde	Fulfulde
zala	full
mnandi	fun
umsebenzi	function
okuqakathekileko	fundamental
umngcwabo	funeral
hlekisako	funny
isikhumba	fur
kwatileko	furious
ifenitjhara	furniture
kudanyana	further
okhunye godu	furthermore
ikusasa	future
ukuzuza	gain
zuza	gain
umdlalo	game
isikhala	gap
igaratjhi	garage
iinsila	garbage
itoni	garden
ikonofula	garlic
iyege	gate
buthelela	gather
umbuthano	gathering
igeji	gauge
nikele	gave
igere	gear
ubulili	gender
vamileko	general
ngokuvamileko	generally
zala	generate
isizukulwani	generation
nomusa	generous
isihlakaniphi	genius
ijenri	genre
thambileko	gentle
kwamambala	genuine
ukukhuluma ngezitho zomzimba	gesture
thola	get
yembatha	get dressed
sikima	get up
phola msinya	get well soon
thola	getting
isipoko	ghost
ukungasabonani	ghosting
ikakaramba	giant
isipho	gift
ijinja	ginger
umntazana	girl
intombi	girlfriend
nikela	give
lahlela itewu	give up
nikela	given
thaba	glad
ukurhedlula	glance
irhalasi	glass
amarhalasi	glasses
rhedlula	glimpse
iphasimazombe	global
isizi	gloomy
amaglavu	gloves
rhanyazela	glow
ukurhanyazela	glow
tjhuguluka ube ngcono	glow up
iglu	glue
khamba	go
ragela phambili	go ahead
suka lapha	go away
khamba uyokulala	go to bed
umnqopho	goal
iminqopho	goals
imbuzi	goat
umzimu	god
uzimu akubusise	god bless you
khamba	goes
khamba	going
uya e	going to
irhawuda	gold
khambile	gone
ngizo	gonna
kuhle	good
kulungile	good
lotjha	good afternoon
sala kuhle	good bye
lotjha	good day
umsebenzi omuhle	good job
uqaleka kuhle	good looking
ngikufisela itjhudu	good luck
lotjha	good morning
lotjha sithandwa sami	good morning my love
ulale kuhle	good night
sala kuhle	goodbye
ulale kuhle	goodnight
iimpahla	goods
irhansi	goose
karisa	gorgeous
ukuhleba	gossip
ngiyifumene	got
ngiyitholile	got it
umbuso	government
hluthula	grab
ibanga	grade
isigaba	grade
kancanikancani	gradually
igrajuwethi	graduate
ithoro	grain
isibonelelo	grant
nikela	grant
nikelwe	granted
amadreyibe	grapes
bamba	grasp
utjani	grass
ukuthokoza	grateful
ukuthokoza	gratitude
ithuna	grave
tshetlha	gray
kuhle	great
amarhamaru	greed
ukuba nehliziyo embi	greedy
hlaza satjani	green
lotjhisa	greet
ukulotjhisa	greeting
ukulotjhisa	greetings
tshetlha	grey
igridi	grid
isizi	grief
gaya	grind
bamba	grip
igrowuzari	grocery
umkhwenyana	groom
nganahlonipho	gross
itatawu	ground
isiqhema	group
khula	grow
ukukhula	growth
ukukwata	grumpy
isiGuarani	Guarani
qinisekisa	guarantee
ugadi	guard
raya	guess
isitatanyiswa	guest
umhlahlo	guidance
umhlahlo	guide
hlahla	guide
ukuba nomlandu	guilty
mngani	guy
bantu	guys
ukuzithabulula	gym
umukghwa	habit
indawo yokuhlala	habitat
ngibe	had
isinanja	hail
iinhluthu	hair
isiquntu	half
iholo	hall
isandla	hand
phatha	handle
hlamazana	handsome
haga	hang
ledlha	hang out
yenzeka	happen
kwenzeka	happened
ithabo	happiness
thaba	happy
langa elihle lamabeletho	happy birthday
langa elihle lamabeletho kuwe	happy birthday to you
umnyaka omutjha onepumelelo	happy new year
qinileko	hard
nakancani	hardly
nakancani	hardly ever
limaza	harm
ukulimaza	harm
limazako	harmful
ngokuzwana	harmony
indluzula	harsh
isivuno	harvest
una	has
zonda	hate
si	have
ube nelanga elimnandi	have a good day
ube nelanga elimnandi	have a nice day
idla ibhrakfesi	have breakfast
dlala kamnandi	have fun
ingabe udlile	have you eaten
ukuba ne	having
ingozi	hazard
fiphala	haze
yena	he
une	he has
uyi	he is
ihloko	head
ihloko	headache
yelapha	heal
ukwelapha	healing
zamaphilo	health
ukuba nepilo	healthy
izwa	hear
zwile	heard
ihliziyo	heart
tjhisa	heat
rhunyeleko	heat
izulu	heaven
budisi	heavy
matasatasa	hectic
ubude	height
indlalifa	heir
ubulelesi	heist
banjwe	held
isihogo	hell
Lotjha	Hello
lotjha sithandwa	hello dear
lotjha unjani	hello how are you
lotjha unjani	hello how are you doing
umakarabha	helmet
siza	help
nesizo	helpful
ngikho	hence
yena	her
umhlambi	herd
lapha	here
amagugu	heritage
ukuzaza	hesitate
Heyi	Hey
Lotjha	Hi
lotjha unjani	hi how are you
Lotjha	Hi there
fihlekileko	hidden
fihla	hide
ukulandelana	hierarchy
phezulu	high
tjengisa	highlight
khamba ngeenyawo	hike
ukuhayikha	hiking
hlekisako	hilarious
umbundu	hill
yena	him
isiyeleliso	hint
inyonga	hip
iinyonga	hips
qatjha	hire
ukuqatjha	hiring
kwakhe	his
umlando	history
betha	hit
umsebenzi wokuzilibazisa	hobby
bamba	hold
jama	hold on
umgodi	hole
iholideyi	holiday
nganalitho	hollow
ekhaya	home
umsebenzi wekhaya	homework
ukuthembeka	honest
ngokweqiniso	honestly
Sithandwa	Honey
Iluju	Honey
hlonipha	honor
ingwani	hood
iwugu	hook
ukupharuma	hop
ithemba	hope
themba	hope
ngethemba	hopefully
ukungasabi nethemba	hopeless
buvundla	horizontal
iphondo	horn
esabekako	horrible
ukwesaba	horror
ipera	horse
isibhedlela	hospital
ubuntu	hospitality
amukela	host
ukwamukela	host
nobutha	hostile
tjhisa	hot
ihotela	hotel
i-iri	hour
ama-iri	hours
indlu	house
ikhaya	household
njani	how
alo wena ke	how about you
unjani	how are you
uvuke njani	how are you doing
uvuke njani namhlanjesi	how are you doing today
unjani namhlanje	how are you today
wenza njani	how do you do
injani	how is
mangaki	how many
malini	how much
kanengi kangangani	how often
uneminyaka emingaki	how old are you
belinjani ilanga lakho	how was your day
ulele njani	how was your night
yeke	however
ihabhu	hub
umlingani	hubby
ukusingatha	hug
singatha	hug
khulu	huge
umuntu	human
ukuzithoba	humble
ubumanzana	humid
ubumanzana	humidity
ikhulu	hundred
lamba	hungry
ukuzuma	hunt
amawuruwuru	hurricane
rhaba	hurry
yenza masinya	hurry up
limaza	hurt
umyeni	husband
kalukana	hustle
ukukalukana	hustle
indlu	hut
ukuhlwengeka	hygiene
Mina	I
ngi	I am
ngikhona	I am fine
ngingakghona	I can
angeze	I can't
ngiyenza	I do
angazi	I do not know
angizwisisi	I do not understand
angi	I don't
angazi	I don't know
angizwisisi	I don't understand
Angizwisisi bona utjho ukuthini	I don't understand what you mean
angizwisisi	I don't understand you
angazi	I don’t know
angizwisisi	I don’t understand
ngiyacabanga	i guess
bengine	I had
ngine	I have
bengi	I have been
ngethemba njalo	I hope so
ngiyazi	I know
ngithanda	I like
ngiyakuthanda	I like you
ngiyathanda	I love
ngithanda umnakwethu omkhulu	I love my big brother
ngithanda udadwethu omkhulu	I love my big sister
ngithanda ubaba wami	I love my father
ngithanda umnakwethu omncani	I love my little brother
ngithanda udadwethu	I love my little sister
ngithanda umma wami	I love my mother
ngiyakuthanda	I love you
ngikuthanda khulu	I love you so much
nami ngiyakuthanda	I love you too
ngitjho bona	I mean
ngikukhumbulile	I miss you
ngikukhumbula khulu	I miss you so much
ngiyabona	I see
ngicabanga	I think
ngiyazwisisa	I understand
ngifuna	I want
ngifuna ukukubona	I want to see you
ngifuna wena	I want you
bengi	I was
ngizaku	I will
ngizabe ngi	I would be
ngi	I'm
ngikhona	I'm fine
ngimnandi	I'm good
ngilapha	I'm here
ngiyacolisa	I'm sorry
irhwaba	ice
i-ayisikhrimu	ice cream
umbono	idea
ehle	ideal
fanako	identical
qala	identify
tjengisa	identity
isidlhadlha	idiot
ngasebenziko	idle
nangabe	if
lisa	ignore
gula	ill
ukungabi semthethweni	illegal
ubulwele	illness
isi-Ilocano	Ilocano
isithombe	image
cabanga	imagine
msinya	immediate
msinyazana	immediately
khulukhulu	immense
betheka	impact
ukubetheka	impact
ngabekezeliko	impatient
hloma	implement
ukungenisa	import
ngenisa	import
qakathekileko	important
funza	impose
ayikghonakali	impossible
thabisa	impress
umbono	impression
karisako	impressive
yenza ngcono	improve
ukwenza ngcono	improvement
ngaphakathi	in
ukungezelela	in addition
kuhlekuhle	In fact
phambi kwe	in front of
ukuze	in order to
ngakhambisaniko	inappropriate
ihlohlomezelo	incentive
isehlakalo	incident
faka hlangana	include
faka hlangana	including
ingenisomali	income
ukuphazamiseka	inconvenience
ukungezelela	increase
ngeza	increase
ngeziweko	increased
babazekako	incredible
kwamambala	indeed
ukuzijamela	independent
i-India	India
tjengisa	indicate
kwendabuko	indigenous
ngamunye	individual
ibubulo	industry
ngavimbekiko	inevitable
isana	infant
ukutshwayeleka	infection
okungapheliko	infinity
ukuvuvuka	inflammation
ibhebhedlhontengo	inflation
ukuthelela	influence
thelela	influence
tjela	inform
ilwazi	information
iinthako	ingredients
ilifa	inheritance
kokuthoma	initial
umzamo	initiative
limele	injured
ukulimala	injury
msulwa	innocent
ukusungula	innovation
iphenyo	inquiry
ubuhlanya	insane
inunwana	insect
ngakaphephi	insecure
faka	insert
ngaphakathi	inside
ilwazi	insight
gandelela	insist
ukudinwa	insomnia
itjisakalo	inspiration
khuthaza	inspire
hloma	install
isibonelo	instance
khonokho	instant
kunokobana	instead
kunalokhu	instead of
imilayo	instructions
isisetjenziswa	instrument
thukana	insult
i-intjhorensi	insurance
iphelele	intact
isithunzi	integrity
ukuhlakanipha	intellectual
ukuhlakanipha	intelligence
ukuhlakanipha	intelligent
fisa	intend
kwenzelwe	intended
okungeneleleko	intense
isifiso	intention
sebenzisana	interact
ukusebenzisana	interaction
ikareko	interest
ukuba nekareko	interested
karisako	interesting
cabhela	interfere
phakathi	intermediate
ngaphakathi	internal
kweentjhabatjhaba	international
ihlelo lokubandulela umsebenzi	internship
rhumutjha	interpret
utologi	interpreter
phazamisa	interrupt
ukuhlunga	interview
tjhideleneko	intimate
ngaphakathi kwa	into
ukwethula	introduce
isingeniso	introduction
untozakhe	introvert
ilemuko	intuition
okungasi semthethweni	invalid
sungula	invent
yokusungula	inventory
ukusisa	invest
phenya	investigate
isimemo	invitation
mema	invite
i-invoyisi	invoice
invoyisa	invoice
faka hlangana	involve
ukuhlangabezana	involved
uku-ayina	iron
ayina	iron
yi	is
isihlengele	island
hlukanisiweko	isolated
khupha	issue
ikhupho	issue
iindaba	issues
yona	it
kuzoku	it is
beku	it was
yi	it's
kulungile	it's ok
kulungile	It's okay
i-ayithemu	item
ama-ayithemu	items
yi	its
ngi	I’m
ijasi	jacket
ijele	jail
uTjhirhweni	January
umjeka	jar
umhlathi	jaw
umona	jealous
ukuhluthuka	jerk
umcwebo	jewelry
umsebenzi	job
ukujoga	jogging
hlanganyela	join
ilunga	joint
ihlaya	joke
umbikiindaba	journalist
ikhambo	journey
ithabo	joy
ahlulela	judge
ukwahlulela	judge
ijuzi	juice
uvelabahlinze	july
yeqa	jump
umgwengweni	june
iinsila	junk
fanele	just
faneleko	just
yese wenze	just do it
ubulungiswa	justice
nikela isizathu	justify
isiKalaallisut	Kalaallisut
funa	keen
londoloza	keep
ragela phambili	keep it up
bekwe	kept
iketlela	kettle
isikhiya	key
rarha	kick
umntwana	kid
ukudlala	kidding
iso	kidney
abantwana	kids
bulala	kill
umusa	kind
-nomusa	kind
kancani	kinda
ngomusa	kindly
ukuba nomusa	kindness
ikosi	king
cabuza	kiss
ikhwitjhi	kitchen
ikhayithi	kite
ukatswana	kitten
idolo	knee
yazi	knew
umukhwa	knife
ikutani	knight
yazi	know
ilwazi	knowledge
yaziwa	known
isiKonkani	Konkani
isiKrio	Krio
leyibula	label
ileyibula	label
umsebenzi wokuzilibazisa	labor
umsebenzi	labour
tlhogekako	lack
isitebhisi	ladder
dade	lady
bekele	laid
ilitsha	lake
imvu	lamb
dondisako	lame
ilampa	lamp
ehla	land
ukwehla	land
thuthukisa ijamo lenarha	landscape
ilimi	language
igoji	lap
kulu	large
kokugcina	last
okhunye godu	last but not least
isibongo	last name
ngemva kwesikhathi	late
muva	lately
lokha	later
kwamva	latest
muva	latter
hleka	laugh
ukuhleka	laughing
isihleko	laughter
ukuhloma	launch
ilondri	laundry
umthetho	law
iloni	lawn
igqwetha	lawyer
ndlala	lay
ilarha	layer
isendlalelo	layout
vilapha	lazy
dosa	lead
umdosiphambili	leader
ikari	leaf
vuza	leak
ukweyama	lean
ukweqa	leap
funda	learn
ukufunda	learning
qatjhisa	lease
ncani khulu	least
isikhumba	leather
ilifu	leave
phuma	leave
amakari	leaves
ibangele	led
isincele	left
umlenze	leg
ilifa	legacy
ngokomthetho	legal
inolwanamlando	legend
okusemthethweni	legit
ukuledlha	leisure
boleka	lend
ubude	length
ncani	less
isifundo	lesson
ngizaku	let
incwadi	letter
ilethisi	lettuce
izinga	level
linganisa	leverage
isikolodo	liability
ibulungelo leencwadi	library
khotha	lick
lala	lie
ukulala	lie
amala	lies
ipilo	life
ukuphakamisa	lift
phakamisa	lift
khanyako	light
ukukhanya	light
umbani	lightning
thanda	like
kungenzeka	likely
ngokunjalo	likewise
umuda	line
isiLingala	Lingala
isihlanganisi	link
ibhubezi	lion
amanzi	liquid
irhelo	list
lalela	listen
ukulalela	listening
njengombana kutjhiwo	literally
zomtlolo	literature
ukusilaphaza	litter
ncani	little
philako	live
phila	live
isibindi	liver
amaphilo	lives
ukuhlala	living
ikamero lokuhlala	living room
isibhadwa	lizard
umthwalo	load
ipani	loaf
imalimboleko	loan
indawo	local
indawo	location
lodlhela	lock
ukuqinteliswa	lockdown
isigodo	log
nesizungu	lonely
ede	long
kade ngingasakuboni	long time no see
ukuqala	look
qala	look
isirhobelo	loop
tjhaphuluka	loose
ukutjhaphuluka	loose
zimu	lord
loba	lose
ukuloba	loss
lahlekelwa	lost
nengi	lot
phezulu	loud
ikamero lokuphumula	lounge
ithando	love
thanda	love
ngiyakuthanda	love you
kuhle	lovely
phasi	low
ngaphasi	lower
ukuthembeka	loyal
ukuthembeka	loyalty
itjhudu	luck
itjhudu	lucky
isiLuganda	Luganda
umthwalo	luggage
iliqa	lump
amadina	lunch
amaphaphu	lungs
umnono	luxury
lele	lying
umtjhini	machine
hlanya	mad
kosikazi	madam
yenziwe	made
imagazini	magazine
kuhle khulu	magnificent
umntazana	maid
okuqakathekileko	main
itjho	maintain
ukutjheja	maintenance
isiMaithili	Maithili
ubukhulu	major
khulu	major
inengi	majority
enza	make
isizeso	make up
duna	male
isithabathaba seentolo	mall
indoda	man
lawula	manage
ukuphatha	management
umphathi	manager
kukatelelekile	mandatory
veza	manifest
lawula	manipulate
umukghwa	manner
imanyuwali	manual
okunengi	many
uzimu akuleke ngeminye iminyaka eminengi	many many happy returns of the day
untaka	march
imajini	margin
imakethe	market
umtjhado	marriage
tjhadile	married
imaski	mask
ubudisi	mass
omkhulu	massive
unomzana	master
ukumadana	match
madana	match
umlingani	mate
imatheriyali	material
iimbalo	math
indaba	matter
ukuvuthwa	maturity
mhlambe	may
ngingenza	may
mhlambe	maybe
mina	me
nami	me too
ukudla	meal
-tjho	mean
ngazisiko	mean
ihlathululo	meaning
kutjho	means
okutjho bona	meant
ngaleso sikhathi	meanwhile
meda	measure
iindlela	measures
inyama	meat
imedikhali	medical
iinhlahla	medicine
ukuzindla	meditation
phakathi	medium
hlangana	meet
umhlangano	meeting
isiMeiteilon	Meiteilon
ncithika	melt
imikhumbulo	memories
umkhumbulo	memory
komkhumbulo	mental
itjho	mention
veze	mentioned
umeluleki	mentor
umrhwebi	merchant
isirhawu	mercy
kwaphela	merely
ukresimusi omuhle	merry christmas
iinsila	mess
umlayezo	message
silaphazekileko	messy
isimbi	metal
indlela	method
ikhondlo	mice
phakathi	middle
phakathi kobusuku	midnight
kungenzeka	might
pholileko	mild
qakathekileko	milestone
amasotja	military
ibisi	milk
isigidi	million
umkhumbulo	mind
khumbula	mind
umkhumbulo	mindset
mina	mine
ngeyami	mine
ukuhlanganisa	mingle
ncani	minor
umzuzu	minute
imizuzu	minutes
umkarisomraro	miracle
isiboniboni	mirror
okuhlukahlukene	miscellaneous
ukulelesa	mischievous
ngakathabi	miserable
isizi	misery
khumbula	miss
ngikukhumbulile	miss you
lahlekile	missing
umsebenzi	mission
ikungu	mist
iphoso	mistake
isiMizo	Mizo
khambako	mobile
ukugwera	mock
umhlobo	model
lingana	moderate
kwanje	modern
kwanje	modest
manzana	moist
umswakamo	moisture
ukukhunta	mold
khunta	mold
ifukwana	mole
umma	mom
isikhathi	moment
mvulo	monday
imali	money
yelela	monitor
ifene	monkey
inyanga	month
amazizo	mood
ubujamo	moody
inyezi	moon
umukghwa	moral
okunengi	more
godu	moreover
ekuseni	morning
ukubanjiswa kwepahla	mortgage
inengi	most
kanengi	mostly
umma	mother
isitjhukumiso	motion
ukusekela	motivation
intaba	mountain
ikhondlo	mouse
umlomo	mouth
tjhida	move
umsikinyeko	movement
imuvi	movie
mm	mrs
kanengi	much
idaka	mud
ibhigiri	mug
umsipha	muscle
imyuziyemu	museum
ikhowe	mushroom
umvumo	music
kufanele	must
faneleko	must
thulisa	mute
ngokubambisana	mutual
yami	my
Sithandwa ami	My dear
mngani wami	my friend
Isiketjana sami sizele iinhlambi ezide ezimatsikana	My hovercraft is full of eels
sithandwa sami	my love
ibizo lami ngingu	my name is
ngiyathokoza	my pleasure
mina ngokwami	myself
fihlakeleko	mysterious
okusimanga	mystery
inganekwana	myth
izipho	nail
butlhogalemuko	naive
ibizo	name
ingcoco	narrative
matsikani	narrow
silingako	nasty
ilizwe loke	national
ubutjhaba	nationality
wendabuko	native
kwemvelo	natural
imvelo	nature
gonyuluka	nausea
eduze	near
eduze	nearby
pheze	nearly
hlwengekile	neat
qakathekileko	necessary
intamo	neck
umbhayelo wentanyeni	necklace
tlhoga	need
itlhogeko	need
kumbi	negative
nganaki	neglect
bonisana	negotiate
umakhelwana	neighbor
umakhelwani	neighborhood
namkha	neither
umtjhana	nephew
umdlwembe	nerd
thukiwe	nervous
isidleke	nest
inede	net
ithungelelwano	network
ukungathathi ihlangothi	neutral
akhange	never
ungapheli amandla	never give up
akutshwenyi	never mind
akutshwenyi	nevermind
nokho	nevertheless
etja	new
iindaba	news
okulandelako	next
edaqi kwe	next to
kuhle	nice
ngiyathokoza ukukubona	nice to meet you
umzukulu	niece
ubusuku	night
ibhudango elimbi	nightmare
lithoba	nine
itjhumi nethoba	nineteen
amatjhumi alithoba	ninety
Awa	No
akunamraro	no problem
angeze	no way
akunamuntu	nobody
itjhada	noise
netjhada	noisy
akukho	none
emini	noon
awa	nope
nanyana	nor
okujayelekileko	normal
etlhagwini	north
ipumulo	nose
ukuzizwa uthabile	nostalgic
ingasi	not
nakancani	not at all
akusikumbi	not bad
Ingasi njenganje	Not now
akukenzeki	not yet
tjheja	note
kutshwayiwe	noted
litho	nothing
isaziso	notice
tjhejeka	noticed
ibizo	noun
amabizo	nouns
inoveli	novel
usinyikhaba	november
njenganje	now
kilamalanga	nowadays
into esilingako	nuisance
iqanda	null
ukungabi nomuzwa	numb
inomboro	number
unese	nurse
intongomani	nut
imbumbulo	nutmeg
ukondleka	nutrition
isifungo	oath
ukunona	obesity
thobela	obey
into	object
umnqopho	objective
isibopho	obligation
sitha	obscure
itjhejo	observation
qala	observe
ukuzindla	obsessed
umzindlo	obsession
ukuphelelwa sikhathi	obsolete
isiqabo	obstacle
zuza	obtain
thole	obtained
okutjhatjhalazi	obvious
vele	obviously
ngasikhathi	occasionally
umsebenzi	occupation
vala isikhundla	occupied
yenzeka	occur
kwenzeka	occurred
yenzeka	occurs
ilwandle	ocean
usewula	october
ngakhambisaniko	odd
amathuba wokwenza into	odds
ye	of
iye	of course
kude	off
esilingako	offensive
umnikelo	offer
nikela	offer
i-ofisi	office
okusemthethweni	official
kanengi	often
Bababe	Oh
afeke kwamambala	oh really
i-oli	oil
kulungile	ok
kulungile sithandwa	ok dear
kulungile sithandwa	ok honey
kulungile sithandwa sami	ok my love
kulungile	okay
kulungile mntwana	okay baby
kulungile sithandwa	okay dear
kulungile sithandwa	okay honey
kulungile sithandwa sami	okay my love
dala	old
phezu	on
kanye	once
kunye	one
ilimi elilodwa alikaneli	one language is never enough
i-eyi	onion
onlayini	online
kwaphela	only
vula	open
ukusebenza	operation
umbono	opinion
amathuba	opportunities
ithuba	opportunity
phambeneko	opposite
nethemba	optimistic
ikhetho	option
nokukhethwa	optional
namkha	or
o-orentji	orange
i-orentji	orange
hlela	order
ihlelo	order
okujayelekileko	ordinary
ihlangano	organization
ibandulo nelwazi	orientation
ivelaphi	origin
kokuthoma	original
isi-Oromo	Oromo
intandani	orphan
okhunye	other
nakungasinjalo	otherwise
ngenzeka	ought
sethu	our
Umsebenzi wethu: azwisise iphasi mazombe nokobana akghone ukukhuluma ilimi lakhe.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Umsebenzi wethu:kuhlela ilwazi lephasi mazombe nokulenza litholakale kizo zoke iinarha	Our mission: to organize the world's information and make it universally accessible and useful.
ngaphandle	out
umphumela	outcome
izambatho	outfit
phumako	outgoing
isango	outlet
uhlaka	outline
ngaphandle	outside
okuseleko	outstanding
i-ondo	oven
ngaphezu	over
lapha	over there
i-ovorolo	overall
yehlula	overcome
ukucabanga khulu	overthinking
bhedlheka	overwhelmed
bhedlhako	overwhelming
koloda	owe
isikhova	owl
zuzileko	own
zuza	own
umnikazi	owner
ikabi	ox
ibelo	pace
paka	pack
ipaka	package
bhadaliweko	paid
ubuhlungu	pain
penda	paint
isithombe	painting
ipara	pair
tshetlha	pale
intende	palm
ipani	pan
umabhubhisa	pandemic
ivalo	panic
amabhrugu	pants
iphepha	paper
ipharadesi	paradise
malungana	parallel
iphasela	parcel
icolo	pardon
ababelethi	parents
iphaga	park
jama	park
ubhobhorhayi	parrot
iphasili	parsley
ingcenye	part
ukuzibandakanya	participate
khethekileko	particular
khulukhulu	particularly
umlingani	partner
iphathi	party
dlulisa	pass
iphasitjhi	passage
dlulileko	passed
itjisakalo	passion
nethando	passionate
sidu	passive
iphasiwedi	password
isikhathi esidlulileko	past
ukuphakama	patch
indlela	path
ukuba nezwelo	pathetic
ukubekezela	patience
sigulani	patient
gulako	patient
iphetheni	pattern
phumula	pause
ipheyvimende	pavement
bhadala	pay
imbhadalo	payment
ukuthula	peace
ngokuthula	peaceful
iperegisi	peach
isiqongolo	peak
ipiyere	pear
amaphizi	peas
ngakavami	peculiar
ukujoba	pee
joba	pee
kela	peel
intanga	peer
abangani	peers
ipeni	pen
ipensela	pencil
kulawulwe	pending
abantu	people
ibilibili	pepper
bona	perceive
umbono	perception
kuhle	perfect
sebenza	perform
umsebenzi	performance
mhlamunye	perhaps
isikhathi	period
kwasafuthi	permanent
imvumo	permission
imvumo	permit
ukubekezela	perseverance
ukuphikelela	persistent
umuntu	person
okungokwakho	personal
ubuntu	personality
ihlangothi	perspective
heha	persuade
hlanakela	pervert
ifuyosithandwa	pet
isigaba	phase
isehlakalo	phenomenon
ifilosofi	philosophy
umtato	phone
isithombe	photo
umutjhwana	phrase
komzimba	physical
dobha	pick
ukudobha	pick up
isithombe	picture
isitokana	piece
iintokana	pieces
ifarigi	pig
izuba	pigeon
iwobhu	pile
umsamelo	pillow
umtjhayeli wesiphaphamtjhini	pilot
iphini	pin
ipeyinabhula	pineapple
pinki	pink
umgodi	pit
phezulu	pitch
isirhawu	pity
ukubeka	place
beka	place
iindawo	places
ubulwele	plague
thabaleleko	plain
umtlamo	plan
isiphaphamtjhini	plane
tjala	plant
iintjalo	plants
ipleyidi	plate
iplatfomu	platform
dlala	play
umdlalo	play
ukudlala	playing
thabisako	pleasant
bawa	please
thabisako	pleased
ithabo	pleasure
thembisa	pledge
kunengi	plenty
indawo	plot
plaga	plug
iplamu	plum
iplamara	plumber
ubunengi	plural
iphodkhasti	podcast
ikondlo	poem
ikondlo	poetry
iphuzu	point
itjhefu	poison
ipholisa	police
umgomo	policy
ngomoya ophasi	polite
isilaphazeko	pollution
idanyana	pond
idamu	pool
udede	poop
umtlhago	poor
dumuza	pop
dumileko	popular
isitjhaba	population
ifarigi	pork
umdoko	porridge
itheku	port
indawo	position
hlela	positive
phatha	possess
ukuphatha	possession
ubunikazi	possessive
kghonakalako	possible
ukuposa	post
posa	post
tshwilisa	postpone
izambani	potato
ikghono	potential
iponde	pound
indlala	poverty
amandla	power
namandla	powerful
okuphrakthikhali	practical
jayeza	practice
ukuzijayeza	practice
halalisela	praise
umgilingwana	prank
thandaza	pray
kuhle	precious
nembako	precise
ngokunembako	precisely
bonela phambili	predict
nyula	prefer
okunyulwako	preference
ukuba sidisi	pregnant
ukuzindla	prejudice
amacabazi	premises
iphrimiyamu	premium
amalungiselelo	preparation
zilungiselele	prepare
ukuzilungiselela	prepared
abondaweni	preposition
ukuba khona	presence
njenganje	present
isipho	present
isethulo	presentation
ukubulunga	preserve
umengameli	president
ukugandelela	press
gandelela	press
igandelelo	pressure
ukuzenzisa	pretend
ubuhle	pretty
ngobuhle	pretty
khandela	prevent
ngaphambilini	previous
ukudla	prey
intengo	price
ukuzikhukhumeza	pride
umfundisi	priest
iphrayimari	primary
oyihloko	prime
ikosazana	princess
uphrinsipala	principal
ngaphambi	prior
okunyulwako	priority
ijele	prison
buntumba	privacy
kwangasese	private
ilungelo elikhethekileko	privilege
umtlomelo	prize
mhlambe	probably
umraro	problem
ikambiso	procedure
raga	proceed
khambisa	process
ikambiso	process
khiqiza	produce
umkhiqizo	product
umkhiqizo	production
iphrofetjheni	profession
phrofetjhinali	professional
iphrofayili	profile
inzuzo	profit
dephileko	profound
raga	progress
iragelo	progress
iphrojekthi	project
dumileko	prominent
isithembiso	promise
thembisa	promise
thuthukisa	promote
ukukhutjhulwa esikhundleni	promotion
khuthaza	prompt
athembekele	prone
izabizwana	pronouns
ukuphimisa	pronunciation
ubufakazi	proof
kwamambala	proper
ngefanelo	properly
izakhiwo	properties
ipahla	property
isitjhukumiso	proposal
ukungenzeka	prospect
ipumelelo	prosperity
ipumelelo	prosperous
vikela	protect
zikhakhazisa	proud
fakaza	prove
nikela	provide
nangabe	provided
isifunda	province
umnikelo	provision
ibanga lobuja	puberty
umphakathi	public
dosa	pull
umgade	pumpkin
ngesikhathi	punctual
umfundi	pupil
thenga	purchase
kwamambala	pure
phephuli	purple
umnqopho	purpose
isipatji	purse
ukusungula	pursue
thoma	pursuit
sunduza	push
beka	put
iziqu	qualification
ikhwalithi	quality
inani	quantity
ukuba wedwa	quarantine
ukulwa	quarrel
ilwa	quarrel
