a little	азчыкъ
furious	гъадаплы
furniture	мефрушат
further	даа сонъра
furthermore	бир де
future	келеджек
gain	къазанч
game	оюн
gap	бошлукъ
garage	гараж
garbage	чёп
garden	багъча
garlic	сарымсакъ
gate	араба къапы
gather	джыймакъ
gathering	топлашма
gauge	ольчю
gave	берди
gear	тертибат
gender	джыныс
general	умумий
generally	умумен
generate	яратмакъ
generation	несиль
generous	джумерт
genius	даий
genre	тюр
gentle	назлы
genuine	асыл
gesture	ишмар
get	эльге кечирмек
get dressed	кийинмек
get up	турмакъ
get well soon	Аллах шифа берсин
getting	олунма
ghost	хаялет
ghosting	хаялет
giant	къоджаман
gift	бахшыш
ginger	зенджефиль
girl	къыз
girlfriend	къыз аркъадаш
give	бермек
give up	теслим олмакъ
given	берильген
glad	мемнюн
glance	назар
glass	джам
glasses	козьлюк
glimpse	бакъыш
global	бутюн дюнья
gloomy	торс
gloves	къолчакълар
glow	ярыкъ
glow up	парылдамакъ
glue	туткъал
go	кетмек
go ahead	девам эт
go away	ёкъ ол
go to bed	ятмакъ
goal	ахт
goals	макъсатлар
goat	теке
god	танъры
god bless you	Аллах сени къорчаласын
goes	кете
going	кетмекте
going to	азырланмакъ
gold	алтын
gone	кеткен
gonna	азырлана
goo	баткъакъ
good	яхшы
good afternoon	кунь шерифлеринъиз хайыр олсун
good bye	сагълыкънен къалынъыз
good day	хайырлы куньлер
good evening	акъшамлар хайыр
good job	яхшы иш
good looking	шырныкълы
good luck	Аллах къолай кетирсин
good morning	сабалар хайыр
good morning my love	сабалар хайыр, севгилим
good night	геджелер хайыр
goodbye	сагълыкънен бар
goodnight	геджелер хайыр
goods	маллар
Google	Гугл
Google Translate	Google терджимеси
goose	къаз
gorgeous	мутешем
gossip	ошек
got	эльге кечирди
got it	анъладым
government	укюмет
grab	къапмакъ
grade	дередже
gradually	кет-кете
graduate	мезун олмакъ
grain	захире
grant	багъышламакъ
granted	берильген
grapes	юзюм
grasp	къаврамакъ
grass	от
grateful	минеттдар
gratitude	миннетдарлыкъ
grave	мезар
gray	кульренки
great	улу
greed	ачкозьлюк
greedy	саран
green	ешиль
greet	селямлашмакъ
greeting	селямлашма
greetings	селямлар
grey	боз
grid	тель агъы
grief	кедер
grind	уфатмакъ
grip	сап
grocery	бакъкъал
groom	киев
gross	топлам
ground	ер
group	такъым
grow	осьмек
growth	юксельме
grumpy	кейфсиз
Guarani	Гуарани тили
guarantee	кефалет
guard	къаравул
guess	тахмин этмек
guest	мусафир
guidance	реберлик
guide	къылавуз
guilty	къабаатлы
guy	огълан
guys	баллар
gym	спорт салоны
habit	алышкъанлыкъ
habitat	табий муит
had	бар эди
hail	бурчакъ
hair	сач
half	ярым
hall	салон
hand	къол
handle	сап
handsome	корюнген
hang	асмакъ
hang out	саллан-суллан юрьмек
happen	олмакъ
happened	олды
happiness	бахт
happy	бахтлы
happy birthday	хайырлы яшлар олсун
happy birthday to you	хайырлы яшлар олсун
happy new year	янъы йылынъыз хайырлы олсун
hard	зор
hardly	зорнен
hardly ever	ич бир вакъыт десек оладжакъ
harm	зарар
harmful	зарарлы
harmony	уюшма
harsh	серт
harvest	берекет джыювы
has	саип
hate	нефрет
have	бар
have a good day	хайырлы куньлер
have a nice day	яхшы куньлер
have breakfast	сабалыкъ аша
have fun	шенълик олсун
have you eaten	сен энди ашадынъмы
having	саип олгъан
hazard	телюке
haze	туман
he	о
he has	о саип
he is	о
head	къафа
headache	баш агърысы
heal	деваламакъ
healing	шифа
health	сагълыкъ
healthy	сагълам
hear	эшитмек
heard	эшитти
heart	юрек
heat	сыджакъ
heat	къыздырмакъ
heaven	дженнет
heavy	агъыр
hectic	къыймылдавукъ
height	бой
height	юксеклик
heir	варис
heist	чайпав
held	тутулгъан
hell	джеэннем
Hello	Мераба
hello dear	мераба, джаным
hello how are you	селям, насылсынъ
hello how are you doing	мераба насылсынъ
helmet	мигфер
help	ярдым
helpful	файдалы
hence	демек
her	онынъ
herd	сюрю
here	мында
heritage	мирас
hesitate	чекинмек
Hey	Олян
Hi	Селям
hi how are you	мераба, насылсынъ
Hi there	Мераба
hidden	сакълы
hide	сакъламакъ
hierarchy	иерархия
high	юксек
highlight	бельгилемек
hike	кезинти
hiking	пияде туризм
hilarious	шаматалы
hill	байыр
him	онъа
hint	анахтар сёз
hip	бут
hips	санлар
hire	кираламакъ
hiring	туткъан
his	онынъ
history	тарих
hit	урмакъ
Hmm	Хмм
hobby	авеслик
hold	тут
hold on	бекле
hole	тешик
holiday	раатлыкъ куню
hollow	къувуш
home	эв
homework	эв вазифеси
honest	намуслы
honestly	ачыкътан айткъанда
Honey	Татлым
Honey	Бал
honor	намус
hood	башлыкъ
hook	ченгель
hop	секирмек
hope	умют этмек
hope	умют
hopefully	умют иле
hopeless	умютсиз
horizontal	уфкъий
horn	бойнуз
horrible	къоркъунчлы
horror	дешет
horse	ат
hospital	хастахане
hospitality	мусафирченлик
host	эв саиби
hostile	душман
hot	сыджакъ
hotel	мусафирхане
hour	саат
hours	саатлар
house	бина
household	эв ходжалыгъы
how	насыл
how about you	я сен
how are you	ишлер насыл
how are you doing	кейфинъиз насыл
how are you doing today	бугунь ишлер насыл
how are you today	бугунь насылсынъ
how do you do	ишлеринъиз насыл
how is	насыл
how many	къач дане
how much	къач
how often	не къадар сыкъ
how old are you	къач яшындасынъ
how was your day	кунюнъ насыл эди
how was your night	гедженъ насыл кечти
however	анджакъ
hub	меркез
hubby	акъай
hug	къучакъламакъ
huge	къоджаман
human	инсан
humble	алчакъ гонъюлли
humid	серс
humidity	нем
hundred	юз
hungry	ач
hunt	авламакъ
hurricane	къасыргъа
hurry	ашыкъмакъ
hurry up	ашыкъ
hurt	агъры
hurt	бозмакъ
husband	къоджа
hustle	чапкъаламакъ
hut	къулюбе
hygiene	темизлик
I	мен
I am	Мен
I am fine	Мен яхшым
I can	Мен япып олам
I can't	мен япамайым
I do	Мен япам
I do not know	Мен бильмейим
I do not understand	Мен анъламайым
I don't	Мен япмайым
I don't know	мен бильмейим
I don't understand	Мен анъламайым
I don't understand what you mean	Не демек истегенинъизни анъламайым
I don't understand you	Мен сени анъламайым
I don’t know	Мен бильмейим
I don’t understand	Мен анъламайым
i guess	занымджа
I had	Менде бар эди
I have	менде бар
I have been	Мен олдым
I hope so	бойле умют беслейим
I know	мен билем
I like	Мен бегенем
I like you	Мен сени бегенем
I love	Мен севем
I love my big brother	Мен агъамны севем
I love my big sister	Мен татамны севем
I love my father	Мен бабамны севем
I love my little brother	Мен огълан къардашымны севем
I love my little sister	Мен къыз къардашымны севем
I love my mother	Мен анамны севем
I love you	Мен сени севем
I love you so much	Мен сени пек севем
I love you too	Мен де сени севем
I mean	айтаджагъым
I miss you	Мен сени сагъынам
I miss you so much	Мен сени пек сагъынам
I see	анълайым
I think	Мен беллесем
I understand	мен анълайым
I want	Мен истейим
I want to see you	Мен сени корьмеге истейим
I want you	Мен сени истейим
I was	Мен эдим
I will	Мен япаджам
I would be	Мен олур эдим
I'm	мен
I'm fine	мен яхшым
I'm good	Мен яхшым
I'm here	Мен мындам
I'm sorry	мени афу этинъиз
ice	буз
ice cream	дондурма
idea	гъае
ideal	мукеммель
identical	айны
identify	танымакъ
identity	кимлик
idiot	серсем
idle	айлакъ
if	эгер
ignore	корьмемезликке урмакъ
ill	ярамай
illegal	къанунсыз
illness	хасталыкъ
Ilocano	Илокано тили
image	ресим
imagine	хаял этмек
immediate	деръал
immediately	деръал
immense	кебир
impact	тесир
impatient	сабырсыз
implement	амельге кечирмек
import	итъаль
important	муим
impose	даятмакъ
impossible	имкяны ёкъ
impress	теэссурат
impression	теэссурьат
impressive	тесир этиджи
improve	эйилештирмек
improvement	эйилешме
in addition	тамамламакъ ичюн
In fact	Аслында
in front of	огюнде
in order to	ичюн
inappropriate	эльверишсиз
incentive	тешвикъ
incident	вакъиа
include	киргизмек
including	ичерген
income	келир
inconvenience	къолайсызлыкъ
increase	артув
increased	юксельтильген
incredible	инанылмаз
indeed	шубесиз
independent	мустакъиль
India	Индистан
indicate	бельгилемек
indigenous	ерли
individual	фердий
industry	санайы
inevitable	къачынылмаз
infant	къучакъ баласы
infection	юкъунч
infinity	сонъсузлыкъ
inflammation	янгъы
inflation	инфляция
influence	нуфуз
inform	хабер этмек
information	малюмат
ingredients	ичиндекилер
inheritance	мирасланма
initial	башлангъыч
initiative	тешеббюс
injured	яралы
injury	яра
innocent	къабаатсыз
innovation	янъылыкъ
inquiry	такъикъат
insane	анъкъав
insect	боджек
insecure	эмин олмагъан
insert	сокъмакъ
inside	ичинде
insight	басирет
insist	исрар этмек
insomnia	юкъусызлыкъ
inspiration	ильхам
inspire	ильхам бермек
install	юклемек
instance	мисаль
instant	дер-демез
instead	ерине
instead of	ерине
instructions	талиматлар
instrument	алет
insult	акъарет
insurance	сигорта
intact	къырылмагъан
integrity	бутюнлик
intellectual	зиялы
intelligence	идракъ
intelligent	акъыллы
intend	ниет этмек
intended	истенильген
intense	шиддетли
intention	ниет
interact	берабер япмакъ
interaction	мунасебетте булунма
interest	меракъ
interested	меракълангъан
interesting	меракълы
interfere	къарышмакъ
intermediate	ортадаки
internal	ички
international	мемлекетара
internship	стаж
interpret	иза этмек
interpreter	терджиман
interrupt	лафыны кесмек
interview	интервью
intimate	озь
into	ичине
introduce	танытмакъ
introduction	кириш
introvert	ичине айлангъан
intuition	алдындан дуйма
invalid	чалышамагъан
invent	иджат этмек
inventory	колюк-кедик
invest	ятырым
investigate	такъикъ этмек
invitation	давет
invite	давет этмек
invoice	эсап
involve	чекмек
involved	къатылгъан
iron	утю
iron	демир
island	ада
isolated	этраф муиттен айырылгъан
issue	меселе
issues	меселелер
it	о
it is	ойледир
it was	эди
it's	бу
it's ok	эр шей еринде
It's okay	Меселе дегиль
item	мадде
items	эшьялар
its	онынъ
I’m	Мен
jacket	джекет
jail	зиндан
January	Къара къыш айы
jar	гугюм
jaw	ченге
jealous	куньджю
jerk	тентек
jewelry	ильван
job	иш
jogging	чапув
join	къошулмакъ
joint	бугъум
joke	шакъа
journalist	газетаджы
journey	сефер
joy	къуванч
judge	макеме этмек
juice	шыра
july	оракъ айы
jump	секирмек
june	ильк яз айы
junk	файдасыз
just	демин
just do it	яп буны
justice	адалет
justify	акъламакъ
Kalaallisut	Калааллисут тили
keen	кескин
keep	девам этмек
keep	тутмакъ
keep it up	айнен бойле девам этмек
kept	тутты
kettle	чайник
key	анахтар
kick	тепме
kid	бала
kidding	шакъалашма
kidney	буйрек
kids	балалар
kill	ольдюрмек
kind	чешит
kind	незакетли
kinda	киби
kindly	лютуфкяране
kindness	лютуф
king	къырал
kiss	опьмек
kitchen	ашхане
kite	сазагъан
kitten	мышыкъ баласы
knee	тиз
knew	биле эди
knife	пычакъ
knight	батыр
know	бильмек
knowledge	бильги
known	белли
Konkani	Конкани тили
Krio	Крио тили
label	этикетка
labor	эмек
labour	эмек
lack	эксиклик
ladder	мердивен
lady	ханым
laid	къоюлгъан
lake	голь
lamb	къозу
lame	топал
lamp	лампат
land	къара
landscape	манзара
language	лисан
lap	тиз
large	буюк
last	сонъки
last but not least	сонъки олса да, энъ эмиетсиз дегиль
last name	сойады
late	кеч
lately	кеченде
later	кечче
latest	энъ сонъ
latter	сонъки
laugh	кульмек
laughing	кульген
laughter	кулькю
launch	учурмакъ
laundry	чамаширхане
law	къанун
lawn	чимен
lawyer	адлиеджи
lay	яткъызмакъ
layer	къатлам
layout	ерлешме
lazy	тенбель
lead	къуршун
lead	алып бармакъ
leader	ёлбашчы
leaf	япракъ
leak	сызынты
lean	эгильмек
leap	сычрав
learn	огренмек
learning	огренмекте олгъан
lease	киралама
least	энъ аз
leather	тери
leave	къалдырмакъ
leave	кетмек
leaves	япракълар
led	идаре этмек
left	сол
left	кетти
leg	балдыр
legacy	васиет этильген
legal	къануний
legend	эфсане
legit	къануний
leisure	бош вакъыт
lend	одюнч алмакъ
length	узунлыкъ
less	аз
lesson	дерс
let	мусааде этмек
letter	мектюп
lettuce	латук
level	севие
leverage	рычаг
liability	месулиет
library	китапхане
lick	яламакъ
lie	ялан
lie	ятмакъ
lies	яланлар
life	омюр
lift	котермек
light	ачыкъ
light	ярыкъ
lightning	йылдырым
like	бегенмек
like	киби
likely	итимал
likewise	айны шекильде
line	чизги
Lingala	Лингала тили
link	багъланты
lion	арслан
liquid	шингенлик
list	джедвель
listen	динълемек
listening	динълеме
literally	там манасынен
literature	эдебият
litter	чиркеф
little	аз
little	кичкене
live	яшамакъ
liver	къара джигер
lives	аятлар
living	яшамакъта олгъан
living room	отурма одасы
lizard	кесертки
load	юклемек
loaf	къалакъай
loan	одюнч
local	ерли
location	мекян
lock	килит
lockdown	карантин
log	разан агъачы
lol	къакъылдап кульмек
lonely	кимсесиз
long	узун
long time no see	узун вакъыт корюшмедик
look	бакъмакъ
look	корюниш
loop	ильмек
loose	сербест
lord	эфенди
lose	джоймакъ
loss	зиян
lost	джоюлгъан
lot	чокъ
loud	гурь
lounge	мусафир одасы
love	севги
love	севмек
love you	севем сени
lovely	шырын
low	алчакъ
lower	даа алчакъ
loyal	садыкъ
loyalty	садакъат
luck	къысмет
lucky	насипли
Luganda	Луганда тили
luggage	багаж
lump	томар
lunch	уйлелик
lungs	акъджигерлер
luxury	итишам
lying	яткъан
machine	машна
mad	тонкъа
madam	ханым
made	япылгъан
magazine	меджмуа
magnificent	шаане
maid	хызметчи
main	эсас
maintain	девам эттирмек
maintenance	бакъым
Maithili	Майтхили тили
major	уйкен
majority	чокълукъ
make	истисал этмек
make up	макияж
male	акъай киши
mall	алыш-вериш меркези
man	эркек
manage	реберлик япмакъ
management	идаре
manager	ребер
mandatory	лязим
manifest	беянат
manipulate	ойнамакъ
manner	тавыр
manual	къулланма
many	бир чокъ
many many happy returns of the day	бу бахтлы кунь даа чокъ керелер къайтсын
march	март
margin	кяр
market	базар
marriage	эвлилик
married	эвли
mask	маска
mass	кютле
massive	ири
master	уста
match	матч
mate	къафадар
material	мальземе
math	риязият
matter	дегерли
maturity	къувам
may	ола биле
maybe	бельки
me	мен
me too	мен де
meal	емек
mean	орталама
meaning	эмиет
means	демектир
meant	къаст этильген
meanwhile	о арада
measure	ольчемек
measures	ольчюлер
meat	эт
medical	тиббий
medicine	илядж
medicine	тиббиет
meditation	медитация
medium	орта
meet	корюшмек
meeting	топлашув
Meiteilon	Мейтейлон тили
melt	иримек
memories	хатыралар
memory	хатыра
mental	акълий
mention	анъмакъ
mentioned	анъылгъан
mentor	устаз
merchant	туджджар
mercy	мерамет
merely	ялыныз
merry christmas	хайырлы милят
mess	тертипсизлик
message	беянат
messy	низамсыз
metal	маден
method	усул
mice	сычанлар
middle	орта
midnight	гедже ярысы
might	олмасы мумкюн
mild	орта къарар
milestone	ёл ташы
military	арбий
milk	сют
million	миллион
mind	акъыл
mindset	фикир юрьсетюв
mine	менимки
mingle	къарыштырмакъ
minor	уфакъ
minute	дакъкъа
minutes	дакъкъалар
miracle	муджизе
mirror	кузьгю
miscellaneous	чешит тюрлю
mischievous	ичи къара
miserable	заваллы
misery	факъирлик
miss	ханым
miss	сагъынмакъ
miss you	сагъындым сени
missing	эксик
mission	миссия
mist	дым
mistake	хата
Mizo	Мизо тили
mobile	арекетли
mock	хорламакъ
model	къалып
moderate	къарарыны бильген
modern	земаневий
modest	адий
moist	дым
moisture	нем
mold	къалып
mold	куфь
mole	бенъ
mom	аначыгъым
moment	анъ
monday	базарэртеси
money	акъча
monitor	экран
monkey	маймун
month	ай
mood	кейф
moody	сытыкъ
moon	ай
moral	ахлякъий
more	даа зияде
moreover	бундан гъайры
morning	саба
mortgage	ипотека
most	эксериет
mostly	чокъусы
mother	ана
motion	арекет
motivation	арекетлейиджи
mountain	дагъ
mouse	сычан
mouth	агъыз
move	къыбырдамакъ
movement	арекет
movie	фильм
mrs	ханым эфенди
much	чокъ
mud	чамур
mug	мешребе
muscle	адале
museum	музей
mushroom	мантар
music	музыка
must	меджбур
mute	сессиз
mutual	къаршылыкълы
my	меним
My dear	Джаным
my friend	достум
My hovercraft is full of eels	Ава ястыкълы гемим йылан балыкъларынен толу
my love	меним севгим
my name is	меним адым
my pleasure	мемнюн олдым
myself	озюм
mysterious	сырлы
mystery	сыр
myth	эфсане
nail	тырнакъ
naive	сюмсюк
name	ад
narrative	икяе
narrow	тар
nasty	нахош
national	миллий
nationality	миллет
native	тувгъан
natural	табиий
nature	табиат
nausea	юрек буланмакъ
near	янында
nearby	якъынларында
nearly	аман-аман
neat	тертипли
necessary	зарурий
neck	боюн
necklace	герданлыкъ
need	ихтиядж
need	мухтадж
negative	менфий
neglect	эсамесини окъумамакъ
negotiate	музакере этмек
neighbor	къомшу
neighborhood	дживар
neither	не де
nephew	огълан джиен
nerd	гевезе
nervous	абдыравукъ
nest	къуш ювасы
net	агъ
network	агъ
neutral	тарафсыз
never	ич бир вакъыт
never give up	ич бир вакъыт бойсунма
never mind	къулакъ асма
nevermind	къулакъ асма
nevertheless	кене де
new	янъы
news	хаберлер
next	невбеттеки
next to	янында
nice	гузель
nice to meet you	танышкъанымыздан мемнюним
niece	къыз джиен
night	гедже
nightmare	бастырыкъ
nine	докъуз
nineteen	он докъуз
ninety	докъсан
No	Ëкъ
no problem	проблем ёкъ
no way	имкянсыз
nobody	ич кимсе
noise	гурюльтю
noisy	гурюльтили
none	кимсе
noon	уйле
nope	олмаз
nor	не де
normal	сырадан
north	шималь
nose	бурун
nostalgic	асрет
not	дегиль
not at all	бир шей дегиль
not bad	фена дегиль
Not now	Шимди дегиль
not yet	даа ёкъ
note	тезкере
noted	къайд этильген
nothing	ич бир шей
notice	бильдирюв
noticed	абайлады
noun	исим
nouns	исимлер
novel	роман
november	бош ай
now	шимди
nowadays	бугуньде-бугунь
nuisance	нахошлыкъ
null	бош
numb	сессиз
number	номера
nurse	эмшире
nut	фындыкъ
nutmeg	индистан джевизи
nutrition	беслеме
oath	ант
obesity	шишманлыкъ
obey	итаат этмек
object	объект
objective	макъсат
obligation	меджбуриет
obscure	бунарлы
observation	козетюв
observe	козетмек
obsessed	муптеля
obsession	таассуп
obsolete	эскирген
obstacle	маниа
obtain	эльде этмек
obtained	алынгъан
obvious	аян
obviously	бесе-белли
occasionally	кимерде бир
occupation	ишгъаль
occupied	ишгъаль этильди
occur	юз бермек
occurred	олды
occurs	ола
ocean	океан
october	орта кузь
odd	гъарип
odds	фырсат
of course	эльбетте
off	къапалы
offensive	теджавузий
offer	теклиф
office	офис
official	ресмий
often	сыкъ-сыкъ
Oh	Вай
oh really	а, керчектен
oil	ягъ
ok	яхшы
ok dear	яхшы, джаным
ok honey	яхшы джаным
ok my love	яхшы, севгилим
okay	яхшы
okay baby	яхшы, эвлядым
okay dear	яхшы, джаным
okay honey	яхшы, татлым
okay my love	яхшы, севгилим
old	къарт
old	эски
once	бир заманда
one	бир
one language is never enough	тек бир тиль ич бир вакъыт етерли олмаз
onion	согъан
online	онлайн
only	тек
open	ачыкъ
operation	муамеле
opinion	муляаза
opportunities	фырсатлар
opportunity	фырсат
opposite	зыт
optimistic	шадлы
option	вариант
optional	истекке багълы
or	я да
orange	портакъал
order	тертип
order	сымарыш
ordinary	адеттеки
organization	тешкиль
orientation	ориентация
origin	менба
original	асыл нусха
Oromo	Оромо тили
orphan	оксюз
other	башкъа
otherwise	ёкъса
ought	япмакъ меджбуриетинде
our	бизим
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Вазифемиз, эр кеснинъ эр ерде дюньяны анъламасыны ве озюне чешит тюрлю тиллерде ифаде эте бильмесини темин этмектир.
Our mission: to organize the world's information and make it universally accessible and useful.	Вазифемиз, дюньядаки малюматларны бир тертипке кетирип, оларны универсаль суретте иришилир ве файдалы япмакътыр.
out	тыш
outcome	акъибет
outfit	теджхизат
outgoing	судур
outlet	сатув ери
outline	чевре
outside	тышарыда
outstanding	корьгемли
oven	фырын
over	битти
over	узеринде
over there	андаки
overall	умумен алгъанда
overcome	ашмакъ
overthinking	арткъач тюшюнме
overwhelmed	басылгъан
overwhelming	буюк эксериет
owe	борджлы
owl	байкъуш
own	озь
owner	шорбаджы
ox	бугъа
pace	сурьат
pack	пакетлеме
package	пакет
paid	уджретли
pain	агъры
paint	боя
painting	бояма ресим
pair	чифт
pale	солгъун
palm	авуч ичи
pan	тава
pandemic	къыргъынлыкъ
panic	теляш
pants	туман
paper	кягъыт
paradise	дженнет
parallel	мувази
parcel	ёлланма
pardon	багъышланъыз
parents	ана-баба
park	парк
parrot	папагъан
parsley	магъданоз
part	парча
participate	иштирак этмек
particular	муайен
particularly	бильхасса
partner	ортакъ
party	джыйын
pass	кечмек
passage	кечит
passed	кечти
passion	авес
passionate	атешин
passive	пассив
password	пароль
past	кечмиш
patch	ямав
path	ёл
pathetic	сефиль
patience	сабыр
patient	сабырлы
pattern	орьнек
pause	токътама
pavement	къалдырым
pay	тёлемек
payment	тёлеме
peace	тынчлыкъ
peaceful	тынчлыкъсевер
peach	шефтали
peak	удж
pear	армут
peas	нохут
peculiar	озюне хас олгъан
pee	сиймек
peel	артламакъ
peer	акъран
peer	яхшы этип бакъмакъ
peers	акъранлар
pen	къалем
pencil	къарандаш
pending	беклеген
people	адамлар
pepper	бибер
perceive	менимсемек
perception	алгъы
perfect	мукеммель
perform	керчеклешмек
performance	семерелик
performance	иджра этюв
perhaps	ихтимал
period	девир
permanent	даимий
permission	рухсет
permit	рухсет
perseverance	себат
persistent	мерт
person	шахыс
personal	шахсий
personality	шахсиет
perspective	истикъбаль
persuade	къандырмакъ
pervert	сапкъан
pet	эв айваны
phase	фаза
phenomenon	феномен
philosophy	фельсефе
phone	телефон
photo	фото
phrase	ибаре
physical	физикий
physical	беден
pick	сечмек
pick up	къолгъа тюшюрмек
picture	ресим
piece	кесек
pieces	парчалар
pig	домуз
pigeon	гогерджин
pile	оба
pillow	ястыкъ
pilot	учуджы
pin	пин коды
pineapple	ананас
pink	пемпе
pit	чукъур
pitch	тиклик
pitch	къатран
pity	аджымакъ
place	ерлештирмек
places	ерлер
plague	таун
plain	саде
plan	план
plane	учакъ
plant	осюмлик
plants	осюмликлер
plate	тепис
platform	платформа
play	ойнамакъ
play	иджра этмек
play	оюн
playing	ойнагъан
pleasant	хош
please	лютфен
pleased	мемнюн
pleasure	зевкъ
pledge	пей
plenty	баягъы
plot	арса
plug	штекер
plum	эрик
plumber	чиленгир
plural	чокълукъта
podcast	подкаст
poem	шиир
poetry	шиириет
point	нокъта
poison	зыкъым
police	полис
policy	сиясет
polite	незакетли
pollution	кирлилик
pond	тыйнакъ
pool	хавуз
poop	сычмакъ
poor	фукъаре
pop	патламакъ
popular	рагъбетли
population	эали
pork	домуз эти
porridge	джылап боткъасы
port	лиман
position	мевам
positive	мусбет
possess	саип олмакъ
possession	саиплик
possessive	саиплик
possible	мумкюн
post	ёллама
postpone	авуштырмакъ
potato	къартоп
potential	чаре
pound	фунт
poverty	фукъарелик
power	икътидар
powerful	кучьлю
practical	амелий
practice	темрин этмек
practice	амелий фаалиет
praise	макътамакъ
prank	ярамазлыкъ
pray	дуа этмек
precious	къыйметли
precise	хассас
precisely	тамам
predict	келеджекни огюнден айтмакъ
prefer	мейилли олмакъ
preference	сечим
pregnant	агъыр аякълы
prejudice	пешин фикир
premises	ода
premium	мукяфат
preparation	азырлыкъ
prepare	азырламакъ
prepared	азырлангъан
preposition	ярдымджы
presence	мевджудиет
present	эдие
present	мевджут
presentation	темсиль
preserve	сакъламакъ
president	президент
press	басмакъ
pressure	баскъы
pretend	киби япмакъ
pretty	гъайет
prevent	огюни алмакъ
previous	бундан эвельки
prey	ав
price	фият
pride	гъурур
priest	папаз
primary	илькинги
prime	эсас
princess	шахзаде
principal	ёлбашчы
prior	эвельден
priority	сыра
prison	аписхане
privacy	гизлилик
private	шахсий
privilege	имтияз
prize	мукяфат
probably	гъалиба
problem	меселе
procedure	амелият
proceed	илерилемек
process	джерьян
process	ишлемек
produce	истисал этмек
product	махсул
production	истисал
profession	зенаат
professional	ихтисаслы
profile	профиль
profit	кяр
profound	терен
progress	илерилеме
project	лейха
prominent	корюльген
promise	сёз бермек
promote	имкян догъурмакъ
promotion	къол тутув
prompt	кечиктирмесиз
prone	мейли бар
pronouns	замирлер
pronunciation	теляффуз
proof	делиль
proper	уйгъун
properly	догъру шекильде
properties	мульк
property	хусусиет
property	мулькиет
proposal	сымарыш
prospect	имкян
prosperity	абаданлыкъ
prosperous	абадан
protect	къорчаламакъ
proud	гъурурлы
prove	исбатламакъ
provide	темин этмек
provided	теминлемек
province	виляет
provision	темин этюв
puberty	пишкинлик
public	халкъ огюндеки
pull	тартмакъ
pumpkin	къабакъ
punctual	вакътында кельген
pupil	талебе
purchase	сатын алма
pure	саф
purple	мор
purpose	макъсат
purse	чанта
pursue	къуваламакъ
pursuit	такъип
push	итемек
put	къоймакъ
qualification	ихтисас
quality	кейфиет
quantity	микъдар
quarantine	карантин
quarrel	къавгъа
quarter	черик
Quechua	Кечуа тили
queen	къыраличе
queer	ошлу
query	малюмат соратма
question	суаль
queue	невбет
quick	тез
quickly	тез
quiet	яваш
quilt	ёргъан
quit	чыкъып кетмек
quite	олдукъча
quiz	къыскъа сорав
quotation	алынма
quote	алынма
quotes	тырнакълар
rabbit	къоян
race	ыркъ
rage	гъадап
rain	ягъмур
raise	арттырмакъ
raised	юксельген
ran	чапты
random	тесадуфий
range	аралыкъ
rapid	чабик
rapidly	тез-тез
rare	надир
rarely	пек аз
rash	эшкен
rat	сычавул
rate	нисбет
rather	даа догърусы
ratio	нисбет
rational	макъул
raw	чий
re	ре
reach	иришмек
reached	эльде этильген
reaction	реакция
read	окъумакъ
reading	окъув
ready	азыр
real	акъикъий
reality	керчек
realize	ерине кетирмек
realized	ерине кетирильген
really	керчектен де
rear	аркъа
reason	себеп
reasonable	зеинли
recall	сесленюв
receipt	квитанция
receive	къабул этмек
received	алынгъан
recent	сонъки
recently	кеченде
reception	къабул
recipe	рецепт
reckless	ойсыз
recognition	таныма
recognize	фаркъ этмек
recommend	тевсие этмек
recommended	тевсие этильген
record	язы
recover	тюзельмек
recovery	гъайрыдан тиклев
rectangle	тюзкошелик
red	къырмызы
redeem	кери сатын алмакъ
redemption	одев
reduce	азалтмакъ
redundant	керексиз
refer	сылтамакъ
reference	атыф
reflect	акис эттирмек
reflection	акис
refrain	озюни тутмакъ
refrigerator	буздолап
refund	параларны къайтармакъ
refuse	чёплюк
refuse	къабул этмемек
refused	ред этти
regard	сайгъы
regarding	багълы оларакъ
regardless	не олса олсун
regards	сайгъы иле
region	регион
register	къайд этмек
regret	языкъсынмакъ
regret	языкъсынув
regular	мунтазам
regularly	даима
reject	ред этмек
relate	мунасебети олмакъ
related	багълы
relationship	мунасебетлер
relative	сой
relatives	сой-акъраба
relax	раатланмакъ
release	бошатмакъ
released	азат этильген
relevant	келишикли
reliable	ишанчлы
relief	къолайлаштырув
relieve	азат этмек
relieved	раатлагъан
religion	дин
religious	диний
reluctant	зорлангъан
rely	ишанмакъ
remain	къалмакъта
remaining	къалгъан
remarkable	дикъкъат чекиджи
remedy	дерман
remember	хатырламакъ
remind	хатырлатмакъ
reminder	хатырлатыджы
remote	узакъ
remove	чыкъармакъ
render	ишлемек
rent	кира
repair	тамирлев
repeat	текрарламакъ
replace	алмаштырмакъ
reply	джевап бермек
report	эсабат
represent	темсиль этмек
reputation	итибар
request	талап
require	ихтияджы бар
required	керекли
rescue	къуртармакъ
research	тедкъикъат
resemble	ошамакъ
resentment	исьян
reservation	броньлемек
reserve	едек
resident	сакин
resign	истифа этмек
resilience	тыгъыз
resilient	эластик
resist	тирельмек
resistance	тиренюв
resolution	чезилюв
resolve	чезмек
resort	шифахане
resources	менбалар
respect	нисбет
