a	а
desperate	хадуб кколелъул пикру гьабуларев
despite	кин бугонаниги
dessert	десерт
destination	чӀезаби
destination	мухӀканлъизаби
destination	бихьизаби
destiny	къадар
destiny	къисмат
destroy	биххизе
destruction	биххизаби
destruction	бекизаби
destruction	чӀунтизаби
detail	деталь
details	подробности
detect	батизе
determination	мухӀкан гьабун
determination	баян гьаби
determine	хӀукму гьабизе
determined	чӀван къотӀун
devastated	риха-хочараб
develop	цебе тӀезе
develop	ине
developed	тӀадегӀанаб даражаялде бахараб
developed	кутакалда цебетӀураб
development	къвакӀизаби
development	кутак гьаби
development	кӀодо гьаби
development	гӀатӀид гьаби
device	конструкция
devil	шайтӀан
devil	илбис
devoted	ритӀухъав
devoted	ракӀ-ракӀалъ мутӀигӀав
Dhivehi	Дгьивеи
diabetes	диабет
diarrhea	диарея
diary	дневник
dictionary	лфавиталда рекъон лъурал рагӀабазул гьебго мацӀалда магӀна кьураб яги цоги мацӀалде гьел руссинабураб тӀехь
did	гьабуна
die	в
died	хвана
diet	диета
difference	батӀалъи
different	батӀибатӀияб
difficult	захӀмалъи
dig	мун
dignity	лъикӀаб рахъ
diligent	хӀаракат бахъулев
diligent	жигарав
dinner	боголиквен
dinner	къасиквен
dip	биччайзе
direct	бадибе
direction	буссинаби
direction	балагьизаби
direction	битӀи
director	учреждениялъул бетӀер
dirt	хӀарщ
dirty	чурукаб
disable	тӀечго тезе
disabled	гӀунгутӀи бугеб
disabled	щвалде щвечӀеб
disabled	мукъсанаб
disappear	тӀагӀине
disappear	билизе
disappear	цебеса хьвазе
disappointed	пашман-лъизавизе
disappointed	кеп хвезабизе
disappointed	къварилъизавизе
disaster	ракӀ гъанцӀизабулеб
disaster	гӀасияб
disaster	ракӀ хӀинкъизабулеб
disaster	ракӀ зунизабулеб
discard	нахъчӀвазе
discard	инкар гьабун чӀезе
discharge	хъамизе
discipline	гӀадлу-низам
discount	дагьлъизаби
discount	тӀаса рехи
discover	батизе
discrimination	дискриминация
discuss	кьезе гьоркьоб лъезе
discuss	далилал рачине
discuss	жиндирго пикру бицине
discuss	битӀараб къимат
discussion	гьоркьоб лъей
disease	унти
diseases	унтаби
disguise	ххвел гьаби
disguise	щибниги бахчизаби
disgusting	цӀакъ квешаб
dish	квен
dishes	тарелки
dismiss	кколеб къимат кьунгутӀизе
dispatch	тӀубазабизе
display	дисплей
disposal	пайда боси
disposal	гӀадада хвезе течӀого пайда боси
dispute	къец
dispute	дагӀба-къец
dispute	дагӀбади
distance	манзил
distinct	битӀухъаб
distinguish	батӀалъи бихьизе
distress	балагь
distribution	распределение
district	округ
disturb	гьоркьоб къотӀи
ditch	лъелрахъ
dive	вукъун лъедезе
dive	вукъардизе
diverse	батӀи-батӀияб
diversity	релълъинчӀеб жоялъул гӀемерлъи
divide	бикьизе
divine	Аллагьияб
divine	динияб
divine	Аллагьасулаб
divorce	жинди-жиндир бакӀалде ккезаби
divorce	бачин
dizzy	бетӀер свери
do	гьабе
do you	дуца?
do you love me	дуе дун йокьули?
doctor	тохтир
document	документ
does	даз
doesn't	гьечӀо
doesn't	гуро
dog	гьой
Dogri	Догри
doing	гьабизе
doll	васикӀо
doll	ясикӀо
domain	домен
domestic	рукъалъулаб
dominant	цӀикӀкӀунев
don't	ууна
don't	горо
don't	гьечӀо
Don't worry	ургъел гьабуге
donate	кьезе
done	лъугӀана
donkey	хӀама
dope	мехтизавизе гьабулеб дару
double	кӀигъатаб
doubt	щаклъи
dough	ролъ
dough	буцараб гӀатӀ
down	гъоркье
download	реххизе
draft	бацӀцӀад гьабун хъвазелъун тӀоцебе хъвалеб щибниги жо
drag	баччизе
drain	бакъвазабизе
drama	драма
draw	сурат бахъизе
drawer	ящикӀ
drawing	квералъ бахъараб сурат
dread	карабиххи
dread	хӀинкъи
dream	анищ
dress	гурде
drill	борлъизе
drill	каратӀ бахъизе
drink	гьекъезе
drive	бачине
drop	бортизе
dropped	бортараб
drought	бакъвай
drought	ракъдаллъи
drought	бакъбухӀи
drunk	мехтараб
dry	бакъвараб
duck	ордек
dude	гьудул
due	букӀине кколеб
due to	гьедин бугелъул
due to	гьединлъидал
dull	гьавав
dull	гӀадбал
dull	гьагай
dull	гьагал
dumb	гӀабдал
dump	чӀухӀтӀи-къул балеб бакӀ
duration	халалъи
duration	халат бахъин
during	лъугьунаго
dust	хӀур
duty	тӀадаб иш
dwell	бетӀербахъи гьабизе
dwell	гӀумру гьабизе
dying	холев вугев
each	щибаб
each other	цуцал
eager	сабру гьечӀев
eager	яхӀ гьабизе
eager	чӀезе кӀоларев
eagle	цӀум
ear	гӀин
earlier	цудунго
earlier	цебеккунго
earlier	ригьдаго
earlier	гӀуждаго
early	цудунго
earn	мустахӀикълъизе
ears	гӀиндул
earth	земля
earthquake	ракь багъари
ease	бигьайлъи
easily	бигьаго
easily	бигьа
easily	тӀадагьго
east	бакъбакк
easy	бигьаго
eat	кваназе
eating	кваназе
economic	экономикияб
economy	магӀишатияб гӀуцӀи
economy	яшав
edge	рагӀал
edit	хисизабизе
education	лъай кьей
education	цӀализари
effect	кутакаб асар
effective	хӀасил бегеб
efficiency	асар гьаби
efficiency	хӀасил букӀин
efficient	цӀакъ асар гьабулеб
effort	ХӀалбахъи
egg	хоно
eggplant	баклажан
ego	его
eight	микьго
eighteen	анцӀила микьго
eighty	ункъого
either	цинигимаб
elaborate	тӀад хӀалтӀи гьабизе
elbow	гӀункӀрукь
elder	гӀумруялъ кӀудияв
elderly	ригьдаса арав
elderly	бахӀарав гурев
elderly	херлъиялде варав
elegant	исбагьияб
elegant	узданаб
elegant	чӀурканаб
elegant	назукаб
element	щибниги жоялъул бутӀа
elephant	пил
eleven	анцӀила цо
eligible	ихтияр букӀин
eliminate	тӀагӀинавизе
else	цогияб
embarrassed	нечезавурав
embarrassing	нечолев
embrace	бичӀчӀизе
embrace	къабул гьабизе
embrace	лъазе
emerge	баккизе
emergency	нахъ тӀамун тезе бегьулареб
emergency	хехаб
emergency	хӀалакараб
emergency	нахъбахъулареб
emergency	гӀедегӀараб
emotional	рекӀел асар загьир гьабулев
empathy	ракӀунти
empathy	гурхӀел
emphasis	акцент
emphasize	гурхӀизе
emphasize	ургъел гьабизе
emphasize	чияда ракӀ унтизе
employee	цадахъ хъулухъ гьабулев чи
employees	хӀалтӀухъаби
employer	хӀалтӀиде восулев чи
employment	хӀалтӀи
empty	чӀобогояб
enable	ихтияр
enable	изну
encounter	данде чӀвазе
encounter	данде ккезе
encounter	данделъизе
encourage	ракӀ базе
end	рагӀал
end	кӀал
end	тӀогь
endangered	тӀагӀине бегьулеб
endeavor	жигар бахъизе
endeavor	хӀаракат гьабизе
endurance	лъадари
endurance	къохӀехьей
endurance	къвакӀи
endure	хӀехьезе
enemy	тушман
energy	гуч
energy	къуват
energy	энергия
engage	мухьдахъ хасал шартӀазда кквезе
engaged	помолвленный
engagement	лъади аби
engagement	лъадилъун гьари
engagement	яс аби
engine	двигатель
engineer	инженер
English	английский
enhance	кутаклъизабизе
enhance	кьвакӀизабизе
enhance	цӀикӀкӀинабизе
enhance	гучлъизабизе
enjoy	гьабе лазат
enormous	цӀакъ кӀудияб
enough	гӀела
ensure	божилъи кьезе
enter	гъорлъе лъугьине
enter	жаниве лъугьине
entertainment	рахӀат гьаби
entertainment	ракӀ гъезаби
enthusiasm	энтузиазм
enthusiastic	жигар-къасд бугев гӀадан
enthusiastic	хӀаракатай гӀадан
entire	кинабго
entitled	вакил
entitled	божилъи гьабурав чи
entity	аслияб кӀвар буголъи
entrance	жанибе лъугьин
entrepreneur	дармилал бакӀазул бетӀергьан
entrepreneur	капиталист
entrepreneur	фабрик-заводазул
envelope	бухча
environment	сверухълъи
envy	жахӀда-хӀусуд ккезе
epic	эпосалда хурхараб
epic	эпосияб
epic	эпосалъул
epidemic	эпидемия
equal	цокӀалаб
equal	бащадаб
equipment	къваригӀунеб тӀагӀел-гӀучӀ
equity	капитал
equivalent	эквивалент
eraser	резинка
error	хатӀа
error	гъалатӀ
escape	тӀуризе
especially	хасго
essay	гьаби
essay	ургъун бахъи
essay	хъвай
essay	жинцаго ургъун бицин
essence	аслияб кӀвар буголъи
essential	аслияб
establish	тасдикъ гьабизе
establish	ритӀухъ гьабизе
establish	къабул гьабизе
established	гӀуцӀараб
estate	боцӀи
estate	чӀахъен
estate	буголъи
estate	бечелъи
estimate	багьа чӀезабизе
estimated	къимат кьей
etc	цогидалги
eternal	кидагосеб
eternal	лъугӀи гьечӀеб
eternal	даимаб
ethics	мораль
ethics	адаб
ethics	гӀаданлъиялъул къагӀидабазул хӀакъалъулъ бугеб философияб гӀелму
ethics	хасият
evaluate	къимат кьей
evaluation	багьа гьаби
evaluation	багьа чӀезаби
evaluation	къимат кьей
even	кин бугониги
even though	кинбугонаниги
evening	къасимех
evening	маркӀачӀумех
event	лъугьа-бахъин
eventually	ахиралдаги
ever	кидаго
every	щибаб
everybody	киналго
everyone	киналго
everything	сахабго
evidence	хӀужжа
evil	щетӀан
evolution	дагь-дагьккун цо хӀалалдаса цоги хӀалалде гӀодобе биччараб куцалда хиси
evolve	цебе тӀезе
evolve	хиси ккезе
Ewe	Джю
ex	вукӀарав
exact	битӀараб
exactly	битӀун
exam	хӀалбихьи
examine	цӀех-рех гьабизе
example	мисал
exceed	тӀадегӀанлъи
excellent	цӀакъго лъикӀ
except	гьоркьоб тун
exception	рехи
exception	нахъе рехи
excess	тӀокӀлъи
excessive	къваригӀунелдаса цӀикӀкӀараб
excessive	тӀокӀаб
exchange	хисизе
excited	бихха-хочараб
excitement	тамашалъизаве дун
exciting	бихха-хочараб
exclusive	релълъечӀеб
excuse	тӀаса лъугьаян гьаризе
excuse	тӀаса лъугьин
excuse me	тӀаса лъугьа
execute	тӀубайзабизе
execution	тӀубазаби
executive	тӀубазабиялъулаб
executive	билълъанхъизабиялъулаб
exercise	хӀалтӀи
exhaust	газ къватӀибе унеб труба
exhausted	хӀал дагьлъи
exhausted	рухӀ лъугӀи
exhibit	экспонат
exhibition	цебе лъей
exist	гӀумру гьабизе
existence	бетӀербахъи
existing	бугеб
exit	къватӀибе нух
expand	гӀатӀилъизабизе
expect	балагьунчӀейи
expected	балагьун чӀей
expenses	харж гьаби
expensive	багьалъи
experience	хӀалбихьи
experiment	гӀелмияб хӀалбихьи
expert	эксперт
expired	ун лъугӀараб
explain	баян гьабизе
explain	бичӀчӀизабизе
explanation	бичӀчӀизаби
explanation	баян гьаби
exploit	пайда босизе
exploit	хӀалтӀизабизе
explore	лъазабизе
export	улкаялдаса къватӀибе баччи
expose	тӀатинавизе
exposed	хьихьичӀеб
exposure	къвагьизе
express	бихьизабизе
expression	аби
expression	загьирлъи
expression	бицин
expression	загьир гьаби
expression	лъазаби
extend	гӀатӀилъизабизе
extend	гӀатӀид гьабизе
extended	гӀатӀилъараб
extended	гӀатӀилъизабураб
extension	гӀатӀид гьабизе
extension	кӀодо гьабизе
extent	даража
external	къватӀисеб
extinct	хун лъараб
extinct	тӀагӀараб
extra	тӀадеги гьабулеб
extract	къватӀибе бахъизе
extraordinary	батӀияб
extreme	рикӀкӀадисеб
extreme	бищун рагӀалда бугеб
extremely	кутакалда
eye	бер
eyes	берал
fabric	ххам
fabulous	тамашаяб
fabulous	гӀажаибаб
fabulous	гӀадан виххун хутӀулеб
face	гьумер
facilitate	квербакъи гьабизе
facilities	къваригӀунеб тӀагӀел
facility	гӀамал
facility	къагӀида
facility	чара
facility	тадбир
facility	куц
fact	хӀужжа
factor	кӀвар бугеб лахӀза
factory	фабрика
facts	битӀараб жо
fade	кьер хвезе
fade	кьерукълъизе
fade	бецӀлъизе
fade	кьер свине
fail	бортизе
failed	битӀ ккечӀеб
failure	нахъчӀвай
faint	кьер тӀурав
fair	битӀун
fairly	цӀакъ
fairy	маргьабазулаб
fairy	маргьадулаб
faith	божи
faith	дин
faithful	ритӀухъаб
faithful	рекӀкӀ гьечӀеб
faithful	мутӀигӀаб
fake	гьереси
fall	бортана
false	гьереси
fame	цӀар
familiar	ругьунаб
family	хъизан
famine	ракъи
famous	цӀар ини
famous	машгьурлъи
fan	цӀакъ кутакалда цо иш бокьулев
fancy	назукаб
fancy	исбагьияб
fancy	чӀурканаб
fancy	тӀаса бищараб
fancy	чӀухӀараб
fantastic	букӀунареб жо
far	добегӀан
farewell	тӀасса лъугьин
farm	ферма
farmer	фермер
fascinating	хӀайбатаб
fashion	мода
fast	хехаб
fat	къаралъи
fatal	къисматалъулаб
fate	къадар
fate	къисмат
father	дада
fatigue	свак
fatigue	свакай
fault	гъалатӀ
favorite	бокьулеб
favour	къарзалъ кьей
favour	кумек гьаби
favour	гӀаданлъи
favourite	бищунго бокьулеб
fear	хӀинкъи
feast	байрам
feather	милъир
feather	хӀули
feature	гӀамал
features	сипат-сурат
february	февраль
fed up	щокъронибе щвезегӀан гӀорцӀун вуго
fee	хӀалтӀухъ кьолеб мухь
feed	кваназавизе
feed	кваназабизе
feed	кваназайизе
feedback	нахъе ахӀи
feel	хӀалалда бихьизе
feeling	хӀалалда бичӀчӀун букӀине
feet	хӀатӀал
fell	бортана
fellow	вас
felt	хӀалалде бихьана
female	чӀужугӀадан
fence	забор
fertile	лъикӀ жо бижулеб
festival	фестиваль
fetch	босизе
fever	цӀа
fever	багӀари
few	чанго
fewer	дагьав
fiance	бахӀарав
fiction	гьереси
field	авлахъ
fierce	ццин бахъараб
fifteen	анцӀила щуго
fifty	кӀикъоялда анцӀго
fight	рагъизе
fight	рагъда гьоркьор гӀахьаллъизе
fighting	къеркьей
figure	фигура
figure out	бичӀчӀизе
file	иш
fill	цӀезабизе
filled	цӀараб
film	кино
film	фильм
filthy	чороклъараб
filthy	хъубаб
filthy	гъизараб
filthy	хъублъараб
filthy	чорокаб
finally	ахир-къадги
finance	финансал
financial	гӀарцулаб
find	батана
find out	якъинлъизабизе
find out	роцӀинабизе
find out	баянлъизабизе
find out	лъазабизе
find out	баян гьабизе
find out	якъин гьабизе
fine	лъикӀ
finger	килищ
finish	лъугьине
finished	тӀубараб
finished	лъугӀараб
fire	цӀа
firm	къвакӀараб
first	тӀоцебесеб
first name	тӀоцебесеб цӀар
fish	ччугӀа
fit	рекъон
five	щуго
fix	къачӀазе
fixed	цо чӀизабураб
flag	байрахъ
flash	цӀа пархи
flat	рукъ
flaw	гӀунгутӀи
flaw	гьечӀолъи
flawless	багьана чӀвазе бегьулеб
flee	бежать
flesh	черх
flesh	къаркъала
flew	роржанхъулаан
flew	роржен гьабулаан
flex	къичӀизе
flexible	бигьаго гьетӀизабизе кӀолеб
flexible	хьетӀулеб
flight	боржанхъи
flip	эхеде рехизе
flirt	чалухлъизе
flirt	рокьи гьабизе
flirting	рокьи гьаби
flirting	чалухлъи
float	лъедезе
float	лъим ххазе
flood	лъим кӀанцӀи
floor	пол
floor	рукъалъул чӀабар
flour	ханжу
flow	чвахизе
flower	тӀегь
flu	грипп
fluent	лъутарав
fluently	гӀедегӀулаго
fluffy	тӀаде квас бахъараб
fluid	лъамалъи
fluid	лъамияб жо
fly	роржанхъизе
focus	фокус
fog	накӀкӀ
fog	гӀодонакӀкӀ
fog	русулнакӀкӀ
foggy	накӀкӀул
fold	тӀатӀалъезе
folks	аскӀосел
follow	хадув ине
follow up	хадув ине
following	хадусееб
following	бачӀунеб
food	квен
fool	гӀабдал
fool	ахӀмакъ
foolish	ахӀмакъаб
foolish	гӀантаб
foot	гъоркьахӀетӀе
football	футбол
for	гъолъие
For example	масала
for instance	масала
for you	дуе
forbidden	бегьулареб
force	хӀал
forecast	ундулниги ин цебеккунго бицин
forehead	нодо
foreign	къватӀисеб улкаялъул
forest	рохь
forever	кидагоялъе
forever	тӀолабго гӀумруялъего
forever	миркалъго
forget	к
forget	очене
forgive	тӀаса лъугьине
forgot	кӀочене
fork	гӀучӀ
form	форма
formal	формальный
former	вукӀарав
fortunately	талихӀалъ
fortune	икъбал
fortune	бергьенлъи
fortune	талихӀккей
fortune	битӀккей
forty	кӀикъого
forty-two	кӀикъоя кӀиго
forward	Цебе- цебе
foster	гӀизаби
fought	кьабола
found	батизе
foundation	кьучӀ
four	ункъо
fourteen	анцӀила ункъо
fox	перен
fragile	чӀимигӀаб
fragile	хехго бекулеб
frame	гӀурхъи
frame	рамки
framework	къучӀ
framework	рама
fraud	хӀалихьатаб
freak	бетӀер сверарав
freak	гӀадалав
freak	гӀакълу гьечӀев
free	эркенаб
freedom	эркенлъи
freeze	цӀорозабизе
frequency	гӀемерлъи
frequent	хӀалаб
frequent	тӀатӀала букӀунеб
frequently	гьарзаго
frequently	чанго нухалъ
frequently	гӀемерцӀул
frequently	ризго
frequently	гӀемер нухалъ
fresh	цӀияб
fresh	туричӀеб
fresh	цӀекӀлъичӀеб
fresh	ккалачӀеб
fresh	бечӀачӀеб
fresh	тӀабу-тӀинчӀеб
fresh	ахӀанже бетӀараб
fresh	махӀцинчӀеб
fresh	басралъичӀеб
fresh	бигинчӀеб
friday	рузманкъо
friday	рузман
fridge	холодильник
friend	гьудул
friendly	гьудуллъигун
friends	гьалмагъзаби
friendship	гьудуллъи
friendship	гьудул-гьалмагълъи
frightened	хӀинкъиви
frightening	хӀинкъизабулеб
frog	къверкъ
from	добаса
front	цебесеб
front	цебегӀан бугеб
frozen	цӀорозабураб
fruit	бакъвараб пихъ
frustrated	пашманлъараб
frustrated	пашманаб
fuel	цӀатӀари
Fulfulde	Фулфулд
full	цӀураб
fun	рохел
fun	ихтилат
fun	ихтилат-кеп
fun	кеп
fun	аваданлъи
fun	ракӀгъей
function	гьабулеб хӀалтӀи
fundamental	тӀоцебусеб
funeral	магӀирукъ
funny	релъизарулеб
fur	цӀира
fur	квас
fur	ябагъи
furious	кутакалда ццин бахъараб
furious	ццидалаб
furious	ццин бахъараб
furniture	къайи
further	цинги
furthermore	гьелде тӀадеги
future	букӀинесеб
gain	бакӀаризе
gain	бахине
game	хӀай
gap	зазор
garage	гараж
garbage	рищни
garden	ах
garlic	ражи
gate	гъапу
gate	рагьу
gate	каву
gate	каваби
gather	бакӀаризе
gathering	дандчӀвай
gauge	борцине
gave	рикӀкӀалъизаби
gave	нахъбахъи
gear	жанисеб гӀуцӀи
gender	жинс
gender	бихьинлъи-цӀулъи
general	сундуего гӀаммаб
generally	сахго
generate	баккизабизе
generation	наслу
generous	сахаватаб
genius	гьунар бугев чи
genre	къагӀида
genre	куц
gentle	хӀеренаб
genuine	хӀакъикъияб
gesture	квералъ
gesture	бетӀералъ гьабулеб ишара
get	щвана
get dressed	ретӀел ретӀине
get up	вахъине
get well soon	хехго сахлъе
getting	щолев
ghost	рухӀ
ghosting	рухӀ
giant	залим
gift	сайигъат
ginger	имбирь
girl	яс
girlfriend	гьудулай
give	кье
give up	мукӀурлъизе
give up	къун чӀезе
given	кьураб
glad	рохел
glance	бер реччизе
glass	матӀу
glasses	цӀороберал
glimpse	лъайчӀгун бихьизе
global	глобалияб
gloomy	вигъарав
gloomy	кьерхарав
gloomy	гъванилав
gloomy	гӀунцарав
gloves	гвадачал
gloves	квердаххелал
glow	кунчӀкунчӀизе
glow	гвангъизе
glow	нур базе
glow	кенчӀезе
glow up	кенчӀезе
glue	сину
go	ана
go ahead	цебе
go away	а
go to bed	кьишизе вахине
goal	ишан
goal	гӀуж
goals	цели
goat	цӀе
god	бетӀергьан
god bless you	сахго рукӀа
goes	ина буго
going	ина вугев
going to	ракӀарула буго
gold	месед
gone	ана
gonna	хӀурлъула вуго
goo	ине
goo	вилъине
good	лъикӀин
good afternoon	лъикӀаб къо
good bye	рихьила
good day	лъикӀаб къо
good evening	лъикӀаб къасимех
good job	лъикӀаб хӀалтӀи
good looking	лъикӀаб куц-бегӀалда вихьула
good luck	битӀккейги
good morning	радал лъикӏ
good morning my love	доброе утро,дир рокьи
good night	сордо лъикӀ
goodbye	рихьила
goodnight	сордо лъикӀ
goods	культтоварал
Google	гугл
Google Translate	гугл переводчик
goose	хъаз
gorgeous	чӀурканаб
gossip	марага
got	щвана
got it	биччана
government	хӀукумат
grab	кквезе
grade	къимат кьей
gradually	дагь-дагь ккун
graduate	цӀали тӀубан
graduate	къватӀиве виччалев чи
grain	мугь
grant	мугьажир
granted	кьураб
grapes	цӀибил
grasp	бичӀчӀизе
grass	хер
grateful	баркала лъалев
gratitude	баркала
grave	хоб
gray	цӀахӀилаб
great	лъикӀин
greed	хъантӀи
greedy	къарумлъи
green	гӀурччинаб
greet	салам кьезе
greeting	салам кьей
greetings	салам кьезе
grey	цӀахӀилаб
grid	сетка
grid	гьин
grid	хьури
grief	къварилъи
grief	ургъел
grind	хъуризе
grind	ххине
grip	хантӀан босизе
grocery	продуктал ричулеб тукен
groom	бахӀарав
gross	хайир
ground	ракь
group	къокъа
group	тӀел
grow	бижизе
growth	бижи
growth	кӀудияб гӀей
grumpy	ццин бахъараб
grumpy	ццидахараб
grumpy	ццидалаб
Guarani	Гъварани
guarantee	букӀинаби
guarantee	чӀезаби
guarantee	жавабчилъи
guarantee	цӀунизе тӀаде боси
guarantee	жаваб кьей
guard	хъаравуллъи гьабизе
guess	лъана
guest	гьобол
guidance	нухмалъи
guidance	бетӀерлъи гьаби
guide	туристазда  нух бихьизабулев чи
guilty	гӀайибаб
guy	гӀолилав
guys	лъимал
gym	спортзал
habit	гӀамал
habit	хасият
habitat	тӀабигӀияб сверун кквей
had	букӀана
hail	горо
hail	горо-цӀер
hail	цӀер
hair	рас
half	кӀийил бутӀа
half	бащалъи
half	бащдаб
hall	зал
hand	квер
handle	низамалде ккезабизе
handle	нухда тӀамизе
handsome	берцинав
handsome	берцинаб
handsome	берцинай
hang	дализабизе
hang out	кеп гьабизе
hang out	аваданлъи гьабизе
happen	хӀанчӀизе
happened	лъугьине
happiness	талихӀ
happy	роххел
happy birthday	баркула мун гьавурабӀгьаюраб къо
happy birthday to you	баркула дуда мун гьавураб къо
happy new year	баркула цӀияб сон
hard	захӀмат
hardly	тамашха
hardly ever	гӀага-шагарго киданиги
harm	хвезабизе
harmful	зарараб
harmful	зиянаб
harmony	гармония
harsh	кьварарав
harvest	бачӀин
has	Буго
hate	бокьунгутӀизе
have	буго
have a good day	лъикӀаб къо
have a nice day	гьарула дуе лъикӀаб къо
have breakfast	радал кваназе
have fun	аваданлъи гьабизе
have fun	гьабизе
have you eaten	мун кванари
having	букӀаго
hazard	хӀинкъи
haze	накӀкӀ
haze	гӀодонакӀкӀ
haze	русулнакӀкӀ
he	гъов
he has	досул буго
he is	гьев вуго
head	бетӀер
headache	ботӀрол унти
heal	вусинавизе
heal	дару гьабизе
healing	сахлъизе
health	сахлъи
healthy	сахаб
hear	рагӀине
heard	рагӀизе
heart	ракӀ
heat	РакӀ
heaven	алжан
heavy	захӀматаб
hectic	рихха-хочи
height	борхалъи
heir	варис
heir	ирсилав
heir	инсухъачи
heist	талагъи
heist	талавур гьаби
heist	хъамал гьаби
held	ккуна
hell	жужахӀ
Hello	ворчӀамиӀйорчӀами
hello dear	йорчӀами хирияй- for girls, ворчӀами хирияв -for boys
hello how are you	рорчӀами, мун щабула вугев
hello how are you doing	салам,щибула вугев
helmet	хасаб тӀагъур
help	кумек
helpful	кумекияб
hence	гьедин бугелъул
hence	гьединлъидал
her	долъул
herd	рехьед
here	доба
heritage	ирс
hesitate	щаклъизе
Hey	леӀйо
Hi	ворчӀамиӀйорчӀами
hi how are you	салам,кин вуге
Hi there	киназего салам
hidden	бахчун тараб
hidden	балъго гьабураб
hidden	бахчараб
hide	бахчизе
hierarchy	тӀадегӀанаб даражаялъулазе тартибалда гъоркьиял даражабазул мутӀигӀлъиялъулаб низам
high	борхалъи
highlight	батӀалъизе
hike	цере ин
hiking	лъелго ини
hilarious	кеплъурав
hill	гохӀ
him	досул
hint	бичӀчӀизелъун абизе
hip	мачӀчӀ
hips	мачӀчӀаби
hire	хӀалтӀизе лъугьине
hiring	налъи
his	досул
history	история
hit	кьабизе
Hmm	Хм
hobby	гьабизе бокьулеб жо
hold	ккой
hold on	борхун ккойзе
hole	каратӀ
holiday	байрам
hollow	чӀобогояб
home	рукъ
homework	рокъобе хӀалте
honest	ритӀухъав
honest	намус бугев
honest	вацӀцӀадав
honest	ракӀ бацӀцӀадав
honest	витӀарав
honestly	яхӀ-намусалда
Honey	гьоцӀо
honor	яхӀ
honor	намус
hood	капюшон
hook	кӀич
hop	къокъ кӀанцӀи
hope	божи
hopefully	хьулгул
hopeless	безнадежный
horizontal	горизонталъул хӀуччалда битӀараб
horn	лълъар
horrible	ракӀ гъанцӀизабулеб
horrible	гӀасияб
horrible	ракӀ хӀинкъизабулеб
horrible	ракӀ зунизабулеб
horror	ужастик
horse	чу
hospital	азархана
hospitality	гьобол вокьи
host	бетӀергьан чи
hostile	тушманлъиялъулаб
hostile	тушманаб
hot	багӀари
hotel	гостиница
hour	сагӀат
hours	сагӀат
house	рукъ
household	хъизан
how	кин
how about you	мун щабула?
how are you	мун щабула
how are you doing	мун щабула вугевӀйигей
how are you doing today	мун щабула жакъа
how are you today	нуж жакъа кин руге
how do you do	щибула вуге
how is	кин
how many	кигӀан
how many	чан
how much	кигӀаналде
how often	кигӀан гӀемер
how old are you	дуе чан сон бугеб
how was your day	дур къо кин араб
how was your night	маркӀачумех книн араб
however	амма
hub	бакьулъбакӀ
hubby	рос
hug	къвал базе
hug	каранде къазе
huge	кӀудияб
human	гӀадан
human	инсан
human	чи
humble	нич бугеб
humid	регьел бугеб
humid	рагьлилаб
humid	биччараб
humidity	хӀеккин
humidity	биччи
humidity	регьел букӀин
hundred	нусго
hungry	вакъи
hunt	чан гьабизе
hunt	чанаве хьвадизе
hunt	чанахъанлъи гьабизе
hurricane	перен
hurry	гӀедегӀизе
hurry up	гӀедегӀизе
hurt	унтана
husband	рос
hustle	гӀедегӀизе
hut	хъошрукъ
hygiene	рацӀцӀалъи
I	дун
I am	дун
I am fine	дун лъикӀ вуго
I can	дида кӀола
I can't	дида кӀоларо
I do	дица гьабула буго
I do not know	дида лъаларо
I do not understand	дида биччуна гьечӀо
I don't	дун горо
I don't know	дида лъаларо
I don't understand	дида расги бичӀинчӀо
I don't understand what you mean	дида биччуна гьечӀо дуца абула бугеб жо
I don't understand you	дида вичӀчӀуна гьечӀо мун
I don’t know	дида лъаларо
I don’t understand	дида бичӀчӀинчӀо
i guess	батила
I had	дица абула букӀана
I have	дир буго
I have been	дун вукӀана
I hope so	дир талихӀ гьеб гьедин батиларо
I know	дида лъала
I like	дие данде ккола
I like you	дие мун данде ккола
I love	дие бокьула
I love my big brother	дике вокьула дирго кӀудияв вац
I love my big sister	дие йокьула дтрго кӀудияй яц
I love my father	дие вокьула дирго эмен
I love my little brother	дие вокьула дирго гьитӀинав вац
I love my little sister	дие йокьула дирго гьитӀинай яц
I love my mother	дие йокьула дирго эбел
I love you	дин мун вокьулаӀйокьула
I love you so much	дие мун пасат йокьула
I love you so much	дие мун пасат вокьула
I love you too	диеги мун вокьула
I mean	дица абула букӀана
I miss you	Дун урхъун йиго дуда
I miss you	дун урхъун вуго дуда
I miss you so much	дун духъа цӀакъ урхъун вуго
I see	дида бихьула
I think	дун ургъула вуго
I understand	дида бичӀана
I want	дие бокьун буго
I want to see you	дие мун вихьизе вокьун вуго
I want you	дие мун вокьун вуго
I was	дун вукӀана
I was	дун йикӀана
I will	дица гьабила
I would be	дун вукӀунаан
I'm	дун
I'm fine	дун лъикӀ вуго
I'm fine	ниж лъикӀ руго
I'm fine	дун лъикӀ йиго
I'm good	дун лъикӀ вуго
I'm here	дун гьанива вуго
I'm sorry	тӀаса лъугьа
ice	цӀер
ice cream	мороженое
idea	пикру
ideal	цӀакъ лъикӀаб
ideal	цӀакъаб
ideal	хӀисаб гьечӀого
identical	тӀубан релълъараб
identical	гьединабго
identical	цого гӀадаб
