পৰিত্যাগ	abandon
প্ৰকৃত	genuine
ভংগীমা	gesture
পাওক	get
উঠা	get up
ভুত	ghost
দৈত্য	giant
উপহাৰ	gift
আদা	ginger
ছোৱালী	girl
প্ৰেমিকা	girlfriend
দিয়া	give
আনন্দিত	glad
দৃষ্টি	glance
গিলাছ	glass
চশমা	glasses
আভাস	glimpse
সাৰ্বজনীন	global
ডাৱৰীয়া	gloomy
হাতমোজা	gloves
উজ্জ্বলতা	glow
আঠা	glue
যাওক	go
আগবাঢ়ক	go ahead
লক্ষ্য	goal
লক্ষ্যসমূহ	goals
ছাগলী	goat
যোৱাগৈ	go away
ঈশ্বৰ	god
যায়	goes
গৈছে	going to
সোণ	gold
গ’ল	gone
গৈছে	gonna
ভাল	good
বিদায়	good bye
বিদায়	goodbye
সুপ্ৰভাত	good morning
শুভৰাত্ৰি	good night
শুভৰাত্রি	goodnight
বস্তু	goods
গুগল	Google
ৰাজহাঁহ	goose
ধুনীয়া	gorgeous
আড্ডা	gossip
পোৱা	got
চৰকাৰ	government
শ্ৰেণী	grade
স্নাতক	graduate
দানা	grain
অনুদান	grant
মঞ্জুৰ	granted
আঙুৰ	grapes
ঘাঁহ	grass
কৃতজ্ঞ	grateful
কৃতজ্ঞতা	gratitude
কবৰ	grave
ধূসৰ	gray
মহান	great
লোভ	greed
লুভীয়া	greedy
সেউজীয়া	green
শুভেচ্ছা	greetings
গ্ৰিড	grid
দুখ	grief
খুন্দা	grind
দৰা	groom
ভূমি	ground
গোট	group
বৃদ্ধি	growth
বদমেজাজী	grumpy
গুৱাৰানী	Guarani
গাৰাণ্টি	guarantee
আলহী	guest
নিৰ্দেশনা	guidance
দোষী	guilty
যুৱক	guy
ল’ৰাসকল	guys
জিম	gym
অভ্যাস	habit
বাসস্থান	habitat
আছিল	had
শিল-বৰষুণ	hail
চুলি	hair
আধা	half
হল	hall
হাত	hand
চম্ভালা	handle
দেখনিয়াৰ	handsome
ওলমা	hang
ঘটা	happen
ঘটিছিল	happened
সুখ	happiness
সুখী	happy
কঠিন	hard
কেতিয়াবাহে	hardly ever
ক্ষতি	harm
ক্ষতিকাৰক	harmful
সম্প্ৰীতি	harmony
কঠোৰ	harsh
আছে	has
থকা	having
বিপদ	hazard
কুঁৱলী	haze
তেওঁ	he
মূৰ	head
উপচাৰ	healing
স্বাস্থ্য	health
স্বাস্থ্যকৰ	healthy
শুনা	hear
শুনা	heard
হৃদয়	heart
তাপ	heat
স্বৰ্গ	heaven
গধুৰ	heavy
ব্যস্ত	hectic
উচ্চতা	height
উত্তৰাধিকাৰী	heir
ডকাইতি	heist
অনুষ্ঠিত	held
নৰক	hell
নমস্কাৰ	Hello
হেলমেট	helmet
সহায়	help
সহায়ক	helpful
সেয়েহে	hence
তাইক	her
জাক	herd
ইয়াত	here
ঐতিহ্য	heritage
হেৰা	Hey
নমস্কাৰ	Hi
অনুক্ৰম	hierarchy
ওখ	high
হাস্যকৰ	hilarious
পাহাৰ	hill
তেওঁক	him
ইংগিত	hint
কঁকাল	hip
কঁকাল	hips
নিয়োগ	hiring
তাৰ	his
ইতিহাস	history
মৰা	hit
নমস্কাৰ	Hi there
হমম	Hmm
ফুটা	hole
ফোঁপোলা	hollow
গৃহ	home
সত্‍	honest
সত্‍ভাৱে	honestly
মৌ	Honey
সন্মান	honor
ডকাইত	hood
হুক	hook
জঁপিওৱা	hop
আশা	hope
নিৰাশ	hopeless
অনুভূমিক	horizontal
শিঙ	horn
ভয়াৱহ	horror
ঘোঁৰা	horse
চিকিত্‍সালয়	hospital
আতিথ্য	hospitality
প্ৰতিকূল	hostile
গৰম	hot
হোটেল	hotel
ঘণ্টা	hour
ঘণ্টা	hours
ঘৰ	house
ঘৰুৱা	household
কেনেকৈ	how
অৱশ্যে	however
কেনেকৈ	how is
কিমানটা	how many
কিমান	how much
কেন্দ্ৰ	hub
পতি	hubby
আলিংগন	hug
প্ৰকাণ্ড	huge
মানৱ	human
নম্ৰ	humble
আৰ্দ্ৰ	humid
আৰ্দ্ৰতা	humidity
শত	hundred
ভোকাতুৰ	hungry
চিকাৰ	hunt
হাৰিকেন	hurricane
জল্দি	hurry
পতি	husband
হুলস্থূল	hustle
কুটি	hut
পৰিচ্ছন্নতা	hygiene
ম‍ই	I
ম‍ই	I am
বৰফ	ice
আইচক্ৰীম	ice cream
ধাৰণা	idea
আদৰ্শ	ideal
অভিন্ন	identical
পৰিচয়	identity
মূৰ্খ	idiot
যদি	if
বেমাৰী	ill
বেআইনী	illegal
ৰোগ	illness
ইলোকানো	Ilocano
ম‍ই	I'm
ম‍ই	I’m
ছৱি	image
ততালিকে	immediately
অপৰিসীম	immense
প্ৰভাৱ	impact
অধৈৰ্য	impatient
আমদানি	import
গুৰুত্বপূৰ্ণ	important
অসম্ভৱ	impossible
ছাপ	impression
প্ৰভাৱশালী	impressive
উন্নতি	improvement
ভিতৰত	in
তাৰোপৰি	in addition
অনুপযুক্ত	inappropriate
ঘটনা	incident
অন্তৰ্ভুক্ত	include
সাঙুৰি	including
উপাৰ্জন	income
অসুবিধা	inconvenience
অবিশ্বাস্য	incredible
সঁচাকৈয়ে	indeed
স্বাধীন	independent
ভাৰত	India
সংকেত	indicate
দেশী	indigenous
ব্যক্তিকেন্দ্ৰিক	individual
উদ্যোগ	industry
অনিবাৰ্য	inevitable
আচলতে	In fact
কেঁচুৱা	infant
অসীম	infinity
প্ৰদাহ	inflammation
মুদ্ৰাস্ফীতি	inflation
প্ৰভাৱ	influence
তথ্য	information
সন্মুখত	in front of
সামগ্ৰীসমূহ	ingredients
উত্তৰাধিকাৰ	inheritance
প্ৰাৰম্ভিক	initial
আঘাতপ্ৰাপ্ত	injured
আঘাত	injury
নিৰীহ	innocent
উদ্ভাৱন	innovation
কৰিবলৈ	in order to
অনুসন্ধান	inquiry
উন্মাদ	insane
পতংগ	insect
অসুৰক্ষিত	insecure
ভিতৰত	inside
অন্তৰ্দৄষ্টি	insight
অনিদ্ৰা	insomnia
প্ৰেৰণা	inspiration
উদাহৰণ	instance
ক্ষণ	instant
নিৰ্দেশনাসমূহ	instructions
সঁজুলি	instrument
অপমান	insult
বীমা	insurance
অক্ষত	intact
একতা	integrity
বুদ্ধিমান	intellectual
বুদ্ধিমত্তা	intelligence
বুধিয়ক	intelligent
অভিপ্ৰায়	intend
অভিপ্ৰেত	intended
তীব্ৰ	intense
অভিপ্ৰায়	intention
ভাৱ-বিনিময়	interaction
সুত	interest
আগ্ৰহী	interested
আকৰ্ষণীয়	interesting
হস্তক্ষেপ	interfere
অন্তৰ্বৰ্তী	intermediate
আভ্য়ন্তৰীণ	internal
আন্তৰ্জাতিক	international
ইণ্টাৰ্নশ্বিপ	internship
ব্যাখ্যা	interpret
ব্যাখ্যাকৰোতা	interpreter
সাক্ষাত্‍কাৰ	interview
অন্তৰংগ	intimate
পাতনি	introduction
অন্তৰ্মুখী	introvert
অন্তৰ্দৃষ্টি	intuition
অমান্য	invalid
উদ্ভাৱন	invent
আমন্ত্ৰণ	invitation
আমন্ত্ৰণ	invite
চালান	invoice
সাঙুৰা	involve
জড়িত	involved
লো	iron
দ্বীপ	island
বিচ্ছিন্ন	isolated
সমস্যা	issue
সমস্যা	issues
এইটো	it
সামগ্ৰী	item
সামগ্ৰী	items
এইটোৰ	it's
ইয়াৰ	its
জেকেট	jacket
কাৰাগাৰ	jail
জানুৱাৰী	January
জাৰ	jar
হনু	jaw
ঈৰ্ষান্বিত	jealous
জোকৰা	jerk
গহনা	jewelry
চাকৰি	job
গাঁঠি	joint
কৌতুক	joke
সাংবাদিক	journalist
যাত্ৰা	journey
উল্লাহ	joy
বিচাৰক	judge
ৰস	juice
জুলাই	july
জুন	june
আৱৰ্জনা	junk
মাত্ৰ	just
ন্যায়	justice
কলাল্লিসুত	Kalaallisut
আগ্ৰহী	keen
ৰাখক	keep
কেটলী	kettle
চাবি	key
কিক	kick
শিশু	kid
বৃক্ক	kidney
শিশু	kids
হত্যা	kill
দয়ালু	kind
দয়া	kindness
ৰজা	king
চুমা	kiss
পাকঘৰ	kitchen
চিলা	kite
আঁঠু	knee
জানিছিল	knew
কটাৰী	knife
ৰজা	knight
জনা	know
জ্ঞান	knowledge
জনাজাত	known
কোংকণী	Konkani
ক্রিযো	Krio
লেবেল	label
শ্ৰমিক	labor
পৰিশ্ৰম	labour
অভাৱ	lack
চিৰি	ladder
মহিলা	lady
পাৰিলে	laid
হ্ৰদ	lake
ভেড়া	lamb
পংগু	lame
লেম্প	lamp
ভূমি	land
ভূচিত্ৰ	landscape
ভাষা	language
কোলা	lap
ডাঙৰ	large
অন্তিম	last
উপাধি	last name
পলম	late
শেহতীয়াকৈ	lately
পাছত	later
শেহতীয়া	latest
পাছত	latter
হাঁহি	laugh
হাঁহি	laughter
আইন	law
ল’ন	lawn
উকীল	lawyer
স্তৰ	layer
গাঁথনি	layout
এলেহুৱা	lazy
নেতা	leader
পাত	leaf
ফুটা	leak
ক্ষীণ	lean
শিকা	learn
শিক্ষণ	learning
লীজ	lease
চামৰা	leather
যোৱা	leave
পাত	leaves
চালিত	led
বাওঁ	left
ভৰি	leg
উত্তৰাধিকাৰ	legacy
আইনী	legal
কিংবদন্তী	legend
বৈধ	legit
দৈৰ্ঘ্য	length
কম	less
পাঠ	lesson
চিঠি	letter
লেটুচ	lettuce
স্তৰ	level
উত্তোলন	leverage
দায়িত্ব	liability
পুথিভঁৰাল	library
চেলেকা	lick
মিছা	lie
জীৱন	life
ওঠোৱা	lift
পাতল	light
বিজুলী	lightning
সম্ভাৱনা	likely
তেনেদৰেই	likewise
ৰেখা	line
লিংগালা	Lingala
লিংক	link
সিংহ	lion
তৰল	liquid
সূচী	list
শুনক	listen
শুনা	listening
আক্ষৰিকভাৱে	literally
সাহিত্য	literature
লেতেৰা	litter
অলপ	little
যকৃত	liver
চৰা-ঘৰ	living room
জেঠী	lizard
ভাৰ	load
লোফ	loaf
ঋণ	loan
স্থানীয়	local
অৱস্থান	location
তলা	lock
লকডাউন	lockdown
কুণ্ডা	log
হা-হা	lol
নিৰ্জনতা	lonely
দীঘল	long
ৰূপ	look
খান্দৰি	loop
ঢিলা	loose
ঈশ্বৰ	lord
হৰা	lose
ক্ষতি	loss
হেৰাল	lost
বহুত	lot
ডাঙৰকৈ	loud
লাউঞ্জ	lounge
ভালপোৱা	love
ধুনীয়া	lovely
নিম্ন	low
তলৰ	lower
অনুগত	loyal
আনুগত্য	loyalty
ভাগ্য	luck
সৌভাগ্যশালী	lucky
লুগাণ্ডা	Luganda
পিণ্ড	lump
হাওঁফাওঁ	lungs
বিলাসিতা	luxury
যন্ত্ৰ	machine
পগলা	mad
মহোদয়া	madam
বনাইছিল	made
আলোচনী	magazine
চমত্‍কাৰ	magnificent
প্ৰধান	main
ব্যৱস্থাপনা	maintenance
মৈথিলী	Maithili
প্ৰধান	major
অধিকাংশ	majority
পুৰুষ	male
মল	mall
মানুহ	man
ব্যৱস্থাপনা	management
ব্যৱস্থাপক	manager
জৰুৰী	mandatory
ঘোষণাপত্ৰ	manifest
আচৰণ	manner
হাতপুথি	manual
অনেক	many
খোজকঢ়া	march
প্ৰান্ত	margin
বজাৰ	market
বিবাহ	marriage
বিবাহিত	married
মুখা	mask
ভৰ	mass
বিশাল	massive
মাষ্টৰ	master
সংগী	mate
সামগ্ৰী	material
অংক	math
বিষয়	matter
পৰিপক্কতা	maturity
হয়তো	may
হয়তো	maybe
মোক	me
আহাৰ	meal
অৰ্থ	mean
অৰ্থ	meaning
জোখ	measures
মাংস	meat
মেডিকেল	medical
দৰৱ	medicine
ধ্যান	meditation
মাধ্যম	medium
মীটিং	meeting
মৈতৈলোন	Meiteilon
গলা	melt
স্মৃতিসমূহ	memories
স্মৃতি	memory
মানসিক	mental
উল্লেখ	mention
গুৰু	mentor
ব্যৱসায়ী	merchant
দয়া	mercy
কেৱল	merely
অব্যৱস্থিত	mess
বাৰ্তা	message
খেলিমেলি	messy
ধাতু	metal
পদ্ধতি	method
ময়ো	me too
নিগনি	mice
মাজ	middle
মাজনিশা	midnight
মৃদু	mild
সৈনিক	military
গাখীৰ	milk
নিযুত	million
মন	mind
মানসিকতা	mindset
মোৰ	mine
নাবালক	minor
মিনিট	minute
মিনিটবোৰ	minutes
আইনা	mirror
সানমিহলি	miscellaneous
ক্ষতিকাৰক	mischievous
কৰুণ	miserable
দুখ	misery
হেৰাইছে	missing
উদ্দেশ্য	mission
কুঁৱলী	mist
ভুল	mistake
মিজো	Mizo
ম’বাইল	mobile
উপহাস	mock
মডেল	model
মধ্যমীয়া	moderate
আধুনিক	modern
বিনয়ী	modest
সেমেকা	moist
আৰ্দ্ৰতা	moisture
গঠন	mold
তিল	mole
মা	mom
মুহূৰ্ত	moment
সোমবাৰ	monday
ধন	money
বান্দৰ	monkey
মাহ	month
মেজাজ	mood
মেজাজ	moody
চন্দ্ৰ	moon
নৈতিক	moral
অধিক	more
তাৰোপৰি	moreover
পুৱা	morning
বন্ধক	mortgage
অধিকাংশ	most
অধিকাংশভাৱে	mostly
মা	mother
গতি	motion
প্ৰেৰণা	motivation
পৰ্বত	mountain
নিগনি	mouse
মুখ	mouth
বিপ্লৱ	movement
বোলছৱি	movie
শ্ৰীমতী	mrs
অনেক	much
বোকা	mud
মগ	mug
পেশী	muscle
সংগ্ৰাহালয়	museum
কাঠফুলা	mushroom
সংগীত	music
অৱশ্যেই	must
নিঃশব্দ	mute
উমৈহতীয়া	mutual
মোৰ	my
ৰহস্যময়	mysterious
ৰহস্য	mystery
নখ	nail
নিষ্পাপ	naive
নাম	name
বৰ্ণনা	narrative
ঠেক	narrow
অশ্লীল	nasty
ৰাষ্ট্ৰীয়	national
জাতীয়তা	nationality
স্থানীয়	native
প্ৰাকৃতিক	natural
প্ৰকৃতি	nature
কাষত	near
সমীপৰ	nearby
প্ৰায়	nearly
চাফা	neat
প্ৰয়োজনীয়	necessary
ডিঙি	neck
নেকলেচ	necklace
প্ৰয়োজন	need
ঋণাত্মক	negative
চুবুৰীয়া	neighbor
চুবুৰীয়া	neighborhood
ভতিজা	nephew
নিৰ্বোধ	nerd
স্নায়ৱিক	nervous
বাহ	nest
জাল	net
নেটৱৰ্ক	network
নিৰপেক্ষ	neutral
নতুন	new
বাতৰি	news
পৰৱৰ্তী	next
বঢ়িয়া	nice
ভতিজী	niece
নিশা	night
ন	nine
উনৈশ	nineteen
নব্বৈ	ninety
নহয়	No
হুলস্থূল	noise
হূলস্থুলীয়া	noisy
দুপৰীয়া	noon
নহয়	nope
স্বাভাৱিক	normal
উত্তৰদিশ	north
নাক	nose
নহয়	not
টোকা	note
জাননী	notice
নামবাচক	noun
বিশেষ্য	nouns
উপন্যাস	novel
নৱেম্বৰ	november
এতিয়া	now
আজিকালি	nowadays
উপদ্ৰৱ	nuisance
খালী	null
জঠৰ	numb
সংখ্যা	number
নাৰ্ছ	nurse
বাদাম	nut
জায়ফল	nutmeg
পুষ্টি	nutrition
শপত	oath
মেদবহুলতা	obesity
বস্তু	object
উদ্দেশ্য	objective
কৰ্তব্য	obligation
অস্পষ্ট	obscure
পৰ্যবেক্ষণ	observation
আবেশ	obsession
অপ্ৰচলিত	obsolete
বাধা	obstacle
স্পষ্ট	obvious
নিশ্চিতভাৱে	obviously
কেতিয়াবা	occasionally
বৃত্তি	occupation
অধিকৃত	occupied
ঘটে	occur
ঘটিছিল	occurred
ঘটিছে	occurs
মহাসাগৰ	ocean
অক্টোবৰ	october
অস্বাভাৱিক	odd
প্ৰতিকূলতা	odds
নিশ্চিতভাৱে	of course
আক্ৰমণাত্মক	offensive
অফাৰ	offer
কাৰ্যালয়	office
অনুষ্ঠানিক	official
প্ৰায়ে	often
অস	Oh
সঁচাকে	oh really
তেল	oil
বুঢ়া	old
ওপৰত	on
এবাৰ	once
এক	one
পিঁয়াজ	onion
অনলাইন	online
কেৱল	only
খোলা	open
সঞ্চালন	operation
মতামত	opinion
সুযোগ	opportunities
সুযোগ	opportunity
বিপৰীত	opposite
আশাবাদী	optimistic
বিকল্প	option
বৈকল্পিক	optional
অথবা	or
কমলা	orange
ক্ৰম	order
সাধাৰণ	ordinary
সংস্থা	organization
অভিবিন্যাস	orientation
মূলত	origin
মূল	original
ওৰোমো'	Oromo
অনাথ	orphan
অন্যান্য	other
অন্যথা	otherwise
লাগে	ought
আমাৰ	our
বাহিৰ	out
ফলাফল	outcome
পোছাক	outfit
বহিৰ্গামী	outgoing
ৰুপৰেখা	outline
বাহিৰত	outside
অ’ভেন	oven
ওপৰত	over
সামগ্ৰিক	overall
তাত	over there
অভিভূত	overwhelmed
অপ্ৰতিৰোধ্য	overwhelming
ফেঁচা	owl
নিজৰ	own
মালিক	owner
ষাঁড়	ox
গতি	pace
পেক	pack
পেকেজ	package
পৰিশোধিত	paid
দুখ	pain
চিত্ৰাংকন	painting
যোৰা	pair
শেঁতা	pale
তলুৱা	palm
কেৰাহী	pan
অতিমাৰী	pandemic
ত্ৰাস	panic
পেণ্ট	pants
কাগজ	paper
স্বৰ্গ	paradise
সমান্তৰাল	parallel
পাৰ্চেল	parcel
পিতৃ-মাতৃ	parents
উদ্যান	park
ভাটৌ	parrot
অংশ	part
অংশগ্ৰহণ	participate
নিৰ্দিষ্ট	particular
বিশেষকৈ	particularly
সংগী	partner
দল	party
উত্তীৰ্ণ	pass
পাঠাংশ	passage
উত্তীৰ্ণ	passed
আবেগ	passion
ভাবুকতা	passionate
নিষ্ক্ৰিয়	passive
পাছৱৰ্ড	password
অতীত	past
টুকুৰা	patch
পথ	path
কৰুণ	pathetic
ধৈৰ্য	patience
ৰোগী	patient
নমুনা	pattern
বিৰতি	pause
ফুটপাথ	pavement
পৰিশোধ	payment
শান্তি	peace
শান্তিপূৰ্ণ	peaceful
শৃংগ	peak
নাচপতি	pear
মটৰ	peas
আচৰিত	peculiar
বাকলি	peel
সহকৰ্মী	peer
সমনীয়া	peers
কলম	pen
পেঞ্চিল	pencil
লোক	people
জালুক	pepper
বুজা	perceive
ধাৰণা	perception
নিখুঁত	perfect
প্ৰদৰ্শন	performance
বোধকৰোঁ	perhaps
সময়কাল	period
স্থায়ী	permanent
অনুমতি	permission
অধ্যৱসায়	perseverance
অবিৰাম	persistent
ব্যক্তি	person
ব্যক্তিগত	personal
ব্যক্তিত্ব	personality
দৃষ্টিকোণ	perspective
বিকৃত	pervert
স্তৰ	phase
দৰ্শন	philosophy
ফোন	phone
ফটো	photo
বাক্যাংশ	phrase
শাৰীৰিক	physical
বাছক	pick
উঠাওক	pick up
ছৱি	picture
টুকুৰা	piece
টুকুৰাসমূহ	pieces
গাহৰি	pig
স্তূপ	pile
গাৰু	pillow
পাইলট	pilot
পিন	pin
আনাৰস	pineapple
গোলপীয়া	pink
গাঁত	pit
চূড়া	pitch
দয়া	pity
স্থান	place
স্থানসমূহ	places
সমতল	plain
পৰিকল্পনা	plan
বাহন	plane
উদ্ভিদ	plant
উদ্ভিদ	plants
কাঁহী	plate
প্লেটফৰ্ম	platform
খেলা	play
আনন্দদায়ক	pleasant
প্ৰসন্ন	pleased
সুখ	pleasure
শপত	pledge
পৰ্যাপ্ত	plenty
পটভূমি	plot
ছুপি	plug
বগৰী	plum
বহুবচন	plural
প’ডকাষ্ট	podcast
কবিতা	poem
কবিতা	poetry
বিন্দু	point
বিহ	poison
আৰক্ষী	police
নীতি	policy
ভদ্ৰ	polite
প্ৰদূষণ	pollution
পুখুৰী	pond
পুখুৰী	pool
বিষ্ঠা	poop
দুখীয়া	poor
প’প	pop
জনপ্ৰিয়	popular
জনসংখ্যা	population
বন্দৰ	port
অৱস্থান	position
ধনাত্মক	positive
পেছা	possession
স্ব-অধিকাৰ	possessive
সম্ভৱ	possible
ডাক	post
আলু	potato
সম্ভাৱনা	potential
পাউণ্ড	pound
দৰিদ্ৰতা	poverty
ক্ষমতা	power
শক্তিশালী	powerful
বাস্তৱিক	practical
অভ্যাস	practice
মূল্যবান	precious
সুনিৰ্দিষ্ট	precise
যথাযথভাৱে	precisely
অনুমান	predict
গৰ্ভৱতী	pregnant
পৰিসৰ	premises
প্ৰিমিয়াম	premium
প্ৰস্তুতি	preparation
অব্যয়	preposition
উপস্থিতি	presence
বৰ্তমান	present
প্ৰস্তুতি	presentation
সংৰক্ষণ	preserve
ৰাষ্ট্ৰপতি	president
টিপক	press
চাপ	pressure
মৰমলগা	pretty
পূৰ্ৱবৰ্তী	previous
চিকাৰ	prey
মূল্য	price
গৌৰৱ	pride
পূজাৰী	priest
প্ৰাথমিক	primary
মুখ্য	prime
ৰাজকন্যা	princess
প্ৰধান	principal
আগতে	prior
অগ্ৰাধিকাৰ	priority
কাৰাগাৰ	prison
গোপনীয়তা	privacy
ব্যক্তিগত	private
পুৰষ্কাৰ	prize
সম্ভৱতঃ	probably
সমস্যা	problem
পদ্ধতি	procedure
আগবাঢ়ক	proceed
প্ৰক্ৰিয়া	process
উত্‍পাদন	produce
সামগ্ৰী	product
উৎপাদন	production
পেছা	profession
পেশাদাৰী	professional
ৰূপৰেখা	profile
লাভ	profit
দৃঢ়	profound
প্ৰগতি	progress
প্ৰকল্প	project
বিশিষ্ট	prominent
প্ৰতিশ্ৰুতি	promise
প্ৰচাৰ	promotion
শীঘ্ৰে	prompt
উন্মুখ	prone
সৰ্বনাম	pronouns
উচ্চাৰণ	pronunciation
প্ৰমাণ	proof
যথাযথ	proper
সঠিকভাৱে	properly
ধৰ্ম	properties
সম্পত্তি	property
প্ৰস্তাৱ	proposal
সম্ভাৱনা	prospect
সমৃদ্ধি	prosperity
সমৃদ্ধ	prosperous
অহংকাৰী	proud
প্ৰদেশ	province
ব্যৱস্থা	provision
যৌৱন	puberty
ৰাজহুৱা	public
টনা	pull
ৰঙালাউ	pumpkin
সময়নিষ্ঠ	punctual
বিশুদ্ধ	pure
বেঙুনীয়া	purple
উদ্দেশ্য	purpose
অনুসৰণ	pursuit
ঠেলা	push
ৰখা	put
অৰ্হতা	qualification
গুণমান	quality
পৰিমাণ	quantity
কুৰেণ্টাইন	quarantine
কাজিয়া	quarrel
কেচুআ	Quechua
ৰাণী	queen
বিচিত্ৰ	queer
প্ৰশ্ন	query
প্ৰশ্ন	question
দ্ৰুত	quick
দ্ৰুততাৰে	quickly
নীৰৱ	quiet
লেপ	quilt
যথেষ্ট	quite
কুইজ	quiz
উদ্ধৄতি	quotation
উদ্ধৃতি	quote
উদ্ধৃতি	quotes
শহা	rabbit
জাতি	race
খং	rage
বৰষুণ	rain
উত্থাপিত	raised
দৌৰিছিল	ran
যাদৃচ্ছিক	random
পৰিসৰ	range
দ্ৰুত	rapid
দ্ৰুতগতিত	rapidly
বিৰল	rare
কাচিত্‍	rarely
চোকোৰা	rash
চিকা	rat
হাৰ	rate
বৰঞ্চ	rather
অনুপাত	ratio
যুক্তিকৰ	rational
কেঁচা	raw
NS	re
পালেগৈ	reached
প্ৰতিক্ৰিয়া	reaction
পঢ়া	read
সাজু	ready
বাস্তৱ	real
বাস্তৱতা	reality
উপলব্ধি	realize
সঁচাকৈ	really
পিছফালৰ	rear
কাৰণ	reason
যুক্তিসংগত	reasonable
ৰচিদ	receipt
পোৱা	receive
শেহতীয়া	recent
শেহতীয়াকৈ	recently
অভ্যৰ্থনা	reception
ৰেচিপি	recipe
বেপৰোৱা	reckless
স্বীকৃতি	recognition
পৰামৰ্শিত	recommended
নথিভুক্ত	record
পুনৰুদ্ধাৰ	recover
পুনৰুদ্ধাৰ	recovery
আয়ত	rectangle
ৰঙা	red
পাপমোচন	redemption
অপ্ৰয়োজনীয়	redundant
উল্লেখ	refer
সন্দৰ্ভ	reference
প্ৰতিফলন	reflect
প্ৰতিফলন	reflection
ৰেফ্ৰিজাৰেটৰ	refrigerator
সন্মান	regard
এইবিষয়ে	regarding
সন্মান	regards
অঞ্চল	region
নিয়মিত	regular
নিয়মিতভাৱে	regularly
প্ৰত্যাখ্যান	reject
সম্পৰ্কিত	related
সম্পৰ্ক	relationship
সম্পৰ্কীয়	relative
সম্বন্ধীয়	relatives
আৰাম	relax
মুক্তিপ্ৰাপ্ত	released
প্ৰাসংগিক	relevant
নিৰ্ভৰযোগ্য	reliable
অব্যাহতিপ্ৰাপ্ত	relieved
ধৰ্ম	religion
ধাৰ্মিক	religious
অনিশ্চুক	reluctant
ভৰসা	rely
প্ৰতিকাৰ	remedy
স্মাৰক	reminder
দূৰৱৰ্তী	remote
আঁতৰোৱা	remove
ভাড়া	rent
মেৰামতি	repair
পুনৰাবৃত্তি	repeat
প্ৰত্যুত্তৰ	reply
প্ৰতিনিধিত্ব	represent
খ্যাতি	reputation
অনুৰোধ	request
প্ৰয়োজন	require
প্ৰয়োজনীয়	required
উদ্ধাৰ	rescue
গৱেষণা	research
অসন্তুষ্টি	resentment
সংৰক্ষণ	reservation
সংৰক্ষণ	reserve
বাসিন্দা	resident
সহনশীলতা	resilience
প্ৰাণৱন্ত	resilient
সংকল্প	resolution
সমাধান	resolve
আশ্ৰয়	resort
সম্পদসমূহ	resources
সন্মান	respect
সঁহাৰি	respond
সঁহাৰি	response
দায়িত্ব	responsibility
দায়ী	responsible
ৰেষ্টুৰেণ্ট	restaurant
সীমাবদ্ধ	restrict
ফলাফল	result
ফলাফল	results
খুচুৰা	retail
অৱসৰপ্ৰাপ্ত	retired
পশ্চাদপসৰণ	retreat
উন্মুক্ত	revealed
প্ৰতিশোধ	revenge
ৰাজহ	revenue
বিপৰীত	reverse
পুনৰীক্ষণ	review
সংশোধন	revise
সংশোধন	revision
বিপ্লৱ	revolution
পুৰস্কাৰ	reward
তাল	rhythm
পাঁজৰ	rib
ভাত	rice
ধনী	rich
পৰিত্ৰাণ	rid
চলোৱা	ride
হাস্যকৰ	ridiculous
শুদ্ধ	right
এতিয়াই	right now
কঠোৰ	rigid
আঙুঠি	ring
পখালা	rinse
দাঙ্গা	riot
ফলা	rip
পকা	ripe
আশংকা	risk
প্ৰতিদ্বন্দী	rival
নদী	river
পথ	road
পোৰা	roast
মজবুত	robust
শিল	rock
ৰ’ড	rod
ভূমিকা	role
মেৰিওৱা	roll
ছাদ	roof
কোঠা	room
শিপা	root
ৰছী	rope
পচা	rotten
খহটা	rough
মোটামুটিকৈ	roughly
গোলাকাৰ	round
পথ	route
শাৰী	row
ঘঁহা	rub
ৰবৰ	rubber
আৱৰ্জনা	rubbish
ৰূঢ়	rude
পিঠিফালৰ	rug
ধ্বংস	ruin
নিয়ম	rule
শাসক	ruler
নিয়মসমূহ	rules
দৌৰা	run
দৌৰা	running
গ্ৰাম্য	rural
বস্তা	sack
ত্যাগ	sacrifice
সুৰক্ষিত	safe
সুৰক্ষা	safety
মুনি	sage
কৈছিল	said
পাল	sail
হেতু	sake
দৰমহা	salary
বিক্ৰী	sale
চালমন	salmon
নিমখ	salt
একেই	same
নমুনা	sample
বালি	sand
সংস্কৃত	Sanskrit
ব্যঙ্গাত্মক	sarcastic
অনাড়ম্বৰ	sassy
বহিছিল	sat
সন্তুষ্টি	satisfaction
সন্তুষ্ট	satisfied
সন্তোষজনক	satisfying
শনিবাৰ	Saturday
চ’চেজ	sausage
অসভ্য	savage
দেখিছিল	saw
কওক	say
মাপন	scale
কেলেংকাৰী	scam
দাগ	scar
দুৰ্লভ	scarce
গলাবান্ধ	scarf
ভয়ানক	scary
সিঁচৰতি	scattered
দৃশ্য	scene
দৃশ্য	scenery
সুগন্ধ	scent
অনুসূচী	schedule
বিদ্যালয়	school
বিজ্ঞান	science
বিজ্ঞানী	scientist
বিজ্ঞানী	scientists
কেঁচি	scissors
গালি	scold
পৰিসৰ	scope
মানংক	score
চিঞৰ	scream
স্ক্ৰীণ	screen
পেঁচ-গজাল	screw
চিত্ৰনাট্য	script
সাগৰ	sea
ছীল	seal
সন্ধান	search
