abandoned	सोडून वचप
engaged	गूंतप
engaged	घुसपप
engagement	गूंतवण
engagement	साकरपुडो
engage	गूंतप
engineer	अभियंतो
engine	इंजीन
English	इंग्लीश
enhance	वाडोवप
enhance	समृध्द करप
enjoy	मजा करची
enormous	खूब
enormous	प्रचंड
enough	फावोशें
ensure	निश्चीत
entertainment	मनरिजवण
enter	प्रवेश
enthusiasm	उमेद
enthusiastic	उमेदी
entire	पुराय
entire	सगलें
entitled	बांधील
entitled	हकदार
entity	आस्थापन
entrance	प्रवेशदार
entrepreneur	उद्देजक
envelope	लाखाटो
environment	पर्यावरण
environment	वातावरण
envy	मत्सर
epic	म्हाग्रंथ
epidemic	म्हामारी
equal	बरोबर
equal	समान
equipment	अवजार
equipment	उपकरण
equity	इक्विटी
equivalent	समतूल्य
eraser	खोडरब्बर
error	चूक
error	दोश
error	समस्या
escape	पलायन
escape	सोडप
especially	खास करून
essay	निबंध
essence	सत्व
essential	गरजेचें
essential	म्हत्वाचें
established	आस्थापीत
establish	स्थापन करचें
estate	इस्टेट
estimated	अंदाजी
estimate	अंदाज
etc	इत्यादी
eternal	अनंत
ethics	नितीतत्वां
evaluate	मूल्यांकन
evaluation	मोलावणी
evening	तिळसांज
evening	सांज
even though	तरी लेगीत
eventually	अखेरेक
eventually	कांय तेपान
event	कार्यावळ
event	प्रसंग
even	तरीय
everybody	जण एकलो
everyone	जण एकलो
everything	सगलें
every	दरेक
ever	सदांच
evidence	पुरावो
evil	दुश्ट
evil	वायट
evolution	उत्क्रांती
evolve	उत्पन्न
evolve	विकास
Ewe	एवै
exactly	अचूक
exactly	तंतोतंत
exact	अचूक
examine	चाचणी
example	उदारण
exam	परिक्षा
exceed	हुंपता
excellent	उत्कृश्ट
exception	अपवाद
except	हें सोडून
excessive	चड
excessive	हिस्पाभायर
excess	अतिरिक्त
exchange	अदलाबदल
exchange	एक्सचेंज
excited	उत्साही
excited	उमेदी
excitement	उत्साह
exciting	उचंबळीत
exciting	उमळशीक
exclusive	एकमात्र
excuse me	म्हाका माफ करात
excuse	क्षमा करात
execute	अंमलात हाडप
execute	चालीक लावप
execution	अंमलबजावणी
executive	अंलबजावणी करची
exercise	कसरत
exercise	व्यायाम
exhausted	त्राण वचप
exhausted	सोंपलें
exhaust	पुरो जावप
exhibition	प्रदर्शन
exhibit	प्रदर्शन
existence	अस्तित्व
existing	अस्तित्वांतलें
exist	अस्तित्वांत आसा
exit	प्रस्थान
expand	विस्तारावप
expected	अपेक्षीत
expect	अपेक्षा
expenses	खर्च
expensive	म्हारग
experience	अणभव
experiment	प्रयोग
expert	तज्ञ
expired	मरप
expired	सोंपप
explain	सविस्तर कथन
explain	सांगप
explain	स्पश्ट करप
explanation	स्पश्टीकरण
exploit	पिळणूक
explore	सोद घेवप
export	निर्यात
exposed	उघड
expose	उघड करप
exposure	उघड करप
exposure	प्रगट करप
exposure	मुखार हाडप
expression	हावभाव
express	एक्सप्रेस
express	थेट
extended	विस्तारीत केल्लें
extend	विस्तार करचो
extension	विस्तार
extent	शिमे मेरेन
external	बाह्य
extinct	लुप्त
extract	आपरोस
extract	काडचें
extraordinary	अलोकीक
extra	अतिरिक्त
extremely	खूब
extreme	अत्युच्च
ex	आदलें
ex	एक्स
eyes	दोळे
eye	दोळो
fabric	फॅब्रिक
fabulous	सुंदर
face	चेरो
facilitate	सोयीचें करप
facilities	सुविधो
facility	सुविधा
factory	कारखानो
factor	घटक
facts	वस्तुस्थिती
fact	खरी गजाल
fact	वस्तुस्थिती
fade	निस्तेज
failed	अपेशी
failure	अपेस
fail	अपेशी
fail	अपेस
fail	नापास
faint	घुंवप
fairly	न्यायान
fairy	परी
fair	रास्त
faithful	विस्वासू
faith	भावार्थ
fake	फट
fall	पडप
false	फट
fame	लोकप्रियता
familiar	संवकळीचें
family	कुटुंब
famine	दुकळ
famine	दुर्भिक्ष
famous	नामनेचें
famous	फामाद
fancy	लहर
fantastic	विलक्षण
fan	फॅन
fan	मानपी
farewell	फेअरवेल
farmer	शेतकार
farm	शेत
far	खूब पयस
fascinating	ओड लागप
fascinating	पिशें लागप
fascinating	मोहीत जावप
fashion	फॅशन
fast	जलद
fast	बेगीन
fatal	घातक
fatal	जीवघेणें
fate	नशीब
father	बापूय
fatigue	कश्ट
fatigue	पुरो जावप
fat	चरबी
fat	मोठो
fault	चूक
fault	दोश
favorite	आवडीचें
favourite	आवडीचें
favour	फावोर
fear	भंय
feast	फेस्त
feather	पिसां
features	खाशेलपणा
feature	खाशेलपण
february	फेब्रुवारी
fed up	बेजार आयलो
feedback	प्रतिक्रिया
feed	चरव
feed	भरण
feeling	भावना
feel	भासप
feet	पांय
feet	फूट
fee	फी
fellow	फॅलो
fellow	शीश्य
fell	पडप
felt	जाणवप
female	अस्तुरी
female	बायल
fence	वंय
fertile	सुपीक
festival	उत्सव
fetch	सोदप
fever	जोर
fever	थोडें
fewer	थोडें
few	कांय
few	थोडें
fiance	अर्थसहाय्य
fiction	नवलकथा
field	मळ
field	शेत
fierce	भिरांकूळ
fifteen	पंदरा
fifty	पन्नास
fighting	झगडप
fight	उड्डाण
figure out	भायर काडप
figure out	वेंचून काडप
figure	आकृती
file	उजो
filled	भरप
fill	भरण
film	चित्रपट
film	फिल्म
filthy	घाणयारें
finally	अंतिम
finally	निमाणें
finance	अर्थसहाय्य
finance	महसूल
financial	अर्थिक
find out	सोदचें
find	मेळोवप
find	सोदप
fine	दंड
finger	बोट
finished	सोंपलें
finish	सोंपोवचें
fire	उजो
firm	आस्थापन
firm	थीर
firm	फर्म
first name	पयलें नांव
first	पयलें
fish	नुस्तें
fit	जूस्त बसपी
fit	फीट
five	पाच
fixed	थीर
fix	सुटावें करचें
flag	ध्वज
flash	फ्लॅश
flat	फ्लॅट
flat	सपाट
flawless	निर्दोश
flaw	उणे
flaw	दोश
flee	मूस
flesh	मास
flew	मूस
flexible	लवचीक
flex	जंव
flight	उड्डाण
flight	विमान
flip	टिचकी
flirting	लगट करप
flirt	लगट
float	उफेवप
flood	हुंवार
floor	जमीन
floor	मजलो
flour	पीठ
flower	फूल
flow	ओघ
flow	प्रवाह
fluently	अस्खलीत
fluent	अस्खलीत
fluffy	मोव
fluid	द्रव
flu	फ्लू
fly	उडप
fly	मूस
focus	केंद्रीत
foggy	धुक्यान भरिल्लें
fog	धुकें
fold	दोडप
folks	लोकनाच
following	अनुसरण करपी
follow up	अनुसरण करचें
follow	अनुसरण करचें
food	अन्न
food	खाण
foolish	अजागळ
foolish	मूर्ख
fool	पिसो
fool	मूर्ख
football	फूटबॉल
foot	पांय
forbidden	माफ करप
forbidden	हरकत
force	ताकद
force	बळ
forecast	अदमास
forehead	कपल
foreign	विदेशी
forest	रान
forever	कायम
For example	उदारणा खातीर
forget	विसरप
forgive	माफ करप
forgot	विसरलें
for instance	देखीक
fork	काटो
fork	फॉर्क
formal	उपचारीक
former	आदलो
form	प्रकार
form	फॉर्म
fortunately	सुदैवान
fortune	बरें नशीब
forty-two	ब्येचाळीस
forty	चाळीस
forward	फुडें व्हरप
for you	तुमचे खातीर
for	खातीर
foster	चालना
fought	झगडें
foundation	बुन्याद
found	मेळ्ळें
fourteen	चौदा
four	चार
fox	कोलो
fragile	दुबळें
fragile	नाजूक
framework	आराखडो
frame	चवकट
fraud	फटींगपण
freak	कोल्ल
freedom	मुक्ती
freedom	सुटका
freeze	गोठेवप
free	फुकट
frequency	फ्रीक्वेन्सी
frequently	सातत्यान
frequent	सतत
fresh	ताजें
friday	शुक्रार
fridge	फ्रिज
friendly	इश्टागतीचें
friendship	इश्टागत
friends	इश्ट
friend	इश्ट
frightened	भेश्टावप
frightening	भेश्टावप
frog	बेबूक
from	कडल्यान
front	फुडें
frozen	गोठयल्लें
fruit	फळ
frustrated	निरशेवप
fuel	इंधन
Fulfulde	फुलफुल्दे
full	उपाट
full	पूर्ण
function	कार्य
fundamental	मूलभूत
funeral	अंतयात्रा
funny	मजेशीर
fun	उमेद
fun	मजा
furious	भयंकर
furniture	फर्निचर
furthermore	आनीक
further	फुडें व्हरप
fur	पिसां
future	फुडार
gain	नफो
gain	प्राप्ती
game	खेळ
gap	गॅप
gap	चीर
gap	फरक
garage	गॅरेज
garbage	कोयर
garden	पोरसूं
garlic	लसूण
gate	गेट
gathering	जमाव
gather	जमा जावप
gauge	गॉज
gave	दिवप
gave	सुवादीन करप
gear	गिअर
gender	लिंग
generally	सामान्यपणान
general	सर्वसादारण
generate	तयार करचें
generation	पिळगी
generous	उदार
genius	बुदवंत
genre	जेनरे
genre	प्रकार
gentle	सौम्य
genuine	अस्सल
gesture	हावभाव
get dressed	कपडे घाल
getting	मेळटा
get up	उठ
get well soon	रोखडेंच बरें जा
get	मेळोवचें
ghosting	भूताटकी
ghost	भूत
giant	राकेसी
gift	भेट
ginger	आलें
girlfriend	इश्टीण
girlfriend	प्रेमीका
girl	चली
given	दिलें
given	दिल्लें
give up	सोडचें
give	दिवचें
give	दिवप
glad	खोस
glance	नदर मारप
glasses	कांच
glass	काच
glass	ग्लास
glimpse	झलक
global	वैश्वीक
gloomy	दुख्खी
gloves	हातमोजे
glow up	मुखामळ फुलूं दी
glow	चमकप
glue	चकचक
glue	चिकट
go ahead	फुडें वच
goals	उद्देश्य
goal	उद्देश्य
goal	गोल करप
goat	बोकडी
go away	पयस वच
god bless you	देव तुमची राखण करूं
god	देव
goes	वता
going to	हांगा वता
going	वता
gold	भांगर
gone	गेलो
gonna	करतलो
good afternoon	बरी दनपार आंवडेतां
good afternoon	शुभ दनपार
good bye	गूड बाय
goodbye	गूडबाय
good day	उत्तम दीस
good evening	बरी सांज आंवडेतां
good evening	शूभ सांज
good job	बरें काम आसपी
good looking	बरें दिसपी
good luck	शुभेच्छा
good morning my love	शूभ सकाळ म्हजे मोगा
good morning	बरी सकाळ आंवडेतां
good morning	शूभ प्रभात
good night	देव बरी रात दिवं
goodnight	देव बरी रात दीवं
good night	शूभ रात्री
goodnight	शूभ रात्री
goods	उत्पादनां
goods	वस्तू
good	बरें
good	शूभ
Google Translate	गुगल अणकार
Google	गुगल
goose	आवाळे
goose	हंस
goo	गू
gorgeous	भव्य
gossip	चाडयो
got it	कळ्ळें
go to bed	न्हिदूंक वचात
got	कळ्ळें
got	मेळ्ळें
government	सरकार
go	वच
grab	ओडचें
grab	घेवचें
grade	ग्रेड
gradually	सवका-सवका
graduate	पदवीधर
grain	धान्य
granted	मंजुरी दिली
grant	दिवप
grapes	द्राक्षां
grasp	प्रभुत्व
grass	तण
grateful	उपकारी
gratitude	दिनवास
grave	थडें
gray	राखाडी
great	खूप बरें
greedy	लोभी
greed	लोभ
green	पाचवें
greetings	शुभेच्छा
greeting	शुभेच्छा
greet	शुभेच्छा दिवच्यो
grey	राखाडी
grid	हांवेस
grief	दुख्ख
grind	वांटप
grip	ताबो
grocery	पस-यावयलें सामान
groom	न्हवरो
gross	एकंदरीत
gross	एकूण
ground	मैदान
group	गट
growth	वाड
growth	विकास
grow	वाड
grow	विकास
grumpy	अविचारी
Guarani	गुआरानी
guarantee	हमी
guard	गार्ड
guess	अदमास
guess	अंदाज
guest	सोयरो
guidance	मार्गदर्शन
guide	मार्गदर्शन
guilty	अपराधी
guilty	दोशी
guys	इश्टानो
guy	इश्टा
gym	जीम
habitat	वसती
habit	संवय
had	आशिल्लें
had	खालें
hail	राबितो
hair	केंस
half	अर्द
hall	सभाघर
handle	धर
handle	हँडल
handsome	देखणो
hand	हात
hang out	दवर
hang	गोळोव
hang	हँग
happened	घडलें
happen	घडणूक
happiness	आनंद
happy birthday to you	तुमकां वाडदीसाची हूनहूनीत परबी
happy birthday	जल्मदिसाची परबी
happy new year	नव्या वर्साची हूनहूनीत परबी
happy	आनंदी
happy	खोशी
hardly ever	केन्नाय
hardly	सामकीं
hard	कठीण
harmful	हानीकारक
harmony	मिलाप
harm	लुकसाण
harm	हानी
harsh	कडक
harsh	मनाक लागसारकें
harvest	कापणी
harvest	लुंवणी
has	आसा
hate	तिरस्कार
hate	दुस्वास
have a good day	देव बरो दीस दिवं
have a nice day	देव बरो दीस दिवं
have breakfast	नाश्तो कर
have fun	मजा करात
have you eaten	तुवें खालें
have you eaten	तूं जेवलें
have	आसा
have	आसात
have	खा
having	आसा
having	खाता
hazard	धोको
haze	धुकें
headache	तकली उसळप
head	तकली
healing	पेंकप
healthy	आरोग्यवान
health	आरोग्य
health	भलायकी
heal	घाव भरप
heard	आयकप
heart	काळीज
hear	आयकप
heat	उश्णताय
heaven	सर्ग
heavy	खूब
heavy	जड
hectic	त्रासदायक
he has	ताचेकडेन आसा
height	उंचाय
height	उंची
heir	वारस
heist	डकैती
he is	तो आसा
held	ताबो
held	पकड
hello dear	हॅलो मोगा
hello how are you doing	हॅलो तुमी कशे आसात
hello how are you	हॅलो कशे आसात तुमी
Hello	हॅलो
hell	नरक
helmet	हॅल्मेट
helpful	आदाराचें
help	आदार
help	मजत
hence	ताकालागून
herd	कळप
here	हांगा
heritage	दायज
her	तिचें
hesitate	अनमनप
Hey	आरे
he	तो
hidden	लिपिल्लें
hide	लिपोवचें
hierarchy	दायज
hierarchy	हायरार्की
highlight	हायलायट
high	उंच
high	उच्च
hi how are you	हाय कशें आसा तूं
hike	वाड
hiking	हायकींग
hilarious	खेळीमेळीचें
hill	दोंगुल्ली
him	ताणे
him	तो
hint	हिंट
hips	कुले
hip	कमर
hire	भाड्यान घेवप
hiring	भाड्यान दिता
history	इतिहास
his	ताचें
Hi there	हे नमस्कार
hit	हाणप
Hi	हाय
Hmm	अं
hobby	संवय
hold on	धरून रावचें
hold	धर
hold	नियंत्रण
hole	बुराक
holiday	सुटी
hollow	पोकळ
homework	गृहपाठ
home	घर
honestly	प्रामाणिकपणान
honest	इमानी
honest	प्रामाणीक
Honey	म्होंव
honor	भौमान
hood	बुरखोधारी चोर
hook	हूक
hopefully	आस्त आसा
hopeless	इबाडिल्लें
hopeless	पाड पडिल्लें
hope	आस्त
hop	कुटप
horizontal	आडवें
horn	शिंग
horn	हॉर्न
horrible	भयानक
horror	भिरांकूळ
horse	घोडो
hospitality	आदरातिथ्य
hospital	ऑश्पिताल
hostile	दुस्मानकायेचें
hostile	वैरभावाचें
host	येजमान
hotel	हॉटेल
hot	गरम
hours	वरां
hour	वर
household	घरगुती
house	घर
how about you	तुज्या बद्दल किदें
how are you doing today	तुमकां आयज कशें दिसता
how are you doing	तुमचें कशें चल्लां
how are you today	तूं आयज कशें आसा
how are you	तुमी कशीं आसात
how are you	तुमी कशे आसात
how are you	तूं कशें आसा
how are you	तूं कसो आसा
how do you do	तू कसो आसा
however	तथापि
however	पूण
how is	तें कशें
how many	कितले
how much	कितले
how often	कितले फावटी करतात
how old are you	तुजी पिराय कितली
how was your day	तुमचो दीस कसो गेलो
how was your night	तुजी रात कशी गेली
how	कशें
hubby	घोव
hub	केंद्र
hub	हब
huge	खूब
hug	वेंग मारप
human	मनीस
humble	नमळायेन
humidity	आद्रताय
humid	दमट
hundred	शंभर
hungry	भुकेल्लो
hunt	शिकार
hurricane	हुरिर्केन
hurry up	ताकतीक करात
hurry	ताकतीक करात
hurt	उपद्रव
hurt	दूख
husband	घोव
hustle	ताकतीक
hut	खोप
hygiene	नितळसाण
I am fine	हांव बरें आसा
I am	हांव आसा
I can't	हांव करूंक शकना
I can	हांव करूंक शकता
ice cream	आयस क्रीम
ice	बर्फ
ideal	कल्पना
idea	कल्पना
identical	समान
identify	वळखप
identity	वळख
idiot	मूर्ख
idle	सुस्त
I do not know	म्हाका खबर ना
I do not understand	म्हाका समजना
I don't know	म्हाका खबर ना
I don’t know	म्हाका खबर ना
I don't understand what you mean	तुमकां किदें सांगपाचें आसा तें म्हाका कळना
I don't understand you	म्हाका तू किदें सांगता समजना
I don’t understand	म्हाका समजना
I don't understand	म्हाका समजनां
I don't	हांव नकळो
I do	हांव करता
if	जर
ignore	टाळचें
ignore	दुर्लक्ष करप
i guess	म्हाका दिसता
I had	हांव जेवलें
I have been	हांवें केलां
I have	म्हजेकडेन आसा
I hope so	म्हाका तशी आस्त आसा
I know	हांव जाणा
I like you	म्हाका तूं आवडटा
I like	म्हाका आवडटा
illegal	बेकायदेशीर
illness	दुयेंस
ill	दुयेंत
ill	नजो जावप
Ilocano	इलोकानो
I love my big brother	म्हजो म्हजे व्हडले भावाचेर खूब मोग आसा
I love my big sister	म्हजो म्हजे व्हडले भयणीचेर खूब मोग आसा
I love my father	म्हजो म्हजे बापायचेर खूब मोग आसा
I love my little brother	म्हजो म्हजे धाकले भावाचेर खूब मोग आसा
I love my little sister	म्हजो म्हजे धाकले भयणीचेर खूब मोग आसा
I love my mother	म्हजो म्हजे आवयचेर खूब मोग आसा
I love you so much	हांव तुजेर खूब मोग करता
I love you too	हांवूय तुजेर मोग करता
I love you	हांव तुजेर मोग करता
I love	म्हजो मोग आसा
image	प्रतिमा
imagine	कल्पना
I mean	अर्थ असो आसा
I mean	म्हाका म्हणपाचें आसा
I'm fine	बरें आसा
I'm fine	हांव बरो
I'm good	हांव बरें आसा
I'm here	हांव हांगा आसा
I miss you so much	म्हाक तुजी खूब याद येता
I miss you	म्हाका तुजी याद येता
immediately	तत्काळ
immediately	रोखडेंच
immediate	तत्काळ
immense	अपार
immense	खूब
impact	परिणाम
impact	प्रभाव
impatient	हुतहुतें
implement	अंमलबजावणी
implement	लागू करप
important	म्हत्वाचें
import	आयात
impose	चालीक लावप
impossible	अशक्य
impression	छाप
impressive	प्रभावी
impress	प्रभाव घालप
improvement	सुदारणा
improve	सुदारणा
I'm sorry	म्हाका माफ करचें
I'm	हांव
I’m	हांव
in addition	ते अतिरिक्त
inappropriate	अयोग्य
incentive	प्रोत्साहन
incident	घडणूक
incident	प्रसंग
include	समावेश आसा
including	सयत
income	उत्पन्न
income	येणावळ
inconvenience	गैरसोय
increased	वाडिल्लें
increase	वाड
incredible	अविश्वसनीय
indeed	खरेंच
indeed	खरेपणीं
independent	स्वतंत्र
India	भारत
indicate	दर्शोवप
indigenous	स्वदेशी
individual	मनीस
individual	स्वतंत्र व्यक्ती
industry	उद्देग
inevitable	अपरीहार्य
In fact	खरें म्हणल्यार
infant	शीश्यू
infection	संक्रमण
infinity	अनंतताय
infinity	पराकाश्ठा
inflammation	सूज
inflation	म्हारगाय
influence	प्रभाव
information	म्हायती
inform	कळोवप
inform	म्हायती दिवप
in front of	हाचें फुडें
ingredients	घटक
ingredients	व्यंजन
inheritance	दायज
inheritance	वारसो
initial	आरंभीक
initiative	फुडाकार
injured	जखमी
injury	जखम
innocent	निरागस
innocent	सादें
innovation	उपक्रम
in order to	हाका लागून
inquiry	चवकशी
insane	पिशेपण
insect	कीटक
insecure	असुरक्षीत
insert	रिगोवचें
inside	भितर
insight	दुरदृष्टी
insist	हट्ट धरप
insomnia	निद्रानाश
inspiration	प्रेरणा
inspire	प्रेरणा
install	स्थापणूक करची
instance	उदारण
instant	तत्काळ
instead of	ताचे बदली
instead of	ते परत
instead	तेपरस
instructions	सुचोवण्यो
instrument	वाद्य
insult	अपमान
insurance	विमो
intact	आसा तशें
integrity	तत्वनिश्ठा
intellectual	बौधीक
intelligence	बुदवंतकाय
intelligent	बुदवंत
intended	गंर्भीत
intend	हेतू
intense	तिव्र
intention	हेतू
interaction	परस्परउलोवप
interact	परस्परसंवाद
interested	इत्सुक
interesting	उमळशीक जागोवपी
interest	इत्सा
interest	कळंतर
interest	रुची
interfere	नाक खुपसप
intermediate	मध्यस्त
internal	अंतर्गत
internal	आंतरीक
international	आंतरराष्ट्रीय
internship	इंटर्नशीप
interpreter	दुभाशी
interpret	अणकार करप
interrupt	बाधा
interview	मुलाखत
intimate	खाजगी
into	हातूंत
introduce	परिचय
introduce	वळख
introduction	वळख
introvert	अंतर्मूख
intuition	अंतप्प्रेरणा
invalid	अवैध
inventory	इनवेंटोरी
inventory	साधनसंग्रह
invent	संशोधन
invent	सोदून काडप
investigate	तपास करप
invest	गूंतोवचें
invitation	आपोवणें
invitation	आमंत्रण
invite	आमंत्रण
invoice	इनवॉयस
involved	वांटेकार
involved	समावेश
involved	सहभागी
involve	समाविश्ट जावप
in	हातूंत
iron	पोलाद
iron	लोखंड
I see	अशें
island	जुंवो
isolated	वेगळे केल्लें
issues	समस्या
issue	समस्या
is	आसा
items	आयटम्स
items	वस्तू
item	आयटम
item	नग
item	वस्तू
I think	म्हाका दिसता
it is	तें आसा
It's okay	आसूं
It's okay	तें बरें आसा
it's ok	आसूं
its	तें
it's	तें आसा
it was	तें आशिल्लें
it	तें
I understand	म्हाका कळटा
I understand	म्हाका समजता
I want to see you	म्हाका तुका पळयन दिसला
I want you	म्हाका तू जाय
I want	म्हाका जाय
I was	हांव आशिल्लो
I will	हांव करतलो
I would be	हांव आसतलों
I	हांव
jacket	जॅकेट
jail	कादय
jail	जेल
January	जानेवारी
jar	जार
jaw	जबडो
jealous	दुस्वास
jerk	झटको
jewelry	वस्ती
job	काम
job	नोकरी
jogging	जॉगिंग
joint	जोड
join	संयोग
join	सहभाग
joke	मस्करी
journalist	पत्रकार
journey	प्रवास
journey	भोंवडी
joy	आनंद
judge	न्यायमुर्ती
juice	रोस
july	जुलाय
jump	उडी
june	जून
junk	जंक
just do it	करून पळयात
justice	न्याय
justify	स्पश्टीकरण दिवचें
just	आतांच
just	फकत
Kalaallisut	कलाल्लिसुत
keen	खर
keep it up	चालूच दवरात
keep	दवरचें
kept	दवरचें
kept	दवरप
kettle	किटली
key	चावी
key	मुखेल
kick	कीक
kidding	मस्करी करता
kidney	किडणी
kids	भुरगीं
kid	भुरगें
kill	मारप
kinda	किंडा
kindly	कृपा करून
kindness	दयाळूपण
kind	प्रकार
kind	बरें
king	राजा
kiss	उमो
kitchen	रांदचेकूड
kite	पतंग
kitten	माजरापील
knee	धोंपर
knew	खबर आसा
knew	जाणा
knife	सुरी
knight	बुद्दीबळातलो घोडो
knowledge	ज्ञान
known	ज्ञात
know	जाणा
Konkani	कोंकणी
Krio	क्रियो
label	लेबल
labor	बाळंतपणातलें दुखणें
labour	कामगार
lack	उणाव
lack	कमी
ladder	शिडी
lady	बायल
laid	नेणार
lake	तळें
lamb	कोकरूं
lame	थोटो
lamp	दिवो
landscape	लँडस्केप
land	जमीन
land	भूंय
language	भास
lap	मांडी
large	मोठें
large	व्हड
last but not least	निमाणें पूण थोडें न्हय
last name	निमाणें नांव
last	निमाणें
lately	उसरां
later	मागीर
latest	हालींचें
late	उसरां
latter	दुसरो
laughing	हांसो
laughter	हांसो
laugh	हांसो
launch	शुभारंभ
laundry	लाँंड्री
lawn	लॉन
lawyer	वकील
law	कायदो
layer	स्तर
layout	रचणाय
lay	पुरप
lay	मांडप
lazy	आळशी
lazy	सुस्त
leader	फुडारी
lead	फुडाकार
leaf	पान
leak	गळटी
lean	पातयेवन रावप
lean	बारीक
leap	लीप
learning	शिकप
learning	शिक्षण
learn	शिकप
lease	लीज
least	कमीत कमी
least	किमान
leather	चामडें
leaves	पानां
leaves	सुटयो
leave	सुटी
leave	सोड
led	नेतृत्व
left	दावें
legacy	कायदेशीर हक्क
legacy	लिगसी
legal	कायदेशीर
legend	आख्यायिका
legit	कायदेशीर
leg	पांय
leisure	फावतो वेळ
leisure	सवड
lend	उश्णे दिवचे
length	लांबाय
length	लांबी
lesson	धडो
less	उणें
less	कमी
letter	चीट
letter	पत्र
lettuce	लेट्युस
let	चला
level	पांवडो
level	स्तर
leverage	लिवरेज
liability	लागणूक
library	पुस्तकालय
library	लायब्ररी
lick	मूठ मारप
lies	आसा
lies	फटकिरें
lie	फट
life	जिवीत
lift	उखलप
lightning	प्रकाश
lightning	वीज पडप
light	उजवाड
likely	चडशें
likewise	तशेंच
likewise	हेच भशेन
like	आवड
line	ओळ
Lingala	लिंगाला
link	लिंक
lion	शींव
liquid	द्रव
listening	आयकप
listen	आयकप
list	सूची
literally	अक्षरशः
literally	शब्दशः
literature	साहित्य
litter	लीटर
little	थोडेंशें
little	ल्हान
liver	फिग्द
lives	जगता
live	जिवें
living room	बैठक
living	जिवंत
lizard	पाल
load	भार
load	लोड
loaf	लोफ
loaf	वडी
loan	कर्ज
loan	रीण
local	थळावें
location	थळ
lockdown	लॉकडावन
lock	कुलप
lock	लॉक
log	लॉग
lol	व्हड हांसो
lonely	एकलो
long time no see	कितलो तेप जालो मेळूकूच ना
long	लांब
look	दिसप
loop	लूप
loose	मेकळें
loose	सुटें
lord	ईश्वर
lord	देव
lose	शेणप
lose	सुटप
loss	लुकसाण
lost	शेणलें
lot	खूब
loud	व्हडल्यान
lounge	लॉन्ज
lovely	खूब बरें
lovely	सुंदर
love you	तुका मोग करता
love	मोग
lower	कमी
low	उणें
low	कमी
loyalty	इमानीपण
loyalty	प्रामाणिकपण
loyal	इमानी
loyal	परोपकारी
lucky	नशीबवान
luck	नशीब
Luganda	लुगांडा
luggage	सामान
lump	दिफळो
lunch	दनपारचें जेवण
lungs	फुफ्फुसां
luxury	चैनीचें
lying	फट
machine	मशीन
madam	मॅडम
made	तयार
mad	पिसो
magazine	नेमाळें
magnificent	भव्य
magnificent	शोभिंवंत
maid	वावराडी
maintain	राखप
maintain	सांबाळप
maintenance	देखरेख
main	मुखेल
Maithili	मैथिली
majority	भोवसंख्याक
majority	मुखेल
major	प्रमुख
major	मुखेल
major	मोठें
major	व्हड
make up	मेक अप
make	तयार करचें
male	दादलो
mall	मॉल
management	वेवस्थापन
manager	वेवस्थापक
manage	हाताळचें
mandatory	सक्तीचें
manifest	व्यक्त
manipulate	ढवळाढवळ
manipulate	फटोवप
manner	आचरण
manner	शिश्त
manual	मॅन्युअल
many many happy returns of the day	वाडदीसाच्यो शुभेच्छा
many	खुबशे
many	जायते
man	दादलो
march	मार्च
margin	मार्जीन
margin	समास
market	बाजार
marriage	लग्न
married	लग्न जाल्लो
mask	मास्क
mask	मुखवटो
massive	तिव्र
mass	चोंबो
master	मास्टर
match	जुळणी
match	जोडी लावप
material	नग
material	वस्तू
material	साहित्य
mate	साथीदार
math	गणीत
matter	फरक पडप
maturity	परिपक्वताय
maybe	कदाचीत
maybe	घडये
may	घडये
meal	जेवण
meaning	अर्थ
means	म्हणल्यार
meant	म्हणजे
meanwhile	इतलेमजगतीं
mean	मध्य
mean	म्हणल्यार
measures	उपाय
measure	मेजप
meat	मास
medical	वखद
medicine	वखद
meditation	साधना
medium	मध्यम
meeting	बसका
meet	बसका
meet	भेट
meet	मेळप
Meiteilon	मैतैलोन
melt	वितळप
memories	स्मरणां
memory	मेमरी
memory	स्मरण
mental	मानसीक
mentioned	उल्लेखीत
mention	उल्लेख
mentor	मँटोर
merchant	वेपारी
mercy	दया
merely	क्वचित
merry christmas	मॅरी ख्रिस्तमस
message	संदेश
messy	अवेवस्थीत
messy	घाण
mess	गबाळेंपण
mess	गोंदळ
metal	धातू
method	पद्दत
me too	हांव लेगीत
me	हांव
mice	उंदीर
middle	मदलें
midnight	मध्यानरात
might	कदाचीत
mild	सौम्य
milestone	मैलाचो फातोर
military	लस्कर
milk	दूद
million	मिलियन
mindset	मनाचो कल
mind	मन
mine	म्हगेलें
mine	म्हजें
mingle	मिसळप
minor	गौण
minor	नेणार
minutes	मिण्टां
minute	मिनीट
miracle	अजाप
miracle	जादू
mirror	आरसो
miscellaneous	तरेकवार
mischievous	उपद्रवी
miserable	दयनीय
miserable	वायट
misery	दारिद्र्य
missing	याद येता
missing	शेणला
mission	मिशन
miss you	तुजी याद येता
miss	याद
mistake	चूक
mist	धुकें
Mizo	मिजो
mobile	मोबायल
mock	नकली
model	मॉडेल
moderate	मध्यम
moderate	मवाळ
modern	आधुनीक
modest	मवाळ
moisture	वलसाण
moist	दमट
mold	आयट
mole	मस
moment	खीण
mom	आई
monday	सोमार
money	दुडू
money	पयशे
