abandoned	naibati
grumpy	iritable
Guarani	Guarani
guarantee	garantia
guard	guardia
guess	pugtoan
guest	bisita
guidance	giya
guide	giya
guilty	akin-basol
guy	lalaki
guys	dagiti lallaki
gym	gym
habitat	pagdianan
habit	kababalin
had	addaan idi
hail	kablaawan
hair	buok
half	gudua
hall	salas
hand	ima
handle	kutingen
handsome	nataraki
hang	ibitin
hang out	aglangen
happened	napasamak
happen	mapasamak
happiness	kinaragsak
happy birthday	naragsak a panagkasangay
happy birthday to you	naragsak a panagkasangaymo
happy	naragsak
happy new year	naragsak a baro a tawen
hardly	apaman
hardly ever	kasla saan
hard	natangken
harm	dangran
harmful	delikado
harmony	harmonia
harsh	nainget
harvest	apit
has	addaan
hate	kasuron
have	addaan
have a good day	naimbag koma iti aldawmo
have a nice day	naimbag koma ti aldawmo
have breakfast	agpammigat
have fun	agragsak
have you eaten	nangan ka kadin
having	panagadda
hazard	bangen
haze	angep
headache	sakit ti ulo
head	ulo
heal	agasan
healing	panagagas
health	salun-at
healthy	nasalun-at
hear	denggen
heard	nangngeg
heart	puso
heat	pudot
heaven	langit
heavy	nadagsen
hectic	naaliwaksay
he has	addaan isuna
height	kinatayag
heir	tagapagmana
he is	isuna ket
heist	panagtakaw
he	isuna
held	napasamak
hell	infierno
hello dear	hello dungngo
Hello	Hello
hello how are you doing	hello kumusta kan
hello how are you	hello kumusta kan
helmet	mangsalaknib iti ulo
helpful	makatulong
help	tulong
hence	manipud ditoy
herd	pangen
here	ditoy
heritage	tawid
her	kaniana
hesitate	agpannuray
Hey	Hoy
hidden	naidulin
hide	aglemmeng
hierarchy	sistema ti kinatao
highlight	ikkan ti talmeg
high	nangato
Hi	Hi
hi how are you	hi kumusta kan
hike	umuli
hiking	panaguli
hilarious	nakakatkatawa
hill	bunton
him	kenkuana
hint	ipallayaw
hip	pading-pading
hips	dagiti pading-pading
hire	abangan
hiring	agab-abang
history	pakasaritaan
Hi there	Hi kaniam
hit	pukpoken
Hmm	Ahmm
hobby	paggagamgam
hold	iggeman
hold on	iggeman
hole	buttaw
holiday	aldaw ti rarambak
hollow	lennek
home	balay
homework	leksion a maaramid ti balay
honestly	ti kinapudnona
honest	nalinteg
Honey	Dungngo
honor	dayaw
hood	abbong
hook	banni-it
hop	agkingking
hopefully	namnamaen
hopeless	awanan ti namnama
hope	namnama
horizontal	paidda
horn	busina
horrible	naalingget
horror	amak
horse	kabalyo
hospitality	kinamanagpadagus
hospital	ospital
hostile	sumupiat
host	pangen
hotel	pagturugan
hot	napudot
hour	oras
hours	dagiti oras
house	balay
household	sangkabalayan
how about you	sika ngay
how are you doing	kasano kan
how are you doing today	kumusta ka ita nga aldaw
how are you	kumusta kan
how are you today	kumusta ka ita nga aldaw
how do you do	kumusta kan
however	nupay kasta
how is	kasano ti
how	kasano
how many	mano
how much	mano
how often	kasano kasansan
how old are you	mano tawenmon
how was your day	kumusta ti aldawmo
how was your night	kumusta ti rabiim
hubby	asawa a lalaki
hub	sentro
hug	arakupen
huge	dakkel
human	tao
humble	napakumbaba
humidity	kinadam-eg
humid	pudot
hundred	sangagasut
hungry	mabisin
hunt	aganup
hurricane	alawig
hurry	agdaras
hurry up	darasem
hurt	pasakitan
husband	asawa a lalaki
hustle	karibuso
hut	kubo
hygiene	kinadalus ti bagi
I am fine	Naimbagak
I am	Sika ni
I can	Kayak
I can't	Saan ko a kabaelan
ice cream	sorbetes
ice	yelo
idea	balabala
ideal	pagtuladan
identical	agpada
identify	ilasin
identity	identidad
idiot	laglag
idle	sadut
I do	Aramidek
I do not know	Saan ko nga ammo
I do not understand	Saan ko a maawatan
I don't know	Saan ko nga ammo
I don’t know	Saan ko nga ammo
I don't	Saan ko
I don't understand	Saan ko a maawatan
I don’t understand	Saan ko a maawatan
I don't understand what you mean	Saan ko a maawat ti kayatmo a saoen
I don't understand you	Saan ka a maawatan
if	no
ignore	baybay-an
i guess	ti kunak
I had	Addaannak idi
I have	Addaannak
I have been	Napanakon iti
I hope so	Koma
I know	Ammok
I like	Kayat ko
I like you	Kayat ka
illegal	ilegal
ill	masakit
illness	sakit
Ilocano	Ilocano
I love	Ay-ayatek ti
I love my big brother	Ay-ayatek ti manong ko
I love my big sister	Ay-ayatek ti manang ko
I love my father	Ay-ayatek ti tatang ko
I love my little brother	Ay-ayatek ti ading ko a lalaki
I love my little sister	Ay-ayatek ti ading ko a babai
I love my mother	Ay-ayatek ti inang ko
I love you	Ay-ayaten ka
I love you so much	Ay-ayaten ka la unay
I love you too	Ay-ayaten ka met laeng
image	ladawan
imagine	ingepen
I mean	Kayat ko a saoen
I'm fine	Naimbagak
I'm good	Naimbagak
I'm here	Addanak ditoy
I miss you	Mailiwak kaniamon
I miss you so much	Mailiwak kenka la unay
immediate	dagus
immediately	dagus
immense	dakkel
impact	epekto
impatient	saan a makauray
implement	ramit
important	napateg
import	gumatang ti sabali a pagilian
impose	ipilit
impossible	imposible
impression	makuna
impress	italmeg
impressive	madayaw
improvement	pagannayasan
improve	pasayaaten
I'm	Siak ket
I’m	Siak ket
I'm sorry	Pakawanennak
in addition	ti patinayonna
inappropriate	saan a naanatup
incentive	insentibo
incident	insidente
include	iraman
including	agraman
income	sueldo
inconvenience	saan a kinanam-ay
increased	ngimmato
increase	nayunan
incredible	datdatlag
indeed	isu ngarud
independent	independiente
India	India
indicate	ibaga
indigenous	katutubo
individual	indibidual
industry	industria
inevitable	saan a malisian
In fact	Iti pudnona
infant	tagibi
infection	impeksion
infinity	awan patinggana
inflammation	panagletteg
inflation	panagngina dagiti magatang
influence	panangallukoy
information	impormasion
inform	pakaammoan
in front of	iti sanguanan ti
ingredients	dagiti laok
inheritance	mana
in	iti
initial	inisial
initiative	panangikurri
injured	nadunor
injury	dunor
innocent	inosente
innovation	pannakapabaro
in order to	tapno
inquiry	saludsod
insane	agballa
insect	insekto
insecure	saan a nakainanama
insert	iragpin
inside	uneg
insight	makuna
insist	ipilit
insomnia	insomnia
inspiration	inspirasion
inspire	pareggeten
install	ikabil
instance	daras
instant	darikmat
instead of	ngem iti
instead	saan ketdi a
instructions	dagiti bilin
instrument	instrumento
insult	insulto
insurance	seguro
intact	buo
integrity	integridad
intellectual	intelektual
intelligence	kinalaing
intelligent	nasirib
intended	naipanggep
intend	panggepen
intense	nakana
intention	panggep
interaction	interaksion
interact	makisao
interested	interesado
interesting	nadagem
interest	interes
interfere	sumampitaw
intermediate	intermedia
internal	iti uneg
international	internasional
internship	panagsagana
interpreter	mangitarus
interpret	itarus
interrupt	singaen
interview	interbiu
intimate	nadekket
into	apan ti
introduce	ipakaammo
introduction	pauna
introvert	managbabain
intuition	pugto
invalid	saan a mabalin
invent	agimbento
inventory	imbentorio
investigate	imbestigaran
invest	pagpuonan
invitation	imbitasion
invite	imbitaran
invoice	babayadan
involved	nainaig
involve	inaig
iron	plantsa
I see	Makitak
I	Siak
is	ket
island	isla
isolated	adayo
issue	pakaseknan
issues	dagiti pakaseknan
it	daytoy
item	banag
items	dagiti banag
I think	Patiek
it is	dayta ket
it's	dayta ket
It's okay	Mayat latta
it's ok	okay lang dayta
it was	daytoy ket
I understand	Maawatak
I want	Kayat ko
I want to see you	Kayat ko a makita ka
I want you	Kayat ka
I was	Siak ket idi
I will	Aramidek to
I would be	Agbalinak a
jacket	diaket
jail	pagbaludan
January	Enero
jar	garapon
jaw	timid
jealous	naimon
jerk	gutad
jewelry	alahas
job	tarabaho
jogging	panagjog
join	makipaset
joint	agtipun
joke	agrabak
journalist	tao ti media
journey	biahe
joy	ragsak
judge	hues
juice	ubbog
july	hulio
jump	aglagto
june	hunio
junk	basura
just do it	aramidem latta
justice	hustisia
justify	paneknekan
just	laeng
Kalaallisut	Kalaallisut
keen	natadem
keep it up	pagtalinaedem dayta
keep	pagtalinaeden
kept	indulin
kettle	takuri
key	susi
kick	kugtaran
kidding	agang-angaw
kidney	bato
kids	dagiti ubbing
kid	ubing
kill	patayen
kinda	kasla
kind	kita
kindly	maidawat
kindness	kinasingpet
king	ari
kiss	bisong
kitchen	kusina
kite	ullaw
kitten	kuting
knee	tumeng
knew	naammoan
knife	kutsilyo
knight	kabalyero
know	ammo
knowledge	ammo
known	ammon
Konkani	Konkani
Krio	Krio
label	marka
labor	tarabaho
labour	tarabaho
lack	kurang
ladder	agdanan
lady	balasang
laid	nagidda
lake	dan-aw
lamb	karnero
lame	nalugpi
lamp	lampara
land	daga
landscape	ladawan ti daga
language	lengguahe
lap	patong
large	dakkel
last but not least	iti udi ngem saan a kamaudianan
last name	apelyido
last	napalabas
lately	kadagitoy
late	naladaw
later	damdama
latest	kabaroan
latter	naudi
laugh	agkatawa
laughing	agkat-katawa
laughter	katawa
launch	igayang
laundry	labada
law	linteg
lawn	karuotan
lawyer	abogado
layer	agsit
lay	iyaplag
layout	aninaw
lazy	sadut
leader	mangidadaulo
lead	idaulo
leaf	bulong
leak	agtedted
lean	agsanggir
leap	lumagto
learning	panagadal
learn	sursuruen
lease	abangan
least	kabassitan
leather	lalat
leave	pumanaw
leaves	dagiti bulong
led	indaulo
left	kannigid
legacy	tawid
legal	legal
legend	tanda
leg	gurong
legit	nalinteg
leisure	ay-ayam
lend	agipabulod
length	kaatiddog
less	basbassit
lesson	leksion
let	bay-an
letter	surat
lettuce	lechugas
level	lebel
leverage	bentahe
liability	liabilidad
library	biblioteka
lick	dilpatan
lies	dagiti allilaw
lie	ulbod
life	biag
lift	bakkaten
lightning	kimat
light	silaw
like	kasla
likely	mabalin a kasla
likewise	kas met
line	linia
Lingala	Lingala
link	inaig
lion	lion
liquid	likido
listen	agdengngeg
listening	agdeng-dengngeg
list	listaan
literally	literal
literature	literatura
litter	agwara
little	bassit
live	agbiag
liver	dalem
lives	agtataeng
living	panagbiag
living room	salas
lizard	alutiit
load	ikarga
loaf	galip ti tinapay
loan	pautang
local	lokal
location	lokasion
lockdown	panagserra
lock	ikandado
log	troso
lol	lol
lonely	naliday
long	atiddog
long time no see	nabayag a saan ka a nakita
look	kitaen
loop	silo
loose	saan a nairut
lord	amo
lose	napukaw
loss	pannakapukaw
lost	napukaw
lot	lote
loud	napigsa
lounge	pagurayan
love	ayat
lovely	nakaay-ayat
love you	ay-ayaten ka
low	ababa
lower	pababaen
loyal	deboto
loyalty	debosion
luck	suerte
lucky	nagasat
Luganda	Luganda
luggage	bagahe
lump	bukol
lunch	pangngaldaw
lungs	dagiti bara
luxury	nangina
lying	panagulbod
machine	makina
madam	donya
made	naaramid
mad	napungtot
magazine	magasin
magnificent	nabileg
maid	katulong
main	kangrunaan
maintain	imentenar
maintenance	panangmentenar
Maithili	Maithili
majority	kaadduan
major	kangrunaan
make	agaramid
make up	aglaon
male	lalaki
mall	paggatangan
manage	imanehar
management	panangimaton
manager	tagaimaton
mandatory	mandatorio
manifest	ibatad
manipulate	iturong
man	nataengan a lalaki
manner	wagas
manual	giya
many	adu
many many happy returns of the day	nakaad-adu a naragsak nga isusubli iti aldaw
march	marso
margin	iking
market	merkado
marriage	panagasawa
married	naasawaan
mask	maskara
massive	nakadakdakkel
mass	misa
master	amo
match	ipada
mate	kadua
material	material
math	matematika
matter	banag
maturity	kinataeng
maybe	siguro
may	mabalin a
meal	makan
meaning	kaipapanan
mean	kayat a saoen
means	kayat a saoen
meant	kayat a saoen
meanwhile	itatta
measures	dagiti wagas
measure	sukaten
meat	karne
medical	medikal
medicine	medisina
meditation	meditasion
medium	medio
meeting	taripnong
meet	saraken
Meiteilon	Meiteilon
melt	marunaw
memories	dagiti lalagipen
memory	memoria
mental	iti panunot
mentioned	inbaga
mention	ibaga
mentor	mannursuro
merchant	aglak-lako
mercy	asi
merely	maymaysa
merry christmas	naragsak a paskua
me	siak
message	mensahe
mess	gulo
messy	nagulo
metal	landok
method	wagas
me too	uray siak
mice	dagiti bao
middle	tengnga
midnight	tengnga ti rabii
might	dinto
mild	naalumamay
milestone	dagiti napateg a nadanon
military	militaria
milk	gatas
million	milyon
mind	panunot
mindset	panagpanunot
mine	kaniak
mingle	makilaok
minor	bassit
minute	minuto
minutes	minutos
miracle	mirakulo
mirror	sarming
miscellaneous	surok
mischievous	pilio
miserable	miserable
misery	dakkel a tuok
miss	aglangan
missing	mapukpukaw
mission	gandat
miss you	mailiwak kenka
mistake	biddut
mist	angep
Mizo	Mizo
mobile	mobile
mock	laisen
model	modelo
moderate	kalalainganna
modern	moderno
modest	napakumbaba
moist	angep
moisture	leppes
mold	buot
mole	siding
moment	kanito
mom	inang
monday	lunes
money	kuarta
monitor	monitoren
monkey	sunggo
month	bulan
mood	rikna
moody	nalinday
moon	bulan
moral	moral
more	ad-adu pay
moreover	kasta met
morning	bigat
mortgage	salda
most	kaadduan
mostly	kaadduan
mother	inang
motion	garaw
motivation	panangilawag ti gandat
mountain	bantay
mouse	bao
mouth	ngiwat
movement	panaggaraw
move	umakar
movie	pelikula
mrs	donya
much	adu
mud	lubo
mug	tasa
muscle	lasag
museum	museo
mushroom	u-ong
music	musika
must	kasapulan
mute	umil
mutual	agsinnubalit
my	bukod ko
My dear	Patpatgek
my friend	gayyem ko
My hovercraft is full of eels	Ti bukod ko a hovercraft ket napunno kadagiti igat
my love	ayat ko
my name is	ti nagan ko ket
my pleasure	awan ti aniaman
myself	bagbagik
mysterious	misterioso
mystery	misterio
myth	mito
nail	kuko
naive	kasla ubing
name	nagan
narrative	naratibo
narrow	naakikid
nasty	nalaad
nationality	nasionalidad
national	nasional
native	katutubo
natural	natural
nature	law-ang
nausea	ulaw
near	asideg
nearby	asideg
nearly	nganngani
neat	nadalus
necessary	nasken
necklace	kuentas
neck	tengnged
need	kasapulan
negative	negatibo
neglect	liwayan
negotiate	makitulag
neighborhood	purok
neighbor	karruba
neither	uray ania
nephew	kaanakan a lalaki
nerd	palawapaw
nervous	nerbios
nest	um-umok
net	iket
network	grupo dagiti agam-ammo a makatulong
neutral	adda ti tengnga
never give up	saan a sumuko
never mind	bay-anen
nevermind	bay-anen
never	saan uray inton kaano
nevertheless	uray pay
new	baro
news	dagiti damag
next	sumaruno
next to	sumaruno ti
nice	napintas
nice to meet you	naragsakak a makaam-ammo ka
niece	kaanakan a babai
nightmare	bangungot
night	rabii
nine	siam
nineteen	sangapulo ket siam
ninety	siam a pulo
nobody	saan a siasinoman
noise	tagari
noisy	natagari
none	awan
noon	malem
nope	saan
no problem	awan ti aniaman
normal	normal
north	amianan
nor	wenno
No	Saan
nose	agung
nostalgic	makapailiw
not at all	saan kadi
not bad	saan a madi
noted	naisurat
note	lagipen
nothing	awan
noticed	naamiris
notice	pakaammo
Not now	Saan nga itatta
not	saan
not yet	saan pay
noun	banag
nouns	dagiti banbanag
novel	baro
november	nobiembre
nowadays	kadagitoy nga aldaw
no way	saan uray kaano
now	itatta
nuisance	disturbo
null	nawaswas
number	bilang
numb	nagpipikel
nurse	nars
nut	mani
nutmeg	nutmeg
nutrition	nutrision
oath	kari
obesity	kinalukmeg unay
obey	suruten
object	banag
objective	gandat
obligation	obligasion
obscure	nalidem
observation	panangkita a nalaing
observe	kitaen a nalaing
obsessed	nakisap
obsession	kaykayat
obsolete	laus
obstacle	abbeng
obtained	nagun-od
obtain	gun-oden
obvious	batad
obviously	nabatad
occasionally	sagpaminsan
occupation	tarabaho
occupied	adda ti tao
occur	mapasamak
occurred	napasamak
occurs	mapaspasamak
ocean	taaw
october	oktubre
odd	pangis
odds	dagiti pangis
of course	saan man
offensive	makaparurod
offer	diaya
office	opisina
official	opisial
off	naisina
of	iti
often	masansan
Oh	Ay
oh really	ay talaga
oil	lana
okay baby	sige anak ko
okay dear	wen dungngo
okay honey	sige ngarud dungngo
okay	mayat
okay my love	sige ngarud ay-ayatek
ok dear	sige dungngo
ok honey	wen dungngo
ok my love	wen ay-ayatek
ok	ok
old	nataengan
on	ayan ti
once	maminsan
one language is never enough	saan uray kaano man a naan-anay ti maysa a lengguahe
one	maysa
onion	sibulyas
online	online
only	laeng
open	lukatan
operation	operasion
opinion	opinion
opportunities	dagiti oportunidad
opportunity	oportunidad
opposite	sungani
optimistic	positibo
optional	opsional
option	pagpilian
orange	kahel
order	ipaipaw-it
ordinary	ordinario
organization	organisasion
orientation	orientasion
original	orihinal
origin	naggappuan
Oromo	Oromo
orphan	ampon
or	wenno
other	sabali pay
otherwise	maipapan ti sabali
ought	rumbeng
our	mi
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Ti gandatmi: tapno ikkan ti kabaelan ti amin a tao, sadinnoman a maawat ti lubong ken maiyebkas dagiti bagbagida kabayatan dagiti lengguahe.
Our mission: to organize the world's information and make it universally accessible and useful.	Ti gandatmi: tapno urnosen iti impormasion ti lubong ken aramiden daytoy a nalawa a ma-access ken mausar.
outcome	maad
outfit	bado
outgoing	rumuar
outlet	sanga
outline	aninaw
out	ruar
outside	ruar
outstanding	nalaing
oven	urno
overall	iti kadagupan
overcome	sarangten
over	rabaw
over there	idiay ni
overthinking	sobra a panagpanunot
overwhelmed	madilap
overwhelming	makadilap
owe	utangen
owl	kuago
own	bukod
owner	akin-kua
ox	lalaki a baka
pace	kinapartak
package	pakete
pack	pakete
paid	nabayadan
painting	pintura
paint	pintura
pain	ut-ot
pair	agkadua
pale	nalusiaw
palm	dakulap
pandemic	pandemiko
panic	riribuk
pan	paryok
pants	dagiti pantalon
paper	papel
paradise	paradiso
parallel	parallel
parcel	bungon
pardon	pakawan
parents	dagiti nagannak
park	parke
parrot	bulilising
parsley	parsley
participate	makipaset
particularly	naisalumina
particular	partikular
partner	kaasmang
part	paset
party	grupo
passage	dalan
passed	naipasa
passionate	manangaasi
passion	pasnek
pass	ipasa
passive	umaw-awat laeng
password	password
past	napalabas
patch	patse
path	dalan
pathetic	nakakaasi
patience	anus
patient	pasiente
pattern	ballaet
pause	isardeng biit
pavement	pagdalanan
pay	agbayad
payment	bayad
peaceful	nakapia
peace	kapia
peach	peach
peak	pantok
pear	peras
peas	dagiti gisantes
peculiar	naidumduma
peel	ukisan
peer	grupo
peers	dagiti kakadua
pee	umisbo
pencil	lapis
pending	naisardeng biit
pen	pluma
people	tattao
pepper	paminta
perceive	siraratan
perception	panagkita
perfect	naan-anay
performance	aramid
perform	aramiden
perhaps	nalabit
period	panawen
permanent	permanente
permission	pammalubos
permit	pammalubos
perseverance	panagpursige
persistent	naugmok
personality	personalidad
personal	personal
person	tao
perspective	panagkita
persuade	awisen
pervert	manyakis
pet	alaga
phase	paset
phenomenon	datdatlag
philosophy	pilosopiya
phone	telepono
photo	ladawan
phrase	paset ti keddeng
physical	pisikal
pick	piduten
pick up	alaen
picture	ladawan
piece	piraso
pieces	dagiti piraso
pig	baboy
pigeon	kalapati
pile	ummongen
pillow	pungan
pilot	piloto
pineapple	pinia
pin	iyaspili
pink	rosas
pitch	angtem
pit	nauneg nga abot
pity	asi
place	lugar
places	dagiti lugar
plague	sakit
plain	tanap
plane	eroplano
plan	plano
plants	dagiti tanem
plant	tanem
plate	pinggan
platform	plataporma
play	agay-ayam
playing	agayay-ayam
pleasant	nagin-awa
pleased	naayo
please	maidawat
pleasure	ayo
pledge	agkari
plenty	adu
plot	panggep
plug	isaksak
plumber	agtartarimaan kadagiti tubo ti danum
plum	sarguelas
plural	adu
podcast	podcast
poem	daniw
poetry	daniw
point	punto
poison	sabidong
police	pulis
policy	polisiya
polite	naraem
pollution	polusion
pond	basaw
pool	paglanguyan
poop	takki
poor	napanglaw
pop	putuken
popular	nalatak
population	populasion
pork	karne ti baboy
porridge	lugaw
port	puerto
position	posision
positive	positibo
possess	agikut
possession	sanikua
possessive	kukuak
possible	posible
postpone	itantan
post	poste
potato	patatas
potential	panagbalin
pound	dekdeken
poverty	kinakurapay
powerful	napigsa
power	puersa
practical	praktikal
practice	praktis
praise	itan-ok
prank	lukuen
pray	agkararag
precious	nagameng
precise	eksakto
precisely	eksakto
predict	ipadles
preference	maipangpangruna
prefer	ipangruna
pregnant	masikug
prejudice	panangidumduma
premises	dagiti lawlaw
premium	premium
preparation	panagsagana
prepared	nakasagana
prepare	isagana
preposition	preposision
presence	kaadda
present	agdama
presentation	presentasion
preserve	artemen
president	presidente
press	pagmalditan
pressure	puersa
pretend	iyarig
pretty	napintas
prevent	maatipa
previous	napalabas
prey	makan
price	presio
pride	sindayag
priest	padi
primary	kangrunaan
prime	bannuag
princess	prinsesa
principal	kangrunaan
priority	prioridad
prior	sakbay
prison	pagbaludan
privacy	kinapribada
private	pribado
privilege	gundaway
prize	premio
probably	sa
problem	problema
procedure	proseso
proceed	ituloy
process	proseso
produce	apit
production	panangaramid
product	produkto
professional	propesional
profession	propesion
profile	profile
profit	ganansia
profound	naliweng
progress	pagannayasan
project	proyekto
prominent	prominente
promise	kari
promote	iyawis
promotion	iyawis
prompt	itabuy
prone	dumudum
pronouns	dagiti pronoun
pronunciation	panagbalikas
proof	ebidensia
proper	kusto
properly	nakusto
properties	dagiti sanikua
property	sanikua
proposal	gakat
prospect	makitkita
prosperity	panagrang-ay
prosperous	narang-ay
protect	salakniban
proud	palangguad
prove	paneknekan
provide	agited
provided	naited
province	probinsia
provision	probision
puberty	panagbaro wenno panagbalasang
public	publiko
pull	guyuden
pumpkin	karabasa
punctual	nasapa
pupil	agada nga ubing
purchase	gumatang
pure	puro
purple	ubi
purpose	gandat
purse	pitaka
pursue	suroten
pursuit	panagsurot
push	iduron
put	ikabil
qualification	kualipikasion
quality	kalidad
quantity	kaadu
quarantine	kuarantenas
quarrel	apa
quarter	maipakat a paset
Quechua	Quechua
queen	reyna
queer	bakla
query	damag
question	saludsod
queue	linia
quickly	napartak
quick	napartak
quiet	naulimek
quilt	daiten
quite	medyo
quit	isardeng
quiz	ababa nga eksamen
quotation	reperensia
quote	adawen
quotes	dagiti naadaw
rabbit	kuneho
race	karera
rage	unget
rain	tudo
raised	naipangato
raise	ipangato
random	random
range	kaadayo
ran	nagtaray
rapidly	nagpartak
rapid	napardas
rarely	manmano
rare	manmano
rash	nadaras
rat	bao
rate	gradoan
rather	bassit
ratio	annugot
rational	rasional
raw	naata
reached	nadanon
reach	madanon
reaction	reaksion
read	basaen
reading	panagbasa
ready	nakasagana
real	agpayso
reality	realidad
realized	napanunot
realize	napanunot
really	talaga
rear	likudan
reasonable	nalinteg
reason	rason
recall	lagipen manen
receipt	resibo
receive	awaten
received	naawat
recently	itay nabiit
recent	nabiit pay
reception	panangawat
recipe	kita ti panagluto
reckless	napallayug
recognition	panangbigbig
recognize	ilasin
recommended	naikalikagum
recommend	ikalikagum
record	rekord
recover	agpalaing
recovery	panagpalaing
rectangle	kahon
redeem	subboten
redemption	panangsubbot
red	nalabbaga
reduce	kissayan
redundant	agkara-ulit
reference	reperensia
refer	kitaen
reflection	aninaw
reflect	iyanninaw
refrain	liklikan
refrigerator	pridieder
refund	isubli ti bayad
refuse	agmadi
refused	inpaid
regarding	maipapan
regardless	saan a maibilang
regard	panggepen
regards	pammadayaw
region	rehion
register	irehistro
regret	ibabawi
regularly	kinanayon
regular	regular
reject	ipaid
related	nainaig
relate	inaig
relationship	kinapin-ano
relative	kabagian
relatives	dagiti kabagian
relax	agataat
released	naiwarnak
release	ilettat
relevant	napateg
reliable	natalek
relief	bang-ar
relieve	bang-aran
relieved	nabang-aran
religion	relihion
religious	relihioso
reluctant	nasukir
rely	agdepende
remain	agtalinaed
remaining	nabati
re	manen
remarkable	sangsangayan
remedy	remedio
remember	lagipen
reminder	palagip
remind	ipalagip
remote	nauneg
remove	ikkaten
render	nangipaay
rent	agabang
repair	kutingtingen
repeat	uliten
replace	sukatan
reply	sungbat
report	ipadamag
represent	irepresenta
reputation	reputasion
request	kiddaw
required	kasapulan
require	ikasapulan
rescue	isalakan
research	sukisok
resemble	kasla
resentment	panaggura
reservation	panagreserba
reserve	isagana
resident	residente
resign	agikkat
resilience	kinaapnut
resilient	naapnut
resistance	panagkedked
resist	labanan
resolution	resolusion
resolve	iresolba
resort	pagbakasionan
resources	dagiti pammataudan
respect	dayawen
respond	sumungbat
response	sungbat
responsibility	rebbengen
responsible	naakem
restaurant	panganan
rest	inana
rest in peace	natalna nga inana
restore	isubli manen
restrict	beddengan
result	resulta
results	dagiti resulta
resume	ituloy
retail	saggabassit
retain	ibati
retention	panagtengngel
retired	naginana ti tarabahon
retreat	agsanod
retrieve	subboten
return	isubli
revealed	naipakitan
reveal	ibisik
revenge	bales
revenue	buis
reverse	baliktad
review	repasoen
revise	pabaroen
revision	panangrebisa
revolution	rebolusion
reward	gunggona
rhythm	ritmo
rib	sutilen
rice	innapoy
rich	nabaknang
ride	agsakay
ridiculous	nakaang-angaw
rid	papanawen
right	kusto
right now	itatta
rigid	naninget
ring	singsing
rinse	banlawan
riot	gulo
ripe	naluom
rip	pir-aten
rise	umuli
risk	peggad
rival	kalaban
river	karayan
road	dalan
roast	ituno
robust	naamnot
rock	bato
rod	pagbaot
role	amad
roll	agkarolig
roof	atep
room	kuarto
root	ramot
rope	tali
rotten	naperdin
roughly	nasurok
rough	nagurdo
round	bilog
route	ruta
routine	rutina
row	agsaguan
rub	aprusan
rubber	goma
rubbish	basura
rude	nadursok
rug	pigad
ruin	dadaelen
rule	alagaden
ruler	mangituray
rules	dagiti alagaden
run	agtaray
running	panagtaray
rural	away
rush	dumarup
sack	sako
sacred	nasantoan
sacrifice	sakripisio
safe flight	natalged a panagtayab
safe	natalged
safety	kinatalged
sage	masirib
said	imbaga
sail	aglayag
sailing	panaglayag
sake	gapo
salary	sueldo
sale	naglakuan
salmon	salmon
salt	asin
same	agpada
Same here	Agpada ta
sample	pagwadan
sand	darat
Sanskrit	Sanskrit
sarcastic	sarkastiko
sassy	tarabitab
satisfaction	kinanapnek
satisfied	napnek
satisfying	makapnek
satisfy	napneken
sat	nagtugaw
Saturday	Sabado
sausage	longganisa
savage	atap
save	ispalen
saw	nakita
say	ibaga
scale	timbangan
scam	kusit
scarce	nakurang
scared	mabuteng
scarf	abigay
scar	peklat
scary	nakabutbuteng
scattered	naiwaras
scene	buya
scenery	parang
scent	angot
schedule	iskediul
school	eskuwelaan
science	siensia
scientists	dagiti sientista
scientist	sientista
scissors	dagiti karteb
scold	ungtan
scope	sakup
score	iskor
scrap	pirgisen
scratch	kudkuden
scream	agikkes
screen	screen
screw	turnilyo
script	aninaw
seal	marka
search	agbirok
season	tiempo
sea	taaw
seat	tugaw
second	maikadua
secret	palimed
section	seksion
secure	naimeng
security	seguridad
seed	bukel
seek	agsapul
see	kitaen
seem	kasla
seems	kasla
seen	nakita
see you	agkita tan to
see you later	agkita ta inton damdama
see you soon	agkita tan to
see you tomorrow	agkita tan to inton bigat
seize	alaen
seizure	kissiw
seldom	sagpaminsan
select	agpili
self	bagi
self healing	makaagas ti bagi
selfish	naimut
sell	aglako
send	ipaw-it
send me your picture	mangipatulod ka ti ladawam
senior	senior
sense	panunot
sensible	nainsibiriban
sensitive	sensitibo
sentence	keddeng
sentences	dagiti keddeng
sent	naipatulod
separate	naisina
Sepedi	Sepedi
september	setiembre
sequence	panagsasaruno
series	dagiti serie
seriously	serioso
serious	serioso
serve	agserbi
service	serbisio
session	sesion
set	iyasmang
setting	setting
settle	agtaeng
set up	iyasmang
seven	pito
seventeen	sangapulo ket pito
seventy	pito a pulo
several	agduduma
severe	nakaro
sew	idait
shade	linong
shadow	anniniwan
shake	iwagwag
shall	ket
shallow	ababaw
shame	bain
shape	sukong
share	iparabur
sharp	natadem
shed	linong
sheep	karnero
sheet	paset
she has	addaan isuna
she is	isuna ket
she	isuna
shelf	paset ti aparador
shell	lupos
shelter	linong
shield	kalasag
shift	umakar
shine	agraniag
ship	barko
shipping	panangipatulod
shirt	bado
shoes	dagiti sapatos
shoot	paltogan
shopping	panaggatang
shop	tiendaan
shore	igid ti baybay
short	ababa
shortage	kakurangan
shot	paltugan
