abandoned	si wogblẽ ɖi
fair	ekɔ
fairly	si kaɖe eme
fairy	glĩmenɔla
faithful	toa anukuarɛ
faith	xᴐse
fake	alakpanu
fall	dze anyi
false	alakpa
fame	amenyenye
familiar	si wonya
family	ƒome
famine	dɔwuame
famous	nyanyɛ
fancy	atsyᴐnu
fan	papa
fantastic	nyo ŋutɔ
farewell	hedenyuie
farm	agble
farmer	agbledela
far	si gbᴐ didi
fascinating	si wɔ nuku
fashion	tsidzinu
fast	kabakaba
fatal	ku nya
fat	da ami
fate	nyadzᴐɖeamedzi
father	tᴐ
fatigue	ɖeɖiteameŋu
fault	vodada
favorite	si wodina
favour	amenuveve
favourite	veviẽtɔ
fear	vᴐvɔ̃
feast	azãɖuɖu
feather	xefu
feature	ŋutinu
features	ŋutinuwo
february	dzodze
fed up	nu ti kɔ nɛ
feedback	nutsotso
feed	na nuɖuɖu
fee	fe
feeling	seselelãme
feel	se le lame
feet	afᴐwo
fell	dze anyi
fellow	xɔ̃
felt	se le lãme
female	asi
fence	kpɔtɔtɔ
fertile	aɖu le eme
festival	azãɖuɖu
fetch	ku
fever	asrã
fewer	ʋɛ aɖe
few	ʋee
fiance	ahiãvi
fiction	nyakpakpa
field	gbadzaƒe
fierce	wɔ adã
fifteen	wuiatɔ̃
fifty	blaatɔ̃
fighting	le kɔ dam
fight	wᴐ avu
figure	nu
figure out	se nu si wonye me
file	agbalẽ
filled	yɔ
fill	yɔ
film	sinii
filthy	ƒoɖi
finally	mlᴐeba
finance	ga zazã
financial	ga nya
find	di
find out	ke ɖe eŋu
fine	enyo
finger	asibidɛ
finished	wu enu
finish	wu enu
fire	dzo
firm	le tenu
first	gbã
first name	ŋkɔ gbãtɔ
fish	tɔmelã
fit	sᴐ
five	atɔ̃
fixed	le teƒe ɖeka
fix	wɔ
flag	flaga
flash	dzokekle
flat	gbadza
flaw	kpɔtsɔtsɔ
flawless	maɖifɔ
flee	si
flesh	ŋutilã
flew	dzo
flex	do eɖokui ɖe dzi
flexible	si bɔbɔ
flight	dzodzo
flip	ti kpo
flirting	ahiãwɔwɔ
flirt	wɔ ahiã
float	nɔ tsi dzi
flood	tsiɖᴐɖᴐ
floor	anyigbã
flour	wɔ
flower	seƒoƒo
flow	si
fluently	memie
fluent	memie
fluffy	futufutu
fluid	tsi nu
flu	wɔɖi
fly	dzo
focus	nu kpɔkpɔ
fog	afu
foggy	afu xe
fold	ŋe
folks	nɔviwo
following	le eyome
follow	kplᴐe ɖo
follow up	do afɔ
food	nuɖuɖu
fool	bometsila
foolish	abunɛ nu
foot	afᴐ
football	bɔl
forbidden	si ŋu mɔ mele o
force	ŋusẽ
forecast	gblɔe ɖi
forehead	ŋgonu
foreign	duta
forest	ave
forever	tegbee
For example	Le kpɔɖeŋu me
forget	ŋlᴐe be
forgive	tsɔe ke
forgot	ŋlɔ be
for instance	le kpɔɖeŋu me
fork	gaflo
formal	si le se nu
former	xoxo
form	nᴐnᴐme
fortunately	dzɔgbenyuie tɔe
fortune	gbetsi nyui
forty	blaene
forty-two	blaene-vɔ-eve
forward	ŋgᴐgbe
for you	na wò
foster	de dzi ƒo
fought	wɔ aʋa
foundation	gɔmeɖokpe
found	kpᴐe
four	ene
fourteen	wuiene
fox	abei
fragile	ate ŋu agbã bɔbɔe
frame	ati
framework	ɖoɖo
fraud	adzodada
freak	ame si trɔa susu kabakaba
freedom	ablɔɖe
free	femaxe
freeze	fa
frequency	xexlẽme
frequent	edziedzi
frequently	edziedzi
fresh	le mumu
friday	fiɖa
fridge	nufamɔ
friendly	wɔa xɔlɔ̃
friendship	xɔlɔ̃wɔwɔ
friends	xɔlɔ̃wo
friend	xɔ̃
frightened	vɔ̃
frightening	dziŋɔ
frog	akpɔkplɔ
from	tso
front	ŋgɔ
frozen	do kpe
fruit	atikutsetse
frustrated	ɖeɖi te eŋu
fuel	nake
Fulfulde	Fulfulde
full	yᴐ
function	wᴐ dᴐ
fundamental	gɔmeɖonu
funeral	tsyɔ̃
fun	nukoko
funny	ɖi kokoe
furious	kpɔ dziku
fur	lãfu
furniture	nunᴐdzi
further	kpe ɖe eŋu
furthermore	kpeɖe eŋu la
future	tsᴐ si gbᴐna
gain	nukpᴐkpᴐ
game	hoʋiʋli
gap	memama
garage	ʋunɔƒe
garbage	gbeɖuɖɔ
garden	abɔ
garlic	ayo
gate	agbo
gather	ƒoƒu
gathering	ƒuƒoƒo
gauge	dzidzenu
gave	na
gear	giya
gender	na
general	gbadza
generally	gbadzaa
generate	wɔ
generation	dzidzime
generous	dzime kᴐ
genius	susu ɖaɖɛ
genre	ƒomevi
gentle	bɔkɔ
genuine	atsiatsi
gesture	asidada
get dressed	ɖo awu
getting	le exɔm
get up	tso
get well soon	wò lãme nasẽ kaba
get	xɔ
ghosting	zãmenɔnɔ
ghost	ŋɔli
giant	amedzɔtsu
gift	nunana
ginger	gumetakui
girlfriend	ahiãvi nyɔnu
girl	nyᴐnuvi
give	na
given	na
give up	ɖe asi
glad	dzidzᴐ
glance	da ŋku ɖe edzi
glass	ahuhɔ̃e
glasses	gaŋkui
glimpse	ŋkulɔnu
global	si le xexeame
gloomy	le blanui
gloves	asiwuiwo
glow	klẽ dzo
glow up	klẽ
glue	nulenu
go ahead	yi ŋgɔ
goal	age
goals	taɖodziwo
goat	gbɔ̃
go away	dzo le afima
god bless you	mawu neyra wò
god	mawu
goes	yina
going to	yina ɖe
going	yina
gold	sika
gone	dzo
gonna	na
goo	ade
good afternoon	ŋdᴐ
goodbye	de nyuie
good bye	hede nyui
good day	ŋkekea me nenyo
good	enyo
good evening	fiɛ̃
good job	ewɔe nyuie
good looking	nya le kpɔkpɔm
good luck	dzᴐgbe nyuie
good morning my love	ŋdi na wò nye lɔlɔ̃tɔ
good morning	ŋdi
good night	dɔ agbe
goodnight	dɔ agbe
goods	nudzadzrawo
Google	Google
Google Translate	google ɖe egɔme
goose	gbekpakpaxe
gorgeous	dzeani
gossip	amenya
got it	see
go to bed	yi namlɔ anyi
got	xᴐ
government	dziɖuɖu
go	yi
grab	le
grade	ɖoƒe
gradually	blewu
graduate	do le suku
grain	nukui
granted	tsɔe be
grant	na
grapes	aŋuti
grasp	le
grass	gbe
grateful	le akpe dam
gratitude	akpedada
grave	yɔdo
gray	fu
great	nyo ŋutɔ
greed	ŋukeklẽ
greedy	kleaŋu
green	gbemu
greet	do gbe
greeting	gbedoname
greetings	gbedoname
grey	fu
grid	gaɖɔ
grief	avifafa
grind	tu
grip	le
grocery	nuzazãwo
groom	ŋugbɛtɔsrɔ̃
gross	agbɔsɔsɔ
ground	anyigbã
group	ha
growth	tsitsi
grow	tsi
grumpy	si kpɔa dziku
Guarani	Guarani
guarantee	kakaɖedzi
guard	dzɔla
guess	bui
guest	amedzro
guidance	mɔfiame
guide	fia afɔɖoƒe
guilty	dze agᴐ
guy	ɖekakpui
guys	nɔviwo
gym	kamedeƒe
habitat	nɔƒe
habit	numame
had	nᴐ esi
hail	kafu
hair	ɖa
half	afa
hall	xɔlegbe
hand	asi
handle	alᴐ
handsome	dze ɖeka
hang	ku ɖe nu ŋuti
hang out	do ɖe gota
happen	dzɔ
happened	dzɔ va yi
happiness	dzidzɔkpɔkpɔ
happy birthday	dzigbe zã nyuie na wò
happy birthday to you	dzigbezã nyuie nawò
happy	dzidzɔ kpɔm
happy new year	ƒe yeye na wò
hardly ever	medzɔna o
hardly	sesẽna ŋutɔ
hard	sesẽ
harmful	nye hlɔ̃nu
harm	nuveviewɔme
harmony	ɖekawɔwɔ
harsh	sesẽ
harvest	nuŋeŋe
has	le esi
hate	tsri
have a good day	ŋkekea me nenyo
have a nice day	ŋkekea me nenyo
have breakfast	ɖu ŋdi nu
have fun	kpɔ dzidzɔ
have	le esi
have you eaten	eɖu nua
having	le esi
hazard	ŋɔdzinu
haze	afu
headache	taɖuame
head	ta
healing	dɔyɔyɔ
health	lãmesẽ
healthy	le lãmesẽ me
heal	yɔ dɔ
heard	see
hear	se nu
heart	dzi
heat	dzoxᴐxᴐ
heaven	dziƒo
heavy	kpekpem
hectic	ɖodɔ
he	e
he has	ele esi
height	kᴐkᴐme
heir	domenyila
he is	enye
heist	adzodada
held	lé ɖe asi
hell	dzomavᴐ
hello dear	hello lᴐtɔ̃tᴐ
Hello	Hello
hello how are you doing	hello efɔ̃a
hello how are you	hello efɔ̃a
helmet	gakuku
helpful	kpe ɖe ame ŋu
help	kpekpeɖeŋu
hence	esia ta
herd	lãha
here	afi sia
her	eƒe
heritage	domenyinu
hesitate	he ɖe megbe
Hey	Hee
Hi	Alekee
hidden	si le ɣaɣlame
hide	be
hierarchy	ɖoɖo ɖe kɔkɔme nu
high	kɔ
highlight	nyati
hi how are you	aleke, efɔ̃a
hike	lia to
hiking	to lialia
hilarious	ɖi koke
hill	togbɛ
him	nɛ
hint	dzesidenu
hip	aklito
hips	gbi
hire	da
hiring	nu dada
his	eƒe
history	nyadzɔdzɔ
Hi there	Medo gbe na mi
hit	lᴐ
Hmm	hmm
hobby	modzakadɔ
hold	lee
hold on	do dzi
hole	do
holiday	mɔkeke
hollow	si me do le
home	aƒeme
homework	aƒemedɔ
honestly	le nyateƒe me
honest	toa nyateƒe
Honey	Anyitsi
honor	bubu
hood	tatsɔnu
hook	ƒu
hop	dzo
hopefully	le mɔkpɔkpɔ me
hopeless	mɔkpɔkpɔ bu
hope	mɔkpɔkpɔ
horizontal	si mlɔ anyi
horn	lãdzo
horrible	ɖi vɔvɔ̃
horror	ŋɔdzi
horse	sɔ̃
hospitality	amedzroxɔxɔ
hospital	kɔ̃dzi
host	aƒetᴐ
hostile	le avu wɔm
hotel	amedzrodzeƒe
hot	xᴐ dzo
hour	gaƒoƒo
hours	gaƒoƒowo
house	aƒe
household	aƒekɔ
how about you	ke wò ya ɖɛ
how	alekee
how are you doing	efɔ̃ sesiẽa
how are you doing today	aleke nèfɔ̃ egbe
how are you	efɔ̃a
how are you today	alekee nèfɔ̃ egbe
how do you do	eli nyuiea
however	gake la
how is	alekee nye
how many	nenie
how much	nenie
how often	zi nenie
how old are you	ƒe nenie nèxɔ
how was your day	alekee nye wò ŋkekea
how was your night	alekee nye wò dɔdɔ
hubby	srɔ̃ ŋutsu
hub	nudeƒe
huge	gã ŋutɔ
hug	kplᴐ asi akᴐ
human	ame
humble	bᴐbᴐ eɖokui
humid	ƒo tsi
humidity	tsiƒoƒo
hundred	alafa
hungry	dɔ wum
hunt	da ade
hurricane	ahom
hurry	ɖe abla
hurry up	ʋã
hurt	xɔ abi
husband	srɔ̃ ŋutsu
hustle	tso hlolui
hut	agblegbadɔ
hygiene	dzadzɛnyenye
I am fine	meli nyuie
I am	menye
I can	mate ŋu
I can't	nye mate ŋui o
ice cream	aiskrim
ice	tsikpe
ideal	si dze nyuie
idea	susu
identical	sɔ kple wo nɔeawo
identify	de dzesi
identity	dzeside
idiot	movitɔ
idle	si mele dɔ wɔm o
I do	Mewɔnɛ
I do not know	Nye menya o
I do not understand	Nye mese egɔme o
I don't know	nye menya o
I don’t know	Nye menya o
I don't	Nye me
I don’t understand	nye mese egɔme o
I don't understand	Nye mese egɔme o
I don't understand what you mean	Nye mese nu si gblɔm nèle la gɔme o
I don't understand you	Nye mese gɔwòme o
if	nenye be
ignore	ɖe asi le eŋu
i guess	mebui
I had	Mekpɔ
I have been	Menɔ
I have	le asinye
I hope so	Mebui nenema
I know	Menya
I like	Melɔ̃
I like you	Melɔ̃ wò
illegal	mele se nu o
ill	le dᴐ lém
illness	dɔléle
Ilocano	Ilocano
I love	melɔ̃
I love my big brother	Melɔ̃ fonye
I love my big sister	Melɔ̃ daanye
I love my father	Melɔ̃ fofonye
I love my little brother	Melɔ̃ nɔvinye ŋutsuvi
I love my little sister	Melɔ̃ nɔvinye nyɔnuvi
I love my mother	Melɔ̃ danye
I love you	Melɔ̃ wò
I love you so much	Melɔ̃ wò ŋutᴐ
I love you too	melɔ̃ wò
image	nɔnɔmetata
imagine	bu eŋu
I mean	mele gbɔgblɔm be
I'm fine	mefɔ̃
I'm good	mefɔ̃
I'm here	Mele afi sia
I miss you	nye mega kpᴐ wò kpᴐ o
I miss you so much	Mekpɔ wò edidi
immediate	emumake
immediately	enumake
immense	si keketa
I'm	menye
I’m	Menye
impact	wᴐ dᴐ ɖe nu dzi
impatient	dzimagbɔɖi
implement	tsɔ de dɔwɔwɔ me
important	le veviẽ
import	dɔ nu
impose	ɖo nu ame dzi
impossible	mate ŋu adzɔ o
impression	nugɔmesese
impressive	nya se ŋutɔ
impress	na ŋudzedze
improvement	ŋgɔyiyi
improve	yi ŋgɔ
I'm sorry	medze agᴐ
in addition	kpeɖe eŋu la
inappropriate	si mesɔ ɖe edzi o
incentive	ŋusedoamenu
incident	nudzɔdzɔ
include	dometᴐ nye
including	si ha le eme
income	gakpɔkpɔ
inconvenience	dzimadzeme
increased	sɔgbɔ ɖe edzi
increase	dzi ɖe edzi
incredible	si dzi womaxᴐ ase o
indeed	le nyateƒe me
independent	le eɖokui si
India	India
indicate	fiã
indigenous	anyigbatitɔ
individual	ame ɖeka
industry	dɔ
in	eme
inevitable	si nu womate ŋu asi le o
In fact	le nyateƒe me
infant	vifɛ̃
infection	dɔdzedze
infinity	mavɔmavɔ
inflammation	nutete
inflation	dziyiyi
influence	wᴐ dᴐ ɖe nu dzi
information	numeɖeɖe
inform	na kaklã
in front of	le ŋgɔ
ingredients	nuɖanuwo
inheritance	domenyinu
initial	gɔmedzeƒe
initiative	dze nu gɔme
injured	xɔ abi
injury	abixɔxɔ
innocent	maɖifɔ̃
innovation	nutoto
in order to	be woanye
inquiry	nutabiabia
insane	tagbᴐ gblẽ
insect	nudzodzoe
insecure	mele dedie o
insert	dee eme
inside	eme
insight	numesese
insist	te gbe ɖe edzi
insomnia	alɔ̃ madɔmadɔ
inspiration	dzodeame me
inspire	de dziƒo
install	ɖoe anyi
instance	ɣeyiɣi
instant	enumake
instead	ɖe eteƒe
instead of	ɖe eteƒe
instructions	sedede
instrument	mɔ
insult	dzu
insurance	insiɔrans
intact	le dedie
integrity	blibodede
intellectual	nunyala
intelligence	aɖaŋudede
intelligent	ƒe susu ɖa
intend	ɖo
intended	si wowɔ na
intense	sẽŋu
intention	nu ɖoɖo
interact	do ka
interaction	dzeɖoɖo
interest	didi
interested	le edim
interesting	vivi
interfere	geɖe eme
intermediate	dome
internal	si le eme
international	duta nu
internship	dɔsɔsrɔ̃
interpret	ɖe nya me
interpreter	nyagɔmeɖela
interrupt	geɖe nya me
interview	gbebiabia
intimate	te ɖe wo nɔawo ŋu
into	ɖe eme
introduce	doe ɖa
introduction	kpɔkplɔyiɖeme
introvert	amenikpĩ
intuition	seselelãme
invalid	mesɔ o
inventory	nunɔamesiwo ƒe agbalẽ
invent	to nu
invest	de ga dɔwɔna me
investigate	ku nu me
invitation	kpekpe
invite	kpe
invoice	febugbalẽ
involved	le eme
involve	le eme
I	Nye
iron	ga
I see	mekpɔ
is	enye
island	ƒukpo
isolated	ɖe ɖe aga
issue	nya
issues	nyawo
it	e
item	nu
items	nuwo
I think	mebui be
it is	enye
its	eƒe
it's	enye
It's okay	Enyo
it's ok	enyo
it was	enye
I understand	mese egᴐme
I want	medi
I want to see you	medi be makpɔ wò
I want you	Mele diwòm
I was	menye
I will	mawᴐe
I would be	Maanye
jacket	awutitri
jail	gaxɔ
January	Dzove
jar	zɔ
jaw	glã
jealous	ʋã ŋu
jerk	dzodzo nyanyanya
jewelry	atsyɔɖonu
job	dɔ
jogging	le du ƒum
join	ge ɖe eme
joint	kpeƒe
joke	nukokoenya
journalist	nyadzɔdzɔŋlɔla
journey	mᴐzɔ̃zᴐ
joy	dzidzɔ
judge	dᴐ ʋᴐnu
juice	atikutsetsetsi
july	siamlɔm
jump	dzokpo
june	masa
junk	gbeɖuɖɔ
just do it	wɔe ko
justice	ʋɔnudɔdrɔ nyuie
justify	ʋli eta
just	ko
Kalaallisut	Kalaallisut
keen	le didim
keep it up	yi edzi nenema
keep	le aɖe asi
kept	dzra ɖo
kettle	tsiɖodzuinu
key	asafui
kick	tu afɔ
kidding	beble
kid	gbɔ̃vi
kidney	ayiku
kids	ɖeviwo
kill	wu
kinda	ƒomevi
kindly	dɔmenyotɔe
kindness	dɔmenyo
kind	nyo dɔme
king	fia
kiss	ɖuɖɔ nu
kitchen	dzodoƒe
kite	aʋako
kitten	dadivi
knee	klo
knew	nya
knife	hɛ
knight	asrafo
knowledge	sidzedze
known	si wonya
know	nya nu
Konkani	Konkani
Krio	Krio
label	nuŋutigbalẽ
labor	dɔwɔwɔ
labour	dɔwɔna
lack	manᴐanyi
ladder	li
lady	ɖetugbui
laid	ɖo aba
lake	tɔgbada
lamb	alẽvi
lame	si tu
lamp	akaɖi
land	anyigbã
landscape	anyigbã ƒe kpɔkpɔme
language	gbegbᴐgblᴐ
lap	ata dzi
large	lolo
last but not least	mlɔetɔ gake menye gblɔetɔ o
last name	ƒome ŋkɔ
last	nᴐ anyi didi
lately	le ŋkeke siawo me
later	emegbe
latest	mlɔ̃etɔ
late	tsi megbe
latter	megbetɔ
laughing	le nu kom
laugh	ko nu
laughter	nukoko
launch	ɖoe anyi
laundry	nunyaƒe
lawn	gbemumu
law	se
lawyer	senyala
lay	ɖoe anyi
layer	ɖoɖo
layout	nɔnɔme
lazy	kuvia
leader	ŋgɔnɔla
lead	nɔ ŋgɔ
leaf	aŋgba
leak	tsra
lean	blɔ
leap	tikpo
learning	nusɔsrɔ̃
learn	srɔ̃ nu
lease	haya
least	suetᴐ kekiake
leather	lãgbalẽ
leave	aŋgba
leaves	aŋgbawo
led	kplɔ
left	mia me
legacy	domenyinu
legal	le senu
leg	ata
legend	kalẽtɔ
legit	nye nyateƒe nu
leisure	modzkaɖeɖe
lend	do nu
length	didime
less	do le eme
lesson	nufiafia
let	na
letter	lɛta
level	gbadzaa
leverage	zã
liability	fenyinyi
library	agbalẽdzraɖoƒe
lick	ɖuɖɔ
lie	alakpa
lies	alakpa
life	agbe
lift	kᴐe dzi
light	kekeli
lightning	dzikedzo
like	di
likely	si ate ŋu adzɔ
likewise	ema ke
line	fli
Lingala	Lingala
link	kadodo
lion	dzata
liquid	tsi nu
listen	ɖo to
listening	toɖoɖo
list	nuleɖi
literally	le nyagbᴐgblᴐa nu
literature	nuxexlẽ
litter	kaka gbe
little	sue
live	nɔ agbe
liver	aklã
lives	le agbe
living	agbenɔnɔ
living room	akpata
lizard	adoglo
load	de agba
loaf	abolo
loan	gadodo
local	duametɔ
location	teƒe
lockdown	agbotutu
lock	tu
log	atikpo
lol	na
lonely	le akogo
long	didi
long time no see	mekpɔ wò edidi
look	kpᴐ
loop	xatsa
loose	tu
lord	aƒetɔ
lose	bu
loss	nububu
lost	bu
lot	gbogbo
loud	sesiẽ
lounge	dzudzɔƒe
love	lɔ̃
lovely	nyo ŋutᴐ
love you	lɔ̃ wò
low	bᴐbᴐ
lower	bɔbɔ
loyalty	nyateƒetoto
loyal	xᴐ ame dzi se
luck	dzɔgbenyuie
lucky	kpɔ aklama
Luganda	Luganda
luggage	agba
lump	kɔ
lunch	ŋdᴐ nuɖuɖu
lungs	dzitodzito
luxury	ga nu
lying	le alakpa dam
machine	mɔ
madam	aƒenɔ
mad	dze aɖaʋa
made	wᴐ
magazine	nyadɔdzɔgbalẽ
magnificent	nya kpɔ
maid	nyɔnuvi
main	ŋutᴐ
maintain	to
maintenance	nu dzadzraɖo
Maithili	Maithili
majority	akpa gãtɔ
major	ŋutɔŋutɔ
make up	modzadzraɖo
make	wɔ
male	atsu
mall	fiasegã
manage	kpɔ edzi
management	dzikpɔkpɔ
manager	dzikpɔla
mandatory	si nye dzizizi nu
manifest	ɖe eɖokui fia
manipulate	trɔ to eme
manner	nɔnɔme
man	ŋutsu
manual	asi nu
many	geɖewo
many many happy returns of the day	ɖagbe neva le ŋkeke sia me
march	ɖe zɔ̃
margin	axadzi
market	asime
marriage	srɔ̃ɖeɖe
married	ɖe srɔ̃
mask	momo
massive	sɔgbɔ
mass	lolome
master	aƒetɔ
match	hoʋiʋli
mate	kpeɖeŋutɔ
material	nu
math	akɔnta
matter	nu
maturity	tsitsi
may	ate ŋu
maybe	ɖewohĩ
meal	nuɖuɖu
mean	egɔmee nye
meaning	gɔmeɖeɖe
means	gᴐme nye
meant	gɔme nye
meanwhile	le esime esia le edzi yim la
measure	dzidze
measures	dzidzenuwo
meat	adelã
medical	dɔyɔyɔ
medicine	atike
meditation	ŋugbledede
medium	le vedome
meet	do go
meeting	takpekpe
Meiteilon	Meiteilon
melt	lolõ
memories	susuwo
memory	susu
mental	le susume
mentioned	si woyɔ
mention	yᴐ
mentor	hehenala
me	nye
merchant	asitsala
mercy	nublanuikpɔkpɔ
merely	ʋee ko
merry christmas	blunya nawò
message	gbedeasi
mess	gbegblẽ
messy	si menyo o
metal	ga
method	nuwɔmɔnu
me too	nye hã
mice	afiwo
middle	titina
midnight	zã titina
might	ate ŋu
mild	mesẽŋu o
milestone	agbadroƒekpe
military	asrafowo
milk	notsi
million	akpeakpe
mindset	susuɖoɖo
mind	susu
mine	tɔnye
mingle	habɔbɔ
minor	si le sue
minute	aɖabaƒoƒo
minutes	aɖabaƒoƒo
miracle	nukunu
mirror	ahuhɔ̃e
miscellaneous	nu bubuwo
mischievous	nuɖianu
miserable	wᴐ nublanui
misery	fukpekpe
miss	da ƒu
missing	bu
mission	dɔdeasi
miss you	le susuwom
mist	afu
mistake	vodada
Mizo	Mizo
mobile	si tsana
mock	ko
model	kpɔɖeŋu
moderate	le ve dome
modern	egbe nu
modest	si le sue
moist	ƒo tsi
moisture	yametsi
mold	nuto
mole	atɔ
mom	dada
moment	ɣeyiɣi
monday	dzoɖa
money	ga
monitor	ɖia
monkey	kese
month	ɣleti
mood	seselelãme
moody	le blanui
moon	dzinu
moral	nufiame
more	gawu
moreover	kpeɖe eŋu la
morning	ŋdi
mortgage	na
most	kekiake
mostly	zi geɖe
mother	nᴐ
motion	zɔɖeɖe
motivation	dzideƒo
mountain	to
mouse	afi
mouth	nu
move	ɖe zᴐ
movement	zɔzɔ̃
movie	sinii
mrs	aƒenɔ
much	sᴐgbᴐ
mud	ba
mug	kplu
muscle	lãmeka
museum	tsãnuwonɔƒe
mushroom	ŋɔlixexi
music	hadzidzi
must	dze be
mute	zi ɖoɖoe
mutual	si ame sia ame xɔ
My dear	nye lɔlɔ̃tɔ
my friend	xɔ̃nye
my love	nye lɔlɔ̃tɔ
my name is	ŋkɔ nyee nye
my	nye
my pleasure	nye dzidzɔ
myself	nye ŋutɔ
mysterious	nye amlima
mystery	nuɣaɣla
myth	amlima
nail	gatagbadzɛ
naive	mese naneke gɔme o
name	ŋkɔ
narrative	nyatoto
narrow	me xe
nasty	nyaŋu
national	dukɔmetɔ
nationality	dumevinyenye
native	dumetᴐ
natural	dzɔdzɔme nu
nature	dzᴐdzᴐme
nausea	xeɖeɖe
nearby	si teɖe mía gbɔ
near	egbᴐ
nearly	vie ko
neat	dza
necessary	hiã
neck	kɔ
necklace	kɔga
need	hiã
negative	si menyo o
neglect	gblẽ ɖi
negotiate	ƒo asi
neighbor	aƒelika
neighborhood	goloɔgui
neither	menye esia o
nephew	nyruiyᴐvi
nerd	ametsibome
nervous	le vᴐvᴐm
nest	atɔ
net	ɖɔ
network	kadodo
neutral	si mede akpa aɖeke dzi o
never	gbɛɖɛ
never give up	dzi megaɖe le ƒo wò o
nevermind	megadee tame o
never mind	megatsidzi o
nevertheless	gake hã
news	nyadzɔdzɔ
new	yɛye
next	esi kplᴐe ɖo
next to	le egbɔ
nice	enya kpɔ
nice to meet you	enyo be míedo go
niece	nyruiyᴐvi nyᴐnu
nightmare	ŋɔdzi drɔẽ
night	zã
nine	asiɛkɛ
nineteen	wuiasiɛkɛ
ninety	blaasiɛkɛ
No	Ao
nobody	ame aɖeke o
noise	ɣli
noisy	le ɣli dom
none	ɖeke o
noon	ŋdɔ
nope	gbeɖɛ
no problem	megblẽ naneke o
nor	alo
normal	gbe sia gbe ƒe nu
north	dziehe
nose	ŋɔti
nostalgic	ŋkuɖodzi
not at all	gbɛɖɛ
not bad	megblẽ o
noted	mexɔe de eme
note	ɖo ŋku edzi
nothing	naneke o
noticed	kpɔ dzesi
notice	kaklãnana
Not now	Menye fifia o
not	o
not yet	haɖe o
noun	nkɔnya
nouns	ŋkɔnyawo
novel	ŋutinyagbalẽ
november	adamekpɔxɛ
nowadays	ŋkeke siawo me
no way	mɔ meli o
now	fifia
nuisance	fuɖename
null	ƒuƒlu
number	xexlẽdzesi
numb	ku trikpa
nurse	dᴐnᴐdzikpᴐla
nut	azi
nutmeg	na
nutrition	nunyiame ŋuti nunya
oath	atam
obesity	amidada
obey	wɔ edzi
objective	taɖodzi
object	nu
obligation	nuteɖeamedzi
obscure	si be
observation	nukpɔkpɔ
observe	le ŋku ɖe eŋu
obsessed	dze aɖaʋa ɖe eme
obsession	nudzeamedzi
obsolete	do xoxo
obstacle	mɔxenu
obtained	xɔ
obtain	xᴐ
obviously	eme kᴐ
obvious	si me kᴐ
occasionally	ɣeaɖewoɣi
occupation	dɔwɔna
occupied	le dɔ wɔm
occur	dzᴐ
occurred	dzɔ
occurs	dzɔna
ocean	atsiaƒu
october	kele
odd	mesᴐ o
odds	na
of course	nyateƒee
offensive	ɖia ame nu
offer	na
office	dɔwɔƒe
official	dɔwɔla
off	tsi
often	often
Oh	O
oh really	o nyateƒea
oil	ami
okay baby	enyo lɔlɔ̃tɔ
okay dear	enyo lᴐlɔ̃tᴐ
okay	enyo
okay honey	lᴐlɔ̃tᴐ enyo
okay my love	nye lᴐlɔ̃tᴐ enyo
ok dear	enyo lɔlɔ̃tɔ
ok	Enyo
ok honey	enyo lɔlɔ̃tɔ
ok my love	enyo nye lɔlɔ̃tɔ
old	tsitsi
once	zi ɖeka
on	edzi
one	ɖeka
one language is never enough	gbegbɔgblɔ ɖeka mede gbɛɖɛ o
onion	sabala
online	le kadzi
only	ko
open	ʋu
operation	nuwɔna
opinion	tamesusu
opportunities	mɔnukpɔkpɔwo
opportunity	mɔnukpɔkpɔ
opposite	esi dze ŋgᴐ
optimistic	le mɔkpɔm
optional	le tiatia me
option	tiatia
or	alo
orange	aŋuti
order	gbeɖeɖe
ordinary	gbe sia gbe nu
organization	nu ɖoɖo
orientation	susutɔtrɔ
original	gbãtɔ
origin	dzɔtsoƒe
Oromo	Oromo
orphan	tsyɔẽvi
other	bubu
otherwise	ne menye nenem o la
ought	dze be
our	míaƒe
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Míaƒe dɔdeasi: míana be ame sia ame, le afi sia afi nase xexeame gɔme eye woaƒonu be gbe bubu dolawo hã nase.
Our mission: to organize the world's information and make it universally accessible and useful.	Míaƒe dɔdeasi: míade xexeame nyadzɔdzɔwo ɖoɖo me aha wɔe be woanɔ alɔdzi ahaɖevi na ame sia ame si le xexeame.
outcome	metsonu
out	do do
outfit	awudodo
outgoing	si le dzodzom
outlet	dodoƒe
outline	ɖoɖo
outside	gota
outstanding	tsi anyi
oven	numekpo
overall	si ƒo wo katã ta
overcome	ɖu dzi
over there	le afima
overthinking	tamebubu fũu
over	to eta
overwhelmed	wui
overwhelming	si wu ale sidze
owe	nyi fe
owl	adzexe
owner	nutɔ
own	le esi
ox	tedzitsu
pace	ɖiɖime
package	nu babla
pack	ƒoƒu
paid	xe fe
paint	aŋɔ
painting	aŋɔsisi
pain	vevesese
pair	nu eve
pale	fu
palm	asiƒome
pan	agba gbadza
pandemic	dᴐxᴐtsatsa
panic	vɔvɔ̃
pants	godui
paper	pɛpa
paradise	paradiso
parallel	si le sɔsɔnu
parcel	nubabla
pardon	tsɔtsɔke
parents	dzilawo
park	gbadzaƒe
parrot	ako
parsley	na
