a little	شوية
focus	ركّز
focus	تركيز
fog	ضباب
foggy	ضباب
fold	طوى
folks	ناس
follow	تبع
follow up	متابعة
following	تبع
following	التالي
food	ماكلة
fool	مغفل
foolish	غباء
foot	رجل
football	كورة
for	باش
For example	مثلاً
for instance	مثلاً
for you	ليك
forbidden	محظور
forbidden	ممنوع
force	قوة
forecast	توقعات
forehead	جبهة
forehead	صنطيحة
foreign	أجنبي
forest	غابة
forever	للأبد
forget	نسى
forgive	سامح
forgot	نسى
fork	فورشيط
form	استمارة
formal	رسمي
former	سابق
former	قديم
fortunately	لحسن الحظ
fortune	زهر
fortune	ثروة
forty	أربعين
forty-two	اثنين وربعين
forward	لقدام
foster	عزز
foster	تبنى
fought	حارب
found	جبر
found	لقا
foundation	أساس
four	أربعة
fourteen	ربعطاش
fox	ديب
fragile	دغيا تيتهرس
fragile	هش
frame	إطار
frame	كادر
framework	إطار العمل
fraud	تزوير
fraud	احتيال
freak	غريب أطوار
free	باطل
free	مجاناً
free	حر
freedom	حرية
freeze	تجمّد
frequency	تردد
frequent	مكرر
frequently	بزاف
frequently	غالباً
fresh	طريق
friday	جمعة
fridge	تلاجة
friend	صديق
friend	صاحب
friendly	ودي
friends	صحاب
friendship	صداقة
frightened	خايف
frightening	كيخوف
frog	ضفدع
from	من
front	جبهة
front	لقدام
frozen	مجمد
fruit	فروطا
frustrated	محبط
fuel	ليصانص
Fulfulde	الفولانية
full	كامل
full	عامر
fun	ممتع
function	وظيفة
function	خاصية
fundamental	أساسي
funeral	جنازة
funny	تيضحك
fur	زغب
furious	معصّب
furniture	أثاث
further	آخر
further	كثر
furthermore	زيدون
furthermore	زيد عليها
future	مستقبل
gain	ربح
game	لعبة
gap	فجوة
garage	جراج
garbage	طارو
garden	حديقة
garlic	ثوم
gate	بوابة
gather	جمع
gathering	اجتماع
gauge	مقياس
gave	منح
gear	ماطريال
gear	ترس
gender	جنس
general	عام
generally	بصفة عامة
generate	نشأ
generate	نتج
generation	جيل
generous	سخي
generous	كريم
genius	عبقري
genre	نوع
gentle	ظريف
genuine	صادق
gesture	إيماءة
gesture	إشارة
get	رجع
get	جاب
get dressed	لبس
get up	فيق
get up	فاق
get well soon	بالشفا
getting	خدا
getting	حصل على
ghost	جن
ghosting	تجنب
ghosting	ظلال
giant	كبير بزاف
giant	عملاق
gift	كادو
ginger	سكنجبير
girl	بنت
girlfriend	حبيبة
give	عطي
give up	استسلم
given	ممنوح
glad	فرحان
glance	لمحة
glance	شاف
glass	زاج
glasses	نظاظر
glimpse	لمحة
global	عالمي
gloomy	كئيب
gloves	ليجات
glow	برق
glow up	توهّج
glue	لصاق
go	مشا
go	يلاه
go ahead	سير على الله
go away	بعد مني
go to bed	مشي تنعس
goal	هدف
goals	أهداف
goat	معزة
god	إله
god bless you	اللهم بارك
goes	مشا
going	ماشي عادي
going to	غادي لـ
gold	ذهب
gone	مشا
gonna	غادي
goo	لزج
good	مزيان
good afternoon	مسا لخير
good bye	بسلامة
good day	نهار زوين
good evening	مسا لخير
good job	برافو
good looking	زوين
good luck	بالتوفيق
good luck	الله يوفق
good morning	صباح الخير
good morning my love	صباح الخير أحبيبا
good night	ليلة سعيدة
good night	تصبح على خير
goodbye	بسلامة
goodnight	تصبح على خير
goods	سلعة
Google	جوجل
Google Translate	ترجمة Google
goose	وزّة
gorgeous	غزال
gorgeous	واعر
gossip	نميمة
got	رجع
got	عندو
got it	فهمت
government	حكومة
grab	شد
grade	صف
grade	درجة
gradually	تدريجي
graduate	تخرج
graduate	خرّيج
grain	حبّة
grant	منح
grant	عاون
granted	ممنوح
grapes	عنب
grasp	فهم
grasp	شد
grass	جازون
grass	ربيع
grateful	ممتن
gratitude	امتنان
grave	خطير
grave	قبر
gray	رمادي
great	مزيان
great	مخيّر
greed	طمع
greedy	طماع
green	خضر
greet	رحّب
greeting	ترحيب
greetings	تحيات
grey	رمادي
grid	شبكة
grief	حزن
grind	طَحن
grind	سحق
grip	سيطرة
grip	قبضة
grocery	تسوق
grocery	سخرة
groom	عريس
gross	إجمالي
gross	كيغيلف
ground	أرض
group	مجموعة
grow	كبر
growth	نمو
grumpy	معبّس
Guarani	الغوارانية
guarantee	ضمان
guard	عساس
guess	بان ليه
guess	فراسك
guest	ضيف
guidance	توجيه
guide	وجّه
guide	دليل
guilty	حاس بالذنب
guilty	مُدان
guy	ولد
guys	دراري
gym	لاصال
habit	طبيعة
habit	عادة
habitat	موطن
had	كان عندو
hail	تحية
hair	شعر
half	نص
hall	قاعة
hand	سلّم
hand	يد
handle	تعامل
handle	تكلّف
handsome	زوين
hang	شنق
hang	علّق
hang out	تسركل
happen	وقع
happened	وقع
happiness	سعادة
happy	فرحان
happy birthday	عيد ميلاد سعيد
happy birthday to you	عيد ميلاد سعيد
happy new year	سنة سعيدة
hard	صعيب
hardly	بدراع
hardly ever	نادراً ما
harm	ضرر
harmful	مُضر
harmony	تناغم
harsh	قاصح
harvest	محصول
has	عندو
hate	حقد
hate	كره
have	عندي
have a good day	نهارك مبروك
have a nice day	نهارك مبروك
have breakfast	كول الفطور
have fun	استمتع
have you eaten	كليتي
having	عندو
hazard	خطر
haze	ضباب
he	هو
he has	عندو
he is	هو
head	راس
headache	حريق الراس
heal	شفى
healing	تشافى
healing	برا
health	صحة
healthy	صحي
hear	سمع
heard	سمع
heart	قلب
heat	سخانة
heat	حرارة
heaven	جنة
heavy	ثقيل
hectic	حافل
height	الطول
heir	وريث
heist	سطو
heist	سرقة
held	عقد
hell	جحيم
Hello	السلام عليكم
hello dear	أهلا أحبيبا
hello how are you	أهلا كيف نتا
hello how are you doing	أهلا كي داير
helmet	خوذة
help	عاون
helpful	مفيد
hence	عليها
her	هي
herd	قطيع
here	هنا
heritage	إرث
hesitate	تردد
Hey	سلام
Hey	أهلاً
Hi	سلام
hi how are you	سلام كي داير؟
Hi there	أهلا وسهلا
hidden	مخبي
hide	اختفى
hierarchy	تسلسل
high	عالي
high	محشش
highlight	برز
hike	تنزه
hiking	تنزه
hilarious	تيضحك
hill	تلة
him	هو
hint	تلميح
hip	ورك
hips	وركين
hire	خدّم
hire	عيّن
hiring	توظيف
his	ديالو
history	تاريخ
history	سِجل
hit	ضرب
Hmm	ممم
hobby	هواية
hold	احتفظ
hold	شد
hold on	تسنا
hole	تقبة
holiday	عطلة
holiday	عيد
hollow	خاوي
home	دار
homework	واجب منزلي
honest	صادق
honestly	الصراحة
Honey	العسل
Honey	حبيبا
honor	شرف
hood	غطا الموطور
hood	قبية
hook	خطاف
hop	نقز
hope	تمنى
hopefully	على الله
hopeless	ميئوس منه
horizontal	أفقي
horn	قرن
horn	بوق
horrible	كيخلع
horrible	خايب
horror	رعب
horse	عود
horse	خيل
hospital	سبيطار
hospitality	ضيافة
host	يستضيف
host	مضيف
hostile	معادي
hot	سخون
hotel	أوطيل
hour	ساعة
hours	ساعات
house	دار
household	الدار
how	كيفاش
how about you	ونتا؟
how are you	كي داير
how are you doing	كي راك
how are you doing today	كي داير ليوم
how are you today	كيف راك ليوم
how do you do	كيفاش كتدير
how is	كيف
how many	شحال
how much	شحال
how often	شحال من مرة
how old are you	شحال فعمرك
how was your day	كيف داز نهارك؟
how was your night	كيف دازت ليلتك؟
however	ولكن
however	غير شنو
hub	محور
hubby	راجلي
hug	درّع
hug	عانق
huge	كبير بزاف
human	إنسان
humble	متواضع
humid	رطب
humidity	رطوبة
hundred	ميا
hungry	جيعان
hunt	طارد
hurricane	إعصار
hurry	شلط
hurry	دغيا
hurry up	شري
hurry up	شلط
hurt	جرح
hurt	حرق
husband	زوج
hustle	احتال
hustle	خدم مزيان
hut	كوخ
hygiene	نظافة
I	أنا
I am	أنا
I am fine	أنا بخير
I can	نقدر
I can't	منقدرش
I do	كندير
I do not know	معرفت
I do not understand	مفهمتشي
I don't know	منعرف
I don't understand	مفهمتش
I don't understand what you mean	مفهمتشي شنو كتقصد
I don't understand you	مفهمتكش
I don’t know	معرفتش
I don’t understand	مفهمتشي
i guess	كنظن
I had	كان عندي
I have	عندي
I have been	كنت
I hope so	على الله
I know	عارف
I like	أحب
I like you	كتعجبني
I love	كيعجبني
I love my big brother	كنبغي خاي الكبير
I love my big sister	كنبغي ختي الكبيرة
I love my father	كنبغي بابا
I love my little brother	كنبغي خاي الصغير
I love my little sister	كنبغي ختي الصغيرة
I love my mother	كنبغي ماما
I love you	كنبغيك
I love you so much	كنبغيك بزاف
I love you too	حتا انا كنبغيك
I mean	كنقصد
I miss you	توحشتك
I miss you so much	توحشتك بزاف
I see	كنشوف
I think	كنظن
I understand	فهمت
I want	بغيت
I want to see you	بغيت نشوفك
I want you	بغيتك
I was	كنت
I will	غادي
I would be	كنت غنكون
I'm	أنا
I'm fine	أنا بخير
I'm good	أنا بخير
I'm here	أنا هنا
I'm sorry	سمحلي
ice	تلج
ice cream	لا جلاس
idea	فكرة
ideal	مثالي
identical	مطابق
identify	حدّد
identity	هوية
idiot	غبي
idle	عاطل
if	إذا
ignore	تجاهل
ignore	ميّك
ill	مريض
illegal	ماشي قانوني
illness	مرض
Ilocano	لغة إيلوكانو
image	تصويرة
imagine	تخيل
immediate	فالبلاصة
immediately	نيشان
immense	هائل
impact	تأثير
impatient	مصبارش
implement	نفّذ
import	يستورد
important	مهم
impose	فرض
impossible	مستحيل
impress	إبهار
impression	انطباع
impressive	واعر
improve	طوّر
improvement	تحسن
in	فـ
in addition	زيد عليها
In fact	فالحقيقة
in front of	قبالت
in order to	باش
inappropriate	ممناسبش
incentive	حافز
incident	حادثة
incident	كسيدة
include	شمس
including	بما فيها
income	دخل
inconvenience	إزعاج
increase	طلع
increase	زاد
increased	زاد
increased	ارتفع
incredible	ميمكنش
indeed	كاينة
indeed	بصح
independent	مستقل
India	الهند
indicate	شار
indigenous	السكان الأصليين
indigenous	محلي
individual	فرد
industry	صناعة
inevitable	حتمي
infant	تبابي
infection	عدوى
infinity	ما لا نهاية
inflammation	التهاب
inflation	تضخم
influence	تأثير
inform	خبر
information	معلومة
ingredients	مكونات
inheritance	ميراث
initial	أولي
initiative	مبادرة
injured	مجروح
injured	مضروب
injury	إصابة
innocent	بريء
innovation	اختراع
inquiry	سؤال
insane	مجنون
insane	حمق
insect	حشرة
insecure	مفيهش الأمن
insecure	مآمنش
insert	إدراج
inside	فوسط
insight	رؤية
insist	صرّ
insomnia	أرق
inspiration	إلهام
inspire	لهم
install	انسطالي
instance	مثال
instant	فوري
instant	فالبلاصة
instead	فعوض
instead of	فعوض
instructions	تعليمات
instrument	آلة موسيقية
instrument	أداة
insult	إهانة
insurance	تأمين
intact	سليم
integrity	نزاهة
intellectual	فكري
intelligence	ذكاء
intelligent	ذكي
intend	قصد
intended	مقصود
intense	كثيف
intention	نية
interact	تفاعل
interaction	تفاعل
interest	مصلحة
interest	اهتمام
interested	مهتم
interesting	مهم
interfere	تدخّل
intermediate	متوسط
internal	داخلي
international	دولي
internship	سطاج
interpret	ترجمة فورية
interpreter	مترجم فوري
interrupt	قاطع
interview	مقابلة
intimate	حميمي
into	وسط
into	فـ
introduce	قدّم
introduction	مقدمة
introvert	منطوي
intuition	حدس
invalid	مصالحش
invent	اخترع
inventory	مخزون
invest	استثمر
investigate	تحقق
invitation	دعوة
invite	دعوة
invoice	فاتورة
involve	شارك
involve	تضمن
involved	معني
involved	مشارك
iron	حديد
island	جزيرة
isolated	معزول
issue	قضية
issue	مشكلة
issues	مشاكل
it	هو
it	هي
it is	هذا
it was	كان
it's	هذا
it's ok	معليش
It's okay	ماشي مشكل
item	عنصر
item	بند
items	عناصر
I’m	أنا
jacket	جاكيط
jail	حبس
January	يناير
jar	غرّاف
jaw	فك
jealous	غيران
jerk	حمق
jewelry	مجوهرات
job	خدمة
jogging	جري بشوية
join	انضمام
joint	مشترك
joint	مفصل
joke	نكتة
journalist	صحافي
journey	رحلة
journey	مسيرة
joy	سعادة
judge	حكم
judge	قاضي
juice	عصير
july	يوليوز
jump	نقز
june	يونيو
junk	نفاية
just	غير
just	يلاه
just do it	غير ديرها
justice	عدالة
justify	برر
Kalaallisut	الكالاليستية
keen	حريص
keep	خلّي
keep	احتفظ
keep it up	استمر
kept	احتفظ
kettle	غلاية
key	مفتاح
key	رئيسي
kick	ضربة
kick	تيرا
kid	دري
kidding	ضحك
kidney	كلوة
kids	دراري
kill	قتل
kind	ظريف
kind	نوع
kinda	نوع من
kindly	عافاك
kindness	طيبة
king	ملك
kiss	بوسة
kitchen	كوزينة
kite	طيارة ورقية
kitten	قطيوط
knee	ركبة
knew	عرف
knife	موس
knight	فارس
know	عرف
knowledge	معرفة
known	معروف
Konkani	الكونكانية
Krio	لغة كريو
label	ملصق
label	علامة
labor	حريق ديال الولادة
labor	خدمة
labour	حريق الولادة
labour	خدمة
lack	نقص
ladder	سلّوم
lady	سيدة
laid	نزّل
lake	بحيرة
lamb	خروف
lame	مبلوز
lamp	مصباح
land	أرض
landscape	منظر طبيعي
language	لغة
lap	دورة
lap	حجر
large	كبير
last	استمر
last	آخر
last but not least	أخيرًا وليس آخرًا
last name	الاسم العائلي
late	معطل
lately	مؤخرًا
later	من بعد
latest	آخر
latter	الثاني
latter	لخّر
laugh	ضحك
laughing	ضحك
laughter	ضحك
launch	لونصا
launch	طلق
laundry	التصبين
law	قانون
lawn	الحديقة
lawn	الجازون
lawyer	محام
lay	نزّل
layer	طبقة
layout	مخطط
layout	تصميم
lazy	معكاز
lazy	كسول
lead	رصاص
lead	قاد
leader	قائد
leaf	ورقة
leak	تسرّب
lean	ضعيف
lean	مال
leap	قفزة
learn	تعلم
learning	تعلم
lease	استئجار
least	أقل
leather	جلد
leave	خلّا
leave	مشى
leaves	وراق
leaves	غادر
led	أدى لـ
led	قاد
left	ليسر
left	مشا
leg	رجل
legacy	إرث
legal	قانوني
legend	أسطورة
legit	قانوني
leisure	ترفيه
leisure	وقت فراغ
lend	سلف
length	مدة
length	طول
less	قل
lesson	درس
let	خلّي
letter	حرف
letter	رسالة
lettuce	خس
level	مرحلة
leverage	استفادة
liability	مسئولية
library	مكتبة
lick	لحس
lie	كذب
lies	كذوب
life	حياة
lift	علا
light	فاتح
light	خفيف
light	ضو
lightning	برق
like	بحال
like	عجبي
likely	غالباً
likewise	حتى هو
line	صف
line	فيلة
Lingala	لغة لينجالا
link	رابط
link	ليان
lion	سبعة
liquid	سائل
list	ليستا
listen	سمع
listen	تصنت
listening	تصنت
literally	حرفيًا
literature	أدب
litter	زبل
litter	قمامة
little	صغير
live	مباشر
live	عاش
liver	كبدة
lives	حيوات
living	عيش
living room	صالون
lizard	سحلية
load	حمل
loaf	رغيف
loan	قرض
local	محلي
location	موقع
lock	قفل
lockdown	حظر
log	سجل
log	جذع
lol	تيضحك بزاف
lonely	وحيد
lonely	منعزل
long	طويل
long time no see	شحال متلاقينا
look	قلّب
look	شاف
loop	دورة
loop	حلقة
loose	فضفاض
loose	مدلي
lord	رب
lose	خسر
loss	خسارة
lost	خسر
lost	فقد
lot	قسمة
lot	بزاف
lot	أرض
loud	بصوت عالٍ
lounge	صالة
love	الحب
love you	كنبغيك
lovely	واعر
low	حاني
lower	أقل
lower	أدنى
loyal	وفي
loyalty	وفاء
luck	زهر
lucky	عندو الزهر
Luganda	لغة لوجندا
luggage	الماليطة
lump	كتلة
lump	ورم
lunch	غذا
lungs	رية
luxury	فاخر
lying	متكي
lying	كذب
machine	آلة
mad	كاعي
mad	معصّب
madam	مادام
made	دار
magazine	مجلة
magnificent	عظيم
maid	خدّامة
main	رئيسي
main	أساسي
maintain	حافظ
maintain	بقى
maintenance	صيانة
Maithili	لغة مايثيلي
major	رئيسي
major	كبير
majority	أغلبية
make	دار
make	صوّب
make up	مكياج
make up	عوّض
male	ذكر
mall	مجمع تجاري
man	راجل
manage	دار
management	إدارة
manager	مدير
mandatory	إجباري
mandatory	إلزامي
manifest	ظهر
manifest	واظح
manipulate	تلاعب
manner	أسلوب
manner	طريقة
manual	يدوي
many	بزاف
many many happy returns of the day	بزاف وبزاف ديال العوائد السعيدة ليوما
march	مارس
march	مسيرة
margin	هامش
market	سوق
marriage	زواج
married	متزوج
mask	ماسك
mass	كتلة
massive	كيبر
massive	ضخم
master	رئيسي
master	تقن
match	واتى
match	ماتش
mate	رفيق
mate	تزاوج
material	مادة
material	ماطريال
math	لماط
matter	مسألة
matter	موضوع
maturity	نضج
may	ماي
may	يمكن
maybe	يمكن
maybe	يقدر
me	أنا
me too	حتى أنا
meal	وجبة
mean	يعني
mean	قبيح
meaning	معنى
means	تتعني
means	وسائل
meant	قصد
meanwhile	فالوقت لي
measure	قاس
measures	مقاييس
meat	لحم
medical	طبي
medicine	دوا
meditation	تأمل
medium	متوسط
meet	تلقا
meeting	اجتماع
Meiteilon	لغة ميتيلون
melt	ذاب
memories	ذكريات
memory	ذاكرة
mental	عقلي
mention	ذكر
mentioned	ذكر
mentor	مرشد
merchant	تاجر
mercy	رحمة
merely	غير
merry christmas	عيد ميلاد مجيد
mess	فوضى
message	رسالة
messy	فوضوي
metal	معدن
method	طريقة
mice	فار
middle	وسط
midnight	نص الليل
might	يمكن
mild	خفيف
mild	معتدل
milestone	مرحلة
milestone	معلم
military	عسكر
military	جيش
milk	حليب
million	مليون
mind	عقل
mind	مانع
mindset	عقلية
mine	ديالي
mine	منجم
mingle	خلط
minor	صغير
minor	قاصر
minute	دقيقة
minutes	دقايق
miracle	معجزة
mirror	مرايا
miscellaneous	متنوع
mischievous	خبيث
miserable	بائس
misery	بؤس
miss	آنسة
miss	توحش
miss you	توحشتك
missing	مفقود
mission	مهمة
mist	ضباب
mistake	غلط
Mizo	لغة ميزو
mobile	تيليفون
mock	ضحك
mock	تلهى
model	طراز
model	موديل
moderate	معتدل
modern	حديث
modest	متواضع
moist	رطب
moisture	رطوبة
mold	قالب
mole	جاسوس
mole	زبيبة
mom	والدة
mom	أمر
moment	لحظة
monday	التنين
money	فلوس
monitor	راقب
monkey	قرد
month	شهر
mood	جانة
mood	جو
moody	المزاج ديالو متقلب
moon	قمر
moral	أخلاقي
more	كثر
moreover	زيدون
moreover	زيد عليها
morning	صباح
Morrocan Arabic	عربي مغربي
mortgage	القرض
most	أغلب
mostly	فالغالب
mother	والدة
mother	أم
motion	حركة
motivation	تحفيز
mountain	جبل
mouse	فار
mouth	فم
move	تحرك
move	انتقل
movement	حركة
movie	فيلم
mrs	سيدة
much	بزاف
mud	غيس
mug	كاس
muscle	عضلة
museum	متحف
mushroom	شامبنيون
music	موسيقى
must	خاص
mute	ابكم
mutual	مشترك
my	ديالي
My dear	حبيبا
my friend	صاحبي
My hovercraft is full of eels	الحوامة ديالي عامرة بالحياي
my love	الحبيب ديالي
my name is	سميتي
my pleasure	بكل سرور
myself	راسي
mysterious	غامض
mystery	لغز
myth	خرافة
nail	ظغر
nail	مسمار
naive	نية
naive	سادج
name	سمية
narrative	رواية
narrow	ضيق
nasty	خايب
national	وطني
nationality	جنسية
native	محلي
natural	طبيعي
nature	طبيعة
nausea	الغثيان
near	قريب من
near	حدا
nearby	قريب
nearly	تقريبًا
neat	أنيق
neat	نقي
necessary	ضروري
neck	عنق
necklace	سلسلة
need	حتاج
need	حاجة
negative	سالب
negative	سلبي
neglect	تجاهل
neglect	اهمل
negotiate	تفاوض
neighbor	جار
neighborhood	حومة
nephew	ولد الأخ
nephew	ولد الاخت
nerd	مجتهد
nervous	متوتر
nest	عش
net	شبكة
network	شبكة
neutral	محايد
never	أبدًا
never	عمري
never give up	عمرك تستسلم
never mind	معليش
never mind	بلاش
nevermind	معليش
nevermind	بلاش
nevertheless	ولكن
nevertheless	غير شنو
new	جديد
news	أخبار
next	التالي
next to	حدا
nice	زوين
nice	ظريف
nice to meet you	متشرفين
niece	بنت الأخ
niece	بنت الأخت
night	ليل
nightmare	كابوس
nine	تسعود
nineteen	تسعطاش
ninety	تسعين
No	لا
no problem	ماشي مشكل
no way	ميمكنش
nobody	حتا حد
noise	صداع
noisy	عالي
none	حتا واحد
none	حتا حاجة
noon	ظهر
nope	لا
nor	ولا
normal	طبيعي
north	شمال
nose	نيف
nostalgic	نوسطالجي
not	ماشي
not at all	بالعمى
not at all	أبداً
not bad	مابيهش
Not now	ماشي دبا
not yet	ما زال
note	ملحوظة
noted	مقيدة
nothing	والو
nothing	حتى حاجة
notice	ملاحظة
notice	لاحظ
noticed	لاحظ
noun	سمية
nouns	أسماء
novel	رواية
november	نوفمبر
now	دبا
nowadays	ليوم
nuisance	شقمة
null	باطل
numb	مخدّر
number	عدد
nurse	ممرض
nut	جوز
nutmeg	جوز الطيب
nutrition	تغذية
oath	قسم
obesity	سمنة
obey	طاع
object	هدف
object	شيء
objective	موضوعي
obligation	واجب
obligation	التزام
obscure	غامض
observation	ملاحظة
observe	لاحظ
obsessed	مهووس
obsession	هوس
obsolete	قديم
obstacle	عائق
obtain	حصل على
obtained	مكتسب
obvious	واضح
obviously	باينة
occasionally	مرة مرة
occupation	شغل
occupation	مهنة
occupied	مشغول
occupied	محتلة
occur	وقع
occurred	وقع
occurs	وقع
ocean	محيط
october	أكتوبر
odd	غريب
odds	احتمال
of	ديال
of course	طبعًا
off	خرج
offensive	مهين
offer	عرض
office	مكتب
official	رسمي
often	غالبًا
Oh	أوه
oh really	بصاح
oil	زيت
ok	وخا
ok dear	وخا احبيبا
ok honey	وخا أحبيبا
ok my love	وخا أحبيبا
okay	وخا
okay baby	وخا أحبيبا
okay dear	وخا أحبيبا
okay honey	وخا أحبيبا
okay my love	وخا أحبيبا
old	قديم
on	فوق
on	على
once	غير
once	واحد المرة
one	واحد
one language is never enough	واحد اللغة عمرها كانت كافية
onion	بصلة
online	متصل
only	غير
open	فتح
open	مفتوح
operation	عملية
opinion	رأي
opportunities	فرص
opportunity	فرصة
opposite	العكس
optimistic	متفائل
option	خيار
optional	اختياري
or	ولا
orange	برتقالي
order	طلب
order	قرار
ordinary	عادي
organization	مؤسسة
orientation	توجيه
origin	أصل
original	أصلي
Oromo	لغة أورومو
orphan	يتيم
other	آخُر
otherwise	ولّا
ought	خاص
our	ديالنا
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	المهمة ديالنا: نمكنو الناس من جميع الأنحاء يفهمو العالم ويعبرو على راسهم بجميع اللغات.
Our mission: to organize the world's information and make it universally accessible and useful.	المهمة ديالنا: ننظمو المعلومات فالعالم ونخليوها تفيد وتكون فمتناول الجميع.
out	برّا
out	خارج
outcome	ناتج
outfit	لبسة
outgoing	منفتح
outlet	منفذ
outline	مخطط
outline	موجز
outside	خارج
outstanding	متميز
oven	فران
over	فوق
over there	تماك
overall	إجمالي
overcome	تغلب
overthinking	التفكير الزايد
overwhelmed	مروّن
overwhelmed	عيان
overwhelming	غامر
owe	كيسال
owl	بومة
own	مْلْكْ
own	ديال
owner	مول الشي
owner	مالك
ox	ثور
pace	سرعة
pack	حزمة
pack	باك
package	حزمة
package	طرد
paid	خالص
pain	حريق
paint	رسم
painting	رسم
pair	زوج
pale	باهت
palm	كف
pan	مقلا
pandemic	وباء
panic	ذعر
pants	سروال
paper	ورقة
paradise	جنة
parallel	متوازي
parcel	طرد
parcel	كوريا
pardon	سمحليا
parents	والدين
parents	آباء
park	باركا
park	متنزه
parrot	باباغيو
parsley	معدنوس
part	دور
part	جزء
participate	شارك
particular	معيّن
particularly	خصوصًا
partner	شريك
party	حفل
pass	دوّز
pass	تجاوز
passage	ممر
passed	داز
passion	شغف
passion	عاطفة
passionate	شغوف
passive	سلبي
password	مودباس
past	ماضي
patch	رقعة
path	طريق
pathetic	كيثير الشفقة
patience	صبر
patient	مريض
patient	صبّار
pattern	نمط
pause	وقف
pavement	رصيف
pay	خلّص
payment	خلاص
peace	سلام
peaceful	مسالم
peach	خوخ
peak	قمة
peak	ذروة
pear	لينجاس
peas	جلبان
peculiar	غريب
pee	بال
pee	بول
peel	قشّر
peer	نظير
peers	أقران
pen	ستيلو
pencil	قلم رصاص
pending	قيد الانتظار
people	ناس
pepper	فلفل
perceive	تصور
perception	تصور
perception	إدراك
perfect	مثالي
perform	أدّى
performance	أداء
perhaps	يمكن
period	فترة
permanent	دائم
permission	إذن
permit	ترخيص
permit	سمح
perseverance	مثابرة
persistent	مثابر
person	شخص
personal	شخصي
personality	شخصية
perspective	وجهة نظر
persuade	قنع
pervert	منحرف
pet	حيوان أليف
phase	مرحلة
phenomenon	ظاهرة
philosophy	فلسفة
phone	تيليفون
photo	تصويرة
phrase	جملة
physical	بدني
pick	خدا
pick	ختار
pick up	تسلم
pick up	التقط
picture	تصويرة
piece	طريف
pieces	قطع
pieces	طروفا
pig	حلّوف
pigeon	حمامة
pile	كومة
pillow	مخدة
pilot	بيلوط
pin	مسمار
pineapple	أناناس
pink	وردي
pit	منجم
pit	حفرة
pitch	رمى
pitch	تيران
pity	شفقة
place	بلاصة
places	بلايض
plague	وباء
plain	ساهل
plan	خطة
plane	طيارة
plant	زرع
plant	نبتة
plants	نباتات
plate	طبسيل
platform	منصة
play	لعب
playing	تيلعب
pleasant	ممتع
please	إذا جات على خاطرك
please	عافاك
pleased	فرحان
pleasure	متعة
pleasure	سرور
pledge	تعهّد
pledge	التزم
plenty	بزاف
plot	مؤامرة
plot	قصة
plug	سدادة
plug	مقبس
plum	برقوق
plumber	بلومبي
plural	جمع
podcast	بودكاست
poem	قصيدة
poetry	شِعر
point	نقطة
poison	سم
police	بوليس
policy	سياسة
polite	مأدّب
pollution	تلوث
pond	بركة
pool	بيّار
pool	لا بيسين
poop	خرا
poor	فقير
pop	فرقع
pop	البوب
popular	شائع
popular	مشهور
population	سكان
pork	لحم الحلوف
porridge	بوريدج
port	منفذ
port	مرسى
position	بلاصة
position	موقع
positive	إيجابي
possess	كيملك
possession	حيازة
possession	ملكية
possessive	تملكي
possible	ممكن
post	بريد
post	منصب
postpone	أجّل
potato	بطاطا
potential	قدرة
potential	إمكانية
pound	باوند
poverty	فقر
power	قوة
powerful	قوي
practical	عملي
practice	مارس
practice	تدريب
praise	مدح
prank	مقلب
pray	صلى
pray	دعا
precious	غالي
precise	دقيق
precisely	بالضبط
predict	توقع
prefer	فضّل
preference	تفضيل
pregnant	حامل
prejudice	تحييّز
prejudice	مساس
premises	مبنى
premium	ممتاز
preparation	تحضير
prepare	وجّد
prepare	استعد
prepared	مستعد
preposition	حرف جر
presence	وجود
presence	حضور
present	قدّم
present	الحاضر
present	كادو
presentation	عرض
preserve	حافظ على
president	رئيس
president	مدير
press	تكّي
press	صحافة
pressure	ضغط
pretend	تصنع
pretend	تظاهر
pretty	زوين
pretty	بزاف
prevent	منع
previous	السابق
prey	فريسة
prey	ضحية
price	ثمن
pride	كبرياء
pride	فخر
priest	كاهن
primary	أساسي
prime	رئيس
prime	قمّة
princess	أميرة
principal	رئيسي
prior	قبل
priority	أولوية
prison	حبس
privacy	خصوصية
private	خاص
privilege	شرف
privilege	امتياز
prize	جائزة
probably	غالبًاً
probably	يمكن
problem	مشكلة
procedure	عملية
procedure	إجراء
proceed	كمّل
process	عملية
produce	نتج
product	منتج
production	إنتاج
profession	مهنة
professional	محترف
profile	ملف شخصي
profit	فائدة
profit	ربح
profound	عميق
progress	تقدم
progress	تطور
project	مشروع
prominent	بارز
prominent	مشهور
promise	وعْد
promise	وعَد
promote	روّج
promotion	ترقية
promotion	عرض
prompt	أمر
prone	معرّض
pronouns	ضمائر
pronunciation	نطق
proof	دليل
proper	سليم
proper	مناسب
properly	بشكل مناسب
properties	خصائص
property	عقار
property	ملكية
proposal	مقترح
proposal	عرض زواج
prospect	احتمال
prosperity	ازدهار
prosperous	ناجح
prosperous	مزدهر
protect	حمى
proud	فخور
prove	بيّن
prove	ثبت
provide	عطي
provide	وفر
provided	معطي
province	مقاطعة
provision	حكم
provision	توفير
puberty	بلوغ
public	جمهور
public	عام
