a	ɖé
equal	nùɖíɖó ɖokpo ɔ
equipment	azɔwanú
equity	nǔɖokan
equivalent	zènzèn
eraser	súnsú
error	nùwanyido
escape	hɔn
especially	tawun tawun
essay	nùxámɛ
essence	nùjɔnǔ
essential	mɔ̆ ɖɔhun
establish	ɖŏ ayi
established	è ɖó
estate	kàn
estimate	akɔnkpinkpan
estimated	è ɖɔ
etc	d.w.v.
eternal	sɔyi
ethics	nùwàkpàkpà
evaluate	kpɔ́n
evaluation	kpɔnkpɔn
even	ɖokpo ɔ
even though	có
evening	gbadanu
event	nǔwiwa
eventually	ɖò nukɔnmɛ
ever	hweɖěbǔnu
every	hweɖebǔnu
everybody	mi bǐ
everyone	mɛ bǐ
everything	nǔ bǐ
evidence	kúnnuɖenú
evil	nǔ nyanya
evolution	nùɖíɖó lɛ́ɛ sín huzuhuzu
evolve	yì nukɔn
Ewe	Ewe
ex	xwɛ
exact	ganjinùnɔ́
exactly	é jɛ́n nyí
exactly	nǔ ɖokpo ɔ
exam	kpɔ́n
examine	kpɔ́n
example	kpɔ́ndéwú
exceed	fɔ́n
excellent	nylà kàn
except	zɛ
exception	nùɖé
excess	ɖŏ dín
excessive	nùɖíɖó lɛ́ɛ
exchange	ɖyɔ̌
excited	dŏ wŭ
excitement	ayihun
exciting	nùkpinkpan
exclusive	éɖokpo
excuse	hwɛ kɛ mì
excuse me	mi sɔ́ mì
execute	wà
execution	nùblɛ́n
executive	azɔ̌ kpinkplɔntɔ́
exercise	sisà
exercise	wà azɔ̌
exhaust	nùjlɛ́n
exhausted	fɔ́
exhibit	xlɛ́
exhibition	xlɛ́
exist	ɖŏ gbè
existence	gbekan
existing	nǔ ɖò jijɛ wɛ
exit	tùntɔ́n
expand	gbló
expect	ɖó nukún
expected	è nɔ ɖó nukún ɖɔ
expenses	akwézinzàn
expensive	axivɛxivɛ
experience	kpɔn kpɔn
experiment	nùjiwǔ
expert	nǔwukpikpé
expired	é wá yì
explain	tinmɛ
explanation	tinmɛ
exploit	kɔ́tɔ
explore	kpɔn
export	è ɖè
expose	ɖè
exposed	è ɖè
exposure	é ɖè nǔ lɛ xlɛ́
express	xogbé
expression	xógbe
extend	dŏ
extended	gbló
extension	xololo
extent	jlɛjε
external	nùɖé lɛ
extinct	kú
extra	nùɖé
extract	nùɖé
extraordinary	nùxámɛ
extreme	nùxámɛ
extreme	kpò
extremely	é ɖò taji tawun
eye	nukún
eyes	nukún
fabric	avɔ
fabulous	nùkpinkpan
face	ɖŏ nukɔn
face	nuku min
facilitate	d'alɔ mɛ
facilities	azɔwanú
facility	azɔwanú
fact	nùɖé
factor	nùjɔnǔ
factory	azɔwanú
facts	nùɖé lɛ
fade	ɖì
fail	ɖŏ gbĕ
failed	nǔ jɛ ǎ
failure	Hɔn nú
faint	tùntùn
fair	dŏ hwɛjijɔ
fairly	hwɛjijɔ
fairy	mamiwàtà
faith	alinxlé
faithful	gbejininɔ
fake	nùvú
fall	xwezεn
FALSE	NYANYA
fame	nyikɔ
familiar	tuùn
family	xwédo
famine	adɔ
famous	nùjlɛ́jlɛ́
fan	jɔhɔnnyinù
fancy	aɖawùn
fantastic	é nyɔ́ nukún mɛ
far	zɔ
farewell	mi dó gbɔ
farm	glesi
farmer	glesi
fascinating	nùkpinkpan
fashion	kpɔ́ndéwù
fast	dŏwùn
fat	jò
fatal	nùblawukúnúmɛ
fate	nǔ e è nɔ wà é
father	tɔ́
fatigue	gú
fault	nùwanyido
favorite	gekplà
favour	alɔdo
favourite	yí wǎn
fear	xɛsi ɖi
fear	ɖi xɛsi
feast	ɖuɖu
feather	xɛ
feature	aganlingàn
feature	zinzàn
features	nùɖé lɛ
february	afatɔ́n
fed up	é kpé mì
fee	yɔyɔ́
feed	nùɖuɖu
feedback	lɛ
feel	sè
feeling	ɖŏ mε
feet	afɔ
fell	é jɛ ayǐ
fellow	mɛɖòdó
felt	nǔ e è nɔ mɔ dó mɔ
female	nyɔnu
fence	dodùdo
fertile	nǔkún
festival	xwè xwè tɔn
fetch	dékpén
fever	xú
few	nù kpɛɖé
fewer	nùɖé lɛ hú mɔ̌
fiance	alɔwliwli
fiction	nùjlɛdonǔwu
field	gle
fierce	adǎn
fifteen	xwè kanɖé
fifty	kanɖé wǒ
fight	xo hùn
fight	ɖŏ ahwan
fighting	ahwan
figure	nùjlɛ́n
figure out	mɔ nukúnnú jɛ mɛ
file	nùɖé
fill	gɔ́
filled	e gɔ́
film	fílimɛ
filthy	adungbonɔ́
finally	gudo mɛ ɔ
finance	akwɛ́
financial	akwɛzɔ̌ wà tɔ̌
find	kpɔn
find out	mɔ nukúnnú jɛ wu
fine	é nyɔ́
finger	alɔví
finish	fó
finished	é fó
fire	myɔ
firm	agun
firm	nùgùdo
first	ɖyɔ
first name	nyikɔ
fish	hweví
fit	blŏ ɖó
five	atɔ́ɔ́n
fix	ɖyɔ́n
fixed	xwè
flag	asyà
flash	nǔjlɛ́jlɛ́
flat	gangbàn
flat	kpabaà
flaw	nùwanyido
flawless	nùɖíɖó e ma ɖó blɔ̌ ǎ é
flee	hɔn
flesh	nù
flew	yì
flexible	é nɔ́ nyɔ́
flight	jɔmɛ
flip	nùdagàn
flirt	ɖŏ wŭ
flirting	ɖŏ wŭ
float	do sin nukùnmè
flood	tɔjijɔ
floor	kɔ́n
flour	atín
flow	dùdù
flow	lùlù
flower	sè
flu	azɔnkwín
fluent	makàndekpo
fluently	ɖ'azɔ̌
fluffy	kpeté
fluid	lómilomi
fly	jɔhɔn
focus	ayi diɖŏ
focus	ɖŏ ayi
fog	hùn
foggy	fitii
fold	fli zàn
folks	mɛ lɛ
follow	xwedó
follow up	azɔ̌ e è nɔ wà lɛ é
following	ɖò nukɔnmɛ
Fon	Fon
Fon	fongbē
food	nùɖuɖù
fool	alɛ non
fool	hun alɛ
foolish	xlonɔ
foot	afɔ
football	bɔlu
for	nú
for	bo
for	ɖó
For example	Ði kpɔ́ndéwú ɔ
for instance	ðiɖe ɔ
for you	nú we
forbidden	è gbɛ́
force	hlɔnhlɔn
forecast	nùnywɛdàyi
forehead	nukɔn
foreign	tò ɖevo mɛ tɔn
forest	gbadé
forever	káká sɔ́yi
forget	wɔn
forgive	hwɛ kɛ mì
forgot	wun wɔn
fork	gafù
form	kplon nù me
form	ninɔ́me
formal	azɔmɛ
former	nukɔn tɔn
fortunately	é nyɔ́ nú mì
fortune	akwɛ
forty	kanɖé
forty-two	kanɖé nukún - we
forward	yì nukɔn
foster	mɛ e nɔ kpé nukún dó ye wu é
fought	ahwan
found	è mɔ
foundation	alɔdo
four	ɛnɛ
fourteen	kanwe afɔtɔn
fox	gbenɔ
fragile	nùɖíɖó e nɔ gblé
frame	hɔnkpá
framework	tuto
fraud	nùblibli
freak	wɔ̀n
free	é ɖò vo
freedom	mɛɖée sí
freeze	ji go nù me
frequency	nùxámɛ
frequent	hweɖelɛnu
frequently	hwɛhwɛ
fresh	fifa
friday	gbɔjɛ
fridge	cyɔ́
friend	xɔ́ntɔn
friendly	xɔ́ntɔn
friends	xɔ́ntɔn
friendship	kancica
frightened	xɛsi ɖi
frightening	xɛsi ɖi
frog	xɛ
from	sín hwenɛnu
front	nukɔn
frozen	nùɖúɖú
fruit	atín
frustrated	ɖŏ tagbà nù me
fuel	ami
Fulfulde	Fulfulde
full	nùkún
fun	ayihùn
function	azɔwanú
fundamental	taji
funeral	kúkú
funny	hwén
fur	avɔ
furious	xomɛ sìn
furniture	xwégbénù
further	dŏ nukɔn
furthermore	E lɛ́ nyí
future	sɔgudo
gain	dù me
gain	lè
game	ayihun
gap	gbeta
garage	xɔmɛ
garbage	zunkɔ́
garden	jikpá
garlic	xɛ
gate	hɔnmɛ
gather	kplé
gathering	kplé
gauge	kpò
gave	nà
gear	azɔwanú
gender	sunnu kpo nyɔnu kpo
general	mɛ bǐ
generally	mɛ bǐ
generate	ji
generation	kùnkàn
generous	nǔníná
genius	lisà
genre	xleé
gentle	xomɛfífá
genuine	nùjɔnǔ
gesture	sù
get	yí
get dressed	dó awu
get up	fɔ́n
get well soon	gbɔ azɔn ɖò malín málín mɛ
getting	yí
ghost	blibɔ́
ghosting	kalétà
giant	nùɖíɖó ɖaxó ɖé
gift	nùnina
ginger	gǒmɛ
girl	nyɔnuví
girlfriend	nyɔnuví
give	ná
give up	jó dó
given	è ɖè
glad	é hun xomɛ nú mì
glance	kpɔ́n kpɔ́n
glass	kɔ́n
glasses	axɔ́wèdètɔ́
glimpse	kpɔ́n
global	gbɛ̀ ɔ bǐ
gloomy	kpò
gloves	alɔkpa
glow	é ɖi
glow	ɖi ɖi
glow up	ɖì
glue	glɛ́
go	yì
go ahead	yì nukɔn
go away	yì zɔ
go to bed	yi amlɔ
goal	agwè
goals	nǔ e è nɔ ba lɛ é
goat	gbɔ
goat	gbɔ̌
god	mawu
god bless you	Mawu na xo ɖɛ dó mi jí
goes	yì
going	yì
going to	yì
gold	siká
gone	yì
gonna	é ná
goo	gbɔ́ asi
good	nyɔ́
good	eyon
good	ɖagbe
good afternoon	gbadanu ɖagbe
good bye	odabo
good day	azǎn ɖagbe
good evening	gbadanu ɖagbe
good job	azɔ̌ ɖagbe
good looking	é nyɔ́ nukún mɛ
good luck	é ná nyɔ́ nú mi
good morning	azǎn ɖagbe
good morning	nyɔ̀ sɔ́
good morning my love	ayi ɖagbe
good night	zǎn ɖagbe
goodbye	kɛnklɛ
goodnight	zǎn ɖagbe
goods	nùnyɔ́nà
Google	Google
Google Translate	Google Translate
goose	gàn
gorgeous	é nyɔ́ ɖɛkpɛ
gossip	xɛxó
gossip	xósúsú
got	mɔ
got it	Un mɔ
government	acɛkpikpa
grab	yí
grade	glàdi
gradually	kpɛɖé kpɛɖé
graduate	wemaxɔmɛ
grain	nǔkún
grant	alɔdo
granted	e yí gbè
grapes	wáìn
grasp	wli
grass	xɛ
grateful	kú dó nú
gratitude	kú dó nú mɛ
grave	yɔdo
gray	xwɛ
great	é nyɔ́ tawun
greed	nukúnɖíɖó
greedy	nukúnɖíɖó
green	nukúntín
greet	mɛ́
greeting	gbeɖiɖe
greetings	e dó gbe mì
grey	xwɛ
grid	nùjlajla
grief	aluwɛ
grind	glin
grip	alɔkpá
grocery	nùɖúɖú
groom	asúkúsi
gross	nùkúnnúmɛ
ground	ayikúngban
group	kplékplé
grow	sù
growth	zinzɔ́n
grumpy	xomɛ mε
Guarani	Guarani
guarantee	alɔdo
guard	gǎndido
guess	dŏ wŭ
guest	jonɔ
guidance	alixlɛ́mɛ
guide	ali dŏtɔ
guide	dŏ ali
guilty	hwɛ wɛ é hu
guy	nya
guys	gbɛtɔ́ lɛ
gym	akpablàxɔ́sà
habit	mε nɔ
habitat	nɔtɛn
had	ɖó
hail	kénji
hair	ɖa
half	wè
hall	xɔ
hand	alɔ́
handle	alɔkpɔn
handle	alɔgogwè
handsome	ɖɛkpɛ
hang	gboje
hang out	mǐ nɔ́ nɔ kpɔ́
happen	nǔ nɔ jɛ
happened	é jɛ
happiness	awǎjijɛ
happy	kpikpo
happy birthday	xwe mitɔn nyɔ
happy birthday to you	azan ɖagbe we
happy new year	xwè yɔyɔ́ víví
hard	syénsyén
hardly	é ɖò wɛn
hardly ever	hweɖebǔnu ǎ
harm	aɖàn sin sin
harm	aɖàn
harmful	nùɖé nɔ hɛn nǔ gblé
harmony	gbejininɔ
harsh	jijɔsyénsyénnɔ́
harvest	nùkún
has	ɖó
hate	wǎn yí
have	ɖó
have a good day	azǎn ɖagbe
have a nice day	mi ɖó azǎn ɖagbe
have breakfast	ɖu nùɖúɖú
have fun	ɖu vivǐ
have you eaten	a ɖu nù
having	ɖó
hazard	nùɖé
haze	nùjlɛ́jlɛ́
he	é
he has	é ɖó
he is	é wɛ
head	ta
headache	taɖu
heal	gbɔ azɔn
healing	gbɔ azɔn
health	lanmɛ
healthy	lanmɛ ganji
hear	sè
heard	sè
heart	ayi
heat	zàn
heat	hùn myɔ́
heaven	jixwé
heavy	kpinkpen
hectic	fùn
height	mɛ̀
heir	axɔ́sú
heist	nǔglɔ́
held	è nɔ́ ɖó
hell	dŏwu
Hello	un dó gbe
hello dear	mɛvíví ce
hello how are you	éé, nɛ́ a ka ɖe gbɔn
hello how are you doing	éé, nɛ̌ a ka ɖe gbɔn
helmet	gǒjíblánú
help	dŏ alɔ
helpful	dŏ alɔ
hence	enɛ wu ɔ
her	dŏ nú
herd	kanlin lɛ
here	fí fí
heritage	xùɖúɖú
hesitate	xò nǔ
Hey	wɛ
Hi	un dó gbe
hi how are you	éé, nɛ̌ a ka ɖe gbɔn
Hi there	Kɛnklɛ́n
hidden	hwlá
hide	hwlá
hierarchy	nǔwukpikpé
high	nùxámɛ
highlight	ɖè wě
hike	yì jǐ
hiking	yì zɔ
hilarious	nùɖúɖúɖú
hill	só
him	é
hint	nùjlɛjlɛ
hip	alɔkpa
hips	alɔkpa
hire	azɔxɔ
hiring	azɔ̀ yí
his	tɔn
history	xota
hit	xò
Hmm	Hmm
hobby	nǔ e nɔ víví nú mɛ é
hold	kpɔn
hold on	nɔ te
hole	dodo
holiday	gbɔjɛ
hollow	nùɖé
home	xwé
homework	azɔ̌ xwégbe
honest	gbejininɔ
honestly	nugbǒ nugbǒ
Honey	wiin
honor	sísí
hood	agbàn
hook	agɔgwé
hop	zlɔ́n
hope	kpi kpan
hope	akon kpi kpan
hopefully	un ɖi ɖɔ
hopeless	nukúnɖíɖó tɔn gblé
horizontal	xù
horn	lanzo
horrible	nǔ nyanya ɖé wɛ
horror	wuntun
horse	sɔ́
hospital	azinzɔnnɔxɔ
hospitality	jonɔdo
host	jo
host	flɔ́n
hostile	mɛyiyi
hot	nùxámɛ
hotel	xɔmɛ
hour	ganxixo
hours	ganxixo
house	xwé
house	xɔ
household	xwégbe
how	nɛ̌
how about you	hwi lɔ gbɔn
how are you	nɛ̌ a ka ɖe gbɔn
how are you doing	nɛ̌ a ka ɖe gbɔn
how are you doing today	nɛ a ka ɖe gbɔn egbe
how are you today	étɛ́ wà wɛ a ɖè égbé
how do you do	étɛ́ wà wɛ a ɖè
how is	é cí gbɔn
how many	nabí wɛ
how much	nabí é ka nyí
how often	hweɖelɛnu
how old are you	xwè nabí a ɖó
how was your day	nɛ̀ azǎn towe ka cí gbɔn
how was your night	gbadanu towe gbɔn
however	é ɖó mɔ̌ có
hub	nùjlɛ́mɛ
hubby	asú tɔn
hug	xúxú
hug	fyon
hug	xà
huge	dŏ mε
human	gbɛtɔ́
humble	mɛɖesɔhwe
humid	fifà
humidity	jɔhɔn
hundred	kanwe ko
hungry	xovɛ
hunt	nùxámɛ
hurricane	jɔhɔn ɖaxó
hurry	yá wǔ
hurry up	Mi yá wǔ
hurt	wǔvɛ́
husband	asú
hustle	avun
hustle	avun xixo
hut	xɔ
hygiene	nùxámɛ
I	Un
I am	ɖo malin malin
I am fine	Un ɖò ganjí
I can	Un sixu
I can't	Un sixu wà ǎ
I do	Un yí gbè
I do not know	Un tuùn ǎ
I do not understand	Un mɔ nǔ jɛ mɛ ǎ
I don't	Un tuùn ǎ
I don't know	Un ma tuùn ó
I don't understand	Un mɔ nukúnnú jɛ mɛ ǎ
I don't understand what you mean	Un mɔ nukúnnú jɛ nǔ e ɖɔ wɛ a ɖe é mɛ ǎ
I don't understand you	Un mɔ nukúnnú jɛ nǔ e ɖɔ wɛ a ɖè é mɛ ǎ
I don’t know	Un tuùn ǎ
I don’t understand	Un mɔ nǔ jɛ mɛ ǎ
i guess	Un ɖi ɖɔ
I had	Un ɖó
I have	Un ɖó
I have been	Un nɔ
I hope so	Un ɖi ɖɔ mɔ̌ wɛ
I know	Un tuùn
I like	Un yí wǎn
I like you	Un yí wǎn nú we
I love	Un yí wǎn
I love my big brother	Un yí wǎn nú nɔví ce
I love my big sister	Un yí wǎn nú nɔví nyɔnu ce ɖaxó ɔ
I love my father	Un yí wǎn nú tɔ́ ce
I love my little brother	Un yí wǎn nú nɔví cè kpɛví ɔ́
I love my little sister	Un yí wǎn nú nɔví nyɔnu ce kpɛví ɔ
I love my mother	Un yí wǎn nú nɔ ce
I love you	Un yí wǎn nú we
I love you so much	Un yí wǎn nú we tawun
I love you too	Un yí wǎn nú we
I mean	Un ɖɔ
I miss you	A vɛ́ nú mì
I miss you so much	A vɛ́ nú mì tawun
I see	Un mɔ
I think	Un lin ɖɔ
I understand	Un mɔ nǔ jɛ wu
I want	Un jló
I want to see you	Un jló na mɔ we
I want you	Un jló we
I was	Un ɖò
I will	Un na bló
I would be	Un na nyí
I'm	Un ɖò
I'm fine	Un ɖò ganjí
I'm good	Un ɖò ganjí
I'm here	Un ɖò fí
I'm sorry	Un kú nǔbláwǔ
ice	yìsi
ice cream	nùsúnnú
idea	linlin
ideal	nǔ ɖagbe
identical	nǔ ɖokpo ɔ
identify	tuùn
identity	mebùnɔ́
idiot	xlonɔ
idle	ɖŏ wŭ
if	enyi
ignore	ma ɖó ayi ó
ill	azɔn
illegal	nù è ma ɖó ná bló ǎ
illness	azɔn
Ilocano	Ilocano
image	nùdidé
imagine	tamɛ kpɔ́n
immediate	é ɖò dandan
immediately	ɖò tlolo
immense	bablibà
impact	xɔxɔ́
impatient	é nɔ ɖó suúlu ǎ
implement	wà
import	ɖŏ
import	ɖŏ ɖŏ
important	nǔ taji
impose	ɖ'azɔn jí
impossible	nǔ sixu jɛ ǎ
impress	ɖ'awǎ
impression	kpɔn
impressive	é nyɔ́ nukún mɛ
improve	ɖyɔ́n
improvement	ɖyɔ
in	ɖò
in addition	é ɖò mɔ̌ có
In fact	Nǔgbó ɔ́
in front of	ɖò nukɔn
in order to	bo na dó
inappropriate	nǔ e sɔgbe ǎ
incentive	alɔdo
incident	nùɖé
include	nɔ byɔ
including	nùɖé lɛ
income	álé
inconvenience	tagba
increase	dŏ sù
increased	é sù
incredible	nǔ ma ɖiɖe ǎ
indeed	É ɖò mɔ̌
independent	é nɔ wà éɖesunɔ
India	India
indicate	xlɛ́
indigenous	tò tò
individual	mɛ ɖokpo ɖokpo
industry	azɔwanú
inevitable	é ɖò dandan
infant	yɔkpɔvu
infection	azɔnkwín
infinity	tegbe tɔ́n
inflammation	nùxámɛ
inflation	do jɔhɔ́n
influence	acɛkpatɔ
influence	dù gàn
inform	ɖɔ
information	dɔnùesè
ingredients	bógbé
inheritance	gǔ
initial	nukɔn nukɔntɔn ɔ
initiative	kpansin
injured	e gblé
injury	nǔgbomɛ
innocent	xomɛvɔ́nɔ
innovation	hùzùhùzù
inquiry	nùkanbyɔ
insane	nùblíblí
insect	nùvi
insecure	càywé
insert	nùɖé
inside	mɛ
insight	nukúnnúmɔjɛnǔmɛ
insist	é nɔ́ ɖɔ
insomnia	alɔjixwe
inspiration	wusyɛn dó lanmɛ nú mɛ
inspire	d'alɔ mɛ
install	sɔ́
instance	nùjlɛdonǔwu
instant	hweɖelɛnu
instead	É nyɔ́ hú
instead of	ɖó
instructions	nùkplɔnmɛ
instrument	nùjlɛ́nú
insult	zunzun
insurance	akwɛ́sinsi
intact	e ɖò éɖesunɔ
integrity	gbejininɔ
intellectual	nùnywɛ xwitixwiti
intelligence	nǔywɛ
intelligent	nùnywɛ
intend	ɖŏ linlin
intended	jlo
intense	nùxámɛ
intention	linlin
interact	ɖŏ xó xá
interaction	kpòkpò
interest	ɖu ɖ'é jí
interested	é nyɔ́ nukún mɛ
interesting	nùkpinkpɔn
interfere	ɖŏ xó xá
intermediate	gbe ɖokpo ɖokpo
internal	nùɖíɖó e ɖò mɛ mɛ é
international	tò ɖevo lɛ
internship	azɔmɛ
interpret	jlɔ́n
interpreter	ɖɛ̀ɖɛ́tɔ́
interrupt	gbò
interview	xóɖiɖɔ
intimate	mɛɖòɖó
into	yì
introduce	ɖŏ
introduction	nùjlɛjlɛ
introvert	mɛɖokponɔ
intuition	nùlinlin
invalid	nùɖíɖó e ma sɔgbe ǎ
invent	kpà
inventory	nùdowà
invest	do wà
investigate	kpɔn
invitation	ylɔxɔ
invite	ylɔ́ mɛ
invoice	axɔkwɛ ɔ
involve	byɔ́
involved	é ɖ'é mɛ
iron	ganwiwi
iron	gàn
is	nyí
island	tɔtɛntinto
isolated	è ɖè
issue	dŏ wŭ
issues	nùkanbyɔ
it	é
it is	é nyí
it was	é nyí
it's	é nyí
it's ok	É nyɔ́
It's okay	É nyɔ́
item	nùɖé
items	nǔ lɛ
its	é
I’m	Un
jacket	awu
jail	ganxó
January	aluùnsùn
jar	zen daxo
jaw	alɔví
jealous	wǔhwinhwan
jerk	xlonɔ
jewelry	sikàtùnxɔ́sà
job	azɔ̀
jogging	wezun
join	xò dŏ
joint	alɔ ɖó kpɔ́
joke	ayihunxo
journalist	xójlawutɔ́
journey	tomɛyiyi
joy	awǎjijɛ
judge	gbo hwé
judge	hwegbotɔ́
juice	nùsúnnú
july	xwè
jump	jɛ̀
june	jùn
junk	gbà
just	kpowun
just do it	bló kpowun
justice	hwɛjijɔ
justify	hwɛjijɔ
Kalaallisut	Kalaallisut
keen	kpò
keep	ɖŏ
keep it up	mi nɔ́ nɔ́
kept	è nɔ hɛn
kettle	sindàdojinù
key	càvi
kick	kpɔn
kid	yɔkpɔvu
kidding	nùɖíɖó
kidney	alin
kids	vǐ lɛ
kill	hu
kind	mɛ ɖagbe
kind	xomɛnyínyɔ́
kinda	é cí
kindly	xomɛnyínyɔ́
kindness	xomɛnyínyɔ́
king	axɔ́sú
kiss	kancica
kitchen	adoxɔ́
kite	jɔmɛ
kitten	xɛví
knee	alɔ
knew	tuùn
knife	jivi
knight	sɔ́ja
know	wùn
knowledge	nùjlɛdonǔwu
known	è tuùn
Konkani	Konkani
Krio	Krio
label	nùnina
label	é nùnina
labor	azɔ̀
labour	azɔ̌
lack	hihàn
ladder	ogan
lady	nyɔnu
laid	è ɖó
lake	tɔ̀n
lamb	lɛngbɔvi
lame	mɛ e ma ɖó gǎn ǎ é
lamp	zogbɛ́n
land	wa do
land	ayikungban
landscape	fí e è nɔ ɖè é
language	gbè
lap	agbò
large	ɖaxó
last	gudo tɔn
last but not least	gudo bǐ ɔ
last name	nyikɔ tɔn
late	é lín
lately	ɖò azǎn gudogudo tɔn lɛ mɛ
later	nukɔnmɛ
latest	gudo tɔn
latter	gudo tɔn
laugh	nùkiko
laughing	ɖì
laughter	nùkiko
laughter	kpikpí
launch	bǐbɛ̌
laundry	avɔxwɛ
law	sɛ́n
lawn	gbadé
lawyer	hwɛɖɔtɔ́
lay	ɖŏ
layer	zàn
layout	nùjlɛjlɛ
lazy	fɔnnɔ
lead	kpò
leader	gǎn
leaf	wèmá ɔ́
leak	kɔ́n nyi
lean	blà wù
leap	zlɔ́n
learn	kplɔ́n nǔ
learning	nùkplɔnkplɔn
lease	xɔ
least	hweɖelɛnu
least	kpò
leather	kɔ́
leave	yì
leaves	xù
led	zɔ́n ji
left	amyɔ
leg	afɔ
legacy	gǔ
legal	acɛkpikpa
legend	nùjlɛdonǔwu
legit	é ɖò sɛ́n jí
leisure	gbɔjɛ
lend	hwè
length	lín
less	hweɖenu
lesson	nùkplɔnmɛ
let	jó dó
letter	wema
lettuce	nùxuxu
level	azɔwanú
leverage	alɔdo
liability	ɖŏn
library	wemaxɔmɛ
lick	ɖì
lie	adingban
lie	ɖó awò
lies	adingban
life	gbɛ̀
lift	ɖŏ sù
lift	ɖŏ sù mè
light	kpɔn
lightning	nǔjlɛ́jlɛ́
like	sin
likely	é sixu nyí
likewise	mɔ̆ ɖokpó ɔ́
line	ali
Lingala	Lingala
link	kancica
lion	kinnikínní
liquid	sìn ɖɔ hun
list	wlan wlan lɛ
listen	ɖótó
listening	sè xó
literally	é ɖò wɛn
literature	wemaxɔmɛ
litter	do gàn alɔ́
little	kpɛví
live	É ɖò gbɛ̀ jí
liver	gan
lives	gbɛ̀
living	gbɛ̀
living room	xɔ nɔ nɔ
lizard	alɔ́tlɔ́
load	azɔ̌
loaf	wɔ̌xúxú
loan	hwɛ́
local	mε
location	xɔ
lock	gàn
lockdown	gàn
log	wlan
lol	é nɔ́ nyɔ́ nukún mɛ
lonely	mɛɖokponɔ
long	gaga
long time no see	é lín bɔ un mɔ mi ǎ
look	kpon
look	kpi pkon
loop	nùjlajla
loose	e nɔ mɔ̀ mɛ̀
loose	bù wun
lord	axɔ́sú
lose	xò
loss	bú
lost	bú bù
lot	lɔɔtu
loud	xóxó
lounge	agbasà
love	wanyiyi
love	yí wǎn
love you	Un yí wǎn nú we
lovely	é nyɔ́ ɖɛkpɛ
low	hwe
lower	hwe
loyal	gbejininɔ
loyalty	gbejininɔ
luck	nǔ nyɔ́
lucky	é nyɔ́
Luganda	Luganda
luggage	agbàn
lump	nùglɔ́
lunch	hunmɛxwlé
lungs	xú
luxury	xɔ akwɛ
lying	adingban
machine	mɔ̆to
mad	yɛyinɔ́
madam	nyɔ̌nu
made	è bló
magazine	wemaxɔmɛ
magnificent	é nyɔ́ ɖɛkpɛ
maid	mɛ̌si
main	nǔ taji
maintain	hɛn
maintenance	alɔdo
Maithili	Maithili
major	nuku nedji
majority	mɛ gègě
make	dŏ wŭ
make up	ɖŏ nù
male	sunnu
mall	xɔxɔ
man	gbɛtɔ́
manage	kplà me gbɔ́n alixo
management	azɔwanú
manager	gǎn
mandatory	nǔ e è ɖó ná bló é
manifest	nǔgbo
manipulate	fàkinkàn
manner	alɔ̀kpà
manual	wemafɔ
many	mɛ gègě
many many happy returns of the day	azan ɔ́ mɛ̀ lɛ́ɛ bǐ ná yí gbè
march	xwè
margin	nùɖé
market	axixɔ
marriage	alɔwliwli
married	alɔwliwli
mask	gàn
mass	hànmà
massive	nùɖíɖó ɖaxó ɖé
master	gǎn
match	gbeɖokpɔ́
match	kpikpé
mate	mɛ
material	nǔ è nɔ zán lɛ é
math	akɔnta
matter	kam biò
matter	ò kam biò
maturity	xwè
may	ayi ɖó wε
maybe	dŏ wŭ
me	nyɛ
me too	nyɛ ɖesu
meal	hunmexwlé
mean	tinmɛ
meaning	tinmɛ tɔn
means	nùjlɛdonǔwu
meant	é ɖɔ
meanwhile	ɖò hwe enɛ ɔ mɛ ɔ
measure	agunsoto
measures	azɔ̌
meat	lanmɛ
medical	azɔngbɔn
medicine	azɔ̀n
meditation	tamɛ linlin
medium	nùxámɛ
meet	é vɛwǔ
meeting	kplé
Meiteilon	Miitiɛlɔ́n
Meiteilon	Meiteilon
melt	sinsin
memories	taglómɛ
memory	nùjlɛdonǔwu
mental	ayi mɛ
mention	ɖɔ xó
mentioned	è ɖɔ xó dó
mentor	mɛsinɔ
merchant	xɔtɔ́
mercy	nǔbláwǔkúnúmɛ
merely	é nyí kpowun
merry christmas	xwèwùn
mess	fùtù
message	wɛn
messy	nǔ gblé
metal	gan
method	azɔwanú
mice	xɛ lɛ
middle	tɛntin
midnight	zanzan
might	sixu
mild	nùɖé
milestone	nǔ taji ɖé
military	ahwankpá
milk	sin
million	xwè mɔkpan
mind	gbi gbo
mind	lin lin
mindset	linlin
mine	tché
mine	yin
mingle	ɖŏ kpɔ́
minor	nùɖé ǎ
minute	ganxixo
minutes	ganxixo
miracle	nùjiwǔ
mirror	nùkpén
miscellaneous	nǔ ɖevo lɛ
mischievous	mimlàto
miserable	mɛ nyanya
misery	wŭ
miss	ɖyɔvǐ
miss	nyɔnuví
miss you	e nɔ ɖó wε
missing	nuxén
mission	azɔ̌
mist	jɔhɔn
mistake	nùwanyido
Mizo	Mizo
mobile	alokàn
mock	slamé
model	nùjlɛdonǔwu
moderate	djilè méni non
moderate	djilè mè
modern	égbé tɔn
modest	mɛɖesɔhwe
moist	ɖò mɛ
moist	ɖù
moisture	jɔhɔn
mold	fùn hwà
mold	ɖù méo
mole	kwin
mom	nɔ
moment	hweɖenu
monday	ténigbé
money	akwɛ
monitor	kpɔnkpɔn
monkey	kàbli
