a little	бичииле
fruit	чимис
frustrated	чөгели төнген
fuel	түлер чүүл
Fulfulde	Фулфульде
full	долдур
fun	хөглүг
function	хүлээлге
fundamental	ханы
funeral	хөөржүдери
funny	хөглүг
fur	дүк
furious	килеңниг
furniture	эт-сеп
further	дараазында
furthermore	оон туржук
future	келир үе
gain	алыр
game	оюн
gap	үзүлген чер
garage	гараж
garbage	бок
garden	сесерлик
garlic	чеснок
gate	хаалга
gather	чыыр
gathering	чыылда
gauge	калибр
gave	бердинген
gear	механизм
gender	эри-кызы
general	кол
generally	анаада
generate	үндүрер
generation	салгал
generous	экииргек
genius	шылгараңгай угаанныг кижи
genre	жанр
gentle	чымчак
genuine	ёзулуг
gesture	шимчээшкин
get	алыр
get	ап алыр
get dressed	кеттинип алыр
get up	турар
get well soon	дурген экирер
getting	алыры
ghost	сүнезин
ghosting	хей чүве
giant	кайгамчык улуг
gift	белек
ginger	имбирь
girl	уруг
girlfriend	кыс таныжы
give	бээр
give up	дүжүп бээр
given	бердинген
glad	өөрүнчүг
glance	көрүш
glass	шил
glasses	карак-шили
glimpse	чырыш дээри
global	бүдүн делегейниң
gloomy	муңгаргай
gloves	хол-хаптары
glow	чырыыр
glow up	чырыыр
glue	хырба
go	баар
go	чоруур (баар)
go ahead	эгелээр
go away	чоруур
go to bed	удуп чыдар
goal	сорулга
goals	сорулгалар
goat	өшкү
god	бурган
god bless you	кадык бол
goes	чоруур
going	чоруптурар
going to	кылыр деп бодап турар
gold	алдын
gone	чораан
gonna	деп турар
goo	шара
good	эки
good afternoon	дүштекиниң мендизи-биле
good bye	байырлыг
good day	эки хүн
good evening	кежээкиниң мендизи-биле
good job	эки ажыл
good looking	эки көстүр
good luck	олчалыг бол
good morning	эртенгиниң мендизи-биле
good morning my love	эртенгиниң мендизи-биле мээң ынакшылым
good night	кежээкиниң мендизи-биле
goodbye	байырлыг
goodnight	менди-чаагай удуп хонуңар
goods	барааннар
Google	Гугл
Google Translate	Гугл очулдурулга
goose	кас
gorgeous	чараш
gorgeous	онза-чараш
gossip	хоп-хочу
got	алган
got it	билип алдым
government	күрүне
grab	тудар
grade	класс
gradually	чоорту
graduate	доозукчу
grain	үрезин
grant	грант
granted	бердинген
grapes	виноград
grasp	салдыкпазы
grass	оът
grateful	өөрүп четтирген
gratitude	өөрүп четтирери
grave	хөөр
gray	куу
great	кончуг эки
great	онза
greed	чазыйы
greedy	чазый
green	ногаан
greet	мендилээр
greeting	мендилээри
greetings	амыр-менди
grey	куу
grid	решетка
grief	муңгагдал
grind	хоюду тыртар
grip	сегирип алыр
grocery	бакалея
groom	душтук
gross	ниити
ground	чер
group	бөлүк
grow	өзер
growth	өзери
grumpy	дүндүгүр
Guarani	Гуарани
guarantee	гарантия
guard	таңныылдар
guess	угаа бодаар
guess	алыныр
guest	аалчы
guidance	удуртулга
guide	удуртулга
guilty	буруулуг
guy	аныяк кижи
guys	оолдар
gym	тренажёрка
habit	чаңчыл
habitat	чурттаар чери
had	турган
hail	мендилээр
hair	дүк
half	чартык
hall	зал
hand	хол
handle	күүседип шыдаптар
handsome	чараш (эр кижи)
hang	азар
hang out	азар
happen	болур
happened	болган
happiness	аас-кежик
happy	өөрүшкүлүг
happy	аас-кежик
happy birthday	төрүттүнген хүнүң-биле
happy birthday to you	төррүтүнген хүнүң-биле
happy new year	чаа чыл-биле
hard	кадыг
hardly	арай деп
hardly ever	барык кажан-даа эвес
harm	хора
harmful	хоралыг
harmony	аяннажылга
harsh	кадыг-дошкун
harvest	дүжүт ажаалдазы
has	бар
hate	көрбестээр
have	бар
have a good day	хүнүң эки болзун
have a nice day	хүнүң эки болзун
have breakfast	чемненип ал
have fun	солун ойнаар
have you eaten	чемнендиңер бе
have you eaten	чемнендиң бе
having	бар
hazard	айыыл
haze	туман
he	ол (эр кижи)
he has	ол кижи
he is	ол эр кижи
head	баш
headache	баш аарыы
heal	эмнээр
healing	эмнээр
health	кадык
healthy	кадык
hear	дыңнаар
heard	дыңнаан
heart	чүрек
heat	чылыдар
heaven	шамбыла ораны
heavy	аар
hectic	халыын
height	бедии
heir	салгакчы
heist	дээрбедээри
held	туткан
hell	эрлик ораны
Hello	Экии
Hello	Амыр менди
hello dear	экии эргимим
hello how are you	экии кандыг тур силер
hello how are you	экии кандыг тур сен
hello how are you doing	экии кандыг тур силер
hello how are you doing	экии кандыг тур сен
helmet	шлем
help	дузалажыыр
helpful	дузалыг
hence	ынчангаш
her	ол (кыс кижи)
herd	өөр мал
here	мында
heritage	дамчыыр салгал
hesitate	чайгылар
Hey	Эй
Hey	Эть
Hi	Экии
hi how are you	экии кандыг тур силер
Hi there	экии
hidden	чажыт
hide	чажырар
hierarchy	иерархия
high	бедик
highlight	онзалап демдеглээр
hike	агаарлаар
hiking	чадаг туризм
hilarious	каттырынчыг
hill	дөң
him	ол эр кижиниң
hint	айтып бээри
hip	дөңмек
hips	дөңмектер
hire	хөлезилээр
hiring	хөлезилел
his	ол (эр кижи)
history	төөгү
hit	согар
Hmm	хмммм
hobby	хобби
hold	тудар
hold on	манаар
hole	үт
holiday	байырлал
hollow	ишти хос
home	бажың
homework	онаалга
honest	шынчы
honestly	ак сеткил-биле
Honey	сарыым
honor	алдар
hood	капюшон
hook	илбек
hop	шураар
hope	идегел
hopefully	идегел-биле
hopeless	идегел чок
horizontal	горизонтальдыг
horn	мыйыс
horrible	аажок коргунчуг
horror	коргунчуг чүве
horse	аът
hospital	эмнелге
hospitality	хүндүлээчели
host	ээ
hostile	өжээнниг
hot	изиг
hotel	аалчылар бажыы
hour	шак
hours	шактар
house	бажың
household	бажың ажыл-агыйы
how	канчалдыр
how	канчаан
how about you	а сен
how about you	а силер
how are you	Кандыг тур силер
how are you doing	кандыг чоруп тур силер
how are you doing	кайы-хире чоруп тур сен
how are you doing today	бо хүн кандыг тур силер
how are you doing today	бо хүн кандыг тур сен
how are you today	бо хүн кандыг тур силер
how are you today	бо хүн кандыг тур сен
how do you do	кандыг тур сен
how is	канчаан
how many	каш
how much	каш
how often	кайы-хире болгаш
how old are you	харың кааш
how old are you	каш харлыг сен
how was your day	бо хүн кандыг болду
how was your night	кандыг хондуң
how was your night	кандыг хондуңар
however	ынчаарга
however	чогум
hub	ортузу
hubby	ашакоой
hug	куспактаар
huge	дыка улуг
huge	эң-не улуг
human	кижи
humble	биче сеткилдиг
humid	шык
humidity	шыгы
hundred	чүс
hungry	аш
hunt	аңнаашкын
hurricane	шуурган
hurry	далажыр
hurry up	далажыр
hurt	аашкылыг
husband	ашак
hustle	иткилежиишкин
hut	казанак бажың
hygiene	арыг-силиг байдал
I	мен
I am	Мен
I am fine	мен анаа мен
I can	мен шыдаар
I can't	мен шыдавас
I do	мен кылыр
I do not know	билбес мен
I do not understand	мен билбейн тур мен
I don't	мен эвес
I don't know	Мен билбес мен
I don't understand	Мен билбейн тур мен
I don't understand what you mean	мен сени билбейн тур мен
I don't understand you	мен силерни билбейн тур мен
I don't understand you	мен сени билбейн тур мен
I don’t know	мен билбес мен
I don’t understand	мен билбейн тур мен
i guess	мен бодаарымга
I had	меңээ турган
I have	менде бар
I have been	мен
I hope so	мен база ынчалдыр идегеп тур мен
I know	мен билир мен
I like	мен аянсынар
I like you	мен сени сонуургап тур мен
I love	мен ынак
I love my big brother	мен акымга ынак мен
I love my big sister	мен улуг угбамга ынак мен
I love my father	мен ачамга ынак мен
I love my little brother	мен эр дуңмамга ынак мен
I love my little sister	мен кыс дуңмамга ынак мен
I love my mother	мен авамга ынак мен
I love you	мен сеңээ ынак мен
I love you so much	Мен сеңээ дыка ынак мен
I love you too	мен база сеңээ ынак мен
I mean	мен бодаарымга
I miss you	мен силерни сактып тур мен
I miss you	мен сени сактып тур мен
I miss you so much	мен сени дыка сактып тур мен
I see	билдим
I think	мен бодарымга
I understand	мен билип тур мен
I want	мен күзеп
I want to see you	мен сени көрүксеп тур мен
I want you	мен силерни күзеп тур мен
I want you	мен сени күзеп тур мен
I was	мен турган
I will	мен (ынчаар
I will	мынчаар)
I would be	мен
I'm	мен
I'm fine	анаа мен
I'm good	мен анаа мен
I'm here	мен мында мен
I'm sorry	Мен буруулуг болдум
ice	дош
ice-cream	мороженое
idea	идея
ideal	тергиин
identical	дөмейлешкек
identify	тодарадыр
identity	дөмейлешкээ
idiot	мугулай
idle	анаа турар
if	болза
if	ындыг болза
ignore	барымдаалавас
ill	аарыр
illegal	дүрүмге удур
illness	аарыг
Ilocano	Илокано
image	чурук
imagine	сагышка бодаар
immediate	доп-дораан
immediately	дораан
immense	кайгамчык улуг
impact	салдар
impatient	четтикпес
implement	боттандырар
import	импорт
important	чугула
impose	онаар
impossible	болдунмас
impress	магадыр
impression	сактыышкын
impressive	кайгамчык
improve	экижидер
improvement	экижидилге
in addition	немере кылдыр
In fact	херек кырында
in front of	мурнурда
in order to	кылдыр
inappropriate	таарышпас
incentive	сеткил
incident	таварылга
include	киирер
including	кады санавышаан
income	орулга
inconvenience	эпчогу
increase	улгадыыр
increased	улгатырган
incredible	бүзүрээр аргажок
indeed	шын-дыр
indeed	шынап-ла
independent	хамаарышпас
India	Индия
indicate	айтыр
indigenous	үндезин
individual	хуу
industry	үлетпүр
inevitable	чайлаш чок
infant	чаш уруг
infection	аарыг-ажык
infinity	кызыгаар чоогу
inflammation	хуулуушкун
inflation	инфляция
influence	салдар
inform	медээлээр
information	медегдел
ingredients	киритингеннер
inheritance	салгап алыры
initial	баштайгы
initiative	эгелекчи санал
injured	балыглаткан
injury	кемдээри
innocent	кем чок
innovation	чаартылга
inquiry	хыналда
insane	угааны солуу
insect	курт-кымыскаяк
insecure	айыыл чок эвес
insert	сугар
inside	иштинде
insight	чүве эндевези
insist	негеп тургаш чедип алыр
insomnia	удувастаары
inspiration	сорук кириишкин
inspire	сургаар
install	тургузары
instance	болуушкун
instant	доп-дораан
instead	орнунга
instead	ооң орнуңга
instead of	орнунга
instructions	айтыышкын
instrument	херексел
insult	дорамчылал
insurance	камгаладылга
intact	бүдүн
integrity	шынчызы
intellectual	угаан
intelligence	интеллект
intelligent	угааныг
intend	сагыштыг болур
intended	санап калган
intense	күжениишкинниг
intention	бодал
interact	демниг хөделиир
interaction	удур-дедир харылзаа
interest	сонуургал
interested	сонуургаан
interesting	солун
interfere	аразынче кирер
intermediate	аразында
internal	иштики
international	интернационал
internship	интернатура
interpret	утказын тайылбырлаар
interpreter	очулдурукчу
interrupt	үзе кирер
interview	интервью
intimate	хууда
into	иштинче
introduce	киирер
introduction	киирилде
introvert	интроверт
intuition	сагыжы эндевези
invalid	күш чок
invent	чогаадып кылыр
inventory	инвентарь
invest	акша киирер
investigate	шинчилээр
invitation	чалалга
invite	чалаар
invoice	счет-фактура
involve	киириштирер
involved	киириштирген
iron	темир
island	ортулук
isolated	аңгылаттынган
issue	айтырыг
issues	айтырыглар
it	бо
it is	Бо болза
it is	Бо дээрде
it was	ол турган
it's	ол
it's ok	ол анаа чүве диинь
It's okay	анаа-анаа
item	пункт
items	чүвелер
its	бо
I’m	мен
jacket	куртка
jail	кара-бажың
January	бир ай
jar	шил банка
jaw	чаак
jealous	адааргаачал
jerk	аамай кижи
jewelry	ювелирлиг каасталга
job	ажыл
jogging	маңнаар
join	катыжар
joint	тудушкан кезек
joke	баштак
journalist	журналист
journey	аян-чорук
joy	хөглүг
judge	шииткекчи
juice	сок
july	чеди ай
jump	шураар
june	алды ай
junk	бок
just	чугле
just do it	анаа кылывыт
justice	чөптүү
justify	агартыр
Kalaallisut	Калалисут
keen	өткүт
keep	арттырар
keep it up	улаштырар
kept	дудуп турган
kettle	бызаа
key	дүлгүүр
kick	тегер
kid	бичии уруг
kidding	баштактаныыр
kidney	бөөрек
kids	уруглар
kill	өлүрер
kind	ак-сеткилдиг
kind	эки
kinda	ышкаш
kindly	эвилең-биле
kindness	экизи
king	хаан
kiss	чыттаар
kitchen	кухня
kite	ужар-саазын
kitten	диис оглу
knee	дискек
knew	билир турган
knife	бижек
knight	рыцарь
know	билир
knowledge	билиг
known	билген
Konkani	Конкани
Krio	Крио
label	этикетка
labor	күш-ажыл
labour	күш-ажыл
lack	чедишпес
ladder	чада
lady	аныяк уруг
laid	чаткан
lake	хөл
lamb	хураган
lame	өөрүшкү
lamp	лампа
land	чер
landscape	пейзаж
language	дыл
lap	круг
large	дыка улуг
last	сөөлгү
last but not least	сөөлгү, чогум эң сөөлгү эвес
last name	фамилия
late	орай
lately	чоокта чаа
later	соонда
latest	сөөлгү
latter	сөөлгү
laugh	каткы
laughing	катырып турар
laughter	каткы
launch	эгелээр
laundry	хеп чуур чер
law	хоойлу
lawn	аяң
lawyer	хоойлучу
lay	салыр
layer	каът
layout	таарыштыр салыр
lazy	чалгаа
lead	удуртукчулаар
lead	баштаар
leader	баштаңчы
leaf	бүрү
leak	төктүрү
lean	чөлениир
leap	халыыр
learn	өөрениир
learning	өөредилге
lease	хөлези
least	эң эвээш
leather	кеш
leave	чоруур
leave	каар
leaves	бүрүлер
led	эдерткен
left	солагай
leg	бут
legacy	салгал
legal	хоойлуга дүүшкек
legend	легенда
legit	хоойлу ёзугаар
leisure	хостуг үе
lend	чегдирер
length	узуну
less	эвээш
lesson	кичээл
let	чөпшээрээр
letter	чагаа
lettuce	ногаа бүрүзү
level	деңнел
leverage	быра
liability	харыысалгалыы
library	библиотека
lick	чылгаар
lie	мегелээр
lies	меге
life	чурталга
lift	көдүрер
light	чырык
lightning	чаңнык
like	таарымчалыг
like	дөмей
likely	харын-даа
likewise	база
line	шыйыг
Lingala	Лингала
link	улаары
lion	арзылаң
liquid	суук чүүл
list	даңзы
listen	дыңнаар
listening	дыгнаар
literally	сөс сүрүп
literature	чогаал
litter	бок
little	бичии
live	чуртаар
liver	баар
lives	чурттап турар
living	дириг
living room	зал
lizard	селеске
load	долдурар
loaf	буханка
loan	чээли
local	тус черниң
location	турар чер
lock	шоочалаар
lockdown	блокада
log	чудук
lol	лол
lonely	чаңгыс
long	узун
long time no see	үүр үе иштинде көрүшбээдивис
look	көөр
look	кайгаар
loop	цикл
loose	хостуг
lord	хаан
lose	чидирер
loss	чидириг
lost	читкен
lot	хөй кезии
loud	шимээнниг
lounge	аалчылар өрээли
love	ынакшыл
love you	сеңээ ынак
lovely	кайгамчык чараш
low	чавыс
lower	чавыс
loyal	бүзүрелдиг
loyalty	лоялдыы
luck	чедимче
lucky	олчалыг
Luganda	Луганда
luggage	чүък
lump	кезек
lunch	дүштеки чем
lungs	өкпелер
luxury	аас-коя амыдырал
lying	чыдар
machine	машина
mad	албыстыг
madam	мадам
made	кылган
magazine	журнал
magnificent	каас-чараш
maid	хеделдер
main	кол
maintain	хандырар
maintenance	хандырылга
Maithili	Майтхили
major	чугула
major	кол
majority	улуг нуруузу
make	кылыр
make	бүдүрер
make up	макияж
male	эр
mall	улуг садыг
man	кижи
manage	башкарар
management	башкарары
manager	менеджер
mandatory	албан
manifest	манифест
manipulate	манипуляция кылыр
manner	аажы-чаң
manual	инструкция
many	хөй
many many happy returns of the day	хөй хөй катап бо хөглег хүнче эглир
march	үш ай
margin	немелде өртек
market	рынок
marriage	өглениири
married	өглүг болур
mask	маска
mass	масса
massive	аар
master	мастер
match	дүгжүрү
mate	өңнүк
material	материал
math	математика
matter	херек
matter	ужур утка
maturity	назы чедери
may	болур
maybe	чадавас
maybe	бооп болур
me	мен
me too	Мен база
meal	чем
mean	уткалыг
meaning	утка
means	илередир
meant	деп билдинген
meanwhile	ол үеде
measure	хемчээл
measures	хемчээлдер
meat	эът
medical	эмнелгениң
medicine	эм
meditation	медитация
medium	ортун
meet	ужуражыр
meeting	ужуражылга
Meiteilon	Мейтейлон
melt	эриир
memories	сактыышкыннар
memory	чүве утпазы
mental	угаанга хамаарышкан
mention	демделгээр
mentioned	демдеглээн
mentor	дагдыныкчы
merchant	садыгжы
mercy	кээргээр
merely	чүгле
merry christmas	хөглүг рождество-биле
mess	корум-чурум чогу
message	дыңнадыг
messy	корум-чурум чок
metal	металл
method	арга
mice	күскелер
middle	ортуку
midnight	дүн ортузу
might	чадавас
mild	чымчак
milestone	чада
military	шериг
milk	сүт
million	миллион
mind	угаан
mindset	боданыр аайы
mine	мээң
mingle	холуштурар
minor	улуг эвес
minute	минуталар
minutes	минуталар
miracle	хуулгаазын чүве
mirror	көрүнчүк
miscellaneous	янзы-янзы
mischievous	өжү ханып амыраар
miserable	хөөкүй
misery	ядарал
miss	даңгына
miss you	сактып тур мен сени
missing	чиде берген
mission	хүлээлге
mist	туман
mistake	чазыг
Mizo	Мизо
mobile	мобильник
mock	дорамчылап кочулаар
model	модель
moderate	өй-тап
modern	амгы үениң
modest	биче сеткилдиг
moist	өл-шык
moisture	өл-шыгы
mold	дүдүк
mole	мең
mom	авай
moment	үе
monday	понедельник
money	акша
monitor	монитор
monkey	сарбашкын
month	ай
mood	хөөн
moody	дүндүгүр
moon	ай
moral	моральдыг
more	амда
more	ам-даа
moreover	оон туржук
morning	эртенгиниң
mortgage	ипотека
most	эң-не
mostly	Улуг нуруузунда
mother	ие
motion	шимчээшкин
motivation	мотивация
mountain	даг
mouse	күске
mouth	аас
move	шимченир
movement	шимчээшкин
movie	кино
mrs	миссис
much	хөй
mud	малгаш
mug	кружка
muscle	шынган
museum	музей
mushroom	мөөгү
music	аялга
must	албан-биле
mute	шимээн чок
mutual	бот-боттарынга
my	мээң
My dear	мээң эргимим
my friend	мээң эжим
My hovercraft is full of eels	мээң хемем угорьлар долдур
my love	мээң ынакшылым
my name is	мээң адым
my pleasure	амырап-ла
myself	мен бодум
mysterious	ужуру билдинмес
mystery	чажыт
myth	чогаадыг
nail	дыргак
naive	кенен
name	ат
narrative	тоожулал
narrow	кызаа
nasty	чүдек
national	үндезин
nationality	национал
native	төрээн
natural	чайгаар
nature	бойдус
nausea	куску келири
near	чоокта
near	чанында
nearby	чанында
nearly	чижеглеп алырга
neat	силиг
necessary	эргежок чугула
neck	моюн
necklace	моюн шимелдези
need	херек
negative	чок дээн
neglect	херексевес
negotiate	чугаалажыышкын кылыр
neighbor	кожазы
neighborhood	кожа турары
neither	база эвес
nephew	чээн дуңма
nerd	чалгааранчыг кижи
nervous	шугул
nest	уя
net	четки
network	сеть
neutral	нейтралдыг
never	кажа-даа
never give up	кажандаа дүжүп бербе
never mind	хамаанчок
nevermind	херек чок
nevertheless	ынчалза-даа
new	чаа
news	медээлер
next	дараазында
next to	чанында
nice	аянныг
nice	эки
nice to meet you	таныжып алганымда өөрүп тур мен
nice to meet you	таныжып алганывыс эки болду
niece	чээн кыс дуңма
night	дүн
nightmare	коргунчуг дүш
nine	тос
nineteen	он тос
ninety	тозан
No	Чок
no problem	берге айтырыг чок
no way	дуза чок
nobody	кым-даа эвес
noise	дааш
noisy	шимээнниг
none	кым-даа эвес
noon	дүъш
nope	чок
nor	даа
normal	анаа
north	соңгу чүк
nose	думчук
nostalgic	эрткен үелерни сагындырар
not	эвес
not at all	чангыс-даа эвес
not bad	багай эвес
Not now	ам эвес
not yet	ам эвес
note	темдеглел
noted	айыткан
nothing	чүү даа чок
nothing	чүү-даа эвес
notice	эскерер
noticed	эскертинген
noun	чүве ады
nouns	чуве адылар
novel	роман
november	он бир ай
now	ам
nowadays	Амгы шагда
nuisance	багай чорук
null	тик
numb	үнү читкен
number	дугаар
nurse	эмчи сестразы
nut	тоорук
nutmeg	мускат тооруу
nutrition	чемненилге
oath	даңгырак
obesity	чагланыры
obey	чагыртыр
object	объект
objective	кара
obligation	хүлээлге
obscure	тода эвес
observation	хайгаарал
observe	хайгаараар
obsessed	алыскан
obsession	алысканы
obsolete	эргижирээн
obstacle	моондак
obtain	алыр
obtained	алдынган
obvious	илдең
obviously	боор
occasionally	өйлеп-өйлеп
occupation	ажыл-мергежил
occupation	ажыл
occupied	эжелеп алган
occur	болур
occurred	болган
occurs	болу берген
ocean	далай
october	он ай
odd	анаа эвес
odds	ынаныштар
of course	ынчанмайн канчаар
of course	ынчанмайн
off	өжүрген
offensive	халдакчы
offer	санал
office	офис
official	официалдыг
often	үргүлчү
often	бо-ла
Oh	Оо
Oh	О
oh really	шынап бе
oil	үс
ok	чаа
ok	ок
ok dear	чаа эргимим
ok honey	чаа эргимим
ok my love	чаа мээң ынакшылым
okay	чаа
okay	окей
okay baby	чаа ынаам
okay dear	чаа эргимим
okay honey	чаа сарыым
okay my love	чаа мээң ынакшылым
old	кырган
on	он
on	олче
once	бир катап
one	бир
one language is never enough	чаңгыс дыл кажан-даа четпес
onion	согуна
online	онлайн
only	чүгле
open	ажыдар
operation	операция
opinion	бодал
opportunities	аргалар
opportunity	арга
opposite	удур
optimistic	омак-сергек
option	вариант
optional	немелде
or	азы
orange	апельсин
order	чагыг
ordinary	бөдүүн
organization	организация
orientation	уг-шигни тывары
origin	дөзү
original	оригинал
Oromo	Оромо
orphan	өскүс
other	өске
otherwise	оон башка
ought	ужурлуг
our	бистиң
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	бистиң даалгавыс: кижи бүрүзүнге, турар черинден хамаарышпайн, делегейни билип алыр болгаш янзы-бүрү дылдарга бодун илередип шыдаар кылдыр аргазын бээр
Our mission: to organize the world's information and make it universally accessible and useful.	бистиң даалгавыс: бүдүн делегейниң медээлерин аалап-баштааш кижи бүрүзүнге чедер болгаш ажыктыг кылдыр кылыр
out	даштыгаар
outcome	түңнел
outfit	херексел
outgoing	өскээр баар
outlet	үнери
outline	бараан
outside	даштын
outstanding	шылгараңгай
oven	духовка
over	ажыр
over there	ында
overall	колдуунда
overcome	эжып эрткен
overthinking	хөй чүве бодап алыр
overwhelmed	аажок кайгаткан
overwhelming	хөй кезии
owe	эдилээр
owl	үгү
own	бодунуң хууда
owner	ээ
ox	шары
pace	темп
pack	хап
package	хап
paid	төлээн
pain	аарыг
pain	аарышкылыг
paint	будук
painting	чурук
pair	эжеш
pale	бүлүргей
palm	адыш
pan	паш
pandemic	пандемия
panic	девидээри
pants	чүгүр
paper	саазын
paradise	дываажаң
parallel	параллельдиг
parcel	посылка
pardon	өршээл
parents	ада-ие
park	парк
parrot	дойду
parsley	петрушка
part	кезик
participate	киржир
particular	тодаргай
particularly	ылаңгыя
partner	партнёр
party	кежээки шайлалга
pass	эртер
passage	эртер чер
passed	эрткен
passion	күштүг хандыкшыл
passionate	изиг
passive	идепкей чок
password	чажыт сөс
past	эрткен үе
patch	чамашкы
path	орук
pathetic	чөгенчиг
patience	шыдажыры
patient	аарыг-аржыктыг
pattern	шаблон
pause	доктаашкын
pavement	оруктуң шывыы
pay	төлээр
payment	төлээри
peace	тайбың
peaceful	тайбың
peach	персик
peak	сүүр
pear	груша
peas	чочак-тараа
peculiar	онзагай
pee	сидиктээр
peel	карттаар
peer	дең эргелиг
peers	чажыттар
pen	демир-үжүк
pencil	карандаш
pending	амда шиитпирде
people	кижилер
pepper	перец
perceive	шиңгээдип алыр
perception	шиңгээдип алыры
perfect	тергиин
perform	күүседир
performance	көргүзүг
perhaps	болуп болур
period	шаг
permanent	доктаамал
permission	чөпшээрел
permit	чөпшээрээр
perseverance	кызымаккайы
persistent	дек үрелбес
person	кижи
personal	хууда
personality	кижи
perspective	перспектива
persuade	бүзүредир
pervert	орта эвес кижи
pet	азырал амытан
phase	фаза
phenomenon	феномен
philosophy	философия
phone	телефон
photo	чурук
phrase	фраза
physical	физиктиг
pick	шилиир
pick up	көдүрүп алыр
picture	чурук
piece	кезек
pieces	кезектер
pig	хаван
pigeon	көге-буга
pile	оваа
pillow	сыртык
pilot	ужудукчу
pin	кызыткы
pineapple	ананас
pink	ягаан
pit	өңгар
pitch	шымчыыр
pity	кээргенчиг
place	чер
places	черлер
plague	чума
plain	бөдүүн
plan	план
plane	самолёт
plant	үнүш
plants	үнүш
plate	тавак
platform	платформа
play	ойнаар
playing	ойнап турар
pleasant	тааланчыг
please	көрүңер
please	көрем
pleased	таарзынган
pleasure	сеткил ханары
pledge	долаа
plenty	дыка хөй
plot	сюжет
plug	сугар үдү
plum	слива
plumber	сантехник
plural	хөйнүң саны
podcast	подкаст
poem	шүлүк
poetry	чогаадыг
point	точка
poison	хоран
police	шагдаа
policy	политика
polite	хүндүлээчел
pollution	хирледиишкин
pond	кылымал хөөлбек
pool	кылымал хөөлбек
poop	мыяктаар
poor	ядыы
pop	часкаашкын
popular	алдарлыг
population	чон
pork	хаван эъди
porridge	каша
port	порт
position	туруш
positive	телепиг
possess	ээзи болур
possession	ээлээр
possessive	хамаарылга
possible	болдунар
post	таңныыл
postpone	соңгаарладыр
potato	хартыышка
potential	күчү
pound	фунт
poverty	ядыызы
power	күш
powerful	күштүг
practical	практиктиг
practice	практика
praise	мактаар
prank	опчок чорук
pray	тейлээр
precious	өртектиг
precise	ылап шын
precisely	ылап
predict	баш бурунгаар айтыр
prefer	дээре
preference	дээре деп санаары
pregnant	иштиг
pregnant	хырынныг
prejudice	шын эвес көөрү
premises	баштайгы негелделер
premium	тергиин
preparation	белеткениири
prepare	белеткээр
prepared	белеткээн
preposition	бадылаары
presence	бар болуру
present	амгы
presentation	презентация
preserve	кадагалаар
president	президент
press	базар
pressure	базыышкын
pretend	мегелетинер
pretty	чараш
prevent	чайладыр
previous	мурнуку
prey	олча
price	өртек
pride	чоргаарал
priest	священник
primary	баштайгы
prime	үндезин
princess	даңгына
principal	баштыңчы
prior	предварительный
priority	эң чугула
prison	кара-бажың
privacy	конфиденциал
private	хууда
privilege	ямбы
prize	шаңнал
probably	болур
problem	проблема
procedure	процедура
proceed	улаштырар
process	процесс
produce	бүдүрер
product	үре-түңнел
production	бүдүрүлге
profession	профессия
professional	профессионал
profile	профиль
profit	орулга
profound	хандыр
progress	депшилге
project	проект
prominent	көскү
promise	аазаар
promote	деткиир
promotion	бурунгаарладыры
prompt	далаштыг
prone	хөөннүг
pronouns	ат орну
pronunciation	адаары
proof	барымдаа
proper	чогуур
properly	чогууру-биле
properties	шынарлар
property	өнчү-хөреңги
proposal	саналдаары
prospect	перспектива
prosperity	менди-чаагай
prosperous	хөгжеп турар
protect	камгалаар
proud	чоргаар
prove	шынзыдар
provide	хандырар
provided	бердинген
province	можу
provision	дериири
puberty	аайы-биле четчир үези
public	ниитилел
pull	дыртар
pumpkin	тыква
punctual	ылап
pupil	өөреникчи
purchase	садып алыр
pure	арыг
purple	ягаан-көк
purpose	сорулга
purpose	сорулгазы
purse	кошелек
pursue	сүрер
pursuit	истээшкин
push	идер
put	салыр
qualification	квалификация
quality	шынар
quantity	сан
quarantine	карантин
quarrel	алгыш-кырыш
quarter	дөрттүң бири
Quechua	Кечуа
queen	кадын
queer	элдеп чүве
query	дилег
question	айтырыг
queue	оочур
quick	дүрген
quickly	дүрген
quiet	оожум
quiet	аяар
quilt	хөвеңнээр
quit	үнер
quite	элээн
quiz	айтырыглар
quotation	цитата
quote	цитата
quotes	цитаталар
rabbit	койгун
race	чарыш
rage	килең
rain	чаъс
raise	көдүрер
raised	көдүрткен
ran	маңнап турган
random	доктаамал эвес
range	хемчээл
rapid	дүрген
rapidly	дүрген
rare	дыка ховар
rarely	ховар
rash	шивишкилер
rat	улуг күске
rate	өртээн доктаадыр
rather	орнунга
ratio	хамааржылга
rational	чөптүг
raw	чиг
re	каттап
reach	чедер
reached	четкен
reaction	реакция
read	номчуур
reading	номчулга
ready	белен
real	боттуг
reality	боттуг чүүл
realize	медереп билир
realized	билип калган
really	шынап-ла
really	шынап
rear	артыкы
reason	чылдагаан
reasonable	медерелдиг
recall	сактыышкын
receipt	чек
receive	алыр
received	алган
recent	чоокку
recently	сөөлгү үеде
reception	хүлээп алыр чер
recipe	рецепт
reckless	сагыш амыр
recognition	танып алыры
recognize	Танып алыр
recommend	сүмелээр
recommended	сүмелээн
record	бижиири
recover	катап тургустунар
recovery	катап тургузуушкун
