ए	a
बिसेसभाबै	especially
रनसाय	essay
सार बाहागो	essence
गोनांथार	essential
गायसन	establish
गायसननाय	established
समफथि	estate
हिसाब खालाम	estimate
हिसाब खालाम	estimated
बायदि बायदि	etc
जोबरोङै	eternal
बोसोन बिगियान	ethics
नायबिजिरनाय	evaluate
बेसेन सुनाय	evaluation
एमनखि	even
आनखि	even
जुदिउ ब्लाबो	even though
बेलासि	evening
जाथाइ	event
जोबनायाव	eventually
अराय	ever
साफ्रोमबो	every
गासैबो	everybody
गासैबो	everyone
गासैबो	everything
फोरमान	evidence
इनाय	evil
फारि जौगानाय	evolution
देर	evolve
घाणा हादोरनि	Ewe
सिगांनि	ex
गमामा	exact
थिकयैनो	exactly
आनजाद	exam
आनजाद खालाम	examine
बिदिनथि	example
बारनाय	exceed
जोबोद मोजां	excellent
आसा खालाम	except
एंगारनाय	exception
बाराद्राय	excess
नांनायनिखुरै बांसिन	excessive
सोलाय	exchange
गोसो दुंनाय	excited
बोदोर जानाय	excitement
मोननो लुबैनाय	exciting
बादै	exclusive
माफ हो	excuse
अननानै इसे हगार	excuse me
माव'	execute
खामानि मावफुंनाय	execution
मावफुंआरि	executive
सर' खालाम	exercise
देहानि खामानि	exercise
मेंहो	exhaust
मेंहाबनाय	exhausted
दिन्थि फुं	exhibit
मेला	exhibition
दंओ	exist
थाथाय	existence
आथिखालाव सोलिबाय थानाय	existing
ओंखार	exit
फेहेर	expand
लामा नाय	expect
आसा खालामनाय	expected
खरसा	expenses
दाम गोसा	expensive
खोनानानै मावनानै मिथि	experience
रोंगौथि	experience
आनजाद	experiment
आखाफाखा	expert
जोबथि हां हगार	expired
बानजाय	explain
खेंफोरथि	explanation
नासय	exploit
संदान	explore
बाहिरायाव हर	export
दिनथि	expose
दिनथि	exposed
दिनथिनाय	exposure
फोरमाय	express
फोरमाय	expression
फोलाव	extend
बारायबाय	extended
गोसारनाय खामानि	extension
गोसार हो	extent
बाहिरा	external
गैयि जानाय	extinct
उफ्रा	extra
बख	extract
असाधारन	extraordinary
बाराद्राय	extreme
जोबोरैनो	extremely
मेगन	eye
मेगन	eyes
सि जोम	fabric
जोबोद मोजां	fabulous
मोखां	face
मोगामोगि जा	face
दैदेन	facilitate
खाबु	facilities
आखा फाखाथि	facility
सैथो	fact
गमस्ता	factor
कारखाना	factory
सैथो	facts
रोमोलां	fade
फेलें जा	fail
देरहानो हायि जा	fail
फेलें	failed
फेलेंजानाय	failure
रोमै रोमै	faint
थि रोखोमै	fair
समायना	fair
थारैनो	fairly
मोदायजो	fairy
फोथायनाय	faith
फोथायजाथाव	faithful
नंखाय	fake
गाहायाव गोगलै	fall
गाहायाव गोगलैनाय	fall
नंखाय	false
नाम	fame
सिनाय जानाय	familiar
नख'र	family
रसानांनाय	famine
मुंदांखा	famous
गिसिब	fan
मोजां मोनग्रा	fan
रंबिरं	fancy
जोबोद मोजां	fantastic
गोजान	far
बिदाय	farewell
आबाद फामु	farm
हालुवा	farmer
गोमोहाबनां	fascinating
गाननाय जोमनाय रोखोम	fashion
थाबैनो	fast
मोदोम गोनां	fat
गिलु बालु	fatal
खाफाल	fate
बिफा	father
मेंनाय	fatigue
दाय	fault
साबसिन - हामसिन	favorite
अननाय	favour
मोजां मोनजासिननाय	favourite
गिनाय	fear
गि	fear
फोरबो	feast
दावगां	feather
मेहेर गोनां खालाम	feature
महर मोखां	feature
महर मोखां	features
इंराजि बोसोरनि नैथि दान	february
बाबाय	fed up
होनो गोनां फैसा	fee
जाहो	feed
बोसोन	feedback
मोनदां	feel
मोनदांनाय	feeling
आथिं	feet
गोगलै	fell
लोगो	fellow
मोनदांनाय	felt
हिनजाव हारि	female
बेरा	fence
हासार गोनां	fertile
फोरबो	festival
लायना होफै	fetch
लोमजानाय	fever
खम	few
इसेल	fewer
सासे हौवानि हाबा जाहां आइजो	fiance
साजायना बुंनाय बाथ्रा	fiction
फोथार	field
हिंस्र	fierce
जिबा	fifteen
बाजि	fifty
दावहा नां	fight
दावहा	fight
बुलायदों	fighting
महर मुस्रि	figure
दाथाय	figure
मोनथिना ला	figure out
लेखा बिलाइ	file
सुफुं	fill
सोफुंनाय	filled
सबि	film
मैला गोनां	filthy
जोबथार नायाव	finally
रांआरै	finance
रांखान्थियारि	financial
नागिरना मोन	find
नागिरना दिहुन	find out
जरिमाना	fine
साबना हामना	fine
आसि	finger
फोजोब	finish
जोबबाय	finished
अर	fire
राखाव	firm
फालांगियारि फसंथान	firm
गिबि	first
सिगांनि मुं	first name
ना	fish
जाथाव	fit
बा	five
थिक खालाम	fix
थिरयै	fixed
फिरफिला	flag
मोफ्लामनाय	flash
दाब्ले	flat
गावनाय	flaw
गोरोनथि गैयै	flawless
खारखोमा	flee
मोदोम	flesh
बिरलां	flew
खेंख्रा खालाम	flex
गुरै	flexible
बिरनाय	flight
बोदला	flip
मोजां मोनफ्लानाय	flirt
एदावनाय	flirting
गोजाव	float
दै बाना	flood
हा थाला	floor
आटा गुनदै	flour
बोहैलांनाय खामानि	flow
बोहै	flow
बिबार	flower
गुजुनायजों लोमजानाय बेराम	flu
खर खर	fluent
मोजांयै बुंफोरनाय	fluently
गुरै	fluffy
लाव लाव	fluid
बिर	fly
मिरुथाय खालाम	focus
सोरां	focus
खुहा	fog
जोमै साग्लोब नाय	foggy
खन	fold
हारि	folks
उन सं	follow
खबर ला	follow up
गाहायनि	following
जाग्रा आदार	food
ओरैनो बाहायनाय	fool
जामबा	fool
जामबा मानसि	foolish
आथिं	foot
जोलुर	football
थाखाय	for
बिदिनथि हिसाबै	For example
हमना ला	for instance
नोंनि थाखाय	for you
हेथा होजानाय	forbidden
जर	force
सिगांनो बुंखा	forecast
खाफाल	forehead
गुबुन हादोरारि	foreign
अरन	forest
अरायसम	forever
बाव	forget
खेमा हो	forgive
बावबाय	forgot
हाथाय गोनां सामुस	fork
महर	form
महर ला	form
आसार खानथि गोनां	formal
सिगांनि	former
खाफाल गोनां	fortunately
खाफाल	fortune
ब्रैजि	forty
ब्रैजि नै	forty-two
सिगाङाव थानाय	forward
फिसि	foster
बुलाइबाय	fought
मोननाय	found
बिथा	foundation
ब्रै	four
जि ब्रै	fourteen
सियाल	fox
गेस्रेम	fragile
रुगुंआव होनाय मुवा	frame
रुगुं खामानि	framework
नंखाय	fraud
असाधारन	freak
बादा गैयि	free
उदांस्रि	freedom
थाद'	freeze
गले गले फोरमायनाय	frequency
खनले खनले	frequent
गले गले	frequently
गोदान	fresh
शुक्रबार	friday
गुसु खालामग्रा	fridge
लोगो	friend
लोगोआखु	friendly
लोगोफोर	friends
लोगोरि	friendship
गिनाय	frightened
गिनाय	frightening
इमबु	frog
फ्राय	from
सिगांनि बाहागो	front
बरफ जानाय	frozen
फिथाइ	fruit
गोसो बायनाय मोननाय	frustrated
थाव	fuel
गनिया हादोरनि राव	Fulfulde
आबुं	full
खुसि	fun
हाबा	function
गुदि	fundamental
गोथै सावनाय एबा फबनाय	funeral
मिनिथाव	funny
जुनारनि खोमोन	fur
थिउरिया	furious
दंफांनि माल माता	furniture
बेनि अनगायै	further
बांसिनबावै	furthermore
इयुन	future
मुलामफा	gain
आरजि	gain
खेला	game
फाक	gap
गारि मटर फाहाग्रा जायगा	garage
दाखोर - दाला	garbage
बागान	garden
सामब्राम गुफुर	garlic
दरजा एबा दरखं	gate
जमा जा	gather
जुथुमा	gathering
जखा सुग्रा जनथ्र'	gauge
होबाय	gave
सि-जोम	gear
आथोन	gender
साधारन	general
सरासनस्रायै	generally
दिहुन	generate
जोलै	generation
गोसो गुवार	generous
मेलेमजिबि	genius
जाथाय बेरखांनाय सावगारि	genre
सोद्रोम	gentle
आसोल	genuine
आवफावफ	gesture
मोन	get
देलायना था	get dressed
गसं	get up
थाबैनो मोजां जा	get well soon
मोननो	getting
भुत	ghost
बुहुथ फिसिग्रा	ghosting
असुर	giant
बानथा	gift
हायजें	ginger
हिनजावसा	girl
गोसो थोनाय सिखोला	girlfriend
हो	give
नागारनो	give up
हरखानाय	given
खुसि	glad
साज्रांयै नाय	glance
आइना	glass
आइना	glasses
नुथाय	glimpse
बुहुमनां	global
मोस्लेर	gloomy
आखाइनि मुजा	gloves
गोजों जा	glow
गोजों	glow
गोजों जा	glow up
आथा	glue
थां	go
सिगांआव आवगाय	go ahead
थां	go away
उनदुदो	go to bed
थांखि	goal
थांखि	goals
बोरमा	goat
इसोर	god
इसोरा नोंखौ बोर होथों	god bless you
थांओ	goes
दावगालां	going
थांगासिनो	going to
सना	gold
थांखांनाय	gone
थांगासिनो	gonna
खि	goo
मोजां	good
गाहाम	good
गाहाम सानजौफु	good afternoon
लोगो मोनफिनगोन	good bye
मोजां सान	good day
गाहाम मोनाबिलि	good evening
मोजां हाबा	good job
मोजां नुथाइ	good looking
मोजां बराथ	good luck
गोजोन फुंबिलि	good morning
गाहाम फुंबिलि आंनि आंगो	good morning my love
गोजोन हर	good night
बिदाय	goodbye
गोजोन मोनाबिलि	goodnight
मालगारि	goods
बैगियानिक रोखोमनि नायगिर जाग्रा जनथ्र'	Google
गुगोल राव सोलाय	Google Translate
हांसो रानी	goose
साबगा-हामगा	gorgeous
बानसावनाय	gossip
मोननाय	got
मोनथिबाय	got it
सरखारि	government
थाब गोरायै हम	grab
थाखो	grade
फारि फारियै	gradually
भुमफरायसालिनि दिग्री	graduate
माइ बेगर	grain
अनुमुथि हो	grant
गनायथि मोन	granted
आंगुर	grapes
गोरायै हम	grasp
गांसो	grass
साबायखर दिनथिनाय	grateful
साबायखरथि	gratitude
कबर	grave
उखुनदै गाबनि	gray
गेदेर	great
लबिया	greed
लुबैसुला	greedy
गोथां	green
खुलुम	greet
हामलायथि बावनाय	greeting
खुलुमबाय	greetings
फुरगेव गाबनि	grey
मोबलिप गुनानि जे महर	grid
दुखु	grief
दिगलि	grind
गोरायै हम	grip
मैगं थायगं	grocery
हौवा गोदान	groom
जमा	gross
गेलेग्रा फोथार	ground
हानजा	group
जौगा	grow
देरबोनाय	growth
खेस्रा	grumpy
ब्राजिलनि राव	Guarani
जामिन	guarantee
नेग्रा	guard
आनदाज खालाम	guess
आलासि	guest
दैदेन	guidance
दैदेन	guide
लामा दिनथि	guide
दाय गोनां	guilty
लोगो मानसि	guy
लोगो मानसि	guys
ब्याम	gym
सर'	habit
सरासनस्रा खुलि	habitat
दंमोन	had
बराय	hail
खानाइ	hair
खावसे	half
गेदेर खथा	hall
आखाइ	hand
सामब्लाय	handle
नायनो मोजां	handsome
आलायना दोन	hang
लोगोफोरजों बेरायनाय	hang out
जादों	happen
जाथाय जानाय	happened
खुसि जानाय	happiness
खुसि	happy
गोजोन जोनोम सान	happy birthday
नोंनि सिम जोनोम साननि गाहाम हामलायनाय बावहर बाय	happy birthday to you
गाहाम गोदान बोसोर	happy new year
गोरा	hard
खस्थ'यै	hardly
खोनोरोखोम	hardly ever
हानि खालाम	harm
हानि	harm
हानि खालामग्रा	harmful
खौसे	harmony
गोरा	harsh
आबाद बुथुमनाय	harvest
दंनाय	has
मुगैनाय	hate
दं	have
नोहा मोजां दिन जाथों	have a good day
नोंथांहा गाहाम सान जाथों	have a nice day
फुंनि जाग्रा जाबाय	have breakfast
रंजा	have fun
नों जाबाय ना	have you eaten
दंनाय	having
खैफोद	hazard
खुवा	haze
बिथां	he
बि	he
बिहा दं	he has
बियो	he is
खर'	head
खर' सानाय	headache
फाहाम	heal
फाहामनाय	healing
देहा	health
देहा गोनां	healthy
खोना	hear
खोनादों	heard
बिखा	heart
गुदुं	heat
गुदुं खालाम एबा जा	heat
सोरगो	heaven
गिलिर	heavy
मुखुब जानाय	hectic
जौथाय	height
अनमोनगिरि	heir
हमनाय	held
नोरोग	hell
हेल'	Hello
हेलल' नोंथां	hello dear
नोंथांआ माबोरै दं	hello how are you
नोंथांआ माबोरै दं	hello how are you doing
खर'आव गाननाय रैखाथि थुफि	helmet
म'दद	help
हेफाजाब गोनां	helpful
बेखायनो	hence
बिनि (हिनजावफोरनि बिथिंआव)	her
मोसौ - मैसो फालो	herd
नै बेहाय	here
सिगांनिफ्राय सोलिबोनाय	heritage
गोनो गोथो जा	hesitate
ओइ	Hey
नै	Hey
ओइ	Hi
नों माबोरै दं	hi how are you
औ बैयाव	Hi there
दोनखुमानाय	hidden
थाखुमा	hide
सासेनि फ्राय सासे जानाय	hierarchy
गोजौ	high
दिनथि	highlight
बेसेन बाराय	hike
हाजो गाखोनाय	hiking
रंजाथाव	hilarious
हाजो	hill
बिथां	him
इसारा	hint
थाप्लि	hip
थाफलि	hips
भारा	hire
भारा	hiring
बिथांनि	his
जारिमिन	history
सौ	hit
होम	Hmm
हुदा	hobby
हमनाय	hold
हमथा थ'	hold on
गुदुं	hole
सुटि	holiday
दनदर	hollow
न'	home
ननि खामानि	homework
सैथोबादि	honest
सैथोयै	honestly
बेरेमोदै	Honey
बिबारनि गोदै बिदै	Honey
मान	honor
दाखनि	hood
बोरसि	hook
बाजल'नाय खामानि	hop
आसा खालाम	hope
आसा	hope
आसा गोनां	hopefully
आसा खखलाम जाथावै	hopeless
हास्रेंयै	horizontal
फेमफा	horn
गिलु बालु	horrible
गिनाय	horror
गराय	horse
देहा फाहामसालि	hospital
आलासि सोंनाय	hospitality
आलासि सोंग्रा	host
आलासि सों	host
सुथुर	hostile
गुदुं	hot
दावबायग्राफोर थाग्रा न'	hotel
घन्टा	hour
घन्टा	hours
न'	house
नख'रारी	household
माबोरै	how
नौथांनि खबर आ माबोरै	how about you
नों माबोरै दं	how are you
नोंथांआ माबोरै दं	how are you doing
नोंथांआ दिनै माबोरै ढं	how are you doing today
नोंथांआ दिनै माबोरै दं	how are you today
नोथांआ माबोरै मावदों	how do you do
माबोरै	how is
बेसे गोबां	how many
बेसेबां	how much
खनबेसे	how often
नोंथांनि बैसोआ बेसेबां	how old are you
नोंथांनि दिन आ माबायदि मोन	how was your day
नोंथांनि हरआ मा बायदि मोन	how was your night
थेवबो	however
जिखि जादोआ	however
धुरा	hub
अनसुला	hubby
गोबाना लानाय	hug
गोबाना ला	hug
जोबोद गेदेर	huge
सुबुंआरि	human
गुरै	humble
सिदोब	humid
सिदोब	humidity
से जौ	hundred
उखैना थानाय	hungry
नायगिर	hunt
बारहुंखा	hurricane
हाखु दाखु	hurry
गोख्रै	hurry up
दुखु मोननाय	hurt
बिसाय	husband
नारला नारसि	hustle
नारला-नारसि खालाम	hustle
नसा	hut
सावस्रि	hygiene
आं	I
आंओ	I am
आं मोजांयैनो	I am fine
आं हायो	I can
आं हाया	I can't
आं मावो	I do
आं जेबो मिथिया	I do not know
आं बुजि मोना	I do not understand
आं खालामा	I don't
आं मिथिया	I don't know
आं बुजि मोना	I don't understand
नोंथांआ मा बुंदों आं बुजिमोनाखै	I don't understand what you mean
आं नोंखौ बुजि मोना	I don't understand you
आं मोनथिया	I don’t know
आं बुजि मोना	I don’t understand
आं सानो	i guess
आंहा दंमोन	I had
आंनाव दं	I have
आं बियाव थांखांबाय	I have been
आं मिजिंथियो	I hope so
आं बुजियो	I know
आं मोजां मोनो	I like
आं नोंखौ मोजां मोनो	I like you
आं मोजां मोनो	I love
आं आंनि बिदाखौ अनो	I love my big brother
आं आंनि बिब'खौ अनो	I love my big sister
आं आंनि बिफाखौ अनो	I love my father
आं आंनि फंबाइखौ अनो	I love my little brother
आं आंनि बिनानावखौ अनो	I love my little sister
आं आंनि बिमाखौ अनो	I love my mother
आं नोंखौ गोसोथोयो	I love you
आं नोंखौ जोबोर अनो	I love you so much
आंबो नोंखौ मोजां मोनो	I love you too
आं बुंनायनि ओंथि	I mean
आं नोंखौ गोसोखांदों	I miss you
आं नोंखौ जोबोर गोसो खांदों	I miss you so much
आं नुदों	I see
आं सानो	I think
आं बुजियो	I understand
आंनो नांगौ	I want
आं नोंथांखौ लोगो हमनो गोसो जादों	I want to see you
आंनो नोंखौ नांगौ	I want you
आं मोन	I was
आं खालामगोन	I will
आं जागौ मोन	I would be
आंओ	I'm
आं थिगैनो	I'm fine
आं मोजायैनो दं	I'm good
आं नैबियावसो	I'm here
आंखौ निमाहा हो	I'm sorry
बरफ	ice
थान्दा बरफ	ice cream
सानस्रि	idea
साबसिन	ideal
रोखोमसे	identical
सिनाइथि खालाम	identify
सिनायथि	identity
जामबा मानसि	idiot
खामानि मावै	idle
जुदि	if
नेउसि	ignore
लोमजानाय	ill
नेम बेरेखा	illegal
देहा गाज्रि	illness
मालियालामनि दालाइ राव	Ilocano
मुसुखा	image
हमना ला	imagine
गोख्रैनो	immediate
थाबैनो	immediately
जोबोर	immense
गोहोम खोखलै	impact
सौदावनाय	impact
नेथ'नो हायि	impatient
मावफुं	implement
गुबुन हादरनिफ्राय लाबोनाय	import
आमदानि खालाम	import
गोनांथार	important
नारसिनना हो	impose
असम्भब	impossible
गोहोम खोखलै	impress
गोहोम	impression
बाखनायथाव	impressive
मोजांसिन खालाम	improve
जौगानाय	improvement
सिंआव	in
दाजाबनानै	in addition
आन्थाय	In fact
सिगांआव	in front of
जाफुं होनो थाखाय	in order to
थि नङै	inappropriate
गोसो दुंहोग्रा	incentive
जाथाय	incident
लाफादेर	include
लाफादेरनानै	including
आरजिनाय	income
सुबिदा	inconvenience
बाराय	increase
बारायनाय	increase
बारायबाय	increased
सोमो नांथाव	incredible
गमामायै	indeed
उदां	independent
भारत	India
दिनथि	indicate
हादोरारि	indigenous
सासे सुबुं	individual
उधग	industry
होबथानो हायै	inevitable
गथ'	infant
बारदेरनाय	infection
जोबनोगैयै	infinity
खामनाय	inflammation
दाम बारायनाय	inflation
गोहोम	influence
गोहोम खोखलै	influence
फोरमाय हर	inform
खौरां	information
मचला	ingredients
बिमा बिफा निफ्राय मोननाय	inheritance
जागायनाय	initial
खामानियाव थागिदा लानाय	initiative
हानि	injured
जखम	injury
दाय गैयि	innocent
गोदानथि	innovation
नायबिजिरनाय	inquiry
फागला	insane
एमफौ	insect
रैखाथि गैयै	insecure
सो	insert
सिङाव	inside
गुमुर	insight
नारसिन	insist
उनदुनो ओंखारै बेराम	insomnia
थुलुंगा	inspiration
थुलुंगा हो	inspire
गायसन	install
बिदिनथि	instance
हरखाब	instant
सोलायै	instead
बिनि सोलाइ	instead of
फोरोंथाय	instructions
आइजें	instrument
मान हानि खालाम नाय	insult
बीमा	insurance
एसेबो सोलायै	intact
आबुंथि	integrity
सानसुमैगिरि	intellectual
गियान	intelligence
सियान	intelligent
गोसो खालाम	intend
गोसो खालामनाय एबा मावनो साननाय	intended
जोबोद	intense
थांखि	intention
सावराय	interact
फोरमायलाय	interaction
गोसो गोनां	interest
गोसो थानाय	interested
गोसो नांनाय	interesting
गुबुनखौ नांजानाय	interfere
गेजेरनि	intermediate
सिंनि	internal
बुहुमनां	international
सिंनि	internship
ओंथि बेखेव	interpret
राव सोलायग्रा	interpreter
हेंथा होनाय	interrupt
मोगा मोगि	interview
असे	intimate
सिङाव	into
सिनायथि हो	introduce
सिनायथि	introduction
लाजि गुसु	introvert
सिंनि गियान	intuition
असल	invalid
दिहुन	invent
मुवानि फर्द	inventory
बाहाय	invest
नायबिजिर	investigate
हांख्रायनाय	invitation
हांक्राय	invite
बेसादनि सालान	invoice
सालान लिर	invoice
थाफानाय	involve
लोगो लाभ	involved
लहा	iron
लहायाव माराम जानाइ	iron
नंगौ दं	is
दीप	island
एरख'जानाय	isolated
बाहेराव फै	issue
ओंखार बोनाय	issue
जेंना	issues
बै	it
बे	it
बियो	it is
बियो मोन	it was
बैयो	it's
जेबो नङा	it's ok
जेबो सिन्था जानो नाङा	It's okay
दफा	item
आयदा	items
बेनि	its
आंओ	I’m
जेकेट गस्ला	jacket
जोबथेसालि	jail
इंराजि बोसोरनि सेथि दान	January
दैहु	jar
हाथायसिंनि हारा	jaw
मेगन सानाय	jealous
जांख्रिनाय	jerk
गहेना	jewelry
खामानि	job
फुंआव देहाखौ सोरां होनो खारनाय	jogging
सिथाब	join
जरा	joint
फेसला बाथ्रा	joke
सानमालाइसिनि लिरगिरि	journalist
दावबायनाय	journey
रंजानाय	joy
बिजिरगिरि	judge
बिसार खालाम	judge
रोसि	juice
इंराजि जुलाइ दान	july
बारज्रुम	jump
इंराजि द' दान	june
संख्रि होनाय बेदर	junk
थिक	just
थिकयै	just
माव ल'	just do it
थार बिजिरनाय	justice
नायबिजिर	justify
ग्रिनलेण नि राव	Kalaallisut
गोबौ	keen
लाखि	keep
बिब्दिनो मावबाय था	keep it up
दोननाय	kept
केटली	kettle
साबि	key
जो	kick
गथ'	kid
जंखायनाय	kidding
हासुदै गिला	kidney
गथ'फोर	kids
बुथार	kill
अनसुला	kind
अननाय गोनां	kind
रोखोम	kinda
अननानै	kindly
अननाय	kindness
राजा	king
खुदुम	kiss
इसिं	kitchen
सिला	kite
मावजि फिसा	kitten
हानथु	knee
मिथियो	knew
दाबा	knife
दावहारु	knight
मिथि	know
गियान	knowledge
मिथिजानाय	known
ग'आनि राव	Konkani
सोनाब आफ्रिखानि राव	Krio
टिकिट	label
लेबेल लागाय	label
खाटनि	labor
हाजिरा	labour
गैयि	lack
सिरी	ladder
आइजो	lady
दाबला जानाय	laid
बिलोमा	lake
बोरमा मेनदा फिसा	lamb
लेंग्रा	lame
बाथि	lamp
गोगलै	land
हा	land
हा बाहागोनि नुथाय एबा सावगारि	landscape
राव	language
सालाइजों सोला	lap
गिदिर एबा गोबां	large
जोबता	last
जोबथारनायाव	last but not least
उननि मुं	last name
गोबावजों फैनाय	late
गोबावजों	lately
इउनाव	later
गोदानसिन	latest
इउननि	latter
मिनि	laugh
मिनिनाय	laughing
मिनिनाय	laughter
गोदान जागायनाय	launch
सि सुग्रा जायगा	laundry
आयेन	law
सितला	lawn
उकिल	lawyer
गारना दोन	lay
थोरफो	layer
दिहुन	layout
अलसिया	lazy
दैदेन	lead
दैदेनगिरि	leader
बिफांनि बिलाइ	leaf
गबलं	leak
सोनारनाय	lean
बाज्रुम	leap
सोलों	learn
सोलोंथाय	learning
पाट्टा	lease
खमैबो	least
सामब्रा	leather
अनुमथि	leave
नागारना थां	leave
नागार	leave
बिलाइफोर	leaves
लामा दिनथिनाय	led
आगसि	left
आथिं	leg
उनमोनगिरि महरै मोननाय धोन	legacy
आइन सोमोनदै	legal
मुंदांखा मानसि	legend
आइनजों गोरोबनाय	legit
आजोरोम	leisure
हरथ'नाय	lend
गोलाव	length
खम	less
आयदा	lesson
खालामनो एबा जानो हो	let
लाइजाम	letter
जाथोसे गोथाङै जानोहानाय मैगं	lettuce
समान	level
गोहोम	leverage
बिबान	liability
बिजाब बाखरि	library
सोला	lick
नंखाय बुं	lie
नंखाय खोथा	lie
फोलानाय	lies
जिव	life
दैखांनाय	lift
दैखां	lift
गाहायथिं फै	light
रेजें	light
सोरां	light
अखा खोरोमनाय	lightning
एखे	like
जाथावना	likely
एखे रोखोमनि	likewise
दिरुं	line
खंग' हादरनि राव	Lingala
सोमोनदो	link
सिंह'	lion
लावलाव	liquid
फारिलाइ	list
खोनासं	listen
खोनासंदों	listening
थोंजों	literally
थुनलाइ	literature
जिगाब गुन्द्रा	litter
इसे	little
गोथां	live
थांना था	live
आमायथु	liver
जिउमा	lives
जिवखुंनायनि रोखोम	living
उन्दुग्रा खथा	living room
न' नेमा	lizard
बजाय	load
पावरुटि	loaf
दाहार	loan
जायगानि	local
फाथिनाय	location
थाला	lock
बन्द' खालामनाय	lockdown
दंफां थुख्रा	log
ल'ल	lol
हारसिं मोननाय	lonely
गोलाव	long
नुयैआ गोबाव सै मोन	long time no see
मेगन हो	look
नायनाय	look
दौलें	loop
गुरै खालाम	loose
गुरै	loose
इसोर	lord
खोमानाय	lose
खहा	loss
गोमानाय	lost
खाफाल	lot
गोसा	loud
गसं	lounge
अननाय	love
मोजांमोननाय	love
नोंखौ मोजां मोनो	love you
नायनो मोजां	lovely
गाहाय	low
फाहाय	lower
थगायै	loyal
फोथायथि	loyalty
खाफाल	luck
खाफालगोनां	lucky
उगाणडानि राव	Luganda
लायलथर	luggage
लद्रा	lump
सानजौफुनि जानाय	lunch
संफ्ल'	lungs
जोंबलाव माब्लाव	luxury
गोग्लैना दं	lying
जनथ्र'	machine
फागला	mad
मेदाम	madam
बानायदों	made
बाख्रि	magazine
समायना	magnificent
रुवाथी	maid
गाहाय	main
खां	maintain
फिसिनाय राहा	maintenance
बिहार आरो झारखाणनि राव	Maithili
गेदेरसिन	major
गाहाय आयदा एबा सुबुं	major
बांसिन अनजिमा	majority
बानाय	make
देलायग्रा मुवा	make up
हौवा	male
दंफांनि गेदेर हाथुरा	mall
हौवा मानसि	man
सामब्लाय	manage
सामब्लायनाय	management
सामब्लायगिरि	manager
मावथारनांगौ	mandatory
नुसार जा	manifest
गोहोम खोख्लै	manipulate
रोखोम	manner
नेमखान्थि थानाय बिजाब	manual
गोबां	many
गोबां गोबां बोसोरनि गाहाम हामब्लाय नाय	many many happy returns of the day
दावगा	march
सिमा	margin
हाथाइ	market
जुलि	marriage
हाबा जानाय	married
मुखा	mask
दामोल	mass
बुरजा	massive
फोरोंगिरि	master
गावजों मेलायनाय	match
गोरोब	match
लोगो	mate
मुवा	material
सानखानथि	math
गोनांथि जा	matter
आयदा	matter
राफुनाय सम	maturity
जानो हानाय	may
इंराजि बोसोरनि बाथि दान	may
जानो हागौ	maybe
आंनो	me
आंबो	me too
आहार	meal
नेहाद	mean
ओंथि खालाम	mean
हिन	mean
गाहाय थाखोनि	mean
ओंथि	meaning
माने	means
नेहाथ	meant
फारसेथिं	meanwhile
राहा	measure
सुग्रा आयजें	measures
बेदर	meat
सिकिटसालि	medical
मुलि	medicine
ध्यान	meditation
बिजों	medium
लोगोमोन	meet
आफाद	meeting
मानिफुरिनि राव	Meiteilon
ग'लि	melt
गोसोआव लाखि	memories
गोसोखांनो हानाय गोहो	memory
सानस' रोङी	mental
मुं खारि	mention
मुंख'नाय	mentioned
बोसोनगिरि	mentor
बेपारि	merchant
अनखांनाय	mercy
मात्र	merely
गोथार बरदिन	merry christmas
गोदाव सोराव	mess
लाइजाम	message
मैला	messy
धातु	metal
खायदा	method
एनजर	mice
गेजेर	middle
हर गेजेर	midnight
गोहो	might
माहि	mild
माबा मोनसे जाफुंसार होनो हानाय	milestone
सानथ्रि	military
गाइखेर	milk
से निजुत	million
गोसो हो	mind
सानथौ	mind
सानथौ	mindset
फुंखा	mine
आंनि	mine
गलाय	mingle
गोरलै	minor
ड'जि सेकेण्ड	minute
जोबोद फिसा	minutes
सोमोनांथाव	miracle
आयना	mirror
गलाय गथाय	miscellaneous
गाज्रि आखु	mischievous
असुखि	miserable
दुखु जाल्ला	misery
नोजोर फेलें खालाम	miss
गोसो खांनाय	miss you
गोमानाय	missing
थांखि	mission
खफ'	mist
गोरोनथि	mistake
मिज'राम नि राव	Mizo
जानबुं	mobile
जंखाइ	mock
नेरसोन	model
दबथाय	moderate
नेमनि	moderate
गोदान	modern
माहि	modest
सिदोब	moist
सिदोमा	moisture
मैखुन	mold
मैखुन जा	mold
मोदोमनि सबाय बिमा	mole
आइ	mom
दसे सम	moment
स'मबार	monday
रां	money
फोरोंगिरि खौ हेफाजाब होग्रा फरायसा	monitor
मोख्रा	monkey
दान	month
थाइजानि महर	mood
रागा मोखां	moody
अखाफोर	moon
बोसोन	moral
बांसिन	more
आरोबाव	moreover
फुं	morning
हा बनदख	mortgage
बांसिन	most
बांसिनै	mostly
बिमा	mother
खारथाय	motion
थुलुंगाखां होनाय	motivation
हाजो	mountain
एनजर	mouse
खुगा	mouth
दाबसेनिफ्राय गुबुन फारसे सोलाय	move
जांख्रिथाय	movement
सावथुन	movie
आइजो	mrs
बुरजा	much
हाब्रु	mud
मग	mug
मोदोमनि बेदर	muscle
बुथुमसालि	museum
मैखुन	mushroom
दामनाय देनाय	music
