ani	a
chen ho na pindan	living room
rinawm	honest
Khawizu	Honey
zahawmna	honor
chhin	hood
thilkawm	hook
khawngkhawbai	hop
ring	hope
beiseibo	hopeless
khamphei	horizontal
ki	horn
rapthlak	horrible
hlauhawm	horror
sakawr	horse
kaihruai	host
inhmelmakna	hostile
sa	hot
chawlhbuk	hotel
darkar	hour
darkar	hours
in	house
engtin	how
engpawhnise	however
hram hram	barely
tuar hram hram	tolerate
chi hrang hrang	diversity
thupui hrang hrang	issues
bung hrang	part
bawngsa hrang	steak
danglam hreh	conservative
ka hre lo	I do not know
ka hre lo	I don't know
ka hre lo	I don’t know
nikhaw hre lo	unconscious
ka hrethiam	I understand
min hrethiam lawk	excuse me
ka hrethiam lo che	I don't understand you
ka hrethiam lo	I do not understand
ka hrethiam lo	I don't understand
ka hrethiam lo	I don’t understand
ka hria	I know
i hria	You know
tlang hri leng	epidemic
Min hrilh rawh	tell me
kawppui hual	fiance
tuar huam thil ti	venture
khawvel huap	global
laili	hub
paa	hubby
kuah	hug
lian	huge
mihring	human
inngaitlawm	humble
uap	humid
uap	humidity
za	hundred
hma hun	future
riltam	hungry
sapel	hunt
hmanlai hun zirna	history
thlipui	hurricane
hmanhmawh	hurry
pasal	husband
khalhkhawm	hustle
buk	hut
hriselna	hygiene
Ka	I
khawnge i awm	where are you
vur	ice
vur	ice cream
chibai, i dam em	hello how are you
ngaihtuahna	idea
duhthusam	ideal
inang	identical
inhriattir	identify
nihna	identity
mawl	idiot
zawmthaw	idle
engnge i duh	what do you want
chuan	if
haider	ignore
tunge i hming	what is your name
tunge i hming	what's your name
engnge i hna	what is your job
damlo	ill
damlohna	illness
keiin	I'm
ka	I’m
thlalak	image
suangtuah	imagine
chawpchilh	immediate
rangtakin	immediately
insu	impact
hlenchhuak	implement
lakluh	import
pawimawh	important
theihloh	impossible
tilungawi	impress
intawnhriat	impression
hmasawn	improve
hmasawnna	improvement
chhung	in
uchuak	inappropriate
bual in	bathroom
lawmman	incentive
khawnge in chen	where do you live
thilthleng	incident
telh	include
telin	including
zirna in	college
lakluh	income
belh	increase
pung	increased
India	India
kawk	indicate
mimal	individual
avang in	due to
nausen	infant
kaichhawng	infection
pun	inflammation
zirtir	influence
hriattir	inform
hriattirna	information
inrochunna	inheritance
kan inhmu dawn nia	see you
kan inhmu thei a lawmawm e	nice to meet you
kan inhmu thuai ang	see you soon
damdawi in	hospital
tunge i nih	who are you
hmalakna	initiative
tan in	jail
inhliam	injured
inhliam	injury
rorel inkhawmna	council
lungmawl	innocent
chingchhuak	innovation
tlawmngaia inpe	volunteer
chhuifiahna	inquiry
mahnia inrelbawl	independent
rannung	insect
thun	insert
chhunglam	inside
hrefiah	insight
fuihtu	inspiration
fuih	inspire
bun	install
nghal	instance
chawpchilh	instant
aiah	instead
inkaihhruaina	instructions
hmanrua	instrument
endawng	insult
inpeizawnna	insurance
him	intact
mifing	intellectual
finna	intelligence
remhria	intelligent
tum	intend
puan in	tent
tumlawk	intention
inkawm	interact
inbiangbiakna	interaction
duhzawng	interest
ngaihven	interested
phurawm	interesting
inrawlh	interfere
inkar	intermediate
chhunglam	internal
letling	interpret
tawnglettu	interpreter
tibuai	interrupt
inkawm	interview
mahni intidam	self healing
chhungril	intimate
chhungah	into
inhmelhriattir	introduce
inhmelhriattirna	introduction
zakzum	introvert
hriatthiamna	intuition
hmuchhuak	invent
peipung	invest
chhuichiang	investigate
sawmna	invitation
sawm	invite
tel	involved
pawisa ip	purse
pawisa ipte	wallet
thir	iron
hi	is
enge i sawi awmzia	what do you mean
thliarkar	island
awmhrang	isolated
buaina	issue
chumi	it
thil	item
thil	items
chibai, i tha em	hello how are you doing
engnge i tih	what are you doing
engnge i tih	what do you do
chumi	its
kawrlum	jacket
January	January
bur	jar
khabe	jaw
itsik	jealous
tlereuh	jewelry
hna	job
zawm	join
inzawmna	joint
fiamthu	joke
chanchinbumi	journalist
zinkawng	journey
lawmna	joy
roreltu	judge
thiltui	juice
july	july
zuang	jump
June	june
thilchhia	junk
chiah	just
insawithiam	justify
keipawn ka hmangaih che	I love you too
awle ka hmangaih	okay my love
awle, ka hmangaih	ok my love
aw ka hmangaih	yes my love
Keipawh ka lawm	you're welcome
kea kal	march
tuipui kam	beach
Thilthawn kan chhui chhunga i dawhtheihna avangin kan lawm e	Thank you for your patience while we investigate shipment
la kang	pick up
nakinah kan inhmu dawn nia	see you later
naktukah kan inhmu dawn nia	see you tomorrow
thil kawm	angle
ngaihsak	keen
vawngtha	keep
keng	kept
ketli	kettle
chahbi	key
ek khal	constipation
thirsakawr khalh	cycling
en khalh	reflection
tunah khan enge i tih le	what are you doing right now
tunhnai khan	recently
atang khan	since
thun khat	filled
rual khat	uniform
hlawm khat	unit
rem khawm	set up
tunah khawnge i awm	where are you now
thihpui khawp	fatal
khat khawp mai	hardly ever
chenna khawvel	environment
thenawm khawveng	neighborhood
pet	kick
naupang	kid
tider	kidding
kal	kidney
naupangte	kids
that	kill
lainat	kind
khawngaihtakin	kindly
lainatna	kindness
lal	king
fawp	kiss
choka	kitchen
lehkhachaih	kite
khup	knee
hria	knew
chemte	knife
pasaltha	knight
hria	know
hriatna	knowledge
hria	known
i la awm em?	Are you still there?
lehkhathem	label
nauvei	labor
inhlawhfa	labour
tlachham	lack
leihlawn	ladder
nutling	lady
phun	laid
mikhual laka thatna	hospitality
dil	lake
thlawhhma lak lam	agriculture
beramno	lamb
bawnghnute lam	dairy
kawh lam	direction
sum lam	finance
sum lam	financial
damdawi lam	medical
science lam mithiam	scientist
science lam mithiamte	scientists
tan lam nei lo	neutral
pawn lam	outside
meichher	lamp
tlem lam	shortage
duh lam	tendency
insak lam zirna	architecture
ram	land
a landanah chuan	apparently
leilung	landscape
nia lang	seem
tawng	language
Ka la ni ang	I would be
malchung	lap
hrawl	large
tlai	late
hnuhnungzawk	latter
nui	laugh
nui	laughing
nuihna	laughter
kapchhuak	launch
insukna	laundry
dan	law
ti lawk	advance
pek lawk	advanced
ruahman lawkna	provision
kan lawm a che	you are welcome
ka lawm e	thanks
ka lawm e	thank you
ka lawm lutuk e	thank you very much
ka lawm lutuk	thank you so much
ka lawmna a ni e	my pleasure
ka lawmpui che	congrats
tualzawl	lawn
exer la	work out
danhremi	lawyer
nghat	lay
thuah	layer
ruangam	layout
thatchhia	lazy
kaihruai	lead
hruaitu	leader
hnah	leaf
hnamchhuak	leak
awn	lean
zuang	leap
zir	learn
zir	learning
hawh	lease
savun	leather
kalsan	leave
hnah	leaves
kaihruai	led
kalsan	left
ke	leg
rochhiah	legacy
thawnthu	legend
muttui le	good night
hrisel leh chak	robust
thu leh hla	literature
mipa leh hmeichhe thliarna	gender
ei leh in	diet
ei leh in	nutrition
Chibai le	Hi there
hriatpuina lehkha	certificate
tawng lehlinna lehkhabu	dictionary
in leh lo	estate
Nu leh pa duhtakte u	Dear Parents
sum leh pai inrelbawlna	economic
sum leh pai lam	economy
nu leh pa	parents
sik leh sa	climate
sik leh sa hun bi	season
lum leh vawt tehna	temperature
thil lei	shopping
nawmchenna	leisure
a lem	fraud
hawhtir	lend
hripui leng	pandemic
dung	length
tlemzawk	less
zirlai	lesson
nihtir	let
la let leh	redeem
kir let	refund
pe let	render
lehkhathawn	letter
antam	lettuce
tlukpui	level
innawrna	leverage
nangpawh le	you’re welcome
hlohna	liability
kal liam	gone
pindan lian	hall
no lian	mug
hmun lia thena hmun khat	quarter
library	library
liak	lick
dawt	lie
zalh	lies
nunna	life
chawi	lift
eng	light
kawlphe	lightning
duh	like
chutiangin	likewise
rinngil	line
kil li nei	rectangle
zawm	link
sakeibaknei	lion
tuiril	liquid
ngaithla	listen
ngaithla	listening
paihdarh	litter
te	little
nung	live
thin	liver
nunna	lives
nung	living
laiking	lizard
awm lo	absent
ritphur	load
chhangthawp	loaf
leiba	loan
lungawi lo	annoyed
min lo be rawh	call me
khawtual	local
thei lo	can't
hmun	location
kalh	lock
inkharkhip	lockdown
danglam lo	constant
phal lo	denied
ni lo	doesn't
dik lo	error
thingtum	log
thiam lo	guilty
hriat loh	anonymous
ruatlawk loha thil thleng kawp	coincidence
anih loh chuan	otherwise
phal loh	forbidden
awm lohna	absence
theih lohna dan	odds
remchan lohna	inconvenience
hriat loh	unknown
anih lohvin	why not
dan lo	illegal
dawhthei lo	impatient
him lo	insecure
hetah lokal teh	come here
kan lo lawm a che	your welcome
dik lo	negative
ngaihsak lo	neglect
mal	lonely
ngai lo	never
sei	long
Ka lo ni tawh	I was
ni lo	nope
Tunah lo	Not now
engmah lo	null
chiang lo	obscure
en	look
suih	loop
thawl	loose
lalpa	lord
phal lo	restrict
hloh	lose
ngai lo	seldom
dam lo	sick
pawimawh lo	spam
hloh	loss
bo	lost
che lo	still
tam	lot
nghet lo	temporary
ring	loud
thei lo	unable
thukhawmuanna	lounge
pangngai lo	unusual
chiang lo	vague
inang lo	vary
hmangaihna	love
duhawm	lovely
ni lo ve ve	neither
ni lo ve ve	nor
hniam	low
chak lo	weak
hnuailam	lower
dik lo	wrong
rinawm	loyal
rinawmna	loyalty
vanneihna	luck
vannei	lucky
bawk	lump
chawchhun	lunch
chuap	lungs
hip lut	absorb
tha lutuk	awesome
mawi lutuk	gorgeous
thau lutuk	obesity
tha lutuk	splendid
tha lutuk	very good
nawmchenna	luxury
khawl	machine
a	mad
siam	made
chanchibu	magazine
puiber	main
vawng	maintain
enkawlna	maintenance
ti mai rawh	just do it
pui	major
tamzawkin	majority
siam	make
mipa	male
a malin	alone
Lalpan malsawm che rawh se	god bless you
inchhung mamawh	grocery
mipa	man
enkawl	manage
enkawltu	management
kaihruaitu	manager
puangchhuak	manifest
bungraw man inziakna	invoice
tidanglam	manipulate
nunphung	manner
sir	margin
bazar	market
inneihna	marriage
innei	married
pawt mar	strain
hmaikawr	mask
nawlpui	mass
lian	massive
hotu	master
inmil	match
tihpui	mate
bungrua	material
chhiarkawp	math
thu	matter
puitlinna	maturity
chutichuan maw	by the way
i mawi a ni	you are beautiful
nundan mawi	ethics
sawi mawi	recommended
ram mawi	scenery
maithei	may
maithei	maybe
keimah	me
chaw	meal
suaksual	mean
awmzia	meaning
kalkawng	means
awmzia	meant
chumilai	meanwhile
teh	measure
teh	measures
sa	meat
damdawi	medicine
hmanrua	medium
intawk	meet
inhmukhawm	meeting
ti mek	doing
thi mek	dying
awm mek	existing
tuiral	melt
hriatrengna	memories
hriatrengna	memory
rilru	mental
kochhuak	mention
zilhtu	mentor
thilzuartu	merchant
khawngaih	mercy
chauhin	merely
hnawk	mess
thuthawn	message
hnawk	messy
thir	metal
tihdan	method
keipawh	me too
ni miah lo	not at all
beidawng miah suh	never give up
chaichim	mice
lai	middle
zanlai	midnight
maithei	might
hlek	mild
lungphun	milestone
sipai	military
bawnghnute	milk
maktaduai	million
rilru	mind
chawhpawlh	mingle
tenau	minor
thilmak	miracle
darthlalang	mirror
thildang	miscellaneous
nghal	mischievous
lungchhiatthlak	miserable
lungngaihna	misery
thelh	miss
bo	missing
tiauchhum	mist
tihsual	mistake
thing mistiri	carpenter
deuhsawh	mock
thunun	moderate
tunlai	modern
zahawm	modest
hnawm	moist
tuihu	moisture
khuavang	mole
nu	mom
Thawhtanni	monday
sum	money
thlir	monitor
zawng	monkey
thla	month
ngaihtuahna	mood
ngui	moody
thla	moon
dik	moral
belh	more
chubakah	moreover
zing	morning
dahkham	mortgage
ber	most
nu	mother
chetna	motion
fuihthar	motivation
tlang	mountain
sazu	mouse
ka	mouth
che	move
chet	movement
film	movie
pi	mrs
tam	much
thu mu	couch
chirh	mud
inngaihtuah muk	meditation
tihrawl	muscle
pa	mushroom
rimawi	music
ngei	must
intitawn	mutual
ka	my
keimah	myself
mak	mysterious
thilmak	mystery
thawnthu	myth
lu na	headache
perek	nail
mawl	naive
hming	name
eizawn nana hmang	professional
entir nan	For example
entir nan	for instance
anih nang	and you
sumdawn nan hmang	commercial
sawi	narrative
zim	narrow
thil nasa tak	terrific
tenawm	nasty
nihphung	nature
ka nau hmeichhia hi ka hmangaih a ni	I love my little sister
ka nau mipa hi ka hmangaih a ni	I love my little brother
mipa naupang	boy
hmeichhe naupang	girl
luhai	nausea
zawhte naute	kitten
awle naute	okay baby
hnai	near
hnaivai	nearby
tep	nearly
felfai	neat
tul	necessary
nghawng	neck
thi	necklace
mamawh	need
indawn	negotiate
hunbi neia inher	rhythm
duhsakbik nei	biased
nihna nei	entity
tumbik nei	focus
thenawm	neighbor
a nei	he has
tawnhriat neih nana hnathawk	internship
thil neih	properties
ka nei	I had
Ka nei	I have
awmzia nei lo	arbitrary
tawpchin nei lo	infinity
tihbik nei lo	random
vahpa	nephew
mithiam	nerd
zam	nervous
len	net
inzawmkual	network
engpawhnise	nevertheless
thar	new
chanchinthar	news
dawtchiah	next
dawtah	next to
khawngaihna ngah	compassionate
Ka ngai che	I miss you
tawng ngaihna hre lo	speechless
ka ngaihtuah a	I think
ka ngai lutuk che	I miss you so much
dil ngawrh	demanding
engtin nge	how is
ngei ngei	certainly
ngei ngei	definitely
ngei ngei	sure
khawi nge	where is
engati nge	why
hmul nghah	fluffy
rinna nghat phawt ila	hopefully
ze nghet	integrity
a ngial a ngan chuan	literally
ding ngil	vertical
ka ni a	I have been
tha	nice
vahnu	niece
I ni em	are you
aw ni e	yes of course
zan	night
mangchhia	nightmare
neitu nihna leisak	acquisition
rammi nihna	nationality
la ni lo	not yet
chutiang ni lovin	rather
i ni maw	do you
oh..a ni maw	oh really
pakua	nine
sawmpakua	nineteen
sawmkua	ninety
pawh ni se	although
engpawh nise	anyways
chupawh nise	even though
pawh ni se	regardless
pawh nise	though
chupawh ni se	whereas
lo ni ta	became
engnge ni ta	what's up
a ni tawh	it was
kan ni	we are
I ni	you are
Engnge nizan lam i an	how was your night
Aih	No
tumah	nobody
bengchheng	noise
bengchheng	noisy
pakhatmah	none
chawhnu	noon
pangngai	normal
hmar	north
hnar	nose
lungleng	nostalgic
lo	not
chhinchhiah	noted
engmah	nothing
hmu	notice
chhinchhiah	noticed
thilhming	noun
thawnthu	novel
november	november
tunah	now
tunlaiah	nowadays
darh nuai	scattered
hmang nuam	enjoy
tukchhuah nuam le	good morning
tukchhuah nuam le ka hmangaih	good morning my love
ninawm	nuisance
ka nu ka hmangaih a ni	I love my mother
chhiahhlawh nu	maid
chawmawlh	numb
nurse	nurse
mim	nut
inthiamkamna	oath
thuawih	obey
thil	object
thiltum	objective
tiamna	obligation
hmuhdan	observation
chik	observe
atchilh	obsessed
hluihlawn	obsolete
daltu	obstacle
nei	obtain
nei	obtained
chiang	obvious
chiangtakin	obviously
hnathawh	occupation
luah	occupied
thleng	occur
thilthleng	occurred
thleng	occurs
tuipui	ocean
october	october
danglam	odd
tan	of
titawp	off
huatthlala	offensive
thilhlan	offer
office	office
fo	often
Awh	Oh
tel	oil
upa	old
chungah	on
vawikhat	once
pakhat	one
purunsen	onion
tinung	online
chauh	only
hawng	open
hmalakna	operation
ngaihdan	opinion
remchanna	opportunities
huntha	opportunity
lehlam	opposite
duhthlanna	option
emaw	or
serthlum	orange
thupek	order
tlanglawn	ordinary
pawl	organization
zirtir	orientation
chawrchhuahna	origin
fahrah	orphan
thildang	other
tur	ought
kan	our
pawn	out
rahchhuak	outcome
inthuamna	outfit
pekchhuahna	outlet
tlangpui	outline
thuk	oven
chungah	over
tuarchhuak	overcome
nasa	overwhelmed
leiba	owe
chhimbuk	owl
nei	own
neitu	owner
bawngpa	ox
pen	pace
khungkhawm	pack
bawm	package
sawmli pahnih	forty-two
petlak	paid
na	pain
rawng	paint
kawppui	pair
ka pa ka hmangaih a ni	I love my father
tawng pakhat hi a tawk thei lo	one language is never enough
sawmhnih pakhat	twenty-one
dang	pale
kutphah	palm
thlengdar	pan
dan pangngai	formal
dan pangngai	natural
nihphung pangngai	standard
hamhaih	panic
kekawr	pants
lehkha	paper
pialral	paradise
tlukpui	parallel
bawm	parcel
ngaidam	pardon
hung	park
vaki	parrot
bik	particular
kawppui	partner
intelkhawm	party
nupui pasal i nei tawh em	are you married
nupui pasal i nei tawh nge la nei lo	are you married or single
kalpel	pass
kalkawng	passage
hlanchhawng	passed
tuichilh	passionate
ngawichawi	passive
hunkaltawh	past
thawm	patch
kawng	path
khawngaihthlak	pathetic
dawhtheihna	patience
dawhthei	patient
kaihruaitu	pattern
chawl	pause
kalkawng	pavement
chu pawh chu	as well as
thleng pawhin	so far
Hetah pawh	Same here
nang pawh	you too
a pawi love	never mind
a pawi love	nevermind
a pawi love	no problem
thil pawimawh	data
lehkha pawimawh	document
ngai pawimawh	emphasis
lehkha pawimawh	file
indah pawimawhna	ego
ngaih pawimawh	priority
thu pawimawh tarlanna	chart
pe	pay
pe	payment
remna	peace
thlamuang	peaceful
theite	peach
chhip	peak
per	pear
chana	peas
danglam	peculiar
zung	pee
hik	peel
thian	peer
thiante	peers
ziakfung	pen
ziakfung	pencil
hmabak	pending
mi	people
hmarcha	pepper
hmu	perceive
hmuhdan	perception
chetdan	performance
maithei	perhaps
hunbi	period
nghet	permanent
phalna	permission
phalna	permit
dawhtheihna	perseverance
tumruh	persistent
mihring	person
mimal	personal
mizia	personality
thlirdan	perspective
fuihpawrh	persuade
ti per	trigger
hur	pervert
ran	pet
kapkara pet lut	nutmeg
hunbi	phase
thilmak	phenomenon
biakhlatna	phone
thlalak	photo
thuhlawm	phrase
nundan phung	behave
tihdan phung	tradition
pawnlam	physical
chhar	pick
milem	picture
them	piece
vawk	pig
parva	pigeon
intiangkhawm	pile
lukham	pillow
khalhtu	pilot
ka pi	madam
pin	pin
mutna pindan	bedroom
lakhuihthei	pineapple
sendang	pink
tui pipe vel siamtu	plumber
khuarkhurum	pit
mual	pitch
khawngaih	pity
hmun	place
hmun	places
hripui	plague
zawl	plain
duang	plan
thlawhna	plane
thlai	plant
thlai	plants
thleng	plate
dawhsan	platform
inkhel	play
infiam	playing
nuam	pleasant
khawngaihin	please
lungawi	pleased
nuam	pleasure
thutiam	pledge
tam	plenty
rel	plot
hnawh	plug
theite	plum
podcast	podcast
hlathuhril	poem
hla	poetry
kawk	point
tur	poison
sipai	police
tihdan	policy
hawihhawm	polite
tibawlhhlawh	pollution
tuitling	pool
ek	poop
rethei	poor
puak	pop
lar	popular
mipui	population
vawksa	pork
buhhawp	porridge
lawngchawlhna	port
dinhmun	position
dik	positive
nei	possess
thilneih	possession
uikawm	possessive
thei	possible
hmun	post
sawnhla	postpone
alu	potato
theihna	potential
retheihna	poverty
thuneihna	power
thiltithei	powerful
inbuatsaih	practice
fak	praise
fiamthu	prank
tawngtai	pray
hlu	precious
ringlawk	predict
duhzawng	preference
rai	pregnant
thuhmahruai	premises
lawmman	premium
inbuatsaihna	preparation
buatsaih	prepare
inbuatsaih	prepared
awmna	presence
thilpek	present
hrilhfiahna	presentation
vawngtha	preserve
hotu	president
chilh	press
delh	pressure
tider	pretend
mawi	pretty
veng	prevent
changkhiau	prey
man	price
chapona	pride
puithiam	priest
hruaitu	principal
hmasa	prior
lungin	prison
mimal	private
duhsakna	privilege
lawmman	prize
maithei	probably
harsatna	problem
kaltlangpui	proceed
indawtdan	process
pechhuak	produce
thilsiam	product
siamchhuahna	production
ruangam	profile
hlep	profit
thuk	profound
hmasawn	progress
ruahmanna	project
pawimawh	prominent
thutiam	promise
kaisang	promote
kaisanna	promotion
mawngzang	prompt
bawkkhup	prone
fiahna	proof
mumal	properly
thilneih	property
duangchhin	proposal
hmabak	prospect
hausakna	prosperity
hmuingil	prosperous
humhim	protect
chapo	proud
tifiah	prove
pechhuak	provide
pek	provided
rambung	province
maimaw puan	silk
vantlang	public
Ka pu duhtak	Dear Sir
pawt	pull
mai	pumpkin
a pumpui	overall
ram pum thil	national
zirlai	pupil
lei	purchase
fir	pure
nawinawk	purple
chhan	purpose
bawhzui	pursue
bawhzui	pursuit
nam	push
Ka pu	Sir
dah	put
rilru puthmang	attitude
rilru puthmang	mindset
nihphung	quality
zat	quantity
khunghrang	quarantine
intibuai	quarrel
lalnu	queen
zawhna	query
zawhna	question
intlar	queue
rang	quick
reh	quiet
rizai	quilt
bang	quit
zawhna	quiz
thusawi	quote
thusawi	quotes
sazupui	rabbit
intlansiak	race
thinso	rage
ruah	rain
tisang	raise
chawmlian	raised
khawvel ram inkar	international
a rammi	native
tlan	ran
rang	rapid
rangtakin	rapidly
vang	rare
khat	rarely
bawl	rash
sazu	rat
man	rate
inkungkaihna	ratio
fing	rational
hel	raw
fimkhur rawh	be careful
tang rawh	come on
tho rawh	get up
hmanhmawh rawh	hurry up
ti rawh le	go ahead
ngawi rawh	shut up
tho rawh	wake up
pheikhawk rawngsang	boot
pheikhawk rawngsang	boots
nawn	re
thleng	reach
thleng	reached
tilet	reaction
chhiar	read
chhiar	reading
inpeih	ready
tak	real
hrechhuak	realize
hrechhuak	realized
takzet	really
hnung	rear
chhan	reason
kolet	recall
dawng	receipt
dawng	receive
dawng	received
tunhnai	recent
inhmuahna	reception
pawlawh	reckless
hriatpuina	recognition
hmelhriatna	recognize
kawhhmuh	recommend
chhinchhiah	record
hmulet	recover
lakletlehna	recovery
sen	red
chanchhuahna	redemption
titlem	reduce
chuangtlai	redundant
kawhhmuh	refer
kawhhmuh	reference
chhunlet	reflect
insum	refrain
fridge	refrigerator
hnial	refuse
hnial	refused
ngaihsakna	regard
zahngai	regards
rambung	region
inziaklut	register
inchhir	regret
ti reh	delete
hnawl	reject
ke rek	ankle
zawmpui	relate
inzawm	related
inlaichinna	relationship
laina	relative
laina	relatives
chawl	relax
tichhuak	release
chhuah	released
inphu	relevant
rintlak	reliable
chhawmdawlna	relief
chhawk	relieve
chhawk	relieved
sakhua	religion
hreh	reluctant
innghat	rely
bang	remaining
damdawi	remedy
hrereng	remember
hriatnawntir	remind
hriatnawntir	reminder
hla	remote
paih	remove
awm reng	remain
awm reng thei	sustainability
tum reng vang	deliberate
tum reng vang	intended
hawh	rent
siamtha	repair
tinawn	repeat
thlakthleng	replace
chhang	reply
hek	report
aiawh	represent
hmingthatna	reputation
ngen	request
mamawh	require
mamawh	required
chhanchhuak	rescue
zirchianna	research
inang	resemble
lungawilohna	resentment
hauhlawk	reservation
dahthat	reserve
bang	resign
inpawtfan	resilience
dodal	resist
doletna	resistance
thutlukna	resolution
tifel	resolve
hmanrua	resources
zahna	respect
chhanglet	respond
chhanna	response
mawhphurhna	responsibility
mawhphur	responsible
hahchawl	rest
siamtha	restore
nghawngchhuah	result
rahchhuah	results
chhunzawm	resume
zuar	retail
chelh	retain
hriatrengna	retention
chawlhsan	retired
hnungtawlh	retreat
lalet	retrieve
kirlet	return
inpuang	reveal
tilangchhuak	revealed
phuba	revenge
chhiah	revenue
letling	reverse
ennawn	review
ennawn	revise
ennawn	revision
inherna	revolution
lawmman	reward
nak	rib
ti ri bur	bang
buhfai	rice
hausa	rich
laksak	rid
chuang	ride
mak	ridiculous
dik	right
khauh	rigid
ri	ring
ka ring	i guess
ri rin lam tehna	volume
thuah	rinse
intualvuakna	riot
pawtlui	rip
hmin	ripe
chhuak	rise
elpui	rival
lui	river
kawng	road
kangro	roast
lung	rock
hmawlh	rod
chanvo	role
inzial	roll
inchung	roof
pindan	room
zung	root
hruizen	rope
tawnhriat ropui	adventure
thil ropui	magnificent
mipui rorelna	democracy
tawih	rotten
biboh	rough
vel	roughly
bial	round
kawng	route
tlar	row
a rualin	simultaneously
inang rual	regular
nawt	rub
nawhreh	rubber
bawlhhlawh	rubbish
sual	rude
chhuatphah	rug
tichhia	ruin
tawngkam ruk	password
dan	rule
roreltu	ruler
tlan	run
tlan	running
thingtlang	rural
hmanhmawh	rush
zui ru	stalk
saiip	sack
serh	sacred
inhlan	sacrifice
him	safe
sahimna	safety
mifing	sage
sawi	said
leng	sail
aiah	sake
hlawh	salary
zuar	sale
chi	salt
inang	same
enchhinna	sample
vut	sand
duhsakna sangber	best regards
duhsakna sang ber ka hlan a che	wish you all the best
duhsakna sang ber ka hlan che	best of luck
zirna sang	university
tiel	sarcastic
ni sa	sunshine
thu	sat
lungawina	satisfaction
lungawi	satisfied
tilungawi	satisfy
lungawipui	satisfying
pangai satliah	casual
Inrinni	Saturday
thithun	sausage
rapthlak	savage
humhim	save
hmu	saw
i sawi awmzia ka hrethiam lo	I don't understand what you mean
verb sawifiahna	adverb
nihna sawifiahtu	adjective
lawmthu sawina thilpek	tips
kum sawm	decade
sawtah sawn	over there
saw'ng saw	those
sawi	say
bukna	scale
inbumna	scam
ser	scar
vang	scarce
hlau	scared
awmveh	scarf
hlauhawm	scary
hmun	scene
rim	scent
hunruat	schedule
sikul	school
Science	science
bakcheh	scissors
hau	scold
huang	scope
tilut	score
them	scrap
pem	scratch
rak	scream
puanzar	screen
inherh	screw
thuziak	script
tuipui	sea
char	seal
zawng	search
thutna	seat
pahnihna	second
thuruk	secret
him	secure
himna	security
hmu	see
zawng	seek
pawnthem sei	tape
man	seize
kaih	seizure
thlang	select
mahni	self
hmasial	selfish
hralh	sell
thawn	send
hriatna	sense
hrethei	sensible
thawn	sent
thutlukna	sentence
thutlukna	sentences
inthenhrang	separate
September	september
indawt	sequence
inzawmzat	series
tihtakzet	serious
tihtakzetin	seriously
rawngbawlsak	serve
thawhna	service
hunbik	session
ruahman	set
innghahna	setting
inbengbel	settle
pasarih	seven
sawmpasarih	seventeen
sawmsarih	seventy
thenkhat	several
nasa	severe
thui	sew
daihlim	shade
hlimthla	shadow
thing	shake
ang	shall
pawnlang	shallow
zak	shame
riruang	shape
intawm	share
hriam	sharp
ani	she
hulhliap	shed
beram	sheep
phek	sheet
chhuar	shelf
kawr	shell
tawmhulna	shelter
phaw	shield
sawn	shift
engchhuak	shine
lawng	ship
thawnchhuak	shipping
kawr	shirt
pheikhawk	shoes
kap	shoot
dawr	shop
kam	shore
tawi	short
kap	shot
tur	should
koki	shoulder
au	shout
lantir	show
ruahsur	shower
kaikuang	shrimp
tawmte	shrink
khar	shut
zakzum	shy
atanga siam	consist
thutlukna siam	decided
ruangam siam	design
ngaidan siam lawk	prejudice
thil siamna hmunpui	factory
ha siamtu	dentist
unau	sibling
unauza	siblings
sir	side
huiham	sigh
thilhmuh	sight
chhinchhiahna	sign
hmingziak	signature
pawimawh	significant
reh	silence
reh	silent
mawl	silly
tangkarua	silver
inang	similar
huihphai	simp
naran	simple
titakzet	sincere
tihtakzetin	sincerely
zai	sing
zaithiam	singer
mal	single
pil	sink
unaunu	sister
thu	sit
hmun	site
dinhmun	situation
paruk	six
sawmparuk	sixteen
sawmruk	sixty
thiamna	skill
themthiamna	skills
vun	skin
cher	skinny
bawhkan	skip
pawnfen	skirt
van	sky
sal	slave
mu	sleep
mu	sleeping
mutchhuak	sleepy
kawrban	sleeve
zai	slice
tleng	slide
tlemtein	slightly
ria	slim
tawlh	slip
awn	slope
khi	slot
muang	slow
zawitein	slowly
te	small
chengvawng	smart
rim	smell
nui	smile
meikhu	smoke
mam	smooth
hnapkhawn	snail
rul	snake
chat	snap
vur	snow
chuvangin	so
chiahzawp	soak
sahbawn	soap
harhfim	sober
football	soccer
vantlang	social
khawtlang	society
mawza	socks
baking soda	baking soda
nem	soft
software	software
lei	soil
hralh	sold
sipai	soldier
chauh	sole
sakhat	solid
tifel	solve
engemawzat	some
engemaw	something
achangin	sometimes
hla	song
vat	soon
changkang	sophisticated
na	sore
lungngaihna	sorrow
Tihpalh	Sorry
thliar	sort
zawng	sought
thlarau	soul
ri	sound
tuiril	soup
thur	sour
bultanna	source
chhim	south
awl	space
tluanin	span
Spanish	Spanish
thlakna	spare
tawng	speak
chiang	specific
hmuhnawm	spectacular
thusawi	speech
chak	speed
hmang	spend
hmang	spent
thak	spicy
thilzum	spike
vir	spin
antam	spinach
thlarau	spirit
chhak	spit
thenhrang	split
