tenê	a little
sextekarîye	fraud
gêj	freak
bêpere	free
azad	free
azadîye	freedom
cemidîyayene	freeze
frekans	frequency
rey-rey	frequent
rew-rew	frequently
teze	fresh
îne	friday
dolaba cemedî	fridge
embaz	friend
gonîgerm	friendly
embazî	friends
embazîye	friendship
tersaye	frightened
tersnak	frightening
beq	frog
ra	from
vernî	front
cemidîyaye	frozen
meywe	fruit
bêzar	frustrated
sotemenî	fuel
Fulfulde	Fulfulde
pirr	full
keyf û kelebut	fun
fonksîyon	function
bingeyên	fundamental
merasimê cenaza	funeral
komîk	funny
kurke	fur
hêrsin	furious
mobîlya	furniture
zêdêr	further
ey ra kî dot	furthermore
ameyox	future
destkewt	gain
qezenç kerdene	gain
kay	game
vengane	gap
garaj	garage
çop	garbage
baxçe	garden
sîr	garlic
ber	gate
kom bîyene	gather
kombîyayîş	gathering
peymitene	gauge
da	gave
vitês	gear
cinsîyet	gender
pêroyî	general
pêroyî	generally
viraştene	generate
ber	generation
comerd	generous
dahî	genius
tewirê edebîyatî	genre
nazik	gentle
raştkên	genuine
jest	gesture
girewtene	get
kincanê xo pira bigîrê	get dressed
rawuştene	get up
berzînê xeyrî bo	get well soon
gêno	getting
xeyalet	ghost
cewabnêdayîş	ghosting
dêvane	giant
xelate	gift
zencefîl	ginger
kêneke	girl
doste	girlfriend
dayene	give
fek ci ra veradayene	give up
daye	given
keyfweş	glad
çim pira çarnayene	glance
bardaxe	glass
verçimikî	glasses
çim eştene	glimpse
global	global
tarî	gloomy
teng	gloomy
lepikî	gloves
beriqîyayîş	glow up
zeloq	glue
şîyene	go
raşt şo	go ahead
şo	go away
rakewe	go to bed
amanc	goal
hedefî	goals
bize	goat
homa	god
hende ke raşt	god bless you
şono	goes
şono	going
şono bi	going to
zerrn	gold
şîyaye	gone
lincin	goo
rind	good
rindîye	good
peroj bixeyr	good afternoon
xatir bi to	good bye
roje bixeyr	good day
şan bixeyr	good evening
aferîn	good job
semt	good looking
bextweş be	good luck
şodir bixeyr	good morning
şodirê to weş bo, canê mi	good morning my love
şewe bixeyr	good night
xatirê şima	goodbye
şewbaş	goodnight
berî	goods
Google	Google
Google Translate	Google Translate
qaze	goose
muhteşem	gorgeous
zem	gossip
girewt	got
fam kerd	got it
hukmat	government
girewtene	grab
darax	grade
vera-vera	gradually
mezun bîyene	graduate
heb	grain
bexş	grant
biîmtîyaz	granted
engurî	grapes
tepiştene	grasp
vaş	grass
sipasdar	grateful
sipasdarîye	gratitude
gore	grave
gewr	gray
hol	great
çimveşanîye	greed
çimeveşan	greedy
kesk	green
selam dayene	greet
selamdayîş	greeting
selamdayîşî	greetings
gewr	grey
caxike	grid
efkar	grief
tehnayene	grind
pêguretene	grip
dikan	grocery
zama	groom
girs	gross
erd	ground
grûbe	group
pîl bîyene	grow
girsbîyayîş	growth
zirt	grumpy
Guarankî	Guarani
garantî	guarantee
pawitene	guard
texmîn kerdene	guess
mêman	guest
rayberîye	guidance
rayberîye kerdene	guide
rayber	guide
sucdar	guilty
mêrik	guy
mêrikî	guys
salonê sporî	gym
adet	habit
cugeh	habitat
torge	hail
por	hair
nême	half
çardaxe	hall
dest	hand
destik	handle
semt	handsome
darde kerdene	hang
hedîra xo ardene	hang out
bîyene	happen
bî	happened
şayîye	happiness
şa	happy
rojbîyayîşê to pîroz bo	happy birthday
rojbîyayîşê to bimbarek bo	happy birthday to you
serrnewe pîroz bo	happy new year
zehmet	hard
nadîr	hardly
hema-hema qet rey	hardly ever
zerar	harm
zerar dayene	harm
zerardar	harmful
aheng	harmony
sext	harsh
ber girewtene	harvest
nefret kerdene	hate
roja to xeyr bo	have a good day
roja to xeyr bo	have a nice day
arayîya xo bike	have breakfast
rind bixejilîye	have fun
to nan werd	have you eaten
mal	having
tehluke	hazard
mij	haze
o	he
ey de est o	he has
o yo	he is
sere	head
seredej	headache
weş kerdene	heal
weşkerdiş	healing
weşîye	health
weş	healthy
eşnawitene	hear
eşnawit	heard
zerrî	heart
germîye	heat
germ kerdene	heat
cenet	heaven
giran	heavy
biheyecan	hectic
berzîye	height
mîrasdar	heir
dizdîye	heist
pêgirewte	held
cehenem	hell
Ma bixeyr dî	Hello
selam delalo	hello dear
ma bixeyr dî, ti senîn a	hello how are you
ma bixeyr dî, ti se kena?	hello how are you doing
kask	helmet
hetkarî kerdene	help
destegêr	helpful
coka	hence
aye	her
pes	herd
tîya	here
mîras	heritage
didil mendene	hesitate
Hey	Hey
Merheba	Hi
selam, senîn î	hi how are you
Selam	Hi there
nimitik	hidden
nimitene	hide
hîyerarşî	hierarchy
berz	high
beşo muhîm	highlight
fetilîyayene	hike
fetilîyayîş	hiking
zaf komîk	hilarious
pul	hill
ey	him
îma kerdene	hint
qineste	hip
qorrik	hips
kîra kerdene	hire
kar rê girewtiş	hiring
yê ey	his
tarîx	history
piro dayene	hit
Hmm	Hmm
hobî	hobby
pê girewtene	hold
pîtene	hold on
pê girewtene	hold on
lane	hole
tehtîl	holiday
kinitene	hollow
keye	home
wezîfeyê keyeyî	homework
rastvaj	honest
bi raştî	honestly
Hingimên	Honey
Cano	Honey
şeref	honor
kapuşone	hood
çengal	hook
çing dayene	hop
hêvî kerdene	hope
hêvî	hope
boka	hopefully
bêhêvî	hopeless
bêîmkan	hopeless
verardkî	horizontal
estrî	horn
xewfin	horrible
ters	horror
estor	horse
nêweşxane	hospital
mêmanperwerîye	hospitality
mêmandarîye kerdene	host
mêmandar	host
dişmenkî	hostile
germ	hot
otêle	hotel
saete	hour
saetî	hours
keye	house
keye	household
senî	how
ma ti	how about you
ti senîn î	how are you
ti se kenî	how are you doing
ti ewro senîn î	how are you doing today
ti ewro senîn î	how are you today
ti se kenî	how do you do
senîn o	how is
çend	how many
çend	how much
çend rey	how often
ti çend serrî yî	how old are you
roja to senî bîye	how was your day
şewa to senî bîye	how was your night
labelê	however
merkez	hub
caniko	hubby
verare	hug
verare kerdene	hug
girs	huge
merdim	human
nefsqij	humble
tênin	humid
tênî	humidity
se	hundred
vêşan	hungry
seyd kerdene	hunt
hurîkan	hurricane
lez kerdene	hurry
lerze bike	hurry up
dejayene	hurt
mêrde	husband
lebitîyayene	hustle
lebitîyayîş	hustle
koxe	hut
hîjyen	hygiene
ez	I
Ez a	I am
ez rind a	I am fine
ez eşkena	I can
ez nêeşkena	I can't
Ez kena	I do
ez nêzana	I do not know
Ez fehm nêkena	I do not understand
Ez nêkena	I don't
Ez nêzana	I don't know
ez fehm nêkena	I don't understand
ez fehm nêkena ke ti se vanî	I don't understand what you mean
Ez to fehm nêkena	I don't understand you
ez nêzana	I don’t know
Ez fehm nêkena	I don’t understand
ez texmîn kena	i guess
mi de est bî	I had
mi de est o	I have
ez bîya	I have been
ez hêvî kena	I hope so
Ez zana	I know
ez ecibnena	I like
ez to ra hes kena	I like you
ez hes kena	I love
ez birayê xo yê pîlî ra hes kena	I love my big brother
ez waya xo ya pîle ra hes kena	I love my big sister
ez pîyê xo ra hes kena	I love my father
ez birayê xo yê qijî ra hes kena	I love my little brother
ez waya xo ya qije ra hes kena	I love my little sister
ez maya xo ra hes kena	I love my mother
ez to ra hes kena	I love you
Ez to ra zaf hes kena	I love you so much
ez zî to ra hes kena	I love you too
yanî	I mean
Mi bêrîya to kerda	I miss you
mi zaf bêrîya to kerda	I miss you so much
Mi fam kerd	I see
goreyê mi	I think
Ez fehm kena	I understand
ez wazena	I want
ez wazena to bivînî	I want to see you
ez to wazena	I want you
Ez bîya	I was
ez bibîyêne	I would be
Ez a	I'm
Ez rind a	I'm fine
ez rind a	I'm good
Ez tîya ya	I'm here
ez ozrê xo wazena	I'm sorry
cemed	ice
qeşaşit	ice cream
fikr	idea
îdeal	ideal
eynî	identical
pênas kerdene	identify
kamîye	identity
bom	idiot
veradaye	idle
eke	if
peygoş kerdene	ignore
nêweş	ill
îlegal	illegal
nêweşîye	illness
Îlocano	Ilocano
resim	image
xeyal kerdene	imagine
desinde	immediate
desinde	immediately
zaf girs	immense
tesîr kerdene	impact
tesîr	impact
bêsebir	impatient
ca ardene	implement
îdxal	import
îdxal kerdene	import
muhîm	important
zor ra dayene kerdene	impose
bar kerdene	impose
nemumkin	impossible
tesîr ro ci kerdene	impress
tesîr	impression
balkêş	impressive
aver berdene	improve
rindêrkerdiş	improvement
de	in
ser o zî	in addition
raşta ci	In fact
verê … de	in front of
seba ke	in order to
bêmunasebet	inappropriate
teşwîq	incentive
hedîse	incident
tede bîyene	include
tede	including
ameye	income
nerehetîye	inconvenience
zêdnayene	increase
zêdîyayîş	increase
zêde	increased
acêba girane	incredible
xora raşt	indeed
xoser	independent
Hîndîstan	India
nîşan dayene	indicate
cayî	indigenous
şexs	individual
endustrî	industry
îllamkî	inevitable
pit	infant
îltîhab	infection
bêpeynîyîye	infinity
îltîhab	inflammation
enflasyon	inflation
tesîr kerdene	influence
tesîr	influence
dayîşzanayîş	inform
melumat	information
tedeyî	ingredients
mîras	inheritance
sifteyên	initial
înîsîyatîf	initiative
birîndar	injured
birîne	injury
bêguna	innocent
îcad	innovation
pers	inquiry
tirrexêx	insane
lulik	insect
bêasayîş	insecure
dekerdene	insert
zere	inside
îzan	insight
israr kerdene	insist
bêhewnîye	insomnia
îlham	inspiration
îlham dayene	inspire
saz kerdene	install
nimûne	instance
desinde	instant
herinda ci de	instead
herind de	instead of
telîmatî	instructions
enstruman	instrument
heqeret kerdene	insult
sîgorta	insurance
tam	intact
temamîye	integrity
roşnvîr	intellectual
aqil	intelligence
jîr	intelligent
nîyet kerdene	intend
nîyetkerde	intended
xurt	intense
nîyet	intention
yewbînan ser tesîr kerdene	interact
yewbînansertesîrkerdiş	interaction
eleqe	interest
eleqedar	interested
balkêş	interesting
mudaxele kerdene	interfere
mabênkar	intermediate
yê zereyî	internal
mîyanneteweyî	international
stajyerîye	internship
tefsîr kerdene	interpret
çarnayox	interpreter
birnayene	interrupt
roportaj	interview
semîmî	intimate
bi	into
dayene naskerdene	introduce
daşinasnayiş	introduction
hîs	intuition
nevîyartbar	invalid
îcad kerdene	invent
envanter	inventory
sermaye kerdene	invest
tehqîqat	investigate
silayî	invitation
silaynayene	invite
fatura kerdene	invoice
fatura	invoice
tewrê . bîyene	involve
tede	involved
utî kerdene	iron
asin	iron
o	is
girawe	island
îzolekerde	isolated
vetene	issue
mesela	issue
problemî	issues
o yo	it is
bî	it was
temam o	it's ok
Hol o	It's okay
çî	item
çî	items
yê ey	its
Ez a	I’m
çakêt	jacket
hepisxane	jail
Çele	January
qawanoz	jar
çene	jaw
çimesîya	jealous
serserî	jerk
mucewher	jewelry
meslek	job
vaştiş	jogging
tewr bîyene	join
muşterek	joint
pêragirêdaye	joint
yaranîye	joke
rojnameger	journalist
raywanîye	journey
keyf	joy
dadger	judge
muhakeme kerdene	judge
awa meyweyan	juice
temmuze	july
xil dayene	jump
hezîrane	june
keş-peş	junk
tena	just
heq	just
de bike	just do it
edalet	justice
heq dayene	justify
pawitene	justify
Kalalîsut	Kalaallisut
hewesdar	keen
dewam kerdene	keep
pê girewtene	keep
dewam ke	keep it up
çaydane	kettle
lên	kettle
kilît	key
pasqule piro dayene	kick
doman	kid
yarenî	kidding
velik	kidney
domanî	kids
kiştene	kill
nazik	kind
tewir	kind
seke	kinda
nazîkane	kindly
kibarîye	kindness
qiral	king
lew pira nayene	kiss
kulinde	kitchen
firfiroke	kite
pisînge	kitten
zanî	knee
zana	knew
kardî	knife
şovalye	knight
zanayene	know
zanayîş	knowledge
zanaye	known
Konkanî	Konkani
Krîo	Krio
etîket	label
etîket kerdene	label
kar	labor
kar	labour
kêmanîye	lack
nêrdîwane	ladder
xanime	lady
merredîya ra	laid
gole	lake
vereke	lamb
kung	lame
kêmî	lame
lamba	lamp
erd	land
niştene	land
menzere	landscape
ziwan	language
verare	lap
girs	large
peyên	last
peynîya peyêne de	last but not least
peyname	last name
erey	late
demo peyên de	lately
dima	later
tewr peyên	latest
peyên	latter
huyayene	laugh
huyayîş	laughing
huyayîş	laughter
pernayene	launch
kincşuxane	laundry
qanûn	law
çere	lawn
avûkat	lawyer
rameridîyayene	lay
qat	layer
arê dayene	layout
tembel	lazy
qerşune	lead
rayberî kerdene	lead
serek	leader
pel	leaf
dilope kerdene	leak
aznayene	lean
perrayene	leap
musayene	learn
museno	learning
kîra kerdene	lease
tewr tay	least
çerme	leather
teriknayene	leave
teriknayîş	leave
terikneno	leaves
pelî	leaves
rayberîkerde	led
çep	left
pêtik	leg
mîras	legacy
qanûnî	legal
efsane	legend
meşrû	legit
wexto veng	leisure
deyn dayene	lend
dergîye	length
kêmî	less
derse	lesson
raverdayene	let
mektube	letter
xas	lettuce
darax	level
berzker	leverage
berpirsîyarîye	liability
kitabxane	library
lîştene	lick
zurî kerdene	lie
zure	lie
zurî	lies
cuye	life
wedardene	lift
asansor	lift
roştî	light
veşnayene	light
sivik	light
bilusk	lightning
hes kerdene	like
muhtemel	likely
aynen	likewise
xêze	line
Lîngala	Lingala
lînk	link
şêr	lion
awî	liquid
lîste	list
goşdarî kerdene	listen
goşdarî keno	listening
herfîyen	literally
edebîyat	literature
qilêrin kerdene	litter
şenik	little
ganî	live
ciwîyayene	live
cîgere	liver
cuyî	lives
ciwîyeno	living
odaya roniştişî	living room
marula	lizard
bar bîyene	load
nane	loaf
deyn	loan
cayî	local
ca	location
kilît kerdene	lock
qedexeyê vejîyayîşê teberî	lockdown
qirm	log
ez zaf huyaya	lol
tek û tena	lonely
derg	long
xeylê wext o ke ma yewbînî nêdîyo	long time no see
ewnîyayene	look
awir	look
girê dayene	loop
vîndî kerdene	loose
sist	loose
lord	lord
vîndî kerdene	lose
zerar	loss
vîndîbîyaye	lost
keremate	lot
bi vengêko berz	loud
salone	lounge
hes kerdene	love
eşq	love
ez to ra hes kena	love you
şîrin	lovely
nizm	low
nizm kerdene	lower
wefadar	loyal
sedaqet	loyalty
bext	luck
şans	luck
bişans	lucky
Luganda	Luganda
bagaj	luggage
kome	lump
perojîye	lunch
cîgerî	lungs
luks	luxury
zurîkerdiş	lying
makîna	machine
xêx	mad
hêrsin	mad
xanime	madam
viraşte	made
kovare	magazine
muhteşem	magnificent
xizmetkare	maid
sereke	main
ramitene	maintain
dewam kerdene	maintain
berdewamîye	maintenance
Maîthîlî	Maithili
pîl	major
sergord	major
zafêrî	majority
viraştene	make
makyaj kerdene	make up
nêr	male
merkezê axsata	mall
merdim	man
îdare kerdene	manage
îdarekarî	management
îdarekar	manager
mecburî	mandatory
manîfesto	manifest
eşkera kerdene	manifest
manîpule kerdene	manipulate
uslûb	manner
dest a	manual
zaf	many
xeylê xeylê ameyeyê roje	many many happy returns of the day
adare	march
şîyene	march
kenar	margin
pîyase	market
zewac	marriage
zewicîyaye	married
maske	mask
girse	mass
zaf girs	massive
westa	master
pêardene	match
duşt	match
kel werdene	mate
heval	mate
materyal	material
matematîk	math
muhîm bîyene	matter
mesele	matter
deresayîş	maturity
gulane	may
eşkayene	may
beno ke	maybe
mi	me
ez zî	me too
werd	meal
averaj	mean
vatene	mean
mana	meaning
îmkan	means
qesd o bî ke	meant
no mabên de	meanwhile
peymitene	measure
peymî	measures
goşt	meat
tibî	medical
derman	medicine
medîtasyon	meditation
wasita	medium
mîyanên	medium
nas kerdene	meet
kombîyayîş	meeting
Meîteîlon	Meiteilon
rovilêşîyayene	melt
xatîrayî	memories
vîr	memory
aqlî	mental
qalê ci kerdene	mention
vate	mentioned
şêwirmend	mentor
bazirgan	merchant
merhemet	mercy
ancax	merely
Noel pîroz bo	merry christmas
alozî	mess
peyame	message
virtûvila	messy
metal	metal
metod	method
merreyî	mice
mîyanên	middle
şewlete	midnight
eşkayene	might
nermik	mild
hedef	milestone
leşkerîye	military
şit	milk
mîlyon	million
ehemîyet dayene	mind
aqil	mind
zîhnîyet	mindset
maden	mine
yê mi	mine
werê fîtene	mingle
qijkek	minor
deqa	minute
deqeyî	minutes
keramete	miracle
neynike	mirror
ê bînî	miscellaneous
têmîyan	miscellaneous
mixenet	mischievous
neçar	miserable
feqirîye	misery
bêrî kerdene	miss
mi bêrîya to kerda	miss you
vîndîbîyaye	missing
mîsyon	mission
mij	mist
xeletîye	mistake
Mîzo	Mizo
mobîl	mobile
henek kerdene	mock
henek	mock
model	model
îdare kerdene	moderate
maqul	moderate
modern	modern
nefsqij	modest
hît	moist
hîtî	moisture
kufikîyayene	mold
kufike	mold
herremuşk	mole
dayê	mom
game	moment
dişeme	monday
pere	money
monîtor	monitor
meymune	monkey
aşme	month
keyf	mood
eks	moody
aşme	moon
moral	moral
hîna zêde	more
ey ra zî wet	moreover
şodir	morning
îpotek	mortgage
zafê ci	most
zafane	mostly
maye	mother
hereket	motion
motîvasyon	motivation
ko	mountain
merre	mouse
fek	mouth
lewîyayene	move
hereket	movement
fîlm	movie
xanime	mrs
zaf	much
lince	mud
xesp kerdene	mug
tase	mug
masûlkeyî	muscle
muzexane	museum
sung	mushroom
muzîk	music
ganî	must
ganîyîye	must
bêveng	mute
dihetkî	mutual
mi	my
Delalê mi	My dear
embazê mi	my friend
Hovercraftê mi pirrê marmasan o	My hovercraft is full of eels
zerrîya mi	my love
nameyê mi … o	my name is
seran ser	my pleasure
bi xo	myself
sirdar	mysterious
sirr	mystery
mîtos	myth
nenûg	nail
naşî	naive
name	name
hîkaye	narrative
qalkerdiş	narrative
teng	narrow
qefçil	nasty
neteweyî	national
netewe	nationality
cayî	native
xozayî	natural
xoza	nature
werêkewtişê zereyî	nausea
nêzdî de	near
nêzdî	nearby
hema-hema	nearly
biîhtîmam	neat
hewce	necessary
mil	neck
kolye	necklace
lazim bîyene	need
îhtîyac	need
negatîf	negative
îhmal kerdene	neglect
muzakerde kerdene	negotiate
cîran	neighbor
dorûver	neighborhood
ne … ne zî	neither
biraza	nephew
hêrsin	nervous
halîn	nest
torre	net
torre	network
bêteref	neutral
caran	never
caran metexilîye	never give up
fek ci ra verade	never mind
wa bo	nevermind
ancîya	nevertheless
newe	new
xeberî	news
verên	next
hetê … de	next to
weş	nice
ez memnun bîya	nice to meet you
werezaye	niece
şewe	night
kapos	nightmare
new	nine
newês	nineteen
neway	ninety
Ney	No
problem çin o	no problem
mumkin nîyo	no way
qet kes	nobody
hayleme	noise
hermeleyin	noisy
çi .	none
peroj	noon
niç	nope
ne	nor
normal	normal
bakûr	north
pirnike	nose
nostaljîk	nostalgic
ney	not
çiman ser	not at all
xirab nîyo	not bad
Nika ney	Not now
hîna ney	not yet
not kerdene	note
notkerde	noted
qet çî	nothing
pêhesîyayîş	notice
ferqkerde	noticed
name	noun
nameyî	nouns
roman	novel
teşrîna peyêne	november
nika	now
nê deman	nowadays
problem	nuisance
sifir	null
kung	numb
hûmare	number
hemşîra	nurse
findiqe	nut
muskat	nutmeg
werdiş	nutrition
sond	oath
qelewîye	obesity
tede kerdene	obey
çî	object
amanc	objective
ganîyîye	obligation
nimite	obscure
nîyadarîye	observation
qayît kerdene	observe
obsesîf	obsessed
obsesyon	obsession
kehen	obsolete
asteng	obstacle
girewtene	obtain
destkewte	obtained
eşkera	obvious
bi hawayêde eşkera	obviously
ge-gane	occasionally
meslek	occupation
îşxalkerde	occupied
qewimîyayene	occur
bî	occurred
aseno	occurs
okyanûs	ocean
teşrîna verêne	october
temaşe	odd
îhtîmal	odds
ra	of
helbet	of course
girewte	off
hêrişkar	offensive
pêşnîyaze kerdene	offer
pêşnîyaze	offer
ofîs	office
fermî	official
zaf rey	often
Ah	Oh
xora raşt	oh really
rûn	oil
temam	ok
temam, cano	ok dear
temam, canê	ok honey
temam delala mi	ok my love
temam	okay
temam cano	okay baby
temam şîrina mi	okay dear
temam cano	okay honey
temam zerrîya mi	okay my love
kan	old
ser o	on
reyêk	once
yew	one
yew ziwan caran bes nîyo	one language is never enough
pîyaz	onion
girêdaye	online
tena	only
akerdene	open
operasyon	operation
fikir	opinion
îmkanî	opportunities
firsend	opportunity
duşt	opposite
weşvîn	optimistic
weçînek	option
nemecburî	optional
yan	or
narincî	orange
porteqale	orange
sîparîş	order
siparîş kerdene	order
sade	ordinary
organîzasyon	organization
meyl	orientation
esl û fesl	origin
eslî	original
Oromo	Oromo
sêwî	orphan
bîn	other
nêke	otherwise
ganî	ought
yê ma	our
Mîsyonê ma: her kesî rê mumkin bikerîme ke her ca de dinya fehm bikero û her ziwan de xo îfade bikero	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Mîsyonê ma: zanayîşê dinya organîzekerdiş û her kesî rê akerde û bifaydekerdiş	Our mission: to organize the world's information and make it universally accessible and useful.
teber	out
netîce	outcome
kinc û kol	outfit
gonîgerm	outgoing
rotişgeh	outlet
fîş	outlet
xulasa	outline
teber	outside
mukemmel	outstanding
firine	oven
ser a	over
ha uca	over there
pêro pîya	overall
bin ra rawuştene	overcome
zêde fikirîyayîş	overthinking
şaşmende	overwhelmed
deyndar bîyene	owe
kund	owl
wayî bîyene	own
yê xo	own
wayîr	owner
ga	ox
game	pace
paket kerdene	pack
paket kerdene	package
daye	paid
dej	pain
boyax kerdene	paint
boyax keno	painting
cite	pair
bêreng	pale
palmîye	palm
lep	palm
tawe	pan
pandemîye	pandemic
panîk	panic
pantolî	pants
kaxide	paper
cenet	paradise
parelel	parallel
parsel	parcel
pardon	pardon
may û pî	parents
parke	park
tûtî	parrot
maydanoz	parsley
beş	part
beşdar bîyene	participate
taybet	particular
bitaybetî	particularly
heval	partner
partî	party
ravîyartene	pass
pasaj	passage
vîyarte	passed
hewes	passion
hewesdar	passionate
pasîf	passive
şîfre	password
vîyarte	past
pîne	patch
rêçe	path
perîşan	pathetic
sebir	patience
bisebr	patient
nêweş	patient
desen	pattern
mabên	pause
peyerayîr	pavement
heq dayene	pay
heqdayîş	payment
aştî	peace
aştîwaz	peaceful
şeftalîye	peach
tîtik	peak
murîye	pear
nuke	peas
xas	peculiar
mîze	pee
mîze kerdene	pee
serde kerdene	peel
duşt	peer
hemendamî	peers
qeleme	pen
qeleme	pencil
paweno	pending
merdimî	people
îsot	pepper
fehm kerdene	perceive
feraset	perception
bêqusur	perfect
ca ardene	perform
performans	performance
beno ke	perhaps
serdem	period
timkî	permanent
destûr	permission
destûr	permit
destûr dayene	permit
tebat	perseverance
israrker	persistent
merdim	person
şexsî	personal
şexsîyet	personality
hoke	perspective
îqna kerdene	persuade
xirabkar	pervert
heywanê keyeyî	pet
cumle	phase
fenomen	phenomenon
felsefe	philosophy
telefon kerdene	phone
telefon	phone
fotograf	photo
îfade	phrase
fîzîkî	physical
weçînitene	pick
arê dayene	pick up
bi erebe girewtene	pick up
resim	picture
parçe	piece
parçeyî	pieces
xoz	pig
borane	pigeon
lode	pile
balişna	pillow
pîlot	pilot
reptîya	pin
ananase	pineapple
pembe	pink
bîr	pit
war	pitch
heyf	pity
ca	place
bi ca kerdene	place
cayî	places
bela	plague
deşte	plain
plan kerdene	plan
plan	plan
teyara	plane
ronayene	plant
nebatî	plants
tebaxe	plate
platform	platform
kay kerdene	play
kay	play
kaykerdiş	playing
weş	pleasant
kerem kerdene	please
keremê xo ra	please
keyfweş	pleased
keyfweşîye	pleasure
wad kerdene	pledge
keremat	plenty
dek û dolab	plot
qapax	plug
alunça	plum
tesîsatkarê awe	plumber
zafhûmar	plural
podcast	podcast
şîîre	poem
şîîrî	poetry
nuqte	point
jehr	poison
polîs	police
polîtîka	policy
kîbar	polite
gemarinîye	pollution
hope	pond
hope	pool
gî kerdene	poop
feqîr	poor
pop	pop
populer	popular
nufus	population
goştê xozî	pork
lepe	porridge
port	port
lîman	port
pozîsyon	position
pozîtîf	positive
wayîr bîyene	possess
mal	possession
wayîrîye	possessive
mumkin	possible
erşawitene	post
poste	post
peyde eştene	postpone
kartole	potato
potansîyel	potential
pound	pound
xizanîye	poverty
hêz	power
hêzdar	powerful
pratîk	practical
pratîk	practice
pratîk kerdene	practice
goynayene	praise
heneke	prank
dua kerdene	pray
qîymetin	precious
tam	precise
tam	precisely
vervînîye kerdene	predict
tercîh kerdene	prefer
tercîh	preference
diganî	pregnant
verhukm	prejudice
warê sazgehî	premises
prim	premium
amadekarîye	preparation
amade kerdene	prepare
hazir	prepared
veredat	preposition
estbîyayîş	presence
hazir	present
demo nikayin	present
xelate	present
pêşkêş	presentation
pawitene	preserve
serek	president
çapemenîye	press
çap kerdene	press
tezyîq	pressure
rol kay kerdene	pretend
xeylê	pretty
semt	pretty
vernî girewtene	prevent
verên	previous
nêçîr	prey
vaya	price
serberzîye	pride
keşîş	priest
verên	primary
serek	prime
prensese	princess
sereke	principal
verên	prior
vernîyîye	priority
hepisxane	prison
nimiteyîye	privacy
şexsî	private
îmtîyaz	privilege
xelate	prize
îhtîmalen	probably
problem	problem
prosedur	procedure
radayene	proceed
dewam kerdene	process
proses	process
afirnayene	produce
berhem	product
viraştiş	production
meslek	profession
profesyonel	professional
profîl	profile
kar	profit
xorîn	profound
averşîyayîş	progress
aver şîyayene	progress
proje	project
nandar	prominent
wad kerdene	promise
wad	promise
teşwîq kerdene	promote
teşwîq kerdene	promotion
lezabez	prompt
waştiş	prompt
meyîldar	prone
zamîrî	pronouns
telafuz	pronunciation
delîl	proof
raşt	proper
raşt û rind	properly
taybetmendî	properties
mal û milk	property
pêşnîyaze	proposal
ewnîyayîş	prospect
hêvî	prospect
dewletîye	prosperity
zengîn	prosperous
seveknayene	protect
sereberz	proud
îsbat kerdene	prove
peyda kerdene	provide
bi şertê	provided
qeza	province
zad	provision
balixîye	puberty
pêroyî	public
antene	pull
kundir	pumpkin
deqîq	punctual
wendekar	pupil
hêrînayene	purchase
zelal	pure
menewşî	purple
armanc	purpose
cizdan	purse
taqîb kerdene	pursue
taqîb kerdene	pursuit
tehn dayene	push
ronayene	put
cikerdene	put
kalîfîkasyon	qualification
senînîye	qualification
senînîye	quality
mîqdar	quantity
karantîna	quarantine
werê nayene	quarrel
werênayîş	quarrel
çarîge	quarter
Qeçua	Quechua
qiralîça	queen
hemcînsger	queer
persayene	query
perse	question
rêze	queue
rêze kewtene	queue
lez	quick
bilez	quickly
bêveng	quiet
orxan	quilt
ca verdayene	quit
ezmûn	quiz
neql	quotation
neql kerdene	quote
neql	quote
neqlî	quotes
harguşe	rabbit
musabeqa	race
nîjad	race
hêrs	rage
varan	rain
zêdîyayîş	raise
resnayene	raise
resnaye	raised
vaşt	ran
tesadufî	random
silsile	range
lez	rapid
lez	rapidly
nadîr	rare
nadîr	rarely
germij	rash
merre	rat
nîsbet	rate
hîna zaf	rather
rêje	ratio
bimantiq	rational
kal	raw
reyna	re
reştene	reach
resaye	reached
reaksîyon	reaction
wendene	read
wendiş	reading
amade	ready
raştkên	real
raştîye	reality
pê hesîyayene	realize
temamkerde	realized
raştiko	really
resnayene	rear
sebeb	reason
bimantiq	reasonable
ardene xo vîr	recall
fîşe	receipt
girewtene	receive
resa dest	received
peyên	recent
na peydo	recently
resepsîyon	reception
terîfê werdî	recipe
bêperwa	reckless
naskerdiş	recognition
nas kerdene	recognize
tewsîye kerdene	recommend
pêşnîyazkerde	recommended
qeyd kerdene	record
qeyd	record
weş bîyene	recover
weşbîyayîş	recovery
reyayîş	recovery
çargoşe	rectangle
sûr	red
dayene	redeem
raxelişnayene	redeem
îtfa	redemption
kêmî kerdene	reduce
bêluzim	redundant
etif kerdene	refer
referans	reference
olan dayene	reflect
refleksîyon	reflection
apey vindetene	refrain
neqeret	refrain
dolaba cemedî	refrigerator
heqê ci apey dayene	refund
red kerdene	refuse
betalkerde	refused
rêz û silam	regard
derheqê	regarding
bê ke	regardless
silamî	regards
herême	region
qeyd bîyene	register
poşman bîyene	regret
biserûber	regular
biserûber	regularly
red kerdene	reject
qisey kerdene	relate
eleqedar	related
têkilîye	relationship
merdim	relative
nisbî	relative
merdimî	relatives
boya xo dayene	relax
