а	a
хадуб кколелъул пикру гьабуларев	desperate
кин бугонаниги	despite
десерт	dessert
чӀезаби	destination
мухӀканлъизаби	destination
бихьизаби	destination
къадар	destiny
къисмат	destiny
биххизе	destroy
биххизаби	destruction
бекизаби	destruction
чӀунтизаби	destruction
деталь	detail
подробности	details
батизе	detect
мухӀкан гьабун	determination
баян гьаби	determination
хӀукму гьабизе	determine
чӀван къотӀун	determined
риха-хочараб	devastated
цебе тӀезе	develop
ине	develop
тӀадегӀанаб даражаялде бахараб	developed
кутакалда цебетӀураб	developed
къвакӀизаби	development
кутак гьаби	development
кӀодо гьаби	development
гӀатӀид гьаби	development
конструкция	device
шайтӀан	devil
илбис	devil
ритӀухъав	devoted
ракӀ-ракӀалъ мутӀигӀав	devoted
Дгьивеи	Dhivehi
диабет	diabetes
диарея	diarrhea
дневник	diary
лфавиталда рекъон лъурал рагӀабазул гьебго мацӀалда магӀна кьураб яги цоги мацӀалде гьел руссинабураб тӀехь	dictionary
гьабуна	did
в	die
хвана	died
диета	diet
батӀалъи	difference
батӀибатӀияб	different
захӀмалъи	difficult
мун	dig
лъикӀаб рахъ	dignity
хӀаракат бахъулев	diligent
жигарав	diligent
боголиквен	dinner
къасиквен	dinner
биччайзе	dip
бадибе	direct
буссинаби	direction
балагьизаби	direction
битӀи	direction
учреждениялъул бетӀер	director
хӀарщ	dirt
чурукаб	dirty
тӀечго тезе	disable
гӀунгутӀи бугеб	disabled
щвалде щвечӀеб	disabled
мукъсанаб	disabled
тӀагӀине	disappear
билизе	disappear
цебеса хьвазе	disappear
пашман-лъизавизе	disappointed
кеп хвезабизе	disappointed
къварилъизавизе	disappointed
ракӀ гъанцӀизабулеб	disaster
гӀасияб	disaster
ракӀ хӀинкъизабулеб	disaster
ракӀ зунизабулеб	disaster
нахъчӀвазе	discard
инкар гьабун чӀезе	discard
хъамизе	discharge
гӀадлу-низам	discipline
дагьлъизаби	discount
тӀаса рехи	discount
батизе	discover
дискриминация	discrimination
кьезе гьоркьоб лъезе	discuss
далилал рачине	discuss
жиндирго пикру бицине	discuss
битӀараб къимат	discuss
гьоркьоб лъей	discussion
унти	disease
унтаби	diseases
ххвел гьаби	disguise
щибниги бахчизаби	disguise
цӀакъ квешаб	disgusting
квен	dish
тарелки	dishes
кколеб къимат кьунгутӀизе	dismiss
тӀубазабизе	dispatch
дисплей	display
пайда боси	disposal
гӀадада хвезе течӀого пайда боси	disposal
къец	dispute
дагӀба-къец	dispute
дагӀбади	dispute
манзил	distance
битӀухъаб	distinct
батӀалъи бихьизе	distinguish
балагь	distress
распределение	distribution
округ	district
гьоркьоб къотӀи	disturb
лъелрахъ	ditch
вукъун лъедезе	dive
вукъардизе	dive
батӀи-батӀияб	diverse
релълъинчӀеб жоялъул гӀемерлъи	diversity
бикьизе	divide
Аллагьияб	divine
динияб	divine
Аллагьасулаб	divine
жинди-жиндир бакӀалде ккезаби	divorce
бачин	divorce
бетӀер свери	dizzy
гьабе	do
дуца?	do you
дуе дун йокьули?	do you love me
тохтир	doctor
документ	document
даз	does
гьечӀо	doesn't
гуро	doesn't
гьой	dog
Догри	Dogri
гьабизе	doing
васикӀо	doll
ясикӀо	doll
домен	domain
рукъалъулаб	domestic
цӀикӀкӀунев	dominant
ууна	don't
горо	don't
гьечӀо	don't
ургъел гьабуге	Don't worry
кьезе	donate
лъугӀана	done
хӀама	donkey
мехтизавизе гьабулеб дару	dope
кӀигъатаб	double
щаклъи	doubt
ролъ	dough
буцараб гӀатӀ	dough
гъоркье	down
реххизе	download
бацӀцӀад гьабун хъвазелъун тӀоцебе хъвалеб щибниги жо	draft
баччизе	drag
бакъвазабизе	drain
драма	drama
сурат бахъизе	draw
ящикӀ	drawer
квералъ бахъараб сурат	drawing
карабиххи	dread
хӀинкъи	dread
анищ	dream
гурде	dress
борлъизе	drill
каратӀ бахъизе	drill
гьекъезе	drink
бачине	drive
бортизе	drop
бортараб	dropped
бакъвай	drought
ракъдаллъи	drought
бакъбухӀи	drought
мехтараб	drunk
бакъвараб	dry
ордек	duck
гьудул	dude
букӀине кколеб	due
гьедин бугелъул	due to
гьединлъидал	due to
гьавав	dull
гӀадбал	dull
гьагай	dull
гьагал	dull
гӀабдал	dumb
чӀухӀтӀи-къул балеб бакӀ	dump
халалъи	duration
халат бахъин	duration
лъугьунаго	during
хӀур	dust
тӀадаб иш	duty
бетӀербахъи гьабизе	dwell
гӀумру гьабизе	dwell
холев вугев	dying
щибаб	each
цуцал	each other
сабру гьечӀев	eager
яхӀ гьабизе	eager
чӀезе кӀоларев	eager
цӀум	eagle
гӀин	ear
цудунго	earlier
цебеккунго	earlier
ригьдаго	earlier
гӀуждаго	earlier
цудунго	early
мустахӀикълъизе	earn
гӀиндул	ears
земля	earth
ракь багъари	earthquake
бигьайлъи	ease
бигьаго	easily
бигьа	easily
тӀадагьго	easily
бакъбакк	east
бигьаго	easy
кваназе	eat
кваназе	eating
экономикияб	economic
магӀишатияб гӀуцӀи	economy
яшав	economy
рагӀал	edge
хисизабизе	edit
лъай кьей	education
цӀализари	education
кутакаб асар	effect
хӀасил бегеб	effective
асар гьаби	efficiency
хӀасил букӀин	efficiency
цӀакъ асар гьабулеб	efficient
ХӀалбахъи	effort
хоно	egg
баклажан	eggplant
его	ego
микьго	eight
анцӀила микьго	eighteen
ункъого	eighty
цинигимаб	either
тӀад хӀалтӀи гьабизе	elaborate
гӀункӀрукь	elbow
гӀумруялъ кӀудияв	elder
ригьдаса арав	elderly
бахӀарав гурев	elderly
херлъиялде варав	elderly
исбагьияб	elegant
узданаб	elegant
чӀурканаб	elegant
назукаб	elegant
щибниги жоялъул бутӀа	element
пил	elephant
анцӀила цо	eleven
ихтияр букӀин	eligible
тӀагӀинавизе	eliminate
цогияб	else
нечезавурав	embarrassed
нечолев	embarrassing
бичӀчӀизе	embrace
къабул гьабизе	embrace
лъазе	embrace
баккизе	emerge
нахъ тӀамун тезе бегьулареб	emergency
хехаб	emergency
хӀалакараб	emergency
нахъбахъулареб	emergency
гӀедегӀараб	emergency
рекӀел асар загьир гьабулев	emotional
ракӀунти	empathy
гурхӀел	empathy
акцент	emphasis
гурхӀизе	emphasize
ургъел гьабизе	emphasize
чияда ракӀ унтизе	emphasize
цадахъ хъулухъ гьабулев чи	employee
хӀалтӀухъаби	employees
хӀалтӀиде восулев чи	employer
хӀалтӀи	employment
чӀобогояб	empty
ихтияр	enable
изну	enable
данде чӀвазе	encounter
данде ккезе	encounter
данделъизе	encounter
ракӀ базе	encourage
рагӀал	end
кӀал	end
тӀогь	end
тӀагӀине бегьулеб	endangered
жигар бахъизе	endeavor
хӀаракат гьабизе	endeavor
лъадари	endurance
къохӀехьей	endurance
къвакӀи	endurance
хӀехьезе	endure
тушман	enemy
гуч	energy
къуват	energy
энергия	energy
мухьдахъ хасал шартӀазда кквезе	engage
помолвленный	engaged
лъади аби	engagement
лъадилъун гьари	engagement
яс аби	engagement
двигатель	engine
инженер	engineer
английский	English
кутаклъизабизе	enhance
кьвакӀизабизе	enhance
цӀикӀкӀинабизе	enhance
гучлъизабизе	enhance
гьабе лазат	enjoy
цӀакъ кӀудияб	enormous
гӀела	enough
божилъи кьезе	ensure
гъорлъе лъугьине	enter
жаниве лъугьине	enter
рахӀат гьаби	entertainment
ракӀ гъезаби	entertainment
энтузиазм	enthusiasm
жигар-къасд бугев гӀадан	enthusiastic
хӀаракатай гӀадан	enthusiastic
кинабго	entire
вакил	entitled
божилъи гьабурав чи	entitled
аслияб кӀвар буголъи	entity
жанибе лъугьин	entrance
дармилал бакӀазул бетӀергьан	entrepreneur
капиталист	entrepreneur
фабрик-заводазул	entrepreneur
бухча	envelope
сверухълъи	environment
жахӀда-хӀусуд ккезе	envy
эпосалда хурхараб	epic
эпосияб	epic
эпосалъул	epic
эпидемия	epidemic
цокӀалаб	equal
бащадаб	equal
къваригӀунеб тӀагӀел-гӀучӀ	equipment
капитал	equity
эквивалент	equivalent
резинка	eraser
хатӀа	error
гъалатӀ	error
тӀуризе	escape
хасго	especially
гьаби	essay
ургъун бахъи	essay
хъвай	essay
жинцаго ургъун бицин	essay
аслияб кӀвар буголъи	essence
аслияб	essential
тасдикъ гьабизе	establish
ритӀухъ гьабизе	establish
къабул гьабизе	establish
гӀуцӀараб	established
боцӀи	estate
чӀахъен	estate
буголъи	estate
бечелъи	estate
багьа чӀезабизе	estimate
къимат кьей	estimated
цогидалги	etc
кидагосеб	eternal
лъугӀи гьечӀеб	eternal
даимаб	eternal
мораль	ethics
адаб	ethics
гӀаданлъиялъул къагӀидабазул хӀакъалъулъ бугеб философияб гӀелму	ethics
хасият	ethics
къимат кьей	evaluate
багьа гьаби	evaluation
багьа чӀезаби	evaluation
къимат кьей	evaluation
кин бугониги	even
кинбугонаниги	even though
къасимех	evening
маркӀачӀумех	evening
лъугьа-бахъин	event
ахиралдаги	eventually
кидаго	ever
щибаб	every
киналго	everybody
киналго	everyone
сахабго	everything
хӀужжа	evidence
щетӀан	evil
дагь-дагьккун цо хӀалалдаса цоги хӀалалде гӀодобе биччараб куцалда хиси	evolution
цебе тӀезе	evolve
хиси ккезе	evolve
Джю	Ewe
вукӀарав	ex
битӀараб	exact
битӀун	exactly
хӀалбихьи	exam
цӀех-рех гьабизе	examine
мисал	example
тӀадегӀанлъи	exceed
цӀакъго лъикӀ	excellent
гьоркьоб тун	except
рехи	exception
нахъе рехи	exception
тӀокӀлъи	excess
къваригӀунелдаса цӀикӀкӀараб	excessive
тӀокӀаб	excessive
хисизе	exchange
бихха-хочараб	excited
тамашалъизаве дун	excitement
бихха-хочараб	exciting
релълъечӀеб	exclusive
тӀаса лъугьаян гьаризе	excuse
тӀаса лъугьин	excuse
тӀаса лъугьа	excuse me
тӀубайзабизе	execute
тӀубазаби	execution
тӀубазабиялъулаб	executive
билълъанхъизабиялъулаб	executive
хӀалтӀи	exercise
газ къватӀибе унеб труба	exhaust
хӀал дагьлъи	exhausted
рухӀ лъугӀи	exhausted
экспонат	exhibit
цебе лъей	exhibition
гӀумру гьабизе	exist
бетӀербахъи	existence
бугеб	existing
къватӀибе нух	exit
гӀатӀилъизабизе	expand
балагьунчӀейи	expect
балагьун чӀей	expected
харж гьаби	expenses
багьалъи	expensive
хӀалбихьи	experience
гӀелмияб хӀалбихьи	experiment
эксперт	expert
ун лъугӀараб	expired
баян гьабизе	explain
бичӀчӀизабизе	explain
бичӀчӀизаби	explanation
баян гьаби	explanation
пайда босизе	exploit
хӀалтӀизабизе	exploit
лъазабизе	explore
улкаялдаса къватӀибе баччи	export
тӀатинавизе	expose
хьихьичӀеб	exposed
къвагьизе	exposure
бихьизабизе	express
аби	expression
загьирлъи	expression
бицин	expression
загьир гьаби	expression
лъазаби	expression
гӀатӀилъизабизе	extend
гӀатӀид гьабизе	extend
гӀатӀилъараб	extended
гӀатӀилъизабураб	extended
гӀатӀид гьабизе	extension
кӀодо гьабизе	extension
даража	extent
къватӀисеб	external
хун лъараб	extinct
тӀагӀараб	extinct
тӀадеги гьабулеб	extra
къватӀибе бахъизе	extract
батӀияб	extraordinary
рикӀкӀадисеб	extreme
бищун рагӀалда бугеб	extreme
кутакалда	extremely
бер	eye
берал	eyes
ххам	fabric
тамашаяб	fabulous
гӀажаибаб	fabulous
гӀадан виххун хутӀулеб	fabulous
гьумер	face
квербакъи гьабизе	facilitate
къваригӀунеб тӀагӀел	facilities
гӀамал	facility
къагӀида	facility
чара	facility
тадбир	facility
куц	facility
хӀужжа	fact
кӀвар бугеб лахӀза	factor
фабрика	factory
битӀараб жо	facts
кьер хвезе	fade
кьерукълъизе	fade
бецӀлъизе	fade
кьер свине	fade
бортизе	fail
битӀ ккечӀеб	failed
нахъчӀвай	failure
кьер тӀурав	faint
битӀун	fair
цӀакъ	fairly
маргьабазулаб	fairy
маргьадулаб	fairy
божи	faith
дин	faith
ритӀухъаб	faithful
рекӀкӀ гьечӀеб	faithful
мутӀигӀаб	faithful
гьереси	fake
бортана	fall
гьереси	false
цӀар	fame
ругьунаб	familiar
хъизан	family
ракъи	famine
цӀар ини	famous
машгьурлъи	famous
цӀакъ кутакалда цо иш бокьулев	fan
назукаб	fancy
исбагьияб	fancy
чӀурканаб	fancy
тӀаса бищараб	fancy
чӀухӀараб	fancy
букӀунареб жо	fantastic
добегӀан	far
тӀасса лъугьин	farewell
ферма	farm
фермер	farmer
хӀайбатаб	fascinating
мода	fashion
хехаб	fast
къаралъи	fat
къисматалъулаб	fatal
къадар	fate
къисмат	fate
дада	father
свак	fatigue
свакай	fatigue
гъалатӀ	fault
бокьулеб	favorite
къарзалъ кьей	favour
кумек гьаби	favour
гӀаданлъи	favour
бищунго бокьулеб	favourite
хӀинкъи	fear
байрам	feast
милъир	feather
хӀули	feather
гӀамал	feature
сипат-сурат	features
февраль	february
щокъронибе щвезегӀан гӀорцӀун вуго	fed up
хӀалтӀухъ кьолеб мухь	fee
кваназавизе	feed
кваназабизе	feed
кваназайизе	feed
нахъе ахӀи	feedback
хӀалалда бихьизе	feel
хӀалалда бичӀчӀун букӀине	feeling
хӀатӀал	feet
бортана	fell
вас	fellow
хӀалалде бихьана	felt
чӀужугӀадан	female
забор	fence
лъикӀ жо бижулеб	fertile
фестиваль	festival
босизе	fetch
цӀа	fever
багӀари	fever
чанго	few
дагьав	fewer
бахӀарав	fiance
гьереси	fiction
авлахъ	field
ццин бахъараб	fierce
анцӀила щуго	fifteen
кӀикъоялда анцӀго	fifty
рагъизе	fight
рагъда гьоркьор гӀахьаллъизе	fight
къеркьей	fighting
фигура	figure
бичӀчӀизе	figure out
иш	file
цӀезабизе	fill
цӀараб	filled
кино	film
фильм	film
чороклъараб	filthy
хъубаб	filthy
гъизараб	filthy
хъублъараб	filthy
чорокаб	filthy
ахир-къадги	finally
финансал	finance
гӀарцулаб	financial
батана	find
якъинлъизабизе	find out
роцӀинабизе	find out
баянлъизабизе	find out
лъазабизе	find out
баян гьабизе	find out
якъин гьабизе	find out
лъикӀ	fine
килищ	finger
лъугьине	finish
тӀубараб	finished
лъугӀараб	finished
цӀа	fire
къвакӀараб	firm
тӀоцебесеб	first
тӀоцебесеб цӀар	first name
ччугӀа	fish
рекъон	fit
щуго	five
къачӀазе	fix
цо чӀизабураб	fixed
байрахъ	flag
цӀа пархи	flash
рукъ	flat
гӀунгутӀи	flaw
гьечӀолъи	flaw
багьана чӀвазе бегьулеб	flawless
бежать	flee
черх	flesh
къаркъала	flesh
роржанхъулаан	flew
роржен гьабулаан	flew
къичӀизе	flex
бигьаго гьетӀизабизе кӀолеб	flexible
хьетӀулеб	flexible
боржанхъи	flight
эхеде рехизе	flip
чалухлъизе	flirt
рокьи гьабизе	flirt
рокьи гьаби	flirting
чалухлъи	flirting
лъедезе	float
лъим ххазе	float
лъим кӀанцӀи	flood
пол	floor
рукъалъул чӀабар	floor
ханжу	flour
чвахизе	flow
тӀегь	flower
грипп	flu
лъутарав	fluent
гӀедегӀулаго	fluently
тӀаде квас бахъараб	fluffy
лъамалъи	fluid
лъамияб жо	fluid
роржанхъизе	fly
фокус	focus
накӀкӀ	fog
гӀодонакӀкӀ	fog
русулнакӀкӀ	fog
накӀкӀул	foggy
тӀатӀалъезе	fold
аскӀосел	folks
хадув ине	follow
хадув ине	follow up
хадусееб	following
бачӀунеб	following
квен	food
гӀабдал	fool
ахӀмакъ	fool
ахӀмакъаб	foolish
гӀантаб	foolish
гъоркьахӀетӀе	foot
футбол	football
гъолъие	for
масала	For example
масала	for instance
дуе	for you
бегьулареб	forbidden
хӀал	force
ундулниги ин цебеккунго бицин	forecast
нодо	forehead
къватӀисеб улкаялъул	foreign
рохь	forest
кидагоялъе	forever
тӀолабго гӀумруялъего	forever
миркалъго	forever
к	forget
очене	forget
тӀаса лъугьине	forgive
кӀочене	forgot
гӀучӀ	fork
форма	form
формальный	formal
вукӀарав	former
талихӀалъ	fortunately
икъбал	fortune
бергьенлъи	fortune
талихӀккей	fortune
битӀккей	fortune
кӀикъого	forty
кӀикъоя кӀиго	forty-two
Цебе- цебе	forward
гӀизаби	foster
кьабола	fought
батизе	found
кьучӀ	foundation
ункъо	four
анцӀила ункъо	fourteen
перен	fox
чӀимигӀаб	fragile
хехго бекулеб	fragile
гӀурхъи	frame
рамки	frame
къучӀ	framework
рама	framework
хӀалихьатаб	fraud
бетӀер сверарав	freak
гӀадалав	freak
гӀакълу гьечӀев	freak
эркенаб	free
эркенлъи	freedom
цӀорозабизе	freeze
гӀемерлъи	frequency
хӀалаб	frequent
тӀатӀала букӀунеб	frequent
гьарзаго	frequently
чанго нухалъ	frequently
гӀемерцӀул	frequently
ризго	frequently
гӀемер нухалъ	frequently
цӀияб	fresh
туричӀеб	fresh
цӀекӀлъичӀеб	fresh
ккалачӀеб	fresh
бечӀачӀеб	fresh
тӀабу-тӀинчӀеб	fresh
ахӀанже бетӀараб	fresh
махӀцинчӀеб	fresh
басралъичӀеб	fresh
бигинчӀеб	fresh
рузманкъо	friday
рузман	friday
холодильник	fridge
гьудул	friend
гьудуллъигун	friendly
гьалмагъзаби	friends
гьудуллъи	friendship
гьудул-гьалмагълъи	friendship
хӀинкъиви	frightened
хӀинкъизабулеб	frightening
къверкъ	frog
добаса	from
цебесеб	front
цебегӀан бугеб	front
цӀорозабураб	frozen
бакъвараб пихъ	fruit
пашманлъараб	frustrated
пашманаб	frustrated
цӀатӀари	fuel
Фулфулд	Fulfulde
цӀураб	full
рохел	fun
ихтилат	fun
ихтилат-кеп	fun
кеп	fun
аваданлъи	fun
ракӀгъей	fun
гьабулеб хӀалтӀи	function
тӀоцебусеб	fundamental
магӀирукъ	funeral
релъизарулеб	funny
цӀира	fur
квас	fur
ябагъи	fur
кутакалда ццин бахъараб	furious
ццидалаб	furious
ццин бахъараб	furious
къайи	furniture
цинги	further
гьелде тӀадеги	furthermore
букӀинесеб	future
бакӀаризе	gain
бахине	gain
хӀай	game
зазор	gap
гараж	garage
рищни	garbage
ах	garden
ражи	garlic
гъапу	gate
рагьу	gate
каву	gate
каваби	gate
бакӀаризе	gather
дандчӀвай	gathering
борцине	gauge
рикӀкӀалъизаби	gave
нахъбахъи	gave
жанисеб гӀуцӀи	gear
жинс	gender
бихьинлъи-цӀулъи	gender
сундуего гӀаммаб	general
сахго	generally
баккизабизе	generate
наслу	generation
сахаватаб	generous
гьунар бугев чи	genius
къагӀида	genre
куц	genre
хӀеренаб	gentle
хӀакъикъияб	genuine
квералъ	gesture
бетӀералъ гьабулеб ишара	gesture
щвана	get
ретӀел ретӀине	get dressed
вахъине	get up
хехго сахлъе	get well soon
щолев	getting
рухӀ	ghost
рухӀ	ghosting
залим	giant
сайигъат	gift
имбирь	ginger
яс	girl
гьудулай	girlfriend
кье	give
мукӀурлъизе	give up
къун чӀезе	give up
кьураб	given
рохел	glad
бер реччизе	glance
матӀу	glass
цӀороберал	glasses
лъайчӀгун бихьизе	glimpse
глобалияб	global
вигъарав	gloomy
кьерхарав	gloomy
гъванилав	gloomy
гӀунцарав	gloomy
гвадачал	gloves
квердаххелал	gloves
кунчӀкунчӀизе	glow
гвангъизе	glow
нур базе	glow
кенчӀезе	glow
кенчӀезе	glow up
сину	glue
ана	go
цебе	go ahead
а	go away
кьишизе вахине	go to bed
ишан	goal
гӀуж	goal
цели	goals
цӀе	goat
бетӀергьан	god
сахго рукӀа	god bless you
ина буго	goes
ина вугев	going
ракӀарула буго	going to
месед	gold
ана	gone
хӀурлъула вуго	gonna
ине	goo
вилъине	goo
лъикӀин	good
лъикӀаб къо	good afternoon
рихьила	good bye
лъикӀаб къо	good day
лъикӀаб къасимех	good evening
лъикӀаб хӀалтӀи	good job
лъикӀаб куц-бегӀалда вихьула	good looking
битӀккейги	good luck
радал лъикӏ	good morning
доброе утро,дир рокьи	good morning my love
сордо лъикӀ	good night
рихьила	goodbye
сордо лъикӀ	goodnight
культтоварал	goods
гугл	Google
гугл переводчик	Google Translate
хъаз	goose
чӀурканаб	gorgeous
марага	gossip
щвана	got
биччана	got it
хӀукумат	government
кквезе	grab
къимат кьей	grade
дагь-дагь ккун	gradually
цӀали тӀубан	graduate
къватӀиве виччалев чи	graduate
мугь	grain
мугьажир	grant
кьураб	granted
цӀибил	grapes
бичӀчӀизе	grasp
хер	grass
баркала лъалев	grateful
баркала	gratitude
хоб	grave
цӀахӀилаб	gray
лъикӀин	great
хъантӀи	greed
къарумлъи	greedy
гӀурччинаб	green
салам кьезе	greet
салам кьей	greeting
салам кьезе	greetings
цӀахӀилаб	grey
сетка	grid
гьин	grid
хьури	grid
къварилъи	grief
ургъел	grief
хъуризе	grind
ххине	grind
хантӀан босизе	grip
продуктал ричулеб тукен	grocery
бахӀарав	groom
хайир	gross
ракь	ground
къокъа	group
тӀел	group
бижизе	grow
бижи	growth
кӀудияб гӀей	growth
ццин бахъараб	grumpy
ццидахараб	grumpy
ццидалаб	grumpy
Гъварани	Guarani
букӀинаби	guarantee
чӀезаби	guarantee
жавабчилъи	guarantee
цӀунизе тӀаде боси	guarantee
жаваб кьей	guarantee
хъаравуллъи гьабизе	guard
лъана	guess
гьобол	guest
нухмалъи	guidance
бетӀерлъи гьаби	guidance
туристазда  нух бихьизабулев чи	guide
гӀайибаб	guilty
гӀолилав	guy
лъимал	guys
спортзал	gym
гӀамал	habit
хасият	habit
тӀабигӀияб сверун кквей	habitat
букӀана	had
горо	hail
горо-цӀер	hail
цӀер	hail
рас	hair
кӀийил бутӀа	half
бащалъи	half
бащдаб	half
зал	hall
квер	hand
низамалде ккезабизе	handle
нухда тӀамизе	handle
берцинав	handsome
берцинаб	handsome
берцинай	handsome
дализабизе	hang
кеп гьабизе	hang out
аваданлъи гьабизе	hang out
хӀанчӀизе	happen
лъугьине	happened
талихӀ	happiness
роххел	happy
баркула мун гьавурабӀгьаюраб къо	happy birthday
баркула дуда мун гьавураб къо	happy birthday to you
баркула цӀияб сон	happy new year
захӀмат	hard
тамашха	hardly
гӀага-шагарго киданиги	hardly ever
хвезабизе	harm
зарараб	harmful
зиянаб	harmful
гармония	harmony
кьварарав	harsh
бачӀин	harvest
Буго	has
бокьунгутӀизе	hate
буго	have
лъикӀаб къо	have a good day
гьарула дуе лъикӀаб къо	have a nice day
радал кваназе	have breakfast
аваданлъи гьабизе	have fun
гьабизе	have fun
мун кванари	have you eaten
букӀаго	having
хӀинкъи	hazard
накӀкӀ	haze
гӀодонакӀкӀ	haze
русулнакӀкӀ	haze
гъов	he
досул буго	he has
гьев вуго	he is
бетӀер	head
ботӀрол унти	headache
вусинавизе	heal
дару гьабизе	heal
сахлъизе	healing
сахлъи	health
сахаб	healthy
рагӀине	hear
рагӀизе	heard
ракӀ	heart
РакӀ	heat
алжан	heaven
захӀматаб	heavy
рихха-хочи	hectic
борхалъи	height
варис	heir
ирсилав	heir
инсухъачи	heir
талагъи	heist
талавур гьаби	heist
хъамал гьаби	heist
ккуна	held
жужахӀ	hell
ворчӀамиӀйорчӀами	Hello
йорчӀами хирияй- for girls, ворчӀами хирияв -for boys	hello dear
рорчӀами, мун щабула вугев	hello how are you
салам,щибула вугев	hello how are you doing
хасаб тӀагъур	helmet
кумек	help
кумекияб	helpful
гьедин бугелъул	hence
гьединлъидал	hence
долъул	her
рехьед	herd
доба	here
ирс	heritage
щаклъизе	hesitate
леӀйо	Hey
ворчӀамиӀйорчӀами	Hi
салам,кин вуге	hi how are you
киназего салам	Hi there
бахчун тараб	hidden
балъго гьабураб	hidden
бахчараб	hidden
бахчизе	hide
тӀадегӀанаб даражаялъулазе тартибалда гъоркьиял даражабазул мутӀигӀлъиялъулаб низам	hierarchy
борхалъи	high
батӀалъизе	highlight
цере ин	hike
лъелго ини	hiking
кеплъурав	hilarious
гохӀ	hill
досул	him
бичӀчӀизелъун абизе	hint
мачӀчӀ	hip
мачӀчӀаби	hips
хӀалтӀизе лъугьине	hire
налъи	hiring
досул	his
история	history
кьабизе	hit
Хм	Hmm
гьабизе бокьулеб жо	hobby
ккой	hold
борхун ккойзе	hold on
каратӀ	hole
байрам	holiday
чӀобогояб	hollow
рукъ	home
рокъобе хӀалте	homework
ритӀухъав	honest
намус бугев	honest
вацӀцӀадав	honest
ракӀ бацӀцӀадав	honest
витӀарав	honest
яхӀ-намусалда	honestly
гьоцӀо	Honey
яхӀ	honor
намус	honor
капюшон	hood
кӀич	hook
къокъ кӀанцӀи	hop
божи	hope
хьулгул	hopefully
безнадежный	hopeless
горизонталъул хӀуччалда битӀараб	horizontal
лълъар	horn
ракӀ гъанцӀизабулеб	horrible
гӀасияб	horrible
ракӀ хӀинкъизабулеб	horrible
ракӀ зунизабулеб	horrible
ужастик	horror
чу	horse
азархана	hospital
гьобол вокьи	hospitality
бетӀергьан чи	host
тушманлъиялъулаб	hostile
тушманаб	hostile
багӀари	hot
гостиница	hotel
сагӀат	hour
сагӀат	hours
рукъ	house
хъизан	household
кин	how
мун щабула?	how about you
мун щабула	how are you
мун щабула вугевӀйигей	how are you doing
мун щабула жакъа	how are you doing today
нуж жакъа кин руге	how are you today
щибула вуге	how do you do
кин	how is
кигӀан	how many
чан	how many
кигӀаналде	how much
кигӀан гӀемер	how often
дуе чан сон бугеб	how old are you
дур къо кин араб	how was your day
маркӀачумех книн араб	how was your night
амма	however
бакьулъбакӀ	hub
рос	hubby
къвал базе	hug
каранде къазе	hug
кӀудияб	huge
гӀадан	human
инсан	human
чи	human
нич бугеб	humble
регьел бугеб	humid
рагьлилаб	humid
биччараб	humid
хӀеккин	humidity
биччи	humidity
регьел букӀин	humidity
нусго	hundred
вакъи	hungry
чан гьабизе	hunt
чанаве хьвадизе	hunt
чанахъанлъи гьабизе	hunt
перен	hurricane
гӀедегӀизе	hurry
гӀедегӀизе	hurry up
унтана	hurt
рос	husband
гӀедегӀизе	hustle
хъошрукъ	hut
рацӀцӀалъи	hygiene
дун	I
дун	I am
дун лъикӀ вуго	I am fine
дида кӀола	I can
дида кӀоларо	I can't
дица гьабула буго	I do
дида лъаларо	I do not know
дида биччуна гьечӀо	I do not understand
дун горо	I don't
дида лъаларо	I don't know
дида расги бичӀинчӀо	I don't understand
дида биччуна гьечӀо дуца абула бугеб жо	I don't understand what you mean
дида вичӀчӀуна гьечӀо мун	I don't understand you
дида лъаларо	I don’t know
дида бичӀчӀинчӀо	I don’t understand
батила	i guess
дица абула букӀана	I had
дир буго	I have
дун вукӀана	I have been
дир талихӀ гьеб гьедин батиларо	I hope so
дида лъала	I know
дие данде ккола	I like
дие мун данде ккола	I like you
дие бокьула	I love
дике вокьула дирго кӀудияв вац	I love my big brother
дие йокьула дтрго кӀудияй яц	I love my big sister
дие вокьула дирго эмен	I love my father
дие вокьула дирго гьитӀинав вац	I love my little brother
дие йокьула дирго гьитӀинай яц	I love my little sister
дие йокьула дирго эбел	I love my mother
дин мун вокьулаӀйокьула	I love you
дие мун пасат йокьула	I love you so much
дие мун пасат вокьула	I love you so much
диеги мун вокьула	I love you too
дица абула букӀана	I mean
Дун урхъун йиго дуда	I miss you
дун урхъун вуго дуда	I miss you
дун духъа цӀакъ урхъун вуго	I miss you so much
дида бихьула	I see
дун ургъула вуго	I think
дида бичӀана	I understand
дие бокьун буго	I want
дие мун вихьизе вокьун вуго	I want to see you
дие мун вокьун вуго	I want you
дун вукӀана	I was
дун йикӀана	I was
дица гьабила	I will
дун вукӀунаан	I would be
дун	I'm
дун лъикӀ вуго	I'm fine
ниж лъикӀ руго	I'm fine
дун лъикӀ йиго	I'm fine
дун лъикӀ вуго	I'm good
дун гьанива вуго	I'm here
тӀаса лъугьа	I'm sorry
цӀер	ice
мороженое	ice cream
пикру	idea
цӀакъ лъикӀаб	ideal
цӀакъаб	ideal
хӀисаб гьечӀого	ideal
тӀубан релълъараб	identical
гьединабго	identical
цого гӀадаб	identical
