chuchoko	a little
giya	gear
jenda	gender
waliyose	general
kawirikawiri	generally
panga	generate
muwiro	generation
wakupeleka	generous
zeru	genius
mtundu	genre
ŵakuzika	gentle
unenesko	genuine
kuyowogha na mawoko	gesture
tola	get
vwala	get dressed
imilila	get up
uchile lubilo	get well soon
kutola	getting
muzukwa	ghost
kuleka kughanaghanira	ghosting
chikuru	giant
mphaso	gift
jinja	ginger
musungwana	girl
chibwezi	girlfriend
peleka	give
gongoba	give up
kupasika	given
kukondwa	glad
beka	glance
uteka	glass
magalasi	glasses
kubeka	glimpse
chalo chose chapasi	global
kuwa na chitima	gloomy
Magulovu	gloves
kuwala	glow
kuwala	glow up
glue	glue
luta	go
lutilira	go ahead
luta uko	go away
luta ukagone	go to bed
chilato	goal
vilato	goals
mbuzi	goat
chiuta	god
chiuta wakutumbika	god bless you
luta	goes
luta	going
nkhuluta ku	going to
golide	gold
kuluta	gone
kuzamuŵa	gonna
goo	goo
makola	good
watandala uli	good afternoon
malayilano	good bye
zuba liwemi	good day
usiku uwemi	good evening
ntchito iwemi	good job
kuoneka makola	good looking
viwemi vose	good luck
wauka uli	good morning
mwauka uli	good morning
wauka uli wakutemweka	good morning my love
usiku uwemi	good night
naluta	goodbye
usiku uwemi	goodnight
katundu	goods
Google	Google
Google Translate	Google Translate
chiyuni	goose
kutowa	gorgeous
miseche	gossip
sanga	got
napulika	got it
boma	government
kola	grab
giredi	grade
pachokopachoko	gradually
kumala masambiro	graduate
ngoma	grain
peleka	grant
kupelekwa	granted
mpheska	grapes
kukora	grasp
uteka	grass
kukhutiskika	grateful
wonga	gratitude
dindi	grave
gireyi	gray
makora	great
chigolo	greed
chigolo	greedy
mtundu wa girini	green
tauzga	greet
tauzga	greeting
tauzga	greetings
mtundu wa gireyi	grey
mizere yakujumphanajumphana	grid
chitima	grief
kuswa	grind
kukoleska	grip
malo ghakuguliskira	grocery
kupwelelera thupi	groom
ndalama zose	gross
pa balaza	ground
ungano	group
kula	grow
kukura	growth
mukali	grumpy
Guarani	Guarani
chakumanyikikwa	guarantee
mulonda	guard
lota	guess
mulendo	guest
marango	guidance
longozga	guide
khuzika	guilty
munyamata	guy
wanyamata	guys
malo ghakulimbisyirako thupi	gym
chozgowezi	habit
malo ghakukhalamo	habitat
waka-	had
chivula cha mabingu	hail
sisi	hair
hafu	half
holo	hall
woko	hand
kola	handle
kuwoneka makola	handsome
kukoleka	hang
kucheza	hang out
chitika	happen
kupangika	happened
kondwa	happiness
kondwa	happy
zuba lakubabika	happy birthday
chaka chiwemi chakubabika	happy birthday to you
chika chphya chiwemi	happy new year
gwa	hard
kutondeka	hardly
kanandi yayi	hardly ever
chiluwani	harm
chihabi	harmful
chipulikano	harmony
ukali	harsh
kuvuna	harvest
wali na	has
kutinkha	hate
kuwa na	have
zuba liwemi	have a good day
khala na zuba liwemi	have a nice day
irya chakurya cha mulenji	have breakfast
kondwani	have fun
warya	have you eaten
kuba na	having
ngozi	hazard
nkhungu	haze
iyo	he
wali na	he has
iyo wali	he is
mutu	head
mutu kuwinya	headache
chila	heal
kupola	healing
umoyo	health
umoyo uwemi	healthy
pulika	hear
pulika	heard
mutima	heart
wotcha	heat
kuchanya	heaven
uzito	heavy
wakutangwanika	hectic
utali	height
wakuhala	heir
kuwukira	heist
chitikira	held
gahena	hell
Monire	Hello
monile wakutemweka	hello dear
monile uli makola	hello how are you
monile uli makola	hello how are you doing
chisoti chakuvikilira	helmet
vwira	help
phindu	helpful
ntheura	hence
iyo	her
mskambo	herd
pano	here
chiharo	heritage
gongowa	hesitate
Iwe	Hey
Monile	Hi
monile uli makola	hi how are you
muli uli uko	Hi there
vyakubisika	hidden
bisama	hide
ndondomeko	hierarchy
kuchanya	high
ngweluska	highlight
kwela phili	hike
kukwera vitunda	hiking
wakukondweska	hilarious
chiduli	hill
iyo	him
fundo	hint
hipi	hip
chiuno	hips
hayala	hire
kulemba ntchito	hiring
wake	his
mbiri	history
tchaya	hit
Hmm	Hmm
kusangwa	hobby
kolela	hold
kolela nthena	hold on
khululu	hole
holide	holiday
chidowo	hollow
kunyumba	home
milimo ya panyumba	homework
chilungamo	honest
unenesko	honestly
Uchi	Honey
ntchindi	honor
hudu	hood
chakuwejera nsomba	hook
kusinthika	hop
chigomezgo	hope
tikugomezga	hopefully
kwambula chigomezgo	hopeless
cha m'mbali	horizontal
hutala	horn
kuofya	horrible
kuofya	horror
hatchi	horse
chipatala	hospital
kupokelera ŵalendo	hospitality
hositi	host
ŵakutinkhana	hostile
kuotcha	hot
hotelo	hotel
awala	hour
maora	hours
nyumba	house
pakhomo	household
wuli	how
iwe ke	how about you
uli uli	how are you
muli uli	how are you
uli uli	how are you doing
muli uli	how are you doing
uli makola mwahuno	how are you doing today
uli uli mwahuno	how are you today
monile	how do you do
wali uli	how is
vinandi uli	how many
zilinga	how much
kanandi uli	how often
uli na vyaka vilinga	how old are you
zuba lako languba uli	how was your day
usiku wako wanguba uli	how was your night
kweni	however
Habu	hub
mufumu wane	hubby
kuvumbatirana	hug
chikulu	huge
umunthu	human
jichepeska	humble
chinyezi	humid
chinyezi	humidity
zana	hundred
njala	hungry
kusokola	hunt
kavuluvulu	hurricane
endiska	hurry
yendiska	hurry up
kupweteka	hurt
mufumu wako	husband
gwira ntchito	hustle
chisakasa	hut
ukhondo	hygiene
Ine	I
ndine	I am
nili makola	I am fine
ningapanga	I can
ningachita yayi	I can't
nkhuchita enya	I do
nkhumanya yayi	I do not know
nkhupulikiska yayi	I do not understand
nkhuchita yayi	I don't
nkhumanya chara	I don't know
Nkhupulikiska yayi	I don't understand
nkhupulikiska yayi kuti ukung'anamulachi	I don't understand what you mean
Nkhukupilikiska yayi	I don't understand you
nkhumanya yayi	I don’t know
Nkhupulikiska yayi	I don’t understand
nkhusachizga	i guess
nkhawa na	I had
nili na	I have
Nkhawa	I have been
kuwa ngeti	I hope so
Nkhumanya	I know
Nkhutemwa	I like
nakutemwa	I like you
Nkhutemwa	I love
mudumbu wane nkhumutemwa	I love my big brother
mudumbu wane nkhumutemwa	I love my big sister
adada nkhuwatemwa	I love my father
mudumbu wane nkhumutemwa	I love my little brother
mudumbu wane nkhumutemwa	I love my little sister
amama nkhuwatemwa	I love my mother
nkhukutemwa	I love you
nkhukutemwa chomene	I love you so much
Ineso nkhukutemwa	I love you too
nkhung'anamula	I mean
Nakusoba	I miss you
Nakusoba chomene	I miss you so much
naona	I see
nkhuganiza	I think
nkhupulikiska	I understand
nkhukhumba	I want
Nkhukhumba nkhuone	I want to see you
nkhukhumba iwe	I want you
nkhawa	I was
ni-	I will
Nane ningaŵa	I would be
ine	I'm
nili makola	I'm fine
nili makola	I'm good
nili pano	I'm here
phepa	I'm sorry
ayezi	ice
ayisikilimu	ice cream
sachizgo	idea
chakwenelela	ideal
kuyana	identical
longola	identify
umo munthu waliri	identity
chizerezga	idiot
kugwira ntchito yayi	idle
pala	if
kuleka kughanaghanira	ignore
uluwali	ill
chambulakuzomelezgeka	illegal
uluwali	illness
Ilocano	Ilocano
chithuzi	image
ganiza	imagine
sonosono	immediate
nyengo yeneyiyo	immediately
nyika	immense
khwaska	impact
kulije kulindilira	impatient
kukhazikiska	implement
chmeska kufuma kuwalo	import
chakukhumbikwa	important
kuwikapo waka	impose
vingachitika yayi	impossible
kukondweska	impress
kuwoneka makora	impression
chakuzizwiska	impressive
kuchita makola	improve
kusintha	improvement
mu	in
kusazgilapo	in addition
Na kuti	In fact
kunthazi kwa	in front of
kuti	in order to
zakwenelera yayi	inappropriate
chikhwimisko	incentive
chakuchitika	incident
sazgilapo	include
kusazgilamo	including
ndalama izo ukusanga	income
kusokonekera	inconvenience
sazgilapo	increase
kusazgilapo	increased
kuzizwiska	incredible
ntheula	indeed
kuyima pa wekha	independent
India	India
longola	indicate
wa mucharu chawo	indigenous
munthu yumoza	individual
makampani	industry
mwambura kutondeka	inevitable
mwana	infant
kutola matenda	infection
muliyayila	infinity
kutupa	inflammation
kukwela	inflation
nkhongono	influence
phalira	inform
uthenga	information
vyakusakaniza	ingredients
vyakutolera	inheritance
chakwamba	initial
chita mwakwenerera	initiative
kujipweteka	injured
kupwetekeka	injury
wambula kunanga	innocent
kusinthika	innovation
fumbiska	inquiry
funtha	insane
chakuduka	insect
ŵakugomezga yayi	insecure
kunjirisa	insert
mukati	inside
kumanya vinthu	insight
kanilila	insist
kusowa tulo	insomnia
kukhuŵilizgika	inspiration
kuchiska	inspire
kuŵika	install
chiyezgelelo	instance
nakalinga	instant
mmalo mwakhe	instead
mmalo mwa	instead of
malamulo	instructions
chipangizo	instrument
tuka	insult
inshuransi	insurance
kwambula kunangika	intact
kugomezgeka	integrity
wakughanaghana makora	intellectual
zeru	intelligence
zeru	intelligent
kukhumba	intend
kunozgekera	intended
mwakukwana	intense
khumbilo	intention
chezga	interact
kuchezga	interaction
chiwongoladzanja	interest
khumbo	interested
vakukondwesa	interesting
kunjililapo	interfere
kukhalapakati	intermediate
vyamukati	internal
mu chalo chose	international
kusambilila	internship
ng'amamulila	interpret
wakung'anamula	interpreter
kudumula	interrupt
intaviyu	interview
zunura pakweru	intimate
mu	into
woneskani	introduce
mazgu ghakwamba	introduction
wakujibisa	introvert
vinjeru vakubabika navo	intuition
chakuleka kugwira ntchito	invalid
panga	invent
chiŵerengero cha katundu	inventory
kusanga phindu	invest
fufuza	investigate
kuchema	invitation
chema	invite
invoice	invoice
kukhwaska	involve
kukhwasika	involved
aironi	iron
ni	is
chilumba	island
kusankhika	isolated
makani	issue
nkhani	issues
iyo	it
ni	it is
vikawa	it was
ni	it's
vili makora	it's ok
vili makora	It's okay
chithu	item
vinthu	items
ni	its
ine	I’m
jekete	jacket
jele	jail
Januwale	January
chigubu	jar
chiwangwa	jaw
sanji	jealous
chindere	jerk
vyakujitoweskera	jewelry
ntchito	job
kutchimbila	jogging
lumikiza	join
kujoyinana	joint
ntchezgo	joke
mutolamakani	journalist
ulendo	journey
kukondwa	joy
mweruzgi	judge
juwisi	juice
july	july
duka	jump
juni	june
viswaswa	junk
waka	just
panga waka	just do it
chilungamo	justice
kulungamitsa	justify
Kalaallisut	Kalaallisut
wakunweka	keen
sunga	keep
lutilizga	keep it up
sunga	kept
ketulo	kettle
kiyi	key
tchaya na lundi	kick
mwana	kid
kuchezgapo waka	kidding
iphyo	kidney
bana	kids
koma	kill
lusungu	kind
nthena	kinda
mwa mtima uwemi	kindly
lusungu	kindness
fumu	king
kufyofyontha	kiss
khitchini	kitchen
kaiti	kite
mwana wa chona	kitten
khongono	knee
manya	knew
chimayi	knife
kumanya	know
kumanya	knowledge
kumanyikwa	known
Konkani	Konkani
Krio	Krio
lebo	label
ntchito	labor
ntchito	labour
soba	lack
makwelelo	ladder
mwanakazi	lady
kuwikika	laid
nyanja	lake
mbelele	lamb
kupendera	lame
nyali	lamp
malo	land
umo bwalo liliri	landscape
chiyowoyelo	language
ma malundi	lap
chikulu	large
umalilo	last
chaumalilo kweni chaumalilo viwi yayi	last but not least
zina la dada	last name
chedwa	late
pakati apa	lately
nyengo inyakhe	later
sono	latest
waumaliro	latter
seka	laugh
seka	laughing
seka	laughter
chakulya cha muhanya	launch
vyakuchapa	laundry
malamulo	law
LA	lawn
loya	lawyer
wika	lay
kusanjana	layer
umo ukuzengera	layout
ulesi	lazy
dangilila	lead
mulongozgi	leader
hamba	leaf
nthonya	leak
yagamila	lean
kujowa	leap
sambila	learn
kusambila	learning
nyumba ya renti	lease
pachoko	least
chikopa	leather
wika	leave
mahamba	leaves
kulongozgeka	led
mazele	left
lundi	leg
mbiri	legacy
chakuzomelezgeka	legal
nthano	legend
unenesko	legit
vyakusanguluska	leisure
bweleka	lend
utali	length
pachoko	less
sambilo	lesson
chita chisankho	let
kalata	letter
letesi	lettuce
mulingo	level
kupindulira	leverage
ngongole	liability
layibulale	library
kumyanga	lick
utesi	lie
utesi	lies
umoyo	life
nyamula	lift
ungweru	light
leza	lightning
temwa	like
mwambura kukayika	likely
mwakuyana waka	likewise
mzere	line
Lingala	Lingala
kukolerana	link
nkhalamu	lion
maji	liquid
mazina	list
pulikizga	listen
kupulika	listening
nadi	literally
mabuku	literature
taya bwekabweka	litter
pachoko	little
moyo	live
chiwindi	liver
miyoyo	lives
kukhalapo	living
pabalaza	living room
mutondoli	lizard
longeza	load
lofu	loaf
ngongole	loan
kwinu uko	local
malo	location
loko	lock
lockdown	lockdown
chipika	log
phukwa	lonely
chitali	long
nyengo itali no kukuona	long time no see
beka	look
lupu	loop
luza	loose
fumu	lord
kutayika	lose
kuluza	loss
taya	lost
unandi	lot
chemelezga	loud
balaza	lounge
kutemwa	love
chitemwa	love
nkukutemwa	love you
mwakutemweka	lovely
pasi	low
pasi	lower
kugomezgeka	loyal
kupulikila	loyalty
mwabi	luck
mwabi	lucky
Luganda	Luganda
chikwama	luggage
nyali	lump
chakurya cha muhanya	lunch
maphapu	lungs
vyakusewela	luxury
khala	lying
makina	machine
funtha	mad
mama	madam
pangika	made
magazini	magazine
towa chomene	magnificent
watchito	maid
yikuru	main
phiri	maintain
nozga mwakuzgelapo	maintenance
Maithili	Maithili
yikuru	major
wanandi	majority
panga	make
katowesyelo	make up
mwanalume	male
malo gha malond	mall
mwanalume	man
panga	manage
mabwana	management
manejala	manager
khumbika chomene	mandatory
chipharazgo	manifest
kwendeska vinthu mwa luso	manipulate
kachitiro	manner
buku	manual
vinandi	many
zuwa liwemi	many many happy returns of the day
malichi	march
mumphepete	margin
musika	market
nthengwa	marriage
tengwa	married
chiskango	mask
unandi	mass
bwana	master
yaniska	match
mnyake	mate
vipangizo	material
samuzi	math
makani	matter
kakhomelo	maturity
-nga-	may
panyakhe	maybe
ine	me
ineso	me too
chakurya	meal
kung'anamula	mean
ng'anamulo	meaning
kung'anamura	means
wakang'anamuranga	meant
sono	meanwhile
chiyezgo	measure
vipimilo	measures
nyama	meat
vyachipatala	medical
mankhwala	medicine
kughanaghanirapo	meditation
pakatikati	medium
kumana	meet
ungano	meeting
Meiteilon	Meiteilon
sungunuka	melt
kukumbukila	memories
chikumbusko	memory
maghanoghano	mental
zunula	mention
zunulika	mentioned
mlongozi	mentor
wakugula	merchant
lusungu	mercy
wakawaka	merely
dazi lakubabika yesu liwemi	merry christmas
nanga	mess
uthenga	message
ukazuzi	messy
chisulo	metal
nthowa	method
mbewa	mice
pakati	middle
pakati pa usiku	midnight
wang-	might
pakatikati	mild
chakuchitika chikulu	milestone
wasilikali	military
mukaka	milk
miliyoni	million
vya mutima	mind
maghanoghano	mindset
chane	mine
kusakanikirana	mingle
mwana	minor
miniti	minute
maminiti	minutes
munthondwe	miracle
galasi lakuwonera	mirror
vakupambanapambana	miscellaneous
nkharo yiheni	mischievous
wachitima	miserable
minthondwe	misery
soba	miss
nakusoba	miss you
kusoba	missing
chilato	mission
chiwuvi	mist
kunangiska	mistake
Mizo	Mizo
kwendakwenda	mobile
kutoza	mock
chakuyelezgera	model
pachoko	moderate
vyasono	modern
pachoko	modest
mutika	moist
chinyontho	moisture
kanyama kachoko	mole
amama	mom
nyengo	moment
pa mande	monday
kopala	money
bekelela	monitor
munkhwere	monkey
mwezi	month
mtima	mood
wa mtima	moody
mwezi	moon
nkhalo	moral
vindandi	more
kweniso	moreover
mulenji	morning
ngongole ya nyumba	mortgage
wanandi	most
chomenechomene	mostly
amama	mother
mayendero	motion
kukhuŵilizgika	motivation
phiri	mountain
mbewa	mouse
mulomo	mouth
suntha	move
kwendakwenda	movement
filimu	movie
mrs	mrs
vinandi	much
matope	mud
kapu	mug
nyama	muscle
miziyamu	museum
nkhowani	mushroom
sumu	music
kwenera	must
chete	mute
kwambura kutora mbali	mutual
lane	my
wakutemweka	My dear
munyane	my friend
Sitima yane yazula na somba zakuwoneka nga njoka	My hovercraft is full of eels
wakutemweka wane	my love
zina lane ni	my name is
ni mwaŵi wane	my pleasure
ine	myself
vyamunthondwe	mysterious
munthondwe	mystery
munthondwe	myth
njobe	nail
ŵambura mahara	naive
zina	name
kalongosolelo	narrative
chifinyi	narrow
chiheni	nasty
fuko	national
mutundu wa munthu	nationality
mbadwa	native
chilengedwe	natural
chilengedwe	nature
nseru	nausea
pafupi	near
pafupi	nearby
pafupifupi	nearly
wambura kubinkha	neat
kukhumbukwa	necessary
singo	neck
majuda	necklace
khumba	need
viheni	negative
kulekelela	neglect
pulikana	negotiate
mubale wakubanyana naye nyumba	neighbor
wakuyandikana nawo	neighborhood
yayi	neither
mzukulu	nephew
chita wofi	nervous
chivwimbo	nest
neti	net
netiweki	network
panda mbali	neutral
yayi	never
kugongowa yayi	never give up
vilije kanthu	never mind
vilije ntchito	nevermind
kweni	nevertheless
nyuwani	new
makani	news
chinyakhe	next
pafupi na	next to
vili makola	nice
naonga kuti takumana	nice to meet you
mzukulu	niece
usiku	night
maloto	nightmare
vinkhondi na vinayi	nine
khumi na vikhondi na vinayi	nineteen
makumi ghankhondi na ghanayi	ninety
Yayi	No
palije suzgo	no problem
ntchakukwana yayi	no way
palije	nobody
chiwawa	noise
wa chiwawa	noisy
palije	none
muhanya	noon
yayi	nope
panji	nor
waka	normal
kumpoto	north
mphuno	nose
maghanoghano ghakuwerera	nostalgic
yayi	not
yayi	not at all
chiheni yayi	not bad
sono yayi	Not now
sono yayi	not yet
chimanyisko	note
pulika	noted
palije	nothing
chenjezgo	notice
kumanyikwa	noticed
zina	noun
mazina	nouns
novelo	novel
novembala	november
sono	now
mazubaghano	nowadays
suzga	nuisance
vakukhumbikwa yayi	null
zanzi	numb
nambala	number
nesi	nurse
skawa	nut
nutmeg	nutmeg
chakurya chakupereka thanzi	nutrition
lumbila	oath
kututuwa chomene	obesity
pulikila	obey
chinthu	object
chilato	objective
udindo	obligation
nyoza	obscure
kubekelelapo	observation
bekelela	observe
kutemwa chomene	obsessed
kutoleka	obsession
vyakunangika	obsolete
chakujanda	obstacle
tola	obtain
kutola	obtained
vyakuwonekeratu	obvious
mwambura kukayika	obviously
panyengo	occasionally
ntchito iyo ukugwira	occupation
kutola malo	occupied
kuchitika	occur
chitika	occurred
vikuchitika	occurs
nyanja ya muchere	ocean
okutobala	october
ghambura kwenelera	odd
viyezgo	odds
wa	of
nadi	of course
kuzimwa	off
kunangila	offensive
pasa	offer
ofesi	office
kuzomerezeka mwakwenerera	official
kawirikawiri	often
Oh	Oh
nadi	oh really
mafuta	oil
enya	ok
napulika wakutemweka	ok dear
enya wakutemweka wane	ok honey
napulika wakutemweka	ok my love
napulika	okay
chabwino wakutemweka	okay baby
napulika wakutemweka	okay dear
enya wakutemweka	okay honey
napulika wakutemweka	okay my love
vyakale	old
pa	on
kamoza	once
chimoza	one
chiyowoyelo chimoza chikukwanila yayi	one language is never enough
hanyezi	onion
pa intaneti	online
yekha	only
jula	open
kagwiridwe ka ntchito	operation
chiganizo	opinion
mwabi	opportunities
mwabi	opportunity
wakususkana nayo	opposite
wakukhorwa	optimistic
sachizgo linyakhe	option
mwakusankha	optional
olo	or
olanje	orange
ndondomeko	order
waka	ordinary
bungwe	organization
kuwunikira	orientation
kwakufumila	origin
cheneko	original
Oromo	Oromo
mulanda	orphan
vinyakhe	other
mu nthowa yinyake	otherwise
kwenerera	ought
vithu	our
kuti waliyose uko wali mu chalo chapasi wapulikiske vya chalo na kuyowoyapo mu chiyowoyelo chake	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Chilato chithu: kuwika makani pamoza kuti waliyose wawafikilenge nakuwagwilisa ntchito	Our mission: to organize the world's information and make it universally accessible and useful.
pawalo	out
vyakufuma	outcome
malaya	outfit
kuchezeka	outgoing
kufumila	outlet
ndondomeko	outline
pawalo	outside
kupambana vinyake	outstanding
uvuni	oven
kujumpha	over
apo	over there
palipose	overall
gonjeska	overcome
kuganiza chomene	overthinking
kondwa	overwhelmed
kuwuska mtima	overwhelming
ngongole	owe
kazizi	owl
chako	own
mweneko	owner
ng'ombe	ox
kayendero	pace
kupakira	pack
phukusi	package
pokela	paid
kuwawa	pain
penti	paint
kupenta	painting
viwiri	pair
kukhira nkhongono	pale
maoko ghakuryela	palm
chiwaya	pan
mulili	pandemic
kopha	panic
kabunthu	pants
pepala	paper
paladizo	paradise
vikuchitikira limoza	parallel
katundu	parcel
kugowoka	pardon
bapapi	parents
paki	park
paroti	parrot
luwande	part
kupanga nawo	participate
chomenechomene	particular
chomene	particularly
munyithu	partner
phwando	party
kwela	pass
nthowa	passage
kwela	passed
chitemwa	passion
kutemwa	passionate
wakuchita chinthu yayi	passive
chakunjilira cha chinsisi	password
masinda	past
chigamba	patch
nthowa	path
wakukhozga soni	pathetic
zizipizga	patience
muluwali	patient
ndondomeko	pattern
ima	pause
nthowa	pavement
lipila	pay
malipilo	payment
bata	peace
mutende	peaceful
pichesi	peach
pachimake	peak
pear	pear
ndozi	peas
zakuzwizwisa	peculiar
tunda	pee
funya	peel
nthanga	peer
nthanga	peers
chakulembela	pen
phesulu	pencil
kulindilira	pending
banthu	people
sabola	pepper
kumanya	perceive
kughanaghana	perception
chiwemi chomene	perfect
kuchita	perform
kachitiro	performance
panji	perhaps
nyengo	period
muyilayila	permanent
chilolezo	permission
zomelezga	permit
kuzizipizga	perseverance
kulimbikira	persistent
munthu	person
vyanekha	personal
wunthu	personality
maghanoghano	perspective
kakamiza	persuade
wakupuluka	pervert
chiweto	pet
luwande	phase
ivyo vichitikenge	phenomenon
vinjeru	philosophy
foni	phone
chithuzi	photo
fulezi mazgu	phrase
thupi	physical
kusankha	pick
tola	pick up
cithuzithuzi	picture
chidutswa	piece
viduswa	pieces
nkhumba	pig
nkhunda	pigeon
unjika	pile
pilo	pillow
pailoti	pilot
pini	pin
chinanazi	pineapple
mtundu wa pinki	pink
khululu	pit
mtunda	pitch
chitima	pity
malo	place
malo	places
mulili	plague
pambura kanthu	plain
dongosolo	plan
ndege	plane
chakumela	plant
vyakumela	plants
mbale	plate
malo ghakukhalapo	platform
kusebela	play
kusewela	playing
kukondweska	pleasant
chonde	please
kondwela	pleased
kukondwa	pleasure
lonjezo	pledge
vindandi	plenty
malo	plot
pulagi	plug
pulamu	plum
munthu wakunozga va maji	plumber
unandi	plural
nkhanira	podcast
ndakatulo	poem
vyandakatulo	poetry
fundo	point
poyizoni	poison
polisi	police
ndondomeko	policy
kuwa na ntchindi	polite
ukazuzi wa mphepo	pollution
chiziŵa	pond
chiziŵa	pool
bibi	poop
mukavu	poor
mwaluwiro	pop
ŵakumanyikwa	popular
unandi wa banthu	population
nkhumba	pork
bala	porridge
doko	port
udindo	position
pozitivi	positive
kuwa na	possess
vinthu ivo uli navo	possession
kutemwa kupoka vinthu	possessive
machitiko	possible
udindo	post
tondekeska	postpone
mboholi	potato
kuthekera	potential
sinja	pound
ukavu	poverty
nkhongono	power
nkhongono	powerful
vyakuchitika	practical
kuchita	practice
kuwonga	praise
utesi	prank
pemphelo	pray
chakuzirwa	precious
mwakuyowoyeska	precise
kudunjika	precisely
kulosera	predict
nkhutemwa	prefer
chakutemwa	preference
nthumbo	pregnant
kusankhana	prejudice
malo	premises
ndalama zakupereka kukontirakiti ya insuwalansi.	premium
kapangilo	preparation
panga	prepare
kunozgeka	prepared
mperekezi	preposition
kuŵapo	presence
sono	present
kulongosora	presentation
sunga	preserve
mlongozgi	president
kusindikizga	press
kupanikizgika	pressure
kughanaghana waka	pretend
kutowa	pretty
kanizga	prevent
kumanyuma	previous
nyama	prey
mutengo	price
kujikuzga	pride
muliska	priest
pulayimale	primary
khumbikwa chomene	prime
mwana wa fumu	princess
mkulu	principal
vindachitike	prior
kuŵika vinthu pakwamba	priority
jere	prison
vyakubisika	privacy
purayiveti	private
mwabi	privilege
mphotho	prize
mwambura kukayika	probably
suzgo	problem
nthowa	procedure
jumphilira	proceed
dongosolo	process
panga	produce
katundu	product
kapangilo	production
kunyenga	profession
nkhwantha	professional
mbiri	profile
phindu	profit
kuwa na mahara	profound
kupambana	progress
pulojekiti	project
wakutchuka	prominent
lonjeza	promise
kweza	promote
kukwezgeka	promotion
mwaluŵiro	prompt
wokutemwa	prone
wa njira m'malo mwa mazina	pronouns
katchuliro	pronunciation
ukaboni	proof
kwenelera	proper
makolamakola	properly
katundu	properties
katundu	property
phangano	proposal
kulindizga	prospect
umoyo uwemi	prosperity
chita makora	prosperous
bikila kumasinda	protect
kujikuzga	proud
kulongora	prove
peleka	provide
kupasika	provided
chigaba	province
kupeleka	provision
kumara msinkhu	puberty
pa gulu	public
guza	pull
majungu	pumpkin
kusunga nyengo	punctual
mwana	pupil
gula	purchase
wakutowa	pure
pepo	purple
ntchito	purpose
chikwama chamumawoko	purse
kulondezga	pursue
Kulondezga	pursuit
kankha	push
wika	put
masambilo	qualification
umo viliri	quality
unandi	quantity
kwarantini	quarantine
kukangana	quarrel
kotala	quarter
Quechua	Quechua
fumukazi	queen
kukayikira	queer
fumbo	query
fumbo	question
muzele	queue
lubilo	quick
lubilo	quickly
chetama	quiet
duveti	quilt
leka	quit
chete	quite
chiyezgo	quiz
mutengo	quotation
tchaja mtengo	quote
kuwerezga kuyowoya	quotes
kalulu	rabbit
mutundu	race
ukali	rage
vula	rain
imika	raise
kukulira	raised
tchimbila	ran
mwa bwekabweka	random
chiwerengero	range
luwilo	rapid
mwalubilo	rapidly
cha bweka yayi	rare
vibi yayi	rarely
sungu	rash
mbeba	rat
mtengo wa kopara	rate
m'malo mwake	rather
lesho	ratio
kughanaghana	rational
viwisi	raw
kufika	reach
kufikila	reached
kuzgoreka	reaction
kuwelenga	read
welenga	reading
kunozgeka	ready
unenesko	real
unenesko	reality
kumanya	realize
kumanya	realized
nadi	really
kumanyuma	rear
chifukwa	reason
wakupulikikwa	reasonable
kumbukila	recall
kupokera	receipt
poka	receive
pokela	received
vyasono	recent
sonosono	recently
pakwambila	reception
nthowa yakunozgera chakurya	recipe
kwambula kujipwelelela	reckless
kuzomerezgeka	recognition
manya	recognize
sachizga	recommend
kulimbikiska	recommended
rekodi	record
kuwezgelapo	recover
kusanga makora	recovery
rectangle	rectangle
uswesi	red
wombola	redeem
kuwombolera	redemption
chepeska	reduce
kuwelezga	redundant
fanizira	refer
ukaboni	reference
kughanaghanira	reflect
chithuzithuzi	reflection
kuleka kuchita	refrain
firiji	refrigerator
wezgelapo	refund
kana	refuse
wakakana	refused
ntchindi	regard
vya	regarding
mwambura kupwelerako	regardless
kutawuzga	regards
chigaba	region
kulembeska	register
kudandawura	regret
nyengo zose	regular
pafupipafupi	regularly
kana	reject
kukolelanako	relate
ubali	related
chibwezi	relationship
wachibale	relative
wabale	relatives
pumula	relax
kuleka	release
kumasulika	released
kolelanako	relevant
gomezgeka	reliable
kuwombokwa	relief
kulekiska	relieve
kupepusyika	relieved
chipembezgo	religion
chipembezo	religious
kugongowa	reluctant
kudalila	rely
khala	remain
kukhalapo	remaining
chakuzizwiska	remarkable
mankhwala	remedy
kumbukila	remember
kumbuska	remind
kumbuska	reminder
kutali	remote
funyapo	remove
peleka	render
renti	rent
nozga	repair
welezga	repeat
kufunyapo na kuwikapo chinyakhe	replace
zgolo	reply
ripoti	report
kuyimilila	represent
mbiri	reputation
sachizgo	request
kukhumbikwa	require
khumbikwa	required
pulumuska	rescue
kafukufuku	research
kukozgana	resemble
kukwiya	resentment
kusungiska	reservation
sunga	reserve
mzika	resident
leka	resign
kukhazikika	resilience
wakukhora	resilient
kana	resist
zizipizga	resistance
kumaliska	resolution
kusanga zgolo	resolve
malo ghakuchezgeramo	resort
vyakovyira	resources
ntchindi	respect
zgola	respond
zgolo	response
udindo	responsibility
kuwa na udindo	responsible
pumula	rest
pumula makola	rest in peace
malo ghakurya	restaurant
wezgelapo	restore
kanizga	restrict
zotsatira	result
vyakusatira	results
yambilaso	resume
kuguliska	retail
kusunga	retain
kusunga	retention
