a	sere
good day	salamakki allampa
good evening	salama bangngi
good job	bajina jama jamanta
good looking	gammara
good luck	semoga abbaruntung
good morning	salama baribbasa
good morning my love	salama baribasa, sayangku
good night	salama bangngi
goodbye	salama allampa
goodnight	salama bangngi
goods	barang barang
Google	Gogele
Google Translate	penterjemah googele
goose	angsa
gorgeous	gammarak dudu
gossip	gossi
got	gappa
got it	pahang
government	pammarenta
grab	anrampasa
grade	nilai
gradually	perlahan lahan
graduate	lulusu
grain	bulir
grant	assare
granted	nisare
grapes	angguru
grasp	appakokko
grass	rumput
grateful	sukkuru
gratitude	risukkurri
grave	kuburan
gray	lango lango
great	lompo
greed	ketamakan
greedy	balala
green	ijo
greet	menyapa
greeting	sallang
greetings	sallang
grey	lango lango
grid	kisi
grief	parrisi nyawa
grind	aggiling
grip	pattigallang
grocery	kebutuhan allo allo
groom	bunting burane
gross	bruto
ground	butta
group	kalompo
grow	ammunjulu
growth	pattimboang
grumpy	pemarah
Guarani	Guarani
guarantee	anjamin
guard	penjaga
guess	nakira
guest	toana
guidance	panduan
guide	angbimbing
guide	panduan
guilty	salai
guy	burane
guys	agan agan
gym	gym
habit	kabiasan
habitat	habitat
had	lebba
hail	akkio
hair	uuk
half	sitangnga
hall	aula
hand	lima
handle	nagaukangi
handsome	gammara
hang	angngentung
hang out	siagang nongkrong
happen	kajarian
happened	lebba kajariang
happiness	kasannanngan
happy	sannang
happy birthday	labbu umuru
happy birthday to you	salama ulang taung
happy new year	salama tahun beru
hard	terasak
hardly	sekedde tena
hardly ever	sikedde tena lebba
harm	loko
harm	allokoki
harmful	abbahaya
harmony	harmoni
harsh	kasara
harvest	akkatto
has	burakne pata
hate	angngurisi
have	punna
have a good day	semoga allo nu anne bajiki
have a nice day	semoga allo allota bajiki
have breakfast	nganre baribbasa
have fun	salamakki assannang sannang
have you eaten	lebba maki nganre
having	ia pata
hazard	bahaya
haze	kabut
he	burakne
he has	dia pata
he is	ia antu
head	ulu
headache	garring ulu
heal	gassing
healing	pagassingngang
health	kagassingang
healthy	gassing
hear	allangngere
heard	allangngere
heart	ating
heat	bambang
heat	dibambangi
heaven	suruga
heavy	battala
hectic	sibuk sanna
height	longga
heir	ahli waris
heist	parampokan
held	rita'gala
hell	naraka
Hello	Halo
hello dear	halo, sayang
hello how are you	halo apa kabar anntu
hello how are you doing	halo ante kamma kabara
helmet	helm
help	nabantu
helpful	matu matu
hence	saba antu
her	bai'baine
herd	kawanang
here	anrinni
heritage	warisan
hesitate	ragu ragu
hi how are you	hei ante kamma antu kabara
Hi there	woy anjorengnga
hidden	accakko
hide	accakko
hierarchy	hirarki
high	tinggi
highlight	menyorot
hike	annai
hiking	lintas alam
hilarious	pakakkala
hill	moncong
him	ia
hint	appijo'jo
hip	aya
hips	panggul
hire	ampanjama
hiring	appakajama
his	ia pata
history	sejarah
hit	ammajji
Hmm	hmm
hobby	hobbi
hold	naggala
hold on	tayang
hole	kalibon
holiday	allo libur
hollow	kosong
home	balla
homework	jama jaman balla
honest	jujuru'
honestly	sitojenganna
honor	anghormati
hood	akkalepu
hook	kai
hop	allumpa
hope	panggullei
hope	harapang
hopefully	semoga
hopeless	tena harapang
horizontal	horisontala
horn	pippi
horrible	appakamalla
horror	kengerian
horse	jarang
hospital	balla garring umum daerah
hospitality	keramahan
host	patanna balla
host	annarima tamu
hostile	agresif
hot	bambang
hotel	hotele
hour	jam
hours	jam
house	balla
household	rumah tangga
how	antekamma
how about you	antekamma ikau
how are you	apa kareba
how are you doing	antekamma kabara'nu
how are you doing today	antekamma kabara'nu anne alloa
how are you today	ante kamma kabaratta
how do you do	anteng kamma kabaratta
how is	antekamma
how many	siapa jaina
how much	siapa ballinna
how often	siapa serringna
how old are you	siapa umurunu
how was your day	ante kamma kabarata anne alloa
how was your night	antekamma bangnginu
however	ingka
hub	pusa
hubby	bura'ne
hug	pelukan
hug	arraka
huge	lompo dudu
human	tautau
humble	rendah hati
humid	akmasak
humidity	kelembaban
hundred	ratus
hungry	cipuru
hunt	angngondang
hurricane	badai
hurry	akkaro karo
hurry up	intakki
hurt	marrisi
husband	bura'ne
hustle	angdesak
hustle	keramaian
hut	pondok
hygiene	katangkasan
I	Nakke
I am	Nakke
I am fine	baji bajija
I can	akkuleja
I can't	nakke tena kulle
I do	nakke assadia
I do not know	tena ku issengi
I do not understand	tena ku ngarti
I don't	nakke teba
I don't know	Tena kuissengi
I don't understand	Tena ku issengngi
I don't understand what you mean	tena ku pahangi massuknu
I don't understand you	nakke tena kupaham massunu
I don’t know	tena ku issengi
I don’t understand	tena ku pahang
i guess	kukira
I had	nakke pata
I have	nakke pata
I have been	nakke lebba
I hope so	kuharap ki kamma anjo
I know	Kuissengi
I like	kungai
I like you	ku ngaiki
I love	nakke ngai
I love my big brother	ku ngai daeng ku
I love my big sister	ku ngai daengku
I love my father	ku ngai mangge ku
I love my little brother	ku ngai andi burane ku
I love my little sister	ku ngai andi baine ku
I love my mother	ku ngai ammakku
I love you	Kungaiko
I love you so much	sanna kungaita
I love you too	nakke ton kungaiki
I mean	massuknu
I miss you	Nakku ka ri kau
I miss you so much	nakke sanna nakkukku
I see	kammanjo
I think	punna inakke
I understand	ku paham mi
I want	eroka
I want to see you	nakke ero amuntuluki
I want you	eroka ri kau
I was	inakke
I will	nakke akan
I would be	nakke ero
I'm	Nakke
I'm fine	bajik bajikja
I'm good	nakke baji bajiji
I'm here	anrinniya
I'm sorry	pammopooranga
ice	es
ice cream	es krim
idea	ide
ideal	ideak
identical	singkamma
identify	mangngassengi
identity	identitas
idiot	tolo
idle	tena jaman
if	punna
ignore	ni tolak
ill	garring
illegal	liara
illness	garring
Ilocano	Ilocano
image	gambara
imagine	ambayangkan
immediate	tettere
immediately	silalonna
immense	sanna luarana
impact	beturan
impact	dampak
impatient	tena na sa'bara
implement	anggaukang
import	mengimpor
import	impor
important	parallu
impose	ammassa
impossible	tena mungkit
impress	appare kesan
impression	pakkasia
impressive	appakalannasa
improve	ammajiki
improvement	kanaikang
in	ilalang
in addition	pantaranganna anjo
In fact	nyatanya
in front of	ri dallekan
in order to	untuk
inappropriate	tena na pantas
incentive	insentif
incident	kajarin
include	antamai
including	antama tong
income	panggappang
inconvenience	tena nannyaman
increase	abbajiki
increase	pakanaik
increased	ripakanai
incredible	appakalannasa
indeed	memantong
independent	mandiri
India	India
indicate	anjojoki
indigenous	asli
individual	kale kale
industry	paberek
inevitable	tena kulle ri hindari
infant	ana lolo
infection	infeksi
infinity	ketakterbatasan
inflammation	arra'dang
inflation	inflasi
influence	pangaruh
influence	angpengaruhi
inform	ampoangi
information	informasi
ingredients	bahan-bagan
inheritance	warisang
initial	uru uru
initiative	appakaramula
injured	loko
injury	loko
innocent	tena na salah
innovation	inovasi
inquiry	pakkuta'nangngang
insane	pongoro
insect	ula'ula'
insecure	kukasia tena na aman
insert	appasisi
inside	ri lalang
insight	wawasan
insist	nipaterasa
insomnia	insomnia
inspiration	inspirasi
inspire	mengilhami
install	install
instance	conto
instant	tettere
instead	passibalianna
instead of	alih-alih
instructions	instruksia
instrument	instrumen
insult	menyinggung
insurance	pertanggungan
intact	utuh
integrity	integritas
intellectual	panrita
intelligence	intelijen
intelligent	carade
intend	massukku
intended	disengaja
intense	amole mole
intention	massu
interact	berinteraksi
interaction	interaksi
interest	ero
interested	ero
interesting	gakgai
interfere	angnganggu
intermediate	intermediat
internal	ilalang
international	internasional
internship	magang
interpret	menafsirkan
interpreter	paterjemah
interrupt	angganggu
interview	wawancara
intimate	intim
into	antama
introduce	appasiasseng
introduction	appasisseng
introvert	ta'tongko
intuition	intuisi
invalid	tena sah
invent	appaka nia
inventory	inventaris
invest	ang investasi
investigate	annyelidik
invitation	undangan
invite	angngundang
invoice	ambayara
invoice	tagihan
involve	appapinawang
involved	nia tongi
iron	setrika
iron	assetrika
is	rikana
island	pulau
isolated	tapancili
issue	urusang
issue	masalahna
issues	masalah
it is	anjo
it was	riolo
it's	ia
it's ok	tena angngapa
It's okay	tena apa-apa
item	barang
items	item
its	ia
I’m	nakke
jacket	jake
jail	terungkap
January	januari
jar	stoples
jaw	rahang
jealous	cemburu
jerk	brengsek
jewelry	perhiasan
job	jaman jaman
jogging	joging
join	anggabung
joint	persendian
joke	candaan
journalist	wartawan
journey	pajjappangang
joy	sikarannuang
judge	angnilai
judge	hakin
juice	jus
july	juli
jump	lumpa
june	juni
junk	loro
just	punna
just do it	jama mi
justice	keadilan
justify	appakatojeng
Kalaallisut	Kalaalisut
keen	ngai
keep	boli
keep it up	pakatarrusuki jama baji nu
kept	ni boli
kettle	ketel
key	konci
kick	annyempa
kid	ana
kidding	bercanda
kidney	ginjal
kids	ana'-ana'
kill	ammuno
kind	bajik
kind	porei
kinda	agak
kindly	baji
kindness	kebajikan
king	raja
kiss	cippo
kitchen	dapuru
kite	layang-kayang
kitten	ana' miong
knee	kulantu
knew	ngisseng
knife	lading
knight	ksatria
know	isseng
knowledge	pangngissengang
known	niisseng
Konkani	Konkani
Krio	Krio
label	angngareng
label	label
labor	tenaga kerja
labour	pajama
lack	akkurang
ladder	tuka
lady	baine
laid	nipatinro
lake	danau
lamb	domba
lame	caca
lamp	lampu
land	butta
land	mendarat
landscape	lanskap
language	bahasa
lap	pangkuan
large	lompo
last	kalabbusang
last but not least	riboko dudu tapi tena nakala parallu
last name	areng keluarga
late	terlambat
lately	kamma kamma anne
later	sallang
latest	paling beru
latter	paling riboko
laugh	ammakkala
laughing	ammakkala
laughter	makkala
launch	appaluncuru
laundry	sassan
law	hukkum
lawn	halaman ruku
lawyer	pengacara
lay	attinro tinro
layer	lapisan
layout	tata letak
lazy	kuttu
lead	ammimping
leader	pemimpin
leaf	leko
leak	boncoro
lean	assandara
leap	allumpa
learn	nipilajari
learning	appilajara
lease	sewa
least	sanna sikekdek
leather	kuli
leave	pilari
leave	lampa
leaves	leko leko
led	diparenta
left	na
leg	bangkeng
legacy	warisan
legal	hukkung
legend	legenda
legit	sah
leisure	mari mari poso
lend	angnginrang
length	labbu
less	sanna sikekdek
lesson	pappilajaran
let	napassang
letter	surat
lettuce	selada
level	tingka
leverage	matu matu
liability	beban
library	perpustakaan
lick	angngemu
lie	a'balle balleang
lie	balle balle
lies	abballe balle
life	pattalassang
lift	angkatan
lift	angngangket
light	ciknong
light	singara
light	kabuyubuyu
lightning	pettiri
like	ngai
likely	kuntu
likewise	iyatong
line	garisi
Lingala	Lingala
link	passikkokan
lion	singa
liquid	cairan
list	dattara
listen	appilangngeri
listening	appilangeri
literally	bate harfiah
literature	literatur
litter	loro
little	caddi
live	tallassa
live	gassingi
liver	ati
lives	tallasa
living	tallasa
living room	ruang toana
lizard	padalle
load	ammone
loaf	roti
loan	appainrang
local	lokal
location	tampa
lock	konci
lockdown	kuncitara
log	catatan
lol	makkala lompo
lonely	kesepian
long	labbu
long time no see	sallo tena sibuntulu
look	paccini
look	accini
loop	lingkaran
loose	longgara
loose	angpalappasa
lord	nipaklabbiri
lose	kalannyakkan
loss	tappela
lost	lannyak
lot	jai
loud	terasa
lounge	ruang santai
love	pangngai
love you	kungaiki
lovely	ga'ga
low	rendah
lower	labbi rawa
loyal	setia
loyalty	loyalitas
luck	kaupakkang
lucky	upa
Luganda	Luganda
luggage	bagasi
lump	gumpalan
lunch	nganre tangngaallo
lungs	paru paru
luxury	kemewahan
lying	abballe balle
machine	masina
mad	pongoro
madam	nyonya
made	ripare
magazine	majalla
magnificent	agung
maid	pembantu
main	utama
maintain	ajjaga
maintenance	ammalihara
Maithili	Maithili
major	lompo
major	jai
majority	paling jai
Makasar	Mangkasara
make	appare
make up	paruru
male	burakne
mall	mall
man	burakne
manage	angngola
management	angkelola
manager	pangurusu
mandatory	wajib
manifest	kacinikan
manipulate	memanipulasi
manner	pangngadakkan
manual	manual
many	jai
many many happy returns of the day	anne allowa jai kasannangngang nipoterang
march	abbarrisi
margin	batasa
market	pasara
marriage	pabbuntingan
married	lebba buntin
mask	masker
mass	tau jai
massive	lompo sanna
master	akkuasa
match	cocok
match	pertandingan
mate	pasangan
material	bahan
math	matematika
matter	urusang
matter	kasulitang
maturity	kematangan
may	akkullei
may	kulle
maybe	kapang
me	nakke
me too	nakee todong
meal	kanre kanreang
mean	anjomi
mean	iyaminjo
meaning	battuanna
means	cara
meant	dimaksudkan
meanwhile	iamo anjo ro
measure	ukkurang
measures	pa ukkuran
meat	assi
medical	medis
medicine	pabballe
meditation	meditasi
medium	sedang
meet	sibuntulu'
meeting	passibuntulang
Meiteilon	Meiteilon
melt	allele
memories	pakngurangngang
memory	pabbolikang
mental	mental
mention	nisabbukkan
mentioned	ia antu
mentor	mentor
merchant	pa'balu
mercy	pama seang
merely	iaji
merry christmas	salama natal
mess	sanna ricuna
message	pappipasang
messy	tassimbung
metal	bassi
method	cara
mice	balao
middle	tangnga
midnight	lantang bangngia
might	ta'gala
mild	lu'mu
milestone	tonggak pencapaian
military	tantara
milk	susu
million	juta
mind	akkalak
mind	pikkirang
mindset	kerangka appikkiri
mine	patanna
mine	anungku
mingle	abbauru
minor	minor
minute	manni
minutes	manni
miracle	keajaiban
mirror	carammen
miscellaneous	arrupa rupa
mischievous	banna
miserable	adderita
misery	penderitaan
miss	nakku
miss you	nakku mange rikatte
missing	lannya
mission	misi
mist	kabut
mistake	anu salah
Mizo	Mizo
mobile	mobile
mock	angngejek
model	modele
moderate	moderat
moderate	menenangkan
modern	modern
modest	sederhana
moist	akmasak
moisture	akmasa
mold	ambentuk
mold	cetakan
mole	tikus butta
mom	amma
moment	momen
monday	sanning
money	doek
monitor	anciniki
monkey	dare
month	bulan
mood	pakkasia
moody	koro koroang
moon	bulan
moral	moral
more	la'bi
moreover	labbi labbi poen
morning	baribbasa
mortgage	hipotek
most	paling
mostly	kabanyakang
mother	amma
motion	giokang
motivation	motivasi
mountain	bulu
mouse	mouse
mouth	bawa
move	a'lolo
movement	panggiogakan
movie	pelleng
mrs	nyonya
much	jai
mud	lumpuru
mug	mug
muscle	ura'
museum	musium
mushroom	jamuru
music	musi
must	parallui
must	siratang
mute	bisu
mutual	saling
my	anuku
My dear	sayangku
my friend	agangku
My hovercraft is full of eels	na rassiyiya londeng
my love	singaingku
my name is	arengku iami antu
my pleasure	siagang pa'mai sannang
myself	kale kalenna
mysterious	gaib
mystery	misteri
myth	mitos
nail	paku
naive	naif
name	areng
narrative	carita
narrow	seppa
nasty	kodi pakkasia
national	nasional
nationality	pangpa'rasangan
native	tau anrinni
natural	alami
nature	lino
nausea	mual
near	ri rampi'
nearby	ri ampina anne
nearly	sike'de
neat	rappi
necessary	parallu
neck	kallong
necklace	kalung
need	parallu
need	kapantingang
negative	negatif
neglect	menelantarkan
negotiate	nego
neighbor	sari balla
neighborhood	lingkungan
neither	ia tong teai
nephew	kamanakang burakne
nerd	tau ganjili
nervous	bata bata
nest	sarang
net	tangkasa
network	jaringang
neutral	netral
never	tenalekba
never give up	teaki le'ba menyerah
never mind	le'bami
nevermind	palebbai
nevertheless	namun demikian
new	beru
news	kabara
next	lebakna
next to	ri sa'ri
nice	baji
nice to meet you	rannuku assigappa siagang kau
niece	kamanakang baine
night	bangngi
nightmare	bayo-bayoan kodi
nine	selapang
nineteen	sampulo salapang
ninety	salapang pulo
No	Tena
no problem	tenanggapa
no way	mustahil
nobody	tiau inai inai
noise	ge'gere
noisy	gegere
none	tena
noon	allo
nope	tena
nor	tiai pole
normal	normal
north	ara
nose	ka'muru
nostalgic	nakku
not	teai
not at all	tena mentong
not bad	tena kodi
Not now	tena kamma kamma anne
not yet	tenapa
note	catatan
noted	nicatat
nothing	tena nia
notice	accinik
noticed	ni perhatikan
noun	bicara benda
nouns	kana barang
novel	novel
november	november
now	kamma-kamma anne
nowadays	allo allo anne
nuisance	gangguan
null	batala
numb	mate pakkasia
number	nomoro
nurse	perawat
nut	kacang
nutmeg	pala
nutrition	nutrisi
oath	sumpah
obesity	sanna co'mo na
obey	ampatuhi
object	obyek
objective	objektif
obligation	anu tojeng
obscure	samar samara
observation	pengamatan
observe	anciniki
obsessed	sanna na ngaina
obsession	obsesi
obsolete	usang
obstacle	rintangan
obtain	anggappa
obtained	ni gappa
obvious	singara
obviously	sanna tangkasana
occasionally	kadang-kadang
occasionally	sikali sikali
occupation	jama jamang
occupied	sibuk
occur	terjadi
occurred	munjulu
occurs	anjari
ocean	tamparan
october	Oktober
odd	ganjili
odds	kantunganna
of	battu
of course	tantumi
off	mate
offensive	menyinggung
offer	tarawan
offer	annawarakan
office	kantoro
official	resmi
often	sirapik
oh really	ah tojengki
oil	minnyak
ok dear	oke sayang
ok honey	oke, sayang
ok my love	oke, sayangku
okay baby	oke sayang
okay dear	bajiki, sayang
okay honey	oke sayang
okay my love	oke, sayang
old	toa
on	rinra
once	sikali
one	se're
one language is never enough	we're bahasa tena na ganna
onion	lasuna vombai
online	on line
only	ingka
open	annyungke
operation	operasi
opinion	panggappa
opportunities	peluang
opportunity	nai sabana
opposite	ri dallekang
optimistic	optimis
option	pilihan
optional	pammileang
or	iyareka
orange	oranye
orange	lemo
order	appesang
order	anngalle
ordinary	biasa
organization	organisasi
orientation	orientasi
origin	assala
original	asli
Oromo	Oromo
orphan	tena tau toana
other	maraeng
otherwise	punna tena
ought	sebaiknya
our	katte
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Ikatte pata misi ia mintu untu akkullena ia ngaseng rupa taua kemaepun nia untuk napahangngi linowa siagang na ekspresi kangi kalenna ilalang bahasa
Our mission: to organize the world's information and make it universally accessible and useful.	Ikatte pata misi ia mintu angngatoroki informasi na linowa dan ampareki akkulle nipake ia ngaseng rupa taua siagang bermanfaaat
out	assulu
outcome	passele
outfit	baju
outgoing	outing
outlet	gadde
outline	garisi lompo
outside	pantarang
outstanding	sanna pore
oven	open
over	la'bi
over there	anjoeng
overall	iangasengna
overcome	ambatasi
overthinking	kalabbiang appikkiri
overwhelmed	kewalahan
overwhelming	sanna jaina
owe	inrang
owl	jangang jangang setan
own	ammallaki
own	appata
owner	patanna
ox	sapi
pace	gassing
pack	appakarannu
package	kemasan
paid	nibayara
pain	pa'risik
paint	cat
painting	lukisan
pair	pasangan
pale	pucca
palm	lapa
pan	urin
pandemic	pandemi
panic	lingu
pants	saluara
paper	karattasa
paradise	suruga
parallel	sipakaturu
parcel	paket
pardon	pamopporang
parents	tau toa
park	taman
parrot	jangan beo
parsley	peterseli
part	antama
participate	amminawang
particular	attantu
particularly	akkusus
partner	agan
party	a'gau gau
pass	lulusu
passage	oloan
passed	lulusu
passion	sumanga
passionate	rassi sumanga
passive	pasif
password	pau sandi
past	allo riolo
patch	tambalang
path	agadang
pathetic	akkamaseang
patience	kasabbaran
patient	tena paklarroang
patient	sa'barak
pattern	pola
pause	ammari sinampe
pavement	trotoar
pay	abbayara
payment	pabbayaran
peace	addamai
peaceful	sannang
peach	persik
peak	paling rate
pear	pir
peas	kacang polong
peculiar	ganjili
pee	tamea
pee	ta'mea
peel	abba'bi
peer	agan
peers	abang silompo
pen	pulupen
pencil	potolo
pending	tertunda
people	tau
pepper	marica
perceive	accini
perception	pamai
perfect	sampurna
perform	aggaukang
performance	passuara suarrang
perhaps	kapang
period	periode
permanent	tena na minra
permission	paramisi
permit	ijin
perseverance	kegigihan
persistent	gigih
person	tau
personal	kalenta
personality	kepribadian
perspective	perspektif
persuade	angngoco
pervert	tau cabul
pet	papparakaian
phase	fase
phenomenon	fenomena
philosophy	filsafat
phone	talipon
photo	foto
phrase	frasa
physical	pisi
pick	ammile
pick up	anjemput
picture	gambara
piece	bagian
pieces	bagian-bagian
pig	babi
pigeon	merpati
pile	tumpukan
pillow	pa'lungang
pilot	pilo
pin	pin
pineapple	nanas
pink	eja hambu
pit	kalibung
pitch	annyambila
pity	nisayangkan
place	ammoli
place	pammantangngang
places	tampa
plague	wabah
plain	polos
plan	rencana
plane	kappala
plant	lamung lamungan
plants	lamung lamungang
plate	piring
platform	platfrorm
play	kare karenang
play	kare karena
playing	akkarena
pleasant	appakasannang
please	alle balii
please	allei
pleased	rannu
pleasure	kesenangan
pledge	sumpah
plenty	jai
plot	arrencana
plug	steker
plum	prem
plumber	tukang ledeng
plural	jamak
podcast	siniar
poem	puisi
poetry	puisi
point	titti
poison	racun
police	polisi
policy	kebijakan
polite	sopan
pollution	polusi
pond	kollang
pool	kollang
poop	tai
poor	kasiasi
pop	pop
popular	terkenal
population	populasi
pork	babi
porridge	buburu
port	palabuhang
position	posisi
positive	positif
possess	ampatangi
possession	pata
possessive	posesif
possible	mungkin
post	angmasang
post	pos
postpone	antunda
potato	lame-lame
potential	potensi
pound	pound
poverty	kasiasi
power	kakassakkan
powerful	kassa
practical	praktis
practice	paratte
practice	allati
praise	ammuji
prank	paka'kala
pray	addoa
precious	berharga
precise	tepat
precisely	pitappa
predict	anramala
prefer	labbi nangai
preference	preferensi
pregnant	tianang
prejudice	parasangka
premises	tampa
premium	premium
preparation	persiapan
prepare	appakasadia
prepared	sia
preposition	proposisi
presence	kaniakan
present	makkekkuwangnge
present	pabbere
present	mabbere
presentation	presentasi
preserve	melestarikan
president	parasideng
press	annekang
press	tekanan
pressure	tekanan
pretend	abballe balle
pretty	ga'gai
pretty	gammarakki
prevent	angnyegah
previous	ribokona
prey	kanre
price	ballinna
pride	kebanggaan
priest	pendeta
primary	poko
prime	utama
princess	putri
principal	kapala sikola
prior	ribokoanna
priority	prioritas
prison	tarunku
privacy	kalengta
private	kale
privilege	hak istimewa
prize	hadia
probably	kutarng
problem	masala
procedure	prosedur
proceed	assambungi
process	carana
process	sistingna
produce	wassele
product	wassele
production	assele
profession	profesi
professional	professional
profile	profil
profit	passawala
profound	menonjol
progress	maju
progress	kamajuan
project	proyek
prominent	kalabian
promise	janji
promise	a'janji
promote	appakamaju
promotion	pappaganti
prompt	appakainga
prone	gampang
pronouns	kana sambe
pronunciation	pakkanang
proof	butti
proper	pantasa
properly	sanna baji
properties	properti
property	properti
proposal	ussulu'
prospect	prospek
prosperity	kemakmuran
prosperous	makmuru
protect	anjagai
proud	bangga
prove	appabutti
provide	appasadia
provided	assala
province	pa'rasangan
provision	passadiaan
puberty	wattu balek
public	ia ngaseng
pull	abbeso
pumpkin	labu
punctual	tetap wattu
pupil	murid
purchase	ammalli
pure	tangkasa
purple	longkolame
purpose	pangngolo
purse	tas caddi
pursue	angngondang
pursuit	angngondang
push	sorongan
put	appadongko
qualification	kualifikasi
quality	kualitas
quantity	jai
quarantine	nipabangngi
quarrel	abbesere
quarrel	pabbeserang
quarter	siparapa
Quechua	Quechua
queen	ratu
queer	queer
query	pakkuta'nang
question	pakkuta'nang
queue	antri
queue	angngantri
quick	tettere
quickly	si agang tettere
quiet	sannang
quilt	kalimbu
quit	ammantang
quite	gannaki
quite	rassi
quiz	ulangang
quotation	kutipan
quote	angngutip
quote	kutipang
quotes	kutipan
rabbit	kalinci
race	pallumba
rage	kalarroan
rain	bosi
raise	appanai
raise	angngangka
raised	nipanai
ran	allari
random	ngacak
range	jangkauan
rapid	tettere
rapidly	siagang tettere
rare	sawala
rarely	masagala
rash	ruam
rat	tikusu
rate	katetteran
rather	bajikna
ratio	appasibanding
rational	antama ri akkala
raw	lolo
re	motere
reach	anrapi
reached	nagappa
reaction	reaksi
read	ammaca
reading	ammaca
ready	siap
real	anu tojeng
reality	kebiasanna
realize	angsadari
realized	ri pakka nia
really	tojeng
rear	riboko
reason	alasan
reasonable	wajar
recall	angngerange
receipt	kuitansi
receive	annarima
received	ritarima
recent	kamma kamma anne
recently	beru-beru anne
reception	panarimaan
recipe	resep
reckless	kajili jili
recognition	angngakui
recognize	naisseng
recommend	angsarangkang
recommended	ni rekomendasikan
record	catatan
record	anrekam
recover	gassing
recovery	pemulihan
rectangle	persegi labbu
red	eja
redeem	appassambe
redemption	penebusan
reduce	angngurangi
redundant	angngulang
refer	atta'gala
reference	referensi
reflect	mencerminkan
reflection	cerminang
refrain	annahang kale
refrigerator	kamari es
refund	ammoterang doe
refuse	annolak
refused	ni tolak
regard	paccini
regarding	tentang
regardless	tena nipaduli
regards	sallang
region	daerah
register	dattara
regret	nisassali
regular	ammutara
regularly	secara taatoro
reject	annolak
relate	appasikko
related	terkait
relationship	hubungan
relative	sanak
relative	relatif
relatives	bija
relax	santai
release	ampilari
release	anlappassang
released	nilappassang
relevant	sin cocok
reliable	kulle dipattoang
relief	assau
relieve	meredakan
relieved	assao
religion	agama
religious	keagamaan
reluctant	battala ati
rely	angngandalkan
remain	attantumi
remaining	tersisa
remarkable	sanna pore
remedy	appakabaji
remember	u'rangi
remind	appakainga
reminder	pakainga
remote	taccappi
remove	angngapusu
render	assareang
rent	assewa
repair	appakabaji
repeat	angngulang
replace	annyambeang
reply	balasan
reply	angjawab
report	a'laporo
report	laporan
represent	awwakili
reputation	reputasi
request	pappala
request	appala
require	parallu
required	riparallui
rescue	pasalama
research	riset
resemble	singkamma
resentment	panngurisi
reservation	reservasi
reserve	ammoli
resident	penduduk
resign	ammantang
resilience	kakassakkan
resilient	ulet
resist	angngewa
resistance	angngewa
resolution	resolusi
resolve	menyelesaikan
resort	resor
resources	sumber daya
respect	hormat
respect	appabakkan
respond	menanggapi
response	panggappa
responsibility	tanggung jawab
responsible	attanggungjawab
rest	mari mari
rest in peace	istirahat ilalang kasannangngang
restaurant	warung
restore	appakamulih
restrict	ambatasi
result	wassele
results	wassele
resume	melanjutkan
retail	pabalu
retain	mempertahankan
retention	ammoli
retired	pensiung
retreat	ammunduru
retrieve	angngalle
return	ammotere
reveal	appakasingara
revealed	terungkap
revenge	abbalasa dendam
revenue	panggappang
reverse	ammotere
review	anciniki ammotera
review	ulasan
revise	appakabaji
revision	revisi
revolution	revolusi
reward	hadiah
rhythm	irama
rib	iga
rice	berasa
rich	kalumannyang
rid	ampasa'ri
ride	menunggangi
ride	appajappa
ridiculous	konyolo
right	kanang
right	sakri
right now	kama kamanne
rigid	kaku
ring	cincin
rinse	ammacco
riot	karicuang
rip	robehan
rip	anngekke
ripe	matang
rise	naik
rise	kenaikang
risk	resiko
risk	anngalle resiko
rival	saingang
river	binanga
road	agadan
roast	ammanggang
robust	terasa
rock	batu
rod	tongka
role	gau
roll	gulungan
roof	pattonko
room	ruan
root	aka'
rope	otere
rotten	botto
rough	kasaraki
roughly	siagang kasara
round	bundala
route	pangngoloan
routine	allomo lomo
row	barrisi
rub	anggoso
rubber	gatta
rubbish	loro
rude	kasara
rug	kareppe
ruin	ammanraki
rule	aturan
ruler	panggarisi
rules	aturan
run	lari
running	a'lari
rural	pakkampongang
rush	aliran
rush	annyerbu
sack	ammecat
sacred	tangkasa
sacrifice	pengorbanan
safe	aman
safe flight	selamakki ri pa'ribbakanta
safety	keamanan
sage	sage
said	angngatakan
sail	allayara
sailing	pelayaran
sake	demi
salary	gaji
sale	abbalu
salmon	juku salamon
salt	cela
same	singkamma
Same here	sikamma rinni
sample	sampel
sand	passi
Sanskrit	Sansekerta
sarcastic	pakalabbi labbi
sassy	lancang
sat	ammempo
satisfaction	kepuasan
satisfied	puas
satisfy	memuaskan
satisfying	memuaskan
Saturday	sattu
sausage	sosis
savage	liara
save	ammoli
saw	garagaji
say	abbicara
scale	skala
scam	tipuan
scar	bate loko
scarce	masagala
scared	malla
scarf	syal
scary	appakamalla
scattered	arratasa
scene	pamandangan
scenery	pemandangan
scent	bau
schedule	rancangang
schedule	wattunna
school	sikola
science	sains
scientist	ilmuwang
scientists	ilmuang
scissors	gunting
scold	angngalarroi
scope	cakupan
score	skor
scrap	ambatalkan
scratch	anggores
scream	ammarrang
screen	layara
screw	mor
script	naskah
sea	tamparang
seal	segel
search	abboya
season	musim
seat	kadera
second	makarua
secret	rasia
section	iatong
secure	aman
security	keamanan
see	accini
see you	sibuntulu poen
