Langai	a
myit hkut ai	convince
myit sharawng ya ai	convinced
chye na ya ai	convinced
shadu ai	cook
kachyawng taw ai	cooking
shadu taw ai	cooking
hkrak ai	cool
katsi ai	cool
shakawp ai	cool
myit pawn galaw ai lam	cooperation
jawm galaw ai lam	cooperation
hparan hpareng ai	cope
dang di lu ai	cope
magri hkyeng	copper
pawng	core
hkai nu	corn
n-gawng	corn
jut	corner
shading ai	correct
sharai ai	correct
jaw ai	correct
jahpu manu hkrat ai	cost
hking	costume
bu hpun palawng hking	costume
ginsum kasha	cottage
pasi	cotton
lagyim taw ai	couch
kyem makoi taw ai	couch
jahkru ai	cough
dang di ai	could
dang di na re	could
mung bawng salang hpung kawngsi	council
shagu	count
hti ai	count
gumhpraw jaw pinra	counter
ninghkap gasat ai	counter
mungdan	country
mare buga	countryside
run	couple
chyauhpa	courage
lak jat	course
tara rung	court
sumnung lai	courtesy
sumnung masa	courtesy
kahpu kanau	cousin
makawp ai	cover
jahpun ai	cover
magap ai	cover
dumsu kanu	cow
hkrit ai wa	coward
chyahkrit mai dung	coward
lum ai	cozy
chyahkan	crab
kap ran ga ai	crack
ga ai	crack
lata hpaji	craft
hka li	craft
hki hkaw ai	crap
akrawp shara ai nsen	crash
agrawp daw ai	crash
nachying sharawng ai	craving
mak ai	craving
gumrawt hkawm ai	crawl
wa hkawm hkawm ai	crawl
mana	crazy
shachyaw ai	create
hpan ai	create
sawn shapraw chye ai	creative
shakawn shagrau ai	credit
hkoi shap ai gumhpraw	credit
gumrawt hkawm ai	creep
wa hkawm hkawm ai	creep
kashung si pru na zawn re	creepy
hkrit hpa	creepy
bungli galaw masha	crew
ru hka amu	crime
Myiman tam ai	cringe
manghkang	crisis
mara tam ai	critical
si hkrung si htan	critical
ahkyak ai	critical
dinglum ai	criticism
rang rip ai lam	criticism
abrut sha ai	crop
hkai nmai	crop
nsi nai si	crop
hkai n mai ni	crops
nsi nai si ni	crops
udang	cross
hkap ai	cross
u hka	crow
u goi ai	crow
shara hpawng	crowd
tap ai	crowded
jan mau	crown
ahkrak dik ai	crucial
si hkrung si htan	crucial
n hkru ai	cruel
matse ai	cruel
sanghpaw hte du sa hkawm chyai ai lam	cruise
rin ai	crush
hkrap ai	cry
kumgyin si	cucumber
ahpum ai	cuddle
ginshum ai	cuddle
htunghking	culture
akyang n kaja ai	cunning
zai rawng ai	cunning
hkalem sha chye ai	cunning
gawm	cup
wan seng gawm	cup
sumhtang	cupboard
sumpu	cupboard
shading kau ai	curb
gumra n gup gyit sumri	curb
shamai ai	cure
shana nmai pru matsun	curfew
sharawng myit	curiosity
chye mayu myit	curiosity
myit shang sha ai	curious
shinglet galu ai	curious
magi da ai	curly
gumhpraw	currency
ya	current
ya	currently
ndai laman	currently
matsa mawa ga	curse
pan grang	curtain
nbung lahkum	cushion
u mun	cushion
lai len	custom
lai	custom
htunghking	custom
Gunrai mari ai wa	customer
htung hking	customs
lai masa	customs
htung masa	customs
gadoi ai	cut
akrit ai	cut
di ai	cut
kaw lakai	cute
shing wang	cycle
lagaw leng	cycle
lagaw leng jawn ai	cycling
awa	dad
awa	daddy
shani shagu	daily
matsing laika buk	dairy
nga chyu shup shara	dairy
ngachyu shadu shara	dairy
madim	dam
za ai	damage
hten za ai	damage
bam ai	damp
nyaw ai	damp
madi ai	damp
ka manawt ai	dance
hkrit tsang ra ai lam	danger
hkrit hpa	danger
hkrit tsang hpa	dangerous
chyang ai	dark
sin ai	dark
tsaw	darling
maja gat ai	dash
ga matut	dash
ga shaw	dash
jahpan lawk	data
jahpan	data
jahpan hkrang	data
nhtoi	date
kasha numsha	daughter
shani	day
si ai	dead
ngut nan ngut ra ai ten	deadline
na layawng ai	deaf
na hpang ai	deaf
myit hkrum ai	deal
Hkawp myitsu	dear
Tsawra hkungga ai	dear
tsawra hkungga ai yawng hpang de	Dear All
Tsawra ai gunrai mari ai wa e	Dear Customer
Tsawra ai  nu yen wa	Dear Parents
Tsawra ai sara	Dear Sir
Tsawra ai jawngma ni	Dear students
Tsawra ai hpung masha ni	Dear Team
si ai	death
mungga majan	debate
ga tsun shingjawng poi	debate
jaw ra ai hka gumhpraw	debit
hting mut	debris
chya hten	debris
gumhpraw hka	debt
hka	debt
shi ning ladaw	decade
tsam ai	decay
yet mat ai	decay
nyawp ai	decay
si mat ai	deceased
hka lem sha ai	deceive
maga ta	december
arawng lu ai	decent
daw dan ai	decide
daw dan ai	decided
daw dan ai lam	decision
mawn shatsawm tawn ai	deck
magap ai	deck
ninghkap ai	decline
shagrit kau ai	decrease
yawm mat ai	decrease
rang da ai	dedicated
ap nawng da ai	dedicated
ap nawng ya ai lam	dedication
san san ap nawng ya ai lam	dedication
lai nsam	deed
sat lawat	deed
ga sadi laika	deed
sung ai	deep
chyahkyi	deer
hprai ai	default
sum ai lam	defeat
hkrat sum ai	defeat
makawp maga ai	defend
hkap makawp ai	defend
masat da ai lam	define
ga lachyum masat da ai	define
hkrak tup	definitely
lachyum hpyen ai	definition
madang	degree
hpang hkrat ai	delay
kanung ai	delay
shana tawn ai	delayed
hting nai ai	delayed
jahkring tawn ai	delayed
shaprai kau ai	delete
sharam yu ai	deliberate
atsawm sha myit yu ai	deliberate
grai sadi jahtuk ra ai	delicate
anai anya re ai	delicate
mu ai	delicious
nam chyim rawng ai	delicious
kabu pyaw ai	delight
sharawng awng lam	delight
kabu pyaw ai	delighted
sharawng awng lam	delighted
hkrang shaw la ai	deliver
sai shaw la ai	deliver
sa ya ai wa	deliver
hkrang shaw da sai	delivered
sai shaw la da ai	delivered
ap ya ai	delivery
jaw ya ai	delivery
shawk shawn ai	demand
hpyi shawn ai	demand
hpyi la ai	demanding
hpyi shawn taw ai	demanding
mung shawa a dat kasa ni uphkang masa	democracy
awngdawm ai	democracy
nat	demon
nat matse	demon
galaw madun da ai	demonstrate
n-gun madun dan ai	demonstrate
ningdang kau ai	denied
nyet kau ai	denied
numhtat	density
wa sarawun	dentist
wa tsi du	dentist
nyet ai	deny
ninghkap ai	deny
ginwang	department
bungli dap	department
pru wa ai	departure
rawt ai	departure
shamyet shanat ai	depend
kamhpa ai	depend
machyu ai	depend
hpyen la ni hpe shabra tawn ai	deploy
bang ai	deposit
myit hten ai	depressed
lagyawk ai	depressed
myit daw ai	depression
sung de	depth
ningsung	depth
hpaw madun ai	describe
sanglang dan ai lam	description
htak mat ai	desert
hprawng hkawm mat ai	desert
ging dan ai	deserve
maka	design
aya	designation
shatsam da ai	designation
ra sharawng ai	desire
ra marit ai	desire
saboi	desk
myit htum shara	despair
gawng run shara	despair
myit mada shara n nga ai	desperate
raitim mung	despite
pan dung	destination
gam maka	destiny
pandung	destiny
jahten ai	destroy
sharun jahten amu	destruction
hten byak lam	destruction
akri akrai	detail
akri akrai	details
sawk tam la lu ai	detect
myit daw dan ai	determination
myit ja ai	determination
dawdan ai	determine
shatawng	determine
daw dan ai	determined
hten run mat shangun ai	devastated
agrawp daw kau ai	devastated
rawt jat wa ai	develop
galu kaba wa ai	develop
bawng ring wa ai	developed
bawng ring lam	development
laknat	device
sa wa nat	devil
nat	devil
myit masin hte ap nawng nna galaw ai	devoted
ga sadi tawn ai	devoted
Dhivehi	Dhivehi
jit dwi ana	diabetes
kan hkaw ana	diarrhea
kan mase ana	diarrhea
shani shagu matsing laika	diary
ga htai chyam	dictionary
galaw ai	did
si ai	die
si ai	died
lusha koi ai	diet
nbung ai lam	difference
shai ai lam	difference
shai ai	different
n bung ai	different
jam jau ai	difficult
yak hkak ai	difficult
htu ai	dig
shari	dignity
arawng ya	dignity
htauli htaula myit ai lam	diligent
shakut shaja ai lam	diligent
shana shat	dinner
kaprup bang ai	dip
dip shalup ai	dip
dip bang ai	dip
ading tawk	direct
matsun madun ai	direct
baw yawng ai	direction
matsun madun ai lam	direction
matsun du	director
matsun madun ai wa	director
matsat shabat re ai	dirt
maza mala re ai	dirt
shanut shana ai	dirt
chyamut chyamat	dirty
abut abye	dirty
agang chyalang	dirty
galaw na yak ai	disable
n lu galaw ai	disable
n kung n byen ai	disabled
mat mat ai	disappear
myit hten ai	disappointed
myit daw ai	disappointed
tsin yam tsin dam	disaster
raw di kau ai	discard
kabai kau ai	discard
shapraw kau ai	discharge
gunrai jahkrat ai	discharge
rip kawp tara	discipline
manu shayawm ya ai	discount
sawk tam lu ai	discover
ginghka ai lam	discrimination
bawng ban ai	discuss
jahkrup ai	discuss
hkrum zup bawng ban ai lam	discussion
ana	disease
ana	diseases
makoi  magap da ai	disguise
madawn mayu ai	disgusting
matsat shabat	disgusting
si mai wan	dish
si mai	dish
shat ban	dishes
lu sha ban	dishes
dawm kau ai	dismiss
jahkring kau ai	dismiss
sat kau ai	dispatch
lawan shagun jaw ai	dispatch
hpaw hpren dan ai	display
madun ai	display
tang ai	display
gun ra lajang lam	disposal
hparan lajang lam	disposal
dara ai	dispute
tsan gang lam	distance
ginwang	distinct
garen ginghka ai	distinguish
n ni nkri	distress
myit ru myit yang	distress
gam ya ai	distribution
gam jaw ai	distribution
ginwang	district
shuk ya ai	disturb
nam hkawng	ditch
hka hkawng	ditch
hka hpung lip ai	dive
hka shang ai	dive
shai ai	diverse
kaga ga re ai	diverse
myu hpan	diversity
gam garan ai	divide
garan kachyan ai	divide
Karai Kasang hte seng ai	divine
dinghku hka bra ai lam	divorce
baw sin ai	dizzy
baw kayin ai	dizzy
galaw u	do
di u	do
nang gaw	do you
Nang ngai hpe tsawra ai i?	do you love me
sarawun	doctor
tsi du	doctor
tsi ninghkring	doctor
ga shaka laika	document
di ai	does
n re ai	doesn't
n galaw ai	doesn't
gwi	dog
Dogri	Dogri
galaw taw ai	doing
ma sumla	doll
sumla	doll
uphkang ginwang	domain
dinghku kata	domestic
grau ai	dominant
ka up tawn ai	dominant
hkum	don't
hkum tsang	Don't worry
alu jaw ai	donate
gam jaw ai	donate
ngut mat sai	done
galaw ngut sai	done
masha sabuk	donkey
gumra	donkey
lawze	donkey
yup tsi	dope
nang hpan tsi mawan	dope
htam lahkawng	double
n tsen ai	doubt
gumhpraw	dough
hkrat ai	down
lawu	down
hkrang shapraw ai lam	draft
gang la ai	drag
garawt ai	drag
lwi taw ai	drain
hkaw taw ai	drain
zat madun ai lam	drama
maumwi madun ai lam	drama
soi ai	draw
baw	draw
saboi shinglet	drawer
sumla soi taw ai	drawing
hkrit kajawng ai	dread
shingran	dream
myit mada lam	dream
yup mang	dream
bu hpun ai	dress
sum raw ai	dress
bu hpun palawng	dress
shaman shakyang ai	drill
hpyen sharing ai	drill
lu ai	drink
lu hpa	drink
gawt ai	drive
hkang ai	drive
gau ai	drive
shalut u	drop
di hkrat ai	drop
kahte kapya ai	dropped
jahkrat kau ai	dropped
tat jahkrat kau ai	dropped
chyahkraw chyagan byin ai lam	drought
jan gri ai lam	drought
tsa bam ai	drunk
tsa bri ai	drunk
hkraw ai	dry
hkai pyek	duck
a majaw	due
de a majaw	due to
a nya	dull
ma a	dumb
mau ai	dumb
nyaw	dump
aten ladaw	duration
laman	during
n hpu	dust
ahpu kau ai	dust
lit	duty
hkan dawk	duty
shanu nga ai	dwell
nga ai	dwell
si hkyen hkyen rai taw ai	dying
langai hpra	each
langai hte langai	each other
masin rawt ai	eager
galang	eagle
na	ear
grau jau nna	earlier
jau	early
kahprim	early
lu ai	earn
shang ai	earn
hkap la lu ai	earn
na	ears
mungkan ga	earth
n nang nawn ai	earthquake
aloi sha	ease
loi loi hte sha	easily
a loi sha	easily
sinpraw	east
loi ai	easy
a loi sha	easy
sha ai	eat
sha taw ai	eating
sut lu nga mai lam hte seng ai	economic
sut lu nga mai lam	economy
ningchyan	edge
sharai ai	edit
hpaji	education
akyu	effect
akyu nga ai	effective
nyam ai	effective
n-gun marai	efficiency
masan sa ai	efficient
ram ai	efficient
akyu rawng ai	efficient
shakut shaja ai	effort
u di	egg
saba si	eggplant
saba hpun	eggplant
ngai ngu ai myit	ego
madu a myit	ego
matsat	eight
shi matsat	eighteen
matsat shi	eighty
lahkawng kaw na langai	either
langai nrai yang langai	either
kata lam sang lang dan ai	elaborate
machyang ndum	elbow
salang	elder
du	elder
asak grau kaba ai	elder
asak kaba ai	elderly
hkik hkam ai	elegant
grai grak ai	elegant
npawt rudi rai	element
hkarang jet	element
magwi	elephant
shi langai	eleven
tara shang ai	eligible
dawm kau ai	eliminate
shaw kau ai	eliminate
la kau ai	eliminate
kaga	else
laga	else
gaya ai	embarrassed
gaya kahpa byin ai	embarrassing
hpum ai	embrace
pru ai	emerge
paw pru ai	emerge
byin pru ai	emerge
hkyak hkyak galaw ra ai lam	emergency
myit hkam sha lam hte seng ai	emotional
myit tau la ai lam	empathy
ahkyak shatai ai lam	emphasis
myit shabawn ai	emphasize
ahkrak da ai	emphasize
bungli shangun masha	employee
bungli masha	employee
bungli galaw masha ni	employees
bungli madu	employer
magma bungli	employment
bungli bungsa	employment
kaman	empty
galaw lu ai	enable
hkrum katut ai	encounter
n-gun jaw ai	encourage
shalan ai	encourage
jahtum jahpra kau ai	end
shangut kau ai	end
kre mat sai	end
shoi hpa byin shangun kau ai	endangered
hkrit hpa byin shangun kau ai	endangered
shakut shaja ai lam	endeavor
atsam rawng ai lam	endurance
hkam sharang lu ai atsam	endurance
hkam sharang ai	endure
hkam lu ai	endure
grin nga ai	endure
hpyen wa	enemy
hpyen	enemy
tsam n-gun	energy
mahtan ai	engage
dara ai	engaged
mahtan da ai	engaged
mahtan da ai	engagement
jak	engine
jak gawng	engine
jak sara	engineer
jak ninghkring wa	engineer
Ingalik	English
shatsaw ai	enhance
shajat ai	enhance
pyaw len ai	enjoy
len ai	enjoy
mana maka kaba ai	enormous
grai kaba ai	enormous
ram sai	enough
shateng ai	ensure
shang wa ai	enter
shangwi shapyaw ai lam	entertainment
grai sharawng ai myit	enthusiasm
katu myit	enthusiasm
masin rawt ai	enthusiastic
yawng	entire
kup	entire
gabaw tawn ai	entitled
gabaw shakap ai	entitled
prat	entity
chyinghka lam	entrance
hpaga ga ai wa	entrepreneur
NA laika sumbu	envelope
makau grup yin	environment
manawn masham ai	envy
hkik hkam share shagan ni a sat la wat	epic
lai hte seng ai	epic
zindam	epidemic
li	epidemic
zinli	epidemic
maren re ai	equal
bung ai	equal
maren mara	equal
arung arai ni	equipment
gambum manu	equity
bung ai rai	equivalent
bung ai	equivalent
shaprai tawng	eraser
ga shut	error
shut ai lam	error
lawt kawt ai	escape
lawt lu ai	escape
tawt lai lu ai	escape
madung hku na gaw	especially
grau n na	especially
laika galu	essay
akri namta	essence
machyim namta	essence
laidung	essence
n nga n mai	essential
gaw de ai	establish
hpaw ninghtan ai	establish
galaw hpang ai	established
hpaw ninghtan ai	established
madu lamu ga	estate
lamu ga	estate
shadu ai	estimate
htang ai	estimate
sawn sang yu ai	estimated
tau sawn yu ai	estimated
agrin nga ai	eternal
htani htana re ai	eternal
arawn alai	ethics
manu masat ai	evaluate
daw dan ai	evaluate
sawn dik lik yu ai	evaluate
manu masat ai	evaluation
daw dan ai	evaluation
bai dinglik yu ai lam	evaluation
pyi	even
mung	even
raitim mung	even though
shana daw	evening
lamang	event
jahtum e	eventually
galoi mung	ever
ayen na	ever
yawng	every
n lang	everybody
masha shagu	everybody
hkum ngau shagu	everyone
yawng	everyone
yawng	everything
sakse	evidence
aru ara	evil
sinda masa	evolution
yat yat byin kunghpan wa ai masa	evolution
galai shai wa ai	evolve
rawt jat wa ai	evolve
Ewe	Ewe
moi na	ex
dingsa	ex
hkrak tup	exact
teng sha	exactly
hkrak	exactly
san poi	exam
gawn jep yu ai	examine
sanjep yu ai	examine
ga shadawn	example
kamang	example
kasi	example
shajan ai	exceed
dinglai ai	exceed
hkrak dik sai	excellent
ninghkring	excellent
hta lai nna	except
ga hpunda	exception
shajan shalai re ai	excess
shalai chying hkai	excess
shajan shalai re ai	excessive
galai	exchange
myit kahpra ai	excited
kajawng ai	excited
ndawt myit	excitement
katu myit	excitement
myit kahpra ai	exciting
kajawng ai	exciting
manu hpu reng ai	exclusive
lak san re ai arai	exclusive
alak mi galaw da ai	exclusive
lawt ga	excuse
chyeju hte	excuse me
shabyin dat ai	execute
gun hpai ai	execute
gun hpai ai lam	execution
shabyin dat ai lam	execution
uphkang magam	executive
shamu shamawt lam	exercise
dat nsa pru ai lam	exhaust
pu mat ai	exhaust
ba kahpau ai	exhaust
pu ba ai	exhausted
hki ba ai	exhausted
madun dan ai	exhibit
sakse rai	exhibit
madun gawk	exhibition
pra ai	exist
nga ai	exist
nga pra lam	existence
prat	existence
asak hkrung ai	existing
nga pra ai	existing
chyinghka lam	exit
pru lam	exit
gahpyen ai	expand
maden jat la ai	expand
jat la ai	expand
myit mada ai	expect
myit mada da ai	expected
htum jarik	expenses
htum gumhpraw	expenses
laja ai	expensive
hpu ai	expensive
mahkrum madup	experience
chyam dinglik yu ai bungli	experiment
grai ningtawn ai wa	expert
masat da ai aten lai mat sai	expired
sang lang dan ai	explain
shaleng dan ai	explain
shaleng dan ai lam	explanation
kanoi sha ai	exploit
n-gun makru daw sha ai	exploit
sawk sagawn ai	explore
sawk tam ai	explore
shapraw gun rai	export
kra tawn ai	expose
tsun dan ai	expose
madun da ai	expose
kra tawn ai	exposed
tsun dan ai	exposed
madun dan ai	exposed
hpaw dan ai lam	exposure
shabrawng dat ai lam	exposure
madun dan ai	express
hpaw hpran dan ai	express
hpaw madun ai	expression
myi man nsam	expression
sharen ai	extend
maden ai	extend
maden jat la da ai	extended
lata ladawn da ai	extended
ap ya ai lam	extension
jat la ai	extension
shadawn jarik	extent
shinggan na	external
myit wa ai	extinct
htum wa ai	extinct
shajan	extra
alak mi re ai	extra
baw kau ai	extract
shaw la kau ai	extract
lak lai ai	extraordinary
nchyan	extreme
ladu shalai	extreme
matu	extreme
ladu lai	extremely
grai nan	extremely
myi	eye
myi	eyes
ri da sumpan	fabric
kam na yak ai	fabulous
mau hpa re ai	fabulous
myiman	face
loi shangun ai	facilitate
arai	facilities
madi shadaw rai	facility
shaloi ya ai lam	facility
jaw ai lam	fact
mabyin	fact
masa lam byin ningpawt lam	factor
jak rung	factory
bungli dap	factory
sumhpa lam	facts
ga lami	facts
lai masa	facts
nyip mat ai	fade
wai mat ai	fade
hkoi mat ai	fade
hkrat sum ai	fail
sum ai	fail
hkrat sum mat ai	failed
gin lut ai	failure
hkrat sum ai	failure
malap mat ai	faint
rapra ai	fair
ram daw	fair
rap rap ra ra	fairly
nat shayi	fairy
kam sham ai	faith
kang ka ai	faithful
htep lahti re ai	faithful
kam sham ai	faithful
n teng ai	fake
hkrat ai	fall
di hkrat ai	fall
shut ai	false
gumhkawng ai lam	fame
sadang hkung ai lam	fame
mawn hkat ai lam	familiar
hkau chye hkat ai lam	familiar
dinghku	family
hku hpyen	famine
mying kaba ai	famous
mying gumhkawng ai	famous
layit	fan
myit nawn ai	fancy
zawn nawn ai	fancy
grai hkrak ai	fantastic
mau na zawn re ai	fantastic
tsan ai	far
shakram poi	farewell
sun	farm
yi sun galaw ai	farm
hkauna la	farmer
hkauna galaw ai wa	farmer
yu ra shingni	fascinating
hking	fashion
gyin shapraw ai	fashion
mawn sumli masa	fashion
lawan ai	fast
gam	fast
hpum ai	fat
si chye ai	fatal
si wa shangun lu ai	fatal
gying ai	fate
gam maka	fate
awa	father
aba shala	fatigue
shut shai ai	fault
ra sharawng ai	favorite
myiman pa lam	favour
ningshawng jaw ai lam	favour
lama ma hpe ra ai	favourite
hkrit ai	fear
lu sha poi	feast
poi n htoi	feast
u mun	feather
myi man nsam	feature
lak lai ai	feature
hkrang nsam	feature
ra ta	february
myit hten ai	fed up
myit htum ai	fed up
manu jahpu	fee
yaw	feed
jaw sha ai	feed
jaw ai	feed
mahtai tang	feedback
hpaji jaw ga	feedback
hkam sha ai	feel
myit hkam sha lam	feeling
lagaw	feet
lut	fell
hkrat ai	fell
la wa ngan	fellow
manang hpaji ningtawn hpung shang wa ai	fellow
hkam sha ai	felt
Num	female
bunghku	fence
nhpan	fence
namhpun	fertile
namhpun dat ai	fertile
poi	festival
poi shingra	festival
sa la wa ai	fetch
la wa ai	fetch
kahtet ai	fever
kaji mi	few
kachyi	few
grau yawm ai	fewer
grau shau ai	fewer
mahtan da ai la	fiance
mahtan da ai num	fiance
sumroi laika	fiction
maumwi	fiction
Hkai sun	field
dap	field
Sun	field
matse	fierce
shi manga	fifteen
manga shi	fifty
kasat ai	fight
daru ai	fight
yaw ai	fight
gasat hkat ai	fighting
htawng hkat ai	fighting
hkrang	figure
hkrang sumla shapraw ai	figure out
zet sang	file
laika nhtan	file
jahpring ai	fill
kaput bang da ai	filled
ru bang da ai	filled
jahpring da ai	filled
sumla hpalin	film
hpalin sumri	film
matsat shabat re ai	filthy
agang chyalang re ai	filthy
hpang jahtum	finally
jahtum e	finally
sut gumhpraw lam	finance
gumhpraw hte seng ai lam	financial
sut hte seng ai lam	financial
mu ai	find
mu tam ai	find
mu lu ai	find out
tam sawk gawn lu ai	find out
Kaja sai	fine
Mai kaja sai	fine
Hkrak sai	fine
lata latsang	finger
layung	finger
jahpra kau ai	finish
shangut kau ai	finish
sha ngut kau ai	finished
sha kre kau ai	finished
wan	fire
shakang u	firm
shangang u	firm
shawng ningnan	first
magang	first
shawng na mying	first name
nga	fish
hkrup	fit
htuk manu ai	fit
htap htuk ai	fit
manga	five
byeng ai	fix
me ai	fix
masat	fix
masat da ai	fixed
dawng hkawn	flag
kaprip ai	flash
galam ai	flash
kaprap ai	flash
pyet ai	flat
ningma	flaw
mara	flaw
ra n rawng ai	flawless
nrawng ai	flawless
mara nkap ai	flawless
hpawng mat wa ai	flee
hkum shan myit	flesh
shan	flesh
lwi hkrat mat ai	flew
kapya mat ai	flew
gumba mai ai	flexible
kam ai hku galaw mai ai	flexible
nbungli	flight
nbungli jawn shapyaw hkawm ai	flip
myit gin sup ai	flirt
myi man law ai	flirt
myit gin sup ai lam	flirting
waw ai	float
shayawng ai	float
hka kanawng ai	flood
hka lung ai	flood
maw ru ru ai	flood
ga	floor
kadung	flour
hpaw ai	flow
yawng ai	flow
nampan	flower
mak hkalawng	flu
ga balen rawng ai	fluent
ga ningtam rawng ai	fluent
ga balen rawng ai	fluently
ga ningram rawng ai	fluently
tu wa ai	fluffy
u mun hkalung	fluffy
lwi hkawm chye ai baw	fluid
n grin ai	fluid
pyen ai	fly
jinu	fly
myit mang shabawn ai	focus
sai wan	fog
mu hkup	fog
mu hkup mawng ai	foggy
saiwan mawng ai	foggy
gumba ai	fold
kapum mat ai	fold
masha amyu	folks
masha	folks
hkan nang ai	follow
hkan sa ai	follow
matut galaw ai lam	follow up
matut sawk ai lam	follow up
hkan nang ai	following
npu na	following
lusha	food
mana ai	fool
a ngawk ai	foolish
sa ngawk ai	foolish
mana ai	foolish
lagaw	foot
gaw din	football
a matu	for
ga shadawn	For example
ga shadawn nga yang	for instance
Nang na matu	for you
pat shingdang da ai	forbidden
n-gun	force
maram masam yu ai	forecast
ka htan	forehead
maigan	foreign
nam maling	forest
maling dinggram	forest
prat tup	forever
malap ai	forget
mara dat ya ai	forgive
malap kau ai	forgot
kabrang	fork
kabra	fork
hkrang	form
masa tara hte seng ai	formal
htung tara hte seng ai	formal
chyaloi	former
gam rawng let	fortunately
gam a kaja sha	fortunately
gam	fortune
gam maka	fortune
mali shi	forty
mali shi lahkawng	forty-two
shawng lam	forward
shawng de	forward
mashawn	forward
bau la ai	foster
gasat hkat ai	fought
mu ai	found
madung	foundation
npawt ru di	foundation
daipawt daihpang	foundation
mali	four
shi mali	fourteen
chyahkyawn	fox
kya ai	fragile
akya	fragile
hkrang galaw ai	frame
hkrang masat	frame
hkrang	framework
shamawp ai	fraud
map ai	fraud
mana	freak
shang lawt ai	free
dat dat ai	free
awm dawm	freedom
sha ge ai	freeze
ge ai	freeze
lang masat	frequency
ya sha ya sha re ai	frequent
loi hkring hkring	frequent
yasha yasha	frequently
jahkring hkring	frequently
katsing galang	fresh
a kahtet hpoi hpoi sha	fresh
myit asan nga ai	fresh
bat manga ya shani	friday
hpan shani	friday
manang	friend
hkau ai	friendly
chyap ai	friendly
manang ni	friends
manaw manang ni	friends
hku hkau ai lam	friendship
hkau chyap ai lam	friendship
hkrit gari ai	frightened
kajawng kaja byin ai	frightened
jahkrit taw ai	frightening
shu	frog
kaw nna	from
hta	from
kaw	from
shawng lam	front
shawng de	front
ge mat ai	frozen
namsi namsaw	fruit
shamat kau ya ai	frustrated
dingbai dingla jaw ai	frustrated
jahten kau ya ai	frustrated
wan hpun	fuel
sau	fuel
wan n shat	fuel
Fulfulde	Fulfulde
hpring ai	full
hpring tup re ai	full
pyaw hpa	fun
mani hpa	fun
bungli byin ai	function
rudi n pawt	fundamental
moi mang makoi mayang lam	funeral
mani hpa	funny
malat mun	fur
grai pawt ai	furious
hking hku	furniture
arung arai	furniture
n ga	further
hta lai n na	further
tsan dik htum	further
grau nna	furthermore
shawng lam	future
jat wa ai	gain
lu la ai	gain
amyat	gain
ginsup hpa	game
mahka ai shara	gap
gang ai	gap
mawdaw nta tawn shara	garage
shanut shanaw	garbage
maza	garbage
sun	garden
shakau hpraw	garlic
wang chyinghka	gate
lahkrip ra ra	gather
rau sha	gather
hkrum zup hpawng	gathering
hpawng shing ra	gathering
shadawn ai	gauge
jaw ya ai	gave
lailen	gender
hkrang	gender
ra mara	general
ninggawn masa hku nna	generally
jak kri taw ai	generate
shapraw ai	generate
ban	generation
gam jaw chye ai	generous
hpaji ninghkring	genius
sumnung shingdi ai	gentle
jet ai	genuine
shamawt	gesture
lai kumla	gesture
lu la ai	get
bu hpum sumraw u	get dressed
tsap ai	get up
yup rawt ai	get up
rawt ai	get up
lawan mai tsai wa u ga yaw	get well soon
sana	getting
tsu	ghost
min la	ghost
nat hkrang madun ai	ghosting
masha numraw	giant
grai kaba ai	giant
kumhpa	gift
shanam	ginger
num kasha	girl
sumtsaw	girlfriend
numsha manang	girlfriend
ya ai	give
jaw ai	give
asum jaw ai	give up
jaw da ai	given
jaw da sai	given
kabu ai	glad
praw di ai	glance
pat	glass
mi set	glasses
pram di mu ai	glimpse
chyahkring sha mu ai rai	glimpse
mungkan chyam hkra	global
myit kaji ai	gloomy
myit nchyi nmu ai	gloomy
lata larawp	gloves
htoi ala ai	glow
htoi akung ai	glow
htoi tu u	glow up
nga rung gyep kap	glue
naw	glue
Sa su	go
sa ai	go
Sa u	go
matut tsun u	go ahead
shawng shawng u	go ahead
tsan tsan de sa u	go away
tsan e nga u	go away
Yup ra shang sana	go to bed
bandung	goal
yaw shada lam	goals
bandung	goals
bai nam	goat
Karai Kasang	god
Karai Kasang shaman ya u ga	god bless you
sa ai	goes
byin ai	goes
sa taw ai	going
sana	going to
galaw sana	going to
ja	gold
mat mat sai	gone
sa mat sai	gone
di na ra ai	gonna
byin na ra ai	gonna
nya nya re ai	goo
Kaja sai	good
Alu ai shani.	good afternoon
shakram dat ai	good bye
shani kaja rai u ga	good day
Alu ai shana rai u ga	good evening
mai kaja sai	good job
yu tsawm taw nga ai	good looking
yu htuk taw nga ai	good looking
gam kaja u ga	good luck
A lu ai jahpawt	good morning
Alu ai jahpawt rai u ga yaw tsawra	good morning my love
Dai ten laman	good night
Aten hta	good night
Aten e	good night
shakram dat ai	goodbye
a lu ai shana	goodnight
arai	goods
kun rai	goods
Google laika gale ai	Google Translate
Google ga gale ai	Google Translate
masha shabu	goose
shangma	goose
Grai tsawm ai	gorgeous
shatan ai	gossip
tsun gazik ai	gossip
matsun mana ga	gossip
lu ai	got
chye na sai	got it
lu la sai	got it
asuya	government
magra ai	grab
tsang	grade
madang	grade
yet yet sha	gradually
hpaji jan mau gup ai	graduate
hpaji jan mau gup lu ai wa	graduate
tum	grain
nsin	grain
n-gu	grain
shagrau jaw ai	grant
