a	ah
imagine	imagine
immediate	now
immediately	now
immense	intense
impact	impack
impatient	caan wait
implement	put in place
import	import
important	important
impose	impose
impossible	impassible
impress	please
impression	feelin
impressive	remaakible
improve	change
improvement	improvement
in	inna
in addition	plus
In fact	in fack
in front of	in front a
in order to	in aada fi
inappropriate	inappropriate
incentive	rewaad
incident	incident
include	put een
including	put een
income	incum
inconvenience	inconvenience
increase	raise
increased	more
incredible	incredible
indeed	indeed
independent	indipendent
India	India
indicate	show
indigenous	belang yah
individual	person
industry	industry
inevitable	a guh 'appen
infant	baby
infection	sickness
infinity	fah eva
inflammation	inflammashan
inflation	inflashan
influence	influence
inform	tell pon
information	infamashan
ingredients	ingredient dem
inheritance	inheritance
initial	fuss
initiative	mek eh fuss move
injured	injad
injury	injury
innocent	innocent
innovation	innovation
inquiry	aks question
insane	mad
insect	bug
insecure	inna yuh head
insert	push een
inside	inna e 'ouse
insight	ow yuh feel bout eh
insist	insis
insomnia	madniss
inspiration	inspirashan
inspire	inspyah
install	install
instance	wan time
instant	instant
instead	instead
instead of	steada
instructions	instrucshan
instrument	instrument
insult	shame
insurance	insurance
intact	togedda
integrity	integrity
intellectual	smaat guy
intelligence	know 'ow
intelligent	sumaat
intend	inten'
intended	meen fi
intense	trang
intention	intenshan
interact	mingle wid
interaction	linkage
interest	intres
interested	a show intres'
interesting	intrestin'
interfere	intafare
intermediate	in between
internal	in house
international	farin
internship	wuk
interpret	interpit
interpreter	translata
interrupt	intarup
interview	intaview
intimate	intimate
into	inna
introduce	mek shi meet
introduction	introducshan
introvert	shy
intuition	mindset
invalid	invalid
invent	mek
inventory	inventry
invest	invess
investigate	investigate
invitation	invitation
invite	aks
invoice	invaice
involve	bring inna
involved	togedda
iron	ion
island	ilan'
isolated	alone
issue	prablem
issues	issue
it	e
it is	it a
it was	eh did
it's	a it
it's ok	eh aright
It's okay	eh ok
item	item
items	ting dem
its	fi it
I’m	mi a
jacket	jackit
jail	jail hous
Jamaican Creole English	Patois
Jamaican Creole English	Patwa
January	January
jar	bakkle
jaw	jaw bone
jealous	jealous
jerk	jerk
jewelry	fandangles
job	wuk
jogging	runnin
join	link up
joint	join up
joke	joke
journalist	jurnalis
journey	jurney
joy	hapiniss
judge	judge
juice	juice
july	july
jump	jump
june	june
junk	rubbish
just	juss
just do it	jus duh i
justice	justis
justify	justify
Kalaallisut	Kalaallisut
keen	eega
keep	kip
keep it up	kip i up
kept	did kip
kettle	kekkle
key	key
kick	kick
kid	pickney
kidding	a joke
kidney	kidney
kids	pickney dem
kill	murda
kind	kine
kinda	kina
kindly	kind
kindness	kindniss
king	king
kiss	kiss
kitchen	kichin
kite	kite
kitten	puss baby
knee	nee cup
knew	did know
knife	nife
knight	knite
know	know
knowledge	nalij
known	did know
Konkani	Konkani
Krio	Krio
label	lable
labor	laba
labour	wuk
lack	nave
ladder	ledda
lady	oman
laid	did lay
lake	riva
lamb	lam'
lame	lame
lamp	lamp
land	land
landscape	luk a di lan
language	langwij
lap	lap
large	big
last	laas
last but not least	laas but nuh lease
last name	laas name
late	late
lately	mo' recent
later	lata
latest	laas
latter	eh laas wan
laugh	kin yuh teet
laughing	a laaf
laughter	lafin
launch	sen up
laundry	close
law	babylon system
lawn	grass
lawyer	lawya
lay	lie
layer	layer
layout	lay dung
lazy	lazy
lead	lead
leader	boss
leaf	leaf
leak	leak
lean	ben up
leap	leap
learn	lun
learning	a learn
lease	lease
least	less
leather	ledda
leave	lef
leaves	leaf dem
led	a lead
left	lef
leg	foot
legacy	legasy
legal	legal
legend	legen'
legit	ligit
leisure	leja
lend	len
length	lent
less	less dan
lesson	lessin
let	let
letter	letta
lettuce	lettice
level	level
leverage	utilize
liability	prablem
library	libry
lick	lik
lie	lye
lies	lie
life	life
lift	lif up
light	lite
lightning	lightnin
like	like
likely	likely
likewise	eh same
line	line
Lingala	Lingala
link	link up
lion	lion
liquid	wata wata
list	rite dung
listen	hear
listening	a listen
literally	litrally
literature	readin materal
litter	litta
little	likkle
live	liv
liver	liva
lives	life dem
living	livin'
living room	hall
lizard	lizad
load	load
loaf	loaf
loan	len
local	local
location	location
lock	lack
lockdown	lak een
log	lag
lol	laaf out lowd
lonely	by miself
long	long
long time no see	a lang time mi nuh si yuh
look	luk
loop	loop
loose	leggo
lord	lawd
lose	laas
loss	lose
lost	laas
lot	piece a lan
loud	brawlin
lounge	lunj
love	luv
love you	luv yuh
lovely	nice
low	down
lower	lowa
loyal	dye haatid
loyalty	layalty
luck	luck
lucky	lucky
Luganda	Luganda
luggage	luggij
lump	bump
lunch	lunch
lungs	lund dem
luxury	tap a di line
lying	a lie
machine	machine
mad	crazy
madam	madam
made	did mek
magazine	papa
magnificent	magnifient
maid	helpa
main	main
maintain	mentain
maintenance	mentain
Maithili	Maithili
major	majah
majority	mos'
make	mek
make up	mek up
male	man
mall	plaza
man	man
manage	manij
management	manijment
manager	manija
mandatory	compulsry
manifest	manifess
manipulate	use
manner	yuh wayz
manual	instrucshan buk
many	nuff
many many happy returns of the day	Blessings fi di day ahead
march	maach
margin	bada
market	maakit
marriage	marrije
married	marrid
mask	cova up
mass	holeep
massive	big
master	boss
match	match
mate	man
material	claat
math	maths
matter	matta
maturity	sensible
may	mighta
maybe	maybe
me	mi
me too	mi tuh
meal	food
mean	stay bad
meaning	meanin'
means	mean
meant	did mean
meanwhile	in di mean time
measure	meaja
measures	ting dem
meat	meat
medical	medical
medicine	medisin
meditation	meditation
medium	medium
meet	meet
meeting	meetin'
Meiteilon	Meiteilon
melt	melt
memories	memry
memory	memry
mental	ead chip
mention	tawk bout
mentioned	tawk bout
mentor	bro gad
merchant	sella
mercy	mercy
merely	bayly
merry christmas	merry chrismas
mess	mess
message	messij
messy	mess up
metal	iron
method	metad
mice	rat dem
middle	miggle
midnight	midnite
might	mighta
mild	nuh bad
milestone	milestone
military	military
milk	milk
million	milli
mind	mine
mindset	mineset
mine	fi mi
mingle	mix up mix up
minor	yung pickney
minute	minite
minutes	minite dem
miracle	miracle
mirror	glass
miscellaneous	random
mischievous	trublesum
miserable	gwaany gwaany
misery	uncomfatable
miss	miss
miss you	miss yuh
missing	missn
mission	mishan
mist	mist
mistake	mistake
Mizo	Mizo
mobile	deh wan place
mock	faas wid
model	magella
moderate	timely
modern	nowadays
modest	decent
moist	wet up
moisture	wetniss
mold	bring tuh yuh way
mole	mole
mom	mada
moment	moment
monday	monday
money	dalla
monitor	manita
monkey	munkey
month	mont'
mood	mood
moody	gwaany gwaany
moon	moon
moral	moral
more	mow
moreover	more ova
morning	maanin
mortgage	maagije
most	mos'
mostly	mainly
mother	madda
motion	movement
motivation	motivashan
mountain	hill
mouse	rat
mouth	mout'
move	move
movement	movement
movie	show
mrs	wifey
much	meny
mud	mud
mug	cup
muscle	muscle
museum	museum
mushroom	wile mushroom
music	music
must	muss
mute	mute
mutual	mutual
my	mi
My dear	mi dear
my friend	mi fren
My hovercraft is full of eels	Mi hovacraf full a eel
my love	mi luv
my name is	mi name a
my pleasure	mi pleasure
myself	miself
mysterious	mysterious
mystery	mystry
myth	ficshan
nail	nail
naive	naive
name	name
narrative	narrative
narrow	narrow
nasty	disgustin
national	nashinal
nationality	nationality
native	born solja
natural	ital
nature	out a door
nausea	sick feelinz
near	near
nearby	nearby
nearly	naily
neat	neat
necessary	necissery
neck	chowt
necklace	chain
need	need
negative	negitive
neglect	negleck
negotiate	nigoshiate
neighbor	nieba
neighborhood	area
neither	needa
nephew	nevew
nerd	nerd
nervous	nervous
nest	ness
net	net
network	netwuk
neutral	nah tek nuh side
never	neva
never give up	neva gi up
never mind	nuh worry
nevermind	neva mine
nevertheless	neva di less
new	new
news	news
next	neks
next to	beside
nice	nice
nice to meet you	mi glad fi meet yuh
niece	niece
night	nite
nightmare	bad dream
nine	nine
nineteen	nineteen
ninety	ninety
No	No
no problem	nuh prablem
no way	nuh way
nobody	nubadi
noise	naiz
noisy	noisy noisy
none	nun
noon	midday
nope	nat at all
nor	nor
normal	nawmal
north	nort'
nose	nose 'ole
nostalgic	irie
not	nuh
not at all	no sah
not bad	gud
Not now	Nuh rite now
not yet	nuh yet
note	note
noted	noted
nothing	nutn
notice	notice
noticed	notice
noun	noun
nouns	noun dem
novel	buk
november	novemba
now	now
nowadays	dem time yah
nuisance	truble mekka
null	empty
numb	nah nuh feelin
number	amount
nurse	nurse
nut	nut
nutmeg	nutn egg
nutrition	nurishment
oath	oat
obesity	fatniss
obey	listen tuh
object	sitn
objective	ubjective
obligation	haffi duh
obscure	blurry
observation	absavashan
observe	watch out
obsessed	obsess
obsession	obsess
obsolete	nuh mek sense
obstacle	absticle
obtain	obtain
obtained	get
obvious	abvious enuh
obviously	abviously
occasionally	sumtime
occupation	accupation
occupied	did liv inna
occur	happn
occurred	appen
occurs	appen
ocean	ocean
october	octoba
odd	add
odds	abstickle
of	af
of course	af couse
off	aaf
offensive	offensive
offer	affa
office	affice
official	di rite wan
often	regilla
Oh	Awo
oh really	really
oil	ail
ok	aright
ok dear	arite dear
ok honey	aright 'oney
ok my love	arite mi luv
okay	ok
okay baby	arite babes
okay dear	arite mums
okay honey	aright 'oney
okay my love	aright mi luv
old	ol'
on	pon
once	wan time
one	waan
one language is never enough	wan langwij caan enuff
onion	onian
online	pon line
only	ungle
open	upin up
operation	aparayshan
opinion	opinion
opportunities	appachunity
opportunity	chance
opposite	apposit
optimistic	aptimistic
option	apshon
optional	aptional
or	ar
orange	orinj
order	orda
ordinary	nawmal
organization	bizniz
orientation	orientation
origin	orijin
original	original
Oromo	Oromo
orphan	nah nuh madda
other	eda
otherwise	adawise
ought	hav tuh
our	fi wi
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Fiwi mishon: fi mek evrybadi, evryweh inna di wurl undastan an express demself inna evry langwij
Our mission: to organize the world's information and make it universally accessible and useful.	Fiwi mishon: fi aganize all a di infamashon inna di wurl an mek it eazi fi get an use
out	out
outcome	outcome
outfit	close
outgoing	dashin
outlet	plug
outline	draw roun'
outside	out a dow
outstanding	owe
oven	oven
over	ova
over there	ova deso
overall	ova all
overcome	get ova
overthinking	tink too haad
overwhelmed	ova happy
overwhelming	haad
owe	ow'
owl	patu
own	wun
owner	owna
ox	ox
pace	pace
pack	pack up
package	packij
paid	get pay
pain	pain
paint	paint up
painting	paintin'
pair	put togedda
pale	dull
palm	an miggle
pan	pan
pandemic	pandemic
panic	panic
pants	pans
paper	paypa
paradise	paradise
parallel	in line wid
parcel	parcel
pardon	sarry
parents	mada
park	paak
parrot	parrot
parsley	paasley
part	paat a
participate	tek paat inna
particular	particula
particularly	paaticularly
partner	partna
party	paaty
pass	pass
passage	passij
passed	did pass
passion	passion
passionate	pashanate
passive	slow
password	passwud
past	pass
patch	patch up
path	way
pathetic	pitiful
patience	payshence
patient	payshent
pattern	pattern
pause	tap
pavement	concrete
pay	compensate
payment	payment
peace	peace
peaceful	peaceful
peach	peach
peak	hite
pear	pear
peas	peas
peculiar	strange
pee	pee pee
peel	peel aaf
peer	peer
peers	fren dem
pen	pen
pencil	pencil
pending	a wait
people	people dem
pepper	peppa
perceive	perceive
perception	view
perfect	perfeck
perform	perfaam
performance	performance
perhaps	prably
period	period
permanent	fi eva
permission	aks fi duh
permit	allow
perseverance	endurance
persistent	always a 'appen
person	sumady
personal	personal
personality	behavia
perspective	view
persuade	canvince
pervert	freak
pet	pet animal
phase	phase
phenomenon	fenomenon
philosophy	idea dem
phone	fone
photo	picha
phrase	term
physical	fisical
pick	pick aaf
pick up	calleck
picture	picha
piece	pieca
pieces	piece dem
pig	hag
pigeon	pijin
pile	pile
pillow	pilla
pilot	pilot
pin	neegle
pineapple	pine
pink	pink
pit	ole
pitch	pitch
pity	sorry fah
place	place
places	place dem
plague	plague
plain	aadinery
plan	pripare fah
plane	plane
plant	flowas
plants	plant dem
plate	plate
platform	platfaam
play	ramp
playing	a play
pleasant	positive
please	please
pleased	feel gud
pleasure	pleaja
pledge	plege
plenty	nuff
plot	plat
plug	sackit
plum	plum
plumber	plumma
plural	mow dan waan
podcast	padcas'
poem	poem
poetry	poem dem
point	point
poison	poisin
police	babylon
policy	policy
polite	polite
pollution	polute eh place
pond	pan
pool	pool
poop	shit
poor	poor
pop	pap
popular	papila
population	people
pork	powk
porridge	parige
port	sea
position	place
positive	clean haat
possess	own
possession	belonging dem
possessive	possessive
possible	cyan happin
post	pos'
postpone	put aaf
potato	potato
potential	potenshal
pound	poun'
poverty	poorniss
power	powa
powerful	powaful
practical	practical
practice	practise
praise	hail
prank	prank
pray	guh dung pon yuh neez
precious	preshus
precise	egzack
precisely	exackly
predict	tell
prefer	prefa
preference	prefa
pregnant	a breed
prejudice	bias
premises	yaad
premium	bess
preparation	get ready
prepare	fix
prepared	prepare
preposition	prepasition
presence	presnce
present	present
presentation	prisentashan
preserve	kip fresh
president	pri minista
press	squeeze up
pressure	presha
pretend	priten
pretty	luk gud
prevent	privent
previous	fuss
prey	prey
price	price
pride	shame tree
priest	paasta
primary	primery
prime	prime
princess	princess
principal	principal
prior	bifore
priority	very impotant
prison	jail 'ouse
privacy	alone time
private	privit
privilege	privilij
prize	prize
probably	prably
problem	truble
procedure	way
proceed	guh ahead
process	process
produce	food
product	produck
production	producshan
profession	wuk
professional	pro
profile	profile
profit	gains
profound	great
progress	guh alang
project	prajeck
prominent	impotant
promise	pramise
promote	put out deh
promotion	step up inna life
prompt	tell wen
prone	prone tuh
pronouns	pronoun dem
pronunciation	pronunciashan
proof	proof
proper	ligit
properly	prapaly
properties	property dem
property	land
proposal	proposal
prospect	praspeck
prosperity	gud faatune
prosperous	a survive
protect	proteck
proud	proud
prove	prove
provide	provide
provided	did provide
province	pravince
provision	provid fah
puberty	puberty
public	out deh
pull	drag
pumpkin	punkin
punctual	on time
pupil	student
purchase	buy
pure	nachral
purple	purple
purpose	purpose
purse	purse
pursue	run dung
pursuit	falla
push	push
put	put
qualification	education
quality	substance
quantity	amount
quarantine	tan een
quarrel	cuss
quarter	kwaata
Quechua	Quechua
queen	kween
queer	gay
query	aks bout
question	questian
queue	in line
quick	faas
quickly	fas fas
quiet	kwayat
quilt	quilt
quit	gi up
quite	quite
quiz	kwiz
quotation	quotashan
quote	capy
quotes	quote dem
rabbit	rabbit
race	race
rage	rage
rain	rain
raise	raise
raised	bring up
ran	did run
random	eny
range	range
rapid	faas
rapidly	fast fast
rare	haadly
rarely	bayly
rash	rash
rat	rat
rate	rate
rather	rada
ratio	ratio
rational	tink clear
raw	raw
re	re
reach	reach
reached	did reach
reaction	reaction
read	read
reading	a read
ready	ready
real	tru
reality	real life
realize	know seh
realized	realise
really	really
rear	back
reason	reason
reasonable	reasonable
recall	call back
receipt	receit
receive	receive
received	did receive
recent	nuh too lang aguh
recently	juss wah day
reception	paaty
recipe	recipi
reckless	dangruss
recognition	recagnishan
recognize	know
recommend	tawk gud bout
recommended	recommen'
record	recaad
recover	get back
recovery	recovry
rectangle	rectangle
red	red
redeem	bring back
redemption	ridemshan
reduce	reduce
redundant	nuh mek use
refer	refa
reference	reference
reflect	refleck
reflection	refleshon
refrain	stop
refrigerator	frige
refund	gi back
refuse	nuh waan
refused	nah tek
regard	hol'
regarding	regard tuh
regardless	neva di less
regards	rigaad
region	area
register	regista
regret	rigret
regular	regula
regularly	regila
reject	rejeck
relate	undastan
related	blood
relationship	togeddaness
relative	fambily
relatives	fambily dem
relax	chill
release	let out
released	did release
relevant	necissery
reliable	dipen
relief	stree free
relieve	leggo
relieved	did relieve
religion	fate
religious	churchy
reluctant	nuh waan duh
rely	depen pon
remain	stay
remaining	remainin'
remarkable	remaakible
remedy	remidy
remember	memba
remind	memba
reminder	reminda
remote	remote
remove	tek weh
render	giv
rent	rent
repair	repair
repeat	seh ova an ova
replace	exchange
reply	ansa
report	tell
represent	tan fi
reputation	reputashan
request	aks
require	aks fah
required	require
rescue	save
research	fine out
resemble	luk like
resentment	bittaniss
reservation	reservashan
reserve	save
resident	live yah
resign	tap wuk
resilience	strent
resilient	brave
resist	fite aaf
resistance	resistance
resolution	resalution
resolve	solve
resort	hotel
resources	material
respect	respeck
respond	ansa
response	respanse
responsibility	responsibility
responsible	respansible
rest	ress
rest in peace	ress inna peace
restaurant	food shap
restore	bring back
restrict	ristrick
result	ansa
results	result
resume	start back
retail	retail
retain	wul back
retention	retention
retired	tap wuk
retreat	guh back
retrieve	retrieve
return	cum back
reveal	riveal
revealed	reveal
revenge	rivenge
revenue	in flow
reverse	reverse
review	luk pon
revise	luk ova
revision	luk ova
revolution	protess
reward	big up
rhythm	ridim
rib	rib bone
rice	rice
rich	have eh
rid	rid
ride	ride
ridiculous	chupid
right	rite
right now	rite now
rigid	rigid
ring	ring
rinse	wash out
riot	crowd
rip	tear
ripe	fit
rise	raise
risk	risk
rival	enemy
river	riva
road	road
roast	roas'
robust	trang
rock	rack
rod	rad
role	paaty
roll	roll
roof	sealin'
room	room
root	root
rope	rope
rotten	poil
rough	ruff
roughly	bout
round	roun'
route	way
routine	usual style
row	row
rub	rub up
rubber	rubba
rubbish	rubbish
rude	bad
rug	rug
ruin	spoil
rule	rule
ruler	rula
rules	rule dem
run	run
running	a run
rural	kuntry
rush	hurry
sack	bag
sacred	sacrid
sacrifice	sacrifice
safe	safe
safe flight	safe jurney
safety	safety
sage	sage
said	say
sail	sail
sailing	a sail
sake	sake
salary	pay
sale	sale
salmon	fish
salt	salt
same	same
Same here	same ting yah
sample	sample
sand	san'
Sanskrit	Sanskrit
sarcastic	ironic
sassy	gwaany gwaany
sat	siddung
satisfaction	satisfacshan
satisfied	arite wid
satisfy	satisfy
satisfying	nice
Saturday	Satiday
sausage	hat dog
savage	savij
save	sayv
saw	did si
say	seh
scale	scale
scam	chop
scar	scyar
scarce	haadly deh bout
scared	fraid
scarf	scarf
scary	scary
scattered	scatta
scene	area
scenery	scenery
scent	sent
schedule	skejule
school	skool
science	sciance
scientist	sciantis'
scientists	sciantiss dem
scissors	scissaz
scold	beat
scope	scope out
score	score
scrap	scrap
scratch	cratch up
scream	shout
screen	lack up
screw	screw
script	scrip
sea	oshan
seal	seal
search	luk fah
season	season
seat	seat
second	seckon'
secret	secrit
section	paat a
secure	secure
security	protecshan
see	si
see you	si yuh
see you later	si yuh lata
see you soon	soon si yuh
see you tomorrow	si yuh tomarro
seed	seed
seek	luk
seem	seem like
seems	seem like
seen	did si
seize	tek weh
seizure	seizure
seldom	nuh regila
select	chuze
self	self
self healing	ital livin
selfish	mean
sell	sell
send	sen
send me your picture	sen yuh picha cum gi mi
senior	elda
sense	sense
sensible	sensible
sensitive	extra
sent	sen aaf
sentence	jail time
sentences	sentence dem
separate	bruk up
Sepedi	Sepedi
september	septemba
sequence	aada
series	series
serious	serious
seriously	nah joke
serve	serve
service	service
session	session
set	bunch
set up	stay up
setting	settin'
settle	sekkle
seven	seven
seventeen	seventeen
seventy	seventy
several	several
severe	bad bad
sew	sow
sh	shhh
shade	kool shade
shadow	shedda
shake	jerk
shall	a guh
shallow	nuh deep
shame	frig up
shape	shape
share	share
sharp	pointid
she	shi
she has	shi hav
she is	shi a
shed	lose
sheep	sheep
sheet	sheet
shelf	shelf
shell	shell
shelter	shelta
shield	shiel'
shift	shif
shine	light up
ship	boat
shipping	a ship
shirt	shut
shoes	shuz
shoot	shat
shop	shap
shopping	a shop
shore	shure
short	shawt
shortage	nutn nuh deh deh
shot	shat
should	shoulda
shoulder	showla
shout	tawk loud
show	show
show me	show mi
shower	bade
shrimp	shrimp
shrink	shrink
shut	shet
shut up	shet up
shy	shy
sibling	bredda
siblings	bredda an sista
sick	nuh feel gud
side	side
sigh	breed out
sight	vijan
sightseeing	full yeye
sign	sign
signature	signicha
significant	significant
silence	quiatniss
silent	quiat
silk	silk
silly	silly
silver	silva
similar	luk like
simp	simp
simple	eazi
simultaneously	same time
since	since
sincere	sincere
sincerely	onesly
sing	sing
singer	singa
single	degge degge
sink	sink
Sir	Sar
sister	sista
sister in law	sista in law
sit	si dung
site	site
situation	sitiwayshan
six	six
sixteen	sixteen
sixty	sixty
size	size
skill	skill
skills	talent
skin	skin
skinny	mawga
skip	pass ova
skirt	skut
sky	sky
slave	slave
sleep	sleep
sleeping	a sleep
sleepy	waan sleep
sleeve	sleeve
slice	piece a
slide	shub
slightly	bayly
slim	mawga
slip	slip
slope	hill side
slot	ole
slow	slow bad
slowly	slow bad
small	likkle
smart	brite
smell	simell
smile	sumile
smoke	smoke
smooth	smood
snack	snack
snail	sinail
snake	sinake
snap	bruk
snow	sinow
so	suh
so cute	suh pretty
so far	suh fur
soak	wet up fi lang
soap	soap
sober	soba
soccer	futbawl
social	frenly
society	people
socks	socks dem
soft	saaf
software	saafware
soil	dut
sold	buy aaf
sold out	sellout
soldier	solja
sole	foot battam
solid	salid
solution	fix
solve	figa out
some	sum
somebody	sumbadi
somehow	sumhow
someone	sumbady
something	supm
sometimes	sumtime
song	chune
soon	soon
sophisticated	stushy stushy
Sorani	Sorani
sore	rotten
sore throat	soretroat
sorrow	sadniss
Sorry	Hush
sort	saat out
sought	luk fi
soul	spirit
soulmate	soulmate
sound	noise
soup	soup
sour	bitta
source	source
south	sout'
space	room
spam	spam
span	span
Spanish	Panish
spare	extra
speak	speak
special	special
species	species
specific	dis one
spectacular	spectacula
speech	lang tawkin
speechless	quiat
speed	speed
spell	spell
spend	spen'
spent	spen aaf
spicy	hat
spike	duble up
spin	spin roun'
spinach	calaloo
spirit	duppy
spit	pit
splendid	great
split	bruk up
spoil	pwoil
spoiled	spoil
spontaneous	out a di blu
spoon	spoon
spot	spat
spouse	spoogie
spread	spred
spring	spring
square	square
squeeze	kweez
squid	squid
squirrel	squirrel
st	st
stab	stab up
stable	stable
stack	pack up
staff	wurka dem
stage	stage
stain	stain up
stairs	step
stake	stake
stalk	falla
stall	stall
stamp	sticka
stand	tan up
standard	standaad
star	star
start	staat
started	did start
starving	a staav
state	state
statement	statement
station	stashan
statue	stachu
status	place
stay	stay
stay safe	kip safe
steady	wan place
steak	steak
steal	tief
steam	steam
steel	steel
steep	steep
stem	stem
step	step
stick	tick
stiff	stiff
still	til
sting	bite
stingy	mean
stir	stir up
stock	stack
stolen	tief
stomach	belly
stone	stone
stood	tan up fi
stool	do do
stop	tap
storage	storij
store	sto'
storm	staam
story	tory
stove	stove
straight	trait
straightforward	trait
strain	chrain
strange	diffrent
stranger	stranja
strategy	plan
straw	starw
strawberry	strawberry
streak	deh pon a roll
stream	strream
street	road
strength	trent
stress	stress
stretch	chrech
strict	ruff
strike	lick
string	tring
strip	tek aaf
strive	strive
stroke	aart attack
strong	trang
struck	struck
structure	strucha
struggle	struggle
struggling	a struggle
stubborn	haad ears
stuck	stuck
student	student
study	study
studying	a study
stuff	tuff up
stunning	luk gud
stupid	chupid
style	fsahan
subject	subjeck
submission	submishan
submit	submit
substance	substance
substitute	substitute
subtle	genkle
succeed	mek it inna lyfe
success	success
successful	accumplish
such	such
such as	like
suck	suck
sudden	quick quick
suddenly	sudinly
suffer	suffa
suffering	a suffa
sufficient	enuf
sugar	shuga
suggest	suggest
suggestion	idea
suit	fit
suitable	fit
suitcase	suitcase
sum	sum
summary	sumry
summer	summa
summit	meetin
sun	sun
sunday	sunday
sunny	sunny
sunset	sunset
sunshine	sunshine
super	great
superior	boss
supervisor	supaviza
supper	dinna
supply	supply
support	support
suppose	suppose
supposed	suppose
sure	certin
surface	top
surge	rize up
surgery	surgery
surname	laas name
surprise	shack
surprised	shock
surrender	gi up
surrounding	surroundin'
surveillance	surveillance
survey	survey
survive	mek eh
suspect	suspeck
suspended	did suspen'
suspicious	suspeck seh
sustain	kip
sustainability	sustenance
sustainable	cyan sustain
swag	boasiniss
swallow	swalla
swap	exchange
swear	cuss out
sweat	sweata
sweater	sweata
sweep	sweep
sweet	sweet
sweet dreams	sweet dreams
sweet tooth	sweet teet dem
sweetheart	oney
swell	swell up
swelling	swell up
swim	tek a dive
swimming	a swim
swing	push
switch	switch aaf
swollen	swell up
sword	suwd
symbol	symbal
sympathy	sorry fi
symptoms	symptom dem
system	systim
table	table
tackle	fight
tag	tag
tail	tail
take	tek
take away	tek wey
take care	tek care
take off	tek aaf
taken	tek weh
talk	tawk
talkative	luv tawk
tall	tall
tap	tap
tape	stick
target	tek set pon
task	sumpm fi duh
taste	tays
tasty	taste nice
taught	teach
tea	teach
teach	teach
teacher	teacha
team	people weh yuh wuk wid
tear	yeye wata
tears	yeye wata
tease	truble
technology	tecknalagy
teeth	teet dem
tell	tell
tell me	tell im nuh
temper	tempa
temperature	tempricha
temple	head
temporary	fi a wile
ten	ten
ten thousand	ten gran
tenant	tenant
tend	luk pon
tendency	tendency
tender	saaf
tense	tenz
tension	stress
tent	tent
tentative	a pay attention
term	simesta
terms	expreshanz
terrible	awful
terrific	awesum
territory	territory
test	tes'
text	ritin'
than	dan
thank	tank
thank you	tank yuh
Thank you for your patience while we investigate shipment	Tank yuh fi wait wile we did a investigate di shipment
thank you so much	tank yuh very much
thank you very much	tank yuh suh much
thanks	tanks
Thanks for using our app	Tank yuh fi use wi app
that	dat
that is	dat a
that's good	dat gud man
the	di
theft	tief
their	fi dem
them	dem
theme	teme
themselves	demself
then	den
theory	tiory
there	deh suh
there are	dere a
there is	dere a
therefore	derefore
these	dem yah
they	dem
they are	dem a
thick	tick
thief	tief
thigh	tie
thin	mawga
thing	ting
things	ting dem
think	tink
third	tird
thirsty	tusty
thirteen	tirteen
thirty	tirty
this	dis
this is	dat a
thorough	well luk chru
thoroughly	taroughly
those	dem deh
though	douh
thought	did tink
thoughtful	tink af yuh
thoughts	idea dem
thousand	tousan'
thread	tread
threat	badnis
threaten	chreaten
three	tree
threshold	bwoilin point
thrilled	mek feel gud
thrive	survive
throat	chroat
through	chru
throughout	all ova
throw	chrow
thumb	big finga
thunder	tunda
Thursday	Tursday
thus	duss
tick	sticky
tide	tide
tidy	clean up
tie	not up
tiger	tiga
tight	tite
Tigrinya	Tigrinya
time	time
timid	fraid
tiny	sumall
tip	pointa
tips	tip dem
tire	weel
tired	tiyad
tissue	tissue
title	title
to	tuh
toast	toas'
today	tideh
toddler	baby
toes	toe dem
together	togedda
toilet	toilet
told	tell
tolerance	talarance
tolerate	tek
tomato	tomato
tomorrow	tomarro
tongue	tung
tonight	tonite
too	tuh
took	did tek up
tool	tool
tools	tool dem
tooth	teet dem
top	tap
topic	tapic
torn	tear up
torture	taacha
total	evryting
touch	feel
tough	tuff
tour	chrad
toward	guh toward
towards	toward
towel	towil
town	town
toxic	taxic
trace	falla
track	track
trade	ekschange
tradition	custom
traditional	lang time way
traffic	pile up
trail	falla
train	chrain
training	a chrain
trait	trait
traits	behavia dem
transfer	sen aff
transition	pass on
translate	chranslate
transparent	cyan si chru
transport	carry guh
transportation	chanspowt
trap	chrap
trash	gabij
trauma	trauma
travel	chravel
tray	tray
treasure	chreja
treat	treet
treatment	remidy
tree	chree
tremendous	trimendus
trend	tren
trial	trayal
trick	trick
tried	did try
trigger	chigga
trim	cut
trip	trip
trouble	prablem
trousers	pants
truck	chruck
TRUE	TRU
trunk	back
trust	chuss
truth	chuut
try	try
Tsonga	Tsonga
tube	chube
Tuesday	Tuesday
tuition	sckool fee
turkey	turkey
turmeric	chumeric
turn	tun
turtle	turkle
tutor	teacha
twelve	twelve
twenty	twenty
twenty-one	twenty-wan
Twi	Twi
twice	two time
twist	ben up
two	two
type	type
typical	usual
ugly	haad fi luk pon
ultimate	ultimate
umbrella	ambrella
unable	nuh able
uncle	uncle
unconscious	nuh awake
under	unda
underneath	unda yuh
underrated	nuh ratins
understand	undastan
understood	did undastan
unfortunately	unfartunetly
uniform	unifaam
unique	diffrent
unit	unit
university	callij
unknown	nuh know
unless	unless
until	til
unusual	nuh nawmal
up	up
up to you	up tuh yuh
