сахал	a little
кĕрешӳ	fight
кĕреш	fight
çапăçу	fighting
кăтарт	figure
ӳкерчĕк	figure
тавçăрса ил	figure out
файл	file
тултар	fill
тултарнӑ	filled
фильм	film
çăвăнман	filthy
юлашкинчен	finally
финанс	finance
финанс	financial
туп	find
туп	find out
питĕ аван	fine
штраф	fine
пӳрне	finger
вĕçле	finish
вĕçленнĕ	finished
пушар	fire
çирĕп	firm
çирĕплĕх	firm
пĕрремĕш	first
ят	first name
пулă	fish
юрăхлă	fit
пиллĕк	five
юса	fix
шута илнĕ	fixed
ялав	flag
хĕрелсе кай	flash
хваттер	flat
лап	flat
кӑлтӑк	flaw
кăлтăксăр	flawless
чупса тар	flee
тачка аш	flesh
вĕçнĕ	flew
ав	flex
пиçĕ	flexible
вĕçев	flight
шаклатни	flip
якăлтатни	flirt
якăлтат	flirting
поплавок	float
шыв илни	flood
урай	floor
урай	flour
юх	flow
юхăм	flow
чечек	flower
грипп	flu
хăвăрт	fluent
хăвăрттăн	fluently
тĕклĕ	fluffy
юхăм	fluid
вĕç	fly
тĕлле	focus
тĕллев	focus
çăра тĕтре	fog
тăманлă	foggy
хуçлатса хур	fold
халăх	folks
хыççăн пыр	follow
малалла тăс	follow up
тепĕр	following
апат-çимӗç	food
ухмахлан	fool
ухмах	fool
айван	foolish
ура лаппи	foot
футбол	football
валли	for
Тĕслĕхрен	For example
сăмахран	for instance
сан валли	for you
чаракан	forbidden
вăй	force
малтанах каласа хур	forecast
çамка	forehead
ют	foreign
вăрман	forest
яланлăх	forever
манса кай	forget
каçар	forgive
манса кайнă	forgot
вилка	fork
форма	form
форма ту	form
йĕрке тăрăх	formal
иртнĕ	former
телее	fortunately
шăпа	fortune
хĕрĕх	forty
хĕрĕх тăваттă	forty-two
малалла	forward
майлӑ пул	foster
çапăçнă	fought
тупнă	found
никĕс	foundation
тăваттă	four
вун тăваттă	fourteen
тилĕ	fox
мăртăк	fragile
рама	frame
каркас	framework
ултав	fraud
тĕлĕнмелле япала	freak
ирĕк	free
ирĕклĕх	freedom
шӑнт	freeze
тăтăшлăх	frequency
тăтăш	frequent
час-час	frequently
уçă	fresh
ытлари кун	friday
холодильник	fridge
юлташ	friend
туслӑ	friendly
туссем	friends
туслăх	friendship
хӑранӑ	frightened
хӑратакан	frightening
шапа	frog
патĕнчен	from
умĕн	front
шăнтнă	frozen
улма-ҫырла	fruit
кÿреннĕ	frustrated
çунтармалли хатĕр	fuel
Фульфульдла	Fulfulde
тулли	full
савăнăç	fun
функци	function
тĕп	fundamental
пытару	funeral
кулӑшла	funny
çăм	fur
урăм-сурăм	furious
сĕтел-пукан	furniture
малалла	further
хушса пани	furthermore
малашлăх	future
тупăш ил	gain
тупăш	gain
вăйă	game
пушă вырăн	gap
гараж	garage
çÿп-çап	garbage
пахча	garden
ыхра	garlic
хапха	gate
пуҫтар	gather
пуху	gathering
виçмелли прибор	gauge
тыттарнă	gave
шеçтĕрне	gear
несĕл	gender
пĕтĕмĕшле	general
пӗтӗмӗшпе илсен	generally
туса кăлар	generate
ăру	generation
пархатарлă	generous
пултарулӑх	genius
жанр	genre
çепĕç	gentle
чăн	genuine
ал вылявĕ	gesture
ил	get
тӑхӑннӑ	get dressed
тăр	get up
часрах сывал	get well soon
илекен	getting
вилнĕ çын куçа курăнни	ghost
урăх çыншăн ĕçле	ghosting
гигант	giant
парне	gift
имбирь	ginger
хĕрача	girl
хĕр тантăш	girlfriend
пар	give
пăрах	give up
асӑннӑ	given
савăнăçлă	glad
куç ывăтни	glance
кĕленче	glass
куçлăх	glasses
мӗлтлетни	glimpse
пĕтĕм тĕнчери	global
тӗксӗм	gloomy
перчеткесем	gloves
ялкӑш	glow
илемленсе пыр	glow up
çилĕм	glue
кай	go
малалла ут	go ahead
кай кунтан	go away
çывăрма вырт	go to bed
задача	goal
тĕллевсем	goals
качака	goat
турă	god
тур сыхлатӑр	god bless you
пырать	goes
утакан	going
хатĕрлен	going to
ылтăн	gold
иртнĕ	gone
пуçтарăн	gonna
ҫыпӑҫакан япала	goo
пархатар	good
лайăх	good
ырă кун	good afternoon
чипер	good bye
ырă кун	good day
ырӑ каҫ	good evening
лайӑх ĕç	good job
кӑмӑллӑ	good looking
ăнăçу сунатăп	good luck
ырă ир пултăр	good morning
ырă кун пултăр, юратăвăм	good morning my love
ырă каç	good night
чипер юлăр	goodbye
ырă каç пултăр	goodnight
япаласем	goods
Гугл	Google
Гугл куçарни	Google Translate
хур	goose
чиперкке	gorgeous
элек	gossip
илнĕ	got
çакна илнĕ	got it
правительство	government
ярса тыт	grab
сорт	grade
майӗпен	gradually
пĕтер	graduate
тырă	grain
пар	grant
панă	granted
иҫӗм	grapes
ярса тыт	grasp
курăк	grass
тав туйăмĕллĕ	grateful
тав туйăмĕ	gratitude
вилтӑпри	grave
сăрă	gray
питĕ пысăк	great
ҫӑткӑнлӑх	greed
çăткăн	greedy
симĕс	green
саламла	greet
саламлани	greeting
саламлани	greetings
сăрă	grey
решетке	grid
хуйхă	grief
якат	grind
ярса тыт	grip
гастроном	grocery
авланакан	groom
брутто	gross
çĕр	ground
ушкăн	group
ӳс	grow
ÿсĕм	growth
йӗрӗнчӗк	grumpy
Гуаранила	Guarani
гаранти	guarantee
хурал	guard
сис	guess
хăна	guest
кăтартса пыни	guidance
кăтартса пыр	guide
кăтарту	guide
айăплă	guilty
каччă	guy
ачасем	guys
спортзал	gym
хăнăху	habit
пурăнакан вырăн	habitat
пулнă	had
пăр	hail
çӳç	hair
çурă	half
пысăк пӳлĕм	hall
алӑ	hand
аври	handle
хитре	handsome
çакăнса тăр	hang
çакса тух	hang out
пул	happen
пулчӗ	happened
телей	happiness
телейлĕ	happy
ҫуралнӑ кун ячӗпе	happy birthday
çуралнă кун ячĕпе	happy birthday to you
çĕнĕ çул ячĕпе	happy new year
хытă	hard
аран-аран	hardly
нихăçан та пекех	hardly ever
сăтăр	harm
сăтăр ту	harm
сиенлĕ	harmful
килĕшÿлĕх	harmony
кăра	harsh
тухăç	harvest
пур	has
ан курай	hate
пур	have
ырă кун пултăр	have a good day
ырă кун пултăр	have a nice day
ирхи апат çи	have breakfast
хаваслан	have fun
эсĕ çирĕн-и	have you eaten
пур	having
юнав	hazard
тӗттӗм	haze
вăл	he
ун пур	he has
вăл	he is
пуç	head
пуç ыратни	headache
турлен	heal
сывални	healing
сывлăх	health
сывлăхлă	healthy
илт	hear
илтнĕ	heard
чĕре	heart
вĕри	heat
вĕриле	heat
рехет	heaven
йывăр	heavy
хыпăнуллă	hectic
çӳллĕш	height
тĕпкĕч	heir
çарату	heist
туса ирттернӗ	held
тамăк	hell
Салам	Hello
салам хаклӑ ҫыннӑм	hello dear
салам, ĕçсем мĕнле	hello how are you
салам, мĕнле пурăнатăн?	hello how are you doing
каска	helmet
пулăш	help
усăллă	helpful
ҫапла вара	hence
унăн	her
кĕтÿ	herd
кунта	here
юлнă пурлăх	heritage
иккĕлен	hesitate
Эй	Hey
Салам	Hi
салам, мĕнле пурăнатăр	hi how are you
Пурне те салам	Hi there
пытарнă	hidden
пытан	hide
иерархи	hierarchy
çӳллĕ	high
палăрт	highlight
похода çӳре	hike
поход	hiking
шутсăр кулăшла	hilarious
сăрт	hill
ăна	him
систер	hint
пĕçĕ	hip
сутана	hips
пытар	hire
кадрсем пухни	hiring
унăн	his
истори	history
çап	hit
Хм	Hmm
хобби	hobby
тытса тăр	hold
тытса тăр	hold on
шăтăк	hole
уяв	holiday
хăвăл	hollow
кил	home
киле панă ĕç	homework
тӳрĕ кăмăллă	honest
тӳрӗ	honestly
пыл	Honey
чунăм	Honey
чыс	honor
капюшон	hood
çекĕл	hook
сик	hop
шан	hope
шанчăк	hope
шанчăкпа	hopefully
шанчăксăр	hopeless
горизонт майлă	horizontal
мăйрака	horn
тискер	horrible
сехре хăпни	horror
лаша	horse
больница	hospital
тараватлăх	hospitality
хӑнала	host
хуҫа	host
тӑшманлă	hostile
вĕри	hot
хăна çурчĕ	hotel
сехет	hour
сехет	hours
ҫурт	house
кил-ҫурт	household
мĕнле	how
эсӗ мӗнле	how about you
мĕнле пурăнатăр	how are you
мĕнле пурăнатăр	how are you doing
паян сан мĕнле ĕçсем	how are you doing today
эсĕ паян мĕнле	how are you today
мĕнле ĕçсем	how do you do
мĕнле	how is
миçе	how many
мӗн чухлӗ	how much
мĕнле хăвăрт	how often
эсир миçере	how old are you
Кун мĕнле иртрĕ?	how was your day
каçа мĕнле ирттертĕн	how was your night
пулин те	however
çыхă	hub
упăшкам	hubby
ытала	hug
ытам	hug
питӗ пысăк	huge
этем	human
пӑханакан	humble
нӳрĕк	humid
нÿрĕк	humidity
çĕр	hundred
выçă	hungry
сунара çÿре	hunt
çил-тăвăл	hurricane
васка	hurry
хăвăртрах	hurry up
сăтăрла	hurt
упăшка	husband
вĕтелен	hustle
вĕркĕшӳ	hustle
лаç	hut
гигиена	hygiene
Эпĕ	I
Эпĕ	I am
Манăн веҫех лайăх	I am fine
Эпĕ пултаратăп	I can
Эпӗ пултараймастӑп	I can't
Эпĕ тăватăп	I do
Эпĕ пĕлместĕп	I do not know
Эпĕ ăнланмастăп	I do not understand
Эпĕ мар	I don't
Эпĕ пĕлместĕп	I don't know
Эпĕ ăнланмастăп	I don't understand
Эпĕ сана ăнланмастăп	I don't understand what you mean
Эпĕ сана ăнланмастăп	I don't understand you
Эпĕ пĕлместĕп	I don’t know
Эпĕ ăнланмастăп	I don’t understand
эпĕ тавçăрнă тăрăх	i guess
Манăн пурччĕ	I had
Манăн пур	I have
Эпĕ пултăм	I have been
Эпĕ шанатăп	I hope so
Эпĕ пĕлетĕп	I know
Мана килӗшет	I like
Эсĕ мана килĕшетĕн	I like you
Эпĕ юрататăп	I love
Эпĕ пиччене юрататăп	I love my big brother
Эпĕ аппана юрататăп	I love my big sister
Эпĕ аттене юрататăп	I love my father
Эпĕ шăллăма юрататăп	I love my little brother
Эпĕ йăмăка юрататăп	I love my little sister
Эпĕ аннене юрататăп	I love my mother
Эп сана юрататăп	I love you
Эпе сана питĕ юрататăп	I love you so much
эпе те сана юрататăп	I love you too
Эпӗ каласшӑн	I mean
Эпĕ тунсăхлатăп	I miss you
манăн сана питĕ курас килет	I miss you so much
Эпĕ куратăп	I see
Эп çапла шутлатăп	I think
Эпĕ ăнланатăп	I understand
Ман кăмăл пур	I want
Ман сана курас килет	I want to see you
Манăн сана кăмăл пур	I want you
Эпĕ пултăм	I was
Ман кăмăл пур	I will
Эпĕ пулăттăм	I would be
Эпĕ	I'm
Манă веçех лайăх	I'm fine
Аван туятăп	I'm good
Эпĕ кунта	I'm here
Каçарăр	I'm sorry
пăр	ice
мороженăй	ice cream
шухăш	idea
питĕ лайăх	ideal
пĕрешкел	identical
палла	identify
пӗрпеклӗх	identity
тăмсай	idiot
пушăлла	idle
енчен	if
шута ан ил	ignore
чирлĕ	ill
саккунлă мар	illegal
чир	illness
Илоканла	Ilocano
ÿкерчĕк	image
ăсра сăнарла	imagine
халех	immediate
халех	immediately
путар	immense
витĕм кӳр	impact
витĕм	impact
чăтăмсăр	impatient
усă кур	implement
импорт	import
импортла	import
кирлĕ	important
хур	impose
май ҫук	impossible
кӑмӑла кай	impress
кăмăла витни	impression
витĕмлĕ	impressive
лайӑхлат	improve
лайӑхланни	improvement
ăшĕнче	in
унсăр пуçне	in addition
Фактсем тăрăх	In fact
малта	in front of
тесе	in order to
вырӑнсӑр	inappropriate
хавхалану	incentive
инцидент	incident
кĕрт	include
пĕрле	including
тупăш	income
кансӗрлӗх	inconvenience
лайăхлат	increase
лайăхлану	increase
пысӑклатнӑ	increased
тĕлĕнмелле	incredible
чăнах та	indeed
ирĕклĕ	independent
Инди	India
катарт	indicate
ку çĕрти	indigenous
уйрăм	individual
промышленность	industry
пурпĕрех пулакан	inevitable
пепке	infant
инфекци	infection
чикĕсĕрлĕх	infinity
çулăмлану	inflammation
кӳпшеклӗх	inflation
витерӳ	influence
витер	influence
пĕлтер	inform
пĕлтерӳ	information
ингредиентсем	ingredients
еткер	inheritance
малтанхи	initial
пуçарулăх	initiative
аманнă	injured
суран	injury
айван	innocent
çĕнĕлĕх	innovation
ыйту	inquiry
ӑстӑнӗ пӑсӑлнӑ	insane
хурт-кăпшанкă	insect
хăрушă	insecure
кĕрт	insert
шалти	inside
ăнкарулăх	insight
çине тăр	insist
ыйхă çĕтни	insomnia
хавхалану	inspiration
ӳкӗте кӗрт	inspire
ларт	install
тĕслĕх	instance
самантлӑх	instant
вырăнне	instead
вырăнне	instead of
инструкци	instructions
инструмент	instrument
кÿренÿ	insult
страховани	insurance
тĕрĕс-тĕкел	intact
пĕрлĕх	integrity
интеллектуаллӑ	intellectual
ăс-хакăл шайĕ	intelligence
пĕлӳллĕ	intelligent
шухӑш тыт	intend
уйăрса хуни	intended
интенсивлă	intense
шухăш	intention
пĕр-пĕрне витĕм кÿрер	interact
пӗр-пӗринпе хутшăнни	interaction
кăсăклăх	interest
кăсăкланнă	interested
кăсăк	interesting
хутшăн	interfere
хутлăх	intermediate
шалти	internal
халăхсем хушшинчи	international
стажировка	internship
ăнлантар	interpret
ăнлантаракан	interpreter
тат	interrupt
интервью	interview
çывăх	intimate
шала	into
паллаштар	introduce
паллашу	introduction
именчӗк	introvert
сисĕмлĕх	intuition
вăйра мар	invalid
ăсла	invent
инвентарь	inventory
инвестици ту	invest
тĕпче	investigate
йыхрав	invitation
йыхравла	invite
счет	invoice
счет пар	invoice
явăçтар	involve
явăçтарнă	involved
тимӗр	iron
утюгла	iron
утрав	island
уйрӑм	isolated
кăлар	issue
ыйту	issue
ыйтусем	issues
вăл	it
ку	it is
ку пулнă	it was
ку	it's
аванах	it's ok
Пурте йĕркеллĕ	It's okay
пункт	item
пунктсем	items
унăн	its
Эпĕ	I’m
жакет	jacket
тĕрмене яр	jail
Кăрлач	January
кăкшăм	jar
янах шăмми	jaw
кӗвӗҫ	jealous
карт туртăнни	jerk
ювелир таварĕсем	jewelry
ӗҫ	job
вӗттӗн-вӗттӗн пусса чуп	jogging
пĕрлештер	join
çыхăнтар	joint
шÿт	joke
журналист	journalist
çул çӳрев	journey
савăнăç	joy
суд ту	judge
судья	judge
сĕткен	juice
утă уйăхĕ	july
сик	jump
çĕртме	june
ҫӗтӗк-ҫатӑк	junk
чăн	just
çеç	just
ахаль ту	just do it
тĕрĕслĕх	justice
ҫирӗплетсе пар	justify
Калааллисутла	Kalaallisut
ăнтăлать	keen
сыхла	keep
малалла ту	keep it up
упранакан	kept
чейник	kettle
ҫӑраҫҫи	key
урапа тап	kick
ача	kid
ача-пӑчалла хӑтланни	kidding
пÿре	kidney
ачасем	kids
вĕлер	kill
йăх	kind
ырă	kind
евĕрлĕ	kinda
ырă кăмăлпа	kindly
ырӑ кӑмӑл	kindness
король	king
чуп ту	kiss
кухня	kitchen
хут çĕлен	kite
кушак çури	kitten
чĕркуççи	knee
пĕлнĕ	knew
çĕçĕ	knife
рыцарь	knight
пĕл	know
пĕлӳ	knowledge
паллă	known
Конканла	Konkani
Креола	Krio
этикетка	label
этикетка çыпăçтар	label
ĕç	labor
ĕç	labour
çитмес	lack
пусма	ladder
леди	lady
хур	laid
кÿле	lake
путек	lamb
уксах	lame
лампа	lamp
çĕр	land
анса лар	land
ландшафт	landscape
чĕлхе	language
чĕркуççи	lap
пысӑк	large
юлашки	last
юлашки, анчах кирли	last but not least
хушамат	last name
кайран	late
нумай пулмасть	lately
каярах	later
чи кая юлни	latest
юлашки	latter
кулӑ	laugh
кулакан	laughing
ăхăлтатни	laughter
тапратса яр	launch
прачечнăй	laundry
саккун	law
уçланкă	lawn
юрист	lawyer
хур	lay
си	layer
вырнаҫу схеми	layout
кахал	lazy
ерт	lead
лидер	leader
çулçă	leaf
юхӑм	leak
тайăл	lean
сикни	leap
вĕрен	learn
вĕренÿ	learning
аренда	lease
чи пӗчӗкки	least
саран	leather
хăвар	leave
кайни	leave
сулсасем	leaves
ертсе пыракан	led
сулахай	left
ура	leg
еткер	legacy
право	legal
çырни	legend
легаллĕ	legit
ерҫӳ	leisure
кивçен	lend
вăрăмăш	length
сахалрах	less
урок	lesson
май пар	let
çыру	letter
салат	lettuce
шай	level
вăй	leverage
обязательство	liability
вулавăш	library
çула	lick
ултала	lie
ултав	lie
суя	lies
пурнăç	life
çĕкле	lift
лифт	lift
ҫут	light
ҫутă	light
свет	light
çиçĕм	lightning
килĕштер	like
ҫавӑн пек	likely
çавăн пек	likewise
йĕр	line
Лингала	Lingala
çыхăну	link
арăслан	lion
шĕвек	liquid
список	list
итле	listen
итлекен	listening
пĕр улăштармасăр	literally
литература	literature
çÿпĕле	litter
пӗчӗккӗ	little
пурăн	live
чĕрĕ	live
пĕвер	liver
пурăнать	lives
пурăнакан	living
хăна пÿлĕмĕ	living room
калта	lizard
тиев	load
буханка	loaf
заем	loan
вырăнти	local
вырăн	location
çăра	lock
локдаун	lockdown
пĕрене	log
ахăлтат	lol
пĕччен	lonely
вăрăм	long
курманни нумай пулать	long time no see
пăхни	look
пăх	look
йăлă	loop
пушă	loose
пушат	loose
лорд	lord
ҫухат	lose
çухату	loss
çухат	lost
нумай	lot
хытă	loud
кану пÿлĕмĕ	lounge
юрату	love
юратма	love
сана юрататăп	love you
кӑмӑллӑ	lovely
лутра	low
аяларах	lower
лояллă	loyal
хисеплени	loyalty
ăнăçу	luck
ăнăçлă	lucky
Лугандла	Luganda
багаж	luggage
пысӑк муклашка	lump
кăнтăр апачĕ	lunch
ÿпке	lungs
капӑрлӑх	luxury
суялăх	lying
станок	machine
ăсран кайнă	mad
мадам	madam
тунӑ	made
журнал	magazine
чаплă	magnificent
хĕр	maid
тĕп	main
пăхса тăр	maintain
пăхса тăни	maintenance
Майтхилила	Maithili
мăнă	major
майор	major
ытларах	majority
ту	make
сăн-пите илемлетни	make up
арçын	male
суту-илÿ центрĕ	mall
арçын	man
пултар	manage
пуçлăхсем	management
ертÿçĕ	manager
тивĕçле йĕркепе	mandatory
манифест	manifest
манипуляциле	manipulate
манер	manner
алӑ	manual
нумай	many
чи пахине сунатăп	many many happy returns of the day
пуш	march
маржа	margin
пасар	market
авлану	marriage
авланнă	married
маскӑ	mask
купа	mass
катмар	massive
маçтăр	master
пĕр килтер	match
пĕр килни	match
юлташ	mate
материал	material
математика	math
япала	matter
пĕлтерет	matter
ҫитӗнсе ҫитни	maturity
чечекленӳ	may
пултар	may
пулма пултарать	maybe
мана	me
мана та	me too
çимĕç	meal
вăталăх	mean
пĕлтерет	mean
пелтерĕш	meaning
мелсем	means
пĕлтерĕшлĕ	meant
ҫав вăхăтра	meanwhile
виç	measure
виçевсем	measures
аш	meat
медицина	medical
эмел	medicine
медитаци	meditation
хутлăх	medium
тĕл пул	meet
пуху	meeting
Манипурла	Meiteilon
ирĕлчĕ	melt
аса илӳсем	memories
ас тăвăм	memory
ăс-тăн	mental
асăннă	mention
асăннă	mentioned
вӗрентекен	mentor
купец	merchant
ыркăмăллăх	mercy
çеç	merely
телейлӗ раштав ячĕпе	merry christmas
йĕркесĕрлĕх	mess
çыру	message
хура	messy
металл	metal
меслет	method
шӑшисем	mice
варри	middle
çур çĕр	midnight
вăй-хăват	might
ҫемҫе	mild
тапхăр	milestone
çар ҫынни	military
сĕт	milk
миллион	million
шут	mind
тавлаш	mind
менталитет	mindset
манăн	mine
рудник	mine
пӑтрат	mingle
палăрăмсăр	minor
минут	minute
протокол	minutes
тӗлӗнтермӗш	miracle
тĕкĕр	mirror
тĕрлĕрен	miscellaneous
ашкăнчăк	mischievous
пĕтĕ сахал	miserable
терт	misery
тунсăхла	miss
сана тунсăхлатăп	miss you
тунсăхлакан	missing
мисси	mission
тĕтре	mist
йăнăш	mistake
Мизола	Mizo
мобильнăй	mobile
мăшкăлав	mock
модель	model
лăплантар	moderate
лăпкă	moderate
пирĕн вăхăтри	modern
сăпайлă	modest
йӗпет	moist
нÿрĕк	moisture
форма	mold
формӑла	mold
каюра	mole
аннеçĕм	mom
самант	moment
тунти кун	monday
укçа	money
тĕрĕсле	monitor
упăте	monkey
уйăх	month
кӑмӑл	mood
тĕксĕм	moody
уйăх	moon
мораль	moral
нумайрах	more
тата	moreover
ир	morning
ипотека	mortgage
чи	most
ытларах чух	mostly
анне	mother
хускану	motion
мотиваци	motivation
ту	mountain
шăши	mouse
çăвар	mouth
куç	move
куçăм	movement
кинофильм	movie
госпожа	mrs
нумай	much
пылчăк	mud
курка	mug
мускул	muscle
музей	museum
кăмпа	mushroom
кĕвĕ	music
чи кирли	must
тивĕç	must
нимуй	mute
хире-хирĕçле	mutual
манăн	my
Хаклă çыннăм	My dear
манăн юлташ	my friend
Манăн сывлăш минтерĕ çинчи карап çĕлен пулăсемпе тулнă	My hovercraft is full of eels
мăнăн юрату	my love
ман ят	my name is
тархасшăн	my pleasure
эпĕ хам	myself
ăнланма çук	mysterious
вăрттăнлăх	mystery
миф	myth
чĕрне	nail
айван	naive
ят	name
çырса пани	narrative
ансăр	narrow
ирсӗр	nasty
наци	national
национальность	nationality
тăван	native
сут çанталакри	natural
çутçанталăк	nature
кăмăл пăтранни	nausea
çывăх	near
çывăх	nearby
чутах	nearly
типтерлĕ	neat
кирлĕ	necessary
мăй	neck
мӑй ҫыххи	necklace
кирлĕ	need
кирлĕлĕх	need
начар	negative
тиркеш	neglect
калаҫса ил	negotiate
кÿршĕ	neighbor
микрорайон	neighborhood
нихăш те	neither
тăвансен ывăлĕ	nephew
тăнлă çын	nerd
лăпкă мар	nervous
йăва	nest
сетка	net
сеть	network
нейтраллă	neutral
нихăçан	never
нихăçан та ан пăрах	never give up
нимех те мар	never mind
ним те мар	nevermind
апла пулин те	nevertheless
çĕнĕ	new
хыпар	news
тепри	next
юнашар	next to
хитре	nice
сире курма хавас	nice to meet you
тăван аппа хĕрĕ	niece
каç	night
сехре хăппи	nightmare
тăххăр	nine
вун тăххăр	nineteen
тăхăр вуннă	ninety
Çук	No
проблема çук	no problem
çул сук	no way
никам	nobody
шав	noise
шавла	noisy
çук	none
кантăрла	noon
ҫук ҫав	nope
йĕркеллĕ	normal
çурçĕр	north
сăмса	nose
тунсăхлă	nostalgic
çук	not
нимех те	not at all
япăх мар	not bad
Халь мар	Not now
çук ха	not yet
асӑрхаттарни	note
паллӑ тунӑ	noted
нимĕн те	nothing
асăрха	notice
асӑрханӑ	noticed
япала ячĕ	noun
япала ячĕсем	nouns
роман	novel
чӳк уйăхĕ	november
халĕ	now
пирӗн вӑхӑтра	nowadays
инкек	nuisance
ноль	null
шак хыт	numb
номер	number
няня	nurse
мăйăр	nut
мускат мăйăрĕ	nutmeg
апат	nutrition
тупа	oath
мӑнтӑрланни	obesity
пăхăн	obey
объект	object
задача	objective
тивĕç	obligation
тĕттĕмле	obscure
сăнав	observation
сăна	observe
ухмаха ернĕ	obsessed
ăссăрла вăйлă туртăм	obsession
кивелнĕ	obsolete
чăрмав	obstacle
ил	obtain
илчĕ	obtained
ăнланмалла	obvious
уççăн	obviously
хушăран	occasionally
оккупаци	occupation
ерҫӳсӗр	occupied
килсе тух	occur
тухрӗ	occurred
тухать	occurs
океан	ocean
юпа уйăхĕ	october
мăшăрсăр	odd
мӑшӑрлӑ мар	odds
паллах	of course
чарăннă	off
кӳрентерекен	offensive
сĕнӳ	offer
сĕн	offer
офис	office
ĕçлĕ йĕркепе	official
час-час	often
О	Oh
о, чăнах-и?	oh really
тип çу	oil
юрĕ	ok
юрать тусăм	ok dear
юрать, хаклă çыннăм	ok honey
юратăвăм	ok my love
юрĕ	okay
юрĕ пепкем	okay baby
çапла пултăр хаклă тусăм	okay dear
аван чунăм	okay honey
ҫапла манӑн юратӑвӑм	okay my love
ватӑ	old
çинче	on
пĕррехинче	once
пĕрре	one
пĕр чĕлхе анчах яланах çителĕксĕр	one language is never enough
сухан	onion
онлайн	online
çеç	only
уҫ	open
операци	operation
шухăш	opinion
майсем	opportunities
май	opportunity
хирĕҫ	opposite
оптитмистла	optimistic
опци	option
опци	optional
е	or
апельсин	orange
вут-тĕс	orange
саккас ту	order
саккас	order
кулленхи	ordinary
организаци	organization
ориентаци	orientation
пулса кайни	origin
оригинал	original
Оромола	Oromo
тăлăх	orphan
ытти	other
урăхла пулсан	otherwise
тивĕçлĕ пул	ought
пирĕн	our
Пирӗн мисси –  кашнинех тӗнчене ӑнланма тата хӑйӗн шухӑшне кирек епле чӗлхепе те каласа пама ирӗк туса парасси.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Пирĕн мисси – тĕнче информацине системӑласа  пурне те усӑ курма юрӑхлӑ та усӑллӑ туса парасси.	Our mission: to organize the world's information and make it universally accessible and useful.
тулаш	out
тухăçлăх	outcome
тум	outfit
пăрахса каякан	outgoing
пĕлтерĕш	outlet
кăтартса пар	outline
тулта	outside
паллă	outstanding
плита	oven
ытла	over
унта	over there
пур çĕрте те	overall
çĕнтер	overcome
ытла нумай шутлани	overthinking
алчӑранӑ	overwhelmed
чи	overwhelming
парăмлан	owe
тăмана	owl
харпӑрлӑх	own
харпӑр	own
харпăрлăхçă	owner
ĕç вăкăрĕ	ox
утăм тăршшĕ	pace
чӗркесе хур	pack
упаковка	package
тÿленĕ	paid
ырату	pain
сăрă	paint
картина	painting
мăшăр	pair
шупка	pale
пальма	palm
çатма	pan
пандеми	pandemic
паника	panic
йĕм	pants
хут	paper
çăтмах	paradise
параллельлĕ	parallel
посылка	parcel
каçарăр	pardon
атте-анне	parents
парк	park
попугай	parrot
петрушка	parsley
пай	part
хутшăн	participate
ӑрасна	particular
уйрăммăн	particularly
партнер	partner
пухă	party
иртсе кай	pass
хушă	passage
иртрĕ	passed
питӗ вӑйлӑ туйӑм	passion
хӑйӗн ӗҫӗпе кӑсӑкланнӑскер	passionate
пассивлă	passive
пароль	password
иртнĕ	past
пластырь	patch
сукмак	path
ниме юрăхсăр	pathetic
чăтăмлăх	patience
чăтăмлă	patient
пациент	patient
эреш	pattern
тăхтав	pause
тротуар	pavement
тӳле	pay
тÿлев	payment
мир	peace
мирлĕ	peaceful
персик	peach
тăрри	peak
груша	pear
пăрçа	peas
ыттисенчен уйрăм	peculiar
шăр	pee
шăк	pee
хупа	peel
пĕр шайра	peer
пĕрешкел	peers
ручка	pen
кăранташ	pencil
пăхса тухмалли	pending
çынсем	people
пăрăç	pepper
ӑнлан	perceive
туйни-илтни	perception
питӗ лайӑх	perfect
пурнăçла	perform
спектакль	performance
ахăр	perhaps
тапхăр	period
яланхи	permanent
ирĕк пани	permission
ирӗк пар	permit
ҫине тӑни	perseverance
ҫине тӑракан	persistent
çын	person
персонал	personal
уйрăм çын	personality
куç çити тавралăх	perspective
ĕнентер	persuade
пӑсса пӗтер	pervert
алла хăнăхтарнă чĕр-чун	pet
фаза	phase
пулăм	phenomenon
философи	philosophy
шăнкăравла	phone
сăн ÿкерчĕк	photo
пуплев	phrase
физикăлла	physical
пухма	pick
пуçтар	pick up
картинка	picture
татăк	piece
татăксем	pieces
сысна	pig
кăвакарчăн	pigeon
сăвай	pile
минтер	pillow
пилот	pilot
штифт	pin
ананас	pineapple
писев	pink
шӑтӑк	pit
хушă	pitch
шалкă	pity
хур	place
вырăн	place
вырӑнсем	places
ылхан	plague
тӳрем	plain
план	plan
тикĕсле	plane
ӳсен-тăран	plant
ӳсен-тăрансем	plants
турилкке	plate
платформа	platform
выля	play
вăйă	play
вылякан	playing
кăмăллă	pleasant
киллентер	please
тархасшăн	please
кăмăллă	pleased
киленӳ	pleasure
салук	pledge
нумай	plenty
çĕр лаптăкĕ	plot
пробка	plug
слива	plum
шыв пăрăхĕпе ĕçлекен	plumber
нумайлă хисеп	plural
подкаст	podcast
сӑвӑ	poem
поэзи	poetry
кăтарт	point
наркăмăш	poison
полицейски	police
