abandoned	جێهێڵراو
farmer	جووتیار
farm	کێڵگە
far	دوور
fascinating	سەرنج ڕاکێش
fashion	جلوبەرگ
fast	خێرا
fatal	کوشندە
fate	چارەنووس
father	باوک
fatigue	شەکەتی
fat	قەڵەو
fault	هەڵە
favorite	خوازراو
favourite	خوازراو
favour	خواست
fear	ترس
feast	جەژن
feather	پەڕ
features	تایبتمەندیەکان
feature	تایبەتمەندی
february	شوبات
fed up	بێزار
feedback	فیدباک
feed	خۆراک پێدان
feeling	هەست
feel	هەست
feet	پێ
fee	کرێ
fellow	هاوتا
fell	کەوت
felt	هەستی کرد
female	مێینە
fence	پەرژین
fertile	بەپیت
festival	فیستیڤاڵ
fetch	هێنان
fever	تا
fewer	کەمتر
few	کەم
fiance	دەسگیران
fiction	چیرۆکی خەیاڵی
field	مەیدان
fierce	تووند
fifteen	پازدە
fifty	پەنجا
fighting	جەنگان
fight	جەنگ
figure out	زانین
figure	شێوە
file	فایل
filled	پڕی کردەوە
fill	پڕکردنەوە
film	فلیم
filthy	پیس
finally	لەکۆتاییدا
finance	دارایی
financial	دارایی
find out	زانین
find	دۆزینەوە
fine	باش
finger	پەنجە
finished	تەواو کرد
finish	کۆتایی
fire	ئاگر
firm	تووند
first name	ناوی یەکەم
first	یەکەم
fish	ماسی
fit	گونجان
five	پێنج
fixed	جێگیر
fix	چاکردن
flag	ئاڵا
flash	فلاش
flat	شوقە
flawless	سانا
flaw	گوزەر
flee	ڕای کرد
flesh	گۆشتی مرۆڤ
flew	فڕی
flexible	گونجاو
flex	فلێکس
flight	گەشتی ئاسمانی
flip	وەرگەڕاندن
flirting	ڕابواردن
flirt	یەکەم
float	سەرئاو کەوتن
flood	لافاو
floor	نهۆم
flour	ئارد
flower	گوڵ
flow	گوزەر
fluently	بە پاراوی
fluent	پاراو
fluffy	تووکن
fluid	شلە
flu	ئەنفلوەنزا
fly	فڕین
focus	جەخت
foggy	تەماوی
fog	تەم
fold	نووشتانەوە
folks	گەل
following	دواتر
follow up	بەدواداچوون
follow	بەدواداچوون
food	خواردن
foolish	گەمژە
fool	گەمژە
football	تۆپی پێ
foot	پێ
forbidden	قەدەغە
force	هێز
forecast	پێشبینی کەشوهەوا
forehead	نێوچەوان
foreign	بیانی
forest	دارستان
forever	بۆ هەمیشە
For example	بۆ نموونە
forget	لەبیرکردن
forgive	لێخۆش بوون
forgot	لەبیری کرد
for instance	بۆ نموونە
fork	چەنگاڵ
formal	فەرمی
former	پێشووتر
form	فۆرم
fortunately	خۆشبەختانە
fortune	سامان
forty-two	چل و دوو
forty	چل
forward	بۆ پێشەوە
for you	بۆ تۆ
for	بۆ
foster	بەخێوکردن
fought	جەنگا
foundation	دامەزراوە
found	دۆزیەوە
fourteen	چواردە
four	چوار
fox	ڕێوی
fragile	شلۆق
framework	چوارچێوە
frame	چوارچێوە
fraud	ساختە
freak	نامۆ
freedom	ئازادی
freeze	بەستن
free	ئازاد
frequency	دووبارە بوونەوە
frequently	بەردەوام
frequent	چەندبارە
fresh	تازە
friday	هەینی
fridge	سەلاجە
friendly	دۆستانە
friendship	هاوڕێیەتی
friends	برادەر
friend	برادەر
frightened	ترساو
frightening	ترسان
frog	بۆق
from	لە
front	پێشەوە
frozen	بەستوو
fruit	میوە
frustrated	بێزار
fuel	سووتەمەنی
Fulfulde	فولفولد
full	پڕ
function	کردار
fundamental	بنەڕەتی
funeral	تازیە
funny	گاڵتەئامێز
fun	خۆش
furious	تووڕە
furniture	کەلوپەلی ماڵەوە
furthermore	زیاتر
further	زیاتر
fur	موو
future	ئایندە
gain	بەدەست هێنان
game	یاری
gap	کەلێن
garage	گەراج
garbage	خاشاک
garden	باخچە
garlic	سیر
gate	دەروازە
gathering	کۆبوونەوە
gather	کۆکردنەوە
gauge	گێچ
gave	پێیدا
gear	گێڕ
gender	ڕەگەز
generally	بەگشتی
general	گشتی
generate	بەرهەم هێنان
generation	نەوە
generous	سەخی
genius	بلیمەت
genre	ژانرا
gentle	هێواش
genuine	ڕەسەن
gesture	ئاماژە
get dressed	جلت لەبەر بکە
getting	وەرگرتن
get up	هەستان
get well soon	بەهیوای چاک بوونەوە
get	وەرگرتن
ghosting	سێبەر
ghost	تارمایی
giant	زەبەلاح
gift	دیاری
ginger	زەنجەفیل
girlfriend	کچە هاوڕێ
girl	کچ
given	دراو
give up	وازهێنان
give	پێدان
glad	خۆشحاڵ
glance	چاوتروکان
glasses	چاوێلکە
glass	شووشە
glimpse	سەرنجدان
global	جیهانی
gloomy	پەست
gloves	دەستەوانە
glow up	درەوشانەوە
glow	درەوشانەوە
glue	سیکۆتین
go ahead	بەردەوام بە
goals	ئامانجەکان
goal	ئامانج
goat	بزن
go away	بڕۆ
god bless you	خودا ڕەحمت پێ بکات
god	خواوەند
goes	دەچێت
going to	چوون بۆ
going	چوون
gold	زێڕ
gone	ڕۆیشت
good afternoon	دوای نیوەڕت باش
good bye	ماڵئاوا
goodbye	ماڵئاوا
good day	بەهیوای ڕۆژێکی خۆش
good evening	ئێوارە باش
good job	ئافەرین
good looking	باش دیارە
good luck	بەهیوای بەختێکی باش
good morning my love	بەیانی باش ئازیزەکەم
good morning	بەیانی باش
good night	شەو شاد
goodnight	شەو شاد
goods	کەلوپەلەکان
good	باش
Google Translate	وەرگێڕانی گوگڵ
Google	گوگڵ
goose	قاز
goo	لینج
gorgeous	قەشەنگ
gossip	قسەوقسەڵۆک
got it	تێگەیشتم
go to bed	بڕۆ بخەوە
got	وەرگرتن
government	حکومەت
go	بڕۆ
grab	ڕاکێشان
grade	پلە
gradually	پلە بە پلە
graduate	دەرچوو
grain	گەنم
granted	بەخشراو
grant	بەخشین
grapes	ترێ
grasp	گرتن
grass	گیا
grateful	سوپاسگوزار
gratitude	سوپاسگوزاری
grave	گۆڕ
gray	خۆڵەمێشی
great	مەزن
greedy	چاوچنۆک
greed	چاوچنۆک
green	سەوز
greetings	سڵاو
greeting	سڵاو
greet	سڵاو
grey	خۆڵەمێشی
grid	تۆڕ
grief	خەم
grind	تێکشکاندن
grip	گرتن
grocery	سەوزەفرۆش
groom	زاوا
gross	کۆ
ground	زەمینە
group	گروپ
growth	گەشە
grow	گەشەکردن
grumpy	گازاندەکەر
Guarani	گوارانی
guarantee	گەرەنتی
guard	پاسەوان
guess	مەزەندەکردن
guest	میوان
guidance	ڕێنوێنی
guide	ڕێنوێنی
guilty	تاوانبار
guys	هاوڕێیان
guy	هاوڕێ
gym	جیم
habitat	نشینگە
habit	خوو
had	هەی بوو
hail	تەرزە
hair	قژ
half	نیو
hall	هۆڵ
handle	دەسک
handsome	قۆز
hand	دەست
hang out	چوونە دەرەوە
hang	هەڵواسین
happened	ڕوویدا
happen	ڕوویدا
happiness	بەختەوەری
happy birthday to you	ڕۆژی لەدایک بوونت پیرۆز بێت
happy birthday	یادی لەدایک بوونت پیرۆز بێت
happy new year	ساڵی نوێت پیرۆز بێت
happy	خۆشحاڵ
hardly ever	هەرگیز جارێکی تر
hardly	بە سەختی
hard	سەخت
harmful	زیان بەخش
harmony	ئاواز
harm	ئازار
harsh	تووند
harvest	بەرهەم
has	هەیەتی
hate	ڕق
have a good day	بەهیوای ڕۆژێکی شاد
have a nice day	بەهیوای ڕۆژێکی شاد
have breakfast	خواردنی نانی بەیانی
have fun	بەهیوای کاتێکی خۆش
have you eaten	نانت خواردووە
have	هەبوون
having	هەبوون
hazard	مەترسی
haze	تەم
headache	ژانەسەر
head	سەر
healing	چاک بوونەوە
healthy	تەندروست
health	تەندروستی
heal	چاک بوونەوە
heard	بیستی
heart	دڵ
hear	بیستن
heat	گەرمایی
heaven	بەهەشت
heavy	قورس
hectic	سەرقاڵ
he has	هەیەتی
height	بەرزی
heir	میرات
heist	پەلە
he is	ئەو
held	ئەنجامدان
hello dear	سڵاو گیانە
hello how are you doing	تۆ چۆنیت
hello how are you	سڵاو چۆنیت
Hello	سڵاو
hell	دۆزەخ
helmet	کڵاوزرێ
helpful	یارمەتیدەر
help	یارمەتیدان
hence	لێرەوە
herd	مێگەل
here	لێرە
heritage	کەلەپور
her	ئەو
hesitate	دوودڵی
Hey	سڵاو
he	ئەو
hidden	شاراوە
hide	شاردنەوە
hierarchy	هەڕەم
highlight	بەرجەستەکردن
high	بەرز
hi how are you	سڵاو چۆنی
hike	سەرشاخ کەوتن
hiking	سەرشاخ کەوتن
hilarious	گاڵتەئامێز
hill	گرد
him	ئەو
hint	ئاماژە
hips	سمت
hip	ڕان
hire	بەکرێ گرتن
hiring	بەکرێگرتن
history	مێژوو
Hi there	سڵاو
hit	لێدان
Hi	سڵاو
Hmm	هم
hobby	خوولیا
hold on	چاوەڕوان بە
hold	ڕاگرتن
hole	کون
holiday	پشوو
hollow	ناوچاڵ
homework	ئەرکی ماڵەوە
home	ماڵەوە
honestly	بە ڕاشکاوانە
honest	ڕاستگۆ
Honey	گیانە
honor	شەرەف
hood	کڵاو
hook	قولاب
hopefully	بەو هیوایەی
hopeless	بێ هیوا
hope	هیوا
hop	بازدان
horizontal	ئاسۆیی
horn	قۆچ
horrible	سامناک
horror	ترس
horse	ئەسپ
hospitality	میوانداری
hospital	نەخۆشخانە
hostile	دووژمنکارانە
host	خانەخوێ
hotel	ئوتێل
hot	گەرم
hours	کاتژمێر
hour	کاتژمێر
household	خانەوادە
house	خانوو
how about you	چی دەربارەی تۆ
how are you doing today	ئەمڕۆ چۆنیت
how are you doing	چۆنی
how are you today	چۆنی گیانە
how are you	چۆنی
how do you do	چۆنی
however	هەرچۆنێک بێت
how is	چۆنە
how many	چەند
how much	چەند
how often	چەند جار
how old are you	تەمەنت چەند ساڵە
how was your day	ڕۆژەکەت چۆن بوو
how was your night	شەوەکەت چۆن بەسەر برد
how	چۆن
hubby	مێرد
hub	ناوەند
huge	گەورە
hug	لە باوەشکردن
human	مرۆڤ
humble	سادە
humidity	شێ
humid	شێ
hundred	سەد
hungry	برسی
hunt	ڕاوکردن
hurricane	گەردەلول
hurry up	پەلە بکە
hurry	خێرایی
hurt	ئازار
husband	مێرد
hustle	خێرا
hut	کوخ
hygiene	پاکوخاوێنی
I am fine	من باشم
I am	من
I can't	ناتوانم
I can	دەتوانم
ice cream	ئایس کرێم
ice	سەهۆڵ
ideal	نموونەیی
idea	بیرۆکە
identical	هاوتا
identify	دەسنیشانکردن
identity	ناسنامە
idiot	بێ ئەقڵ
idle	تاک
I do not know	نازانم
I do not understand	من تێناگەم
I don't know	نازانم
I don’t know	نازانم
I don't understand what you mean	تێناگەم مەبەستت چیە
I don't understand you	من لە تۆ ناگەم
I don't understand	تێناگەم
I don’t understand	تێناگەم
I do	ئەنجامی دەدەم
if	ئەگەر
ignore	پشتگوێخستن
i guess	وای دەبینم
I had	هەمە
I have been	من
I have	هەمە
I hope so	هیوادارم
I know	دەزانم
I like you	تۆم خۆش دەوێت
I like	حەزی پێدەکەم
illegal	نایاسایی
illness	نەخۆشی
ill	نەخۆش
Ilocano	ئیلکانۆ
I love my big brother	برا گەورەکەی خۆم خۆش دەوێت
I love my big sister	خوشکە گەورەکەی خۆم خۆش دەوێت
I love my father	من باوکی خۆم خۆش دەوێت
I love my little brother	برا بچووکەکەی خۆم خۆش دەوێت
I love my little sister	خوشکە بچووکەکەی خۆم خۆش دەوێت
I love my mother	دایکی خۆم خۆش دەوێت
I love you so much	تۆم زۆر خۆش دەوێت
I love you too	منیش تۆم خۆش دەوێت
I love you	تۆم خۆش دەوێت
I love	من خۆشمدەوێت
image	وێنە
imagine	بیرکردنەوە
I mean	مەبەستم
I'm fine	من باشم
I'm good	من باشم
I'm here	من لێرەم
I miss you so much	زۆر بیرت دەکەم
I miss you	بیرت دەکەم
immediately	دەستبەجێ
immediate	دەستبەجێ
immense	مەزن
impact	کاریگەری
impatient	نائارامگر
implement	جێبەجێکردن
important	گرنگ
import	هاوردەکردن
impose	سەپاندن
impossible	نەگونجاو
impression	کاریگەری
impressive	بەرچاو
impress	سەرنج ڕاکێشان
improvement	باشترکردن
improve	باشترکردن
I'm sorry	داوای لێبووردن دەکەم
I'm	من
I’m	من
in addition	لەگەڵ
inappropriate	نەگونجاو
incentive	هاندەر
incident	ڕووداو
include	لەخۆگرتن
including	بەلەخۆگرتن
income	داهات
inconvenience	نائاسوودەیی
increased	زیادی کرد
increase	زیادکردن
incredible	ناوازە
indeed	لە ڕاستیدا
independent	سەربەرخۆ
India	هیندستان
indicate	ئاماژە پێکردن
indigenous	ڕەسەن
individual	تاکە کەسی
industry	پیشەسازی
inevitable	ڕێگری لێناکرێت
In fact	لە ڕاستیدا
infant	کۆرپە
infection	نەخۆشی
infinity	بێکۆتایی
inflammation	هەوکردن
inflation	ئاوسان
influence	کاریگەری
information	زانیاری
inform	ئاگادار کردنەوە
in front of	لە بەردەم
ingredients	پێکهاتە
inheritance	میرات گرتن
initial	سەرەتایی
initiative	دەستپێشخەری
injured	بریندار
injury	برین
innocent	بێتاوان
innovation	داهێنان
in order to	بۆ ئەوەی
inquiry	پرس
insane	شێت
insect	مێروو
insecure	نائارام
insert	تێکردن
inside	لەناو
insight	تێڕوانین
insist	پێداگری
insomnia	نەخەوتن
inspiration	ئیلهام
inspire	ئیلهام
install	دامەزراندن
instance	نممونە
instant	دەستبەجێ
instead of	لە جیاتی
instead	لەجیاتی
instructions	ڕێنماییەکان
instrument	ئامراز
insult	بێڕێزی
insurance	بیمە
intact	بێخەوش
integrity	یەکپارچەیی
intellectual	هزریی
intelligence	هەواڵگری
intelligent	هۆشمەند
intended	مەبەست
intend	مەبەست
intense	چڕ
intention	نیاز
interaction	کارلێک
interact	کارلێک کردن
interested	خوولیا
interesting	سەرنج ڕاکێش
interest	حەز
interfere	خۆ هەڵقورتاندن
intermediate	ناوەند
internal	ناوخۆیی
international	نێودەوڵەتی
internship	ڕهێنان
interpreter	وەرگێڕ
interpret	لێکدانەوە
interrupt	پچڕان
interview	چاوپێکەوتن
intimate	هاوڕاز
into	بۆ ناو
introduce	ناساندن
introduction	پێشەکی
introvert	گۆشەگیر
intuition	بەڵگە نەویست
invalid	نادروست
inventory	لیستی کەلوپەل
invent	داهێنان
investigate	لێکۆڵینەوە
invest	وەبەرهێنان
invitation	بانگێشتکردن
invite	بانگێشتکردن
invoice	پسوولە
involved	بەشدار
involve	بەشدار
in	لە
iron	ئاسن
I see	تێدەگەم
island	دوورگە
isolated	جیاکراوە
issues	کێشەکان
issue	کێشە
is	بریتیە لە
items	کەرەستەکان
item	کەلوپەل
I think	وا بزانم
it is	بریتیە لە
It's okay	ئاساییە
it's ok	ئاساییە
it's	ئەو
it	ئەو
I understand	من تێدەگەم
I want to see you	دەمەوێت تۆ ببینم
I want you	تۆم دەوێت
I want	دەمەوێت
I was	من
I will	من
I would be	من
I	من
jacket	چاکەت
jail	بەندیخانە
January	کانونی دووەم
jar	دۆلکە
jaw	شەویلاگ
jealous	حەسوود
jerk	جووڵەی خێرا
jewelry	گەوهەر
job	پیشە
jogging	ڕاکردن
joint	هاوبەش
join	پەیوەندیکردن
joke	نوکتە
journalist	ڕۆژنامەنووس
journey	گەشت
joy	خۆشی
judge	دادوەر
juice	شەربەت
july	تەموز
jump	بازدان
june	حوزەیران
junk	بێ کەڵک
just do it	تەنها ئەنجامی بدە
justice	دادپەروەری
justify	ڕاستکردنەوە
just	تەنها
Kalaallisut	کالالیسوت
keen	پەرۆش
keep it up	بەردەوام بە لە باشی
keep	پاراستن
kept	پاراستی
kettle	چاپەست
key	کلیل
kick	لێدان
kidding	گاڵتەکردن
kidney	گورچیلە
kids	منداڵەکان
kid	منداڵ
kill	کوشتن
kinda	جۆرێک
kindly	بە ڕێزەوە
kindness	دڵنەرمی
kind	جۆر
king	پاشا
kiss	ماچ
kitchen	مەتبەخ
kite	کۆلارە
kitten	بێچووە پشیلە
knee	ئەژنۆ
knew	زانی
knife	چەقۆ
knight	سوار
knowledge	زانیاری
known	زانراو
know	زانین
Konkani	کۆنکانی
Krio	کریۆ
label	لەیبڵ
labor	کار
labour	کار
lack	نەبوون
ladder	قادرمە
lady	خانم
laid	داینا
lake	دەریاچە
lamb	بەرخ
lame	بەربەست
lamp	چرا
landscape	ئاسۆیی
land	زەوی
language	زمان
lap	کۆش
large	گەورە
last but not least	دووایین بەڵام کەمترین نا
last name	ناوی کۆتایی
last	دوایین
lately	بەم دواییانە
later	دواتر
latest	تازەترین
late	درەنگ
latter	دواتر
laughing	پێکەنین
laughter	پێکەنین
laugh	پێکەنین
launch	بەکارخستن
laundry	جلشۆرگە
lawn	گژوگیا
lawyer	پارێزەر
law	یاسا
layer	چین
layout	ڕیزبەست
lay	پاڵ کەوتن
lazy	تەمبەڵ
leader	سەرکردە
lead	سەرکردایەتی
leaf	گەڵا
leak	دزەکردن
lean	خوار بوونەوە
leap	بازدان
learning	فێربوون
learn	فێربوون
lease	کرێ
least	کەمترین
leather	پێست
leaves	جێدەهێڵێت
leave	جێهێشتن
led	سەرکردایەتی کرد
left	چەپ
legacy	میرات
legal	یاسایی
legend	ئەفسانە
legit	یاسایی
leg	قاچ
leisure	کات بەسەربردن
lend	قەرزدان
length	درێژی
lesson	وانە
less	کەمتر
letter	نامە
lettuce	کاهوو
let	ڕێگە بدە
level	ئاست
leverage	کاریگەری لاوەکی
liability	لێپرسراویەتی
library	کتێبخانە
lick	لێستنەوە
lies	دەکەوێتە
lie	درۆ
life	ژیان
lift	بەرزکەرەوە
lightning	بروسک
light	ڕووناکی
likely	ئەگەر
likewise	بەهەمان شێوە
like	حەزپێکردن
line	هێڵ
Lingala	لینگالا
link	لینک
lion	شێر
liquid	شلە
listening	گوێگرتن
listen	گوێگرتن
list	لیست
literally	واتایی
literature	وێژە
litter	زبڵ
little	کەم
liver	جەرگ
lives	دەژیت
live	ژیان
living room	هۆڵ
living	زیندوو
lizard	مارمێلکە
load	بار
loaf	لەفە
loan	قەرز
local	ناوخۆیی
location	شوێن
lockdown	قەدەغەی هاتوچۆ
lock	قوفڵ
log	یاداشت
lol	وای
lonely	بەتەنها
long time no see	ماوەیەکی زۆرە تۆم نەبینیوە
long	درێژ
look	سەیرکردن
loop	ئەڵقە
loose	شل
lord	گەورە
lose	لەدەستدا
loss	لەدەستدان
lost	وون
lot	زۆر
loud	بەرز
lounge	لۆبی
lovely	جوان
love you	تۆم خۆش دەوێت
love	خۆشەویستی
lower	کەمتر
low	نزم
loyalty	هاوسۆزی
loyal	هاوسۆز
lucky	بە بەخت
luck	بەخت
Luganda	لوگاندا
luggage	کەلوپەل
lump	گرێ
lunch	نانی نیوەڕۆ
lungs	سیەکان
luxury	کامەرانی
lying	پاڵکەوتن
machine	ئامێر
madam	خاتوون
made	دروستیکرد
mad	شێت
magazine	گۆڤار
magnificent	مەزن
maid	خانم
maintain	پاراستن
maintenance	چاکردنەوە
main	سەرەکی
Maithili	ماتیلی
majority	زۆرینە
make up	ماکیاژ
make	دروستکردن
male	نێرینە
mall	مۆڵ
management	بەڕێوەبردن
manager	بەڕێوەبەر
manage	بەڕێوەبردن
mandatory	داواکراو
manifest	ڕوون
manipulate	دەستکاری کردن
manner	دۆخ
manual	بەدەستی
many many happy returns of the day	بەهیوای چەندین یادکردنەوەی خۆشی ڕۆژەکە
many	زۆر
man	پیاو
march	ڕێپێوان
margin	پەراوێز
market	بازاڕ
marriage	هاوسەرگیری
married	هاوسەرگیری کردوو
mask	دەمامک
massive	زۆر
mass	کۆمەڵ
master	سەرەکی
match	یاری
material	بابەت
mate	هاوڕێ
math	بیرکاری
matter	بابەت
maturity	پێگەیشتوویی
maybe	ڕەنگە
may	ڕەنگە
meal	ژەمە خواردن
meaning	واتا
means	واتە
meant	مەبەست
meanwhile	لە کاتێکدا
mean	واتە
measures	پێوەرەکان
measure	پێوانە
meat	گۆشت
medical	پزیشکی
medicine	دەرمان
meditation	نێوەندگیری
medium	ناوەند
meeting	کۆبوونەوە
meet	چاوپێکەوتن
Meiteilon	میتیلۆن
melt	توانەوە
memories	یادەوەریەکان
memory	یادگە
mental	عەقلی
mentioned	ئاماژەی پێکرد
mention	ئاماژە پێکردن
mentor	سەرپەرشت
merchant	بازرگان
mercy	بەزەیی
merely	بە تەنها
merry christmas	کریسمست پیرۆز بێت
message	پەیام
messy	بێسەروبەرانە
mess	خراپ
metal	کانزا
method	ڕێگا
me too	هەروەها منیش
me	من
mice	مشک
middle	ناوەڕاست
midnight	نیوە شەو
might	ڕەنگە
mild	سووک
milestone	هەنگاوی گرنگ
military	سەربازی
milk	شیر
million	ملیۆن
mindset	بیر
mind	ئەقڵ
mine	هی من
mingle	تێکەڵ
minor	ئاوێنە
minutes	کۆنووس
minute	خولەک
miracle	موعجیزە
mirror	ئاوێنە
miscellaneous	هەمەجۆر
mischievous	هەڵخەڵەتێنەر
miserable	بەدبەخت
misery	ناخۆشی
missing	وون
mission	ئەرک
miss you	بیرت دەکەم
miss	بیرکردن
mistake	هەڵە
mist	تەم و مژ
Mizo	میزۆ
mobile	مۆبایل
mock	گاڵتە پێکردن
model	مۆدێل
moderate	ناوەند
modern	مۆدێرن
modest	خاکی
moisture	شێ
moist	شێ
mold	قالب
mole	مۆڵ
moment	سات
mom	دایک
monday	دوو شەمە
money	پارە
monitor	چاودێری کردن
monkey	مەیمون
month	مانگ
moody	میزاجی
mood	میزاج
moon	مانگ
moral	ئەخلاقی
moreover	هەروەها
more	زیاتر
morning	بەیانی
mortgage	ڕەهنی خانوبەرە
mostly	زۆرینە
most	زۆرینە
mother	دایک
motion	جووڵە
motivation	هاندان
mountain	چیا
mouse	مشک
mouth	دەم
movement	جووڵە
move	جووڵە
movie	فیلم
mrs	خاتوو
much	زیاتر
mud	قوڕ
mug	کوپ
muscle	ماسوولکە
museum	مۆزەخانە
mushroom	قارچک
music	مووزیک
must	پێویستە
mute	بێدەنگ
mutual	هاوشێوە
My dear	ئازیزەکەم
my friend	هاوڕێی من
My hovercraft is full of eels	هیچی تێناگەم
my love	خۆشەویستی من
my name is	من ناوم
my pleasure	بە خۆشحاڵیەوە
myself	خۆم
mysterious	نەزانراو
mystery	نادیار
myth	ئەفسانە
my	هی من
nail	نینۆک
naive	ساویلکە
name	ناو
narrative	گێڕانەوە
narrow	تەسک
nasty	قێزەون
nationality	ڕەگەزنامە
national	نیشتیمانی
native	ڕەسەن
natural	سروشتی
nature	سروشت
nausea	هێڵنج
nearby	لە نزیک
nearly	نزیکەی
near	نزیک
neat	ڕێک
necessary	پێویست
necklace	ملوانکە
neck	مل
need	پێویست
negative	نەرێنی
neglect	پشتگوێخستن
negotiate	دانووستان کردن
neighborhood	گەڕەک
neighbor	دراوسێ
neither	هیچ یەک
nephew	برازا
nerd	گەمژە
nervous	نیگەران
nest	هێلانە
network	تۆڕ
net	تۆڕ
neutral	بێلایەن
never give up	هەرگیز کۆڵ مەدە
never mind	گوێ مەدێ
nevermind	گوێ مەدێ
nevertheless	لەگەڵ ئەوەش
never	هەرگیز
news	هەواڵەکان
new	نوێ
next to	تەنیشت
next	داهاتوو
nice to meet you	خۆشحاڵم بە ناسینت
nice	جوان
niece	خوشکەزا
nightmare	دێوەزمە
night	شەو
nineteen	نۆزدە
ninety	نەوەت
nine	نۆ
nobody	هیچ کەسێک
noise	دەنگەدەنگ
noisy	بە ژاوەژاو
none	هیچ
noon	بەیانی
nope	نەخێر
no problem	کێشە نیە
normal	ئاسایی
north	باکور
nor	نا
nose	لووت
nostalgic	نۆستاڵجی
not at all	بە هیچ شێوەیەک
not bad	خراپ نیە
noted	تێبینیکرا
note	تێبینی
nothing	هیچ
noticed	تێبینی کرد
notice	تێبینی
Not now	ئێستا نا
not yet	هێشتا نا
not	نەخێر
nouns	ناو
noun	ناو
novel	ڕۆمان
november	تشرینی دووەم
nowadays	لەم ڕۆژگارەدا
no way	بە هیچ شێوەیەک
now	ئێستا
No	نەخێر
nuisance	بێزارکردن
null	هیچ
number	ژمارە
numb	سڕ
nurse	پەرستار
nutmeg	گوێز
nutrition	خواردن
nut	گوێز
oath	سوێند
obesity	قەڵەوی
obey	گوێڕایەلی
objective	ئامانجی
object	شت
obligation	ناچارکردن
obscure	نادیار
observation	چاودێریکردن
observe	تێبینی کردن
obsessed	چەوساوە
obsession	چەوساندەوە
obsolete	ڕەها
obstacle	بەربەست
obtained	بەدەستی هێنا
obtain	بەدەست هێنان
obviously	بەڕوونی
obvious	ڕوون
occasionally	بەڕێکەوت
occupation	پیشە
occupied	سەرقاڵ
occurred	ڕوویدا
occurs	ڕوو دەدات
occur	ڕوودان
ocean	ئۆقیانووس
october	تشرینی یەکەم
odds	کەموکوڕی
odd	نامۆ
of course	بێگومان
offensive	زبر
offer	پێشکەشکردن
office	نووسینگە
official	فەرمی
off	کوژاوە
often	زۆرجار
of	لە
oh really	بە ڕاستی
Oh	ئۆی
oil	نەوت
okay baby	باشە گیانە
okay dear	باشە گیانە
okay honey	باشە گیانە
okay my love	باشە گیانەکەم
okay	باشە
ok dear	باشە گیانە
ok honey	باشە گیانە
ok my love	باشە گیانە
ok	باشە
old	بەتەمەن
once	کاتێک
one language is never enough	هەرگیز یەک زمان بەس نیە
one	یەک
onion	پیاز
online	سەرهێڵ
only	تەنها
on	لەسەر
open	کردنەوە
operation	کردە
opinion	بۆچوون
opportunities	دەرفەتەکان
opportunity	دەرفەرت
opposite	بەرامبەر
optimistic	گەشبین
optional	ئارەزوومەندانە
option	بژاردە
orange	نارنجی
order	فەرمان
ordinary	ئاسایی
organization	ڕێکخراو
orientation	ئاڕاستەکردن
original	ڕەسەن
origin	ڕەسەن
Oromo	ئۆرۆمۆ
orphan	بێ باوک
or	یان
otherwise	ئەگەرنا
other	ئی تر
ought	پێویستە
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	پەیامی ئێمە: وا بکەین هەموو کەسێک، لە هەموو شوێنێک لە جیهان بگات و بە زمانە جیاوازەکان بۆچوونی خۆیان دەربڕن.
Our mission: to organize the world's information and make it universally accessible and useful.	پەیامی ئێمە: بۆ ڕێکخستنی زانیاری جیهان و وا بکەین بە شێوەی جیهانی بکرێتەوە و سوودبەخش بێت.
our	هی ئێمە
outcome	دەرەنجام
outfit	جل
outgoing	دەرچوو
outlet	ئاوتلێت
outline	گەڵاڵە
outside	لە دەرەوە
outstanding	نایاب
out	دەرەوە
oven	فڕن
overall	بەگشتی
overcome	زاڵ بوون
over there	لەوێ
overthinking	زۆر بیرکردنەوە
overwhelmed	قەرەباڵغ
overwhelming	قەرەباڵغ
over	بەسەر
owe	قەرزار بوون
owl	کوندەبەبۆ
owner	خاوەن
own	خاوەن
ox	باشە
pace	هەنگاو
package	پاکێج
pack	دەستە
paid	پارەی دا
painting	وێنەکێشان
paint	بۆیاغ
pain	ژان
pair	جووت
pale	ڕەنگ زەرد
palm	ناولەپ
pandemic	پەتا
panic	ترس
pants	پانتۆڵ
pan	تاوە
paper	کاغەز
paradise	بەهەشت
parallel	هاوتەریب
parcel	پارو
pardon	ببورە
parents	باوک
parents	دایک
park	پارک
parrot	تووتی
parsley	مەعدەنوس
participate	بەشداری کردن
particularly	بەتایبەتی
particular	تایبەت
partner	هاوبەش
party	ئاهەنگ
part	بەش
passage	تێپەڕین
passed	دەرچوو
passionate	هاوسۆز
passion	سۆز
passive	ناچالاک
password	نهێنوشە
pass	تێپەڕین
past	ڕابردوو
patch	پینە
pathetic	جێگەی بەزەیی
path	ڕێڕەو
patience	ئارامگری
patient	ئارامگر
pattern	شێواز
pause	وچان
pavement	شۆستە
payment	پارەدان
pay	پارەدان
peaceful	ئاشتی خوازانە
peace	ئاشتی
peach	خۆخ
peak	لووتکە
pear	هەرمێ
peas	پۆلکە
peculiar	تایبەت
peel	توێکڵ لابردن
peers	هاوتا
peer	هاوتا
pee	میز
pencil	پێنووس
pending	هەڵپەسێردراو
pen	پێنووس
people	خەڵک
