a little	chuchoko
gear	giya
gender	jenda
general	waliyose
generally	kawirikawiri
generate	panga
generation	muwiro
generous	wakupeleka
genius	zeru
genre	mtundu
gentle	ŵakuzika
genuine	unenesko
gesture	kuyowogha na mawoko
get	tola
get dressed	vwala
get up	imilila
get well soon	uchile lubilo
getting	kutola
ghost	muzukwa
ghosting	kuleka kughanaghanira
giant	chikuru
gift	mphaso
ginger	jinja
girl	musungwana
girlfriend	chibwezi
give	peleka
give up	gongoba
given	kupasika
glad	kukondwa
glance	beka
glass	uteka
glasses	magalasi
glimpse	kubeka
global	chalo chose chapasi
gloomy	kuwa na chitima
gloves	Magulovu
glow	kuwala
glow up	kuwala
glue	glue
go	luta
go ahead	lutilira
go away	luta uko
go to bed	luta ukagone
goal	chilato
goals	vilato
goat	mbuzi
god	chiuta
god bless you	chiuta wakutumbika
goes	luta
going	luta
going to	nkhuluta ku
gold	golide
gone	kuluta
gonna	kuzamuŵa
goo	goo
good	makola
good afternoon	watandala uli
good bye	malayilano
good day	zuba liwemi
good evening	usiku uwemi
good job	ntchito iwemi
good looking	kuoneka makola
good luck	viwemi vose
good morning	wauka uli
good morning	mwauka uli
good morning my love	wauka uli wakutemweka
good night	usiku uwemi
goodbye	naluta
goodnight	usiku uwemi
goods	katundu
Google	Google
Google Translate	Google Translate
goose	chiyuni
gorgeous	kutowa
gossip	miseche
got	sanga
got it	napulika
government	boma
grab	kola
grade	giredi
gradually	pachokopachoko
graduate	kumala masambiro
grain	ngoma
grant	peleka
granted	kupelekwa
grapes	mpheska
grasp	kukora
grass	uteka
grateful	kukhutiskika
gratitude	wonga
grave	dindi
gray	gireyi
great	makora
greed	chigolo
greedy	chigolo
green	mtundu wa girini
greet	tauzga
greeting	tauzga
greetings	tauzga
grey	mtundu wa gireyi
grid	mizere yakujumphanajumphana
grief	chitima
grind	kuswa
grip	kukoleska
grocery	malo ghakuguliskira
groom	kupwelelera thupi
gross	ndalama zose
ground	pa balaza
group	ungano
grow	kula
growth	kukura
grumpy	mukali
Guarani	Guarani
guarantee	chakumanyikikwa
guard	mulonda
guess	lota
guest	mulendo
guidance	marango
guide	longozga
guilty	khuzika
guy	munyamata
guys	wanyamata
gym	malo ghakulimbisyirako thupi
habit	chozgowezi
habitat	malo ghakukhalamo
had	waka-
hail	chivula cha mabingu
hair	sisi
half	hafu
hall	holo
hand	woko
handle	kola
handsome	kuwoneka makola
hang	kukoleka
hang out	kucheza
happen	chitika
happened	kupangika
happiness	kondwa
happy	kondwa
happy birthday	zuba lakubabika
happy birthday to you	chaka chiwemi chakubabika
happy new year	chika chphya chiwemi
hard	gwa
hardly	kutondeka
hardly ever	kanandi yayi
harm	chiluwani
harmful	chihabi
harmony	chipulikano
harsh	ukali
harvest	kuvuna
has	wali na
hate	kutinkha
have	kuwa na
have a good day	zuba liwemi
have a nice day	khala na zuba liwemi
have breakfast	irya chakurya cha mulenji
have fun	kondwani
have you eaten	warya
having	kuba na
hazard	ngozi
haze	nkhungu
he	iyo
he has	wali na
he is	iyo wali
head	mutu
headache	mutu kuwinya
heal	chila
healing	kupola
health	umoyo
healthy	umoyo uwemi
hear	pulika
heard	pulika
heart	mutima
heat	wotcha
heaven	kuchanya
heavy	uzito
hectic	wakutangwanika
height	utali
heir	wakuhala
heist	kuwukira
held	chitikira
hell	gahena
Hello	Monire
hello dear	monile wakutemweka
hello how are you	monile uli makola
hello how are you doing	monile uli makola
helmet	chisoti chakuvikilira
help	vwira
helpful	phindu
hence	ntheura
her	iyo
herd	mskambo
here	pano
heritage	chiharo
hesitate	gongowa
Hey	Iwe
Hi	Monile
hi how are you	monile uli makola
Hi there	muli uli uko
hidden	vyakubisika
hide	bisama
hierarchy	ndondomeko
high	kuchanya
highlight	ngweluska
hike	kwela phili
hiking	kukwera vitunda
hilarious	wakukondweska
hill	chiduli
him	iyo
hint	fundo
hip	hipi
hips	chiuno
hire	hayala
hiring	kulemba ntchito
his	wake
history	mbiri
hit	tchaya
Hmm	Hmm
hobby	kusangwa
hold	kolela
hold on	kolela nthena
hole	khululu
holiday	holide
hollow	chidowo
home	kunyumba
homework	milimo ya panyumba
honest	chilungamo
honestly	unenesko
Honey	Uchi
honor	ntchindi
hood	hudu
hook	chakuwejera nsomba
hop	kusinthika
hope	chigomezgo
hopefully	tikugomezga
hopeless	kwambula chigomezgo
horizontal	cha m'mbali
horn	hutala
horrible	kuofya
horror	kuofya
horse	hatchi
hospital	chipatala
hospitality	kupokelera ŵalendo
host	hositi
hostile	ŵakutinkhana
hot	kuotcha
hotel	hotelo
hour	awala
hours	maora
house	nyumba
household	pakhomo
how	wuli
how about you	iwe ke
how are you	uli uli
how are you	muli uli
how are you doing	uli uli
how are you doing	muli uli
how are you doing today	uli makola mwahuno
how are you today	uli uli mwahuno
how do you do	monile
how is	wali uli
how many	vinandi uli
how much	zilinga
how often	kanandi uli
how old are you	uli na vyaka vilinga
how was your day	zuba lako languba uli
how was your night	usiku wako wanguba uli
however	kweni
hub	Habu
hubby	mufumu wane
hug	kuvumbatirana
huge	chikulu
human	umunthu
humble	jichepeska
humid	chinyezi
humidity	chinyezi
hundred	zana
hungry	njala
hunt	kusokola
hurricane	kavuluvulu
hurry	endiska
hurry up	yendiska
hurt	kupweteka
husband	mufumu wako
hustle	gwira ntchito
hut	chisakasa
hygiene	ukhondo
I	Ine
I am	ndine
I am fine	nili makola
I can	ningapanga
I can't	ningachita yayi
I do	nkhuchita enya
I do not know	nkhumanya yayi
I do not understand	nkhupulikiska yayi
I don't	nkhuchita yayi
I don't know	nkhumanya chara
I don't understand	Nkhupulikiska yayi
I don't understand what you mean	nkhupulikiska yayi kuti ukung'anamulachi
I don't understand you	Nkhukupilikiska yayi
I don’t know	nkhumanya yayi
I don’t understand	Nkhupulikiska yayi
i guess	nkhusachizga
I had	nkhawa na
I have	nili na
I have been	Nkhawa
I hope so	kuwa ngeti
I know	Nkhumanya
I like	Nkhutemwa
I like you	nakutemwa
I love	Nkhutemwa
I love my big brother	mudumbu wane nkhumutemwa
I love my big sister	mudumbu wane nkhumutemwa
I love my father	adada nkhuwatemwa
I love my little brother	mudumbu wane nkhumutemwa
I love my little sister	mudumbu wane nkhumutemwa
I love my mother	amama nkhuwatemwa
I love you	nkhukutemwa
I love you so much	nkhukutemwa chomene
I love you too	Ineso nkhukutemwa
I mean	nkhung'anamula
I miss you	Nakusoba
I miss you so much	Nakusoba chomene
I see	naona
I think	nkhuganiza
I understand	nkhupulikiska
I want	nkhukhumba
I want to see you	Nkhukhumba nkhuone
I want you	nkhukhumba iwe
I was	nkhawa
I will	ni-
I would be	Nane ningaŵa
I'm	ine
I'm fine	nili makola
I'm good	nili makola
I'm here	nili pano
I'm sorry	phepa
ice	ayezi
ice cream	ayisikilimu
idea	sachizgo
ideal	chakwenelela
identical	kuyana
identify	longola
identity	umo munthu waliri
idiot	chizerezga
idle	kugwira ntchito yayi
if	pala
ignore	kuleka kughanaghanira
ill	uluwali
illegal	chambulakuzomelezgeka
illness	uluwali
Ilocano	Ilocano
image	chithuzi
imagine	ganiza
immediate	sonosono
immediately	nyengo yeneyiyo
immense	nyika
impact	khwaska
impatient	kulije kulindilira
implement	kukhazikiska
import	chmeska kufuma kuwalo
important	chakukhumbikwa
impose	kuwikapo waka
impossible	vingachitika yayi
impress	kukondweska
impression	kuwoneka makora
impressive	chakuzizwiska
improve	kuchita makola
improvement	kusintha
in	mu
in addition	kusazgilapo
In fact	Na kuti
in front of	kunthazi kwa
in order to	kuti
inappropriate	zakwenelera yayi
incentive	chikhwimisko
incident	chakuchitika
include	sazgilapo
including	kusazgilamo
income	ndalama izo ukusanga
inconvenience	kusokonekera
increase	sazgilapo
increased	kusazgilapo
incredible	kuzizwiska
indeed	ntheula
independent	kuyima pa wekha
India	India
indicate	longola
indigenous	wa mucharu chawo
individual	munthu yumoza
industry	makampani
inevitable	mwambura kutondeka
infant	mwana
infection	kutola matenda
infinity	muliyayila
inflammation	kutupa
inflation	kukwela
influence	nkhongono
inform	phalira
information	uthenga
ingredients	vyakusakaniza
inheritance	vyakutolera
initial	chakwamba
initiative	chita mwakwenerera
injured	kujipweteka
injury	kupwetekeka
innocent	wambula kunanga
innovation	kusinthika
inquiry	fumbiska
insane	funtha
insect	chakuduka
insecure	ŵakugomezga yayi
insert	kunjirisa
inside	mukati
insight	kumanya vinthu
insist	kanilila
insomnia	kusowa tulo
inspiration	kukhuŵilizgika
inspire	kuchiska
install	kuŵika
instance	chiyezgelelo
instant	nakalinga
instead	mmalo mwakhe
instead of	mmalo mwa
instructions	malamulo
instrument	chipangizo
insult	tuka
insurance	inshuransi
intact	kwambula kunangika
integrity	kugomezgeka
intellectual	wakughanaghana makora
intelligence	zeru
intelligent	zeru
intend	kukhumba
intended	kunozgekera
intense	mwakukwana
intention	khumbilo
interact	chezga
interaction	kuchezga
interest	chiwongoladzanja
interested	khumbo
interesting	vakukondwesa
interfere	kunjililapo
intermediate	kukhalapakati
internal	vyamukati
international	mu chalo chose
internship	kusambilila
interpret	ng'amamulila
interpreter	wakung'anamula
interrupt	kudumula
interview	intaviyu
intimate	zunura pakweru
into	mu
introduce	woneskani
introduction	mazgu ghakwamba
introvert	wakujibisa
intuition	vinjeru vakubabika navo
invalid	chakuleka kugwira ntchito
invent	panga
inventory	chiŵerengero cha katundu
invest	kusanga phindu
investigate	fufuza
invitation	kuchema
invite	chema
invoice	invoice
involve	kukhwaska
involved	kukhwasika
iron	aironi
is	ni
island	chilumba
isolated	kusankhika
issue	makani
issues	nkhani
it	iyo
it is	ni
it was	vikawa
it's	ni
it's ok	vili makora
It's okay	vili makora
item	chithu
items	vinthu
its	ni
I’m	ine
jacket	jekete
jail	jele
January	Januwale
jar	chigubu
jaw	chiwangwa
jealous	sanji
jerk	chindere
jewelry	vyakujitoweskera
job	ntchito
jogging	kutchimbila
join	lumikiza
joint	kujoyinana
joke	ntchezgo
journalist	mutolamakani
journey	ulendo
joy	kukondwa
judge	mweruzgi
juice	juwisi
july	july
jump	duka
june	juni
junk	viswaswa
just	waka
just do it	panga waka
justice	chilungamo
justify	kulungamitsa
Kalaallisut	Kalaallisut
keen	wakunweka
keep	sunga
keep it up	lutilizga
kept	sunga
kettle	ketulo
key	kiyi
kick	tchaya na lundi
kid	mwana
kidding	kuchezgapo waka
kidney	iphyo
kids	bana
kill	koma
kind	lusungu
kinda	nthena
kindly	mwa mtima uwemi
kindness	lusungu
king	fumu
kiss	kufyofyontha
kitchen	khitchini
kite	kaiti
kitten	mwana wa chona
knee	khongono
knew	manya
knife	chimayi
know	kumanya
knowledge	kumanya
known	kumanyikwa
Konkani	Konkani
Krio	Krio
label	lebo
labor	ntchito
labour	ntchito
lack	soba
ladder	makwelelo
lady	mwanakazi
laid	kuwikika
lake	nyanja
lamb	mbelele
lame	kupendera
lamp	nyali
land	malo
landscape	umo bwalo liliri
language	chiyowoyelo
lap	ma malundi
large	chikulu
last	umalilo
last but not least	chaumalilo kweni chaumalilo viwi yayi
last name	zina la dada
late	chedwa
lately	pakati apa
later	nyengo inyakhe
latest	sono
latter	waumaliro
laugh	seka
laughing	seka
laughter	seka
launch	chakulya cha muhanya
laundry	vyakuchapa
law	malamulo
lawn	LA
lawyer	loya
lay	wika
layer	kusanjana
layout	umo ukuzengera
lazy	ulesi
lead	dangilila
leader	mulongozgi
leaf	hamba
leak	nthonya
lean	yagamila
leap	kujowa
learn	sambila
learning	kusambila
lease	nyumba ya renti
least	pachoko
leather	chikopa
leave	wika
leaves	mahamba
led	kulongozgeka
left	mazele
leg	lundi
legacy	mbiri
legal	chakuzomelezgeka
legend	nthano
legit	unenesko
leisure	vyakusanguluska
lend	bweleka
length	utali
less	pachoko
lesson	sambilo
let	chita chisankho
letter	kalata
lettuce	letesi
level	mulingo
leverage	kupindulira
liability	ngongole
library	layibulale
lick	kumyanga
lie	utesi
lies	utesi
life	umoyo
lift	nyamula
light	ungweru
lightning	leza
like	temwa
likely	mwambura kukayika
likewise	mwakuyana waka
line	mzere
Lingala	Lingala
link	kukolerana
lion	nkhalamu
liquid	maji
list	mazina
listen	pulikizga
listening	kupulika
literally	nadi
literature	mabuku
litter	taya bwekabweka
little	pachoko
live	moyo
liver	chiwindi
lives	miyoyo
living	kukhalapo
living room	pabalaza
lizard	mutondoli
load	longeza
loaf	lofu
loan	ngongole
local	kwinu uko
location	malo
lock	loko
lockdown	lockdown
log	chipika
lonely	phukwa
long	chitali
long time no see	nyengo itali no kukuona
look	beka
loop	lupu
loose	luza
lord	fumu
lose	kutayika
loss	kuluza
lost	taya
lot	unandi
loud	chemelezga
lounge	balaza
love	kutemwa
love	chitemwa
love you	nkukutemwa
lovely	mwakutemweka
low	pasi
lower	pasi
loyal	kugomezgeka
loyalty	kupulikila
luck	mwabi
lucky	mwabi
Luganda	Luganda
luggage	chikwama
lump	nyali
lunch	chakurya cha muhanya
lungs	maphapu
luxury	vyakusewela
lying	khala
machine	makina
mad	funtha
madam	mama
made	pangika
magazine	magazini
magnificent	towa chomene
maid	watchito
main	yikuru
maintain	phiri
maintenance	nozga mwakuzgelapo
Maithili	Maithili
major	yikuru
majority	wanandi
make	panga
make up	katowesyelo
male	mwanalume
mall	malo gha malond
man	mwanalume
manage	panga
management	mabwana
manager	manejala
mandatory	khumbika chomene
manifest	chipharazgo
manipulate	kwendeska vinthu mwa luso
manner	kachitiro
manual	buku
many	vinandi
many many happy returns of the day	zuwa liwemi
march	malichi
margin	mumphepete
market	musika
marriage	nthengwa
married	tengwa
mask	chiskango
mass	unandi
master	bwana
match	yaniska
mate	mnyake
material	vipangizo
math	samuzi
matter	makani
maturity	kakhomelo
may	-nga-
maybe	panyakhe
me	ine
me too	ineso
meal	chakurya
mean	kung'anamula
meaning	ng'anamulo
means	kung'anamura
meant	wakang'anamuranga
meanwhile	sono
measure	chiyezgo
measures	vipimilo
meat	nyama
medical	vyachipatala
medicine	mankhwala
meditation	kughanaghanirapo
medium	pakatikati
meet	kumana
meeting	ungano
Meiteilon	Meiteilon
melt	sungunuka
memories	kukumbukila
memory	chikumbusko
mental	maghanoghano
mention	zunula
mentioned	zunulika
mentor	mlongozi
merchant	wakugula
mercy	lusungu
merely	wakawaka
merry christmas	dazi lakubabika yesu liwemi
mess	nanga
message	uthenga
messy	ukazuzi
metal	chisulo
method	nthowa
mice	mbewa
middle	pakati
midnight	pakati pa usiku
might	wang-
mild	pakatikati
milestone	chakuchitika chikulu
military	wasilikali
milk	mukaka
million	miliyoni
mind	vya mutima
mindset	maghanoghano
mine	chane
mingle	kusakanikirana
minor	mwana
minute	miniti
minutes	maminiti
miracle	munthondwe
mirror	galasi lakuwonera
miscellaneous	vakupambanapambana
mischievous	nkharo yiheni
miserable	wachitima
misery	minthondwe
miss	soba
miss you	nakusoba
missing	kusoba
mission	chilato
mist	chiwuvi
mistake	kunangiska
Mizo	Mizo
mobile	kwendakwenda
mock	kutoza
model	chakuyelezgera
moderate	pachoko
modern	vyasono
modest	pachoko
moist	mutika
moisture	chinyontho
mole	kanyama kachoko
mom	amama
moment	nyengo
monday	pa mande
money	kopala
monitor	bekelela
monkey	munkhwere
month	mwezi
mood	mtima
moody	wa mtima
moon	mwezi
moral	nkhalo
more	vindandi
moreover	kweniso
morning	mulenji
mortgage	ngongole ya nyumba
most	wanandi
mostly	chomenechomene
mother	amama
motion	mayendero
motivation	kukhuŵilizgika
mountain	phiri
mouse	mbewa
mouth	mulomo
move	suntha
movement	kwendakwenda
movie	filimu
mrs	mrs
much	vinandi
mud	matope
mug	kapu
muscle	nyama
museum	miziyamu
mushroom	nkhowani
music	sumu
must	kwenera
mute	chete
mutual	kwambura kutora mbali
my	lane
My dear	wakutemweka
my friend	munyane
My hovercraft is full of eels	Sitima yane yazula na somba zakuwoneka nga njoka
my love	wakutemweka wane
my name is	zina lane ni
my pleasure	ni mwaŵi wane
myself	ine
mysterious	vyamunthondwe
mystery	munthondwe
myth	munthondwe
nail	njobe
naive	ŵambura mahara
name	zina
narrative	kalongosolelo
narrow	chifinyi
nasty	chiheni
national	fuko
nationality	mutundu wa munthu
native	mbadwa
natural	chilengedwe
nature	chilengedwe
nausea	nseru
near	pafupi
nearby	pafupi
nearly	pafupifupi
neat	wambura kubinkha
necessary	kukhumbukwa
neck	singo
necklace	majuda
need	khumba
negative	viheni
neglect	kulekelela
negotiate	pulikana
neighbor	mubale wakubanyana naye nyumba
neighborhood	wakuyandikana nawo
neither	yayi
nephew	mzukulu
nervous	chita wofi
nest	chivwimbo
net	neti
network	netiweki
neutral	panda mbali
never	yayi
never give up	kugongowa yayi
never mind	vilije kanthu
nevermind	vilije ntchito
nevertheless	kweni
new	nyuwani
news	makani
next	chinyakhe
next to	pafupi na
nice	vili makola
nice to meet you	naonga kuti takumana
niece	mzukulu
night	usiku
nightmare	maloto
nine	vinkhondi na vinayi
nineteen	khumi na vikhondi na vinayi
ninety	makumi ghankhondi na ghanayi
No	Yayi
no problem	palije suzgo
no way	ntchakukwana yayi
nobody	palije
noise	chiwawa
noisy	wa chiwawa
none	palije
noon	muhanya
nope	yayi
nor	panji
normal	waka
north	kumpoto
nose	mphuno
nostalgic	maghanoghano ghakuwerera
not	yayi
not at all	yayi
not bad	chiheni yayi
Not now	sono yayi
not yet	sono yayi
note	chimanyisko
noted	pulika
nothing	palije
notice	chenjezgo
noticed	kumanyikwa
noun	zina
nouns	mazina
novel	novelo
november	novembala
now	sono
nowadays	mazubaghano
nuisance	suzga
null	vakukhumbikwa yayi
numb	zanzi
number	nambala
nurse	nesi
nut	skawa
nutmeg	nutmeg
nutrition	chakurya chakupereka thanzi
oath	lumbila
obesity	kututuwa chomene
obey	pulikila
object	chinthu
objective	chilato
obligation	udindo
obscure	nyoza
observation	kubekelelapo
observe	bekelela
obsessed	kutemwa chomene
obsession	kutoleka
obsolete	vyakunangika
obstacle	chakujanda
obtain	tola
obtained	kutola
obvious	vyakuwonekeratu
obviously	mwambura kukayika
occasionally	panyengo
occupation	ntchito iyo ukugwira
occupied	kutola malo
occur	kuchitika
occurred	chitika
occurs	vikuchitika
ocean	nyanja ya muchere
october	okutobala
odd	ghambura kwenelera
odds	viyezgo
of	wa
of course	nadi
off	kuzimwa
offensive	kunangila
offer	pasa
office	ofesi
official	kuzomerezeka mwakwenerera
often	kawirikawiri
Oh	Oh
oh really	nadi
oil	mafuta
ok	enya
ok dear	napulika wakutemweka
ok honey	enya wakutemweka wane
ok my love	napulika wakutemweka
okay	napulika
okay baby	chabwino wakutemweka
okay dear	napulika wakutemweka
okay honey	enya wakutemweka
okay my love	napulika wakutemweka
old	vyakale
on	pa
once	kamoza
one	chimoza
one language is never enough	chiyowoyelo chimoza chikukwanila yayi
onion	hanyezi
online	pa intaneti
only	yekha
open	jula
operation	kagwiridwe ka ntchito
opinion	chiganizo
opportunities	mwabi
opportunity	mwabi
opposite	wakususkana nayo
optimistic	wakukhorwa
option	sachizgo linyakhe
optional	mwakusankha
or	olo
orange	olanje
order	ndondomeko
ordinary	waka
organization	bungwe
orientation	kuwunikira
origin	kwakufumila
original	cheneko
Oromo	Oromo
orphan	mulanda
other	vinyakhe
otherwise	mu nthowa yinyake
ought	kwenerera
our	vithu
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	kuti waliyose uko wali mu chalo chapasi wapulikiske vya chalo na kuyowoyapo mu chiyowoyelo chake
Our mission: to organize the world's information and make it universally accessible and useful.	Chilato chithu: kuwika makani pamoza kuti waliyose wawafikilenge nakuwagwilisa ntchito
out	pawalo
outcome	vyakufuma
outfit	malaya
outgoing	kuchezeka
outlet	kufumila
outline	ndondomeko
outside	pawalo
outstanding	kupambana vinyake
oven	uvuni
over	kujumpha
over there	apo
overall	palipose
overcome	gonjeska
overthinking	kuganiza chomene
overwhelmed	kondwa
overwhelming	kuwuska mtima
owe	ngongole
owl	kazizi
own	chako
owner	mweneko
ox	ng'ombe
pace	kayendero
pack	kupakira
package	phukusi
paid	pokela
pain	kuwawa
paint	penti
painting	kupenta
pair	viwiri
pale	kukhira nkhongono
palm	maoko ghakuryela
pan	chiwaya
pandemic	mulili
panic	kopha
pants	kabunthu
paper	pepala
paradise	paladizo
parallel	vikuchitikira limoza
parcel	katundu
pardon	kugowoka
parents	bapapi
park	paki
parrot	paroti
part	luwande
participate	kupanga nawo
particular	chomenechomene
particularly	chomene
partner	munyithu
party	phwando
pass	kwela
passage	nthowa
passed	kwela
passion	chitemwa
passionate	kutemwa
passive	wakuchita chinthu yayi
password	chakunjilira cha chinsisi
past	masinda
patch	chigamba
path	nthowa
pathetic	wakukhozga soni
patience	zizipizga
patient	muluwali
pattern	ndondomeko
pause	ima
pavement	nthowa
pay	lipila
payment	malipilo
peace	bata
peaceful	mutende
peach	pichesi
peak	pachimake
pear	pear
peas	ndozi
peculiar	zakuzwizwisa
pee	tunda
peel	funya
peer	nthanga
peers	nthanga
pen	chakulembela
pencil	phesulu
pending	kulindilira
people	banthu
pepper	sabola
perceive	kumanya
perception	kughanaghana
perfect	chiwemi chomene
perform	kuchita
performance	kachitiro
perhaps	panji
period	nyengo
permanent	muyilayila
permission	chilolezo
permit	zomelezga
perseverance	kuzizipizga
persistent	kulimbikira
person	munthu
personal	vyanekha
personality	wunthu
perspective	maghanoghano
persuade	kakamiza
pervert	wakupuluka
pet	chiweto
phase	luwande
phenomenon	ivyo vichitikenge
philosophy	vinjeru
phone	foni
photo	chithuzi
phrase	fulezi mazgu
physical	thupi
pick	kusankha
pick up	tola
picture	cithuzithuzi
piece	chidutswa
pieces	viduswa
pig	nkhumba
pigeon	nkhunda
pile	unjika
pillow	pilo
pilot	pailoti
pin	pini
pineapple	chinanazi
pink	mtundu wa pinki
pit	khululu
pitch	mtunda
pity	chitima
place	malo
places	malo
plague	mulili
plain	pambura kanthu
plan	dongosolo
plane	ndege
plant	chakumela
plants	vyakumela
plate	mbale
platform	malo ghakukhalapo
play	kusebela
playing	kusewela
pleasant	kukondweska
please	chonde
pleased	kondwela
pleasure	kukondwa
pledge	lonjezo
plenty	vindandi
plot	malo
plug	pulagi
plum	pulamu
plumber	munthu wakunozga va maji
plural	unandi
podcast	nkhanira
poem	ndakatulo
poetry	vyandakatulo
point	fundo
poison	poyizoni
police	polisi
policy	ndondomeko
polite	kuwa na ntchindi
pollution	ukazuzi wa mphepo
pond	chiziŵa
pool	chiziŵa
poop	bibi
poor	mukavu
pop	mwaluwiro
popular	ŵakumanyikwa
population	unandi wa banthu
pork	nkhumba
porridge	bala
port	doko
position	udindo
positive	pozitivi
possess	kuwa na
possession	vinthu ivo uli navo
possessive	kutemwa kupoka vinthu
possible	machitiko
post	udindo
postpone	tondekeska
potato	mboholi
potential	kuthekera
pound	sinja
poverty	ukavu
power	nkhongono
powerful	nkhongono
practical	vyakuchitika
practice	kuchita
praise	kuwonga
prank	utesi
pray	pemphelo
precious	chakuzirwa
precise	mwakuyowoyeska
precisely	kudunjika
predict	kulosera
prefer	nkhutemwa
preference	chakutemwa
pregnant	nthumbo
prejudice	kusankhana
premises	malo
premium	ndalama zakupereka kukontirakiti ya insuwalansi.
preparation	kapangilo
prepare	panga
prepared	kunozgeka
preposition	mperekezi
presence	kuŵapo
present	sono
presentation	kulongosora
preserve	sunga
president	mlongozgi
press	kusindikizga
pressure	kupanikizgika
pretend	kughanaghana waka
pretty	kutowa
prevent	kanizga
previous	kumanyuma
prey	nyama
price	mutengo
pride	kujikuzga
priest	muliska
primary	pulayimale
prime	khumbikwa chomene
princess	mwana wa fumu
principal	mkulu
prior	vindachitike
priority	kuŵika vinthu pakwamba
prison	jere
privacy	vyakubisika
private	purayiveti
privilege	mwabi
prize	mphotho
probably	mwambura kukayika
problem	suzgo
procedure	nthowa
proceed	jumphilira
process	dongosolo
produce	panga
product	katundu
production	kapangilo
profession	kunyenga
professional	nkhwantha
profile	mbiri
profit	phindu
profound	kuwa na mahara
progress	kupambana
project	pulojekiti
prominent	wakutchuka
promise	lonjeza
promote	kweza
promotion	kukwezgeka
prompt	mwaluŵiro
prone	wokutemwa
pronouns	wa njira m'malo mwa mazina
pronunciation	katchuliro
proof	ukaboni
proper	kwenelera
properly	makolamakola
properties	katundu
property	katundu
proposal	phangano
prospect	kulindizga
prosperity	umoyo uwemi
prosperous	chita makora
protect	bikila kumasinda
proud	kujikuzga
prove	kulongora
provide	peleka
provided	kupasika
province	chigaba
provision	kupeleka
puberty	kumara msinkhu
public	pa gulu
pull	guza
pumpkin	majungu
punctual	kusunga nyengo
pupil	mwana
purchase	gula
pure	wakutowa
purple	pepo
purpose	ntchito
purse	chikwama chamumawoko
pursue	kulondezga
pursuit	Kulondezga
push	kankha
put	wika
qualification	masambilo
quality	umo viliri
quantity	unandi
quarantine	kwarantini
quarrel	kukangana
quarter	kotala
Quechua	Quechua
queen	fumukazi
queer	kukayikira
query	fumbo
question	fumbo
queue	muzele
quick	lubilo
quickly	lubilo
quiet	chetama
quilt	duveti
quit	leka
quite	chete
quiz	chiyezgo
quotation	mutengo
quote	tchaja mtengo
quotes	kuwerezga kuyowoya
rabbit	kalulu
race	mutundu
rage	ukali
rain	vula
raise	imika
raised	kukulira
ran	tchimbila
random	mwa bwekabweka
range	chiwerengero
rapid	luwilo
rapidly	mwalubilo
rare	cha bweka yayi
rarely	vibi yayi
rash	sungu
rat	mbeba
rate	mtengo wa kopara
rather	m'malo mwake
ratio	lesho
rational	kughanaghana
raw	viwisi
reach	kufika
reached	kufikila
reaction	kuzgoreka
read	kuwelenga
reading	welenga
ready	kunozgeka
real	unenesko
reality	unenesko
realize	kumanya
realized	kumanya
really	nadi
rear	kumanyuma
reason	chifukwa
reasonable	wakupulikikwa
recall	kumbukila
receipt	kupokera
receive	poka
received	pokela
recent	vyasono
recently	sonosono
reception	pakwambila
recipe	nthowa yakunozgera chakurya
reckless	kwambula kujipwelelela
recognition	kuzomerezgeka
recognize	manya
recommend	sachizga
recommended	kulimbikiska
record	rekodi
recover	kuwezgelapo
recovery	kusanga makora
rectangle	rectangle
red	uswesi
redeem	wombola
redemption	kuwombolera
reduce	chepeska
redundant	kuwelezga
refer	fanizira
reference	ukaboni
reflect	kughanaghanira
reflection	chithuzithuzi
refrain	kuleka kuchita
refrigerator	firiji
refund	wezgelapo
refuse	kana
refused	wakakana
regard	ntchindi
regarding	vya
regardless	mwambura kupwelerako
regards	kutawuzga
region	chigaba
register	kulembeska
regret	kudandawura
regular	nyengo zose
regularly	pafupipafupi
reject	kana
relate	kukolelanako
related	ubali
relationship	chibwezi
relative	wachibale
relatives	wabale
relax	pumula
release	kuleka
released	kumasulika
relevant	kolelanako
reliable	gomezgeka
relief	kuwombokwa
relieve	kulekiska
relieved	kupepusyika
religion	chipembezgo
religious	chipembezo
reluctant	kugongowa
rely	kudalila
remain	khala
remaining	kukhalapo
remarkable	chakuzizwiska
remedy	mankhwala
remember	kumbukila
remind	kumbuska
reminder	kumbuska
remote	kutali
remove	funyapo
render	peleka
rent	renti
repair	nozga
repeat	welezga
replace	kufunyapo na kuwikapo chinyakhe
reply	zgolo
report	ripoti
represent	kuyimilila
reputation	mbiri
request	sachizgo
require	kukhumbikwa
required	khumbikwa
rescue	pulumuska
research	kafukufuku
resemble	kukozgana
resentment	kukwiya
reservation	kusungiska
reserve	sunga
resident	mzika
resign	leka
resilience	kukhazikika
resilient	wakukhora
resist	kana
resistance	zizipizga
resolution	kumaliska
resolve	kusanga zgolo
resort	malo ghakuchezgeramo
resources	vyakovyira
respect	ntchindi
respond	zgola
response	zgolo
responsibility	udindo
responsible	kuwa na udindo
rest	pumula
rest in peace	pumula makola
restaurant	malo ghakurya
restore	wezgelapo
restrict	kanizga
result	zotsatira
results	vyakusatira
resume	yambilaso
retail	kuguliska
retain	kusunga
retention	kusunga
