Yembo	a
nanda	forward
Song ti yi	foster
Zab nin	fought
Yan	found
yebre	foundation
naase	four
Pii la naasé	fourteen
Waaga	fox
komsa	fragile
zĩiga	frame
Ziinga	framework
zuubu	fraud
Kõb-wẽnga	freak
Zaalem	free
Soog-n-menga	freedom
Zel	freeze
Soonré	frequency
yobge	frequent
Wakat wʋsgo	frequently
Samd	fresh
Arzouma	friday
firgo	fridge
Zoa	friend
zoodo	friendly
Zo-rãmba	friends
Zoodo	friendship
Yɛɛsgo	frightened
yaiisé	frightening
Loanga	frog
Al sin kaosse	from
taoore	front
Lebga kougri	frozen
Tiig bila	fruit
Sũ-yikri	frustrated
Karẽnzi	fuel
Silmiiri	Fulfulde
Tourounfou	full
Maanareem	fun
Touma	function
Sin ya wasiba	fundamental
Kʋya	funeral
Laafo	funny
Gãong fuugu	fur
Sou yikri	furious
meeble	furniture
Taooré	further
Sẽn paasde	furthermore
Sen_wata	future
Paamé	gain
Reem	game
yaadenga	gap
Manegr zinga	garage
sagdo	garbage
Zinbiis pougo	garden
Layi	garlic
Kʋɩlenga	gate
Wẽlge	gather
Tiginga	gathering
Makda	gauge
In kon	gave
Sinyilimda	gear
Poglem ne raolem	gender
Wʋsgo	general
Sond koums gilli	generally
Tigsi	generate
zamaana	generation
Ninsongo	generous
Zina	genius
maké	genre
Noogo	gentle
Wenlgo	genuine
Manesem	gesture
in paamé	get
Ning foutou	get dressed
N yiki	get up
Wend kon laafi	get well soon
In paamé	getting
Kiima	ghost
Kiima	ghosting
keenga	giant
kũuni	gift
Yanmakou	ginger
Bipougla	girl
Zoa bila	girlfriend
in kon	give
N base	give up
Kon	given
Sounoogo	glad
Nif gesgo	glance
Vɛɛre	glass
Ni getga	glasses
Yin kasenga	glimpse
Douni gili	global
Lika	gloomy
Nouwoudo	gloves
Pinda	glow
Pinlé	glow up
Kolé	glue
Kengué	go
Rigin pougé	go ahead
In loogé	go away
Ti gaandé	go to bed
ratem	goal
Toulsem	goals
Zaksoaba	goat
Wẽnde	god
Wend nigif barka	god bless you
Kengé	goes
Kẽnd zug	going
Kengé	going to
Sanem	gold
Sẽn meneme	gone
Kengé	gonna
Woukem minga	goo
Soma	good
Wend sondg laafi	good afternoon
nindaaré	good bye
Wend sonsg laafi	good day
Zaab_songo	good evening
Toum songo	good job
Saag songo	good looking
Wẽnd na nig f nugẽ	good luck
Yibéoogo	good morning
Yibeoogo mnonga	good morning my love
Wend na kond beoogo	good night
wakato	goodbye
Wend kond beoogo	goodnight
Koos teedo	goods
Bangr-baoob zinga	Google
Sen lebgd goama	Google Translate
Bulyeoogo	goose
Neema	gorgeous
Kut yagbo	gossip
A paamami	got
M woumamin	got it
gofneem	government
N dɩke	grab
Bãngr waoolem	grade
Bilifbilifou	gradually
Bangre kaset sebre	graduate
Bila	grain
kaoole	grant
Kon sor	granted
Sibi	grapes
Gnonké	grasp
moodo	grass
Bãng zaame soaba	grateful
Waoogre	gratitude
Wiib kinga	grave
Pouka	gray
Ninma	great
Yamleoogo	greed
Zoe bõn soaba	greedy
Kẽega	green
Poussé	greet
Pousgo	greeting
Pousgo	greetings
Pougsinga	grey
Yarga	grid
Kʋʋre	grief
Bouké	grind
Nou sinkem	grip
Zinbiis tolongzinga	grocery
Kin kandem	groom
Zugu (ligdi)	gross
Tẽnga	ground
Souli	group
zeka	grow
Gningré	growth
Sinwoumda fan	grumpy
Arzentin goam	Guarani
Ka bé kon tong	guarantee
Goubou	guard
Vayis_inbangué	guess
sõsda	guest
Saglsé	guidance
Wẽnda	guide
Mitiiri	guilty
Rawa	guy
roa	guys
Gnin wisgr zinga	gym
Minisem	habit
Zag-ganga	habitat
Ratara	had
Sapilem	hail
Kaseto sinyitin	hair
Pʋsʋka	half
Kinbo	hall
Nougou	hand
Soole	handle
Neeré	handsome
N yaglge	hang
Giligri	hang out
Santa	happen
Taamin	happened
Vɩ noogo	happiness
Sunoogo	happy
Ned taab tigri	happy birthday
Ney rogom tigre tingré	happy birthday to you
Ne-y taabo	happy new year
Keguenga	hard
Pa yan sig	hardly
Sen ka bé wakat faan	hardly ever
beegre	harm
Sintiisda	harmful
Wagds sigbo	harmony
toogo	harsh
Kiinbé	harvest
a	has
N kisgi	hate
Oub	have
Wena sonsg laafi	have a good day
Wẽnd sõsg-d laafi	have a nice day
Ri yibeoog riibo	have breakfast
Reemi yan	have fun
Fo riim bii	have you eaten
Asin	having
Winga	hazard
Wul faaga	haze
a	he
A tara	he has
A yaa	he is
Nzan	head
Zugu inzabda	headache
N sãooge	heal
saõogre	healing
Sida bii	health
M pa na tong ye	healthy
Maagué	hear
wumé	heard
Sounri	heart
Toulgo	heat
arzãna	heaven
Zisgo	heavy
Dambdé	hectic
Zantem	height
faad rita	heir
Kaoobo	heist
Sin bé bansroogo	held
bugum yiri	hell
Yibéoogo	Hello
Yibéoogo mnonga	hello dear
Yi-beoogo. Yãm keemame	hello how are you
Yibeoog kibaré	hello how are you doing
Zoug la koutou	helmet
Songé	help
Sẽn yaa sõma	helpful
Tilay	hence
ah	her
Roumsi	herd
Ka	here
Arzɛka	heritage
N yo yam	hesitate
é	Hey
Ney woto wendé	Hi
Fo tar laafi	hi how are you
Ney yibeoogo	Hi there
Solgé	hidden
Solgé	hide
Taor soaba	hierarchy
Gningri	high
Riingué	highlight
Pouytaaba	hike
gilgri	hiking
Kʋʋsme	hilarious
Tanga	hill
Yin	him
Sen wẽnde	hint
gere	hip
Sèga	hips
Tʋʋm dɩkre	hire
Rik touma	hiring
ab	his
solemde	history
Panbé	hit
Wo	Hmm
Wousem zinga	hobby
Rikré	hold
Maag ouf menga	hold on
Boko	hole
Vʋʋsem	holiday
Boko	hollow
Roogo	home
Magbo	homework
Sidsoaba	honest
Sid sida	honestly
Zaksoaba	Honey
Waooré	honor
Pako	hood
Gadsoma	hook
Tiiga	hop
Tinbo	hope
Ne zounoog bilifou	hopefully
Kogpanga	hopeless
Tirga	horizontal
Yiila	horn
yelbeedo	horrible
Sanga	horror
Wed-moaaga	horse
Logtor yiiri	hospital
Ganleg logtor yiri	hospitality
Ziibo	host
Goamsingré	hostile
Toulem	hot
Gangzinga	hotel
Wakat	hour
Wakatisé	hours
Idmaké	house
Rangendé	household
Wana	how
La foo	how about you
i keemamin	how are you
i keemamin	how are you doing
I keema runda	how are you doing today
Maana wan rounda	how are you today
Yamb maana wana	how do you do
Wana la ya	how is
A wana	how many
A wana	how much
Yobge bogo	how often
Fo tara yuum a wana	how old are you
Fo daarã yɩɩ wãna	how was your day
Younga yii wana	how was your night
la segdamin	however
Weef moyo	hub
zaksoaba	hubby
Pougin	hug
Kassenga	huge
Ninsaala	human
Sikiminga	humble
Maasre	humid
bougsem	humidity
Kobga	hundred
Kom neda	hungry
Waango	hunt
Seb bedré	hurricane
yãgdem	hurry
Yilim karga	hurry up
Poglé	hurt
Zaksoaba	husband
Kɩdengo	hustle
Séoko	hut
Yolgemdé	hygiene
Maam	I
Mam yaa	I am
M tara laafi	I am fine
Mam tõeme	I can
M ka tõe ye	I can't
m-maadamin	I do
Mam pa mi yé	I do not know
Mam pa woumd yé	I do not understand
Mam pa	I don't
Mam pa miyé	I don't know
Mam pa woumd ye	I don't understand
Mam pa mi yamb sen dat in yeel ninda yé	I don't understand what you mean
Mam pa woumd fo yé	I don't understand you
Mam pa mi yé	I don’t know
Mam pa woumd yé	I don’t understand
M samdamin	i guess
M da tara	I had
Mam tara…	I have
M da wa min	I have been
M tindamin	I hope so
Mam miimin	I know
Mdatam	I like
M nong-f lame	I like you
Mdata	I love
M data m kèm raowa	I love my big brother
M data m kèm poaka	I love my big sister
M data m ba	I love my father
M data m yao raogo	I love my little brother
M data m yao poaka	I love my little sister
M data m ma	I love my mother
Mdata foo	I love you
Mnonga fo hali	I love you so much
Maam min rata foo	I love you too
Mam datẽ yeelame	I mean
Yaa kaossgo	I miss you
Mam data foo hal kingo	I miss you so much
Mam neme	I see
M tindamin	I think
Ma woumamin	I understand
M datame	I want
Mdat in yan foo	I want to see you
Mam data foo	I want you
Zoesé	I was
Ninsida	I will
M watamin	I would be
Mam bee	I'm
Mtara laafi	I'm fine
M keemame	I'm good
M bee ka	I'm here
MPa n'a tong	I'm sorry
Ko kougri	ice
Ko kugri	ice cream
Yam	idea
Yèse	ideal
Wendtaaba	identical
Ning vinem	identify
Ning minim	identity
yalemdo	idiot
Patoumda	idle
Rin	if
Bas ti loui	ignore
Mdat_in	ill
Pa toun soré	illegal
baanga	illness
Gom zin	Ilocano
Siiga	image
N tagse	imagine
Tao	immediate
Zingpoguin	immediately
Kaseng	immense
sin toe wanin	impact
Pa maagda menga	impatient
Tʋʋm sɩngre	implement
Tal zinga to wa	import
Tilay	important
Renda	impose
Ka toin yé	impossible
Kon raabo	impress
Tagsgo	impression
Sẽn ta	impressive
Teksongo	improve
Kend taooré	improvement
Pouguin	in
Sin paasdé	in addition
Rat in yell	In fact
Taoré	in front of
Sen	in order to
Sinpazemsé	inappropriate
Yãmb daabo	incentive
Sababo	incident
N naage	include
Fan sen_naagé	including
Lebginwa	income
Sanga	inconvenience
paasé	increase
sin paasé	increased
Pa tindye	incredible
Rien yinga	indeed
Soogeminga	independent
Inde zamaana	India
N wilgi	indicate
Weoog boumbou	indigenous
Yembré	individual
lozini	industry
Sẽ pa tõe n viigi	inevitable
Bi peelga	infant
Longré	infection
Sen kon sa	infinity
kuwaré	inflammation
Paasgo	inflation
ridgé	influence
togsé	inform
Kibaysé	information
Zibiisi	ingredients
Faado	inheritance
Sɩngre	initial
No-rɩkre	initiative
Poglé	injured
Sapogdo	injury
Basé	innocent
Toeoongo	innovation
kosgo	inquiry
Gainga	insane
Boin yigda	insect
Tẽn-wɩngre	insecure
Sinké	insert
Pʋgẽ	inside
Wẽnega	insight
Badegpanga	insist
Goinme sin kay	insomnia
Toumd raabo	inspiration
a ratamin	inspire
Ziligui	install
Makré	instance
Sin pa kaosida	instant
pindin	instead
La foka na	instead of
Wiliga	instructions
Tuum teedo	instrument
touya	insult
Ne tẽebo	insurance
Boum pa sisé	intact
Tiknougou	integrity
Bangda	intellectual
Bangré	intelligence
bãngda	intelligent
Yam daabo	intend
Tolgé	intended
Ne pãnga	intense
Tẽebo	intention
Sonsdin	interact
Sonsd nin taaba	interaction
Gnondo	interest
Raab sẽn be	interested
Taryamleoogo	interesting
kindtaaba	interfere
Souka	intermediate
Pougin	internal
Zanman zinga	international
Zamsg n biisé	internship
Mamsin maané	interpret
Non reesa	interpreter
Yalsé	interrupt
seka	interview
banega	intimate
Poguin	into
Kẽese	introduce
Tɩʋʋsgo	introduction
Ni-sĩndga	introvert
Yam-goam	intuition
Sin pa saké	invalid
maalé	invent
Sondga	inventory
Konminga	invest
Vayisé	investigate
Boolé	invitation
N kãabe	invite
Raab kaset sebre	invoice
naage	involve
Kinsminga	involved
kutu	iron
Ya	is
Kozinga	island
Sin solgé	isolated
Yelé	issue
Soukre	issues
a	it
yala	it is
Ra ya	it was
Ya	it's
Yaa soma	it's ok
Yaa soma	It's okay
Naokindré	item
tekoosdem	items
yaa	its
Mam yaa	I’m
Fou bedre	jacket
Ban roogo	jail
Pipi kiougou	January
yuure	jar
Yeeré	jaw
Soukinri	jealous
Nindasin pa tagsda	jerk
Kinfou	jewelry
nug Tʋʋmde	job
Zoé bi	jogging
N bʋʋge	join
Zin soaka	joint
Belegé	joke
Kibakita	journalist
Sotoaka	journey
Sũ-noogo	joy
Wondo	judge
Noodo	juice
Seoog kiuugu	july
Yik	jump
Sigr kiugu	june
Sotoak	junk
Winega	just
Maané	just do it
Bu kaore	justice
Kon kaset vinim	justify
Greland goam	Kalaallisut
Araabo	keen
Zinlika	keep
King boto	keep it up
Zan	kept
Pouslaaga	kettle
kile	key
Vaado	kick
Biiga	kid
Belegré	kidding
yaabila	kidney
Koamba	kids
Kou	kill
Winego	kind
Rat in naa yeel	kinda
Gninsem	kindly
Gninssem	kindness
Zousoaba	king
Gaandé	kiss
Segleg roogo	kitchen
Bon yigdga	kite
Younbila	kitten
rũndi	knee
Rami	knew
Souga	knife
Wed rouda	knight
Bangué	know
Mintinga	knowledge
Mi	known
Ind ramb sen gomda	Konkani
Siera léone goam	Krio
N bẽde	label
toumdé	labor
Toumdé	labour
Kaalem	lack
makdenga	ladder
Pag	lady
Bingi	laid
Kʋlga	lake
Pe-bila	lamb
Sẽn keosde	lame
Fitla	lamp
Sigi	land
Vɩʋʋg naanga	landscape
Zilimdé	language
Romdi	lap
Kasenga	large
Yaolem	last
Masa la sinyiida	last but not least
sondre	last name
Wakat pooré	late
Yaoleme	lately
Bilifou	later
Poorin soaba	latest
Poorin soaba	latter
La	laugh
In ladin	laughing
Laado	laughter
Lokré	launch
Fout_pekr zinga	laundry
tõogo	law
Moogzinga	lawn
sõangda	lawyer
N dɩgle	lay
kogré	layer
Gulsongo	layout
Kouima	lazy
Maanin	lead
Naaba	leader
Seb-bila	leaf
Zoé	leak
bãanega	lean
Yikré	leap
Zamsego	learn
Zamsgo	learning
Pengré	lease
yanké	least
gãongo	leather
Loogé	leave
vãado	leaves
zãabo	led
Goabga	left
karga	leg
faare	legacy
Sin tou nin sari	legal
Nin-kasena	legend
A sore	legit
Bilifou	leisure
N penge	lend
Woglem	length
woogé	less
Kaorengo	lesson
Basé	let
Lɛtre	letter
salaado	lettuce
Sin be zin niga	level
Sẽn paased yõodo	leverage
Tʋʋm nug taoor gesgo	liability
Sɛb-roogo	library
Mobsé	lick
Yagbo	lie
Pouyagbo	lies
Viim	life
Asãsɛɛre	lift
Vinem	light
Sa- tansga	lightning
Wala	like
Toin ti	likely
wa	likewise
Yilmé	line
Kongo goama	Lingala
Loetga	link
bongninga	lion
Koom	liquid
Sodgr sebre	list
Kelgé	listen
Kelgé	listening
Koagkoaiga	literally
Goam-karengo	literature
Roums gang zinga	litter
kidiga	little
Ning ne ninga	live
Sãoore	liver
Viim	lives
Viim	living
Roog nooré	living room
Sinemdé	lizard
Zilge	load
Bour-moumdi	loaf
pengre	loan
Tẽngendo	local
Sẽn beenga	location
Kouloumbila	lock
Lal ouf menga	lockdown
Goulsé	log
Kato	lol
yembre	lonely
Wooko	long
Yaa rasem ayii ti tond pa gna taaba	long time no see
Guesgo	look
Toub londo	loop
Kʋɩɩma	loose
zousoaba	lord
Menem	lose
Miningo	loss
Menem	lost
Zĩ-vɩʋʋgo	lot
Kɩdbre	loud
Roog nooré	lounge
Nonguin	love
M nong-f lame	love you
Neeré	lovely
Ka panga	low
Sin pa ta	lower
Sid konta	loyal
Poupeelem	loyalty
Zounoogo	luck
Zu-noog soaba	lucky
Bantou ramba goam	Luganda
teoogo	luggage
Zipelé	lump
Yibéoogo riibo	lunch
Fouloun foudou	lungs
Noogo	luxury
gãande	lying
masina	machine
Gainga	mad
Paga	madam
Maan	made
Kibay sebr	magazine
tar yelsoalem	magnificent
Zak-paga	maid
Pipi	main
Talé	maintain
Sonsga	maintenance
Nepal goam	Maithili
Kasema	major
Pouisouka	majority
Maané	make
Nagé	make up
Rawa	male
Tolog bèd zinga	mall
Rawa	man
N zã	manage
zãabo	management
Taoor soaba	manager
Tilaye	mandatory
Wilgui	manifest
Tongé	manipulate
mansem	manner
Seb	manual
zembala	many
Wusg wusgo sounoog lebr daaré	many many happy returns of the day
Kiouga a tan	march
Kirga	margin
Kendé	market
Yikandem	marriage
Sẽn kãademe	married
Wango	mask
Nin-buiidu	mass
kingo	massive
Karẽn-saamba	master
Winda	match
zoa	mate
teedo	material
Geela	math
Sintoudi	matter
Bioungo	maturity
Toin	may
Toin ti	maybe
Maam	me
Maam min	me too
Riib	meal
Poui_souka	mean
Sẽn datẽ wilg-yã	meaning
tõogo	means
Sègd	meant
Wakata ye	meanwhile
Maké	measure
Magbo	measures
Nemdo	meat
tibsgo	medical
logtoomdo	medicine
Taguesgo	meditation
Sen zemsé	medium
Segué	meet
tigsga	meeting
Gom zina	Meiteilon
Gninégé	melt
Sen loogé	memories
Poutinr	memory
Zugu	mental
Tiki	mention
Wilgui	mentioned
Zusoaba	mentor
Toalemda	merchant
Nimbaan zoeere	mercy
Faaga	merely
Nin nowel taab tigri	merry christmas
Bébeoogo	mess
Koɛɛga	message
Zũnglgu	messy
Koutou	metal
So-tũudga	method
Gnongré	mice
Tẽn-soka	middle
Yuun souka	midnight
Ra toin	might
Biné	mild
Sendga	milestone
Sodaaga	military
Biinsim	milk
Milignon	million
Yam	mind
Yamdamba	mindset
Toumnin	mine
Naag taaba	mingle
gnanga	minor
Pam-pam	minute
Pam-pam	minutes
Toum bandé	miracle
Ne-gɛtga	mirror
Bon zemse	miscellaneous
Ka poutogo	mischievous
Far soaba	miserable
nimbanega	misery
Pa yan	miss
Fo kaoosa maam	miss you
Sinkabé	missing
Kindé	mission
Wul faaga	mist
tudgri	mistake
Ind goam	Mizo
Inguilgda	mobile
zouri	mock
Buugu	model
Zemzem	moderate
Yaolemwakat	modern
Bilif	modest
Maasga	moist
Maasem	moisture
Roaasdga	mold
Buglunvare	mole
ma	mom
Wakaté	moment
Tẽne	monday
Ligdi	money
Zamsida	monitor
Wamba	monkey
kiuugu	month
yik ouf nougou	mood
Toum ne kiougou	moody
wãdga	moon
Tarem	moral
paasé	more
N paase	moreover
Yibéoogo	morning
Ragin	mortgage
Moaaga	Mossi
Kinré	most
Sen yida	mostly
Sin ya yé	mother
Bidgr buud faa saabo	motion
Kon minga	motivation
Tangbedre	mountain
Gnonré	mouse
noore	mouth
N serge	move
Gidgr buud faa saabo	movement
Filma	movie
Paga	mrs
Wʋsgo	much
Bingdo	mud
Tasé	mug
Yinga nemdo	muscle
Koudem teed zinga	museum
Guudu	mushroom
yiila	music
Maguebo	must
Mouka	mute
lagemtaaba	mutual
Mam	my
M neda	My dear
M zoa	my friend
Mam bon zobidiga tara bon konsidi	My hovercraft is full of eels
Mnonga	my love
Mam yʋʋr yaa	my name is
Ne sounoogo	my pleasure
Mam menga	myself
Solemdem	mysterious
Yelsomdé	mystery
Boundi	myth
Kire	nail
Gomda yam	naive
Yʋʋre	name
Wilgri	narrative
Banega	narrow
Mnonga foo hali	nasty
Tengin biiga	national
Sin wiligdtif yaa tinga biiga	nationality
Tẽngẽ biiga	native
Sẽn ka naag ne bũmbu	natural
Bẽrngo	nature
Sounsalinga	nausea
Msaamin	near
Sen pin	nearby
Wala	nearly
Sakre	neat
Tilay	necessary
yũbla	neck
Koko kèka	necklace
Raabo	need
Sẽn pa sõma	negative
Pa nanda	neglect
Bonsé	negotiate
m-yaka	neighbor
saka	neighborhood
Ka	neither
Yaguinga	nephew
Bangda	nerd
Sounyikri	nervous
Lioul roogo	nest
Winri	net
Yingr pemsem	network
Pa yank singa	neutral
Bada	never
Ra bas ti loui	never give up
Pa sek ye	never mind
Oa yelé	nevermind
Ne rinfan	nevertheless
Paalé	new
Kibay	news
Sẽn pogde	next
In pin nin	next to
soma	nice
Yaa sunnoogo Tim bang yan	nice to meet you
Yaguenga	niece
Yʋngo	night
Zameyooko	nightmare
paalé	nine
Pii la way	nineteen
Pis way	ninety
Ayoo	No
Yel kaye	no problem
Patind yé	no way
Nissaala	nobody
Bʋʋre	noise
Sẽn maan bʋʋre	noisy
Baa ye	none
Wintosouka	noon
ayo	nope
Ba	nor
A soré	normal
Windig senyit nous goabga	north
yõre	nose
Pakré	nostalgic
Ba	not
Ka rin yé	not at all
Pa saam	not bad
Ka moassa yé	Not now
Pa nanda	not yet
Sin paam	note
Teesé	noted
Baa fouy	nothing
Yam daabo	notice
Yantamin ti	noticed
Yʋʋre	noun
Sonda	nouns
Sebr bedre	novel
Sipaolg kiuugu	november
Mansan	now
Rounda	nowadays
Tiisda	nuisance
Zaalem	null
Sẽn komse	numb
sõore	number
Loto-poaka	nurse
Gouré	nut
Zouna	nutmeg
Ritla	nutrition
Winlin pidsi	oath
Poubedre	obesity
N waooge	obey
bũmbu	object
ratem	objective
tilaenga	obligation
Lika	obscure
Ges kaaga	observation
N gese	observe
Sanmé	obsessed
Raglem	obsession
Sin samé	obsolete
Bindgo	obstacle
paoongo	obtain
Paamé	obtained
Windam	obvious
Nokoemde kay	obviously
Wakat-wakato	occasionally
Tuumdé	occupation
In deegé	occupied
In maané	occur
Sin maané	occurred
Ti kanga	occurs
Kokasenga	ocean
Zi likr kiuugu	october
Katoun	odd
Zounoodo	odds
Ni	of
Yaa sida	of course
Dounia	off
win	offensive
Kouni	offer
Bɩrʋ	office
Sorsinkon	official
Wakat ninda	often
Kato	Oh
Eh sida	oh really
Kaam	oil
Sakamin	ok
Msakamin mnonga	ok dear
Msakamin mnonga	ok honey
N ge m nonga	ok my love
Sakamin	okay
Biiga msakamin	okay baby
Koɛɛg ka be ye m noanga	okay dear
Msakamin mnonga	okay honey
Msakamin mnonga	okay my love
Nikinma	old
Yingri	on
Naor a ye	once
yembré	one
Zilimda yé pa sekd yé	one language is never enough
Albass	onion
Bekelegré	online
a yé	only
N pake	open
Tʋʋmde	operation
Yam daabo	opinion
Sababsongo	opportunities
Wakasongo	opportunity
Sin pa toun	opposite
Tẽeda	optimistic
Nao yankre	option
Ka gnondo	optional
Yaé	or
orãase	orange
Bool raaga	order
Nassaara toum teedo	ordinary
tuum moore sulli	organization
Teesgo	orientation
Gnangré	origin
A minga	original
somali la dibouti ramb goama	Oromo
Kenia	Oromo
Kiiba	orphan
Taaba	other
San pa rin	otherwise
Da segda	ought
Tondo	our
Tond toumd yaa song ned fan la zin fan ta bang douni wan la gom buud ramba goama	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Tond toumd yaa temb douni wan kibay in dik taas zanmaana fan ti tal yondo	Our mission: to organize the world's information and make it universally accessible and useful.
Yinga	out
Sin dogé	outcome
teningdem	outfit
Yiibou	outgoing
Yi	outlet
Guiligri	outline
Yɩnga	outside
Sẽn ya sõma	outstanding
Naas naase	oven
Yingri	over
Alka	over there
gilli	overall
N yi	overcome
Tags wusgo	overthinking
In gangé	overwhelmed
Sẽn talgde	overwhelming
tilaeenga	owe
viuungu	owl
Talé	own
soaala	owner
Naafo	ox
Ned fãa tõogo	pace
Paki	pack
Bon ponbendga	package
Sẽn yao	paid
Toogo	pain
N bole	paint
Konbgo	painting
Yiibre	pair
Zãl-zãle	pale
Kon bila	palm
Poɛlle	pan
Bã-wẽnga	pandemic
Yumbe	panic
Kourga	pants
Sebre	paper
Arzèna	paradise
Pa sègdtaaba	parallel
Toolé	parcel
sougri	pardon
rogdba	parents
yangré	park
Kinga	parrot
Persili	parsley
keere	part
N lʋʋs toogo	participate
Ninto	particular
Sẽn yɩɩda	particularly
Tʋm-ne-taare	partner
N maan kibsa	party
Sin loogé	pass
Piougré	passage
Loogé	passed
Yamdaabo	passion
Tar yamdaabo	passionate
Tuuda	passive
Kot sooré	password
Sẽn looge	past
Naagtaaba	patch
Sooré	path
Yel wẽnde	pathetic
Sablega	patience
Banda	patient
Song ti	pattern
Yalsé	pause
Sor nooré	pavement
N yao	pay
Yaoodo	payment
Laafi	peace
Woumtaaba	peaceful
Zin gnongbo	peach
N tigmi	peak
Leegda	pear
Sounma	peas
Ban zenga	peculiar
Rood-koom	pee
Lobé	peel
Yiib n ditga	peer
Rog taase	peers
biki	pen
Rinsdga	pencil
Nanda	pending
Neba	people
Nasaar tipare	pepper
Reegé	perceive
yãabo	perception
Minnem	perfect
N maane	perform
Tongo	performance
Toin yàn min ti	perhaps
Wakatbogo	period
Wakatfan	permanent
Sor-kũuni	permission
Sebr sin kot soré	permit
Nadg panga	perseverance
Yilengo	persistent
neda	person
nida	personal
Ninkidré	personality
sore	perspective
Yaaré	persuade
Vindata	pervert
Gõaag rũnga	pet
Vouka	phase
Yel boundi	phenomenon
bangre tagsgo	philosophy
Nougin_banga	phone
foto	photo
Gomdé	phrase
menga	physical
N rɩke	pick
N wʋke	pick up
nenga	picture
bãoonogo	piece
Zendme	pieces
Kukuri	pig
Mal walé	pigeon
Tors kougri	pile
Zu-kʋka	pillow
Silig dorba	pilot
Bon Roudiga	pin
Anana	pineapple
Konbmiougou	pink
Boko	pit
ziviuuugo	pitch
nibãanega	pity
Ziinga	place
Ziinsi	places
Ban logdem	plague
Tanga	plain
mamsga	plan
Sɩlga	plane
lozini	plant
Weoog teedo	plants
Nakẽn-yooko	plate
baoobo zinga	platform
Reemé	play
Reemdin	playing
noogo	pleasant
Kabre	please
Sũ-noogo	pleased
Sounoogo	pleasure
Mingkouni	pledge
Tɩgre	plenty
Zĩ-vɩʋʋgo	plot
Tougli	plug
aadré	plum
Gnonka	plumber
wusgo	plural
Sin yiis ti neb woum	podcast
Gom bouna	poem
Maan gom bouna	poetry
N wilgi	point
Bindyooko	poison
Sodaaga	police
Na baodb souli	policy
ned waooré	polite
Tẽng-rẽgengo	pollution
Gandaog	pond
Nasaar-mogre	pool
Bindou	poop
Talga	poor
Ten dambgo	pop
Sẽn tar miilem	popular
Nin-buiidu	population
Kourkouri	pork
Binré	porridge
Ningri	port
rigligo	position
Neema	positive
talé	possess
soolem	possession
Sen so	possessive
Toin	possible
Tʋʋm zĩiga	post
tolse	postpone
Nayoun	potato
Winda	potential
Rou	pound
talemdo	poverty
N tõoge	power
pan wèglgo	powerful
Manessem	practical
Manesim	practice
N waooge	praise
Belegré	prank
N pʋʋse	pray
Bousongo	precious
Takɩ	precise
Taktaké	precisely
Wilg ponda	predict
nong in yiida	prefer
Yamraabo	preference
pouga	pregnant
sãanga	prejudice
Ziinsi	premises
Kouni	premium
Seglgo	preparation
Sin pa bé wakat kinré	prepare
Sèglé	prepared
Ne	preposition
belem	presence
Kouni	present
wilgri	presentation
N kogle	preserve
taoorsoaba	president
Kibakita	press
ning panga	pressure
N mage	pretend
Neere	pretty
Pindiwilgui	prevent
Kontareem	previous
Ribo	prey
Teoog-ligdi	price
Bourkina	pride
Mogpèr	priest
yaoolem	primary
Kouni	prime
Nabipoaka	princess
tilae	principal
pĩnda	prior
Wiligri	priority
Baens roogo	prison
solgré	privacy
Ned-soolem	private
waoogre	privilege
A ligidi	prize
Toin ti	probably
yelle	problem
So-tũudga	procedure
N maane	proceed
Sotoundem	process
maane	produce
teoogo	product
Tuum biisi	production
Sen toumnida	profession
Sẽn t ʋmda	professional
Ninga winlgo	profile
yõodo	profit
Zoulouma	profound
Yɩɩdgre	progress
Toum noore	project
Sẽn yaa bedre	prominent
Pʋlemgo	promise
waoogre	promote
Taaba	promotion
tao	prompt
Sin pato	prone
Nin leta	pronouns
Sin boond toto	pronunciation
kaseto	proof
Bangé	proper
sõma	properly
Soogo	properties
Boumb soaba	property
ama	proposal
Sin mamsida	prospect
Taorkendé	prosperity
Zamb	prosperous
N kogle	protect
Bourkindlim	proud
Modgẽ wilgenga	prove
Songo ti paam	provide
Kon	provided
Soolem	province
Nao kindre	provision
Gnègré	puberty
zãma	public
N take	pull
Tikoayiga	pumpkin
Wat awakat	punctual
Karembiiga	pupil
in daabo	purchase
yolemde	pure
Bʋla	purple
tulsem	purpose
kũuni	purse
N pʋge	pursue
Balgré	pursuit
N tusi	push
Makda	put
Sen zem	qualification
somblem	quality
waoolem	quantity
Pisnaas sẽne	quarantine
Zabré	quarrel
Kiouga tanb poore	quarter
Yoadba	Quechua
Napoaka	queen
Rassanga	queer
Kit tib sambé	query
sokre	question
Peelga	queue
Tʋʋlle	quick
Ne tʋʋlem	quickly
sii	quiet
Lada	quilt
Yalsé	quit
Wusgo	quite
Sokgs biisi	quiz
Yelboudi	quotation
kibare	quote
Tuumd ligd ganegdga	quotes
Soamba	rabbit
zoeese	race
Ba ganyemdo	rage
Saaga	rain
Paasé	raise
Zinké	raised
Buuge	ran
Sẽn ka tilae	random
Nounganga	range
Tao tao	rapid
Tao tao	rapidly
Sin pabe	rare
Bũmb sẽn pa wɛ	rarely
Puugi	rash
