a little	qunxaama
equipment	mansoofa
equity	gudduniino
equivalent	inki gide
equivalent	fooda
eraser	duugeyna
error	hoxa
error	qellata
escape	kudiyya
especially	baxsaluk
essay	amok raci kutbe
essence	mixaxu
essential	faxximtaama
establish	soolis
established	timixxigeh
estate	iko
estimate	amoomisso
estimated	amoomisen
etc	wonnay wonna
etc	w.w
eternal	waar leemi
ethics	adabi
evaluate	kusaaqis
evaluation	kusaaqa
even	takku
even	missa
even though	takkay immay
evening	bara
event	tikko
eventually	ellecabol
ever	faxe waqdi
ever	inkiih
every	kulli
everybody	kulli num
everyone	kulli num
everything	kulli caagid
evidence	alhumu
evil	umeyna
evolution	sulum le milaagu
evolve	yenbeh
evolve	dadleh
Ewe	Eweh afa
ex	dumi
exact	hununuh
exactly	mummaak
exactly	asmatah
exam	aqayyaare
examine	fokkaq
examine	aqayyaare
example	ceelallo
exceed	tatreh
exceed	fuleh
excellent	kaxxam meqe
except	tohuksa
exception	baxsalem
excess	caddok biso
excess	ixxuuk daga
excessive	caddok daga
exchange	milallaagu
excited	uguugutiyya
excitement	hanbareeri
exciting	uguugus le
exclusive	caglah
excuse	sababa
excuse me	qafu yoh ab
execute	yagdubeh
execute	abnis
execution	abnisso
execution	agdubiyya
executive	yagbudi
executive	miraaceyna
exercise	elle baritto
exhaust	taqbisiyya
exhaust	qeeri
exhausted	taqbeh
exhausted	laclaceh
exhibit	assalalaq
exhibition	assalaalaq
exist	yanih
existence	mano
existing	geytimiyya
exit	mawqa
expand	fidsaanam
expand	giitaanam
expand	yaynabeenim
expect	ekkel
expect	qambaaleh
expected	qambalsimtaama
expenses	mawqooq
expensive	kubqi
expensive	fayya le melleb
experience	abak raag
experiment	gibbatu
expert	mihratli
expert	mixigi
expired	udduruk akak tatre
explain	qaddos
explanation	adda fakootu
exploit	agiirini abto
explore	fokkaq
explore	gorris
export	iroh ruubiyya
expose	dangaba
exposed	dangabeenih
exposure	dangabimiyya
express	aybalaalaqiyya
express	axciyya
expression	aybulliyya
extend	yeyxeereh
extended	giitimteh
extended	fiddimteh
extended	texxeereh
extension	ayxeeriyya
extension	wilaq baritto
extent	waado
external	iroyta
external	iroh imi
extinct	samad kak bayem
extra	ossotina
extract	eyyeq
extract	tewqeemi
extraordinary	qaadaj irò
extraordinary	waadok daga
extreme	waadok biso
extremely	kaxxam nabam
eye	inti
eyes	intiita
fabric	saro
fabulous	nabam meqe
fabulous	nabam qax meqe
face	foocat garayiyya
facilitate	sahhilos
facilities	eglaali
facilities	ayfaaf mansoofa
facility	ayfaaf mansafa
fact	qado nummà
factor	tekkok sababa
factory	fabrika
facts	qado nummaami
fade	weelò koris
fail	nikso
fail	radiyya
failed	yinnikisseh
failed	radeh
failure	nikso
failure	baxaysu
faint	qawul
fair	qadli le
fair	saabo leh
fairly	sahli luk
fairly	qadli luk
fairy	ginni
faith	diini
faithful	amaana le numu
fake	celssiisi
fall	oobiyya
fall	nikso
fall	radiyya
false	DIRAABA
fame	ayti-gexxò
fame	migaq-nabnà
familiar	tamixxigeemi
family	buxà mara
famine	qululu
famous	aytì-gexxòli
fan	qokole
fancy	bilqa le
fantastic	cakkuumu
fantastic	soono celtaama
far	xeerih
farewell	rubsuusu
farm	buqreh araca
farmer	buqraabe
fascinating	suumut leemi
fascinating	xahangaagissah
fashion	qusubih taniimi
fashion	salu
fast	soomu
fast	sissikih
fat	xayta
fat	gabulu
fatal	raba xaltaama
fatal	qawwalayla leemi
fate	qaasiri
fate	saami
father	abba
fatigue	taanu
fault	hoxa
favorite	akah laftaanama
favour	cato
favour	qokolu
favourite	akah laftaanama
fear	bohoy
fear	meesi
feast	quduuamata
feather	qunxa gali
feature	ceelo
features	ceelo
february	qad-dirri
fed up	sakkiteh
fed up	cayya kak iyye
fee	meklà
feed	oskom
feedback	abni raddi
feel	cussut
feel	ucsub
feeling	cussutu
feet	iba
fell	yinnikisseh
fell	radeh
fellow	wadaytu
felt	ucsubeh suge
female	say numu
fence	dabbaala
fence	gasò
fertile	murti xaltaama
fertile	xaltam dudda
festival	wayanabò
fetch	ifiil
fetch	bah
fetch	gorris
fever	xagar laqna
few	dagom
fewer	dagom
fiance	liisoli
fiction	hayyayooni
fiction	haadlissò
field	booxa
fierce	caami
fierce	cayla
fifteen	taban kee konoyu
fifty	kontomu
fight	qeebi
fighting	qeebi
figure	muuci
figure	ixma
figure out	gorrisay gey
file	sibà
file	oyti koboxu
fill	kib
filled	kibeh
film	filmi
filthy	quduf le
filthy	adabi sinni
finally	elle cabol
finance	maaliyyà
financial	maali caagid
find	gey
find out	gorrisay gey
fine	lakqo digaala
fine	meqeh
fine	nagaya
finger	feera
finish	sel
finish	gaba kal
finished	gabakaleh
fire	gira'
firm	tellemoh egla
firm	digga le
first	inik hayto
first name	elle yamixxigen migaq
first name	naharsi migaq
fish	kullunta
fit	xiqisso kib
five	konoyu
fix	dambiy
fix	bicis
fixed	bicteh
fixed	milaagime sinniimi
flag	simbilì
flash	bixiqqa hay
flat	fidinih
flaw	qaybi
flawless	boolà sinniimi
flee	kud
flesh	cadò
flesh	xagara
flew	haadeh
flex	xambabbaq
flex	uybulluy
flexible	milaagimtaama
flight	haadiyya
flip	afah korsa
flirt	baarrà kallaci
flirting	agbi kallaciyya
float	baabtaama
float	silisah
flood	weeqa
floor	baaxa
flour	burri
flow	qullunta
flower	qobooru
flu	gosonu
fluent	yabti dudda
fluently	yabti dudda luk
fluffy	xagaral xamciniimi
fluid	raymi
fly	kaaqaytu
fly	haadiyya
focus	hangi
fog	qubulu
fog	gayrana
foggy	qubul le
fold	xammaq
folks	sehda
follow	katayaanam
follow up	tiital lakleh
following	ciggiilak
food	maaqo
fool	duquru
foolish	duquru
foot	iba
football	ibi koqso
for	tohuh
for	wohuh
for	sabbatah
For example	ceelalloh
for instance	ceelalloh
for you	koh
for you	ku sabbatah
forbidden	waasimtem
force	qande
force	cayla
forecast	turaanama
forehead	qansa
forehead	qarsa
foreign	iro gaba
forest	garbò
forever	ummaan
forever	kulli waqdi
forget	habbel
forgive	qafu aba
forgot	habbaaleh
forgot	habbalteh
fork	feeraar le malkqa
form	weelo
formal	madabiino
former	dumaahe
fortunately	saami maqaaneh
fortune	saami maqaane
fortune	gaddaliino
forty	morootomu
forty-two	morootom kee nammaya
forward	ruubaanama
forward	tatrusaanama
foster	qaris
foster	maqar bahsis
fought	qeebi abe
found	geeh
foundation	rakiibo
four	fereyi
fourteen	taban kee fereyi
fox	wakri
fragile	xayih taddigilleemi
frame	rakisso
frame	solsoolu
framework	caagid rakisso
fraud	aylahu
fraud	ayra
freak	cakkumu
freak	able-waynu
free	curri
freedom	curriino
freeze	xabcat barad abiyya
frequency	qagaaqago
frequent	qagaaqagittaama
frequently	qagaaqagitak
fresh	niqinuk
fresh	qusbam
friday	Gumqata
fridge	giraasel
fridge	dalbi
friend	kataysa
friendly	sinam kacanuli
friendly	kataysiinul
friends	kataysiisi
friendship	kataysiinu
frightened	meesiteh
frightening	meesi qiddaama
frog	baxanna
from	furgata
from	akak
front	fooca
frozen	xabbacowteh
frozen	barad tekkeh
fruit	cax
fruit	caxà-miroyta
frustrated	bag carritiyya
frustrated	niya arigqiyya
fuel	siragle
Fulfulde	Fulfuldeh afa
full	kibuk tan
fun	wahnaana
function	taama
function	abina
fundamental	rakiibo
funeral	maagaqa
funeral	rabeena
funny	furkacat leemi
funny	taysuuliseemi
fur	saqi xagooru
furious	kaxxa bakcarra aalliyya
furniture	buxah uwwa
further	bisoh
further	alla
furthermore	wohuk bisoh
future	yamaatu waa udduru
gain	maksab geytò
game	digiiri
gap	faaqa
gap	foxo'
garage	qedbi araca
garage	garaaza
garbage	wasaka
garbage	qudufu
garden	wahnan araca
garlic	qado basala
gate	gasoh afa
gather	gaaboysiyya
gathering	kobxisiyya
gauge	caddò maqakkanà
gave	yeceeh
gear	marshi
gender	nado-wag
general	amolladi
generally	amolladih
generate	geyiyya
generate	ayyaaqiyya
generation	horà
generation	racò
generous	gaba maqaane
genius	qaakili
genre	fanni qaynata
gentle	ramaqqà leemi
genuine	digga le numma
gesture	maxcoh ascassa
gesture	asta
get	gey
get	geyaanah
get dressed	sara hayis
get dressed	sarit
get up	ugut
get well soon	xeyih qaffow
getting	geyiyya
ghost	rooci sinniimi
ghosting	bayaanama
giant	ginna-baxa
gift	acwa
ginger	gandabili
ginger	qasa amo le num
girl	awka
girlfriend	kacnoytà
girlfriend	mereytà
give	ucuy
give up	tuk soolaanama
give up	niya yargiqeenimi
given	yeceenim
glad	farciteh
glad	ruffa
glance	garrah wagtiyya
glass	karaarata
glasses	miryatitte
glasses	karaarota
glimpse	wessàh abliyya
global	baadal
gloomy	ditè leemi
gloves	gabà kufuufu
glow	habugu
glow up	iffoyteh
glue	xakbissa duyye
glue	camukkà
go	gex
go ahead	bisoh inxic
go away	gex
go to bed	qarkayto fanah gex
goal	hadafa
goals	madmoomi
goals	hadafitte
goat	reyta
god	yalla
god bless you	yalli barkat koh yacaay
goes	gexah
goes	gexxah
going	gexo
going	gexiyya
going to	gexam
going to	abam
gold	dahaba
gone	gexeh
gonna	abeyyo
goo	xakabta duyyè
good	nagay
good	meqeh
good afternoon	nagassee
good bye	salaamata
good day	meqe ayro
good evening	nagasseeni
good evening	kassowteeni
good job	meqe taama
good looking	qax meqe
good luck	meqe saami
good morning	Meqe Maaca
good morning	maacissee
good morning my love	maacissee yi kacanow
good night	meqe bara
goodbye	salaaamata
goodbye	maquk raq
goodnight	meqe bara
goods	uwwaytu
Google	googili
Google Translate	googilit maqnisaanama
goose	gayya ceela gumaytu
gorgeous	qax meqeemi
gorgeous	inti qawtaama
gossip	cami
got	geenih
got	geeh
got it	geeh
government	doolata
grab	ibbix
grade	caddo
gradually	caatih
graduate	dooqaysime barra
graduate	dooqaysime num
grain	murdudu
grant	ixbu
grant	cato'
granted	yeceeh
granted	xuureh
grapes	qinaaba
grasp	nagay ced
grass	qaysò
grateful	galtò gacsa
grateful	faata gacsa
gratitude	galto cacsa
grave	kabri
gray	burraacin bisu
great	kaxxam meqe
greed	hirfi
greed	inti-xeera
greedy	hirfeena
greedy	inti-xeerali
green	anxaxin
greet	salaamaqle ab
greeting	salaamata
greetings	salaamatta
grey	burraacin
grid	manfiyò
grid	kuntuubu
grid	fiqanfiirimi
grief	rooka
grind	riy
grip	diggah ibbix
grocery	maaqò dukkaana
groom	qaruusu
gross	ittata
gross	inkitanuuk
ground	baaxo
ground	ardi
group	butta
group	dokonu
grow	dadal
grow	anbiyya
growth	manubu
growth	dadala
grumpy	naqabu le
Guarani	Guaranih afa
guarantee	amantissò
guarantee	caabi
guard	dacayri
guard	dacris
guess	fayramisa
guest	qibnaytu
guidance	ascossa
guidance	miraaciino
guide	giti ascossa
guide	miracisiyya
guilty	baatileena
guy	numu
guys	labhay
gym	xagar-dig handaga
habit	qaada
habit	adara
habitat	guubu elle taniimi
had	luk suge
hail	fayla
hair	dagooru
half	garaba
half	qaxa
hall	handaga
hand	gaba
handle	ibbixi
handsome	qax moqo
hang	liglig
hang	waxeexis
hang out	assima
happen	tekkeh
happened	tekkeh
happiness	rufroota
happiness	farci
happy	saahite
happy	farcite
happy birthday	unkaq ubukyah ayro
happy birthday to you	meqe ubukyah aro koh takkay
happy new year	meqe qusba sanat
hard	digga
hard	gidba
hardly	caylaluk
hardly	inkinnah
hardly ever	way inkinnah
harm	biyaaka
harmful	umaama
harmful	tukala
harmony	sittingey
harsh	umaane
harsh	gibda
harvest	murti
has	leh
hate	naqabuli
have	leh
have a good day	meqe ayro koh takkay
have a nice day	meqe assima
have breakfast	kuraq xag
have fun	furkacit
have you eaten	atu maaqo xagtee?
having	aalliyya
hazard	ixxaage
haze	gayrana
he	usuk
he has	usuk leh
he is	usuk kinnih
head	saqala
head	moyya
headache	amò berra
heal	qaffoysiyya
healing	qaffoowiyya
health	qaafiyata
healthy	qaafiyatle
hear	ankacis
heard	yoobbeh
heart	sorkocò baxa
heat	laqna
heaven	jannata
heavy	qilsa
hectic	diriirigo
hectic	hafhata
height	fayya
heir	nagare
heist	rado
held	mabbuxu
hell	jahannama
Hello	Salamatta
Hello	Salaam qalaykum
hello dear	salaama kacanow
hello how are you	salaama mannah tantooh?
hello how are you doing	Salaamata mannah tantooh?
helmet	birti koofiyata
help	cato
helpful	tuxxiq leemi
hence	tohih taagah
her	teeti
herd	manga
here	akke
heritage	daarana
hesitate	agaagayitiyya
Hey	hayyeeh
Hi	hayyeeh
hi how are you	hayyeeh mannah tantoo?
Hi there	Hayyeeh Mannaay
hidden	yooqoreenimi
hide	daagis
hierarchy	reeda caddoh missa
high	fayya
highlight	assakat leemi
highlight	nagay yaybulleenimi
hike	qale mawqa
hiking	qale mawqa
hilarious	taysuuluseemi
hill	kooma
him	kaa
hint	afkan
hip	mayxaya
hips	mayxayitte
hire	tamlisso
hiring	taamal hayiyya
hiring	tamlo
his	kayimi
history	aydaadu
hit	utuk
hit	atka
Hmm	Hmm
hobby	ossotinah uddur edde tatrusaanama
hold	ibbix
hold	idiy
hold on	ibbix
hold on	qambal
hole	booha
holiday	qiidi
hollow	gorra
home	buxa
homework	buxà taama
honest	amaana li
honestly	cakkil
Honey	malab
honor	konnabna
hood	koofiya
hook	koxfeena
hop	kaqo
hope	kibal
hope	niya
hopefully	qaago luk
hopefully	niyatiino luk
hopeless	niyà sinna
horizontal	tabtabbi
horn	gaysa
horrible	qaxumaama
horror	qaybeena
horror	cunxissaama
horse	farasa
hospital	hosbitaala
hospital	dayli buxa
hospitality	qibnaytiino
host	xigla
hostile	naqabu le
hot	laqinih
hotel	hoteeli
hotel	xinti buxa
hotel	maaqo
hour	saaqata
hours	saaqata
house	qari
household	buxà mara
household	ahli
how	mannal
how	anninnal
how about you	Atu isihii?
how are you	mannah taniih?
how are you	anninnaay?
how are you doing	mannah tantoo?
how are you doing	anninnah tantoo?
how are you doing today	asaaku mannah tantoo?
how are you today	Asaaku mannah tantoo?
how do you do	Mannah tantoo?
how is	anninah
how many	magidè
how much	magideey?
how often	makina uddur
how old are you	karmà kok magideey
how was your day	ayro kok mannah sugte?
how was your night	mannah xinteeh?
however	takke kaa tekkek
hub	gommak cundubu
hubby	baqla
hug	aliilit xabba
huge	kaxxa gabulle
huge	kaxxam naba
human	sehdaytu
humble	rammiti
humid	uunaan le
humidity	wiinaana
hundred	boolu
hungry	satqittem
hunt	admo
hurricane	caacaya
hurry	isissik
hurry up	isissik
hurt	biyaakiyya
husband	baqala
husband	buxah abba
hustle	waxxaaqa
hut	daboyti qari
hygiene	saytunaane
I	Anu
I am	Anu Kinniyoh
I am fine	anu nagay an
I can	anu duudah
I can't	anu maduuda
I do	Anu abah
I do not know	Anu maaxiga
I do not understand	Anu koo macediyyo
I don't	Anu maaba
I don't know	anu maaxiga
I don't understand	Yoo maculinna
I don't understand	anu macediyyo
I don't understand what you mean	Anu atu ittam faxxam macediyyo
I don't understand you	Anu koo mafhimiyyo
I don’t know	Anu maaxiga
I don’t understand	Anu koo mafhimiyyo
i guess	Anu akkale
I had	Anu luk suge
I have	anu liyoh
I have been	Anu sugeh
I hope so	Anu qaagitah
I know	anu aaxigeh
I like	Anu faxah
I like you	Anu koo faxah
I love	Anu kiciyyoh
I love my big brother	Anu yi kaxxa toobokoyta kiciyyoh
I love my big sister	Anu yi kaxxa maqanxa kiciyyoh
I love my father	Anu yabba kiciyyoh
I love my little brother	Anu yi qunxa toobokoyta kiciyyoh
I love my little sister	Anu yi qunxa maqanxa kiciyyoh
I love my mother	Anu inniina kiciyyoh
I love you	koo kiciyyoh
I love you so much	Anu kaxxam koo kiciyyo
I love you too	Anu edde koo kiciyyo
I mean	anu axcem
I miss you	koh maxhaxeh
I miss you so much	Anu kaxxam koh maxhaxeh
I see	Anu ableh
I think	Anu akkalem
I think	Anu acsubeh
I understand	anu cedeh
I want	Anu faxam…
I want to see you	Anu kablem faxah
I want you	Anu koo faxah
I was	anu sugeh
I will	abeyyo
I would be	Anu akkeyyo
I'm	anu
I'm fine	anu nagay an
I'm good	anu nagay an
I'm here	Anu ahyoo
I'm here	Anu akkelan
I'm sorry	anu uczuneh
I'm sorry	qafu yoh ab
ice	arroqlè
ice cream	ayskiriimi
idea	tù-mabulu
ideal	ceelallo takkeemi
identical	itta celtam
identify	ittak baxis
identity	kinnaane
idiot	duquru
idle	taama sinna
if	tekkek
ignore	derrè cabti
ill	biyakle
ill	lakmisa
illegal	gita-maliino
illegal	madqak iroh taniimi
illness	biyaaka
illness	dalka
Ilocano	Ilocanoh afa
image	muuci
imagine	ucsub
immediate	xayih
immediately	xayih
immediately	tonal luk
immense	mangoomu
immense	kaxam nabaama
impact	raatcabti
impatient	sabri sinni num
implement	abnisso
import	addah culsà
important	tuxxiq leemi
important	muxxo leemi
impose	dirkih hayti
impossible	duudume waytam
impress	liicisaanama
impress	assakat geyiyya
impression	assakaata
impression	liica'
impressive	assakat leemi
improve	dadala
improve	iysiis
improvement	dadala
in	addat
in	adda
in addition	wohuk ossotinah
In fact	nummaak
in front of	tuk foocal
in order to	woh takkuh
inappropriate	faxxiime sinnimi
incentive	uguugusu
incident	tekkò
include	esgel
include	edde hay
including	edde anuk
income	culenta
inconvenience	sahhà sinna
increase	osis
increased	ossseh
incredible	cakkumuh taniimi
indeed	nummaak
indeed	asmata!
indeed	hununuh
independent	currih yani
independent	is xiqe
India	Hindi
indicate	esces
indigenous	baaxò- xaylòh tani
individual	cankah
individual	inki num
industry	masnaqa
industry	kuur
inevitable	raq sinniimi
infant	alqi
infection	umaalà
infinity	dikkà sinni
inflammation	waybò
inflation	lakqò baaca
inflation	lakqò duddh obti
influence	raat cabti
inform	waris
information	oyta
ingredients	caxa' sifa
inheritance	nagran duyye
initial	naharak
initial	qembol
initiative	canommaqaane
injured	mudulli
injury	dale
injury	mudimu
innocent	baatil mali
innovation	qusbageytò
inquiry	essero
insane	cabuli
insect	xuu
insect	hofya
insecure	meesi leemi
insecure	aamanti sinniimi
insert	culus
inside	adda
insight	xeer mabla
insist	qayyaawis
insomnia	xinti wayti
inspiration	uguugutu
inspiration	taamà niya
inspire	uguugus
install	daabis
instance	ceelallo
instant	sissikuk
instead	kay aracat
instead	wohuk kalah
instead of	wohuh afto
instructions	ascossa
instructions	amri
instrument	silaaca
insult	xaafu
insult	qaytima
insurance	caabi
intact	elle sugenna
integrity	inkittinaane
integrity	nummiino
intellectual	tu yaaxigi
intelligence	qakli
intelligence	kasa
intelligent	kas le
intelligent	tu yaaxigi
intend	ikraaris
intend	ucsub
intended	ikraariseh
intended	niyaateh
intense	cayla leeemi
intention	kibaala
intention	niya
interact	itta geyiyya
interact	angaaraw
interaction	qalla
interaction	angaaraw
interest	fayxi
interested	kaxxam faxaanam
interesting	ruufut leemi
interfere	fanat radiyya
intermediate	fanat gaciyya
intermediate	fanat taniimi
internal	addah imi
international	baad imi
international	baad caddoh
internship	abni barittò
interpret	maqnis
interpreter	maqnise
interpreter	afti gacsa abe
interrupt	fanak soolis
interrupt	irgiq
interview	esser kee gacsa
intimate	xayiimi
into	ilaa
into	adda
introduce	xayyoosiyya
introduce	aysaxaaxagiyya
introduction	culmeena
introvert	wacarriy le numu
introvert	tibba le numu
intuition	ginò kasa
invalid	oggol sinniimi
invent	ginaanama
inventory	uwwat badaaqa
invest	lakqo edde hayiyya
invest	taamal assiyya
investigate	fokkaaqis
invitation	qibnaytiino seeco
invite	arcibisiyya
invite	kaayaanama
invoice	yoofenta
involve	asgalliyya
involve	culsiyya
involved	edde yengeleenimi
iron	birta
iron	kaawiya
is	kinnih
island	kuddi
isolated	rikeh gactem
isolated	baxsimtem
issue	caagidi
issue	ayyaaqiyya
issues	caagiida
it	tii
it	teet
it is	kinni
it was	sugte
it's	kinnih
it's ok	tuhinna
It's okay	tuhinna
item	uwwa
items	uwwaytitte
its	issi
I’m	Anu Kinniyoh
jacket	jakkeeti
jail	casbi
January	Naharsi Kudo
jar	karaarata
jaw	qanxabba
jealous	aysineena
jerk	nafqi sinni
jerk	duquru
jewelry	bila
job	taama
jogging	ardiyya
join	angaliyya
join	adoyta akkiyya
joint	ittaluh tu aalliyya
joint	xakabba
joke	lollo
joke	digiri
journalist	xaagu qawaytu
journey	safara
joy	farci
judge	garkura
juice	liyyu
juice	sharaaba
july	laqini
jump	kaq
jump	kaqo
june	qasa dirri
junk	nafqi sinni fuyyi
junk	wasaka
just	bas
just	qaadille
just do it	annak ab
justice	qadli
justify	sabab aciyya
justify	sumaaqis
Kalaallisut	Kalaallisut afa
keen	baguuk faxiyya
keep	ibbix
keep	dacris
keep it up	foocah inxic
kept	dacriseh
kettle	ibriki
key	miftaaca
kick	atka
kid	alqi
kidding	anqasiyya
kidding	digiiri
kidney	tirò
kids	urru
kill	qid
kind	qaynata
kind	maqaane
kinda	qaynatah
kindly	nacrurta luk
kindness	maqaane
kindness	nacruta
king	amoyta
kiss	fugutto
kitchen	alayso qari
kite	haadda caxxi-qibna
kitten	dummu baxà
knee	gulubu
knew	aaxaguk suge
knife	gile
knight	mislaf qandeyta
know	ixig
knowledge	iddiga
known	tamixxigeemi
Konkani	Konkanih afa
Krio	Krioh afa
label	asta macwa
label	muggaaqisiyya
labor	gaba taama
labour	cayli taama
lack	wayto
lack	dagna
ladder	feeriseena
lady	buxah ina
lady	konnabna le barra
laid	fiddimteh
lake	wweeqaytu
lake	kalo
lamb	maruwu
lame	kosto
lamp	faanusu
land	ardi
landscape	baaxo bilaat
landscape	baaxo weelo
language	afa yaaba
lap	gurumma
large	nabaama
last	illicabo
last but not least	ellecabo immay fulah raaqak
last name	abba migaaqa
late	udurritiyya
late	udurro
lately	awayyih uddur
lately	axih
later	sarra
later	geerak
latest	qusbaama
latter	widirraaqa
laugh	usuul
laughing	asuuliyya
laughter	asaala
launch	laqsa
launch	qimmis
laundry	sari kaqayloh ayfaaf
law	madqa
lawn	qayso
lawyer	aftaalaytu
lay	gaciyya
layer	iro gambi
layout	xisoh ikraaro
lazy	qulaala
lead	baarud
lead	miraacis
leader	miraaca
leaf	ayyufta
leak	cayxi
lean	qaxah gaco
lean	qaku
leap	kaqo
learn	bartaanama
learning	bartiyya
lease	kirah aybalaala
lease	mardenti aybalaala
least	inkih daguuk
leather	araba
leave	cab
leave	gex
leaves	ayyuufa
leaves	cabiyya
led	miraaciseh
left	cabti
left	gura
leg	iba
legacy	nagra
legacy	waartaama
legal	madqiino leemi
legend	hayyeyyooni
legit	numma le madqa
leisure	muxxi afto
lend	abud aciyya
length	deddaar
less	daggow
lesson	baritto
let	idni
let	cabti
letter	farmo
letter	ayyufta
lettuce	yakmen caxaaxugi lago
level	caddo
leverage	abuuduh iko beyto
liability	essertim
library	kitoob buxa
lick	cangos
lick	muxuq
lie	dirab
lie	qaxah gaciyya
lies	diraaba
life	mano
lift	ukkuq
light	qilsa mali
light	ifu
lightning	robti bixiiqi
like	fayxi
like	masalan
likely	takku duddam
likewise	tonnah kaadu
line	fiiro
Lingala	Lingalah afa
link	asgagolla
link	ribo
lion	lubaaka
liquid	leehinna
list	rooru
list	rooris
listen	ankacis
listening	aabbiyya
literally	qangara qangarah numal
literature	kitab fanni
literature	kutbeenih ixxiga
litter	caxen qudufu
little	qunxam
live	manol aniyya
liver	tiro
lives	manol yan
living	mannoowiyya
living room	saaloonu
lizard	cabaydariinu
load	quuka
loaf	gahammoh exxa
loan	abuudu
local	baaxoh adda
location	tuk araca
location	ku araca
lock	alfeena
lockdown	alfiyya
log	kassisenta
lonely	dubiino
long	deerim
long time no see	kobleemih raageh
look	ubul
look	wagit
loop	qagaaqagit
loose	baarle
lord	yalla
lose	bayti
loss	bayti
lost	baytem
lot	kibu
loud	anay fayya
lounge	digir goli
love	kacanu
love you	koo kiciyyoh
lovely	ruftoli
low	dagom
low	ramma
lower	gubah
lower	oobis
loyal	amaanat le
loyalty	kibbalsimiyya
luck	saami
lucky	qaasir maqo
lucky	saami miqa
Luganda	Lugandah afa
luggage	sakayi
lump	dudduba
lunch	kada
lunch	satqa kalo
lungs	gublo
luxury	assamaqa
lying	dirab yaceenimi
machine	haddaaleena
machine	mansafa
mad	cabuli
mad	naqabu
madam	gifti
made	bicseenimi
made	taamiteenimi
magazine	majallata
magnificent	kaxxam meqe
maid	say buxà taameyna
main	leebombahdiilta
maintain	hanaawi
maintenance	qedeebo
Maithili	Maithilih afa
major	kaxxuk
major	muxxo le
majority	muxxole gaba
make	taamitaanam
make	abaanam
make up	gittoysiyya
make up	aymaaqiyya
male	lab numu
mall	qadaaga fanteena
man	numu
manage	xiinisso
management	xiinissò miraaca
manager	taamagexse
mandatory	dirki leemi
manifest	baxxaqis
manipulate	cogdatbeyiyya
manner	gurra
manual	miracseena
many	mango
many many happy returns of the day	a ayro mango adda farciluk kol tadaaray
march	roorut gexaanama
margin	cengegi
margin	lemedi
market	asta
marriage	rihimi
married	rihmeh
married	rihimteh
mask	qellisi
mass	qilsa
mass	nabna
massive	kaxxam nabaama
master	asmatluk yaaxigeenimi
master	saqala
match	qalayli
match	celsiisi
mate	niklo
material	uwwayti kinna
math	cisab-baritto
matter	caagidi
matter	tumamme
maturity	yenbeh
maturity	alayyo
maturity	tenbeh
may	takkem xiqtah
maybe	yalla kinnih
maybe	balkih
me	anu
me too	anu kaadu
me too	anu edde
meal	adoobi-waqla
meal	maaqo
mean	maqna
mean	iyaanama
meaning	maqna
means	gita
means	cogda
meant	iyyaanamak-sugte
meanwhile	woh wonnal anuk
measure	keelo
measures	yacussuleh
measures	maaqattooti
meat	cado
medical	qaafiyat fokkaaqo
medical	qaafiyatimi
medicine	dawa
meditation	cubbit acsubiyya
medium	fantiimi
meet	geyto
meet	angaaraw
meeting	gaaboyna
meeting	daffeyna
meeting	gudgudu
Meiteilon	Meiteilon afa
melt	diyaayaanama
melt	diyaayis
memories	kasseena
memory	kassiti
mental	cabuli
mental	mesenkacah
mention	galab-xagiyya
mention	ugsiyya
mentioned	galab xageh
mentor	yaydakaakani
mentor	ustaaza
merchant	tellemmo-abe
mercy	racmatta
mercy	cabsu
merely	annaak
merry christmas	meqe qiisah ubukyah ayro
mess	galala
mess	cas-casiimi
message	farmo
messy	wasaka
messy	daraqa
metal	birta
method	gexso
method	cogda
mice	hantuutitte
middle	fantiita
midnight	barak gude
might	takkem bictah
might	cayla
mild	caalih tanim
milestone	mafdagà
military	qaskar qande
milk	cana
million	milyoonu
mind	cubbis
mind	kasa
mindset	tummabul
mine	baaxo tu cotiyya
mine	yiimi
mingle	angaliyya
minor	dagoomu
minute	dagiiga
minutes	dagiigaati
miracle	miyakki
mirror	miryata
miscellaneous	baxsalem ittallih
mischievous	batrali
mischievous	makoli
miserable	umaama
miserable	farci maliino
misery	cinnaale
misery	calwaya
miss	hoxsa
miss	maxhax
miss you	koh maxhaxeh
missing	waytimte
missing	bayte
mission	qalaama, farmo
mist	qubulu
mistake	qellata
Mizo	Mizoh afa
mobile	mobaayili
mobile	gabaytu
mock	qamgaasala
mock	anqasa
model	ceelò welsa
model	dabrusa
moderate	xabbocoosiyya
moderate	fantiimi
modern	wargiita
modern	qusba dabaanihimi
modest	cayali
modest	anxaccali
moist	uunih
moisture	uunaana
moisture	arqa
mold	dicili
mole	barù
mom	ina
moment	ux udduru
monday	itleeni
money	lakqo
monitor	lowsiis
monitor	kattaata
monkey	damaqtu
month	alsa
mood	caalata
moody	gadanniqye
moody	caalat korse
moon	alsà
moral	niyà
more	ossotinah
more	muxxi
moreover	ahà kalah
moreover	ahak-muxxih
morning	maaca
mortgage	qari abuudu
most	mangih
most	muxxuk
mostly	mangih
mother	ina
motion	angoyya
motivation	uguugusu
mountain	qale
mouse	Hantuuta
mouth	afa
move	engey
move	angoyya
movement	angoyya
movie	filmi
mrs	gifti
much	mango
mud	kallà
