a	Yembo
forward	nanda
foster	Song ti yi
fought	Zab nin
found	Yan
foundation	yebre
four	naase
fourteen	Pii la naasé
fox	Waaga
fragile	komsa
frame	zĩiga
framework	Ziinga
fraud	zuubu
freak	Kõb-wẽnga
free	Zaalem
freedom	Soog-n-menga
freeze	Zel
frequency	Soonré
frequent	yobge
frequently	Wakat wʋsgo
fresh	Samd
friday	Arzouma
fridge	firgo
friend	Zoa
friendly	zoodo
friends	Zo-rãmba
friendship	Zoodo
frightened	Yɛɛsgo
frightening	yaiisé
frog	Loanga
from	Al sin kaosse
front	taoore
frozen	Lebga kougri
fruit	Tiig bila
frustrated	Sũ-yikri
fuel	Karẽnzi
Fulfulde	Silmiiri
full	Tourounfou
fun	Maanareem
function	Touma
fundamental	Sin ya wasiba
funeral	Kʋya
funny	Laafo
fur	Gãong fuugu
furious	Sou yikri
furniture	meeble
further	Taooré
furthermore	Sẽn paasde
future	Sen_wata
gain	Paamé
game	Reem
gap	yaadenga
garage	Manegr zinga
garbage	sagdo
garden	Zinbiis pougo
garlic	Layi
gate	Kʋɩlenga
gather	Wẽlge
gathering	Tiginga
gauge	Makda
gave	In kon
gear	Sinyilimda
gender	Poglem ne raolem
general	Wʋsgo
generally	Sond koums gilli
generate	Tigsi
generation	zamaana
generous	Ninsongo
genius	Zina
genre	maké
gentle	Noogo
genuine	Wenlgo
gesture	Manesem
get	in paamé
get dressed	Ning foutou
get up	N yiki
get well soon	Wend kon laafi
getting	In paamé
ghost	Kiima
ghosting	Kiima
giant	keenga
gift	kũuni
ginger	Yanmakou
girl	Bipougla
girlfriend	Zoa bila
give	in kon
give up	N base
given	Kon
glad	Sounoogo
glance	Nif gesgo
glass	Vɛɛre
glasses	Ni getga
glimpse	Yin kasenga
global	Douni gili
gloomy	Lika
gloves	Nouwoudo
glow	Pinda
glow up	Pinlé
glue	Kolé
go	Kengué
go ahead	Rigin pougé
go away	In loogé
go to bed	Ti gaandé
goal	ratem
goals	Toulsem
goat	Zaksoaba
god	Wẽnde
god bless you	Wend nigif barka
goes	Kengé
going	Kẽnd zug
going to	Kengé
gold	Sanem
gone	Sẽn meneme
gonna	Kengé
goo	Woukem minga
good	Soma
good afternoon	Wend sondg laafi
good bye	nindaaré
good day	Wend sonsg laafi
good evening	Zaab_songo
good job	Toum songo
good looking	Saag songo
good luck	Wẽnd na nig f nugẽ
good morning	Yibéoogo
good morning my love	Yibeoogo mnonga
good night	Wend na kond beoogo
goodbye	wakato
goodnight	Wend kond beoogo
goods	Koos teedo
Google	Bangr-baoob zinga
Google Translate	Sen lebgd goama
goose	Bulyeoogo
gorgeous	Neema
gossip	Kut yagbo
got	A paamami
got it	M woumamin
government	gofneem
grab	N dɩke
grade	Bãngr waoolem
gradually	Bilifbilifou
graduate	Bangre kaset sebre
grain	Bila
grant	kaoole
granted	Kon sor
grapes	Sibi
grasp	Gnonké
grass	moodo
grateful	Bãng zaame soaba
gratitude	Waoogre
grave	Wiib kinga
gray	Pouka
great	Ninma
greed	Yamleoogo
greedy	Zoe bõn soaba
green	Kẽega
greet	Poussé
greeting	Pousgo
greetings	Pousgo
grey	Pougsinga
grid	Yarga
grief	Kʋʋre
grind	Bouké
grip	Nou sinkem
grocery	Zinbiis tolongzinga
groom	Kin kandem
gross	Zugu (ligdi)
ground	Tẽnga
group	Souli
grow	zeka
growth	Gningré
grumpy	Sinwoumda fan
Guarani	Arzentin goam
guarantee	Ka bé kon tong
guard	Goubou
guess	Vayis_inbangué
guest	sõsda
guidance	Saglsé
guide	Wẽnda
guilty	Mitiiri
guy	Rawa
guys	roa
gym	Gnin wisgr zinga
habit	Minisem
habitat	Zag-ganga
had	Ratara
hail	Sapilem
hair	Kaseto sinyitin
half	Pʋsʋka
hall	Kinbo
hand	Nougou
handle	Soole
handsome	Neeré
hang	N yaglge
hang out	Giligri
happen	Santa
happened	Taamin
happiness	Vɩ noogo
happy	Sunoogo
happy birthday	Ned taab tigri
happy birthday to you	Ney rogom tigre tingré
happy new year	Ne-y taabo
hard	Keguenga
hardly	Pa yan sig
hardly ever	Sen ka bé wakat faan
harm	beegre
harmful	Sintiisda
harmony	Wagds sigbo
harsh	toogo
harvest	Kiinbé
has	a
hate	N kisgi
have	Oub
have a good day	Wena sonsg laafi
have a nice day	Wẽnd sõsg-d laafi
have breakfast	Ri yibeoog riibo
have fun	Reemi yan
have you eaten	Fo riim bii
having	Asin
hazard	Winga
haze	Wul faaga
he	a
he has	A tara
he is	A yaa
head	Nzan
headache	Zugu inzabda
heal	N sãooge
healing	saõogre
health	Sida bii
healthy	M pa na tong ye
hear	Maagué
heard	wumé
heart	Sounri
heat	Toulgo
heaven	arzãna
heavy	Zisgo
hectic	Dambdé
height	Zantem
heir	faad rita
heist	Kaoobo
held	Sin bé bansroogo
hell	bugum yiri
Hello	Yibéoogo
hello dear	Yibéoogo mnonga
hello how are you	Yi-beoogo. Yãm keemame
hello how are you doing	Yibeoog kibaré
helmet	Zoug la koutou
help	Songé
helpful	Sẽn yaa sõma
hence	Tilay
her	ah
herd	Roumsi
here	Ka
heritage	Arzɛka
hesitate	N yo yam
Hey	é
Hi	Ney woto wendé
hi how are you	Fo tar laafi
Hi there	Ney yibeoogo
hidden	Solgé
hide	Solgé
hierarchy	Taor soaba
high	Gningri
highlight	Riingué
hike	Pouytaaba
hiking	gilgri
hilarious	Kʋʋsme
hill	Tanga
him	Yin
hint	Sen wẽnde
hip	gere
hips	Sèga
hire	Tʋʋm dɩkre
hiring	Rik touma
his	ab
history	solemde
hit	Panbé
Hmm	Wo
hobby	Wousem zinga
hold	Rikré
hold on	Maag ouf menga
hole	Boko
holiday	Vʋʋsem
hollow	Boko
home	Roogo
homework	Magbo
honest	Sidsoaba
honestly	Sid sida
Honey	Zaksoaba
honor	Waooré
hood	Pako
hook	Gadsoma
hop	Tiiga
hope	Tinbo
hopefully	Ne zounoog bilifou
hopeless	Kogpanga
horizontal	Tirga
horn	Yiila
horrible	yelbeedo
horror	Sanga
horse	Wed-moaaga
hospital	Logtor yiiri
hospitality	Ganleg logtor yiri
host	Ziibo
hostile	Goamsingré
hot	Toulem
hotel	Gangzinga
hour	Wakat
hours	Wakatisé
house	Idmaké
household	Rangendé
how	Wana
how about you	La foo
how are you	i keemamin
how are you doing	i keemamin
how are you doing today	I keema runda
how are you today	Maana wan rounda
how do you do	Yamb maana wana
how is	Wana la ya
how many	A wana
how much	A wana
how often	Yobge bogo
how old are you	Fo tara yuum a wana
how was your day	Fo daarã yɩɩ wãna
how was your night	Younga yii wana
however	la segdamin
hub	Weef moyo
hubby	zaksoaba
hug	Pougin
huge	Kassenga
human	Ninsaala
humble	Sikiminga
humid	Maasre
humidity	bougsem
hundred	Kobga
hungry	Kom neda
hunt	Waango
hurricane	Seb bedré
hurry	yãgdem
hurry up	Yilim karga
hurt	Poglé
husband	Zaksoaba
hustle	Kɩdengo
hut	Séoko
hygiene	Yolgemdé
I	Maam
I am	Mam yaa
I am fine	M tara laafi
I can	Mam tõeme
I can't	M ka tõe ye
I do	m-maadamin
I do not know	Mam pa mi yé
I do not understand	Mam pa woumd yé
I don't	Mam pa
I don't know	Mam pa miyé
I don't understand	Mam pa woumd ye
I don't understand what you mean	Mam pa mi yamb sen dat in yeel ninda yé
I don't understand you	Mam pa woumd fo yé
I don’t know	Mam pa mi yé
I don’t understand	Mam pa woumd yé
i guess	M samdamin
I had	M da tara
I have	Mam tara…
I have been	M da wa min
I hope so	M tindamin
I know	Mam miimin
I like	Mdatam
I like you	M nong-f lame
I love	Mdata
I love my big brother	M data m kèm raowa
I love my big sister	M data m kèm poaka
I love my father	M data m ba
I love my little brother	M data m yao raogo
I love my little sister	M data m yao poaka
I love my mother	M data m ma
I love you	Mdata foo
I love you so much	Mnonga fo hali
I love you too	Maam min rata foo
I mean	Mam datẽ yeelame
I miss you	Yaa kaossgo
I miss you so much	Mam data foo hal kingo
I see	Mam neme
I think	M tindamin
I understand	Ma woumamin
I want	M datame
I want to see you	Mdat in yan foo
I want you	Mam data foo
I was	Zoesé
I will	Ninsida
I would be	M watamin
I'm	Mam bee
I'm fine	Mtara laafi
I'm good	M keemame
I'm here	M bee ka
I'm sorry	MPa n'a tong
ice	Ko kougri
ice cream	Ko kugri
idea	Yam
ideal	Yèse
identical	Wendtaaba
identify	Ning vinem
identity	Ning minim
idiot	yalemdo
idle	Patoumda
if	Rin
ignore	Bas ti loui
ill	Mdat_in
illegal	Pa toun soré
illness	baanga
Ilocano	Gom zin
image	Siiga
imagine	N tagse
immediate	Tao
immediately	Zingpoguin
immense	Kaseng
impact	sin toe wanin
impatient	Pa maagda menga
implement	Tʋʋm sɩngre
import	Tal zinga to wa
important	Tilay
impose	Renda
impossible	Ka toin yé
impress	Kon raabo
impression	Tagsgo
impressive	Sẽn ta
improve	Teksongo
improvement	Kend taooré
in	Pouguin
in addition	Sin paasdé
In fact	Rat in yell
in front of	Taoré
in order to	Sen
inappropriate	Sinpazemsé
incentive	Yãmb daabo
incident	Sababo
include	N naage
including	Fan sen_naagé
income	Lebginwa
inconvenience	Sanga
increase	paasé
increased	sin paasé
incredible	Pa tindye
indeed	Rien yinga
independent	Soogeminga
India	Inde zamaana
indicate	N wilgi
indigenous	Weoog boumbou
individual	Yembré
industry	lozini
inevitable	Sẽ pa tõe n viigi
infant	Bi peelga
infection	Longré
infinity	Sen kon sa
inflammation	kuwaré
inflation	Paasgo
influence	ridgé
inform	togsé
information	Kibaysé
ingredients	Zibiisi
inheritance	Faado
initial	Sɩngre
initiative	No-rɩkre
injured	Poglé
injury	Sapogdo
innocent	Basé
innovation	Toeoongo
inquiry	kosgo
insane	Gainga
insect	Boin yigda
insecure	Tẽn-wɩngre
insert	Sinké
inside	Pʋgẽ
insight	Wẽnega
insist	Badegpanga
insomnia	Goinme sin kay
inspiration	Toumd raabo
inspire	a ratamin
install	Ziligui
instance	Makré
instant	Sin pa kaosida
instead	pindin
instead of	La foka na
instructions	Wiliga
instrument	Tuum teedo
insult	touya
insurance	Ne tẽebo
intact	Boum pa sisé
integrity	Tiknougou
intellectual	Bangda
intelligence	Bangré
intelligent	bãngda
intend	Yam daabo
intended	Tolgé
intense	Ne pãnga
intention	Tẽebo
interact	Sonsdin
interaction	Sonsd nin taaba
interest	Gnondo
interested	Raab sẽn be
interesting	Taryamleoogo
interfere	kindtaaba
intermediate	Souka
internal	Pougin
international	Zanman zinga
internship	Zamsg n biisé
interpret	Mamsin maané
interpreter	Non reesa
interrupt	Yalsé
interview	seka
intimate	banega
into	Poguin
introduce	Kẽese
introduction	Tɩʋʋsgo
introvert	Ni-sĩndga
intuition	Yam-goam
invalid	Sin pa saké
invent	maalé
inventory	Sondga
invest	Konminga
investigate	Vayisé
invitation	Boolé
invite	N kãabe
invoice	Raab kaset sebre
involve	naage
involved	Kinsminga
iron	kutu
is	Ya
island	Kozinga
isolated	Sin solgé
issue	Yelé
issues	Soukre
it	a
it is	yala
it was	Ra ya
it's	Ya
it's ok	Yaa soma
It's okay	Yaa soma
item	Naokindré
items	tekoosdem
its	yaa
I’m	Mam yaa
jacket	Fou bedre
jail	Ban roogo
January	Pipi kiougou
jar	yuure
jaw	Yeeré
jealous	Soukinri
jerk	Nindasin pa tagsda
jewelry	Kinfou
job	nug Tʋʋmde
jogging	Zoé bi
join	N bʋʋge
joint	Zin soaka
joke	Belegé
journalist	Kibakita
journey	Sotoaka
joy	Sũ-noogo
judge	Wondo
juice	Noodo
july	Seoog kiuugu
jump	Yik
june	Sigr kiugu
junk	Sotoak
just	Winega
just do it	Maané
justice	Bu kaore
justify	Kon kaset vinim
Kalaallisut	Greland goam
keen	Araabo
keep	Zinlika
keep it up	King boto
kept	Zan
kettle	Pouslaaga
key	kile
kick	Vaado
kid	Biiga
kidding	Belegré
kidney	yaabila
kids	Koamba
kill	Kou
kind	Winego
kinda	Rat in naa yeel
kindly	Gninsem
kindness	Gninssem
king	Zousoaba
kiss	Gaandé
kitchen	Segleg roogo
kite	Bon yigdga
kitten	Younbila
knee	rũndi
knew	Rami
knife	Souga
knight	Wed rouda
know	Bangué
knowledge	Mintinga
known	Mi
Konkani	Ind ramb sen gomda
Krio	Siera léone goam
label	N bẽde
labor	toumdé
labour	Toumdé
lack	Kaalem
ladder	makdenga
lady	Pag
laid	Bingi
lake	Kʋlga
lamb	Pe-bila
lame	Sẽn keosde
lamp	Fitla
land	Sigi
landscape	Vɩʋʋg naanga
language	Zilimdé
lap	Romdi
large	Kasenga
last	Yaolem
last but not least	Masa la sinyiida
last name	sondre
late	Wakat pooré
lately	Yaoleme
later	Bilifou
latest	Poorin soaba
latter	Poorin soaba
laugh	La
laughing	In ladin
laughter	Laado
launch	Lokré
laundry	Fout_pekr zinga
law	tõogo
lawn	Moogzinga
lawyer	sõangda
lay	N dɩgle
layer	kogré
layout	Gulsongo
lazy	Kouima
lead	Maanin
leader	Naaba
leaf	Seb-bila
leak	Zoé
lean	bãanega
leap	Yikré
learn	Zamsego
learning	Zamsgo
lease	Pengré
least	yanké
leather	gãongo
leave	Loogé
leaves	vãado
led	zãabo
left	Goabga
leg	karga
legacy	faare
legal	Sin tou nin sari
legend	Nin-kasena
legit	A sore
leisure	Bilifou
lend	N penge
length	Woglem
less	woogé
lesson	Kaorengo
let	Basé
letter	Lɛtre
lettuce	salaado
level	Sin be zin niga
leverage	Sẽn paased yõodo
liability	Tʋʋm nug taoor gesgo
library	Sɛb-roogo
lick	Mobsé
lie	Yagbo
lies	Pouyagbo
life	Viim
lift	Asãsɛɛre
light	Vinem
lightning	Sa- tansga
like	Wala
likely	Toin ti
likewise	wa
line	Yilmé
Lingala	Kongo goama
link	Loetga
lion	bongninga
liquid	Koom
list	Sodgr sebre
listen	Kelgé
listening	Kelgé
literally	Koagkoaiga
literature	Goam-karengo
litter	Roums gang zinga
little	kidiga
live	Ning ne ninga
liver	Sãoore
lives	Viim
living	Viim
living room	Roog nooré
lizard	Sinemdé
load	Zilge
loaf	Bour-moumdi
loan	pengre
local	Tẽngendo
location	Sẽn beenga
lock	Kouloumbila
lockdown	Lal ouf menga
log	Goulsé
lol	Kato
lonely	yembre
long	Wooko
long time no see	Yaa rasem ayii ti tond pa gna taaba
look	Guesgo
loop	Toub londo
loose	Kʋɩɩma
lord	zousoaba
lose	Menem
loss	Miningo
lost	Menem
lot	Zĩ-vɩʋʋgo
loud	Kɩdbre
lounge	Roog nooré
love	Nonguin
love you	M nong-f lame
lovely	Neeré
low	Ka panga
lower	Sin pa ta
loyal	Sid konta
loyalty	Poupeelem
luck	Zounoogo
lucky	Zu-noog soaba
Luganda	Bantou ramba goam
luggage	teoogo
lump	Zipelé
lunch	Yibéoogo riibo
lungs	Fouloun foudou
luxury	Noogo
lying	gãande
machine	masina
mad	Gainga
madam	Paga
made	Maan
magazine	Kibay sebr
magnificent	tar yelsoalem
maid	Zak-paga
main	Pipi
maintain	Talé
maintenance	Sonsga
Maithili	Nepal goam
major	Kasema
majority	Pouisouka
make	Maané
make up	Nagé
male	Rawa
mall	Tolog bèd zinga
man	Rawa
manage	N zã
management	zãabo
manager	Taoor soaba
mandatory	Tilaye
manifest	Wilgui
manipulate	Tongé
manner	mansem
manual	Seb
many	zembala
many many happy returns of the day	Wusg wusgo sounoog lebr daaré
march	Kiouga a tan
margin	Kirga
market	Kendé
marriage	Yikandem
married	Sẽn kãademe
mask	Wango
mass	Nin-buiidu
massive	kingo
master	Karẽn-saamba
match	Winda
mate	zoa
material	teedo
math	Geela
matter	Sintoudi
maturity	Bioungo
may	Toin
maybe	Toin ti
me	Maam
me too	Maam min
meal	Riib
mean	Poui_souka
meaning	Sẽn datẽ wilg-yã
means	tõogo
meant	Sègd
meanwhile	Wakata ye
measure	Maké
measures	Magbo
meat	Nemdo
medical	tibsgo
medicine	logtoomdo
meditation	Taguesgo
medium	Sen zemsé
meet	Segué
meeting	tigsga
Meiteilon	Gom zina
melt	Gninégé
memories	Sen loogé
memory	Poutinr
mental	Zugu
mention	Tiki
mentioned	Wilgui
mentor	Zusoaba
merchant	Toalemda
mercy	Nimbaan zoeere
merely	Faaga
merry christmas	Nin nowel taab tigri
mess	Bébeoogo
message	Koɛɛga
messy	Zũnglgu
metal	Koutou
method	So-tũudga
mice	Gnongré
middle	Tẽn-soka
midnight	Yuun souka
might	Ra toin
mild	Biné
milestone	Sendga
military	Sodaaga
milk	Biinsim
million	Milignon
mind	Yam
mindset	Yamdamba
mine	Toumnin
mingle	Naag taaba
minor	gnanga
minute	Pam-pam
minutes	Pam-pam
miracle	Toum bandé
mirror	Ne-gɛtga
miscellaneous	Bon zemse
mischievous	Ka poutogo
miserable	Far soaba
misery	nimbanega
miss	Pa yan
miss you	Fo kaoosa maam
missing	Sinkabé
mission	Kindé
mist	Wul faaga
mistake	tudgri
Mizo	Ind goam
mobile	Inguilgda
mock	zouri
model	Buugu
moderate	Zemzem
modern	Yaolemwakat
modest	Bilif
moist	Maasga
moisture	Maasem
mold	Roaasdga
mole	Buglunvare
mom	ma
moment	Wakaté
monday	Tẽne
money	Ligdi
monitor	Zamsida
monkey	Wamba
month	kiuugu
mood	yik ouf nougou
moody	Toum ne kiougou
moon	wãdga
moral	Tarem
more	paasé
moreover	N paase
morning	Yibéoogo
mortgage	Ragin
Mossi	Moaaga
most	Kinré
mostly	Sen yida
mother	Sin ya yé
motion	Bidgr buud faa saabo
motivation	Kon minga
mountain	Tangbedre
mouse	Gnonré
mouth	noore
move	N serge
movement	Gidgr buud faa saabo
movie	Filma
mrs	Paga
much	Wʋsgo
mud	Bingdo
mug	Tasé
muscle	Yinga nemdo
museum	Koudem teed zinga
mushroom	Guudu
music	yiila
must	Maguebo
mute	Mouka
mutual	lagemtaaba
my	Mam
My dear	M neda
my friend	M zoa
My hovercraft is full of eels	Mam bon zobidiga tara bon konsidi
my love	Mnonga
my name is	Mam yʋʋr yaa
my pleasure	Ne sounoogo
myself	Mam menga
mysterious	Solemdem
mystery	Yelsomdé
myth	Boundi
nail	Kire
naive	Gomda yam
name	Yʋʋre
narrative	Wilgri
narrow	Banega
nasty	Mnonga foo hali
national	Tengin biiga
nationality	Sin wiligdtif yaa tinga biiga
native	Tẽngẽ biiga
natural	Sẽn ka naag ne bũmbu
nature	Bẽrngo
nausea	Sounsalinga
near	Msaamin
nearby	Sen pin
nearly	Wala
neat	Sakre
necessary	Tilay
neck	yũbla
necklace	Koko kèka
need	Raabo
negative	Sẽn pa sõma
neglect	Pa nanda
negotiate	Bonsé
neighbor	m-yaka
neighborhood	saka
neither	Ka
nephew	Yaguinga
nerd	Bangda
nervous	Sounyikri
nest	Lioul roogo
net	Winri
network	Yingr pemsem
neutral	Pa yank singa
never	Bada
never give up	Ra bas ti loui
never mind	Pa sek ye
nevermind	Oa yelé
nevertheless	Ne rinfan
new	Paalé
news	Kibay
next	Sẽn pogde
next to	In pin nin
nice	soma
nice to meet you	Yaa sunnoogo Tim bang yan
niece	Yaguenga
night	Yʋngo
nightmare	Zameyooko
nine	paalé
nineteen	Pii la way
ninety	Pis way
No	Ayoo
no problem	Yel kaye
no way	Patind yé
nobody	Nissaala
noise	Bʋʋre
noisy	Sẽn maan bʋʋre
none	Baa ye
noon	Wintosouka
nope	ayo
nor	Ba
normal	A soré
north	Windig senyit nous goabga
nose	yõre
nostalgic	Pakré
not	Ba
not at all	Ka rin yé
not bad	Pa saam
Not now	Ka moassa yé
not yet	Pa nanda
note	Sin paam
noted	Teesé
nothing	Baa fouy
notice	Yam daabo
noticed	Yantamin ti
noun	Yʋʋre
nouns	Sonda
novel	Sebr bedre
november	Sipaolg kiuugu
now	Mansan
nowadays	Rounda
nuisance	Tiisda
null	Zaalem
numb	Sẽn komse
number	sõore
nurse	Loto-poaka
nut	Gouré
nutmeg	Zouna
nutrition	Ritla
oath	Winlin pidsi
obesity	Poubedre
obey	N waooge
object	bũmbu
objective	ratem
obligation	tilaenga
obscure	Lika
observation	Ges kaaga
observe	N gese
obsessed	Sanmé
obsession	Raglem
obsolete	Sin samé
obstacle	Bindgo
obtain	paoongo
obtained	Paamé
obvious	Windam
obviously	Nokoemde kay
occasionally	Wakat-wakato
occupation	Tuumdé
occupied	In deegé
occur	In maané
occurred	Sin maané
occurs	Ti kanga
ocean	Kokasenga
october	Zi likr kiuugu
odd	Katoun
odds	Zounoodo
of	Ni
of course	Yaa sida
off	Dounia
offensive	win
offer	Kouni
office	Bɩrʋ
official	Sorsinkon
often	Wakat ninda
Oh	Kato
oh really	Eh sida
oil	Kaam
ok	Sakamin
ok dear	Msakamin mnonga
ok honey	Msakamin mnonga
ok my love	N ge m nonga
okay	Sakamin
okay baby	Biiga msakamin
okay dear	Koɛɛg ka be ye m noanga
okay honey	Msakamin mnonga
okay my love	Msakamin mnonga
old	Nikinma
on	Yingri
once	Naor a ye
one	yembré
one language is never enough	Zilimda yé pa sekd yé
onion	Albass
online	Bekelegré
only	a yé
open	N pake
operation	Tʋʋmde
opinion	Yam daabo
opportunities	Sababsongo
opportunity	Wakasongo
opposite	Sin pa toun
optimistic	Tẽeda
option	Nao yankre
optional	Ka gnondo
or	Yaé
orange	orãase
order	Bool raaga
ordinary	Nassaara toum teedo
organization	tuum moore sulli
orientation	Teesgo
origin	Gnangré
original	A minga
Oromo	somali la dibouti ramb goama
Oromo	Kenia
orphan	Kiiba
other	Taaba
otherwise	San pa rin
ought	Da segda
our	Tondo
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Tond toumd yaa song ned fan la zin fan ta bang douni wan la gom buud ramba goama
Our mission: to organize the world's information and make it universally accessible and useful.	Tond toumd yaa temb douni wan kibay in dik taas zanmaana fan ti tal yondo
out	Yinga
outcome	Sin dogé
outfit	teningdem
outgoing	Yiibou
outlet	Yi
outline	Guiligri
outside	Yɩnga
outstanding	Sẽn ya sõma
oven	Naas naase
over	Yingri
over there	Alka
overall	gilli
overcome	N yi
overthinking	Tags wusgo
overwhelmed	In gangé
overwhelming	Sẽn talgde
owe	tilaeenga
owl	viuungu
own	Talé
owner	soaala
ox	Naafo
pace	Ned fãa tõogo
pack	Paki
package	Bon ponbendga
paid	Sẽn yao
pain	Toogo
paint	N bole
painting	Konbgo
pair	Yiibre
pale	Zãl-zãle
palm	Kon bila
pan	Poɛlle
pandemic	Bã-wẽnga
panic	Yumbe
pants	Kourga
paper	Sebre
paradise	Arzèna
parallel	Pa sègdtaaba
parcel	Toolé
pardon	sougri
parents	rogdba
park	yangré
parrot	Kinga
parsley	Persili
part	keere
participate	N lʋʋs toogo
particular	Ninto
particularly	Sẽn yɩɩda
partner	Tʋm-ne-taare
party	N maan kibsa
pass	Sin loogé
passage	Piougré
passed	Loogé
passion	Yamdaabo
passionate	Tar yamdaabo
passive	Tuuda
password	Kot sooré
past	Sẽn looge
patch	Naagtaaba
path	Sooré
pathetic	Yel wẽnde
patience	Sablega
patient	Banda
pattern	Song ti
pause	Yalsé
pavement	Sor nooré
pay	N yao
payment	Yaoodo
peace	Laafi
peaceful	Woumtaaba
peach	Zin gnongbo
peak	N tigmi
pear	Leegda
peas	Sounma
peculiar	Ban zenga
pee	Rood-koom
peel	Lobé
peer	Yiib n ditga
peers	Rog taase
pen	biki
pencil	Rinsdga
pending	Nanda
people	Neba
pepper	Nasaar tipare
perceive	Reegé
perception	yãabo
perfect	Minnem
perform	N maane
performance	Tongo
perhaps	Toin yàn min ti
period	Wakatbogo
permanent	Wakatfan
permission	Sor-kũuni
permit	Sebr sin kot soré
perseverance	Nadg panga
persistent	Yilengo
person	neda
personal	nida
personality	Ninkidré
perspective	sore
persuade	Yaaré
pervert	Vindata
pet	Gõaag rũnga
phase	Vouka
phenomenon	Yel boundi
philosophy	bangre tagsgo
phone	Nougin_banga
photo	foto
phrase	Gomdé
physical	menga
pick	N rɩke
pick up	N wʋke
picture	nenga
piece	bãoonogo
pieces	Zendme
pig	Kukuri
pigeon	Mal walé
pile	Tors kougri
pillow	Zu-kʋka
pilot	Silig dorba
pin	Bon Roudiga
pineapple	Anana
pink	Konbmiougou
pit	Boko
pitch	ziviuuugo
pity	nibãanega
place	Ziinga
places	Ziinsi
plague	Ban logdem
plain	Tanga
plan	mamsga
plane	Sɩlga
plant	lozini
plants	Weoog teedo
plate	Nakẽn-yooko
platform	baoobo zinga
play	Reemé
playing	Reemdin
pleasant	noogo
please	Kabre
pleased	Sũ-noogo
pleasure	Sounoogo
pledge	Mingkouni
plenty	Tɩgre
plot	Zĩ-vɩʋʋgo
plug	Tougli
plum	aadré
plumber	Gnonka
plural	wusgo
podcast	Sin yiis ti neb woum
poem	Gom bouna
poetry	Maan gom bouna
point	N wilgi
poison	Bindyooko
police	Sodaaga
policy	Na baodb souli
polite	ned waooré
pollution	Tẽng-rẽgengo
pond	Gandaog
pool	Nasaar-mogre
poop	Bindou
poor	Talga
pop	Ten dambgo
popular	Sẽn tar miilem
population	Nin-buiidu
pork	Kourkouri
porridge	Binré
port	Ningri
position	rigligo
positive	Neema
possess	talé
possession	soolem
possessive	Sen so
possible	Toin
post	Tʋʋm zĩiga
postpone	tolse
potato	Nayoun
potential	Winda
pound	Rou
poverty	talemdo
power	N tõoge
powerful	pan wèglgo
practical	Manessem
practice	Manesim
praise	N waooge
prank	Belegré
pray	N pʋʋse
precious	Bousongo
precise	Takɩ
precisely	Taktaké
predict	Wilg ponda
prefer	nong in yiida
preference	Yamraabo
pregnant	pouga
prejudice	sãanga
premises	Ziinsi
premium	Kouni
preparation	Seglgo
prepare	Sin pa bé wakat kinré
prepared	Sèglé
preposition	Ne
presence	belem
present	Kouni
presentation	wilgri
preserve	N kogle
president	taoorsoaba
press	Kibakita
pressure	ning panga
pretend	N mage
pretty	Neere
prevent	Pindiwilgui
previous	Kontareem
prey	Ribo
price	Teoog-ligdi
pride	Bourkina
priest	Mogpèr
primary	yaoolem
prime	Kouni
princess	Nabipoaka
principal	tilae
prior	pĩnda
priority	Wiligri
prison	Baens roogo
privacy	solgré
private	Ned-soolem
privilege	waoogre
prize	A ligidi
probably	Toin ti
problem	yelle
procedure	So-tũudga
proceed	N maane
process	Sotoundem
produce	maane
product	teoogo
production	Tuum biisi
profession	Sen toumnida
professional	Sẽn t ʋmda
profile	Ninga winlgo
profit	yõodo
profound	Zoulouma
progress	Yɩɩdgre
project	Toum noore
prominent	Sẽn yaa bedre
promise	Pʋlemgo
promote	waoogre
promotion	Taaba
prompt	tao
prone	Sin pato
pronouns	Nin leta
pronunciation	Sin boond toto
proof	kaseto
proper	Bangé
properly	sõma
properties	Soogo
property	Boumb soaba
proposal	ama
prospect	Sin mamsida
prosperity	Taorkendé
prosperous	Zamb
protect	N kogle
proud	Bourkindlim
prove	Modgẽ wilgenga
provide	Songo ti paam
provided	Kon
province	Soolem
provision	Nao kindre
puberty	Gnègré
public	zãma
pull	N take
pumpkin	Tikoayiga
punctual	Wat awakat
pupil	Karembiiga
purchase	in daabo
pure	yolemde
purple	Bʋla
purpose	tulsem
purse	kũuni
pursue	N pʋge
pursuit	Balgré
push	N tusi
put	Makda
qualification	Sen zem
quality	somblem
quantity	waoolem
quarantine	Pisnaas sẽne
quarrel	Zabré
quarter	Kiouga tanb poore
Quechua	Yoadba
queen	Napoaka
queer	Rassanga
query	Kit tib sambé
question	sokre
queue	Peelga
quick	Tʋʋlle
quickly	Ne tʋʋlem
quiet	sii
quilt	Lada
quit	Yalsé
quite	Wusgo
quiz	Sokgs biisi
quotation	Yelboudi
quote	kibare
quotes	Tuumd ligd ganegdga
rabbit	Soamba
race	zoeese
rage	Ba ganyemdo
rain	Saaga
raise	Paasé
raised	Zinké
ran	Buuge
random	Sẽn ka tilae
range	Nounganga
rapid	Tao tao
rapidly	Tao tao
rare	Sin pabe
rarely	Bũmb sẽn pa wɛ
rash	Puugi
