a little	nnye
follow	latela
follow up	latedisa
following	latelang
food	dijo
fool	sematla
foolish	sematla
foot	lenao
football	kgwele ya dinao
for	-ela
for	ka gonne
For example	Sekai
for instance	sekai
for you	ya gago
forbidden	thibetswe
force	pateletsa
forecast	ponelopele
forehead	phatla
foreign	seeng
forest	sekgwa
forever	ruri
forget	lebala
forgive	itshwarele
forgot	lebetse
fork	foroko
form	foromo
form	popego
formal	semmuso
former	pele
fortunately	ka lesego
fortune	lesego
forty	masome a mane
forty-two	somamane le bobedi
forward	kwa pele
foster	tlamela
foster	godisa
fought	lwantsha
found	fitlhetse
foundation	motheo
four	nne
fourteen	somenne
fox	phokoje
fragile	bokoa
frame	foreimi
framework	letlhomeso
fraud	tsietso
freak	sa tlwaelegang
free	mahala
freedom	kgololosego
freeze	gatsetsa
frequency	seelo
frequent	gangwe le gape
frequently	ka gale
fresh	forešhe
friday	labotlhano
fridge	setsidifatsi
friend	tsala
friendly	botsalano
friends	ditsala
friendship	botsala
frightened	tshogile
frightening	tshosa
frog	segwagwa
from	go tloga ka
from	go tswa mo
front	pele
frozen	gatseditswe
fruit	leungo
frustrated	retetsa
frustrated	tsupuetsa
fuel	leokwane
Fulfulde	Fulfulde
full	tletse
fun	boitumediso
function	tiro
fundamental	botlhokwa
funeral	phitlho
funny	tshegisa
fur	bobowa
furious	galefile
furniture	fenitšhara
further	fa pele
furthermore	go feta moo
future	isago
gain	boelwa
game	motshameko
gap	phatlha
garage	karatšhe
garbage	matlakala
garden	tshingwana
garlic	konofole
gate	heke
gather	kokoanya
gathering	kokoano
gauge	selekanyi
gauge	lekanya
gave	neile
gear	kere
gender	bong
general	kakaretso
generally	ka kakaretso
generate	tsala
generate	tlhola
generation	tshika
generous	pelo
genius	letlhale
genre	mofuta
gentle	bonolo
genuine	mmatota
gesture	puo ya matsogo
get	bona
get dressed	apara
get up	ema
get well soon	fola ka bonako
getting	nna
getting	bona
ghost	sepoko
ghosting	go nyelela
giant	dimo
gift	mpho
ginger	gemere
girl	mosetsana
girlfriend	lekgarebe
give	fa
give up	itlhoboga
given	neilwe
glad	itumetse
glance	go leba ka pele
glass	galase
glasses	digalase
glimpse	kgaodiso
global	ya bogotlhe
global	lefatshe ka bophara
gloomy	hutsafetse
gloves	ditlelafo
glow	phatsima
glow up	ntlafala
glue	sekgomaretsi
go	tsamaya
go ahead	tswelela
go away	tsamaya
go to bed	ya go robala
goal	boikaelelo
goal	sekgele
goals	maikemisetso
goals	dino
goat	podi
god	modimo
god bless you	modimo a go segofatse
goes	a tsamaya
going	ya
going to	ya go
gold	gauta
gone	ile
gonna	tla
good	molemo
good afternoon	dumelang
good bye	tsaaya sentle
good bye	sala sentle
good day	dumelang
good evening	dumelang
good job	tiro e ntle
good looking	montle
good luck	keleletso masego
good morning	dumelang
good morning my love	dumela moratiwa
good night	robalang sentle
goodbye	tsamaya sentle
goodbye	sala sentle
goodnight	robalang sentle
goods	dithoto
Google	Google
Google Translate	Phetolelo ya Google
goose	ganse
gorgeous	mebalabala
gossip	tshele
got	bone
got it	e bone
government	puso
grab	phamola
grade	tlhopha ka seemo
grade	seemo
gradually	ka bonya
graduate	sealogane
grain	tlhaka
grant	neya
granted	neetse
grapes	diterebe
grasp	huparela
grass	tlhaga
grateful	tletse ditebogo
gratitude	tebogo
grave	lebitla
gray	pududu
great	tona
great	kgolo
greed	bogagapa
greedy	bogagapa
green	tala
greet	dumedisa
greeting	tumediso
greetings	madume
greetings	ditumediso
grey	pududu
grid	keriti
grief	kutlobotlhoko
grind	sila
grip	tshwaro
grocery	kerosari
groom	monyadi
gross	palogotlhe
ground	mmu
group	setlhopha
grow	gola
growth	kgolo
grumpy	ngongorega ngongorega fela
Guarani	Guarani
guarantee	tshireletsego
guard	molebeledi
guard	lebelela
guess	fopholetsa
guest	moeng
guidance	tataiso
guide	kaela
guide	mosupatsela
guilty	molato
guy	moeka
guys	mathaka
gym	jimi
habit	tlwaelo
habitat	legaetlhago
had	nnile le
hail	sefako
hair	moriri
half	halofo
hall	holo
hand	seatla
handle	mogala
handsome	montle
hang	kaletsa
hang	lepelela
hang out	dula mmogo le ditsala
happen	diragala
happened	diragetse
happiness	boitumelo
happy	itumetse
happy birthday	masego a letsatsi la tsalo
happy birthday to you	itumelele letsatsi la botsalo
happy new year	masego a ngwaga o mošwa
hard	thata
hardly	ka bonnye
hardly ever	le go ka
harm	utlwisa botlhoko
harm	tshenyo
harmful	kotsi
harmony	kutlwano
harsh	bogale
harvest	thobo
has	na le
hate	tlhoa
have	na le
have a good day	tlhola sentle
have a nice day	itumelele letsatsi
have breakfast	ja difitlholo
have fun	ja monate
have you eaten	a o jele
having	na le
hazard	kotsi
haze	lotobo
he	o
he has	o na le
he is	o
head	tlhogo
headache	tlhogo e opang
heal	fola
heal	fodisa
healing	fola
healing	phodiso
health	boitekanelo
healthy	itekanetse
hear	utlwa
heard	utlwile
heart	pelotelele
heat	mogote
heaven	legodimo
heavy	bokete
hectic	lapisa
height	botelele
heir	mojaboswa
heist	kgothoso
held	tshwere
hell	bobipo
Hello	dumelang
hello dear	dumela moratiwa
hello how are you	dumelang le kae
hello how are you doing	dumelang le kae
helmet	helemete
help	thusa
help	thuso
helpful	thusa
hence	ka jalo
her	ene
herd	disa
herd	motlhape
here	fano
heritage	ngwaoboswa
hesitate	okaoka
Hey	Heela
Hi	dumelang
hi how are you	dumelang le kae
Hi there	Dumelang
hidden	fitlhegile
hide	fitlha
hierarchy	tatelano
high	kwa godimo
highlight	supa
hike	haeka
hike	haeke
hiking	tlhatlhogang
hiking	haekang
hilarious	tshegisa
hill	thabana
him	ene
hint	maele
hip	noka
hips	dinoka
hire	thapa
hiring	thapang
his	gagwe
history	hisetori
hit	iteya
Hmm	Ehee
hobby	hobi
hold	tshwara
hold on	tshwarelela
hole	mosima
holiday	khunulogo
hollow	khobetsega
hollow	khuti
home	gae
homework	tirogae
honest	tshepega
honestly	ka nnete
Honey	Mamepe
Honey	Motho wa me
honor	tlotla
hood	lefelo
hook	sekgoge
hop	tlolatlola
hope	tsholofelo
hopefully	ka lesego
hopeless	go tlhoka tsholofelo
horizontal	rapame
horn	lenaka
horrible	maswe
horror	poifo e e rerang
horse	pitse
hospital	bookelo
hospitality	kamogelo
host	moamogelabaeng
hostile	bobaba
hot	bolelo
hotel	hotele
hour	ura
hours	diura
house	ntlo
household	lelapa
how	jang
how about you	wena
how are you	le kae
how are you doing	o ntse o ya jang
how are you doing today	o ntse o ya jang gompieno
how are you today	le tlhotse jang gompieno
how are you today	le tsogile jang gompeino
how do you do	le kae
how is	e jang
how many	kae
how much	bokae
how often	ga kae
how old are you	o na le dingwaga tse kae
how was your day	o tlhotse jang
how was your night	maitiso a gago a ne a le jang
however	le fa go ntse jalo
hub	lefelo
hubby	monna
hug	tlamparela
huge	kgolo
human	motho
humble	boikobo
humid	longola
humidity	bongola
hundred	lekgolo
hungry	tshwerwe ke tlala
hunt	tsoma
hurricane	sesatlana
hurry	itlhaganela
hurry up	itlhaganele
hurt	utlwisa botlhoko
husband	monna
hustle	maiteko
hut	ntlo
hygiene	boitekanelo
I	ke
I am	Ke
I am fine	Ke siame
I am fine	Ke teng
I can	Ke ka
I can	Ke a kgona
I can't	ga ke kgone
I do	Ke a dira
I do not know	Ga ke itse
I do not understand	ga ke tlhaloganye
I don't	Ga ke
I don't know	ga ke itse
I don't understand	ga ke tlhaloganye
I don't understand what you mean	Ga ke tlhaloganye gore o raya jang
I don't understand you	Ga ke go tlhaloganye
I don’t know	Ga ke itse
I don’t understand	Ga ke tlhaloganye
i guess	ke tsaya jalo
I had	ke ke ke na le
I have	Ke na le
I have been	Ke ntse ke
I hope so	Ke solofela jalo
I know	ke a itse
I like	Ke rata
I like you	Ke a go rata
I love	Ke rata
I love my big brother	ke rata mogolole
I love my big sister	ke rata nkgonne
I love my father	ke rata rre
I love my little brother	ke rata nnake
I love my little sister	ke rata nnake
I love my mother	ke rata mme
I love you	ke a go rata
I love you so much	Ke go rata jang
I love you too	ke a go rata le nna
I mean	Ke raya gore
I miss you	ke go tlhwaafaletse
I miss you so much	Ke tlhwaafaletse gore
I see	Ke a bona
I think	Ke nagana
I understand	Ke a tlhaloganya
I want	Ke batla
I want to see you	Ke batla go go bona
I want you	Ke a go batla
I was	Ke ne ke
I will	Ke tla
I would be	Ke ne ke
I'm	Ke
I'm fine	Ke teng
I'm good	Ke siame
I'm here	Ke fano
I'm sorry	ke maswabi
ice	aese
ice cream	bebetsididi
idea	kakanyo
ideal	kgopolo e e eletsegang
ideal	boleng jo bo kwa godimo
identical	tshwanang tota
identify	supa
identity	itshupo
idiot	seeleele
idle	go sa dire sepe
if	fa
ignore	itlhokomolola
ill	bobola
illegal	e seng mo molaong
illness	bolwetse
Ilocano	Ilocano
image	setshwantsho
imagine	akanya
immediate	jaanong jaana
immediately	jaanong jaana
immense	golo thata
impact	go ama
impatient	go se itshoke
implement	tsenyatirisong
import	romela teng
important	botlhokwa
impose	lefisa
impose	laola
impossible	ga go kgonege
impress	kgatlhisa
impression	kakanyo
impressive	kgatlhisa
improve	tokafala
improvement	tokafalo
in	mo
in addition	mo godimo ga foo
In fact	Tota
in front of	mo pele ga
in order to	gore go tle go
inappropriate	eseng matshwanedi
incentive	thotloetso
incident	tiragalo
include	akaretsa
including	go akaretsa
income	letseno
inconvenience	kgoreletsa
increase	oketsa
increased	oketsegile
incredible	go se dumelesege
indeed	ruri
independent	itaola
India	Intiya
indicate	supa
indigenous	segae
individual	mong
industry	madirelo
inevitable	ka se tilwe
infant	lesea
infection	tshwaetso
infinity	bosakhutleng
inflammation	boruruga
inflation	enfoleišene
influence	susumetsa
inform	itsise
information	tshedimosetso
ingredients	ditswaki
inheritance	boswa
initial	pele
initiative	itshimolelo
injured	gobetse
injury	kgobalo
innocent	phepa
innocent	ga a na molato
innovation	boitlhamelo
inquiry	patlisiso
insane	botseno
insect	tshenekegi
insecure	sa tshepe
insert	tsenya
inside	mo teng
insight	temogo
insist	gatelela
insomnia	go tlhoka boroko
inspiration	tlhotlheletso
inspire	rotloetsa
install	tsenya
instance	tshupo
instant	ka gangwe
instead	mo boemong
instead of	mo boemong jwa
instructions	ditaelo
instrument	sediriswa
instrument	seletswa
insult	tlhapa
insurance	inšhorense
intact	ntse sentle
integrity	seriti
intellectual	motlhalefi
intelligence	botlhalefi
intelligent	botlhale
intend	ikaelela
intended	ikaeletse
intense	bogale
intention	boitlhomo
interact	dirisana
interaction	tirisano
interest	kgatlha
interest	kgatlhego
interested	kgatlhegela
interesting	kgatlhisa
interfere	tshwenya
intermediate	magareng
internal	tsa ka fa teng
international	boditšhaba
internship	go ithuta o le mo tirong
interpret	tšhomolola
interpreter	motšhomolodi
interrupt	tsena ganong
interview	potsolotso
interview	botsolotsa
intimate	atamelane
into	mo
introduce	itsise
introduction	kitsiso
introvert	moipone
intuition	poneloteng
invalid	sekoa
invalid	se amogelesege
invent	tlhama
inventory	lenanethoto
invest	beeletsa
investigate	batlisisa
invitation	taletso
invite	laletsa
invoice	lenanetheko
involve	akaretsa
involved	akareditse
involved	nnile le seabe
iron	aene
is	ke
island	setlhaketlhake
isolated	tlhaotswe
issue	kgang
issues	matso
it	se
it is	ke
it was	e ne e le
it's	ke
it's ok	go siame
It's okay	Go siame
item	tema
items	ntlhana e e mo thulaganyong
its	sa
I’m	ke
jacket	baki
jail	kgolegelo
January	Ferikgong
jar	morufa
jaw	motlhagare
jealous	lefufa
jerk	thufulo
jerk	seeleele
jewelry	dibenya
job	tiro
jogging	taboga
join	lomagana
join	lomaganya
joint	tlhakanelo
joke	motlae
journalist	mmegakgang
journey	loeto
joy	boitumelo
judge	atlhola
judge	moatlhodi
juice	matute
july	phukwi
jump	tlola
june	seetebosigo
junk	matlakala
just	fela
just	siama
just do it	dira fela
justice	tshiamiso
justify	siamisa
Kalaallisut	Kalaallisut
keen	tlhaga
keep	tshola
keep it up	tshwara fela jalo
kept	tshwere
kettle	ketlele
key	senotlolo
kick	raga
kid	potsane
kidding	tshameka
kidney	philo
kids	bana
kids	a tshameka
kill	bolaya
kind	mofuta
kind	pelonomi
kinda	ekare
kindly	ka bopelotlhomogi
kindness	pelonomi
king	kgosikgolo
kiss	atla
kitchen	kitšhi
kite	khaete
kitten	katsenyana
knee	lengole
knew	itsitse
knife	thipa
knight	mogale
know	itse
knowledge	kitso
known	itsege
Konkani	Konkani
Krio	Krio
label	setshwao
label	tshwaya
labor	tiro
labour	tiro
lack	tlhaela
ladder	lere
lady	mohumagadi
laid	beilwe
lake	letsha
lamb	kwana
lame	golafetse
lamp	lebone
land	lefatshe
landscape	lenaga
language	puo
lap	latsa
lap	dirope
large	kgolo
last	bofelo
last but not least	sa bofelo mme se e se gore ga se mosola
last name	sefane
late	thari
lately	sešeng
later	kgantele
latest	tsa bošweng
latter	morago
laugh	tshegadi
laughing	tshegang
laughter	setshego
launch	thangkgololo
launch	thangkgolola
laundry	wašhene
law	molao
lawn	bojang
lawn	loboa
lawyer	mmueledi
lay	rapama
lay	beela
layer	tlhatlhagano
layout	boalo
lazy	botswa
lead	etelapele
leader	moeteledipele
leaf	letlhare
leak	dutla
lean	tshesane
leap	tlola
learn	ithuta
learning	ithuta
lease	khiriso ya setsha
least	botlana
leather	letlalo
leave	tloga
leave	lesa
leaves	tsamaile
leaves	matlhare
led	eteletse
left	tlogetse
left	molema
left	tsamaile
leg	leoto
legacy	boswa
legal	semolao
legend	mogaka
legit	mo molaong
leisure	boiketlo
lend	adima
length	boleele
less	bobotlana
lesson	thuto
let	letla
let	hira
letter	lekwalo
letter	tlhaka
lettuce	lethise
level	bogodimo
leverage	neela thata
leverage	sebetsa
liability	maikarabelo a go duela
liability	molato
library	laeborari
lick	gora
lie	aka
lie	rapama
lies	maaka
life	botshelo
lift	tsholetsa
lift	lefiti
light	bofefo
light	lesedi
lightning	legadima
like	rata
likely	kooteng
likely	eletsega
likewise	fela jalo
line	mola
Lingala	Lingala
link	segoke
link	gokaganya
lion	tau
liquid	seedi
list	lenane
listen	reetsa
listening	reeditse
literally	totatota
literature	ditlhangwa
litter	matlakala
little	nnye
live	aga
live	tshela
liver	sebete
lives	matshelo
living	tshelang
living room	phaposi ya kamogelo ya baeng
lizard	mokgantitshwane
load	mokgweleo
load	foraga
loaf	loufu
loan	kadimo
local	selegae
location	lefelo
lock	lotlela
lock	seloto
lockdown	go tswalelwa
log	legong
lol	thubega ka setshego
lonely	jewa ke bodutu
long	telele
long	eletsa
long time no see	kgale re sa bonane
look	leba
loop	segole
loose	repisa
loose	golola
lord	morena
lose	latlha
loss	tatlhegelo
lost	latlhega
lot	ntsi
loud	gelebetega
lounge	boamogelelo baeng
love	rata
love you	rata
lovely	monate
lovely	ntle
low	kwa tlase
lower	tlase
loyal	ikanyegang
loyalty	boikanyego
luck	lesego
lucky	lesego
Luganda	Luganda
luggage	thoto
lump	lekwete
lump	kuruga
lunch	dijo tsa motshegare
lungs	makgwafo
luxury	manobonobo
lying	aka
machine	motšhini
mad	tenegile
mad	tsenwa
madam	mme wa tlotlego
made	dirile
magazine	makasine
magnificent	tlotlometse
maid	mothusi wa mo lapeng
maid	morweetsana
main	kgolo
maintain	babalela
maintenance	tlhokomelo
Maithili	Maithili
major	kgolo
majority	bontsi
make	dira
make up	meikapo
male	tona
mall	mmolo
man	monna
manage	tsamaisa
management	botsamaisi
manager	motsamaisi
mandatory	patelediwa
manifest	senola
manipulate	tshwara
manner	mokgwa
manual	ya diatla
manual	mosupatsela
many	ntsi
many many happy returns of the day	nna le letsatsi le le monate le le segofetseng
march	mopitlwe
margin	morato
market	maraka
marriage	lenyalo
married	nyetse
mask	mmaseke
mask	fitlha
mass	matšhwiti
mass	mmese
massive	boitshegamg
master	mong
master	fenya
match	lekanya
match	motshameko
match	mokgwaro
mate	gwela
mate	molekane
material	didiriso
material	lesela
math	mathemetiki
matter	selo
maturity	bogodi
may	ka
maybe	gongwe
me	nna
me	m (prefix added to a verb)
me too	le nna
meal	dijo
mean	raya
mean	setlhogo
meaning	bokao
means	dithata
means	go raya gore
meant	kaile gore
meanwhile	go sa ntse go le jalo
measure	lekanya
measures	seelo
measures	lekanya
meat	nama
medical	tsa kalafi
medicine	bongaka
medicine	ditlhare
meditation	dikgopolo
medium	magareng
meet	kopana
meeting	kopano
Meiteilon	Meiteilon
melt	gakologa
memories	digopotso
memory	segopotso
mental	tsa tlhaloganya
mention	umaka
mentioned	umakilwe
mentor	morutisi
merchant	mogwebi
mercy	mautlwelobotlhoko
merely	fela
merry christmas	itumelele keresemose
mess	tlhakatlhakano
message	molaetsa
messy	boatla
metal	tshipi
method	mmeo
method	mokgwa
mice	magotlo
middle	gare
midnight	bosigogare
might	ka
mild	bonolo
milestone	kgato e e botlhokwa
military	sesole
milk	mašwi
million	miliyone
mind	tlhaloganyo
mindset	mokgwa wa kakanyo
mine	sa me
mingle	tlhakanya
minor	potlana
minute	motsotso
minutes	metsotso
miracle	motlholo
mirror	seipone
miscellaneous	tsele le tsele
mischievous	senya
miserable	tlhomola pelo
misery	bohutsana jo bogolo
miss	fosa
miss you	go tlhwaafaletse
missing	latlhegile
missing	tlhaelang
mission	mmišhene
mist	mouwane
mistake	phoso
Mizo	Mizo
mobile	mobaele
mock	sotla
model	mmotlolo
moderate	go le gonnye
modern	segompieno
modest	boingotlo
moist	bongola
moisture	khawa
mold	mouto
mole	serunya
mom	mmele
moment	motsotso
monday	mosupulogo
money	madi
monitor	molebeledi
monitor	lebela
monkey	tshwene
month	kgwedi
mood	boikutlo
moody	na le maikutlo a a sa siamang
moon	ngwedi
moral	ngwao
more	go fetisa
moreover	go feta foo
morning	phakela
mortgage	peelo
most	bogolo
mostly	segolo
mother	mme
motion	tsamao
motivation	tlhotlheleso
mountain	thaba
mouse	legotlo
mouth	molomo
move	suta
movement	motsamao
movement	mokgatlho
movie	filimi
mrs	mohumagadi
much	thata
mud	seretse
mug	lebekere
muscle	mosifa
museum	musiamo
mushroom	lebowa
mushroom	gola
music	mmino
must	tshwanetse
mute	didima
my	ya me
My dear	Moratiwa
my friend	tsala ya me
My hovercraft is full of eels	Hovakherafote ya me e tletse ditlhapidikanoga
my love	lerato la me
my name is	leina la me ke
my pleasure	boitumelo jwa me
myself	nna
mysterious	sa itseweng
mystery	masaitsweng
myth	dikinane
nail	lenala
nail	sepekere
naive	sengwana
name	leina
narrative	kanelo
narrow	tshesane
nasty	maswe
national	bosetšhaba
nationality	bosetšhaba
native	semelafa
natural	sa tlholego
nature	tlholego
nausea	go feroga sebete
near	gaufi
nearby	gaufi
nearly	batlile
neat	ithata
necessary	tlhokagala
neck	thamo
necklace	sebaga
need	tlhoko
negative	sa siamang
neglect	tlhokomologo
neglect	tlhokomologa
negotiate	rerisana
neighbor	moagisani
neighborhood	tikologo
neither	epe
nephew	setlogolo
nerd	mankge wa dibuka
nerd	lesutlha
nervous	tshoga
nest	sentlhaga
net	letlowa
network	mararang
neutral	go se tseye letlhakore
never	legoka
never give up	se ke wa bo wa ineela
never mind	itlhokomolose
nevermind	tlogela
nevertheless	le fa go le jalo
new	ntšha
news	dikgang
next	latelang
next to	go bapa le
nice	monate
nice to meet you	ke itumelela go kopana le wena
niece	setlogolo
night	bosigo
nightmare	segateledi
nine	robongwe
nineteen	somerobongwe
ninety	somarobongwe
No	nnyaa
no problem	ga go na mathata
no way	ga go tsela
nobody	ope
noise	modumo
noisy	modumo
none	epe
noon	motshegare
nope	nnyaa
nor	le fa e le
normal	tlealegileng
north	bokone
nose	nko
nostalgic	tlhwafetse
not	eseng
not at all	le e seng
not bad	ga go maswe
Not now	E seng jaanong
not yet	ise
note	kwala
note	tsaya tsia
note	nnoto
noted	etse tlhoko
noted	kwadile
nothing	sepe
notice	kitsiso
notice	ela tlhoko
noticed	lemogile
noun	leina
nouns	maina
novel	ntšha
novel	padi
november	ngwanaatsele
now	jaanong
nowadays	malatsing a
nuisance	letshwenyo
null	lefela
numb	setlasu
number	palo
number	nomore
nurse	mooki
nurse	oka
nut	kgeru
nutmeg	natemeke
nutrition	kotlo
oath	maikano
obesity	monono
obey	obamela
object	selo
objective	morero
objective	ikgaogantsho
obligation	maitlamo
obscure	go nna bofitlha
observation	temogo
observe	ela tlhoko
obsessed	rata tlolo
obsession	lerato la
obsession	go lemalela
obsolete	se se sa tlholeng se dirisiwa
obstacle	sekgoreletsi
obtain	bona
obtained	bone
obvious	bonagala
obviously	go a bonala
occasionally	nako nngwe
occupation	tiro
occupied	nnang
occupied	tshwaregile
occur	diragala
occurred	diragetse
occurs	diragala
ocean	lewatle
october	diphalane
odd	thwadi
odd	setlholo
odds	metso
of	ya
of course	ee gone
off	tswa go
offensive	kgopisa
offer	neela
office	kantoro
official	semmuso
often	gantsi
Oh	Ao
oh really	ao ruri
oil	leokwane
ok	go siame
ok dear	go siame moratiwa
ok honey	go siame moratiwa
ok my love	go siame moratiwa
okay	go siame
okay baby	go siame motho wa ka
okay dear	go siame moratiwa
okay honey	go siame motho wa ka
okay my love	go siame moratiwa
old	tsofetse
on	mo
once	gangwe
once	fa
once	kile
one	nngwe
one language is never enough	puo e le esi ga e kake ya lekana
onion	eie
online	mo inthaneteng
only	fela
open	bula
operation	karo
opinion	kakanyo
opportunities	ditšhono
opportunity	tšhono
opposite	bolebana
optimistic	go nna le tsholofelo
option	tlhopho
optional	ga e patelediwe
or	kgotsa
orange	namune
order	otara
order	taelo
ordinary	tlwaelegile
organization	thulaganyo
orientation	kakanyo
origin	tshimologo
original	tshimologo
Oromo	Oromo
orphan	khutsana
other	nngwe
otherwise	e seng jalo
ought	tshwanetse
our	ya rona
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Maikaelelo a rona: go kgontsha batho botlhe, gongwe le gongwe go tlhaloganya lefatshe le go tlhagisa dikakanyo tsa bone go ralala dipuo.
Our mission: to organize the world's information and make it universally accessible and useful.	Maikaelelo a rona: go rulaganya tshedimosetso ya lefatshe le go dira gore e fitlhelesege le go nna mosola mo lefatsheng ka bophara.
out	tswa
out	ntle
outcome	botso
outfit	diaparo
outgoing	tswang
outlet	kgoro ya go ya kwantle
outline	thadiso
outline	thadisa
outside	kwa ntle
outstanding	saletseng kwa morago
oven	onto
over	fela
over	mo godimo ga
over there	kwa
overall	gotlhegotlhe
overcome	fentse
overthinking	go akanya phetelela
overwhelmed	fekeediwa
overwhelming	fekeetsang
owe	kolota
owl	morubisi
own	rua
owner	mongwe
ox	pholo
pace	lebelo
pack	phuta
package	sephutelwana
package	phutela
paid	duetse
pain	botlhoko
paint	penta
paint	pente
painting	pentang
painting	setshwantso se se pentilweng
pair	sebedi
pale	setlhafetse
palm	legofi
palm	palema
pan	pane
pandemic	leroborobo
panic	tlalelo
pants	tlhologelelwa
pants	fegelwa
pants	marokgwe
paper	pampiri
paradise	parateisi
parallel	bapa
parcel	phasele
pardon	tshwarelo
parents	batsadi
park	phaka
parrot	papalagae
parsley	phasili
part	karolo
participate	tsaya karolo
particular	rileng
particularly	bogolosegolo
partner	molekane
party	moletlo
pass	feta
pass	falola
passage	phaseišhe
passed	falotse
passion	tšhakgalo
passionate	fisegela
passive	upalala
password	khunololamoraba
past	fetileng
patch	pitielo
patch	bitia
path	tsela
pathetic	tlhomola pelo
patience	boitshoko
patient	pelotelele
patient	molwetsi
pattern	sekao
pause	kgaotso
pause	kgaotsa
pavement	pheifemente
pay	tuelo
pay	duela
payment	tuelo
peace	kagiso
peaceful	na leng kagiso
peach	perekisi
peak	setlhowa
pear	pere
peas	dierekisi
peculiar	sa tlwaelegang
pee	ntsha metsi
peel	obola
peer	thaka
peers	dithaka
pen	kwala
pen	pene
pencil	phensele
pending	letetse
people	batho
pepper	pepere
perceive	go lemoga
perception	pono
perfect	itekanetsa
perform	diragatsa
performance	tiragatso
perhaps	gongwe
period	nako
permanent	leruri
permission	tetla
permit	letla
permit	tetlo
perseverance	boitshoko
persistent	tataletse
persistent	tsweletseng
person	motho
personal	sebele
personality	botho
perspective	pono
persuade	tlhotlheletsa
pervert	yo o sokameng
pervert	sokamisa
pet	seotlwana
phase	legato
phenomenon	kgakgamatso
philosophy	filosofi
phone	mogala
photo	senepe
phrase	sekapolelo
physical	ka nama
pick	kgetla
pick	tlhopha
pick up	sela
pick up	tsaya
picture	setshwantsho
piece	setoki
pieces	dikabetla
pig	kolobe
pigeon	leeba
pile	mokoa
pile	kokowanya
pillow	mosamo
pilot	mokgweetsi wa sefofane
pin	kopela
pin	sepelete
pineapple	peineapole
pink	pinki
pit	molete
pitch	boka
pitch	segalo sa lentswe
pity	tlhomogela pelo
pity	kutlwelobotlhoko
place	lefelo
places	mafelo
plague	leroborobo
plain	lebala
plain	tlhamaletseng
plan	leano
plane	sefofane
plant	semela
plants	dimela
plate	poleiti
platform	seralo
play	tshameka
playing	tshameka
pleasant	itumedisang
please	tsweetswee
pleased	itumetse
pleasure	natefo
pledge	itlamo
pledge	peelo
plenty	ntsi
plot	poloto
plug	polaka
plum	poreimi
plumber	polambara
plural	bontsi
podcast	photekhasete
poem	leboko
poetry	poko
point	ntlha
poison	botlhole
police	maphodisa
policy	pholisi
polite	maitseo
pollution	tshilafatso
pond	mogobe
pool	phulu
pool	lekadiba
poop	makaka
poor	humanegile
pop	phunya
popular	itsege
population	palo
pork	nama ya kolobe
porridge	motogo
port	boemakepe
position	maemo
positive	molemo
possess	rua
possession	thuo
possessive	thui
possible	kgonega
post	phoustu
post	poso
postpone	busetsa morago
potato	tapole
potential	bokgoni
pound	thuga
pound	ponto
poverty	lehuma
power	maatla
powerful	maatla
practical	tiriso
practice	bodiri
practice	go dira
praise	pako
praise	baka
prank	motlae
pray	rapela
precious	ratega
precise	molotwe
precisely	re tshe
predict	bonelapele
prefer	rata bogolo
preference	leakanyetsopele
pregnant	imile
prejudice	kgobelelo
premises	mafelo
premises	dikgopolo
premium	karolotuelo
preparation	paakanyo
prepare	baakanya
prepared	ipaakantse
preposition	letlama
presence	boteng
present	mpho
present	teng
present	tlhagisa
presentation	tlhagiso
preserve	dibela
president	moporesidente
press	tobetsa
press	bobega dikgang
pressure	kgatelelo
pretend	dira ekare
pretty	ntle
prevent	kganela
previous	fetileng
prey	sebolawa
price	tlhwatlhwa
pride	mabela
pride	boipelo
priest	moruti
primary	konokono
primary	potlana
prime	golo
prime	boitekanelo
prime	ntlha
princess	kgosigatsana
principal	mogokgo
prior	pele go moo
priority	selo se se tlang pele
prison	kgolego
privacy	bosephiri
private	poraefete
privilege	tlotla
prize	sekgele
prize	rata thata
probably	gongwe
problem	bothata
procedure	thulaganyo
proceed	tswelela
process	tirego
produce	uma
product	kungo
production	kumo
profession	porofešhene
professional	porofešhenale
profile	porofaele
profit	poelo
profit	molemo
profound	boteng
progress	tswelelopele
project	khutlola
project	porojeke
prominent	tlhageletseng
prominent	boemo
promise	tsholofetso
promote	tlhatlhosa
promotion	tlhatlhoso
prompt	rotloetsa
prone	tshabelelwa
pronouns	maemedi
pronunciation	kapodiso
proof	bopaki
proper	siame
properly	sentle
properties	thoto
properties	pharologantsho
property	thoto
proposal	tlhagiso
prospect	potiela
prosperity	tswelelo
prosperous	tswelela
protect	sireletsa
proud	motlotlo
prove	supa
provide	tlamela
provided	tlametse
province	porofense
provision	tlamelo
puberty	bokau
puberty	bokgarebe
public	batho
public	ya setšhaba
pull	goga
pumpkin	lephutsi
punctual	mo nakong
pupil	thaka
pupil	morutwa
purchase	theko
pure	phepa
purple	phepole
purpose	boikaelelo
purse	sekgwama
pursue	latela
pursuit	go sal morago
push	kgorometsa
put	baya
qualification	borutegi
quality	boleng
quantity	palo
quarantine	tlhaolo
quarrel	komano
quarrel	omana
quarter	kwatara
Quechua	Quechua
queen	kgosigadi
queer	yo sa tlwaelegang
