a	أ
further	إضافةً
furthermore	بالإضافة
future	مستقبل
gain	ربح
gain	يكسب
game	لعبة
gap	فراغ
garage	موقف سيارات
garbage	وساخة
garden	حديقة
garlic	ثوم
gate	بوابة
gather	يجمع
gathering	تجمع
gauge	مقياس
gave	أعطى
gear	ترس
gender	الجنس
general	عام
generally	عمومًا
generate	يولد
generation	جيل
generous	كريم
genius	عبقري
genre	النوع
gentle	محترم
genuine	عبقري
gesture	إيماءة
get	خذ
get dressed	ألبس
get up	إنهض
get well soon	عاجل الشفاء
getting	الحصول
ghost	شبح
ghosting	الظلال
giant	عملاق
gift	هدية
ginger	جنزبيل
girl	بنت
girlfriend	حبيبة
give	أعطي
give up	يستسلم
given	منح
glad	سعيد
glance	يلمح
glass	زجاج
glass	نضارة
glasses	زجاج
glasses	نظارات
glimpse	لمحة
global	عالمي
gloomy	كئيب
gloves	قفازات
gloves	جوانتي
glow	لمع
glow	حماس
glow up	لمع
glue	صمغ
go	أمشي
go ahead	تفضل
go away	أبعد
go to bed	أمشي نوم
goal	هدف
goals	الأهداف
goat	ماعز
god	الله
god bless you	يرحمك الله
goes	يذهب
going	يذهب
going to	الذهاب الى
gold	ذهب
gone	ذهب
gonna	سوف أفعل كذا
goo	لزج
good	عمل خير
good	جيد
good afternoon	مساء الخير
good bye	مع السلامة
good day	يوم جيد
good evening	مساء الخير
good job	أحسنت
good looking	طلة جميلة
good luck	حظ سعيد
good morning	صباح الخير
good morning my love	صباح الخير يا حبيبتي
good night	تصبح على خير
goodbye	مع السلامة
goodnight	ليلة سعيدة
goods	بضائع
Google Translate	مترجم قوقل
goose	أوزة
gorgeous	رائع
gossip	نميمة
got	إمتلك
got it	فهمت
government	حكومة
grab	يمسك
grade	درجة
gradually	تدريجياً
graduate	خريج
grain	قمح
grant	منحة
granted	أعطى
grapes	العنب
grasp	يمسك
grass	عشب
grateful	ممتن
gratitude	عرفان وجميل
grave	قبر
gray	رمادي
great	عظيم
greed	جشع
greedy	طماع
green	أخضر
greet	تحية
greeting	تحية
greetings	تحية
grey	رمادي
grid	شبكة
grief	عزاء
grief	حزن
grind	سحق
grip	سيطرة
grocery	خضروات
groom	عريس
gross	الكلي
ground	أرض
group	مجموعة
grow	يتطور
growth	نمو
grumpy	غاضب
Guarani	لغة الغواراني
guarantee	يضمن
guard	حارس شخصي
guard	يحمي
guess	تخيل
guest	ضيف
guidance	إرشاد
guide	يرشد
guide	دليل
guilty	مذنب
guy	شاب
guys	شباب
gym	نادي رياضي
habit	عادة
habitat	موطن
had	إمتلك
hail	تمطر برد
hair	شعر
half	نصف
hall	قاعة
hand	يد
handle	مقبض
handle	يمسك
handsome	وسيم
hang	يشنق
hang out	يتسكع
happen	يحدث
happened	حصل
happiness	سعادة
happy	سعيد
happy birthday	عيد ميلاد سعيد
happy birthday to you	عيد ميلاد سعيد
happy new year	سنة سعيدة
hard	صعب
hardly	بصعوبة
hardly ever	شبه مستحيل
harm	أذي
harm	يؤذي
harmful	ضار
harmony	انسجام
harsh	قاسي
harvest	محصول
has	يملك
hate	يكره
have	يملك
have a good day	اتمنى لك يوم جيد
have a nice day	يوم سعيد
have breakfast	تناول الفطور
have fun	استمتع
have you eaten	هل أكلت
having	نأخذ
hazard	خطر
haze	ضباب
he	هو
he has	هو يملك
he is	هو
head	رأس
headache	صداع
heal	يشفى
healing	شفاء
health	الصحة
healthy	صحي
hear	يسمع
heard	سمع
heart	قلب
heat	حرارة
heat	يسخن
heaven	جنة
heavy	ثقيل
hectic	محموم
height	إرتفاع
heir	وريث
heist	سرقة
held	تولى مسؤولية
held	مسك
hell	جحيم
Hello	مرحب
hello dear	مرحبا عزيزي
hello how are you	السلام عليكم، كيف حالك
hello how are you doing	مرحبا كيف أخبارك
helmet	خوذة
help	يساعد
helpful	متعاون
hence	لذلك
her	حقها
herd	قطيع
here	هنا
heritage	تراث
hesitate	يتردد
Hey	هيي
Hi	السلام عليكم
hi how are you	مرحباً كيف حالك
Hi there	مرحباً
hidden	مخفي
hide	يخفي
hierarchy	رتب
high	عالي
highlight	تسليط الضوء
hike	يتنزه
hike	يرتفع
hiking	تزلج
hilarious	متعة
hill	جبل تراب
him	هو
hint	إشارة
hip	خاصرة
hips	خَواصِر
hire	يوظف
hiring	توظيف
his	ملكه
history	تاريخ
hit	يضرب
hobby	هواية
hold	يمسك
hold	ينتظر
hold on	انتظر
hole	فتحة
holiday	إجازة
hollow	مجوف
home	البيت
homework	واجب منزلي
honest	صادق
honestly	بصدق
Honey	حبيبتي
Honey	عسل
honor	شرف
hood	غطاء مكنة العربية
hood	كَبُّوت
hook	خطاف
hop	قفز
hope	أمل
hope	يتمنى
hopefully	على أمل
hopeless	ما فيه أمل
horizontal	أفقي
horn	بوري
horn	ضرب
horrible	فظيع
horror	خوف
horse	حصان
hospital	مستشفى
hospitality	ضيافة
host	مضيف
host	يستضيف
hostile	عدائي
hot	ساخن
hotel	الفندق
hour	ساعة
hours	ساعات
house	منزل
household	أهل بيت
how	كيف
how about you	رأيك شنو
how are you	كيف حالك؟
how are you doing	كيف حالك
how are you doing today	كيف حالك اليوم
how are you today	كيف حالك اليوم ؟
how do you do	كيف حالك
how is	كيف هو
how many	كم عدد
how much	كم السعر
how often	كم مرة
how old are you	عمرك كم
how was your day	كيف كان يومك
how was your night	كيف كانت ليلتك
however	مع ذلك
hub	محور
hubby	زوج
hug	يحضن
hug	عناق
huge	ضخم
human	إنسان
humble	متواضع
humid	رطب
humidity	رطوبة
hundred	مائة
hungry	جائع
hunt	مطاردة
hurricane	اعصار
hurry	أسرع
hurry up	أسرع
hurt	يعوق
husband	زوج
hustle	ضجيج
hustle	يسرع
hut	كوخ
hygiene	صحة
I	أنا
I am	أنا
I am fine	أنا بخير
I can	أنا قادر
I can't	لا يستطيع
I do	أفعل
I do not know	ما عارف
I do not understand	لا أفهم
I don't	أنا لا
I don't know	ما عارف
I don't understand	ما فاهم
I don't understand what you mean	ما فاهم قصدك
I don't understand you	لا أفهمك
I don’t know	ما عارف
I don’t understand	لا أفهم
i guess	اعتقد
I had	كان عندي
I have	أنا أملك
I have been	لقد كنت
I hope so	أتمنى ذلك
I know	عارف
I like	انا بحب
I like you	أنا بريدك
I love	أنا أحب
I love my big brother	بحب أخوي الكبير
I love my big sister	بحب اختي الكبيرة
I love my father	بحب أبوي
I love my little brother	بحب أخوي الصغير
I love my little sister	بحب أختي الصغيرة
I love my mother	بحب أمي
I love you	بحبك
I love you so much	بحبك شديد
I love you too	أنا كمان بحبك
I mean	أعني
I miss you	مشتاق ليك
I miss you so much	مشتاق ليك كتير جدا
I see	فهمت
I think	أظن
I understand	أنا متفهم
I want	أريد
I want to see you	أنا عايز أشوفك
I want you	أريدك
I was	أنا كنت
I will	أنا سوف
I would be	سأكون
I'm	أنا
I'm fine	أنا تمام
I'm good	أنا بخير
I'm here	أنا هنا
I'm sorry	أنا آسف
ice	جليد
ice cream	أيس كريم
idea	فكرة
ideal	مثالي
identical	تطابق
identify	يحدد
identity	إثبات شخصية
identity	هوية
idiot	غبي
idle	عاطل
if	إذا
ignore	يتجاهل
ill	مريض
illegal	غير قانوني
illness	مرض
Ilocano	لغة إيلوكانو
image	صورة
imagine	اتخيل
immediate	حالا
immediately	حالاً
immense	كبير
impact	أثر
impact	يؤثر
impatient	قليل الصبر
implement	ينجز
import	يستورد
import	إستيراد
important	مهم
impose	تطفل
impose	خدع
impossible	مستحيل
impress	يبهر
impression	انطباع
impressive	مبهر
improve	تحسين
improvement	تحسين
in	داخل
in addition	بالإضافة
In fact	في الحقيقة
in front of	امام
in order to	بغرض
inappropriate	غير مناسب
incentive	حافز
incident	حادث
include	يشمل
including	يشمل
income	دخل
inconvenience	غير مريح
increase	يزيد
increase	زيادة
increased	زيادة
incredible	رائع
indeed	في الحقيقة
independent	مستقل
India	الهند
indicate	يشير إلى
indigenous	أصلي
individual	فرد
industry	مجال
inevitable	لا مفر منه
infant	قاصر
infant	طفل رضيع
infection	عدوى
infinity	ما لا نهاية
inflammation	التهاب
inflation	تضخم
influence	يؤثر
influence	تأثير
inform	يخبر
information	معلومات
ingredients	مكونات
inheritance	ميراث
initial	في البداية
initiative	مبادرة
injured	مصاب
injury	إصابة
innocent	بريء
innovation	ابتكار
inquiry	استفسار
insane	جنون
insect	حشرة
insecure	غير آمن
insert	أدخل
inside	في الداخل
insight	عقلانية
insist	يصر
insomnia	أرق وعدم نوم
inspiration	قدوة
inspire	يلهم
install	يثبت
instance	مثال
instant	فوري
instead	بدل من
instead of	بدلاً من
instructions	تعليمات
instrument	أداة
insult	يشتم
insurance	تأمين
intact	بكر
intact	متصل
integrity	نزاهة
intellectual	مفكر
intelligence	ذكاء
intelligent	ذكاء
intend	ينوي
intended	مقصود
intense	شديد
intention	نية
interact	يتفاعل
interaction	تفاعل
interest	إهتمام
interested	مهتم
interesting	مهتم
interfere	يتدخل
intermediate	متوسط
internal	داخلي
international	دولي
internship	تدريب
interpret	يفسر
interpreter	مترجم فوري
interrupt	يقاطع
interview	مقابلة
intimate	عاطفي
into	داخل
introduce	يقدم
introduction	مقدمة
introvert	انطوائي
intuition	بديهة وذكاء
invalid	غير صالح
invent	يخترع
inventory	جرد السلع
invest	يستثمر
investigate	يفتش
investigate	يتحرى
invitation	دعوة
invite	يدعو
invoice	كتب فاتورة
invoice	فاتورة
involve	بيتضمن
involved	متورط
iron	حديد
iron	يكوي
is	يكون
island	جزيرة
isolated	منفصل
issue	يصدر
issue	مشاكل
issues	مشاكل
it	هو لغير العاقل
it	هي
it is	هو
it was	كان
it's	إنه
it's ok	ما مشكلة
It's okay	ما مشكلة
item	بند
items	عناصر
its	هو
I’m	أنا
jacket	جاكت
jail	سجن
January	يناير
jar	علَبة
jaw	فك
jealous	غيور
jerk	رعشة
jewelry	مجوهرات
job	وظيفة
jogging	يتمشى
join	ينضم
joint	عقدة
joint	وصلة
joke	نكتة
journalist	صحافي
journey	رحلة
joy	بهجة
joy	لعبة
judge	قاضي
judge	يحكم على
juice	عصير
july	يوليو
jump	القفز
june	يونيو
junk	نفايات
just	عدل
just	فقط
just do it	افعل ذلك
justice	عدالة
justify	يبرر
Kalaallisut	لغة كالاليسوت
keen	حريص
keen	قادر
keep	يحفظ
keep it up	استمر
kept	أبقى
kettle	غلاية
key	مفتاح
kick	ركلة
kid	طفل
kidding	يمزح
kidney	كلية
kids	أطفال
kill	يقتل
kind	نوع
kind	حنون
kinda	نوعا ما
kindly	لطفا
kindness	حنان وعطف
king	ملِك
kiss	قبلة
kitchen	مطبخ
kite	طائرة ورقية
kitten	قطه صغيرة
kitten	تلد
knee	ركبة
knew	عرف
knife	سكين
knight	فارس
know	يعرف
knowledge	علم
known	معروف
Konkani	اللغة الكونكانية
Krio	لغة الكريو
label	يصنّف
label	قائمة
labor	عمل
labor	جهد
labour	عمل
lack	نقص
ladder	سُلُّم
lady	سيدة
laid	إستلقى
laid	وضع
lake	بحيرة
lamb	لحم خروف
lame	أعرج
lamp	لمبة
land	أرض
land	يهبط
landscape	مناظر طبيعة
language	لغة
lap	حضن
large	كبير جدا
last	آخر
last but not least	أخيراً وليس آخراً
last name	اسم العائلة
late	متأخر
lately	مؤخرا
later	بعدين
latest	أحدث
latter	أخير
laugh	يضحك
laughing	يضحك
laughter	ضحك
launch	يطلق
laundry	مغسلة
law	قانون
lawn	العشب
lawyer	محامي
lay	وضع
layer	طبقة
layout	تَخطِيط
lazy	كسلان
lead	يقود
leader	قائد
leaf	ورقة
leak	تسريب
lean	نحيف
leap	خطوة
learn	يتعلم
learning	تعلُّم
lease	إيجار
least	الأقل
leather	جلد
leave	إجازة
leave	يغادر
leaves	أوراق شجر
led	قاد
left	غادر
leg	ساق
legacy	ورثة
legal	قانوني
legend	أسطورة
legit	قانوني
leisure	وقت الراحة
lend	دين
lend	أعار
length	طول
less	أقل
lesson	درس
let	أترك
letter	حرف
letter	خطاب
lettuce	الخَسّ
level	مستوى
leverage	تأثير
liability	مسئولية
library	مكتبة
lick	يلحس
lie	يكذب
lie	كذب
lies	يكذب
life	حياة
lift	يرفع
lift	مصعد
light	خفيف
light	نور
light	يضيء
lightning	برق
like	يحب
likely	محتمل
likewise	نفس الفات
line	خط
Lingala	لغة اللينغالا
link	رابط
lion	أسد
liquid	سائل
list	قائمة
listen	أسمع
listening	الاستماع
literally	حرفياً
literature	أدب
litter	نفايات
little	قليل
live	يعيش
live	بث مباشر
liver	الكبد
lives	الأرواح
living	معيشة
living room	غرفة الأكل
lizard	سحلية
load	حمولة
loaf	رغيف
loan	دين
local	محلي
location	موقع
lock	قفل
lockdown	إغلاق
log	يسجل
lol	صاحب
lonely	وحيد
long	طويل
long time no see	وقت طويل بدون رؤية
look	ينظر
look	مظهر
loop	حلقة
loose	يفك
loose	مرخي
lord	إله
lose	يخسر
loss	خسارة
lost	خسر
lot	كثير
loud	صوت عالي
lounge	صالة
love	يحب
love	حُبٌّ
love you	بحبك
lovely	محبوب
low	منخفض
lower	أدنى
loyal	وفي
loyalty	وفاء
luck	حظ
lucky	محظوظ
Luganda	لغة لوغندا
luggage	عفش
lump	كتلة
lunch	يطلق
lungs	رئتين
luxury	رفاهية
lying	يكذب
machine	آلة
mad	مجنون
madam	سيدة
made	مصنوع
magazine	مجلة
magnificent	عظيم
maid	خادمة
main	أساسي
maintain	يحافظ على
maintenance	صيانة
Maithili	لغة المايثيلي
major	رائد
major	أساسي
majority	غالبية
make	يصنع
make up	مكياج
male	ذكر
mall	مجمع تجاري
mall	مول
man	رجل
manage	يدير
management	إدارة
manager	مدير
mandatory	إجباري
manifest	واضح
manipulate	يتلَاعب ب
manner	اسلوب
manual	يدوي
many	كتير
many many happy returns of the day	تعود الأيام بسعادة
march	مارس
margin	هامِش
market	سوق
marriage	زواج
married	متزوج
mask	قناع
mass	كتلة
massive	كبير
master	يتقن
match	يطابق
match	مباراة
mate	زميل
material	مواد
math	الرياضيات
matter	قضية
matter	يهم
maturity	بلوغ
may	ربما
may	مايو
maybe	ربما
me	أنا
me too	أنا أيضاً
meal	وجبة
mean	وسيلة
mean	وسط
meaning	معنى
means	يعني
meant	قصد
meanwhile	في حين
measure	يقيس
measures	مقاسات
meat	لحمة
medical	طبي
medicine	دواء
meditation	تأمل
medium	وسط
meet	يقابل
meeting	إجتماع
Meiteilon	لغة الميتيلون
melt	إنصهار
memories	ذكريات
memory	ذاكرة
mental	فكري
mention	أذكر
mentioned	أشار الى
mentor	مُرشِد
merchant	تاجر
mercy	رحمة
merely	مُجَرّد
merry christmas	عيد ميلاد مجيد
mess	فوضى
message	رسالة
messy	عشوائي
metal	معدن
method	طريقة
mice	الفئران
middle	منتصف
midnight	منتصف الليل
might	ربما
mild	لطيف
mild	خفيف
milestone	منعطف
military	جيش
milk	لبن
million	مليون
mind	يمانع
mind	عقلية
mindset	عقلية
mine	لي
mine	منجم
mingle	مزج
minor	صغير
minute	دقيقة
minutes	دقائق
miracle	معجزة
mirror	مرآة
miscellaneous	متنوع
mischievous	مزعج
miserable	تعيس
misery	شقاء
miss	يشتاق
miss you	مشتاق ليك
missing	يفتقد
mission	مهمة
mist	ضباب
mistake	خطأ
Mizo	لغة الميزو
mobile	موبايل
mock	مزيف
model	نموذج
model	عارضة أزياء
moderate	يهدئ
modern	حديث
modest	متواضع
moist	رطب
moisture	رُطُوبَة
mold	قالب
mold	يصمم
mold	يشكل
mold	شكل
mole	شامة
mole	وحدة كيميائية
mom	ماما
moment	لحظة
monday	الاثنين
money	قروش
monitor	شاشة
monitor	يراقب
monkey	قرد
month	شهر
mood	مزاج
moody	متقلب المزاج
moon	قمر
moral	أخلاقي
more	أكتر
moreover	إضافةً
morning	الصباح
mortgage	قرض عقاري
most	معظم
mostly	عمومًا
mother	الأم
motion	حركة
motivation	تشجيع
mountain	جبل
mouse	الفأر
mouth	فم
move	يتحرك
movement	حركة
movie	فيلم
mrs	السّيدة
much	كتير
mud	طين
mug	كوز
mug	يغدر
muscle	عضلات
museum	متحف
mushroom	فطر
mushroom	تكاثر
music	موسيقى
must	وجب
must	ضروري
mute	صامت
mutual	مشترك
my	ملكي
My dear	عزيزي
my friend	صديقي
My hovercraft is full of eels	بلدي الحوامات مليئة الثعابين
my love	حبيبتي
my name is	إسمي
my pleasure	من دواعي سروري
myself	نفسي
mysterious	غامض
mystery	غموض
myth	أسطورة
nail	مسمار
nail	اظافر
naive	مغفل
name	اسم
narrative	رواية
narrow	ضيق
nasty	مقرف
national	وطني
nationality	جنسية
native	محلي
natural	طبيعي
nature	طبيعة
nausea	قرف
near	قريب
nearby	مجاور
nearly	بالقرب
neat	منظم
necessary	ضروري
neck	رقبة
necklace	قلادة
need	يحتاج
need	حوجة
negative	سلبي
neglect	تجاهل
negotiate	يتفاوض
neighbor	جار
neighborhood	حيّ
neither	ولا هذا
nephew	ابن أخ
nerd	مجتهد
nervous	متوتر
nest	عش
net	شبكة
net	صافي الدخل
network	شبكة
neutral	محايد
never	أبداً
never give up	لا تستسلم
never mind	ولا يهمك
nevermind	لا تهتم
nevertheless	مع ذلك
new	جديد
news	أخبار
next	جنب
next to	جنب
nice	لطيف
nice to meet you	إتشرفت بمعرفتك
niece	بنت الأخت
night	الليل
nightmare	كابوس
nine	تسع
nineteen	تسعة عشر
ninety	تسعين
No	لا
no problem	ما مشكلة
no way	مستحيل
nobody	لا أحد
noise	إزعاج
noisy	مزعج
none	ولا واحد
noon	الظهيرة
nope	لا
nor	ولا
normal	طبيعي
north	الشمال
nose	أنف
nostalgic	إشتياق
not	ليس
not at all	لا على الإطلاق
not bad	ما سيء
Not now	ليس الآن
not yet	ليس بعد
note	ملحوظة
noted	شهير
nothing	ولا حاجة
notice	يلاحظ
noticed	لاحظت
noun	اسم
nouns	الأسماء
novel	رواية
november	نوفمبر
now	الآن
nowadays	حاليا
nuisance	إزعاج
null	باطل
numb	شلل
number	رقم
nurse	ممرضة
nut	بندق
nut	جوز
nutmeg	شجرة جوزة الطيب
nutrition	تغذية
oath	حلف
obesity	سمنة
obey	يطيع
obey	يسمع كلام
object	غرض
objective	جماد
objective	أسم المفعول به
obligation	التزام
obscure	غامض
observation	ملاحظة
observe	يلاحظ
obsessed	مهووس
obsession	هوس
obsolete	مهجور
obstacle	عقبة
obtain	يحصل على
obtained	تحصل على
obvious	واضح
obviously	واضح
occasionally	أحياناً
occupation	مهنة
occupied	مشغول
occur	يقع
occurred	وقع
occurs	يحدث
ocean	محيط
october	اكتوبر
odd	غريب
odds	احتمالات
odds	خلاف
odds	إنحياز
of	من
of course	أكيد طبعا
off	عن
offensive	جارح
offer	عرض
offer	يوفر
office	مكتب
official	رسمي
often	غالبا
Oh	اهاا
oh really	بتكلم جد
oil	بترول
oil	زيت
ok	تمام
ok dear	تمام يا عزيزي
ok honey	حسنا عزيزي
ok my love	تمام حبيبتي
okay	تمام
okay baby	تمام حبيبي
okay dear	تمام يا عزيزي
okay honey	طيب حبيبتي
okay my love	تمام حبيبتي
old	عجوز
on	على
once	مرة
one	واحد
one language is never enough	لغة واحدة ما كفاية
onion	بصل
online	متصل
only	فقط
open	فاتح
operation	عملية
opinion	رأي
opportunities	فرص
opportunity	فرصة
opposite	عكس
optimistic	متفائل
option	خيار
optional	إختياري
or	أو
orange	برتقال
orange	أصفر
order	طلبية
order	أطلب
ordinary	عادي
organization	مؤسسة
orientation	توجيه
origin	أصل
original	أصلي
Oromo	لغة الأورومو
orphan	يتيم
other	آخر
otherwise	خلاف ذلك
ought	يفترض
our	حقنا
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	مهمتنا: تمكين كل الناس في كل مكان من فهم العالم والتعبير عن أنفسهم عبر اللغات.
Our mission: to organize the world's information and make it universally accessible and useful.	مهمتنا: تنظيم المعلومات للعالم وجعلها مفيدة ومتاحة عالميًا.
out	في الخارج
outcome	حصيلة
outfit	تجهيزات
outgoing	راحل
outlet	سوق بضاعة معينة
outlet	كوبس
outlet	منفذ
outline	ملخص
outline	فكرة
outside	برا
outstanding	متميز
oven	فرن
over	زيادة
over there	هناك
overall	عموماً
overcome	هزم
overthinking	التفكير الزائد
overwhelmed	مهموم
overwhelming	ساحق
owe	يدين
owl	بُومَة
own	يملك
own	ملكية
owner	مالك
ox	ثور
pace	خطوة
pack	علية
package	طَرد
paid	مدفوع
pain	وجع
paint	بوهية
painting	بوهية
pair	إثنين
pale	باهت
palm	نخل
pan	قلاية
pandemic	وباء
panic	خوف
pants	بنطلون
paper	ورقة
paradise	جَنَّة
parallel	شبيه
parcel	قطعة
pardon	عفو
parents	الوالدين
park	حديقة
parrot	ببغاء
parsley	بَقدونس
part	جزء
participate	يشارك في
particular	محدد
particularly	خصوصًا
partner	شريك
party	حفلة
pass	يمرر
passage	ممر
passed	اجتاز
passion	شغف
passionate	متحمس
passive	سلبي
password	كلمة المرور
past	ماضي
patch	بركة
patch	رقعة
path	زقاق
pathetic	تعيس
patience	صبر
patient	صبر
patient	مريض
pattern	مزخرف
pause	يوقف
pavement	الرصيف
pay	يدفع
payment	دفع
peace	سلام
peaceful	سلام
peach	خَوخ
peak	قمة عالية
pear	فاكهة الكمثرى
peas	بازيلاء
peculiar	غريب
pee	يتبول
pee	بول
peel	قشرة
peer	الند
peers	شرفاء
peers	منافسين
pen	قلم حبر
pencil	قلم رصاص
pending	معلق
people	الناس
pepper	الفلفل الحار
perceive	يتخيل
perception	فهم
perfect	مثالي
perform	يشتغل
performance	أداء
perhaps	ربما
period	فترة
period	حصة دراسية
permanent	دائم
permission	إذن
permit	يسمح
perseverance	مثابرة وأجتهاد
persistent	مجتهد
person	زول
person	شخص
personal	شخصي
personality	شخصية
perspective	وجهة نظر
persuade	يقنع
pervert	منحرف
pet	حيوان أليف
phase	مرحلة
phenomenon	ظاهرة
philosophy	فلسفة
phone	هاتف
photo	صورة
phrase	عبارة
physical	طبيعي
pick	يختار
pick up	ألتقط
picture	صورة
piece	قطعة
pieces	قِطَع
pig	خنزير
pigeon	حمامة
pile	ردم
pile	خازوق
pillow	مخدة
pilot	طيار
pin	مثبت
pin	دبوس
pineapple	أناناس
pink	وردي
pit	حفرة
pitch	يرمي
pity	حن
pity	شفقة
place	مكان
place	يضع
places	أماكن
plague	وباء
plain	ساهل
plain	سادة
plan	خطة
plane	طائرة
plant	نبات
plants	النباتات
plate	صحن
platform	منصة
play	يلعب
play	تمثيلية
playing	يلعب
pleasant	أنيق
please	لو سمحت
please	أسعد
pleased	سعيد
pleasure	متعة
pledge	يلتزم
plenty	كمية
plot	مؤامرة
plug	كوبس كهرباء
plug	قفل
plum	أرجواني
plum	وظيفة محترمة
plumber	سباك
plural	صيغة الجمع
podcast	تدوين صوتي
poem	شعر
poetry	شِعر
point	يشير
poison	سم
police	شرطة
policy	سياسة
polite	محترم
pollution	تلوّث
pond	بركة
pool	حمام سباحة
poop	أنبوب
poor	فقير
pop	بوب
popular	معروف
population	سكان
pork	لحم خنزير
porridge	عصيدة
port	ميناء
position	موضع
positive	إيجابي
possess	يمتلك
possession	ملكية
possessive	صيغة الملكية
possible	ممكن
post	منشور
post	ينشر
postpone	يؤجل
potato	البطاطس
potential	إحتمال
pound	رطل
pound	جنيه
poverty	فقر
power	قوة
powerful	قوي
practical	عملي
practice	تدريب
practice	يتمرن
praise	يمدح
prank	مقلب
pray	يصلي
precious	غالي
precise	دقيق
precisely	بدقة
predict	يتنبأ
prefer	يفضل
preference	تفضيل
pregnant	حامل
prejudice	تسرع في الحكم
premises	مقدمات
premium	مميز
preparation	تحضير
prepare	يجهز
prepared	مجهز
preposition	حرف جر
presence	حضور
present	الحاضر
present	حاضر
present	موجود
present	هدية
presentation	عرض تقديمي
preserve	يحفظ
president	رئيس
press	يضغط
press	ذر
pressure	ضغط
pretend	يمثل
pretend	يدعي
pretty	إلى حد ما
pretty	جميل
prevent	يمنع
previous	السابق
prey	ضحية
price	سعر
pride	فخر وعزة
priest	قسيس
primary	أساسي
prime	رئيسي
princess	أميرة
principal	مبدأ
prior	قبل
priority	أولوية
prison	سجن
privacy	خصوصية
private	خاص
privilege	ميزة
prize	جائزة
probably	إحتمال
problem	مشكلة
procedure	إجراء
proceed	يستمر
process	عملية
process	يعالج
produce	ينتج
product	منتج
production	إنتاج
profession	مهنة
professional	محترف
profile	حساب تعريفي
profile	ملف شخصي
profit	ربح
profound	بالغ
progress	تقدم
progress	يتقدم
project	مشروع
prominent	متميز
promise	عهد
promise	يوعد
promote	يروج
promotion	ترقية
promotion	ترويج
prompt	بسرعة
prone	ميال
pronouns	الضمائر
pronunciation	نطق
proof	إثبات
proper	مناسب
properly	أحتمال
properties	ملكيات
property	ملكية
proposal	مقترح
prospect	احتمال
prosperity	تطور
prosperous	مزدهر
protect	يحمي
proud	فخور
prove	يثبت
provide	يزود
provided	متوفر
province	ولاية
provision	مؤن
provision	زاد
puberty	البلوغ
public	عام
pull	سحب
pumpkin	قرع
punctual	منضبط
pupil	التلميذ
purchase	يشتري
pure	نقي
purple	بنفسجي
purpose	غرض
purse	حافِظَة
pursue	يطارد
pursuit	متابعة
push	يدفع
put	ضع
qualification	مؤهل
quality	جودة
quantity	الكمية
quarantine	الحجر الصحي
quarrel	خصومة
quarrel	يشاكل
quarter	ربع
Quechua	لغة الكيتشوا
queen	ملكة
queer	شاذ
query	استفسار
question	سؤال
queue	طابور
queue	يصطف
quick	سريع
quickly	بسرعة
quiet	حلو
quiet	عذب
quiet	هادئ
quilt	لحاف
quilt	فرش
quit	يستقيل
quite	إلى حد ما
quite	كلياً
quiz	اختبار
quotation	تحديد سعر
quote	سعر
quote	يسعر
quotes	تسعير
quotes	تصريح
rabbit	أرنب
race	سباق
rage	غضب
rain	مطر
raise	يرفع
raise	زيادة
raised	تربى
ran	جرى
random	عشوائي
range	مجال
rapid	سريع
rapidly	بسرعة
rare	نادر
rarely	نادراً
rash	متسرع
rat	فأر
rate	متوسط
rather	الى حد ما
ratio	نسبة
rational	عاقِل
raw	خام
re	يعيد
reach	يصل
reached	وصل
reaction	رد فعل
read	أقرأ
reading	قراءة
ready	مستعد
real	حقيقي
reality	الواقع
realize	يدرك
realized	أدرك
really	حقيقي
rear	مؤخرِّة
reason	سبب
reasonable	معقول
recall	يتذكر
receipt	إيصال
receive	يستلم
received	أستلم
recent	مؤخرًا
recently	مؤخراً
reception	استقبال
recipe	وصفة
reckless	أهوج
recognition	اعتراف
recognize	يتعرف على
recommend	يوصي
recommended	موصى به
record	يسجل
record	تسجيل
recover	استعادة الصحة
recover	شفاء
recovery	شفاء
recovery	استعادة
rectangle	مستطيل
red	أحمر
redeem	يسترجع
redemption	توبة
reduce	يقلل
redundant	متكرر
refer	رجع الى
reference	مرجع
reflect	يعكس
reflection	انعكاس
refrain	غناء ممل
refrain	يمتنع
refrigerator	ثلاجة
refund	استرداد قروش
refuse	يرفض
refused	رفض
regard	إعتبار
regarding	بخصوص
regardless	بغض النظر
regards	تحياتي
region	منطقة
register	يسجل
regret	أسف
regular	منتظم
regularly	بانتظام
reject	يرفض
relate	يتصل
related	متعلق
relationship	علاقة
relative	أهل
relative	قريب
relatives	الأقارب
relax	يسترخي
release	يحرر
release	إعفاء
released	مطلق سراحه
relevant	مناسب
reliable	حقيقي
relief	راحة
relieve	يخفّف
relieved	مرتاح
religion	الدين
religious	ديني
reluctant	متردد
rely	يعتمد
remain	يبقى
remaining	متبقي
remarkable	مميز
remedy	علاج
remember	تذكر
remind	يتذكر
reminder	تذكير
remote	بعيد
remove	يزيل
render	يخدم
render	عزف
rent	إيجار
repair	يصلح
repeat	يكرر
replace	يستبدل
reply	جواب
reply	يرد
report	تقرير
report	يبلغ
represent	يمثّل
reputation	سمعة
request	يطلب
request	طلب
require	تتطلب
required	مطلوب
rescue	ينقذ
research	بحث
resemble	شبه
