a little	неуна
everyone	ставӧн
everything	ставыс
evidence	докажитӧм
evidence	эскӧдӧм
evil	лёктор
evil	лёк
evolution	эволюция
evolve	сӧвмыны
Ewe	Эве
ex	вӧвлӧм
exact	буретш
exactly	стӧча
exam	экзамен
examine	видлавны
example	видлӧг
exceed	вевтыртны
excellent	зэв бур
except	кындзи
exception	исключенньӧ
excess	лишнӧйтор
excessive	вывті
exchange	вежӧм
excited	шӧйӧвошӧм
excited	шызьӧм
excited	гызьӧм
excitement	ыззьӧм
exciting	ышӧдана
exclusive	торъя
excuse	помка
excuse	прӧща корӧм
excuse me	кора прӧща
execute	вӧчны
execution	казнитӧм
executive	олӧмӧ пӧртан
exercise	удж
exercise	вӧчны
exhaust	вынтӧммӧдны
exhausted	вынтӧммӧм
exhibit	мыччӧдантор
exhibition	выставка
exist	овны
exist	эм
existence	олӧм-вылӧм
existing	мый эмӧсь
existing	мый эм
exit	петанін
expand	паськӧдны
expect	виччысьны
expected	виччысяна
expenses	рӧскод
expensive	дона
experience	кывны
experience	опыт
experiment	эксперимент
expert	эксперт
expired	кадысь кольӧм
explain	гӧгӧрвоӧдны
explanation	гӧгӧрвоӧдӧм
exploit	уджӧдны
explore	туявны
export	экспорт
expose	пуктыны
expose	лэдзны
exposed	восьса
exposure	сетчӧм
express	висьтавны
expression	петкӧдлӧм
extend	нюжӧдны
extended	паськӧдӧм
extension	нюжӧдӧм
extent	тшупӧд
external	ортсыса
extinct	бырӧм
extra	содтӧд
extract	перйыны
extract	босьтны
extraordinary	аслыспӧлӧс
extreme	вывті сьӧкыд
extremely	вывті
eye	син
eyes	синъяс
fabric	роч дӧра
fabulous	чуймӧдана
face	паныдавны
face	чужӧм
facilitate	отсавны
facilities	удобствояс
facility	удобство
fact	збыльтор
factor	помка
factory	фабрика
facts	збыльторъяс
fade	кусны
fail	эз артмы
failed	артмытӧм
failure	эз артмы
faint	омӧль
faint	садьтӧг усьны
fair	веськыд
fair	югыд
fairly	тырмымӧн
fairy	фея
faith	эскӧм
faithful	эскысь
fake	пӧрйӧг
fall	усьны
fall	усьӧм
FALSE	абу збыль
fame	нималӧм
familiar	тӧдса
family	котыр
famine	тшыгъялӧм
famous	нималана
fan	радейтысь
fan	веер
fancy	тешкодь
fancy	шемӧсмӧдана
fancy	шензьӧдана
fantastic	вӧвлытӧм
far	ылыс
farewell	янсӧдчӧм
farm	ферма
farmer	видз-му кутысь
fascinating	чуймӧдана
fashion	мода
fast	тэрыб
fat	кыз
fatal	кулан
fatal	быть лоан
fate	олантуй
father	бать
fatigue	мудз
fatigue	мудзӧм
fault	мыж
favorite	медрадейтана
favour	отсӧг
favourite	радейтана
fear	повны
fear	полӧм
feast	пир
feather	гӧн
feature	пыртны
feature	торъяланлун
feature	аслыспӧлӧслун
features	аслыспӧлӧслунъяс
features	пертасъяс
february	урасьӧм
fed up	юрвывтыр
fee	мынтысьӧм
feed	вердны
feedback	донъяланкыв
feel	кывны
feeling	сьӧлӧмкылӧм
feet	кок лапаяс
fell	уси
fellow	зон
felt	гын
female	энь
fence	потшӧс
fertile	вына
festival	фестиваль
fetch	вайны
fever	биа висьӧм
few	неуна
fewer	этшаджык
fiance	сьӧм
fiction	мӧвпыштӧмтор
field	ыб
field	му
fierce	яр
fifteen	дас вит
fifty	ветымын
fight	тышкасьны
fight	тыш
fighting	тышкасьӧм
figure	мыгӧр
figure	артавны
figure out	гӧгӧрвоны
file	файл
fill	тыртны
filled	тырӧм
filled	тыртӧм
film	фильм
film	плёнка
filthy	няйт
finally	бӧръяпомас
finance	финансъяс
financial	сьӧма
find	аддзыны
find out	тӧдмавны
fine	штрап
fine	бур
finger	чунь
finish	помавны
finished	эштӧдӧм
finished	помалӧм
fire	би
firm	топыд
firm	фирма
first	медводдза
first name	ним
fish	чери
fit	лӧсявны
five	вит
fix	дзоньтавны
fixed	зумыд
flag	дӧрапас
flash	вспышка
flat	патера
flat	алькӧс
flat	плавкӧс
flaw	тырмытӧмтор
flawless	зэв бур
flee	пышйыны
flesh	яй
flew	лэбис
flex	кусыньтны
flexible	нюдз
flight	лэбалӧм
flip	бергӧдны
flirt	ворсӧдчыны
flirting	ворсӧдчӧм
float	кывтны
flood	ытва
floor	джодж
flour	пызь
flow	визувтны
flow	визув
flower	дзоридз
flu	грипп
fluent	торксьывтӧм
fluent	ӧдйӧ
fluently	шыльыда
fluently	ӧдйӧ
fluffy	пушыд
fluid	кизьӧр
fly	лэбавны
focus	медшӧртор видлавны
focus	медшӧртор
fog	ру
foggy	руа
fold	кусыньтны
folks	йӧз
folks	войтыр
follow	мунны
follow up	видзӧдны
following	мӧд
food	сёян
fool	йӧй
fool	йӧйтӧдлыны
foolish	йӧй
foot	кок лапа
football	футбол
For example	Шуам
for instance	шуам
for you	тэныд
forbidden	позьтӧм
force	вын
forecast	прогноз
forehead	кымӧс
foreign	суйӧрсайса
forest	вӧр
forever	нэм кежлӧ
forget	вунӧдны
forgive	прӧститны
forgot	вунӧдіс
fork	вилки
form	бала
form	лӧсьӧдны
formal	формальнӧй
former	вӧвлӧм
fortunately	шуд вылӧ
fortune	озырлун
forty	нелямын
forty-two	нелямын кык
forward	водзӧ
foster	лелькуйтны
fought	тышкасис
found	аддзис
foundation	подув
four	нёль
fourteen	дас нёль
fox	руч
fragile	тӧр
frame	рамка
framework	подув
fraud	пӧрйӧдлӧм
freak	йӧй нисьӧ прӧсуж
free	мездлуна
free	вӧльнӧй
freedom	мездлун
freeze	кынмыны
freeze	кынтыны
frequency	тшӧкыдлун
frequent	тшӧкыд
frequently	тшӧкыда
fresh	свеж
friday	пекнича
fridge	холодильник
fridge	кӧзӧд
friend	ёрт
friendly	восьса сьӧлӧма
friends	ёртъяс
friendship	ёртасьӧм
frightened	повзьӧм
frightening	повзьӧдчысь
frog	лягуша
front	водз
frozen	кынтӧм
fruit	фрукт
frustrated	падмӧм
fuel	ломтас
Fulfulde	Фула
full	тыр
fun	гажӧдчӧм
function	функция
fundamental	подув
funeral	гуасьӧм
funny	тешкодь
fur	гӧн
furious	ярскӧб
furniture	пызан-улӧс
further	водзӧ
furthermore	та кындзи
future	аскиа лун
gain	чуктӧс
gain	босьтны
game	ворсӧм
gap	кост
garage	гараж
garbage	лӧп-ёг
garden	сад
garlic	чеснӧк
gate	вӧрӧта
gather	чукӧртны
gathering	чукӧртчӧм
gauge	муртавны
gave	сетіс
gear	пиньяса гӧгыль
gender	рӧд
general	ӧтувъя
generally	ставнас
generate	чужтыны
generation	кӧлена
generous	лышкыд
genius	гений
genre	жанр
gentle	мелі
genuine	збыльвывса
gesture	жест
get	босьтны
get dressed	пасьтасьны
get up	чеччыны
get well soon	ӧдйӧджык бурд
get well soon	ӧдйӧджык бурдӧй
getting	босьтӧм
ghost	орт
ghosting	кодкӧ пыдди уджалӧм
giant	зэв ыджыд
gift	козин
ginger	имбир
girl	нывка
girl	ныв
girlfriend	нывъёрт
give	сетны
give up	сетчыны
given	сетӧм
glad	дӧвӧлен
glance	син пыр нуӧдӧм
glance	син пыр нуӧдны
glass	стӧкан
glass	стеклӧ
glasses	ӧчки
glimpse	видзӧдлас
global	став мувывса
gloomy	букыш
gloves	чуня кепысь
glow	югъялӧм
glow	югъявны
glow up	донӧдны
glue	лем
go	мунны
go ahead	водзӧ висьталӧй
go ahead	водзӧ висьтав
go away	мун
go away	мунӧй
go to bed	водны узьны
goal	медшӧр мог
goals	могъяс
goat	кӧза
god	ен
god bless you	мед енмыс бурсиас
goes	мунӧ
going	мунан
going	мунысь
going to	лӧсьӧдчыны
gold	зарни
gone	мунӧма
gone	муніс
gonna	дась
goo	нильӧг
good	бур
good afternoon	бур лун
good bye	аддзысьлытӧдз
good day	бур лун
good evening	бур рыт
good job	бур удж
good looking	мича
good luck	мед артмас
good morning	бур асыв
good morning my love	бур асыв, мусаӧй
good night	бур вой
goodbye	аддзысьлытӧдз
goodnight	бурвоясьӧм
goods	вузӧсъяс
Google	Google
Google Translate	Google Вуджӧдчысь
goose	дзодзӧг
gorgeous	зэв бур
gossip	суклясьны
got	босьтіс
got it	ме гӧгӧрвои
government	веськӧдлан котыр
grab	кватитны
grade	сикасавны
grade	сикас
gradually	вочасӧн
graduate	помавны
grain	тусь
grant	грант
grant	вичмӧдны
granted	сетӧма
grapes	виноград
grasp	шамыр
grasp	шамыртны
grass	турун
grateful	аттьӧалысь
gratitude	аттьӧалӧм
grave	гу
gray	руд
gray	дзор
great	тӧдчана
greed	горшлун
greedy	горш
green	турунвиж
greet	чолӧмавны
greet	видзаавны
greeting	чолӧмалӧм
greetings	чолӧмалӧмъяс
grey	руд
grid	сетка
grief	шог
grind	изны
grip	шамыр
grip	шамыртны
grocery	сёян-юан лавка
groom	верӧспу
gross	кыз
ground	му
group	котыр
group	чукӧр
grow	быдмыны
growth	быдмӧм-сӧвмӧм
grumpy	ропкысь
Guarani	Гуарани
guarantee	сетны гарантия
guard	видзысь
guess	тӧдмавны
guest	гӧсьт
guidance	веськӧдлӧм
guide	нуӧдысь
guide	нуӧдны
guilty	мыжа
guy	зон
guys	ёртъяс
gym	спортзал
habit	ӧбича
habitat	оланін
hail	шер
hair	юрси
half	джын
hall	посводз
hand	ки
handle	вуг
handle	вороп
handsome	мича
hang	ӧшавны
hang out	кадсӧ коллявны
happen	лоны
happened	лоис
happiness	шуд
happy	шуда
happy birthday	чужан лунӧн
happy birthday to you	чужан лунӧн тэнӧ
happy birthday to you	чужан лунӧн тіянӧс
happy new year	выль воӧн
hard	чорыд
hardly	ӧдва
hardly ever	пӧшти некор оз
harm	лёктор
harm	лёктор вӧчны
harmful	лёктор ваян
harmony	лӧсялӧм
harsh	ёсь
harvest	урожай
hate	мустӧмтны
have	NА
have a good day	лунтӧ бура коллявны
have a nice day	бура коллявны лунсӧ
have breakfast	завтракайтны
have fun	гажӧдчыштӧй
have fun	гажӧдчышт
have you eaten	ті сёйӧмаӧсь
have you eaten	тэ сёйӧмыд
having	кодлӧн эм
hazard	ӧпаснӧйтор
haze	ру
he	сійӧ
he has	сылӧн эм
he is	сійӧ лоӧ
head	юр
headache	юр висьӧм
heal	бурдӧдны
healing	бурдӧдӧм
health	дзоньвидзалун
healthy	дзоньвидза
hear	кывны
heard	кывліс
heart	сьӧлӧм
heat	пӧсявны
heat	пӧсь
heat	пымавны
heaven	енэж
heavy	сьӧкыд
hectic	шызьӧм
height	вылна
height	судта
heir	наследник
heist	гусясьӧм
held	кутны
hell	ад
Hello	Видза оланныд
hello dear	чолӧм, донаӧй
hello how are you	чолӧм, кыдзи олан
hello how are you	чолӧм, кыдзи оланныд
hello how are you doing	чолӧм, кыдзи оланныд-выланныд
hello how are you doing	чолӧм, кыдзи олан-вылан
helmet	шлем
help	отсӧг
helpful	колана
hence	сідзкӧ
her	сійӧс
herd	стада
here	тані
heritage	кольӧмтор
hesitate	падъявны
Hey	Эй
Hi	Чолӧм
hi how are you	чолӧм, кыдзи олан
hi how are you	чолӧм, кыдзи оланныд
Hi there	Чолӧм
hidden	дзебӧм
hide	дзебсьыны
hide	дзебсясьны
hierarchy	иерархия
high	джуджыд
high	кузь
highlight	тӧдчӧдны
hike	походӧ ветлыны
hiking	походъясӧ ветлӧм
hilarious	гажа
hill	керӧс
him	сійӧс
him	сылӧн
hint	гаравны
hip	лядьвей
hips	лядьвейяс
hire	медавны
hiring	медалӧм
his	сійӧс
his	сылӧн
history	история
hit	вартны
hit	нӧйтны
hit	кучкыны
Hmm	Хм
hobby	хобби
hold	видзны
hold	кутны
hold on	кутчысьны
hole	розь
holiday	гаж
hollow	тӧщӧ
hollow	тыртӧм
home	керка
home	горт
homework	гортса удж
honest	веськыд
honestly	веськыда
Honey	Ма
Honey	Дона
honor	чесьт
hood	юркыш
hook	вугыр
hop	чеччыштавны
hope	лача кутны
hope	лача
hopefully	ме надейтча
hopeless	тӧлктӧм
horizontal	водса
horn	сюр
horrible	весьӧпӧртана
horror	полӧм
horse	вӧв
hospital	бурдӧдчанін
hospitality	гӧсьтъяслы восьсалун
host	кӧзяин
host	примитны
hostile	лӧг кутысь
hot	пӧсь
hot	пым
hotel	туйморт керка
hour	час
hours	часъяс
house	керка
house	горт
household	гортсаяс
household	овмӧс
how	кыдзи
how about you	а тэ
how about you	а ті
how are you	кыдзи тэ
how are you doing	кыдзи олан-вылан
how are you doing today	кыдзи талун олан-вылан
how are you today	кыдзи ті талун
how are you today	кыдзи тэ талун
how do you do	видза оланныд
how is	кыдзи
how many	кымын
how much	кымын
how often	ёна-ӧ тшӧкыда
how old are you	кымын тэныд арӧс
how was your day	кыдзи колис тэнад луныд
how was your day	кыдзи колис тіян лунныд
how was your night	кыдзи колис тіян рытныд
how was your night	кыдзи колис тэнад рытыд
however	сӧмын
however	но
hub	шӧрин
hubby	кӧзяинӧй
hug	кутлыны
hug	сыв
hug	сывъявны
huge	зэв ыджыд
human	морт
humble	рам
humid	уль
humidity	васӧдлун
hundred	сё
hungry	тшыг
hunt	вӧравны
hurricane	бушков
hurry	тэрмасьны
hurry up	тэрмасьышт
hurry up	тэрмасьыштӧй
hurt	висьны
hurt	доймыны
husband	верӧс
hustle	тойласьны
hustle	тойласьӧм
hut	чом
hygiene	гигиена
I	Ме
I am	Ме лоа
I am fine	Менам ставыс бур
I can	Ме кужа
I can	Ме верма
I can't	Ме ог вермы
I do	Ме вӧча
I do not know	Ме ог тӧд
I do not understand	Ме ог гӧгӧрво
I don't	Ме ог
I don't know	Ме ог тӧд
I don't understand	Ме ог гӧгӧрво
I don't understand what you mean	мый тэ шуан
I don't understand what you mean	мый ті шуанныд
I don't understand what you mean	Ме ог гӧгӧрво
I don't understand you	Ме тіянӧс ог гӧгӧрво
I don't understand you	Ме тэнӧ ог гӧгӧрво
I don’t know	Ме ог тӧд
I don’t understand	Ме ог гӧгӧрво
i guess	колӧкӧ
I had	Менам вӧлі
I have	Менам эм
I have been	Ме вӧлі
I hope so	Ме надейтча
I know	Ме тӧда
I like	Меным кажитчӧ
I like you	Ті меным кажитчанныд
I like you	Тэ меным кажитчан
I love	Ме радейта
I love my big brother	Ме радейта ыджыдджык вокӧс
I love my big sister	Ме радейта ыджыдджык чойӧс
I love my father	Ме радейта батьӧс
I love my little brother	Ме радейта ичӧтджык вокӧс
I love my little sister	Ме радейта ичӧтджык чойӧс
I love my mother	Ме радейта мамӧс
I love you	Ме радейта тэнӧ
I love you so much	Ме тэнӧ сэтшӧма радейта
I love you so much	Ме тэнӧ сэтшӧм ёна радейта
I love you too	Ме тшӧтш тэнӧ радейта
I love you too	Ме тшӧтш тіянӧс радейта
I mean	Ме ног
I miss you	Ме гажтӧмтча тэысь
I miss you so much	Ме сэтшӧма тэысь гажтӧмтча
I miss you so much	Ме сэтшӧма тіянысь гажтӧмтча
I see	Ме аддза
I think	Ме чайта
I understand	Ме гӧгӧрвоа
I want	Ме кӧсъя
I want to see you	Ме кӧсъя тэнӧ аддзывны
I want to see you	Ме кӧсъя тіянӧс аддзывны
I want you	Ме тэнӧ кӧсъя
I was	Ме вӧлі
I will	Ме лоа
I will	Ме кута
I would be	Ме эськӧ
I'm	Ме лоа
I'm fine	Менам ставыс бур
I'm good	Менам ставыс бур
I'm here	Ме тані
I'm sorry	Меным жаль
ice	йи
ice cream	мороженӧй
idea	мӧвп
ideal	идеал
identical	ӧткодь
identify	индыны
identity	аслыспӧлӧслун
idiot	мӧмӧт
idle	весь олысь
if	кӧ
ignore	ӧтдортны
ill	висьысь
illegal	оланпас торкысь
illness	висьӧм
Ilocano	Илоканскӧй
image	пертас
imagine	думыштлыны
immediate	пырысь-пыр
immediately	пырысь пыр
immediately	дзик пыр
immense	зэв ыджыд
impact	тӧдчӧм
impact	тӧдчыны
impatient	терпенньӧтӧм
implement	збыльмӧдны
import	вайны
import	вайӧм
important	тӧдчана
impose	кӧвъявны
impossible	позьтӧм
impress	шензьӧдны
impression	сьӧлӧмӧ кольӧм
impressive	мӧрччан
improve	бурмӧдны
improvement	бурмӧдӧм
in	пытшкын
in addition	содтӧд
In fact	Збыльвылас
in front of	водзын
in order to	медым
inappropriate	позьтӧм
incentive	ышӧдантор
incident	лоӧмтор
include	пыртны
including	пыртӧмӧн
income	доход
inconvenience	лӧсьыдтӧмлун
increase	содтыны
increase	содӧм
increased	кыпӧдӧм
increased	кыптӧм
incredible	вӧвлытӧм
indeed	збыльысь
independent	асшӧр
independent	асшӧрлуна
India	Индия
indicate	индыны
indigenous	вуж
individual	морт
industry	промышленносьт
inevitable	бытьӧн лоана
infant	пузчужӧм кага
infection	инфекция
infinity	помтӧмлун
inflammation	ӧдӧм
inflation	инфляция
influence	тӧдчӧм
influence	тӧдчыны
inform	юӧртны
information	юӧр
ingredients	артмӧданторъяс
inheritance	наследство
initial	панас
initiative	водзмӧстчӧм
injured	доймалӧм
injury	доймӧм
innocent	мыжтӧм
innovation	выльтор
inquiry	запрос
insane	йӧймӧм
insect	гут-гаг
insecure	дорйытӧм
insert	пыртны
insert	пуктыны
inside	пытшкын
insight	пыдісянь гӧгӧрвоӧм
insight	сьӧлӧмӧн кылӧм
insist	сулавны
insomnia	узьтӧм
inspiration	ловби
inspire	ышӧдны
install	сувтӧдны
install	пуктыны
instance	вӧвлӧмтор
instant	здук
instant	пырысь-пыр
instead	пыдди
instead of	пыдди
instructions	индӧдъяс
instrument	инструмент
insult	дӧзмӧдны
insult	дӧзмӧдӧм
insurance	страховка
intact	вӧрзьӧдлытӧм
integrity	зумыдлун
integrity	ӧтторъялун
integrity	дзоньлун
intellectual	сюсь
intelligence	вежӧр
intelligent	велӧдчӧм
intend	кӧсйыны
intended	сиӧм
intense	зіль
intention	кӧсйӧм
interact	ӧтув уджавны
interaction	ӧта-мӧдкӧд йитӧд
interest	гаж петӧм
interest	интерес
interest	ыштӧм
interested	кӧсйысь
interesting	интереснӧй
interesting	лӧсьыд
interfere	сюйсьыны
intermediate	костса
internal	пытшкӧс
international	войтыркостса
internship	стажируйтчӧм
interpret	вуджӧдны
interpreter	вуджӧдчысь
interrupt	торкны
interview	интервью
intimate	матысса
introduce	тӧдмӧдны
introduction	водзкыв
introvert	интроверт
intuition	сьӧлӧмӧн кылӧм
invalid	абу вына
invent	думыштны
inventory	уджаланторъяс
invest	инвестируйтны
investigate	туявны
invitation	корӧм
invite	корны
invoice	тшӧт сетны
invoice	тшӧт
involve	пыртны
involved	корӧм
iron	гладитны
iron	утюг
is	лоӧ
island	ді
isolated	торйӧдӧм
issue	сетны
issue	мытшӧд
issues	мытшӧдъяс
it	сійӧ
it is	тайӧ лоӧ
it was	тайӧ вӧлі
it's	тайӧ лоӧ
it's ok	ставыс бур
It's okay	Ставыс бур
item	тор
items	торъяс
its	сылӧн
I’m	Ме лоа
jacket	куртка
jail	дзескыдін
January	Тӧвшӧр
jar	доз
jaw	черлы
jealous	вежӧгтысь
jerk	дергайтны
jewelry	ювелирнӧй мичмӧдчанторъяс
job	удж
jogging	котӧртӧм
join	пырӧдчыны
joint	ӧтувъя
joke	шмонь
journalist	журналист
journey	ветлӧм-мунӧм
joy	долыдлун
judge	ёрдны
judge	ёрдысь
juice	сок
july	сора
jump	чеччавны
june	лӧддза-номъя
junk	лӧп-ёг
just	веськыд
just	прӧста
just do it	прӧста вӧчӧй тайӧс
just do it	прӧста вӧч тайӧс
justice	ёрдӧм
justify	правдайтны
Kalaallisut	Калааллисут
keen	ёсь
keep	кутны
keep it up	эн личӧдчы
keep it up	энӧ личӧдчӧй
kept	кутіс
kept	кутӧм
kettle	чайник
key	восьтан
kick	чужъявны
kid	кага
kidding	шмонитысь
kidney	вӧрк
kids	челядь
kill	вины
kind	шань
kind	сикас
kinda	быттьӧ
kindly	шаня
kindness	шаньлун
king	король
kiss	окавны
kitchen	кухня
kite	лэбалысь змей
kitten	каньпи
knee	пидзӧс
knew	тӧдіс
knife	пурт
knight	рыцар
know	тӧдны
knowledge	тӧдӧмлун
known	тӧдса
Komi	Коми
Konkani	Конкани
Krio	Крио
label	пас
label	пасъявны
labor	удж
labour	удж
lack	тырмытӧмтор
ladder	пос
lady	ань
laid	пуктіс
laid	пуктӧма
lake	ты
lamb	баля
lame	чотысь
lamp	лампа
land	пуксьыны
land	му
landscape	вӧр-ва
language	кыв
lap	пидзӧс
large	ыджыд
large	гырысь
last	бӧръя
last but not least	бӧръя, но сэтшӧм жӧ тӧдчана
last name	ов
late	сёр
lately	неважӧн
later	сёрӧнджык
latest	медбӧръя
latter	бӧръя
laugh	серавны
laughing	сералӧм
laughter	серам
launch	вӧрзьӧдны
launch	лэдзны
laundry	песласьӧм
law	оланпас
lawn	луд
lawyer	юрист
lay	пуктыны
layer	пӧвст
layout	чертёж
lazy	дыш
lead	нуӧдны
leader	юрнуӧдысь
leaf	кор
leak	виялӧм
leak	виявны
lean	мыджсьыны
leap	чеччыштӧм
leap	чеччавны
learn	велӧдны
learning	велӧдӧм
lease	кӧртым
least	медічӧт
least	медэтша
least	меддзоля
leather	кучик
leave	шойччӧм
leave	кольны
leaves	коръяс
led	нуӧдіс
led	нуӧдӧма
left	шуйгавыв
leg	кок
legacy	кольӧмтор
legal	оланпас серти
legend	легенда
legit	оланпас серти
leisure	прӧст кад
lend	удждывны
length	кузьта
less	этшаджык
lesson	урок
let	лэдзны
letter	письмӧ
lettuce	салат-латук
level	тшупӧд
leverage	вороп
liability	кывкутӧм
library	небӧгаин
lick	нювны
lie	ылӧдчыны
lie	пӧръясьны
lie	ылӧдчӧм
lies	ылӧдлӧ
life	олӧм
lift	катӧдӧм
lift	катӧдны
light	кокни
light	югыд
lightning	чард
like	кажитчыны
likely	тыдалӧ
likewise	сэтшӧм жӧ ногӧн
line	визь
Lingala	Лингала
link	йитӧд
lion	лев
liquid	кизьӧртор
list	лыддьӧг
listen	кывзыны
listening	кывзысь
literally	кывйысь кывйӧ
literature	литература
litter	ёгӧсьтны
litter	ёг
little	ичӧт
little	дзоля
live	ловъя
live	овны
liver	мус
lives	олӧ
living	олӧм
living room	олан жыр
lizard	дзодзув
load	сьӧкта
load	сӧвтны
loaf	тупӧсь
loan	удждӧм
local	татчӧс
local	меставывса
location	ин
lock	иган
lockdown	изоляция
log	кер
lol	ваксьыны
lonely	ӧтка
long	кузь
long time no see	важӧн эг аддзысьлӧй
look	видзӧдны
look	видзӧдлас
loop	гартов
loose	личӧдны
loose	личыд
lord	ыджыд
lord	кутысь
lose	воштыны
loss	воштӧм
lost	вошӧм
lot	пай
loud	гора
lounge	гӧстинӧй
love	муслун
love	радейтны
love you	радейта тіянӧс
love you	радейта тэнӧ
lovely	ӧтка
low	ляпкыд
lower	улыс
loyal	вернӧй
loyalty	сьӧлӧм сетӧм
luck	мойвиӧм
lucky	майбыр
Luganda	Луганда
luggage	кӧлуй
lump	ёкмыль
lunch	пажын
lungs	тыяс
luxury	син ёран мича
luxury	син ёран мич
lying	ылӧдлана
machine	машина
mad	йӧй
mad	сямтӧм
mad	вежӧртӧм
madam	госпожа
made	вӧчис
magazine	журнал
magnificent	зэв мича
maid	пелькӧдчысь
main	медшӧр
maintain	пыкны
maintain	кутны
maintain	отсавны
maintenance	могмӧдӧм
Maithili	Майтхили
major	майор
major	гырысь
majority	кызвын
make	керны
make	вӧчны
make up	лӧсьӧдны
make up	вӧчны
male	ай
mall	вузасян шӧрин
man	мужичӧй
man	айлов
manage	веськӧдлыны
management	веськӧдлӧм
manager	менеджер
mandatory	быть колана
manifest	манифест
manipulate	асланьӧдны
manner	ног
manual	киӧн вӧчӧм
manual	кийыв
many	уна
many many happy returns of the day	праздникӧн
march	марш
margin	дор
market	рынок
marriage	гӧтрасьӧм
married	верӧс сайын
married	гӧтыра
mask	маска
mass	сьӧкта
massive	ыджыд
master	кӧзяин
match	лӧсявны
match	лӧсялӧм
mate	ёрт
material	материал
math	математика
matter	эмтор
matter	лоны тӧдчанаӧн
matter	кутны вежӧртас
maturity	кисьмӧм
may	вермыны
may	ода-кора тӧлысь
maybe	вермас лоны
maybe	гашкӧ
me	менӧ
me too	ме тшӧтш
meal	сёян
mean	петкӧдлыны
mean	скӧр
meaning	вежӧртас
means	средствояс
meant	кутіс вежӧртас
meant	кутіс тӧд вылын
meanwhile	сэк кості
measure	мерайтны
measure	муртавны
measures	мераяс
meat	яй
medical	медицина
medicine	бурдӧдчантор
meditation	пыдісянь мӧвпалӧм
medium	шӧркост
meet	паныдавны
meeting	аддзысьлӧм
Meiteilon	Мейтейлион
melt	сывны
memories	казьтылӧмъяс
memory	паметь
mental	мӧвпалана
mention	гаравны
mentioned	гаралӧм
mentor	туйдысь-велӧдысь
merchant	вузасьысь
mercy	жалитӧм
merely	сӧмын
merry christmas	шуда рӧштво
mess	гудыр-гадыр
mess	дзуг
message	юӧр
messy	няйт
metal	металл
method	метод
mice	шыръяс
middle	шӧр
midnight	вой шӧр
might	вынйӧр
might	вын
might	ёнлун
mild	кокньыд
milestone	вежтас
military	военнӧй
milk	йӧв
milk	лысьтны
million	миллион
mind	паныд шуны
mind	мывкыд
mindset	мӧвпалан сям
mine	шахта
mine	менам
mingle	соравны
mingle	сорасьны
minor	абуджык тӧдчана
minute	минут
minutes	минутъяс
miracle	шензьӧдантор
miracle	дивӧ
mirror	рӧмпӧштан
miscellaneous	быд сикас
mischievous	вильыш
miserable	коньӧр
misery	коньӧралӧм
miss	кольны
miss you	гажтӧмтча тіянысь
miss you	гажтӧмтча тэысь
missing	тырмытӧм
mission	мог, миссия
mist	ру
mistake	шыбӧль
Mizo	Мизо
mobile	мобильнӧй
mock	тешитчыны
model	модель
moderate	небзьӧдны
moderate	шӧркодь
modern	ӧнія
modest	вежавидзысь
moist	васӧд
moisture	ва
moisture	улис
mold	бала
mold	бала серти лӧсьӧдны
mold	лу
mole	вурдысь
mom	мам
moment	здук
monday	выльлун
money	сьӧм
monitor	видзӧдны
monkey	ӧблезяна
month	тӧлысь
mood	аскылӧм
mood	ловру
moody	лёк руа
moon	тӧлысь
moral	моральнӧй
moral	этш тӧдысь
more	унджык
more	ыджыдджык
moreover	та кындзи
morning	асыв
mortgage	ипотека
most	медся
mostly	ёнджыкасӧ
mother	мам
motion	вӧрзьӧм
motivation	ышӧдӧм
mountain	гӧра
mouse	шыр
mouth	вом
move	мунны
move	легӧдны
move	вештыны
movement	вӧрӧм
movement	ӧтмунӧм
movie	кино
mrs	миссис
much	уна
mud	няйт
mug	кружка
muscle	мускул
museum	музей
mushroom	тшак
music	шылад
must	колӧ
must	коланлун
mute	кывтӧм
mutual	ӧтувъя
my	менам
My dear	Менам донаӧй
my friend	менам ёрт
My hovercraft is full of eels	Менам сынӧда пӧдушкаа пыжын тырыс змей чери
my love	менам муслунӧй
my love	менам радейтӧмӧй
my name is	менӧ шуӧны
my pleasure	пӧжалуйста
myself	ачым
mysterious	гӧгӧрвотӧм
mystery	гусятор
myth	миф
nail	тув
naive	челядь руа
name	ним
narrative	висьталӧм
narrow	векньыд
nasty	пеж
nasty	зывӧк
nasty	вӧк петкӧдана
national	канму
national	национальнӧй
nationality	войтырсикас
native	чужан
natural	вӧр-ваӧн вӧчӧм
nature	вӧр-ва
nausea	вукйӧдлӧм
near	орччӧн
near	дорын
nearby	орччӧн
nearly	муртса
neat	пельк
neat	идӧра
necessary	колана
neck	сьылі
necklace	сикӧтш
need	гӧля овны
need	коланлун
need	ковны
negative	соссяна
negative	лёк
neglect	ӧтдортны
negotiate	нуӧдны сёрнитчӧмъяс
neighbor	орччӧн олысь
neighborhood	гӧгӧрбок
neither	ни ӧти
nephew	племянник
nephew	воча пи
nerd	быдтор тӧдысь
nervous	нервнӧй
nest	поз
net	тыв
network	вез
neutral	нейтральнӧй
never	некор
never give up	некор энӧ сетчӧй
never give up	некор эн сетчы
never mind	веськодь
nevermind	веськодь
