a	ए
especially	बिसेसभाबै
essay	रनसाय
essence	सार बाहागो
essential	गोनांथार
establish	गायसन
established	गायसननाय
estate	समफथि
estimate	हिसाब खालाम
estimated	हिसाब खालाम
etc	बायदि बायदि
eternal	जोबरोङै
ethics	बोसोन बिगियान
evaluate	नायबिजिरनाय
evaluation	बेसेन सुनाय
even	एमनखि
even	आनखि
even though	जुदिउ ब्लाबो
evening	बेलासि
event	जाथाइ
eventually	जोबनायाव
ever	अराय
every	साफ्रोमबो
everybody	गासैबो
everyone	गासैबो
everything	गासैबो
evidence	फोरमान
evil	इनाय
evolution	फारि जौगानाय
evolve	देर
Ewe	घाणा हादोरनि
ex	सिगांनि
exact	गमामा
exactly	थिकयैनो
exam	आनजाद
examine	आनजाद खालाम
example	बिदिनथि
exceed	बारनाय
excellent	जोबोद मोजां
except	आसा खालाम
exception	एंगारनाय
excess	बाराद्राय
excessive	नांनायनिखुरै बांसिन
exchange	सोलाय
excited	गोसो दुंनाय
excitement	बोदोर जानाय
exciting	मोननो लुबैनाय
exclusive	बादै
excuse	माफ हो
excuse me	अननानै इसे हगार
execute	माव'
execution	खामानि मावफुंनाय
executive	मावफुंआरि
exercise	सर' खालाम
exercise	देहानि खामानि
exhaust	मेंहो
exhausted	मेंहाबनाय
exhibit	दिन्थि फुं
exhibition	मेला
exist	दंओ
existence	थाथाय
existing	आथिखालाव सोलिबाय थानाय
exit	ओंखार
expand	फेहेर
expect	लामा नाय
expected	आसा खालामनाय
expenses	खरसा
expensive	दाम गोसा
experience	खोनानानै मावनानै मिथि
experience	रोंगौथि
experiment	आनजाद
expert	आखाफाखा
expired	जोबथि हां हगार
explain	बानजाय
explanation	खेंफोरथि
exploit	नासय
explore	संदान
export	बाहिरायाव हर
expose	दिनथि
exposed	दिनथि
exposure	दिनथिनाय
express	फोरमाय
expression	फोरमाय
extend	फोलाव
extended	बारायबाय
extension	गोसारनाय खामानि
extent	गोसार हो
external	बाहिरा
extinct	गैयि जानाय
extra	उफ्रा
extract	बख
extraordinary	असाधारन
extreme	बाराद्राय
extremely	जोबोरैनो
eye	मेगन
eyes	मेगन
fabric	सि जोम
fabulous	जोबोद मोजां
face	मोखां
face	मोगामोगि जा
facilitate	दैदेन
facilities	खाबु
facility	आखा फाखाथि
fact	सैथो
factor	गमस्ता
factory	कारखाना
facts	सैथो
fade	रोमोलां
fail	फेलें जा
fail	देरहानो हायि जा
failed	फेलें
failure	फेलेंजानाय
faint	रोमै रोमै
fair	थि रोखोमै
fair	समायना
fairly	थारैनो
fairy	मोदायजो
faith	फोथायनाय
faithful	फोथायजाथाव
fake	नंखाय
fall	गाहायाव गोगलै
fall	गाहायाव गोगलैनाय
false	नंखाय
fame	नाम
familiar	सिनाय जानाय
family	नख'र
famine	रसानांनाय
famous	मुंदांखा
fan	गिसिब
fan	मोजां मोनग्रा
fancy	रंबिरं
fantastic	जोबोद मोजां
far	गोजान
farewell	बिदाय
farm	आबाद फामु
farmer	हालुवा
fascinating	गोमोहाबनां
fashion	गाननाय जोमनाय रोखोम
fast	थाबैनो
fat	मोदोम गोनां
fatal	गिलु बालु
fate	खाफाल
father	बिफा
fatigue	मेंनाय
fault	दाय
favorite	साबसिन - हामसिन
favour	अननाय
favourite	मोजां मोनजासिननाय
fear	गिनाय
fear	गि
feast	फोरबो
feather	दावगां
feature	मेहेर गोनां खालाम
feature	महर मोखां
features	महर मोखां
february	इंराजि बोसोरनि नैथि दान
fed up	बाबाय
fee	होनो गोनां फैसा
feed	जाहो
feedback	बोसोन
feel	मोनदां
feeling	मोनदांनाय
feet	आथिं
fell	गोगलै
fellow	लोगो
felt	मोनदांनाय
female	हिनजाव हारि
fence	बेरा
fertile	हासार गोनां
festival	फोरबो
fetch	लायना होफै
fever	लोमजानाय
few	खम
fewer	इसेल
fiance	सासे हौवानि हाबा जाहां आइजो
fiction	साजायना बुंनाय बाथ्रा
field	फोथार
fierce	हिंस्र
fifteen	जिबा
fifty	बाजि
fight	दावहा नां
fight	दावहा
fighting	बुलायदों
figure	महर मुस्रि
figure	दाथाय
figure out	मोनथिना ला
file	लेखा बिलाइ
fill	सुफुं
filled	सोफुंनाय
film	सबि
filthy	मैला गोनां
finally	जोबथार नायाव
finance	रांआरै
financial	रांखान्थियारि
find	नागिरना मोन
find out	नागिरना दिहुन
fine	जरिमाना
fine	साबना हामना
finger	आसि
finish	फोजोब
finished	जोबबाय
fire	अर
firm	राखाव
firm	फालांगियारि फसंथान
first	गिबि
first name	सिगांनि मुं
fish	ना
fit	जाथाव
five	बा
fix	थिक खालाम
fixed	थिरयै
flag	फिरफिला
flash	मोफ्लामनाय
flat	दाब्ले
flaw	गावनाय
flawless	गोरोनथि गैयै
flee	खारखोमा
flesh	मोदोम
flew	बिरलां
flex	खेंख्रा खालाम
flexible	गुरै
flight	बिरनाय
flip	बोदला
flirt	मोजां मोनफ्लानाय
flirting	एदावनाय
float	गोजाव
flood	दै बाना
floor	हा थाला
flour	आटा गुनदै
flow	बोहैलांनाय खामानि
flow	बोहै
flower	बिबार
flu	गुजुनायजों लोमजानाय बेराम
fluent	खर खर
fluently	मोजांयै बुंफोरनाय
fluffy	गुरै
fluid	लाव लाव
fly	बिर
focus	मिरुथाय खालाम
focus	सोरां
fog	खुहा
foggy	जोमै साग्लोब नाय
fold	खन
folks	हारि
follow	उन सं
follow up	खबर ला
following	गाहायनि
food	जाग्रा आदार
fool	ओरैनो बाहायनाय
fool	जामबा
foolish	जामबा मानसि
foot	आथिं
football	जोलुर
for	थाखाय
For example	बिदिनथि हिसाबै
for instance	हमना ला
for you	नोंनि थाखाय
forbidden	हेथा होजानाय
force	जर
forecast	सिगांनो बुंखा
forehead	खाफाल
foreign	गुबुन हादोरारि
forest	अरन
forever	अरायसम
forget	बाव
forgive	खेमा हो
forgot	बावबाय
fork	हाथाय गोनां सामुस
form	महर
form	महर ला
formal	आसार खानथि गोनां
former	सिगांनि
fortunately	खाफाल गोनां
fortune	खाफाल
forty	ब्रैजि
forty-two	ब्रैजि नै
forward	सिगाङाव थानाय
foster	फिसि
fought	बुलाइबाय
found	मोननाय
foundation	बिथा
four	ब्रै
fourteen	जि ब्रै
fox	सियाल
fragile	गेस्रेम
frame	रुगुंआव होनाय मुवा
framework	रुगुं खामानि
fraud	नंखाय
freak	असाधारन
free	बादा गैयि
freedom	उदांस्रि
freeze	थाद'
frequency	गले गले फोरमायनाय
frequent	खनले खनले
frequently	गले गले
fresh	गोदान
friday	शुक्रबार
fridge	गुसु खालामग्रा
friend	लोगो
friendly	लोगोआखु
friends	लोगोफोर
friendship	लोगोरि
frightened	गिनाय
frightening	गिनाय
frog	इमबु
from	फ्राय
front	सिगांनि बाहागो
frozen	बरफ जानाय
fruit	फिथाइ
frustrated	गोसो बायनाय मोननाय
fuel	थाव
Fulfulde	गनिया हादोरनि राव
full	आबुं
fun	खुसि
function	हाबा
fundamental	गुदि
funeral	गोथै सावनाय एबा फबनाय
funny	मिनिथाव
fur	जुनारनि खोमोन
furious	थिउरिया
furniture	दंफांनि माल माता
further	बेनि अनगायै
furthermore	बांसिनबावै
future	इयुन
gain	मुलामफा
gain	आरजि
game	खेला
gap	फाक
garage	गारि मटर फाहाग्रा जायगा
garbage	दाखोर - दाला
garden	बागान
garlic	सामब्राम गुफुर
gate	दरजा एबा दरखं
gather	जमा जा
gathering	जुथुमा
gauge	जखा सुग्रा जनथ्र'
gave	होबाय
gear	सि-जोम
gender	आथोन
general	साधारन
generally	सरासनस्रायै
generate	दिहुन
generation	जोलै
generous	गोसो गुवार
genius	मेलेमजिबि
genre	जाथाय बेरखांनाय सावगारि
gentle	सोद्रोम
genuine	आसोल
gesture	आवफावफ
get	मोन
get dressed	देलायना था
get up	गसं
get well soon	थाबैनो मोजां जा
getting	मोननो
ghost	भुत
ghosting	बुहुथ फिसिग्रा
giant	असुर
gift	बानथा
ginger	हायजें
girl	हिनजावसा
girlfriend	गोसो थोनाय सिखोला
give	हो
give up	नागारनो
given	हरखानाय
glad	खुसि
glance	साज्रांयै नाय
glass	आइना
glasses	आइना
glimpse	नुथाय
global	बुहुमनां
gloomy	मोस्लेर
gloves	आखाइनि मुजा
glow	गोजों जा
glow	गोजों
glow up	गोजों जा
glue	आथा
go	थां
go ahead	सिगांआव आवगाय
go away	थां
go to bed	उनदुदो
goal	थांखि
goals	थांखि
goat	बोरमा
god	इसोर
god bless you	इसोरा नोंखौ बोर होथों
goes	थांओ
going	दावगालां
going to	थांगासिनो
gold	सना
gone	थांखांनाय
gonna	थांगासिनो
goo	खि
good	मोजां
good	गाहाम
good afternoon	गाहाम सानजौफु
good bye	लोगो मोनफिनगोन
good day	मोजां सान
good evening	गाहाम मोनाबिलि
good job	मोजां हाबा
good looking	मोजां नुथाइ
good luck	मोजां बराथ
good morning	गोजोन फुंबिलि
good morning my love	गाहाम फुंबिलि आंनि आंगो
good night	गोजोन हर
goodbye	बिदाय
goodnight	गोजोन मोनाबिलि
goods	मालगारि
Google	बैगियानिक रोखोमनि नायगिर जाग्रा जनथ्र'
Google Translate	गुगोल राव सोलाय
goose	हांसो रानी
gorgeous	साबगा-हामगा
gossip	बानसावनाय
got	मोननाय
got it	मोनथिबाय
government	सरखारि
grab	थाब गोरायै हम
grade	थाखो
gradually	फारि फारियै
graduate	भुमफरायसालिनि दिग्री
grain	माइ बेगर
grant	अनुमुथि हो
granted	गनायथि मोन
grapes	आंगुर
grasp	गोरायै हम
grass	गांसो
grateful	साबायखर दिनथिनाय
gratitude	साबायखरथि
grave	कबर
gray	उखुनदै गाबनि
great	गेदेर
greed	लबिया
greedy	लुबैसुला
green	गोथां
greet	खुलुम
greeting	हामलायथि बावनाय
greetings	खुलुमबाय
grey	फुरगेव गाबनि
grid	मोबलिप गुनानि जे महर
grief	दुखु
grind	दिगलि
grip	गोरायै हम
grocery	मैगं थायगं
groom	हौवा गोदान
gross	जमा
ground	गेलेग्रा फोथार
group	हानजा
grow	जौगा
growth	देरबोनाय
grumpy	खेस्रा
Guarani	ब्राजिलनि राव
guarantee	जामिन
guard	नेग्रा
guess	आनदाज खालाम
guest	आलासि
guidance	दैदेन
guide	दैदेन
guide	लामा दिनथि
guilty	दाय गोनां
guy	लोगो मानसि
guys	लोगो मानसि
gym	ब्याम
habit	सर'
habitat	सरासनस्रा खुलि
had	दंमोन
hail	बराय
hair	खानाइ
half	खावसे
hall	गेदेर खथा
hand	आखाइ
handle	सामब्लाय
handsome	नायनो मोजां
hang	आलायना दोन
hang out	लोगोफोरजों बेरायनाय
happen	जादों
happened	जाथाय जानाय
happiness	खुसि जानाय
happy	खुसि
happy birthday	गोजोन जोनोम सान
happy birthday to you	नोंनि सिम जोनोम साननि गाहाम हामलायनाय बावहर बाय
happy new year	गाहाम गोदान बोसोर
hard	गोरा
hardly	खस्थ'यै
hardly ever	खोनोरोखोम
harm	हानि खालाम
harm	हानि
harmful	हानि खालामग्रा
harmony	खौसे
harsh	गोरा
harvest	आबाद बुथुमनाय
has	दंनाय
hate	मुगैनाय
have	दं
have a good day	नोहा मोजां दिन जाथों
have a nice day	नोंथांहा गाहाम सान जाथों
have breakfast	फुंनि जाग्रा जाबाय
have fun	रंजा
have you eaten	नों जाबाय ना
having	दंनाय
hazard	खैफोद
haze	खुवा
he	बिथां
he	बि
he has	बिहा दं
he is	बियो
head	खर'
headache	खर' सानाय
heal	फाहाम
healing	फाहामनाय
health	देहा
healthy	देहा गोनां
hear	खोना
heard	खोनादों
heart	बिखा
heat	गुदुं
heat	गुदुं खालाम एबा जा
heaven	सोरगो
heavy	गिलिर
hectic	मुखुब जानाय
height	जौथाय
heir	अनमोनगिरि
held	हमनाय
hell	नोरोग
Hello	हेल'
hello dear	हेलल' नोंथां
hello how are you	नोंथांआ माबोरै दं
hello how are you doing	नोंथांआ माबोरै दं
helmet	खर'आव गाननाय रैखाथि थुफि
help	म'दद
helpful	हेफाजाब गोनां
hence	बेखायनो
her	बिनि (हिनजावफोरनि बिथिंआव)
herd	मोसौ - मैसो फालो
here	नै बेहाय
heritage	सिगांनिफ्राय सोलिबोनाय
hesitate	गोनो गोथो जा
Hey	ओइ
Hey	नै
Hi	ओइ
hi how are you	नों माबोरै दं
Hi there	औ बैयाव
hidden	दोनखुमानाय
hide	थाखुमा
hierarchy	सासेनि फ्राय सासे जानाय
high	गोजौ
highlight	दिनथि
hike	बेसेन बाराय
hiking	हाजो गाखोनाय
hilarious	रंजाथाव
hill	हाजो
him	बिथां
hint	इसारा
hip	थाप्लि
hips	थाफलि
hire	भारा
hiring	भारा
his	बिथांनि
history	जारिमिन
hit	सौ
Hmm	होम
hobby	हुदा
hold	हमनाय
hold on	हमथा थ'
hole	गुदुं
holiday	सुटि
hollow	दनदर
home	न'
homework	ननि खामानि
honest	सैथोबादि
honestly	सैथोयै
Honey	बेरेमोदै
Honey	बिबारनि गोदै बिदै
honor	मान
hood	दाखनि
hook	बोरसि
hop	बाजल'नाय खामानि
hope	आसा खालाम
hope	आसा
hopefully	आसा गोनां
hopeless	आसा खखलाम जाथावै
horizontal	हास्रेंयै
horn	फेमफा
horrible	गिलु बालु
horror	गिनाय
horse	गराय
hospital	देहा फाहामसालि
hospitality	आलासि सोंनाय
host	आलासि सोंग्रा
host	आलासि सों
hostile	सुथुर
hot	गुदुं
hotel	दावबायग्राफोर थाग्रा न'
hour	घन्टा
hours	घन्टा
house	न'
household	नख'रारी
how	माबोरै
how about you	नौथांनि खबर आ माबोरै
how are you	नों माबोरै दं
how are you doing	नोंथांआ माबोरै दं
how are you doing today	नोंथांआ दिनै माबोरै ढं
how are you today	नोंथांआ दिनै माबोरै दं
how do you do	नोथांआ माबोरै मावदों
how is	माबोरै
how many	बेसे गोबां
how much	बेसेबां
how often	खनबेसे
how old are you	नोंथांनि बैसोआ बेसेबां
how was your day	नोंथांनि दिन आ माबायदि मोन
how was your night	नोंथांनि हरआ मा बायदि मोन
however	थेवबो
however	जिखि जादोआ
hub	धुरा
hubby	अनसुला
hug	गोबाना लानाय
hug	गोबाना ला
huge	जोबोद गेदेर
human	सुबुंआरि
humble	गुरै
humid	सिदोब
humidity	सिदोब
hundred	से जौ
hungry	उखैना थानाय
hunt	नायगिर
hurricane	बारहुंखा
hurry	हाखु दाखु
hurry up	गोख्रै
hurt	दुखु मोननाय
husband	बिसाय
hustle	नारला नारसि
hustle	नारला-नारसि खालाम
hut	नसा
hygiene	सावस्रि
I	आं
I am	आंओ
I am fine	आं मोजांयैनो
I can	आं हायो
I can't	आं हाया
I do	आं मावो
I do not know	आं जेबो मिथिया
I do not understand	आं बुजि मोना
I don't	आं खालामा
I don't know	आं मिथिया
I don't understand	आं बुजि मोना
I don't understand what you mean	नोंथांआ मा बुंदों आं बुजिमोनाखै
I don't understand you	आं नोंखौ बुजि मोना
I don’t know	आं मोनथिया
I don’t understand	आं बुजि मोना
i guess	आं सानो
I had	आंहा दंमोन
I have	आंनाव दं
I have been	आं बियाव थांखांबाय
I hope so	आं मिजिंथियो
I know	आं बुजियो
I like	आं मोजां मोनो
I like you	आं नोंखौ मोजां मोनो
I love	आं मोजां मोनो
I love my big brother	आं आंनि बिदाखौ अनो
I love my big sister	आं आंनि बिब'खौ अनो
I love my father	आं आंनि बिफाखौ अनो
I love my little brother	आं आंनि फंबाइखौ अनो
I love my little sister	आं आंनि बिनानावखौ अनो
I love my mother	आं आंनि बिमाखौ अनो
I love you	आं नोंखौ गोसोथोयो
I love you so much	आं नोंखौ जोबोर अनो
I love you too	आंबो नोंखौ मोजां मोनो
I mean	आं बुंनायनि ओंथि
I miss you	आं नोंखौ गोसोखांदों
I miss you so much	आं नोंखौ जोबोर गोसो खांदों
I see	आं नुदों
I think	आं सानो
I understand	आं बुजियो
I want	आंनो नांगौ
I want to see you	आं नोंथांखौ लोगो हमनो गोसो जादों
I want you	आंनो नोंखौ नांगौ
I was	आं मोन
I will	आं खालामगोन
I would be	आं जागौ मोन
I'm	आंओ
I'm fine	आं थिगैनो
I'm good	आं मोजायैनो दं
I'm here	आं नैबियावसो
I'm sorry	आंखौ निमाहा हो
ice	बरफ
ice cream	थान्दा बरफ
idea	सानस्रि
ideal	साबसिन
identical	रोखोमसे
identify	सिनाइथि खालाम
identity	सिनायथि
idiot	जामबा मानसि
idle	खामानि मावै
if	जुदि
ignore	नेउसि
ill	लोमजानाय
illegal	नेम बेरेखा
illness	देहा गाज्रि
Ilocano	मालियालामनि दालाइ राव
image	मुसुखा
imagine	हमना ला
immediate	गोख्रैनो
immediately	थाबैनो
immense	जोबोर
impact	गोहोम खोखलै
impact	सौदावनाय
impatient	नेथ'नो हायि
implement	मावफुं
import	गुबुन हादरनिफ्राय लाबोनाय
import	आमदानि खालाम
important	गोनांथार
impose	नारसिनना हो
impossible	असम्भब
impress	गोहोम खोखलै
impression	गोहोम
impressive	बाखनायथाव
improve	मोजांसिन खालाम
improvement	जौगानाय
in	सिंआव
in addition	दाजाबनानै
In fact	आन्थाय
in front of	सिगांआव
in order to	जाफुं होनो थाखाय
inappropriate	थि नङै
incentive	गोसो दुंहोग्रा
incident	जाथाय
include	लाफादेर
including	लाफादेरनानै
income	आरजिनाय
inconvenience	सुबिदा
increase	बाराय
increase	बारायनाय
increased	बारायबाय
incredible	सोमो नांथाव
indeed	गमामायै
independent	उदां
India	भारत
indicate	दिनथि
indigenous	हादोरारि
individual	सासे सुबुं
industry	उधग
inevitable	होबथानो हायै
infant	गथ'
infection	बारदेरनाय
infinity	जोबनोगैयै
inflammation	खामनाय
inflation	दाम बारायनाय
influence	गोहोम
influence	गोहोम खोखलै
inform	फोरमाय हर
information	खौरां
ingredients	मचला
inheritance	बिमा बिफा निफ्राय मोननाय
initial	जागायनाय
initiative	खामानियाव थागिदा लानाय
injured	हानि
injury	जखम
innocent	दाय गैयि
innovation	गोदानथि
inquiry	नायबिजिरनाय
insane	फागला
insect	एमफौ
insecure	रैखाथि गैयै
insert	सो
inside	सिङाव
insight	गुमुर
insist	नारसिन
insomnia	उनदुनो ओंखारै बेराम
inspiration	थुलुंगा
inspire	थुलुंगा हो
install	गायसन
instance	बिदिनथि
instant	हरखाब
instead	सोलायै
instead of	बिनि सोलाइ
instructions	फोरोंथाय
instrument	आइजें
insult	मान हानि खालाम नाय
insurance	बीमा
intact	एसेबो सोलायै
integrity	आबुंथि
intellectual	सानसुमैगिरि
intelligence	गियान
intelligent	सियान
intend	गोसो खालाम
intended	गोसो खालामनाय एबा मावनो साननाय
intense	जोबोद
intention	थांखि
interact	सावराय
interaction	फोरमायलाय
interest	गोसो गोनां
interested	गोसो थानाय
interesting	गोसो नांनाय
interfere	गुबुनखौ नांजानाय
intermediate	गेजेरनि
internal	सिंनि
international	बुहुमनां
internship	सिंनि
interpret	ओंथि बेखेव
interpreter	राव सोलायग्रा
interrupt	हेंथा होनाय
interview	मोगा मोगि
intimate	असे
into	सिङाव
introduce	सिनायथि हो
introduction	सिनायथि
introvert	लाजि गुसु
intuition	सिंनि गियान
invalid	असल
invent	दिहुन
inventory	मुवानि फर्द
invest	बाहाय
investigate	नायबिजिर
invitation	हांख्रायनाय
invite	हांक्राय
invoice	बेसादनि सालान
invoice	सालान लिर
involve	थाफानाय
involved	लोगो लाभ
iron	लहा
iron	लहायाव माराम जानाइ
is	नंगौ दं
island	दीप
isolated	एरख'जानाय
issue	बाहेराव फै
issue	ओंखार बोनाय
issues	जेंना
it	बै
it	बे
it is	बियो
it was	बियो मोन
it's	बैयो
it's ok	जेबो नङा
It's okay	जेबो सिन्था जानो नाङा
item	दफा
items	आयदा
its	बेनि
I’m	आंओ
jacket	जेकेट गस्ला
jail	जोबथेसालि
January	इंराजि बोसोरनि सेथि दान
jar	दैहु
jaw	हाथायसिंनि हारा
jealous	मेगन सानाय
jerk	जांख्रिनाय
jewelry	गहेना
job	खामानि
jogging	फुंआव देहाखौ सोरां होनो खारनाय
join	सिथाब
joint	जरा
joke	फेसला बाथ्रा
journalist	सानमालाइसिनि लिरगिरि
journey	दावबायनाय
joy	रंजानाय
judge	बिजिरगिरि
judge	बिसार खालाम
juice	रोसि
july	इंराजि जुलाइ दान
jump	बारज्रुम
june	इंराजि द' दान
junk	संख्रि होनाय बेदर
just	थिक
just	थिकयै
just do it	माव ल'
justice	थार बिजिरनाय
justify	नायबिजिर
Kalaallisut	ग्रिनलेण नि राव
keen	गोबौ
keep	लाखि
keep it up	बिब्दिनो मावबाय था
kept	दोननाय
kettle	केटली
key	साबि
kick	जो
kid	गथ'
kidding	जंखायनाय
kidney	हासुदै गिला
kids	गथ'फोर
kill	बुथार
kind	अनसुला
kind	अननाय गोनां
kinda	रोखोम
kindly	अननानै
kindness	अननाय
king	राजा
kiss	खुदुम
kitchen	इसिं
kite	सिला
kitten	मावजि फिसा
knee	हानथु
knew	मिथियो
knife	दाबा
knight	दावहारु
know	मिथि
knowledge	गियान
known	मिथिजानाय
Konkani	ग'आनि राव
Krio	सोनाब आफ्रिखानि राव
label	टिकिट
label	लेबेल लागाय
labor	खाटनि
labour	हाजिरा
lack	गैयि
ladder	सिरी
lady	आइजो
laid	दाबला जानाय
lake	बिलोमा
lamb	बोरमा मेनदा फिसा
lame	लेंग्रा
lamp	बाथि
land	गोगलै
land	हा
landscape	हा बाहागोनि नुथाय एबा सावगारि
language	राव
lap	सालाइजों सोला
large	गिदिर एबा गोबां
last	जोबता
last but not least	जोबथारनायाव
last name	उननि मुं
late	गोबावजों फैनाय
lately	गोबावजों
later	इउनाव
latest	गोदानसिन
latter	इउननि
laugh	मिनि
laughing	मिनिनाय
laughter	मिनिनाय
launch	गोदान जागायनाय
laundry	सि सुग्रा जायगा
law	आयेन
lawn	सितला
lawyer	उकिल
lay	गारना दोन
layer	थोरफो
layout	दिहुन
lazy	अलसिया
lead	दैदेन
leader	दैदेनगिरि
leaf	बिफांनि बिलाइ
leak	गबलं
lean	सोनारनाय
leap	बाज्रुम
learn	सोलों
learning	सोलोंथाय
lease	पाट्टा
least	खमैबो
leather	सामब्रा
leave	अनुमथि
leave	नागारना थां
leave	नागार
leaves	बिलाइफोर
led	लामा दिनथिनाय
left	आगसि
leg	आथिं
legacy	उनमोनगिरि महरै मोननाय धोन
legal	आइन सोमोनदै
legend	मुंदांखा मानसि
legit	आइनजों गोरोबनाय
leisure	आजोरोम
lend	हरथ'नाय
length	गोलाव
less	खम
lesson	आयदा
let	खालामनो एबा जानो हो
letter	लाइजाम
lettuce	जाथोसे गोथाङै जानोहानाय मैगं
level	समान
leverage	गोहोम
liability	बिबान
library	बिजाब बाखरि
lick	सोला
lie	नंखाय बुं
lie	नंखाय खोथा
lies	फोलानाय
life	जिव
lift	दैखांनाय
lift	दैखां
light	गाहायथिं फै
light	रेजें
light	सोरां
lightning	अखा खोरोमनाय
like	एखे
likely	जाथावना
likewise	एखे रोखोमनि
line	दिरुं
Lingala	खंग' हादरनि राव
link	सोमोनदो
lion	सिंह'
liquid	लावलाव
list	फारिलाइ
listen	खोनासं
listening	खोनासंदों
literally	थोंजों
literature	थुनलाइ
litter	जिगाब गुन्द्रा
little	इसे
live	गोथां
live	थांना था
liver	आमायथु
lives	जिउमा
living	जिवखुंनायनि रोखोम
living room	उन्दुग्रा खथा
lizard	न' नेमा
load	बजाय
loaf	पावरुटि
loan	दाहार
local	जायगानि
location	फाथिनाय
lock	थाला
lockdown	बन्द' खालामनाय
log	दंफां थुख्रा
lol	ल'ल
lonely	हारसिं मोननाय
long	गोलाव
long time no see	नुयैआ गोबाव सै मोन
look	मेगन हो
look	नायनाय
loop	दौलें
loose	गुरै खालाम
loose	गुरै
lord	इसोर
lose	खोमानाय
loss	खहा
lost	गोमानाय
lot	खाफाल
loud	गोसा
lounge	गसं
love	अननाय
love	मोजांमोननाय
love you	नोंखौ मोजां मोनो
lovely	नायनो मोजां
low	गाहाय
lower	फाहाय
loyal	थगायै
loyalty	फोथायथि
luck	खाफाल
lucky	खाफालगोनां
Luganda	उगाणडानि राव
luggage	लायलथर
lump	लद्रा
lunch	सानजौफुनि जानाय
lungs	संफ्ल'
luxury	जोंबलाव माब्लाव
lying	गोग्लैना दं
machine	जनथ्र'
mad	फागला
madam	मेदाम
made	बानायदों
magazine	बाख्रि
magnificent	समायना
maid	रुवाथी
main	गाहाय
maintain	खां
maintenance	फिसिनाय राहा
Maithili	बिहार आरो झारखाणनि राव
major	गेदेरसिन
major	गाहाय आयदा एबा सुबुं
majority	बांसिन अनजिमा
make	बानाय
make up	देलायग्रा मुवा
male	हौवा
mall	दंफांनि गेदेर हाथुरा
man	हौवा मानसि
manage	सामब्लाय
management	सामब्लायनाय
manager	सामब्लायगिरि
mandatory	मावथारनांगौ
manifest	नुसार जा
manipulate	गोहोम खोख्लै
manner	रोखोम
manual	नेमखान्थि थानाय बिजाब
many	गोबां
many many happy returns of the day	गोबां गोबां बोसोरनि गाहाम हामब्लाय नाय
march	दावगा
margin	सिमा
market	हाथाइ
marriage	जुलि
married	हाबा जानाय
mask	मुखा
mass	दामोल
massive	बुरजा
master	फोरोंगिरि
match	गावजों मेलायनाय
match	गोरोब
mate	लोगो
material	मुवा
math	सानखानथि
matter	गोनांथि जा
matter	आयदा
maturity	राफुनाय सम
may	जानो हानाय
may	इंराजि बोसोरनि बाथि दान
maybe	जानो हागौ
me	आंनो
me too	आंबो
meal	आहार
mean	नेहाद
mean	ओंथि खालाम
mean	हिन
mean	गाहाय थाखोनि
meaning	ओंथि
means	माने
meant	नेहाथ
meanwhile	फारसेथिं
measure	राहा
measures	सुग्रा आयजें
meat	बेदर
medical	सिकिटसालि
medicine	मुलि
meditation	ध्यान
medium	बिजों
meet	लोगोमोन
meeting	आफाद
Meiteilon	मानिफुरिनि राव
melt	ग'लि
memories	गोसोआव लाखि
memory	गोसोखांनो हानाय गोहो
mental	सानस' रोङी
mention	मुं खारि
mentioned	मुंख'नाय
mentor	बोसोनगिरि
merchant	बेपारि
mercy	अनखांनाय
merely	मात्र
merry christmas	गोथार बरदिन
mess	गोदाव सोराव
message	लाइजाम
messy	मैला
metal	धातु
method	खायदा
mice	एनजर
middle	गेजेर
midnight	हर गेजेर
might	गोहो
mild	माहि
milestone	माबा मोनसे जाफुंसार होनो हानाय
military	सानथ्रि
milk	गाइखेर
million	से निजुत
mind	गोसो हो
mind	सानथौ
mindset	सानथौ
mine	फुंखा
mine	आंनि
mingle	गलाय
minor	गोरलै
minute	ड'जि सेकेण्ड
minutes	जोबोद फिसा
miracle	सोमोनांथाव
mirror	आयना
miscellaneous	गलाय गथाय
mischievous	गाज्रि आखु
miserable	असुखि
misery	दुखु जाल्ला
miss	नोजोर फेलें खालाम
miss you	गोसो खांनाय
missing	गोमानाय
mission	थांखि
mist	खफ'
mistake	गोरोनथि
Mizo	मिज'राम नि राव
mobile	जानबुं
mock	जंखाइ
model	नेरसोन
moderate	दबथाय
moderate	नेमनि
modern	गोदान
modest	माहि
moist	सिदोब
moisture	सिदोमा
mold	मैखुन
mold	मैखुन जा
mole	मोदोमनि सबाय बिमा
mom	आइ
moment	दसे सम
monday	स'मबार
money	रां
monitor	फोरोंगिरि खौ हेफाजाब होग्रा फरायसा
monkey	मोख्रा
month	दान
mood	थाइजानि महर
moody	रागा मोखां
moon	अखाफोर
moral	बोसोन
more	बांसिन
moreover	आरोबाव
morning	फुं
mortgage	हा बनदख
most	बांसिन
mostly	बांसिनै
mother	बिमा
motion	खारथाय
motivation	थुलुंगाखां होनाय
mountain	हाजो
mouse	एनजर
mouth	खुगा
move	दाबसेनिफ्राय गुबुन फारसे सोलाय
movement	जांख्रिथाय
movie	सावथुन
mrs	आइजो
much	बुरजा
mud	हाब्रु
mug	मग
muscle	मोदोमनि बेदर
museum	बुथुमसालि
mushroom	मैखुन
music	दामनाय देनाय
