abandoned	fililen
flat	fɛnsɛlen
flawless	ɲumanba
flaw	wo
flee	ka boli
flesh	farisogo
flew	bolila
flexible	labilalen
flex	ka kuru
flight	awiyɔn
flip	kilape
flirting	jalali
flirt	ka jala
float	filotɛri
flood	jiwalankata
floor	dugukolo
flour	mugu
flower	filɛri
flow	sooro
fluent	kɔsɛbɛ
fluently	kɔsɛbɛ
fluffy	makama
fluid	ji
flu	murusɔgɔsɔgɔ
fly	dimɔgɔ
focus	ɲɛsin
fog	bugun
foggy	ɲaamilen
fold	ka kuru
folks	jama
following	ɲɛfɛta
follow	ka tugu
follow up	ka tugu
food	dumuni
foolish	hakilintan
fool	lafili
football	ntolatan
foot	sen
forbidden	kɔlilen
force	ka karaba
forecast	ɲɛbila
forehead	tenda
foreign	dunuan
forest	tu
forever	badaa
For example	I n'a fo
forget	ka ɲina
forgive	ka yafa
forgot	ɲìnɛ
for instance	misali la
fork	furusɛti
for	kosɔn
formal	sariyakɔnɔ
former	kɔrɔlen
form	mɔn
fortunately	ala barika la
fortune	nafolo
forty	binaani
forty-two	binaani ni fila
forward	ɲɛ
for you	i ta
foster	ka yiriwa
fought	kɛlɛ
foundation	jusigilan
found	sɔrɔlen
four	naani
fourteen	tan ni naani
fox	kungowulu
fragile	fɛ́gɛn
frame	lamini
framework	hukumu
fraud	sonyali
freak	siranya
freedom	hɔrɔnya
free	ka kunmabɔ
freeze	ka gilase
frequency	fiɲɛturukala
frequent	kuma caman
frequently	kuma caman
fresh	kɛnɛ
friday	juma
fridge	firigo
friendly	jòlimandi
friendship	teriya
friends	teriw
friend	teri
frightened	jasiralen
frightening	bagabagali
frog	ntori
from	ka bɔ
front	ɲɛfɛla
frozen	galasila
fruit	yiriden
frustrated	lasiranlen
fuel	taji
Fulfulde	Fula
full	faalen
function	baarakunda
fundamental	dugumata
funeral	jɛnɛja
funny	yɛlɛko
fun	yɛlɛko
furious	diminen
furniture	minɛw
fur	si
further	foo yen fɛ
furthermore	tagalen yɛ
future	sini
gain	sɔrɔ
game	tulon
gap	furancɛ
garage	garasi
garbage	ɲaman
garden	nakɔ
garlic	layi
gate	da
gathering	lajɛ̀
gather	lajɛ
gauge	ka ewaliye
gave	a dila
gear	witɛsi dolan
gender	cɛnimusoya
generally	bakurubala
general	zenerali
generate	ka dilan
generation	zenerasiyɔn
generous	ɲumanya
genius	hakiliduman
genre	sifa
gentle	ɲuman
genuine	kegunman
gesture	taamasiyɛn
get dressed	fini donna
get	sɔrɔ
getting	sɔrɔli
get up	ka wili
get well soon	ka kɛnɛya di
ghosting	su wililen
ghost	ja
giant	belebele jamanjan
gift	sama
ginger	ɲamaku
girlfriend	sungurun
girl	npogotigi
give	ka di
given	dilen
give up	ka bila
glad	nisɔndiyalen
glance	ka lajɛ
glasses	nunɛti
glass	wɛɛrɛ
glimpse	ka ɲɛ jɔ a la
global	fanbɛ
gloomy	dibilen
gloves	ganw
glow	jigiya
glow up	ka manamana
glue	kɔli ji
go ahead	taga ɲɛfɛ
goal	ka bi don
goals	kuntilennaw
goat	ba
go away	ta ne ɲɛ
god bless you	Ala ka barika don i la
god	ma
goes	taa
going	ka taa
going to	taalen
go	ka taa
gold	sanu
gone	a taala
gonna	bɛna
good afternoon	i ni wula
good bye	kan bɛ
goodbye	kan bɛn
good day	ka tile hɛrɛ
good	duman
good evening	i ni su
good job	baara ɲuman
good looking	yecogo ɲuman
good luck	kunnaja
good morning	a' ni sɔgɔma
good morning my love	ne jarabi ni sɔgɔma
good night	ka an bo su ra
goodnight	ka su hɛrɛ
goods	feerefɛnw
Google	Gugɔli
Google Translate	Gugɔli ka bayɛlɛmali
goose	kulokulodeni
goo	yeelennen
gorgeous	ɲumanba
gossip	kɔrɔfɔli
got it	a sɔrɔla
go to bed	taga la
got	sɔrɔ
government	gofɛrɛnaman
grab	minɛ
grade	jala
gradually	dɔɔni dɔɔni
graduate	ka dipilomu sɔrɔ
grain	kisɛ
granted	yamaruyalen
grant	ka yamaruya
grapes	rezɛn
grasp	ka minɛ
grass	bin
grateful	waleɲumandɔn
gratitude	waleɲumandɔn
grave	kaburu
gray	bugurinjɛ
great	belebele
greed	natabaya
greedy	nuguma
green	binkɛnɛ
greeting	folikan
greetings	folikanws
greet	ka foli kɛ
grey	bugurinjɛ
grid	nɛgɛjuru
grief	hami
grind	ka si
grip	ka nɔrɔ
grocery	dumunifɛn feereyɔrɔ
groom	furucɛ
gross	belebele
ground	dugukolo
group	jɛkulu
grow	ka falen
growth	jiidiya
grumpy	farifagalen
Guarani	Gwarani
guarantee	gáranti
guard	ka kɔlɔsi
guess	ka jaabi ɲinin
guest	dunan
guidance	bɛrɛbɛrɛli
guide	bereminɛbaa
guilty	hakɛtigi
guy	cɛ
guys	mɔgɔw
gym	zimu
habitat	so
habit	fini
had	a tun b'a fɛ
hail	ka fo
hair	kunsigi
half	tilancɛ
hall	ali
hand	bolo
handle	kala
handsome	cɛɲi
hang	ka dulon
hang out	ka bɔ ɲɔgɔnfɛ
happened	a kɛla
happen	ka kɛ
happiness	nisɔndiya
happy birthday	sanbε sanbε
happy birthday to you	a ni san kura
happy new year	ka san kura hɛrɛ caya
happy	ɲagali
hard	gɛlɛnman
hardly ever	a ka gɛlɛn kuma bɛɛ
hardly	gɛlɛnman
harmful	tɔɔrɔlan
harmony	cogo cɛɲi na
harm	tɔɔrɔ
harsh	gɛlɛma
harvest	tigɛ
has	sɔrɔ
hate	kɔniya
have a good day	ka tile hɛrɛ
have a nice day	ka tile hɛrɛ
have breakfast	ka daraka dun
have fun	ka i ɲɛnajɛ
have	sɔrɔ
have you eaten	i ye dumuni kɛ wa
having	sɔrɔli
hazard	balinan
haze	bugun
he	a
headache	kunkolodimi
head	kunkolo
healing	kɛnɛyali
heal	kɛnɛya
health	kɛnɛya
healthy	kɛnɛman
heard	mɛn na
hear	ka mɛn
heart	ale
heat	funteni
heaven	sankolo
heavy	girin
hectic	sɛgɛn
he has	a….bɛ
height	janya
heir	ciyɛntala
he is	a ye
heist	sonyali
held	minɛlen
hell	jahanama
Hello	aw ni baara
hello dear	i ni ce n balima
hello how are you doing	i ni ce, i ka kɛnɛ wa
hello how are you	i ni ce, i ka kɛnɛ wa
helmet	kasiki
help	dɛmɛ
helpful	dɛmɛni
hence	o kama
her	ale
herd	ka gɛn
here	yan
heritage	ciyɛn
hesitate	ka siga
Hey	Hee
Hi	aw ni baara
hidden	dogolen
hide	ka dogo
hierarchy	ɲɛmɔgɔya
high	jamanjan
highlight	ka faranfasiya
hi how are you	i ni ce, i ka kɛnɛ wa
hike	senataama
hiking	senataama
hilarious	yɛlɛko
hill	kulu
him	a
hint	taamasiyɛn
hips	tɔ̀gɔ
hip	tɔ̀gɔ
hire	ka ta baara la
hiring	tali
his	a
history	tariku
Hi there	ani ce yan
hit	ka bugɔ
Hmm	hum
hobby	dónnatɛmɛ
hold	ka minɛ
hold on	ka jɔ
hole	dingɛ
holiday	kɔnze
hollow	wo
home	so
homework	sokɔnɔbaara
honestly	sɛbɛ-sɛbɛ la
honest	sɛbɛ
Honey	Di
honor	bonya
hood	kapo
hook	nugunugu
hopefully	ni ala sɔn na
hope	jigi
hopeless	jigidan
hop	ka pan pan
horizontal	dalen
horn	biɲɛ
horrible	cojugu
horror	juguman
horse	so
hospital	dɔgɔtɔrɔso
hospitality	jatigiya
hostile	juguya
host	jatigi
hotel	lotɛli
hot	kalanman
hour	lɛrɛ
hours	lɛrɛw
household	somɔgɔw
house	so
how about you	i yɛrɛ dun
how are you doing	i ka kɛnɛ wa
how are you doing today	i ka kɛnɛ bi wa
how are you	i ka kɛnɛ wa
how are you today	i ka kɛnɛ bi wa
how	cogo di
how do you do	i ka kɛnɛ wa
however	nka
how is	a bɛ di
how many	joli
how much	joli
how often	siyɛ joli
how old are you	i ye san joli ye
how was your day	kow bɛ cogo di
how was your night	hɛrɛ sira wa
hubby	cɛ fɔlɔ
hub	sentiri
hug	dasun
huge	belebeleba
human	hadamaden
humble	maajigilen
humidity	sumaya
humid	nɛma
hundred	kɛmɛ
hungry	kɔngɔ
hunt	ka gɛ́n
hurricane	fólônkóto
hurry	teliya
hurry up	teliya
hurt	ka jogin
husband	furucɛ
hustle	mɛ̀sɛkɛmɛsɛkɛ
hut	bon
hygiene	saniya
I am fine	ne ka kɛnɛ
I am	n ye
I can	ne bɛ se
I can't	ne tɛ se
ice cream	kɛrɛmu galase
ice	galasi
idea	hakilina
ideal	ɲɛnaman
identical	kelen ye
identify	ka yira
identity	boyoro
idiot	naloma
idle	salen
I do	ne bɛ
I do not know	ne tɛ a dɔn
I do not understand	ne m'a faamuya
I don't know	ne t'a dɔn
I don’t know	ne tɛ a dɔn
I don't	ne tɛ
I don’t understand	ne m'a faamuya
I don't understand	N m'a faamu
I don't understand what you mean	Ne tɛ i kuman nin faamu
I don't understand you	ne m'a i faamuya
if	ni
ignore	ka na a dɔn
i guess	ne hakilila
I had	Ne tun ye...sɔrɔ
I have been	Ne tun ye
I have	ne bɛ
I hope so	Ne lannin b'a la
I know	n b'a dɔn
I like	ne bɛ a fɛ
I like you	i ko ka di ne ye
ill	bana
illegal	a ma daga
illness	bana
Ilocano	Ilokano
I love my big brother	ne bɛ n kɔrɔkɛ fɛ
I love my big sister	ne bɛ n kɔrɔmuso fɛ
I love my father	ne bɛ n fa fɛ
I love my little brother	ne bɛ n dɔgɔkɛ fɛ
I love my little sister	ne bɛ n dɔgɔmuso fɛ
I love my mother	ne bɛ n ba fɛ
I love	ne bɛ i fɛ
I love you	n b'i fɛ
I love you so much	n b'i fɛ kojugu
I love you too	ne fana bɛ i fɛ
image	ja
imagine	ka miri
I mean	ne ko
I'm fine	n ka kɛnɛ
I'm good	ne ka kɛnɛ
I'm here	Ne bɛ yan
I miss you	i ɲɛnafin bɛ n na
I miss you so much	i ɲɛnafinba de bɛ ne na
immediately	o yɔrɔnin bɛɛ
immediate	sisan sisan
immense	belebeleba
I’m	ne ye
I'm	n ye
impact	barikaya
impatient	basigibali
implement	ka lawaleya
important	nafama
import	ka ladon
impose	ka jagoya
impossible	abada
impression	yecogo
impressive	kabakoma
impress	ka lasonni kɛ
improve	ka fisaya
improvement	fisayali
I'm sorry	i fo
in addition	ani fana
inappropriate	ladamubali
incentive	kɔnɔnasuli
incident	kasara
include	ka fara kan
including	i n'a fɔ
income	sɔrɔ
inconvenience	kɔlɔlɔ
increased	layɛlɛlen
increase	ka caya
incredible	kabako
indeed	Kɔni
independent	yɛrɛmahɔrɔnya
India	Ɛndujamana
indicate	ka jira
indigenous	dugulen
individual	kelenaya
industry	ɛndisiri
I	Ne
inevitable	min tɛ se ka bali
In fact	o la sa
infant	den
infection	banayɛlɛma
infinity	ɛnfiniti
inflammation	jeninin
inflation	funun
influence	kɔnɔnasuruku
information	kunnafoni
inform	ka kunnafoniya
in front of	ɲɛfɛ
ingredients	nafɛnw
inheritance	ciyɛn
initial	daminɛ
initiative	hakilinan
injured	banalen
injury	joginli
in	kɔnɔ
innocent	jalakibali
innovation	inowasiyɔn
in order to	walasa ka
inquiry	ɲininkali
insane	hakilitan
insect	fɛnɲɛnama
insecure	lakanabali
insert	ka don
inside	kɔnɔ
insight	hakilina
insist	sinsin
insomnia	sùnɔgɔbaliya
inspiration	fangadilan
inspire	ka sama
install	ka sigi
instance	sanfɛ
instant	wagati
instead	no na
instead of	sani
instructions	cikanw
instrument	minɛn
insult	neni
insurance	asuransi
intact	a cogola
integrity	tilennenya
intellectual	mɔgɔ kalannen
intelligence	kegunya
intelligent	hakiliduman
intended	dabɔlen
intend	ka ŋaniya
intense	ka bon
intention	ŋaniya
interaction	kùnmafalen
interact	ka dalafalen kɛ
interested	nafaman
interesting	di
interest	nafa
interfere	ka sendon
intermediate	furancɛmɔgɔ
internal	kɔnɔna na
international	diɲɛfanbɛ
internship	baaradegin
interpreter	dalaminɛ
interpret	ka dalaminɛli kɛ
interrupt	ka bali
interview	kúmaɲɔgɔnya
intimate	bùlonkɔnɔsi
into	kɔnɔna
introduce	ka jira
introduction	daminɛ kuma
introvert	kɔnɔnamɔgɔ
intuition	sɔ̀mi
invalid	dagabali
invent	ka dilan
inventory	jatebɔ
investigate	ka fɛsɛfɛsɛ
invest	ka wari bɔ
invitation	weleli
invite	ka wele
invoice	fakitiri
involved	min sen bɛ a la
involve	ka sèndòn
iron	nɛgɛ
I see	ne ye a famu
island	gun
isolated	dogolen
issue	gɛlɛya
issues	gɛlɛyaw
is	ye
it	a
item	minɛn
items	minɛns
I think	ne hakilila
it is	o don
its	a
it's	a ye
it's ok	a ka ɲi
It's okay	a ka ɲi
it was	a tun ye
I understand	n y'a faamu
I want	ne bɛ a fɛ ka
I want to see you	ne b'a fɛ ka i ye
I want you	ne mago bɛ i la
I was	n tun
I will	ne bɛ na...
I would be	Ne tun ka kan ka kɛ
jacket	wɛsiti
jail	kaso
January	zanwuyekalo
jar	jifiɲɛn
jaw	dakala
jealous	kele
jerk	naloma
jewelry	masiri
job	baara
jogging	tagama
join	sɛgɛrɛ
joint	tuguda
joke	tulonkɛkuma
journalist	kunnafonidila
journey	taama
joy	nisɔndiya
judge	kiiritigɛla
juice	zi
july	zuluyekalo
jump	ka pan
june	zuwɛnkalo
junk	nɛgɛkolon
just	a bena
just do it	a kɛ dɔrɔn
justice	tílennenya
justify	ka lájɛya
Kalaallisut	Kalaallisut
keen	dusudiya
keep it up	taga a fɛ
keep	k'a mara
kept	maralen
kettle	tasale
key	kile
kick	ka tan
kid	baden
kidding	tulonkɛkuma
kidney	kɔ́mɔkìli
kids	denmisɛnw
kill	ka faga
kinda	cogodɔ la
kindly	yumanya
kindness	ɲumanya
kind	sugu
king	masakɛ
kiss	ka bizu kɛ
kitchen	kabugu
kite	sɛriwolan
kitten	jakumaden
knee	kunbere
knew	dɔnnen
knife	muru
knight	sobolila
know	ka dɔn
knowledge	dɔnniya
known	lakodonnen
Konkani	Konkani
Krio	Kriyo
label	tàamasiyɛn
labor	baarakɛbolo
labour	baara
lack	dɛsɛ
ladder	yɛlɛnyɛlɛnnan
lady	muso
laid	dalen
lake	dala
lamb	sagasogo
lame	lamu
lamp	lanpan
land	duguma
landscape	dugufɛrɛ
language	kan
lap	ka nɛmu
large	belebeleba
last but not least	sani laban cɛ
last	laban
last name	jamu
late	lɛrɛ kɔfɛ
lately	kɔsala ni na
later	kɔfɛ
latest	laban
latter	laban
laughing	yɛlɛli
laugh	ka yɛlɛ
laughter	yɛlɛkan
launch	daminɛ
laundry	finiko
lawn	gazɔn
law	sariya
lawyer	awoka
layer	lazɛri
lay	ka da
layout	labɛn cogo
lazy	salabaatɔ
leader	ɲɛmɔgɔ
lead	ka ɲɛminɛ
leaf	bulu
leak	cida
lean	ka jɛngɛn
leap	ka pan
learning	kalan
learn	ka kalan
lease	luwanse
least	laban
leather	wòlo
leave	ka taa
leaves	furabuluw
led	ka ɲɛminɛ
left	numan
legacy	tiɲɛ
legal	dagalen
legend	lezandi
legit	dagalen
leg	sen
leisure	ɲɛnajɛ
lend	ka singa
length	janya
less	dcnni
lesson	kalansen
let	ka to
letter	bataki
lettuce	salati
level	hakɛya
leverage	ka labila
liability	bólokanbila
library	gafekalanyɔrɔ
lick	ka nɛmu
lie	nkalon
lies	nkalonw
life	ɲɛnamaya
lift	ka lawili
lightning	yeelenmɛnɛ
light	yeelen
like	i n'a fɔ
likely	i n'a fɔ
likewise	o kelen
line	ci
Lingala	Lingala
link	ka tugu
lion	wara
liquid	jimafɛn
listening	lamɛnni
listen	ka lamɛn
list	lisi
literally	a kɔrɔ yɛrɛ
literature	gafesɛ bɛnnenw ani kumakan maralenw
litter	ɲaman
little	misɛn
live	ka balo
liver	biɲɛ
lives	balow
living	baloli
living room	salɔn
lizard	basa
load	doni
loaf	nbuurukun
loan	juru
local	dugulen
location	sigiyɔrɔ
lockdown	yɛrɛmabɔ
lock	ka sɔgɔ
log	jirikuru
lol	yɛlɛko
lonely	kelenna
long	jan
long time no see	a kɛla fama ye
look	ka filɛ
loop	bukulu
loose	bɔnɛ
lord	matigi
lose	ka tunun
loss	bɔnɛ
lost	tununi
lot	caman
loud	kɔsɛbɛ
lounge	tanuli
love	kanu
lovely	kanuya
love you	ne bɛ i fɛ
lower	ka lajigin
low	fɛ́gɛn
loyal	kantigi
loyalty	hɔ́rɔnya
luck	kunna
lucky	kunnaja
Luganda	Luganda
luggage	minɛn
lump	junkun
lunch	tilelafana
lungs	fogonfogon
luxury	fɛn cɛ ɲumanw
lying	kalontigɛ
machine	mansin
madam	madamu
made	dilan
mad	fatɔ
magazine	gafe
magnificent	cɛɲɛ
maid	baarakɛden
main	kunbaba
maintain	ka laminɛ
maintenance	labɛn
Maithili	Maytili
major	fanba
majority	faanba
make	keli
make up	makiyazi
male	cɛ
mall	kɛsu
manage	mara
management	mara kɛ cogo
manager	marabaga
man	cɛ
mandatory	waajibi
manifest	ka nisɔn jira kɛ
manipulate	ka kulonkɛ
manner	cogo
manual	min bɛ fɛn bolo la
many	caman
many many happy returns of the day	ka tile hɛrɛ caya
march	marisikalo
margin	danfara
market	sugu
marriage	furu
married	furulen
mask	masiki
massive	caman
mass	kulu
master	makɛ
match	takala
material	minɛ
mate	tɔɲɔgɔn
math	matematiki
matter	ko
maturity	baliguya
may	a bɛ se
maybe	a bɛ se ka kɛ
meal	dumuni
meaning	kɔrɔ
mean	kɔrɔ
means	fɛɛrɛw
meant	kɔrɔ ye
meanwhile	san ni
measure	ka suma
measures	fɛɛrɛw
meat	sogo
medical	furakɛli
medicine	fura
meditation	jatiminɛ
medium	hakɛ
meeting	ɲɔgɔnye
meet	ɲɔgɔn dalajɛ
Meiteilon	Meyteylon
melt	ka yeele
memories	hakili
memory	hakili
me	ne
mental	hakili
mentioned	tɔgɔ fɔlen
mention	ka ko fɔ
mentor	degebaga
merchant	feerekɛla
mercy	makari
merely	dama
merry christmas	sambɛ̀ sambɛ̀
message	bataki
mess	ka ɲagami
messy	ɲagamilen
metal	nɛgɛ
method	kɛcogo
me too	ne fana
mice	ɲinɛw
middle	cɛmancɛ
midnight	dugutila
might	a tun bɛ se
mild	bɛnɛ
milestone	fan nafaman
military	sɔrɔdasi
milk	nɔnɔ
million	miliyɔn
mind	olu
mindset	hakilina
mine	ne taa
mingle	ka ni don
minor	dɔgɔmani
minute	miniti
minutes	ɲɔgɔnyesɛbɛn
miracle	kabako
mirror	dugalen
miscellaneous	sugu caman
mischievous	kegunman
miserable	mìsikinɛ
misery	faantanya
missing	tununen
mission	ci
miss	ka jɛ̀
miss you	i ɲɛnafin bɛ ne na
mistake	hàkɛ
mist	bugun
Mizo	Mizo
mobile	telefɔni
mock	ka ɲagaribɔ
model	mɔdɛli
moderate	ka bɛrɛbɛn
modern	kura
modest	mɔgɔsɛbɛ
moist	ɲigin
moisture	bugun
mold	wugu
mole	muli
mom	ba
moment	wagati
monday	tɛnɛ
money	wari
monitor	degebaga
monkey	warabilen
month	kalo
mood	nisɔn
moody	nisɔnduma
moon	kalo
moral	hakili
more	caman
moreover	ani fana
morning	sɔgɔma
mortgage	sow
most	fanba
mostly	siyɛn caman na
mother	bamuso
motion	mosiyɔn
motivation	kun
mountain	kuluba
mouse	ɲinɛ
mouth	da
movement	yɛlɛmayɛlɛma
move	yɛlɛma
movie	filimu
mrs	madamu
much	caman
mud	bɔgɔ
mug	min filen
muscle	bu
museum	mize
mushroom	fiyenan
music	fɔli
must	kan
mute	bobo
mutual	fan fila ko
My dear	ne balima
my friend	ne teri
My hovercraft is full of eels	N ka ayerogilisɛri dugumana faalen bɛ sajɛgɛw la
my love	n jarabi
my	n
my name is	ne tɔgɔ ye
my pleasure	ne de wasala
myself	ne yɛrɛ
mysterious	gundo
mystery	gundo
myth	bisigiyako
nail	pɔnti
naive	duga
name	tɔ̀gɔ
narrative	lankaleli
narrow	dɔgɔman
nasty	juguma
nationality	jàmanadenya
national	jamaden
native	dugulen
natural	yɛrɛyɛrɛ
nature	kɛcogo
nausea	fɔɔnɔnege
nearby	kɛrɛ fɛ
near	kɛrɛ fɛ
nearly	sɔɔni dɔrɔn
neat	sanuyalen
necessary	kan
neck	kan
necklace	kannakɔnɔ
need	mago
negative	juguma
neglect	lèle
negotiate	ka tɛrɛmɛ
neighborhood	sigida
neighbor	sigiɲɔgɔn
neither	o fana tɛ
nephew	bɛnden
nerd	kegun
nervous	dimilen
nest	ɲaa
net	dafalen
network	erezo
neutral	kelenna
never	abada
never give up	ka na ban abada
never mind	kana i janto a la
nevermind	kana i janto nin na
nevertheless	o bɛɛ n'a ta
new	kura
news	kunnafoniw
next	nata
next to	a kɛrɛfɛ
nice	saraman
nice to meet you	i dɔnnin diyaran ye
niece	bɛndenmuso
nightmare	sugo jugu
night	su
nine	kɔnɔntɔn
nineteen	tan ni kɔnɔntɔn
ninety	bikɔnɔntɔn
No	Ayi
nobody	mɔgɔ si
noise	mankan
noisy	mankaman
none	foɲisi
noon	midi
nope	ayi
no problem	basi tɛ
normal	o ka kan
north	saheli
nor	.... wa
nose	nun
nostalgic	ɲɛnafin
not at all	fiyewu
not	ayi
not bad	a kaɲi
noted	a famuna
note	nɔti
nothing	foyi
noticed	kunnafoninen
notice	ka jateminɛ
Not now	Sisan tɛ
not yet	ma se fɔlɔ
nouns	tɔgɔw
noun	tɔgɔ
novel	kura
november	nowanburukalo
nowadays	bidonya
no way	abada
now	sisan
nuisance	tɔɔrɔli
null	fu
number	nimɔrɔ
numb	mùlukubagatɔ
nurse	furakɛla
nut	ekuru
nutmeg	misikadi kolo
nutrition	baloli
oath	kalilikan
obesity	bonyakojugu
obey	ka labato
objective	kuntilenna
object	minɛn
obligation	jagoya
obscure	dibilen
observation	jateminɛt
observe	ka jateminɛ
obsessed	ɲamajɔbaliya
obsession	fa
obsolete	datibanen
obstacle	kunbalan
obtained	sɔrɔla
obtain	ka sɔrɔ
obvious	jɛlen
obviously	tiɲɛ yɛrɛ la
occasionally	kuma ni kuma
occupation	baara
occupied	okipe
occur	ka kɛ
occurred	kɛla
occurs	kɛ
ocean	kɔgɔjiba
october	ɔkutɔburukalo
odd	dakɛnyɛbali
odds	garisigɛ
of course	Kɔsɛbɛ
offensive	bagama
offer	ka ni
office	biro
official	faama
off	k'a bɔ a la
of	ka
often	waati dɔ
Oh	Eeh
oh really	oh sɛbɛ la
oil	tulu
okay baby	ayiwa bb
okay	basi tɛ
okay dear	awɔ
okay honey	awɔ n jarabi
okay my love	Awɔ n jarabi
ok dear	ayiwa ne balima
ok honey	ayiwa ne jarabi
ok my love	awɔ ne jarabi
ok	n sɔnna
old	kɔrɔ
once	siɲɛ kelen
one	kelen
one language is never enough	kan kelen pe dɔrɔn tɛ labɔli kɛ fiyewu
onion	jaba
on	kan
online	bɔlɔlɔ san fɛ
only	dɔrɔn
open	ka dayɛlɛ
operation	opereli
opinion	hakilinan
opportunities	sɔrɔdaw
opportunity	kunnandiya
opposite	dɔwɛrɛ
optimistic	jigima
optional	wajibi tɛ
option	cogo
orange	lenburuba
order	ci
ordinary	gansan
organization	ɲɛnabɔli
orientation	ɲɛyirali
original	yɛrɛyɛrɛ
origin	bɔyɔrɔ
Oromo	Oromo
orphan	falatɔ
or	walima
other	dɔ wɛrɛ
otherwise	n'o tɛ
ought	kan ka
our	an
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	An ka baara : ka bɛɛ dɛmɛ fanbɛ walasa bɛɛ ka se ka diɲɛ famuya ani fana bɛɛ ka se ka i hakilina fɔ kanw bɛɛ la.
Our mission: to organize the world's information and make it universally accessible and useful.	An ka baara : ka diɲɛ kunnafoni labɛn ani ka a lasɔrɔli nɔgɔya bɛɛ ma.
outcome	jaabi
outfit	teni
outgoing	bɔ ta
out	kɛnɛma
outlet	bɔda
outline	ka fɛsɛ-fɛsɛ
outside	kɛnɛma
outstanding	kabakoma
oven	pɔli
over	a kan
overall	bakuruba
overcome	ka latɛmɛ
over there	yan
overthinking	miiriya ba
overwhelmed	faalen
overwhelming	ɲagamilen
owe	juru
owl	gingin
own	bɛ ... fɛ
owner	tigi
ox	misi
pace	táamasen
package	pake
pack	ka faraɲɔgɔn kan
paid	sara
pain	dimi
painting	pɛntirili
paint	pɛntiri
pair	fila
pale	jɛ́
palm	tɛgɛ
pandemic	bana
panic	siraɲɛ
pan	pɔli
pants	pantalɔn
paper	papiye
paradise	alijɛnɛ
parallel	kuntilenna kelen
parcel	du tɛrɛn
pardon	yafa
parents	mansaw
park	pariki
parrot	solo
parsley	pɛrisili
part	fan
participate	ka sendon
particular	kɛrɛnkɛrɛnlen
particularly	kɛrɛnkɛrɛnlenyala
partner	jɛɲɔgɔn
party	ɲɛnajɛ
passage	tɛmɛsira
passed	tɛmɛnen
passionate	fɛ
passion	jarabi
passive	tɛmɛta
pass	ka tɛmɛ
password	kɔdi
past	tɛmɛnen
patch	ka bari
pathetic	ɲɛ́manɔgɔ
path	sira
patience	muɲuli
patient	sabalilen
pattern	ɲɔgɔn
pause	ka jɔ
pavement	pawe
payment	sarali
pay	sara
peaceful	hɛrɛ ni baaden
peace	hɛrɛ
peach	mɔnni
peak	kùncɛ
pear	puwari
peas	siyɔ
peculiar	kɛrɛnkɛrɛnlen
peel	fara
pee	powari
peers	tɔɲɔgɔnw
peer	toɲɔgɔn
pencil	kiriyɔn
pending	makɔnɔlila
pen	sɛbɛnnikɛlan
people	jama
pepper	foronto
perceive	ka sɔrɔ
perception	yecogo
perfect	dafalen
performance	se
perform	ka baara
perhaps	lala
period	kuntaala
permanent	kudayi
permission	yamaruya
permit	yamaruya
perseverance	taaɲɛ
persistent	mɛta
personality	hadamadenya
personal	mɔgɔkelenko
person	mɔgɔ
perspective	síratigɛ
persuade	ka lasɔnni kɛ
pervert	fatɔ
pet	sokɔbagan misɛni
phase	kumasen
phenomenon	fɛnw
philosophy	filo
phone	telefɔni
photo	foto
phrase	kumasen
physical	fanga
pick	ka ta
pick up	ka a tɔmɔ
picture	ja
piece	kunkurun
pieces	kunkurunw
pigeon	beretugan
pig	lɛ
pile	sara
pillow	kunkɔrɔdonnan
pilot	pankurunbolila
pin	biɲɛ
pineapple	jàbibi
pink	bilenman
pitch	kɛnɛjɛ
pit	kɔ̀lɔn
pity	hinɛ
place	sigiyɔrɔ
places	sigiyɔrɔw
plague	bana
plain	kɛnɛjɛ
plane	awiyɔn
plan	fɛɛrɛ
plants	yiriw
plant	yiri
plate	asiyɛti
platform	bɔlɔlɔ kan
playing	tulon kɛ
play	tulon kɛ
pleasant	diya
pleased	diya
please	sabari
pleasure	diya
pledge	delili
plenty	caman
plot	bɛnbɛli
plug	kurantayɔrɔ
plumber	pulɔnbiye
plum	mandi
plural	cayalan
podcast	kan talen
poem	poyi
poetry	poyi sɛbɛn
point	bìɲɛ
poison	baga
police	polisi
policy	fɛɛrɛ
polite	ladamunɛn
pollution	cɛnnin
pond	ji dingɛ
pool	pisini
poop	ka bo kɛ
poor	faantan
pop	ka ci
popular	lakodonnen
population	jama
pork	lɛsogo
porridge	mɔni
port	pɔri
position	jɔyɔrɔ
positive	sɔnsira
possess	bɛ ... Bolo
possession	bolofɛn
possessive	tigiyalan
possible	bɛ se ka kɛ
postpone	ka bila kɔfɛ la
post	pɔsiti
potato	kɔmitɛrɛ
potential	ɲɛnama
pound	ka susu
poverty	faantanya
power	fanga
powerful	barikama
practical	nɔ̀gɔman
practice	degeli
praise	batoli
prank	dalabɔli
pray	ka seli
precious	nafama
precise	ka sɛbɛntiya
precisely	kɛrɛnkɛrɛnlenyala
predict	ka sini dɔn
preference	fisaya
prefer	ka fisaya
pregnant	kɔnɔma
prejudice	dankari
premises	yɔrɔw
premium	kalite fɔlɔ
preparation	labɛnli
prepared	labɛnlnen
prepare	ka labɛn
preposition	bilaɲɛ
