ا	a
كڬماران	favourite
تاكوت	fear
كندوري	feast
بولو	feather
چيري٢	feature
چيري٢	features
فيبرواري	february
مڽمڤه	fed up
يورن	fee
بري ماكن	feed
معلوم بالس	feedback
راس	feel
ڤراسان	feeling
كاكي	feet
جاتوه	fell
اڠڬوتا	fellow
راس	felt
ڤرمڤوان	female
ڤاڬر	fence
سوبور	fertile
ڤرايأن	festival
تڠكڤ	fetch
دمم	fever
سديكيت	few
لبيه سديكيت	fewer
تونڠ	fiance
فيكشن	fiction
ڤادڠ	field
ڬارڠ	fierce
ليما بلس	fifteen
ليما ڤولوه	fifty
برلاون	fight
برڬادوه	fighting
اڠك	figure
ممهمي	figure out
فايل	file
ايسي	fill
دايسي	filled
فيليم	film
كوتور	filthy
اخيرڽ	finally
كواڠن	finance
كواڠن	financial
چاري	find
مڠتاهوي	find out
باءيق	fine
هالوس	fine
جاري	finger
تمت	finish
سلساي	finished
اڤي	fire
فيرما	firm
ڤرتام	first
نام ڤرتام	first name
ايكن	fish
سسواي	fit
موات	fit
ليما	five
باءيقي	fix
تتڤ	fixed
بنديرا	flag
كيلت	flash
رات	flat
كچاچتن	flaw
سمڤورنا	flawless
ملاريكن ديري	flee
داڬيڠ	flesh
تربڠ	flew
لنتور	flex
فليكسيبل	flexible
ڤنربڠن	flight
ترباليقكن	flip
مڠورت	flirt
مڠڬود	flirting
تراڤوڠ	float
بنجير	flood
لنتاي	floor
تڤوڠ	flour
اليرن	flow
بوڠا	flower
سلسما	flu
فصيح	fluent
دڠن لنچر	fluently
ڬبو	fluffy
چچأير	fluid
تربڠ	fly
فوچوس	focus
كابوس	fog
بركابوس	foggy
ليڤت	fold
اورڠ راماي	folks
ايكوت	follow
سوسولن	follow up
مڠيكوتي	following
ماكنن	food
بودوه	fool
بودوه	foolish
كاكي	foot
بولا سيڤق	football
باڬي	for
اونتوق	for
سباڬاي چونتوه	For example
چونتوهڽ	for instance
اونتوق اوق	for you
دلارڠ	forbidden
كقواتن	force
ڤقسا	force
رملان	forecast
داهي	forehead
اسيڠ	foreign
هوتن	forest
سلاماڽ	forever
لوڤا	forget
معافكن	forgive
ترلوڤا	forgot
ڬرفو	fork
بورڠ	form
بنتوق	form
راسمي	formal
بكس	former
موجورله	fortunately
رزقي	fortune
امڤت ڤولوه	forty
امڤت ڤولوه دوا	forty-two
ك دڤن	forward
ممليهارا	foster
برڬادوه	fought
تله جومڤا	found
اساس	foundation
يايسن	foundation
امڤت	four
امڤت بلس	fourteen
موسڠ	fox
راڤوه	fragile
بيڠكاي	frame
راڠك كرجا	framework
ڤنيڤوان	fraud
انيه	freak
بيبس	free
كبيبسن	freedom
ممبكوكن	freeze
ككرڤن	frequency
كرڤ	frequent
كرڤ	frequently
سڬر	fresh
جمعة	friday
ڤتي ايس	fridge
كاون	friend
مسرا	friendly
كاون٢	friends
ڤرساهابتن	friendship
تاكو	frightened
مناكوتكن	frightening
كاتق	frog
دري	from
هادڤن	front
بكو	frozen
بواه بواهن	fruit
كچيوا	frustrated
باهن اڤي	fuel
فولفولد	Fulfulde
ڤنوه	full
سرونوك	fun
فوڠسي	function
اساس	fundamental
ڤڠبومين	funeral
كلاكر	funny
بولو	fur
ماره	furious
ڤرابوت	furniture
لبيه لنجوت	further
تمبهن لاڬي	furthermore
ماس دڤن	future
منچاڤأي	gain
ڤرماءينن	game
جارق	gap
ڬاراج	garage
سمڤه	garbage
تامن	garden
باوڠ ڤوتيه	garlic
ڤاڬر	gate
كومڤول	gather
ڤرهيمڤونن	gathering
تولوق	gauge
ممبري	gave
ڤرالاتن	gear
جنتينا	gender
عموم	general
سچارا عامڽ	generally
منجان	generate
ڬينراسي	generation
موره هاتي	generous
ڬينيوس	genius
ڬنري	genre
لمبوت	gentle
اصلي	genuine
عشارت	gesture
داڤت	get
برڤاكاين	get dressed
باڠون	get up
سموڬ چڤت سمبوه	get well soon
منداڤت	getting
هنتو	ghost
ڤنوليس هنتو	ghosting
ڬرڬسي	giant
هديه	gift
هليا	ginger
كانق٢ ڤرمڤوان	girl
تمن وانيتا	girlfriend
باڬي	give
ڤوتوس اسا	give up
دبري	given
شكور	glad
سڤينتس لالو	glance
كاچ	glass
چرمين مات	glasses
سكيلس	glimpse
ڬلوبال	global
سورم	gloomy
ساروڠ تاڠن	gloves
برسينر	glow
برچهاي	glow up
ڬم	glue
ڤرڬي	go
تروسكن	go ahead
ڤرڬي	go away
ڤرڬي تيدور	go to bed
متلامت	goal
متلامت	goals
كمبيڠ	goat
توهن	god
توهن مرحمتي كامو	god bless you
ڤرڬي	goes
سداڠ ڤرڬي	going
ڤرڬي ك	going to
امس	gold
هيلڠ	gone
اكن	gonna
لندير	goo
باءيق	good
سلامت تڠه هاري	good afternoon
سلامت تيڠڬل	good bye
هاري يڠ باءيق	good day
سلامت ڤتڠ	good evening
شباس	good job
كاچق	good looking
سموڬ برجاي	good luck
سلامت ڤاڬي	good morning
سلامت ڤاڬي سايڠكو	good morning my love
سلامت مالم	good night
سلامت تيڠڬل	goodbye
سلامت مالم	goodnight
بارڠ	goods
ڬوڬل	Google
ترجمهن ڬوڬل	Google Translate
اڠسا	goose
چنتيق	gorgeous
ڬوسيڤ	gossip
تله داڤت	got
ده داڤت	got it
كراجأن	government
منچكام	grab
ڬريد	grade
سچارا برنسور انسور	gradually
ڬرادوان	graduate
بيجيرين	grain
ڤمبرين	grant
دبري	granted
بواه اڠڬور	grapes
ڬيڠڬم	grasp
رومڤوت	grass
برشكور	grateful
برشكور	gratitude
قبور	grave
كلابو	gray
باڬوس	great
بسر	great
كتاماكن	greed
طمع	greedy
هيجاو	green
سلام	greet
سلام	greeting
سلام سجهترا	greetings
كلابو	grey
ڬريد	grid
كسدهن	grief
ڬيليڠ	grind
چڠكامن	grip
بارڠ رونچيت	grocery
ڤڠنتين للاكي	groom
جيجيق	gross
تانه	ground
كومڤولن	group
تومبوه	grow
ڤرتومبوهن	growth
ڤماره	grumpy
ڬواراني	Guarani
جامينن	guarantee
ڤڠاول	guard
تكا	guess
تتامو	guest
بيمبيڠن	guidance
ڤندو	guide
برساله	guilty
للاكي	guy
كاون	guys
ڬيمناسيوم	gym
طبيعة	habit
هابيتت	habitat
تله	had
هوجن باتو	hail
رمبوت	hair
سڤاروه	half
ديوان	hall
تاڠن	hand
مڠنداليكن	handle
سيڬق	handsome
ڬنتوڠ	hang
مليڤق	hang out
برلاكو	happen
برلاكو	happened
كڬمبيراان	happiness
ڬمبيرا	happy
سلامت هاري جادي	happy birthday
سلامت هاري لاهير بوات اوق	happy birthday to you
سلامت تاهون بارو	happy new year
سوسه	hard
كراس	hard
همڤير تيدق	hardly
جارڠ	hardly ever
مضرة	harm
ممضرتكن	harmful
كهرمونيان	harmony
كاسر	harsh
تواي	harvest
اد	has
بنچي	hate
ممڤوڽاءي	have
تله	have
سموڬ هاري اندا باءيق٢ سهاج	have a good day
نعمتي هاريمو	have a nice day
برسارڤن	have breakfast
برسرونوك	have fun
اوق ده ماكن	have you eaten
ممڤوڽاءي	having
بهاي	hazard
جربو	haze
دي	he
دي اد	he has
دي اداله	he is
كڤالا	head
ساكيت كڤالا	headache
راوت	heal
ڤڽمبوهن	healing
كصيحتن	health
صيحت	healthy
دڠر	hear
تله دڠر	heard
جنتوڠ	heart
هاب	heat
شرڬ	heaven
برت	heavy
سيبوق	hectic
تيڠڬي	height
واريث	heir
رومڤاكن	heist
داداكن	held
نراك	hell
هيلو	Hello
هيلو سايڠ	hello dear
هيلو اوق اڤا خبر	hello how are you
سلام اڤ خبر	hello how are you doing
توڤي كليدر	helmet
تولوڠ	help
برڬونا	helpful
جوسترو ايت	hence
دي	her
كاونن	herd
د سيني	here
واريثن	heritage
تراڬق٢	hesitate
هي	Hey
هاي	Hi
هاي اڤ خبر	hi how are you
هاي	Hi there
ترسمبوڽي	hidden
سمبوڽي	hide
هيايراركي	hierarchy
تيڠڬي	high
سوروتن	highlight
منداكي	hike
منداكي	hiking
لوچو	hilarious
بوكيت	hill
دي	him
ڤتاندا	hint
ڤيڠڬول	hip
ڤيڠڬول	hips
اوڤه	hire
ڤڠامبيلن ڤكرجا	hiring
دي	his
سجاره	history
ڤوكول	hit
هوبي	hobby
ڤڬڠ	hold
تاهن	hold on
لوبڠ	hole
برچوتي	holiday
برلوبڠ	hollow
رومه	home
كرجا رومه	homework
جوجور	honest
سچارا جوجور	honestly
مادو	Honey
سايڠ	Honey
ڤڠحرمتن	honor
ڤنوتوڤ	hood
چڠكوك	hook
لومڤت	hop
هارڤن	hope
موده مودهن	hopefully
ڤوتوس اسا	hopeless
منداتر	horizontal
تندوق	horn
ڠري	horrible
سرم	horror
كود	horse
هوسڤيتل	hospital
لاينن مسرا	hospitality
ڤڠنجور	host
مموسوهي	hostile
ڤانس	hot
هوتيل	hotel
جم	hour
برجم٢	hours
رومه	house
رومهتڠڬ	household
باڬايمانا	how
باڬايمانا ڤولا دڠن اندا	how about you
اوق اڤ خبر	how are you
باڬايمانا كادأن اوق	how are you doing
اوق اڤ خبر هاري اين	how are you doing today
اڤ خبر هاري اين	how are you today
اوق اڤ خبر	how do you do
باڬايمانا	how is
براڤ باڽق	how many
براڤكه	how much
براڤ كرڤ	how often
براڤكه عمور اوق	how old are you
باڬايمانا هاريمو	how was your day
باڬايمانا مالم اندا	how was your night
باڬايماناڤون	however
هاب	hub
هوببي	hubby
ڤلوق	hug
بسر	huge
مأنسي	human
رنده ديري	humble
لمبڤ	humid
كلمباڤن	humidity
راتوس	hundred
لاڤر	hungry
ڤربوروان	hunt
تاوفن	hurricane
سڬرا	hurry
چڤتله	hurry up
ساكيت	hurt
سوامي	husband
ترڬسا٢	hustle
ڤوندوق	hut
كبرسيهن	hygiene
ا	I
ساي	I am
ساي صيحت	I am fine
ساي بوليه	I can
ساي تيدق بوليه	I can't
ساي سودي	I do
ساي تيدق تاهو	I do not know
ساي تيدق فهم	I do not understand
ساي تيدق	I don't
ساي تيدق تاهو	I don't know
ساي تق فهم	I don't understand
ساي تيدق فهم اڤ يڠ اوق مقصودكن	I don't understand what you mean
ساي تق فهم اوق	I don't understand you
ساي تيدق تاهو	I don’t know
ساي تق فهم	I don’t understand
ساي اڬق	i guess
ساي تله	I had
ساي اد	I have
ساي تله	I have been
ساي هارڤ بڬيتو	I hope so
ساي تاهو	I know
ساي سوك	I like
ساي سوك اوق	I like you
ساي چينتا	I love
ساي سايڠ ابڠ ساي	I love my big brother
ساي سايڠ كاكق ساي	I love my big sister
ساي سايڠ ايه ساي	I love my father
ساي سايڠكن اديق للاكي ساي	I love my little brother
ساي سايڠكن اديق ڤرمڤوان ساي	I love my little sister
ساي سايڠكن ايبو ساي	I love my mother
ساي چينتاكن اوق	I love you
ساي سايڠ اوق	I love you
ساي ساڠت سايڠكن اوق	I love you so much
ساي جوڬ سايڠ اوق	I love you too
مقصود ساي	I mean
ساي ريندوكن اوق	I miss you
ساي ساڠت ريندوكن اوق	I miss you so much
ساي ليهت	I see
ساي فيكير	I think
ساي فهم	I understand
ساي ماهو	I want
ساي نق جومڤا اوق	I want to see you
ساي نق اوق	I want you
ساي تله	I was
ساي اكن	I will
ساي اكن	I would be
ساي	I'm
ساي باءيق	I'm fine
ساي باءيق	I'm good
ساي د سيني	I'm here
ساي مينتا معاف	I'm sorry
ايس	ice
ايس كريم	ice cream
ايديا	idea
ايديال	ideal
سام	identical
كنل ڤستي	identify
ايدينتيتي	identity
بودوه	idiot
تيدق اكتيف	idle
جك	if
ابايكن	ignore
ساكيت	ill
حرام	illegal
ڤڽاكيت	illness
الوكنو	Ilocano
ڬمبر	image
بايڠكن	imagine
سرتا مرتا	immediate
سڬرا	immediately
بسر سكالي	immense
كسن	impact
تيدق صبر	impatient
مڠواتكواسكن	implement
ايمڤورت	import
ڤنتيڠ	important
مڠناكن	impose
مستحيل	impossible
مناريق ڤرهاتين	impress
تڠڬڤن	impression
مڠاڬومكن	impressive
تمبه باءيق	improve
ڤنمبهباءيقن	improvement
دالم	in
سباڬاي تمبهن	in addition
سبنرڽ	In fact
د هادڤن	in front of
اونتوق	in order to
تيدق سسواي	inappropriate
اينسنتيف	incentive
كجادين	incident
ترماسوق	include
ترماسوق	including
ڤنداڤتن	income
كتيدقسليسأن	inconvenience
ڤرتمبهن	increase
منيڠكت	increased
هيبت	incredible
ميمڠ	indeed
برديكاري	independent
اينديا	India
ڤتاندا	indicate
اورڠ اصلي	indigenous
ماسيڠ٢	individual
ايندوستري	industry
تيدق بوليه دايلق	inevitable
بايي	infant
جڠكيتن	infection
ينفينيتي	infinity
كراداڠن	inflammation
ينفلسا	inflation
ڤڠاروه	influence
معلومكن	inform
معلومت	information
باهن٢	ingredients
هرتا ڤوساك	inheritance
ڤرمولأن	initial
اينسياتيف	initiative
ترچدرا	injured
كچدرأن	injury
تيدق برساله	innocent
اينوۏاسي	innovation
ڤرتاڽان	inquiry
ڬيلا	insane
سراڠڬ	insect
راس تيدق سلامت	insecure
ماسوقكن	insert
د دالم	inside
واوسن	insight
منڬسكن	insist
اينسومنيا	insomnia
اينسڤيرسي	inspiration
ممبري اينسڤيرسي	inspire
ڤاسڠ	install
چونتوه	instance
سڬرا	instant
لبيه باءيق	instead
سباڬاي ڬنتي	instead of
ارهن	instructions
الت	instrument
مڠهينا	insult
انشورانس	insurance
اوتوه	intact
اينتڬريتي	integrity
اينتليكتوال	intellectual
كچرداسن	intelligence
چرديق	intelligent
برنية	intend
دمقصودكن	intended
تڬڠ	intense
حسرت	intention
براينتركسي	interact
اينتركسي	interaction
مينت	interest
برمينت	interested
مناريق	interesting
چمڤور تاڠن	interfere
ڤرتڠهن	intermediate
دالمن	internal
انتارابڠسا	international
لاتيهن عملي	internship
منتفسير	interpret
جوروبهاس	interpreter
مڽمڤوك	interrupt
تمودوڬ	interview
اينتيم	intimate
ك دالم	into
ڤركنلكن	introduce
ڤڠنلن	introduction
اينتروۏرت	introvert
ڬرق هاتي	intuition
تيدق سه	invalid
منچيڤتا	invent
ينۏينتوري	inventory
ملابور	invest
مڽياسات	investigate
جمڤوتن	invitation
جمڤوت	invite
ينۏويس	invoice
ترليبت	involve
ترليبت	involved
بسي	iron
اداله	is
ڤولاو	island
ترڤنچيل	isolated
ايسو	issue
ايسو٢	issues
اداله	it
اي	it
اي اداله	it is
اي اداله	it was
اي اداله	it's
تيدق مڠاڤ	it's ok
تق اڤ	It's okay
ايتم	item
بارڠ	items
اي اداله	its
ساي	I’m
جاكيت	jacket
ڤنجارا	jail
جانواري	January
بالڠ	jar
رهنڬ	jaw
چمبورو	jealous
ترسنتق	jerk
بارڠ كمس	jewelry
ڤكرجأن	job
برجوڬيڠ	jogging
سرتاي	join
سندي	joint
جناك	joke
ورتاون	journalist
ڤرجالنن	journey
كڬمبيراءن	joy
حاكيم	judge
جوس	juice
جولاي	july
ملومڤت	jump
جون	june
سمڤه	junk
هاڽ	just
بارو	just
بوات سهاج	just do it
كعاديلن	justice
جوستيفيكاسي	justify
كلاليسوت	Kalaallisut
تاجم	keen
جاڬ	keep
تروسكن	keep it up
دسيمڤن	kept
چريق	kettle
كونچي	key
تندڠ	kick
انق	kid
برڬوراو	kidding
بواه ڤيڠڬڠ	kidney
كانق٢	kids
بونوه	kill
باءيق	kind
اڬق	kinda
دڠن باءيق هاتي	kindly
كبايكن	kindness
راج	king
چيومن	kiss
داڤور	kitchen
لايڠ٢	kite
انق كوچيڠ	kitten
لوتوت	knee
تاهو	knew
ڤيساو	knife
كستريا	knight
تاهو	know
ڤڠتاهوان	knowledge
دكتاهوي	known
كونكاني	Konkani
كريو	Krio
لابيل	label
بوروه	labor
بوروه	labour
كورڠ	lack
تڠڬ	ladder
وانيتا	lady
دلتقكن	laid
تاسيق	lake
بيري٢	lamb
لمه	lame
لمڤو	lamp
تانه	land
لندسكاڤ	landscape
بهاس	language
ڤوسيڠن	lap
بسر	large
تراخير	last
برتاهن	last
اخير سكالي	last but not least
نام تراخير	last name
لمبت	late
كبلاكڠن اين	lately
كمودين	later
تركيني	latest
يڠ تراخير	latter
كتاوا	laugh
كتاوا	laughing
ڬلق كتاوا	laughter
ڤلنچاران	launch
چوچين	laundry
اوندڠ٢	law
لامن	lawn
ڤڬوام	lawyer
لتق	lay
لاڤيسن	layer
سوسون اتور	layout
مالس	lazy
مميمڤين	lead
كتوا	leader
داون	leaf
بوچور	leak
مڽاندار	lean
لومڤت	leap
بلاجر	learn
ڤمبلاجرن	learning
ڤاجكن	lease
ڤاليڠ كورڠ	least
كوليت	leather
منيڠڬلكن	leave
چوتي	leave
داون٢	leaves
دڤيمڤين	led
كيري	left
كاكي	leg
ليڬسي	legacy
اوندڠ٢	legal
لاڬيندا	legend
سه	legit
سنتاي	leisure
ڤينجم	lend
ڤنجڠ	length
كورڠ	less
ڤلاجرن	lesson
بياركن	let
سورت	letter
سالد	lettuce
تاهڤ	level
ڤڠاروه	leverage
ببنن	liability
ڤرڤوستاكان	library
منجيلت	lick
تيڤو	lie
ڤمبوهوڠن	lies
ڽاوا	life
ليف	lift
اڠكت	lift
چهاي ريڠن	light
كيلت	lightning
سوك	like
بركموڠكينن	likely
بڬيتو جوڬ	likewise
باريسن	line
ليڠالا	Lingala
ڤاوتن	link
سيڠا	lion
چچأير	liquid
سناراي	list
دڠر	listen
مندڠر	listening
سچارا ليتيرال	literally
كسوسسترأن	literature
سمڤه	litter
سيكيت	little
هيدوڤ	live
هاتي	liver
ڽاوا	lives
هيدوڤ	living
رواڠ تامو	living room
چيچق	lizard
ممواتكن	load
سبوكو روتي	loaf
ڤينجمن	loan
تمڤتن	local
لوكاسي	location
كونچي	lock
ڤنوتوڤن	lockdown
لوڬ	log
برسنديرين	lonely
ڤنجڠ	long
لاما تق جومڤا	long time no see
ليهت	look
ليڠكرن	loop
لوڠڬر	loose
توان	lord
كاله	lose
كروڬيان	loss
سست	lost
هيلڠ	lost
باڽق	lot
لوت	lot
لنتڠ	loud
رواڠ ريحت	lounge
چينتا	love
سايڠ	love
سايڠ اوق	love you
اينده	lovely
چنتيق	lovely
باوه	low
لبيه رنده	lower
ستيا	loyal
كستياان	loyalty
نصيب باءيق	luck
برتواه	lucky
لوڬندا	Luganda
باڬسي	luggage
كتولن	lump
ماكن تڠه هاري	lunch
ڤارو٢	lungs
كميواهن	luxury
منيڤو	lying
ميسين	machine
ڬيلا	mad
ماره	mad
ڤوان	madam
تله دبوات	made
مجله	magazine
هيبت	magnificent
اورڠ ڬاجي	maid
اوتام	main
ممڤرتاهنكن	maintain
ڤڽڠڬارأن	maintenance
مايثيلي	Maithili
بسر	major
ماجوريتي	majority
بوات	make
ميكاڤ	make up
ملايو	Malay
للاكي	male
ڤوست بلي بله	mall
للاكي	man
مڠوروس	manage
ڤڠوروسن	management
ڤڠوروس	manager
واجب	mandatory
ڽات	manifest
ممانيڤولاسي	manipulate
ڤريلاكو	manner
مانوال	manual
باڽق	many
سموڬ هاري جادي اوق داتڠ لاڬي اكن داتڠ سوڤاي اوق داڤت راس ڬمبيرا لاڬي	many many happy returns of the day
ڤراراكن	march
مرڬين	margin
ڤاسرن	market
ڤركهوينن	marriage
تله بركهوين	married
توڤيڠ	mask
برت	mass
بسر بسرن	massive
ڤاكر	master
سسواي	match
ڤرلاونن	match
ڤاسڠن	mate
باهن	material
ماتماتيك	math
ڤركارا	matter
كماتاڠن	maturity
بوليه جادي	may
موڠكين	maybe
ساي	me
ساي جوڬ	me too
هيدڠن	meal
ظاليم	mean
مقصود	mean
مقصود	meaning
چارا	means
دمقصودكن	meant
سمنتارا ايت	meanwhile
اوكور	measure
لڠكه٢	measures
داڬيڠ	meat
ڤروبتن	medical
اوبت	medicine
ميديتاسي	meditation
سدرهان	medium
جومڤا	meet
مشوارت	meeting
ميتيلون	Meiteilon
چاير	melt
كنڠن	memories
ايڠتن	memory
مينتل	mental
سبوت	mention
دسبوتكن	mentioned
منتور	mentor
ڤنياڬ	merchant
بلس كاسيهن	mercy
سمات مات	merely
سلامت هاري ناتل	merry christmas
برسيڤه٢	mess
ميسيج	message
برسيڤه	messy
لوڬم	metal
قاعده	method
تيكوس	mice
تڠه	middle
تڠه مالم	midnight
موڠكين	might
اڬق لمه	mild
ڤنچڤاين	milestone
تنترا	military
سوسو	milk
جوت	million
ميندا	mind
ڤميكيرن	mindset
ميليق ساي	mine
برڬاول	mingle
كچيل	minor
سديكيت	minor
مينيت	minute
مينيت	minutes
كعجاءيبن	miracle
چرمين	mirror
ماچم٢	miscellaneous
ناكل	mischievous
سڠسارا	miserable
كسڠساراان	misery
ترلڤس	miss
ريندو اوق	miss you
هيلڠ	missing
ميسي	mission
كابوس	mist
كسيلاڤن	mistake
ميزو	Mizo
موده اليه	mobile
مڠجيك	mock
موديل	model
برڤاتوتن	moderate
مودن	modern
سدرهان	modest
لمباب	moist
لمباڤن	moisture
اچوان	mold
تاهي لالت	mole
ايبو	mom
سكتيكا	moment
اثنين	monday
دويت	money
ڤانتاو	monitor
موڽيت	monkey
بولن	month
كادأن	mood
موروڠ	moody
بولن	moon
اخلاق	moral
لبيه	more
لبيه٢ لاڬي	moreover
ڤاڬي	morning
چاڬر	mortgage
كبڽقان	most
كبڽقنڽ	mostly
امق	mother
ايبو	mother
ڬرقن	motion
موتيۏاسي	motivation
ڬونوڠ	mountain
تيكوس	mouse
مولوت	mouth
اليه	move
ڤرڬرقن	movement
فيليم	movie
ڤوان	mrs
باڽق	much
لومڤور	mud
موڬ	mug
اوتوت	muscle
موزيوم	museum
چنداون	mushroom
موزيك	music
مستي	must
بيسو	mute
ساليڠ	mutual
كو	my
ساي	my
سايڠكو	My dear
كاون ساي	my friend
هوۏركراف ساي ڤنوه دڠن بلوت	My hovercraft is full of eels
سايڠكو	my love
چينتاكو	my love
نام ساي اداله	my name is
دڠن سنڠ هاتي	my pleasure
ديري سنديري	myself
ميستري	mysterious
ميستري	mystery
ميتوس	myth
ڤقاو	nail
ناءيف	naive
نام	name
ناراتيف	narrative
سمڤيت	narrow
جيليق	nasty
ناسيونل	national
كورڬنڬارأن	nationality
اصلي	native
سمولا جادي	natural
عالم سمولاجادي	nature
لويا	nausea
دكت	near
بردكتن	nearby
همڤير	nearly
كمس	neat
كمستيان	necessary
ليهير	neck
رنتاي ليهير	necklace
ڤرلو	need
نڬاتيۏ	negative
ڤڠابايان	neglect
برونديڠ	negotiate
جيرن	neighbor
كجيرانن	neighborhood
كدوا دواڽ تيدق	neither
انق ساودارا	nephew
اولت بوكو	nerd
ڬيمينتر	nervous
سارڠ	nest
جاريڠ	net
راڠكين	network
نيوترل	neutral
تيدق ڤرنه	never
جاڠن برڤوتوس اسا	never give up
تيدق مڠاڤ	never mind
تيدق مڠاڤ	nevermind
باڬايماناڤون	nevertheless
بارو	new
بريتا	news
ستروسڽ	next
سبله	next to
باءيق	nice
با	nice
سلامت بركنلن	nice to meet you
انق سدارا	niece
مالم	night
ميمڤي ڠري	nightmare
سمبيلن	nine
سمبيلن بلس	nineteen
سمبيلن ڤولوه	ninety
تيدق	No
تياد مسئله	no problem
تيدق موڠكين	no way
تياد سياڤا	nobody
بيسيڠ	noise
بيسيڠ	noisy
تيادا	none
تڠه هاري	noon
تيدق	nope
ماهوڤون	nor
بياسا	normal
اوتارا	north
هيدوڠ	nose
نوستلڬيا	nostalgic
بوكن	not
تيدق سام سكالي	not at all
بوليه تاهن	not bad
بوكن سكارڠ	Not now
بلوم لاڬي	not yet
نوتا	note
ترچاتت	noted
تياد	nothing
كوسوڠ	nothing
ڤراسن	notice
ڤراسن	noticed
كات نام	noun
كات نام	nouns
نوۏيل	novel
نوۏيمبر	november
سكارڠ	now
ڤد ماس كيني	nowadays
ڬڠڬوان	nuisance
بطل	null
كبس	numb
نومبور	number
جوروراوت	nurse
كاچڠ	nut
بواه ڤال	nutmeg
ڤماكانن	nutrition
سومڤه	oath
اوبسيتي	obesity
ڤاتوه	obey
اوبجك	object
أوبجيكتيف	objective
تڠڬوڠجواب	obligation
كابور	obscure
ڤمرهاتين	observation
ممرهاتي	observe
اوبسسس	obsessed
كتعسوبن	obsession
كتيڠڬالن زمان	obsolete
هالڠن	obstacle
منداڤتكن	obtain
دڤراوليهي	obtained
جلس	obvious
ترڠ٢	obviously
كادڠ٢	occasionally
ڤكرجأن	occupation
ددودوكي	occupied
مونچول	occur
برلاكو	occurred
برلاكو	occurs
لاوت	ocean
اوكتوبر	october
ڬنجيل	odd
كموڠكينن	odds
د	of
دري	of
مستيله	of course
توتوڤ	off
مڽاكيتكن هاتي	offensive
تاورن	offer
ڤجابت	office
راسمي	official
سلالو	often
اوه	Oh
اوه سوڠڬوه	oh really
ميڽق	oil
اوكي	ok
اوق سايڠ	ok dear
باءيقله سايڠ	ok honey
باءيق سايڠكو	ok my love
اوكي	okay
باءيقله سايڠ	okay baby
باءيق سايڠ	okay dear
باءيقله سايڠ	okay honey
باءيقله سايڠكو	okay my love
توا	old
اتس	on
تنتڠ	on
سبايق سهاج	once
سكالي	once
ساتو	one
ساتو بهاس تيدق ڤرنه چوكوڤ	one language is never enough
باوڠ بسر	onion
دالم تالين	online
سهاج	only
بوك	open
اوڤراسي	operation
ڤنداڤت	opinion
ڤلواڠ	opportunities
ڤلواڠ	opportunity
برلاونن	opposite
اوڤتيميستيچ	optimistic
ڤيليهن	option
ڤيليهن	optional
اتاو	or
اورين	orange
ڤسانن	order
اره	order
بياسا	ordinary
اورڬانيساسي	organization
اوريانتاسي	orientation
اصل اصول	origin
اصل	original
اورومو	Oromo
يتيم ڤياتو	orphan
سلاين	other
چوما	otherwise
سڤاتوتڽ	ought
كامي	our
ميسي كامي: اونتوق ممبوليهكن سموا اورڠ، د مان مان سهاج ممهمي دنيا اين دان مڠك سڤريسيكن ديري مريك مرنتسي بهاس.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
ميسي كامي: اونتوق مڽوسون معلومت د دنيا دان منجاديكنڽ برمنفعة دان بوليه دأكسس سچارا مڽلوروه	Our mission: to organize the world's information and make it universally accessible and useful.
لوار	out
حاصيل	outcome
ڤاكاين	outfit
كلوار	outgoing
كداي	outlet
ڬاريس بسر	outline
د لوار	outside
چمرلڠ	outstanding
كتوهر	oven
د اتس	over
د سان	over there
كسلوروهن	overall
مڠاتسي	overcome
ترلالو برفيكير	overthinking
مڠالهكن	overwhelmed
لوار بياسا	overwhelming
هوتڠ	owe
بوروڠ هنتو	owl
سنديري	own
ڤميليك	owner
لمبو	ox
لڠكه	pace
بوڠكوس	pack
ڤاكيج	package
باير	paid
ساكيت	pain
مورنا	paint
ملوكيس	painting
سيڤسڠ	pair
ڤوچت	pale
تاڤق تاڠن	palm
ڤن	pan
ڤندميچ	pandemic
ڤنيق	panic
سلوار	pants
كرتس	paper
شرڬ	paradise
سلاري	parallel
بوڠكوسن	parcel
معافكن	pardon
ايبو باڤ	parents
تامن	park
بوروڠ نوري	parrot
داون ڤاسلي	parsley
بهاڬين	part
مڽرتاي	participate
بوتيرن	particular
تراوتامڽ	particularly
ڤاسڠن	partner
ڤيستا	party
لولوس لالو	pass
لالوان	passage
لولوس	passed
مينت	passion
برسماڠت	passionate
ڤاسيف	passive
كات لالوان	password
لڤس	past
تمڤلن	patch
جالن	path
مڽديهكن	pathetic
كصبرن	patience
صبر	patient
ڤساكيت	patient
چورق	pattern
جيد	pause
كاكي ليما	pavement
باير	pay
بايرن	payment
امان	peace
امان داماي	peaceful
ڤيچ	peach
ڤونچق	peak
بواه ڤير	pear
كاچڠ ڤولوڠ	peas
ڤليق	peculiar
كنچيڠ	pee
كوڤس	peel
راكن سبايا	peer
راكن سبايا	peers
ڤين	pen
ڤينسيل	pencil
ترتڠڬوه	pending
اورڠ	people
لادا سوله	pepper
نمڤق	perceive
ڤرسيڤسي	perception
