एको	a
अनिद्रा	insomnia
प्रेरणा	inspiration
लगानाइ	install
उदाहरण	instance
तुरन्ते	instant
निर्देश	instructions
यंत्र	instrument
अपमान	insult
बीमा	insurance
अछूता	intact
ईमानदारी	integrity
बुद्धिजीवी	intellectual
बुद्धि	intelligence
बुद्धिमान	intelligent
अभीष्ट	intended
तीव्र	intense
आशय	intention
मेलजोल	interact
अन्तःक्रिया	interaction
सूद	interest
इच्छुक	interested
मनभावक	interesting
भीतरक	internal
अंतरराष्ट्रीय	international
इंटर्नशिप	internship
अनुवादक	interpreter
साक्षात्कार	interview
में	into
परिचय	introduce
परिचय	introduction
अंतर्मुखी	introvert
अमान्य	invalid
निबेस	invest
निमंत्रण	invitation
आमंत्रण	invite
सम्मिलित	involve
सम्मिलित	involved
लोहा	iron
अछि	is
टापू	island
मुद्दा	issue
मुद्दा	issues
ई	it
वस्तु	item
एकर	its
जैकेट	jacket
जेल	jail
जनवरी	January
बोतल	jar
जबडा	jaw
जलनखोर	jealous
झटका	jerk
आभूषण	jewelry
चाकरी	job
जुड़िजाय	join
संयुक्त	joint
चुटकुला	joke
पत्रकार	journalist
यात्रा	journey
खुशी	joy
न्यायाधीश	judge
रस	juice
जुलाई	july
कूदनाइ	jump
जून	june
कचरा	junk
न्याय	justice
न्यायसंगत	justify
कलाल्लिसुत	Kalaallisut
संबंधी	keen
राखू	keep
रखल	kept
केटली	kettle
चाबी	key
नेना	kid
मजाक	kidding
गुर्दा	kidney
प्रकार	kind
सहृदय	kindly
दयाभाव	kindness
राजा	king
चुम्मा	kiss
पतंग	kite
ठेहुन	knee
चक्कू	knife
शूरवीर	knight
बुझू	know
ज्ञान	knowledge
ज्ञात	known
कोंकणी	Konkani
क्रियो	Krio
नाम-पत्र	label
मजदूर	labor
मजदूर	labour
अभाव	lack
सीढ़ी	ladder
माउगी	lady
झील	lake
लांगड़	lame
लालटेन	lamp
जमीन	land
परिदृश्य	landscape
भाषा	language
कोरा	lap
नमहर	large
अंतिम	last
उपनाम	last name
देरी	late
नवीनतम	latest
हंसी	laugh
हंसनाइ	laughing
हंसी	laughter
शुरू	launch
कानून	law
वकील	lawyer
परत	layer
नक्शा	layout
सुस्त	lazy
अगुवाई	lead
नेता	leader
पत्ती	leaf
झुकल	lean
कुदनाइ	leap
सीखू	learn
अधिगम	learning
पट्टा	lease
चमड़ा	leather
छुट्टी	leave
पत्ती	leaves
सीसा	led
बामा	left
पएर	leg
विरासत	legacy
कानूनी	legal
किंवदंती	legend
कानूनी	legit
आराम	leisure
लंबाई	length
कम	less
अध्याय	lesson
पत्र	letter
पत्तीदार	lettuce
दर्जा	level
लाभ	leverage
देनदारी	liability
पुस्तकालय	library
चाटनाइ	lick
झूठ	lie
सुताल	lies
जीवन	life
उठाउ	lift
हल्लुक	light
पसिन	like
उपयुक्त	likely
ओनहिये	likewise
पंक्ति	line
लिंगाला	Lingala
सम्बन्ध	link
शेर	lion
तरल	liquid
सूची	list
सुनू	listen
सुननाइ	listening
अक्षरसः	literally
साहित्य	literature
कूड़ा-करकट	litter
कम	little
कजेला	liver
रहनाइ	living
टिकटिकीया	lizard
बोझा	load
कर्जा	loan
स्थानीय	local
स्थान	location
ताला	lock
तालाबंदी	lockdown
तना	log
लोल	lol
एकाकी	lonely
लंबा	long
देखू	look
फांस	loop
ढ़िल	loose
भगवान्	lord
नुकसान	lose
हानि	loss
खूब	lot
बरामदा	lounge
प्रेम	love
सुन्दर	lovely
कम	low
स्वामीभक्त	loyal
निष्ठा	loyalty
भाग्य	luck
भाग्यशाली	lucky
लुगांडा	Luganda
समान	luggage
गांठ	lump
आलीशान	luxury
पड़ल	lying
मसीन	machine
पागल	mad
महोदया	madam
पत्रिका	magazine
शानदार	magnificent
परिचारिका	maid
मुख्य	main
रखरखाव	maintenance
मैथिली	Maithili
प्रमुख	major
बहुमत	majority
बनाउ	make
पुरुष	male
मॉल	mall
व्यक्ति	man
प्रबंध	manage
प्रबंधन	management
प्रबंधक	manager
जरूरी	mandatory
घोषणापत्र	manifest
तरीका	manner
जुलुस	march
हाशिया	margin
बाजार	market
बिहा	marriage
विवाहित	married
मुखौटा	mask
सामूहिक	mass
ठोस	massive
स्वामी	master
मिलान	match
मित्र	mate
सामग्री	material
गणित	math
मामला	matter
परिपक्वता	maturity
सकत	may
संभवतः	maybe
हम	me
भोजन	meal
मतलब	mean
मतलब	meaning
साधन	means
मतलब	meant
नाप	measure
मांस	meat
मेडिकल	medical
दवाइ	medicine
ध्यान-समाधि	meditation
माध्यम	medium
बैसार	meeting
मैतैलोन	Meiteilon
पिघलल	melt
यादसभ	memories
खेआल	memory
पागल	mental
उल्लेख	mention
उल्लिखित	mentioned
उस्ताद	mentor
दोकनदार	merchant
दया	mercy
गड़बड़	mess
संदेश	message
अव्यवस्थित	messy
धात्तु	metal
तरीका	method
हमहूं	me too
मूस	mice
मध्य	middle
आधा-राति	midnight
सक	might
मृदु	mild
सेना	military
दूध	milk
मोन	mind
मानसिकता	mindset
हमर	mine
मिलनाइ	mingle
छोट	minor
मिनट	minute
मिनट	minutes
चमत्कार	miracle
आईना	mirror
मिलल-झुलल	miscellaneous
दुष्ट	mischievous
कष्टप्रद	miserable
कष्ट	misery
चूक	miss
हेरायल	missing
लक्ष्य	mission
कोहरा	mist
गलती	mistake
मिजो	Mizo
मोबाइल	mobile
देखावटी	mock
आदर्श	model
उदारवादी	moderate
आधुनिक	modern
मामूली	modest
भीगल	moist
नमी	moisture
तिल	mole
मां	mom
क्षण	moment
सोमदिन	monday
रुपैया	money
बानर	monkey
मास	month
भाव	mood
उदासीन	moody
चंद्रमा	moon
नैतिक	moral
अधिक	more
अतिरिक्त	moreover
भोर	morning
बंधक	mortgage
अधिकतर	most
मां	mother
गति	motion
प्रेरणा	motivation
पहाड़	mountain
मूस	mouse
मुंह	mouth
चलनाइ	move
गतिविधि	movement
चलचित्र	movie
श्रीमती	mrs
ढेर	much
कादो	mud
मग	mug
मांसपेशी	muscle
संग्रहालय	museum
छातू	mushroom
संगीत	music
आवश्यक	must
पारस्परिक	mutual
हमर	my
प्रिये	My dear
रहस्यमय	mysterious
रहस्मय	mystery
नाखून	nail
नौसिखिया	naive
नाम	name
वर्णन	narrative
पातर	narrow
दुष्ट	nasty
राष्ट्रीय	national
राष्ट्रीयता	nationality
मूल-निवासी	native
प्राकृतिक	natural
प्रकृति	nature
नजदीक	near
नखिच	nearby
लगभग	nearly
साफ	neat
आवश्यकता	necessary
गर्दनि	neck
हार	necklace
जरूरत	need
नकारात्मक	negative
उपेक्षा	neglect
पड़ोसी	neighbor
नहि	neither
भातिज	nephew
पढ़ाकू	nerd
घबरायल	nervous
घोंसला	nest
जाल	net
नेटवर्क	network
तटस्थ	neutral
तहियो	nevertheless
नया	new
समाचार	news
अगिला	next
नीक	nice
भतीजी	niece
रात्रि	night
नव	nine
उनइस	nineteen
नब्बे	ninety
नहि	No
शोरगुल	noise
दुपहर	noon
नहि	nope
सामान्य	normal
नाक	nose
नहि	not
नोट	note
सूचना	notice
ध्यान	noticed
संज्ञा	noun
उपन्यास	novel
नवम्बर	november
एखन	now
आइ-काल्हि	nowadays
बाधा	nuisance
सुन्ना	null
सुन्न	numb
संख्या	number
दाई	nurse
बादाम	nut
जायफल	nutmeg
पोषण	nutrition
कसम	oath
मोटापा	obesity
वस्तु	object
उद्येश्य	objective
बाध्यता	obligation
अस्पष्ट	obscure
निरिक्षण	observation
अवलोकन	observe
जुनूनी	obsessed
जुनून	obsession
अप्रचलित	obsolete
बाधा	obstacle
स्पष्टतः	obvious
स्पष्टतः	obviously
पेशा	occupation
धटित	occur
आएल	occurred
समुन्दर	ocean
अक्टूबर	october
विषम	odd
अंतर	odds
क	of
अवश्य	of course
बंद	off
अप्रिय	offensive
प्रस्ताव	offer
कार्यालय	office
अधिकारी	official
अक्सर	often
ओह	Oh
तेल	oil
पुरान	old
उपर	on
एकटा	one
प्याज	onion
ऑनलाइन	online
खुलल	open
संचालन	operation
विचार	opinion
अवसर	opportunities
अवसर	opportunity
उल्टा	opposite
आशावादी	optimistic
विकल्प	option
ऐच्छिक	optional
वा	or
नारंगी	orange
आदेश	order
साधारण	ordinary
संस्थान	organization
अनुस्थापन	orientation
मूल	origin
मूल	original
ओरोमो	Oromo
अनाथ	orphan
दोसर	other
अन्यथा	otherwise
चाही	ought
हमरासभक	our
बाहर	out
परिणाम	outcome
साज-सामान	outfit
दोकान	outlet
रूपरेखा	outline
बाहिर	outside
बकाया	outstanding
भट्ठी	oven
जीतनाइ	overcome
अभिभूत	overwhelmed
जबरदस्त	overwhelming
ऋणी	owe
उल्लू	owl
अपन	own
मालिक	owner
बैल	ox
गति	pace
गठरी	pack
पैकेज	package
दर्द	pain
रंग	paint
चित्र	painting
जोड़ा	pair
पीयर	pale
हथेली	palm
तावा	pan
घबड़ाहट	panic
पायजामा	pants
कागज	paper
स्वर्ग	paradise
समानांतर	parallel
पार्सल	parcel
क्षमा	pardon
मां-पिता	parents
पार्क	park
तोता	parrot
जमायन	parsley
हिस्सा	part
विशेष	particular
साझेदार	partner
उत्सव	party
सफल	pass
रास्ता	passage
बीतल	passed
जुनून	passion
आवेशपूर्ण	passionate
निष्क्रिय	passive
पासवर्ड	password
भूतकाल	past
चेपी	patch
रास्ता	path
दयनीय	pathetic
धीरज	patience
मरीज	patient
स्वरूप	pattern
रोकनाइ	pause
पगडंडी	pavement
वेतन	pay
शांति	peace
शांतिपूर्ण	peaceful
सतालु	peach
शीर्ष	peak
नासपाती	pear
मटर	peas
अजीब	peculiar
पेसाब	pee
छिलनाइ	peel
कलम	pen
पेन्सिल	pencil
लंबित	pending
लोक	people
गोलकी	pepper
बुझनाइ	perceive
अनुभूति	perception
प्रदर्शन	perform
प्रदर्शन	performance
शायद	perhaps
काल	period
स्थायी	permanent
अनुमति	permission
अनुमति	permit
जिद्द	perseverance
लगातार	persistent
व्यक्ति	person
व्यक्तिगत	personal
व्यक्तित्व	personality
परिप्रेक्ष्य	perspective
पालतू	pet
अवस्था	phase
तथ्य	phenomenon
दर्शन	philosophy
फोन	phone
छबी	photo
मुहावरा	phrase
शारीरिक	physical
उठाउ	pick
उठाउ	pick up
छवि	picture
टुकड़ा	piece
टुकड़ासभ	pieces
सूअर	pig
कबूतर	pigeon
ढेर	pile
तकिया	pillow
पिन	pin
अनानास	pineapple
गुलाबी	pink
गड्ढा	pit
दया	pity
स्थान	place
जगह	places
महामारी	plague
सादा	plain
योजना	plan
गाछि	plant
प्लेट	plate
मंच	platform
बजाउ	play
मजेदार	pleasant
कृपया	please
प्रसन्न	pleased
खुशी	pleasure
प्रतिज्ञा	pledge
खूब	plenty
भूखंड	plot
प्लग	plug
आलूबुखारा	plum
नलसाज	plumber
बहुवचन	plural
पॉडकास्ट	podcast
कबिता	poem
शायरी	poetry
बिन्दु	point
जहर	poison
पुलिस	police
नीति	policy
विनम्र	polite
प्रदूषण	pollution
पोखरि	pond
पोखरि	pool
पखाना	poop
गरीब	poor
पप	pop
लोकप्रिय	popular
आबादी	population
दलिया	porridge
बंदरगाह	port
स्थिति	position
सकारात्मक	positive
अधिकार	possession
स्वामित्व	possessive
संभव	possible
पद	post
आलू	potato
संभावित	potential
गरीबी	poverty
शक्ति	power
शक्तिशाली	powerful
व्यावहारिक	practical
अभ्यास	practice
शरारत	prank
प्रार्थना	pray
मूल्यवान	precious
छोट	precise
भविष्यवाणी	predict
तरजीह	prefer
पसंद	preference
गाभीन	pregnant
पक्षपात	prejudice
परिसर	premises
अधिमूल्य	premium
तैयारी	preparation
तैयारी	prepare
तैयार	prepared
पूर्वसर्ग	preposition
उपस्थिति	presence
वर्तमान	present
प्रस्तुतिकरण	presentation
अध्यक्ष	president
दबानाइ	press
दबाव	pressure
बहाना	pretend
सुन्दर	pretty
रोकू	prevent
पहिलुका	previous
सिकार	prey
दाम	price
गौरव	pride
पुजारी	priest
प्राथमिक	primary
मुख्य	prime
राज-कुमारी	princess
प्रधान	principal
अग्रिम	prior
प्राथमिकता	priority
कारागार	prison
गोपनीयता	privacy
व्यक्तिगत	private
विशेषाधिकार	privilege
इनाम	prize
संभवतः	probably
समस्या	problem
प्रक्रिया	procedure
प्रक्रिया	process
उजप	product
उत्पादन	production
पेशा	profession
व्यावसायिक	professional
रूपरेखा	profile
फायदा	profit
अगाध	profound
प्रगति	progress
परियोजना	project
प्रसिद्ध	prominent
वचन	promise
पदोन्नति	promote
पदोन्नति	promotion
तत्पर	prompt
अधोमुख	prone
सर्वनाम	pronouns
उच्चारण	pronunciation
प्रमाण	proof
उचित	proper
गुण	properties
संपत्ति	property
प्रस्ताव	proposal
समृद्धि	prosperity
समृद्ध	prosperous
परियोजना	protect
गर्व	proud
साबित	prove
राज्य	province
प्रावधान	provision
सयानपन	puberty
सार्वजनिक	public
खींचू	pull
कद्दू	pumpkin
समयानुकूल	punctual
शिष्य	pupil
खरीद	purchase
शुद्ध	pure
बैंगनी	purple
प्रयोजन	purpose
बटुआ	purse
खोज	pursuit
धक्का	push
राखू	put
योग्यता	qualification
गुण	quality
मात्रा	quantity
झगड़ा	quarrel
चौथाई	quarter
केचुवा	Quechua
रानी	queen
विचित्र	queer
पुछताज	query
प्रश्न	question
पंक्ति	queue
जल्दी	quick
शांत	quiet
रजाय	quilt
शांत	quite
प्रश्नोत्तरी	quiz
उद्धरण	quote
उद्धरण	quotes
घरगोश	rabbit
दौर	race
बारिश	rain
उठाउ	raise
पालल-पोसल	raised
दौड़ल	ran
अनियमित	random
श्रेणी	range
दुर्लभ	rare
जल्दबाजी	rash
मूस	rat
दर	rate
बल्कि	rather
अनुपात	ratio
तर्कसंगत	rational
कांच	raw
पहुंच	reach
पहुंचल	reached
प्रतिक्रिया	reaction
पढ़ू	read
अध्ययन	reading
तैयार	ready
सच	real
हकीकत	reality
अहसास	realize
एहसास	realized
सत्ते	really
पछिला	rear
कारण	reason
उचित	reasonable
हालक	recent
विधि	recipe
दुस्साहसी	reckless
मान्यता	recognition
मान्यता	recognize
आयत	rectangle
लाल	red
ऋणमुक्ति	redemption
फालतू	redundant
प्रस्तुत	refer
संदर्भ	reference
परछाई	reflect
प्रतिबिंब	reflection
बचनाइ	refrain
फिरिज	refrigerator
वापसी	refund
इन्कार	refuse
संबद्ध	regard
उदासीन	regardless
सादर	regards
क्षेत्र	region
पंजीकरण	register
पछतावा	regret
नियमित	regular
संबंधित	relate
संबंधित	related
संबंध	relationship
संबंधी	relative
कुटुम	relatives
आराम	relax
प्रासंगिक	relevant
विश्वसनीय	reliable
आराम	relief
धर्म	religion
धार्मिक	religious
अनिच्छुक	reluctant
आश्रित	rely
टिकल	remain
बचल	remaining
उपचार	remedy
याद	remember
हटाउ	remove
किराया	rent
मरम्मति	repair
दोहरानाइ	repeat
प्रतिस्थापना	replace
जवाब	reply
विवरण	report
प्रतिनिधित्व	represent
प्रतिष्ठा	reputation
निवेदन	request
आवश्यकता	require
आवश्यक	required
बचानाइ	rescue
अनुसंधान	research
अपमान	resentment
आरक्षण	reservation
निवासी	resident
त्यागपत्र	resign
लचीलापन	resilience
लचकदार	resilient
प्रतिरोध	resist
रुकावट	resistance
प्रस्ताव	resolution
सैरगाह	resort
संसाधन	resources
आदर	respect
प्रतिक्रिया	respond
प्रतिक्रिया	response
उत्तरदायित्व	responsibility
उत्तरदायी	responsible
बाकी	rest
होटल	restaurant
प्रतिबंध	restrict
परिणाम	result
परिणाम	results
खुदरा	retail
अवधारण	retention
सेवामुक्त	retired
वापसी	retreat
वापस	return
प्रकट	reveal
बदला	revenge
राजस्व	revenue
विपरीत	reverse
समीक्षा	review
संशोधन	revise
संशोधन	revision
क्रांति	revolution
सम्मान	reward
ताल	rhythm
भात	rice
धनी	rich
छुटकारा	rid
सवारी	ride
हास्यास्पद	ridiculous
ठीक	right
एखन	right now
कठोर	rigid
घेरा	ring
खंगालनाइ	rinse
दंगा	riot
फाड़नाइ	rip
पक्कल	ripe
उत्थान	rise
जोखिम	risk
प्रतिद्वंद्वी	rival
नदी	river
सड़क	road
मजबूत	robust
पाथर	rock
छड़	rod
भूमिका	role
घूमनाइ	roll
छत	roof
कमरा	room
जड़	root
रस्सी	rope
सडल	rotten
रूख	rough
मोटा-मोटी	roughly
गोल	round
मार्ग	route
दिनचर्या	routine
पंक्ति	row
मालिस	rub
रब्बड़	rubber
कचरा	rubbish
उदंड	rude
गलीचा	rug
बरबाद	ruin
नियम	rule
राजा	ruler
नियम	rules
दौरू	run
दौड़	running
ग्रामीण	rural
भीड़	rush
झोला	sack
पवित्र	sacred
त्याग	sacrifice
सुरक्षित	safe
सुरक्षा	safety
संत	sage
कहलक	said
जलयात्रा	sail
सेलिंग	sailing
खातिर	sake
वेतन	salary
बिक्री	sale
समान	salmon
नून	salt
समान	same
नमूना	sample
बालू	sand
संस्कृत	Sanskrit
व्यंग्यपूर्ण	sarcastic
नटखट	sassy
बैसलाह	sat
संतुष्टि	satisfaction
संतुष्ट	satisfy
शनिदिन	Saturday
लंगचा	sausage
जंगली	savage
बचाउ	save
देखलहुं	saw
कहू	say
पैमाना	scale
घोटाला	scam
कमी	scarce
भयभीत	scared
ओढनी	scarf
भयानक	scary
छितरल	scattered
दृश्य	scene
दृश्य	scenery
खुशबू	scent
समय-सारणी	schedule
विद्यालय	school
विज्ञान	science
वैज्ञानिक	scientist
कैंची	scissors
डांटनाइ	scold
दायरा	scope
खरोंच	scratch
चिल्लेनाई	scream
परदा	screen
पेंच	screw
लिपि	script
समुद्र	sea
मोहर	seal
खोजनाइ	search
ऋतु	season
दोसर	second
गुप्त	secret
अनुभाग	section
सुरक्षित	secure
सुरक्षा	security
देखू	see
बीज	seed
ताकू	seek
लगनाइ	seem
प्रतीत	seems
कुर्की	seizure
कखनो-कखनो	seldom
चुननाइ	select
स्वार्थी	selfish
बेचनाइ	sell
पठाउ	send
वरिष्ठ	senior
बोध	sense
समझदार	sensible
संवेदनशील	sensitive
पठाओल	sent
वाक्य	sentence
अलग	separate
सेपेडी	Sepedi
सितम्बर	september
क्रम	sequence
श्रृंखला	series
गंभीर	serious
सेवा	serve
सेवा	service
सत्र	session
नियत	set
हालत	setting
स्थिर	settle
सात	seven
सत्रह	seventeen
सत्तर	seventy
कएकटा	several
गंभीर	severe
छाया	shade
परछाई	shadow
हिलनाइ	shake
थुन	shall
ब	shall
सतही	shallow
सरम	shame
आकार	shape
तेज	sharp
ओ	she
छांह	shed
भेंड़	sheep
शीट	sheet
ताक	shelf
कवच	shell
शरणस्थली	shelter
कवज	shield
पारी	shift
चमक	shine
जहाज	ship
जलयात्रा	shipping
अंगा	shirt
दोकान	shop
खरीदारी	shopping
छोट	short
कमी	shortage
कन्हा	shoulder
चिचिएनाइ	shout
प्रदर्शन	show
फुहार	shower
झींगुर	shrimp
सिकुड़ल	shrink
लजकोटर	shy
भाई-बहिन	sibling
भाई-बहिन	siblings
बीमार	sick
पक्ष	side
विलाप	sigh
दृष्टि	sight
पर्यटन	sightseeing
हस्ताक्षर	sign
हस्ताक्षर	signature
महत्वपूर्ण	significant
शांति	silence
मूक	silent
रेशम	silk
बेवकूफ	silly
चांदी	silver
समान	similar
साधारण	simple
संगे-संगे	simultaneously
काहेकी	since
ईमानदार	sincere
गायक	singer
एकाकी	single
डुबनाइ	sink
महाशय	Sir
बहिन	sister
साली	sister in law
बैसू	sit
स्थिति	situation
छह	six
सोलह	sixteen
साठ	sixty
माप	size
गुण	skill
गुण	skills
चमड़ी	skin
पतला	skinny
छोड़नाइ	skip
घाघरा	skirt
अकास	sky
गुलाम	slave
नींद	sleep
आस्तीन	sleeve
टुकड़ा	slice
फिसलन	slide
पातर	slim
भिसलनाइ	slip
ढाल	slope
खाँचा	slot
छोट	small
बुद्धिमान	smart
गंध	smell
मुस्कुराहट	smile
धुआ	smoke
चिक्कन	smooth
नश्ता	snack
घोंघा	snail
सांप	snake
फोटो	snap
बरफ	snow
त'	so
बोड़नाइ	soak
साबुन	soap
संयमी	sober
फुटबाल	soccer
समाजिक	social
समाज	society
मोजा	socks
मुलायम	soft
सॉफ्टवेयर	software
माटि	soil
फोजी	soldier
एकमात्र	sole
ठोस	solid
समाधान	solution
समाधान	solve
किछु	some
कोए	somebody
कियो	someone
किछु	something
गाना	song
जल्दी	soon
जटिल	sophisticated
सोरानी	Sorani
पीड़ादायक	sore
दुख	sorrow
प्रकार	sort
मांगलहुं	sought
आत्मा	soul
जीवनसंगिनी	soulmate
आवाज	sound
सूप	soup
खट्टा	sour
सूत्र	source
साऊथ	south
जगह	space
जाली	spam
अवधि	span
स्पेनिश	Spanish
छूटल	spare
बाजू	speak
विशेष	special
प्रजाति	species
विशेष	specific
भाषण	speech
गति	speed
खर्च	spend
मसाला-दार	spicy
घुमानाइ	spin
पालक	spinach
साहस	spirit
थूक	spit
उत्कृष्ट	splendid
बांटल	split
नुकसान	spoil
बिगड़ल	spoiled
चम्मच	spoon
स्थान	spot
घरबाली	spouse
फैलाउ	spread
वसंत	spring
वर्ग	square
विद्रूप	squid
गिलहरी	squirrel
स्थिर	stable
ढेर	stack
कर्मचारी	staff
मंच	stage
दाग	stain
सीढ़ी	stairs
दुकान	stall
ठाढ़	stand
मानक	standard
तारा	star
शुरू	start
निराहार	starving
राज्य	state
वक्तव्य	statement
स्टेशन	station
प्रतिमा	statue
स्थिति	status
रहू	stay
नियमित	steady
चोरी	steal
भाप	steam
इस्पात	steel
खड़ी	steep
तना	stem
चरण	step
छड़ी	stick
हठी	stiff
तैयो	still
डंक	sting
कंजूस	stingy
हिलाउ	stir
भंडार	stock
पेट	stomach
पाथर	stone
मचिया	stool
रुकू	stop
भंडारण	storage
जमा	store
तूफान	storm
खिस्सा	story
चूल्हा	stove
सीधा	straight
सीधा	straightforward
खिंचाव	strain
विचित्र	strange
अपरिचित	stranger
कूटनीति	strategy
पुआर	straw
झरबेर	strawberry
धारी	streak
धार	stream
गली	street
शक्ति	strength
तनाव	stress
खिंचाव	stretch
कड़ा	strict
धरना	strike
डोरी	string
पट्टी	strip
प्रयास	strive
आघात	stroke
मजबूत	strong
प्रभावित	struck
ढांचा	structure
संघर्ष	struggle
हठी	stubborn
रुकल	stuck
छात्र	student
पढ़ाई	study
भरनाइ	stuff
बेवकूफ	stupid
अंदाज	style
विषय	subject
जमा	submit
पदार्थ	substance
विकल्प	substitute
सूक्ष्म	subtle
सफलता	success
सफल	successful
एहन	such
चुसब	suck
एकाऐक	sudden
अचानक	suddenly
पीड़ा	suffering
पर्याप्त	sufficient
चीनी	sugar
सुझाव	suggest
सलाह	suggestion
पोशाक	suit
योग्य	suitable
सूटकेस	suitcase
योग	sum
सार	summary
गर्मी	summer
सुरुज	sun
रविदिन	sunday
सूर्यास्त	sunset
श्रेष्ट	superior
संचालक	supervisor
आपूर्ति	supply
सहायता	support
कल्पित	supposed
निश्चित	sure
सतह	surface
हिलोर	surge
शल्य-चिकित्सा	surgery
उपनाम	surname
आश्चर्य	surprise
समर्पण	surrender
निगरानी	surveillance
सर्वेक्षण	survey
बचनाइ	survive
संदेहास्पद	suspect
निलंबित	suspended
संदेहास्पद	suspicious
संभालनाइ	sustain
निरंतरता	sustainability
टिकाउ	sustainable
विनिमय	swap
कसम	swear
पसीना	sweat
सुटर	sweater
मीठ	sweet
प्रिय	sweetheart
फूलनाइ	swell
फुलाव	swelling
पोरनाइ	swim
तैराकी	swimming
झूला	swing
बदलनाइ	switch
फूलल	swollen
तलवार	sword
प्रतीक	symbol
सहानुभूति	sympathy
लक्षण	symptoms
तरीका	system
टेबल	table
सुलझानाइ	tackle
नांगड़ि	tail
लिअ	take
उड़नाइ	take off
गप्प	talk
बातूनी	talkative
लंबा	tall
नल	tap
फीता	tape
निशाना	target
कार्य	task
सुवाद	taste
स्वादिस्ट	tasty
चाय	tea
पढ़ेनाइ	teach
शिक्षक	teacher
गुट	team
फारनाइ	tear
आँसू	tears
प्रौद्योगिकी	technology
दांत	teeth
कहू	tell
खिसियानइ	temper
तापमान	temperature
मंदिर	temple
अस्थायी	temporary
दस	ten
भडेदार	tenant
प्रवृत्त	tend
आदत	tendency
निविदा	tender
काल	tense
तनाव	tension
तम्बू	tent
अनिश्चित	tentative
शर्त	term
भयावह	terrible
भयानक	terrific
क्षेत्र	territory
परीक्षण	test
धन्यवाद	thank
धन्यवाद	thanks
ओ	that
हुनकर	their
हुनकर	them
बिसय	theme
अपनेसँ	themselves
तखन	then
सिद्धांत	theory
ओतय	there
मोट	thick
चोर	thief
जांघ	thigh
पातर	thin
चीज	thing
सोचनाइ	think
तेसर	third
पियास	thirsty
तेरह	thirteen
तीस	thirty
ई	this
सम्पूर्ण	thorough
यद्यपि	though
विचार	thought
विचारशील	thoughtful
हजार	thousand
ताग	thread
धमकी	threat
धमकानाइ	threaten
तीन	three
सीमा	threshold
रोमांचित	thrilled
फलनाइ-फुलेनाइ	thrive
गला	throat
फेंकू	throw
अंगुठा	thumb
वृहस्पतिदिन	Thursday
ऐसा	thus
टिकटिक	tick
ज्वार	tide
स्वच्छ	tidy
बान्हब	tie
बाघ	tiger
कसल	tight
तिग्रिन्या	Tigrinya
समय	time
डरपोक	timid
छोट	tiny
नोंक	tip
टिप्स	tips
टायर	tire
थाकल	tired
ऊतक	tissue
शीर्षक	title
होए	to
सेकनाइ	toast
आइ	today
नेना	toddler
शौचालय	toilet
कहलहुं	told
सहनशीलता	tolerance
सहनशील	tolerate
टमाटर	tomato
काल्हि	tomorrow
जीह	tongue
अत्यधिक	too
लेलक	took
औजार	tool
उपकरण	tools
दांत	tooth
शिखर	top
विषय	topic
फाटल	torn
अत्याचार	torture
पूरा	total
छूनाइ	touch
मुश्किल	tough
यात्रा	tour
तौलिया	towel
शहर	town
विषाक्त	toxic
चिह्न	trace
पगडंडी	track
व्यापार	trade
परम्परागत	tradition
पारंपरिक	traditional
ट्रैफिक	traffic
पाछू	trail
ट्रेन	train
प्रशिक्षण	training
लक्षण	trait
लक्षण	traits
स्थानांतरण	transfer
संक्रमण	transition
पारदर्शी	transparent
परिवहन	transport
परिवहन	transportation
जाल	trap
कूड़ेदान	trash
सदमा	trauma
यात्रा	travel
खजाना	treasure
वर्ताव	treat
बरताव	treatment
गाछ	tree
अद्भुत	tremendous
दौर	trend
परीक्षण	trial
तरकीब	trick
उत्प्रेरक	trigger
यात्रा	trip
तकलीफ	trouble
पैजामा	trousers
ट्रक	truck
सत्य	true
विश्वास	trust
सत्य	truth
सोंगा	Tsonga
नल्ली	tube
मंगलदिन	Tuesday
ट्यूसन	tuition
तुर्की	turkey
हल्दी	turmeric
घुमनाइ	turn
कछुआ	turtle
शिक्षक	tutor
बारह	twelve
बीस	twenty
इक्कीस	twenty-one
ट्वी	Twi
दुगुना	twice
मोड	twist
दू	two
प्रकार	type
ठेंठ	typical
कुरूप	ugly
अंतिम	ultimate
छाता	umbrella
असमर्थ	unable
बेहोश	unconscious
नीचां	under
नीचु	underneath
बुझनाइ	understand
दुर्भाग्यपूर्ण	unfortunately
बर्दि	uniform
अपूर्व	unique
इकाई	unit
विश्वविद्यालय	university
अनजान	unknown
सिवाय	unless
ताधरि	until
असामान्य	unusual
ऊपर	up
अपडेट	update
उन्नयन	upgrade
ऊपर	upon
परेशान	upset
शहरी	urban
अनुरोध	urge
तुरन्ते	urgent
इस्तेमाल	use
उपयोगी	useful
बेकाजक	useless
सामान्य	usual
साधारणतः	usually
उपयोगिता	utility
छुट्टी	vacation
टीका	vaccination
टीका	vaccine
शुन्य	vacuum
अस्पष्ट	vague
वैध	valid
घाटी	valley
कीमती	valuable
मूल्य	value
विविधता	variety
विभिन्न	various
अलग	vary
फूलदान	vase
विशाल	vast
सब्जी	vegetable
सब्जी	vegetables
गाड़ी	vehicle
जहर	venom
उद्यम	venture
