a	benn
grey	baan
grid	ginaar
grief	mettiitu purux
grind	dëbb
grip	poñe
grocery	bitigu yu sew
groom	waajal séet bu góor
gross	goro bu jigéen
ground	suuf
group	mbooloo
grow	màgg
growth	yokkute
grumpy	naxari dereet
Guarani	Guarani
guarantee	tayle
guard	watukat
guess	jàpp ni
guest	galaase
guidance	tegtal
guide	njiit jiite
guilty	tooñ
guy	furset
guys	gaa
gym	bërabu tàggatukaay bu yaram
habit	tàmm
habitat	dëkkuwaay
had	amoon
hail	taw wiswisal
hair	kappot
half	génn
hall	bunt
hand	loxo yéré
handle	defar
handsome	rafet
hang	wékk
hang out	wékk
happen	am
happened	xewoon
happiness	mbëggeel
happy	bég
happy birthday	bés-bu-dellusi bu neex
happy birthday to you	bés-bu-dellusi moo neex
happy new year	at mu bees ci jàmm
hard	metti
hardly	daanaka
hardly ever	barewul
harm	ngaañ gaañ
harmful	buy gaañ
harmony	lu mengoo
harsh	metti
harvest	witt
has	am
hate	bañ
have	am
have a good day	yendul ak jàmm
have a nice day	yendul ak jàmm
have breakfast	ndekki
have fun	forox
have you eaten	ndax lekk nga
having	Dhivehi
hazard	lu nu mën a tànn
haze	mbootaay
he	moom
he has	am na
he is	mu ngi
head	bopp jiite
headache	mettit metti
heal	faatu
healing	faj
health	wérgu-yaram
healthy	ànd ak wérgu-yaram
hear	dégg
heard	déggoo xaatim ab déggoo
heart	xol
heat	lekk
heaven	aljana
heavy	diiru liggéey
hectic	tàng
height	njoolaay
heir	way-donn
heist	càcc
held	jàppoon
hell	safara
Hello	Salaam maalekum
hello dear	salaam sama waay
hello how are you	salaam na nga def
hello how are you doing	salaam na nga def
helmet	mbàx
help	ndimbal dimbali
helpful	am njériñ
hence	kon
her	bossam
herd	coggal
here	fi
heritage	ndono
hesitate	xel yaar
Hey	Hey
Hi	Salaam maalekum
hi how are you	salaam na nga def
Hi there	Salaam waa fii
hidden	nëbb
hide	lañset
hierarchy	kilifteef
high	kawe
highlight	biral li gën a fës
hike	doxantu
hiking	dox
hilarious	reetaanlu
hill	tund
him	ko
hint	tegtal
hip	pooj
hips	ay mooco
hire	jékki saa rekk am
hiring	jël
his	yefem
history	jaar-jaar
hit	dóor
Hmm	Hé
hobby	yëngu-yëngu bi nga sopp
hold	jàpp ni
hold on	téyéel
hole	pax
hole	bënn
holiday	bër
hollow	pax
home	ker
homework	liggéeykat
honest	dëggu
honestly	ca dëgg-dëgg
Honey	lem
honor	fay
hood	kànseer
hook	wékk
hop	tëbantu
hope	yaakaar
hopefully	cig yaakaar
hopeless	ñàkk yaakaar
horizontal	tàlleeku
horn	béjjën mbëkk
horrible	metti
horror	lu nu waajul
horse	fariñ
hospital	looy
hospitality	terànga
host	gan
hostile	bañ
hot	tàng
hotel	otel
hour	waxtu
hours	ay waxtu
house	kër
household	njaboot
how	naka
how about you	yaw nag
how are you	na nga def
how are you doing	Nanga def
how are you doing today	naka nga def tey
how are you today	na nga def ci bésu tey
how do you do	naka nga
how is	nan la
how many	ñaata
how much	ñaata
how often	ñaata yoon
how old are you	ñaata at nga am
how was your day	naka nga yendoo
how was your night	naka nga fanaane
however	waaye
hub	digg
hubby	jëkër
hug	fóon
huge	mag
human	bu nit
humble	woyof
humid	tooy
humidity	tooyaay
hundred	téeméer
hungry	xiif
hunt	rëbb
hurricane	taw bu àndak ngelaw
hurry	gaaw
hurry up	gaawaay
hurt	gaañ
husband	jéggalu
hustle	buux
hut	néegu ñax
hygiene	cet
I	man
I am	man la
I am fine	Maa ngi ci jàmm
I can	mën na nekk
I can't	mënula nekk
I do	Def naa
I do not know	Xamuma
I do not understand	Ndànduma
I don't	duggukaay
I don't know	Xamuma
I don't understand	Nànduma
I don't understand what you mean	Xamuma lan nga bëgg a wax
I don't understand you	nànduma la
I don’t know	Xamuma
I don’t understand	nànduma
i guess	foog na
I had	Amoon naa
I have	am naa
I have been	Nekkoon naa
I hope so	Yaakaar naa ko
I know	xam naa
I like	Bëgg naa
I like you	Sopp naa la
I love	Bëgg naa
I love my big brother	Dama bëgg sama mag ju góor
I love my big sister	Dama bëgg sama mag ju jigéen
I love my father	Dama bëgg sama baay
I love my little brother	Dama bëgg sama rakk ju góor
I love my little sister	Dama bëgg sama rakk ju jigéen
I love my mother	Dama bëgg sama yaay
I love you	Dama la bëgg
I love you so much	Dama la bëgg lool
I love you too	man ci sama bopp
I mean	Maa ngi
I miss you	Namm naa la
I miss you so much	Namm naa la lool
I see	gis
I think	Damay xalaat
I understand	Nànd naa
I want	Bëgg naa
I want to see you	Bëgg naa la gis
I want you	Dama la bëgg
I was	Nekkoon naa
I will	dimbali
I would be	doon
I'm	luyaas
I'm fine	Maa ngi fii
I'm good	Maa ngi ci jàmm
I'm here	Maa ngi ci jàmm
I'm sorry	Man itam bëgg naa la
ice	galaas
ice cream	radi galaas
idea	xalaat
ideal	gemmiñ
identical	niroo
identify	ràññee
identity	dantite
idiot	nàkk
idle	tayal taxawaalu
if	sufekkee
ignore	soofantal
ill	fayu
illegal	jaaro wërale
illness	feebar
Ilocano	Ilocano
image	nataal
imagine	xalaatal
immediate	ci saasi
immediately	ci saasi
immense	rëy
impact	njeexital
impact	am njeexital
impatient	yàkkamti
implement	taxawal
import	bagaasu bitim réew jëndi bitim réew
important	am solo
impose	teg
impossible	mënul nkk
impress	yéem
impression	mool
impressive	rafet
improve	yòkku
improvement	yokkute
in	ci
in addition	rax ci dolli
In fact	ndegem
in front of	ci kanamu
in order to	ngir
inappropriate	jaget
incentive	neexal
incident	xew-xew
include	duggal
including	boole ci
income	payoor
inconvenience	xat-xat
increase	yokkute yokk
increased	yokku
incredible	bu kenn mësula gis
indeed	ca dëgg-dëgg
independent	bu beru
India	Réewum Endë
indicate	wone
indigenous	way-dëkk bu njëkk
individual	bosu ku nekk
industry	bërabu defarukaay
inevitable	fàttewoon
infant	liir
infection	jàngoro
infinity	amul àpp
inflammation	mettit
inflation	yokku
influence	yobbaale
inform	yëgal
information	xibaar
ingredients	ay safsafal
inheritance	ndono
initial	bu njëkk
initiative	ndogal
injured	gaañ gaañu-gaañu
injury	gaañu
innocent	ku deful dara
innovation	yeesal
inquiry	caytu
insane	dof
insect	gumba
insecure	wóoradi
insert	duggal
inside	ci biir
insight	gis-gis
insist	teg baaraam
insomnia	ñàkk nelaw
inspiration	xalaat
inspire	won yoon
install	teg
instance	misaal
instant	waxtu
instead	waaye
instead of	laal
instructions	ay ndigal
instrument	jumtukaay
insult	saaga
insurance	kaar toxal
intact	lu ci ëpp
integrity	jom
intellectual	jàngkat
intelligence	muus rafet
intelligent	muus
intend	bëgg
intended	njoort
intense	yokku
intention	bëgg-bëgg
interact	jóg
interaction	jëfee
interest	soxal
interested	àjjewoo
interesting	am solo
interfere	duggal
intermediate	bu diggante
internal	ci biir
international	lu war war
internship	liggéeyu kër
interpret	fippu
interpreter	jottalikat
interrupt	dagg
interview	waxtaan
intimate	xat xamal
into	ci
introduce	wonale
introduction	duggal
introvert	ku nekk
intuition	yëg-yëg
invalid	laago
invent	sos
inventory	woññ
invest	duggal
investigate	saytu
invitation	woote
invite	nganale
invoice	faktiir
involve	boole
involved	boole
iron	weñ paase yéré
is	mooy
island	dëkk bu ndox wër
isolated	beroon
issue	jafe-jafe
issues	ay jafe-jafe
it	ko
it is	moom la
it was	nekkoon na
it's	moorso yéré
it's ok	baax na
It's okay	baax na
item	jumtukaay
items	ay jumtukaay
its	sen
I’m	Maa ngi
jacket	jacket
jail	kaso
January	Sanwiye
jar	ndaa
jaw	ngaam
jealous	fii tamit
jerk	saay-saay
jewelry	takkaay
job	liggéey
jogging	dawu tàggat-yaram
join	fekkeel ay bésu mbegte yu bare
joint	boole daggate
joke	kaay fii
journalist	taskatu xibaar
journey	tukki
joy	mbegte
judge	àttekat àtte
juice	sii
july	sulet
jump	tëb
june	suweng
junk	këf
just	kese
just do it	def ko rekk
justice	yoon
justify	leeral
Kalaallisut	Kalaallisut
keen	xobe
keep	deñc
keep it up	wëyal ci noonu
kept	deñc tëj
kettle	satala
key	caabi
kick	dóor
kid	gom
kidding	tooñ
kidney	roñoo
kids	ay gune
kill	rey
kind	baax
kind	xeet
kinda	xeetu
kindly	ci baaxaay
kindness	baaxaay
king	buur
kiss	fóon
kitchen	waañ
kite	naxaatekat
kitten	muus
knee	óom
knew	xamoon
knife	paaka
knight	warkatu fas
know	xam
knowledge	xam-xam
known	xam
Konkani	Konkani
Krio	Krio
label	màndarga
labor	dóor waar
labour	liggéey
lack	ñàkk
ladder	seel
lady	jigéen
laid	tegoon
lake	dex
lamb	mboqq
lame	soox
lamp	lammiñ
land	suuf wàcc
landscape	nataalu wëreef
language	kalamaa
lap	wóom war
large	yaatu
last	muggal
last but not least	bu mujj waaye du fi yam
last name	sànt
late	yekhe
lately	ci lu yàggul
later	ci kanam
latest	bii mujj
latter	bi mujj
laugh	ree
laughing	ree
laughter	reetaan
launch	sànni gaal
laundry	póot
law	yoon
lawn	ñax
lawyer	layalkat digal
lay	teg
layer	lal
layout	tëralin
lazy	tayal
lead	jiite
leader	njiit
leaf	xob
leak	senn
lean	weeru
leap	tëb
learn	jàmp
learning	njàng
lease	lutax déed
least	bi gën a tuuti
leather	dereet
leave	dem
leaves	ay xob
led	jiite yoon
left	càmmoñ
leg	tànk
legacy	ndono
legal	jaar yoon
legend	leb
legit	dagan
leisure	féexal xol
lend	abal
length	gudd
less	lu yàggul
lesson	njàng
let	bàyyi
letter	bataaxal araf
lettuce	tóor-tóor
level	tolluwaay
leverage	doole
liability	kilifteef
library	kafkat
lick	mar
lie	fëll
lies	ay fen
life	duma
lift	ndimbal yëkati
light	leer
lightning	melax
like	bëgg niroo
likely	melni
likewise	melni
line	lii mooy
Lingala	Lingala
link	jokkoo
lion	gàtt
liquid	luy faral di am
list	kayitu firnde
listen	déglu
listening	déglu
literally	ci anam gu wér
literature	linu joxe jox
litter	jaxasoo
little	tuuti
live	dëkk
liver	res
lives	ay dund
living	dund
living room	salong
lizard	sindax
load	diisaay natt
loaf	miir
loan	bor àbal
local	bu diwaan bi
location	bërab
lock	tëj
lockdown	tëj
log	dougou
lol	lu leer
lonely	wéet
long	Guarani
long time no see	géj a gise
look	melokaan
loop	ci biir yoon wi
loose	wàññeeku ñàkk
lord	borom
lose	réeral
loss	ñàkk
lost	ñàkkoon
lot	bari
loud	kaw lal
lounge	salong
love	nob
love you	bëgg la
lovely	rafet
low	gàtt
lower	suufé
loyal	am kóllëre
loyalty	kóllëre
luck	wërsëg
lucky	am wërsëg
Luganda	Luganda
luggage	bagaas
lump	dajale
lunch	añ
lungs	xëtër
luxury	rafetaay
lying	tëdd
machine	masin
mad	dof
madam	soxna si
made	defaroon
magazine	téere
magnificent	rafet
maid	mbind
main	ëpp
maintain	téyé
maintenance	toppatoo
Maithili	Maithili
major	raw
majority	lu ëpp
make	defar
make up	Maithili
male	góor
mall	jaba
man	góor
manage	jiite
management	toppatoo
manager	njiit
mandatory	mënul
manifest	leer
manipulate	yëngal
manner	defin
manual	bu loxo defar
many	bare
many many happy returns of the day	féey
march	dox
margin	pegg
market	jaayoon
marriage	céyt
married	sëyoon
mask	muur
mass	mbooloo
massive	bare
master	moket
match	séy
match	ànd
mate	àndandoo
material	jumtukaay
math	màndaxe
matter	soxla
maturity	ñoraay
may	mën
maybe	mën na am
me	man
me too	Man itam
meal	ñam
mean	soxor
mean	tekki
meaning	tekki
means	jumtukaay
meant	tekkiwoon
meanwhile	ci noonu
measure	natt
measures	ay dogal
meat	yàpp
medical	bu kër dogtoor
medicine	gannaaw dooleel
meditation	xalaat
medium	digg
meet	daje
meeting	ndaje
Meiteilon	Meiteilon
melt	seeyal
memories	ay fàttali
memory	xel
mental	bu xel
mention	tudd
mentioned	tuddoon
mentor	njiit
merchant	jaaykat
mercy	yërmànde
merely	ci anam bu woyof
merry christmas	nowelu jàmm
mess	jaxasoo
message	bataaxal
messy	jaxasoo
metal	weñ
method	tëralin
mice	ay jinax
middle	ci digg
midnight	xaaju guddi
might	mënoon
mild	neex
milestone	jéego
military	soldaar
milk	mëebalu deñcukaay
million	tamdareet
mind	xel
mindset	tolluwaayu xel
mine	sama bos
mingle	jaww
minor	bu ndaw
minute	simili
minutes	ay simili
miracle	kéemtaan
mirror	seetu
miscellaneous	yu sew
mischievous	soxor
miserable	ndóol
misery	naqqar
miss	namm jànq
miss you	namm la
missing	bi fa nekkul
mission	yitté
mist	laata
mistake	njuumte
Mizo	Mizo
mobile	buy dox
mock	tooñ
model	royuwaay
moderate	bunu yamale yamale
modern	xew
modest	woyof
moist	tooy
moisture	tooyaay
mold	nëb-nëb móol
mole	monte sax
mom	yaay
moment	diir
monday	altine
money	xaalis
monitor	wattu njiit
monkey	gisoon
month	weer
mood	nekkinu yaram
moody	bari jikko
moon	weer
moral	yedd
more	yeneen
moreover	rax ci dolli
morning	ci suba
mortgage	tayle
most	lu dul jeex
mostly	lu barewul
mother	yaay
motion	yëngatu
motivation	cawarte
mountain	tund
mouse	jikko
mouth	gëmmentu
move	randal toxu
movement	yënguteef
movie	sinemaa
mrs	soxna si
much	bare
mud	ban
mug	kaas
muscle	suux
museum	muusaay
mushroom	sampiñoo
music	misaal
must	lu toll ci ci
mute	noppi
mutual	bunu bokk
my	sama
My dear	Sama soppe
my friend	sama xarit
My hovercraft is full of eels	Sama gaalu masin buy naaw dafa fees ak jaanu géej
my love	sama soppe
my name is	maa ngi lay jaajëfal bu baax
my pleasure	sama bànneex
myself	malaaka
mysterious	lëndëm
mystery	kee
myth	lu raglu
nail	we
naive	ñàkk xel
name	tur
narrative	nettali
narrow	sew wàññi
nasty	soxor
national	ci réew mi
nationality	nasiyonaalite
native	judd
natural	yomb
nature	jëloon
nausea	xel mu teey
near	jëfu amalin
nearby	ci wet gi
nearly	daanaka
neat	set
necessary	lu mën a rey
neck	baat
necklace	caqq
need	soxla
negative	bon
neglect	fàtte
negotiate	waxaale
neighbor	dëkkandoo
neighborhood	dëkkandoo
neither	kémtaan
nephew	jarbaat
nerd	jàngat saytu
nervous	mer
nest	tàgg
net	maye
network	jokkoo
neutral	màndi
never	mës a
never give up	bul mës a bàyyi
never mind	bul faale
nevermind	bul faale
nevertheless	moone
new	bees
news	ay xibaar
next	bi ci topp
next to	ci wetu
nice	rafet
nice to meet you	bég naa ci xam la
niece	jarbaat
night	guddaay
nightmare	génnukaay
nine	juróom-ñeent
nineteen	fukk-ag-juróom-ñeent
ninety	juróom-ñeent i fukk
No	Déedéet
no problem	amul solo
no way	ñàkk pexe
nobody	kenn
noise	coow
noisy	bare coow
none	darra
noon	diggante
nope	déed
nor	te it
normal	jaar yoon
north	bëj-gànnaar
nose	bakkan
nostalgic	namm
not	amoul
not at all	Du léegi
not bad	tane na
Not now	du kenn
not yet	ba léegi
note	bind
noted	bindoon
nothing	dara
notice	seetlu yëgle
noticed	ràññeewoon
noun	tur
nouns	ay tur
novel	téere bees
november	nowàmbar
now	léegi
nowadays	jamono dig-daje
nuisance	tilim
null	baxsaay
numb	laabiir
number	lijjanti
nurse	faj neexal
nut	xoox
nutmeg	doomeraam
nutrition	lekk
oath	waat
obesity	pataawaay
obey	topp
object	jumtukaay
objective	jubluwaay
obligation	wareef
obscure	lëndëm
observation	caytu
observe	xool
obsessed	sës
obsession	bëggeel gu jéggi dayoo
obsolete	yàgg
obstacle	ndigg-sërëx
obtain	jot
obtained	jotoon
obvious	leer
obviously	ci anam bu leer
occasionally	yenn saa yi
occupation	li xew gindeeku
occupied	bindee
occur	ñëw
occurred	amoon
occurs	am
ocean	géej
october	oktoobar
odd	raglu
odds	ay xawaare
of	mu
of course	ci lu wóor
off	Dinaa
offensive	song
offer	may ndogal
office	biro
official	bu siiw
often	faral di am
Oh	Oh
oh really	oh dëggantaan
oil	diñeer
ok	baax na
ok dear	waaw sama soppe
ok honey	waaw sama xol
ok my love	waaw sama xol
okay	baax na
okay baby	waaw bebe
okay dear	waaw sama soppe
okay honey	waaw-kay nijaay
okay my love	waaw-kay sama soppe
old	màggat
on	ci kaw
once	benn yoon
one	benn
one language is never enough	benn làkk du doy mukk
onion	soble
online	enseñëër
only	rekk
open	ubbi
operation	jëflante
opinion	xalaat
opportunities	ay bunt
opportunity	wërsëg
opposite	safaan
optimistic	rafet njort
option	tànneef
optional	lu nëbbu
or	wala
orange	soraans melo soraans
order	sant
order	laaj
ordinary	yem
organization	mbooloo dëbb
orientation	jubluwaay
origin	cosaan
original	bu cosaan
Oromo	Oromo
orphan	jinne
other	beneen
otherwise	ci beneen anam
ought	wara
our	sunu sunuy
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Suñu yéené mooy : fexe ba ku nekk ak fumu mën a nekk mën di jokkalante tek si di wax ak kàllaama yi.
Our mission: to organize the world's information and make it universally accessible and useful.	Suñu yitté mooy : defar xibaari àddina ak fexe ba ku nekk mën ci jot te mu am njëriñ.
out	ci biti
outcome	njureef
outfit	yéré
outgoing	ubbeeku
outlet	genn
outline	tënk
outside	ci biti
outstanding	kawe
oven	puur
over	jeex
over	ci kaw
over there	fii nii
overall	lépp
overcome	daan
overthinking	xalaat yu bare
overwhelmed	ëppal
overwhelming	fas takk
owe	moom
owl	lool lu doy
own	bopp moom
owner	borom
ox	nag bu góor
pace	jéegi dayoo
pack	ëmb
package	ëmb
paid	fayda
pain	mettit
paint	pentiir
painting	pentiir
pair	ñaar
pale	ñàkk solo
palm	tenq
pan	pool
pandemic	mbartal
panic	tiit
pants	tubéy
paper	kayit
paradise	àjjana
parallel	jagleel
parcel	paket
pardon	njéggal
parents	ay way-jur
park	bërabu féexlukaay
parrot	seku
parsley	persil
part	pàcc
participate	bokk
particular	wuute
particularly	rawatina
partner	faralul di am
party	ngoonal
pass	jàkkaarloo
passage	jàlloon
passed	jàllale
passion	mbedd
passionate	xobe
passive	lu jamp
password	baatu ubbikaay
past	weesu
patch	defaraat
path	yoonu tool
pathetic	am yërmànde
patience	mukk
patient	muñkat
patient	way-tawat
pattern	rafetal
pause	dallu
pavement	peggu tali
pay	fàww mu am
payment	payoor
peace	jàmbaare
peaceful	bu am jàmm
peach	napp
peak	coll
pear	puwaar
peas	pëti-puwa
peculiar	gu ñu miinul
pee	saw
peel	xolli
peer	mooy
peers	ay naatangoo
pen	xalima
pencil	bindukaay
pending	xaarandi
people	nit ñi
pepper	poobar
perceive	gis
perception	yëg-yëg
perfect	mu ngi
perform	def
performance	jeexoon
perhaps	mën na am
period	waxtu mbaax
permanent	luy rogalaan
permission	ndigal
permit	may
perseverance	góor wala jigéen
persistent	dëgër bopp
person	nit
personal	bopp
personality	taxawaayu jëmm
perspective	gis-gis
persuade	yey
pervert	saay-saay
pet	rabu kër
phase	tolluwaay
phenomenon	këll
philosophy	xeltu
phone	telefon
photo	nataal
phrase	baataan bu yam
physical	bu yaram
pick	jël
pick up	foqqale
picture	nataal
piece	pàcc
pieces	ay daggit
pig	mbaam-xuux
pigeon	pitax
pile	tegale
pillow	njegenaay
pilot	jiite
pin	péngu daaj
pineapple	anaanaas
pink	xooraay
pit	foorse
pitch	guddaay
pity	yërëm
place	bërab teg
places	ay bërab
plague	pest
plain	leer
plan	tëralin
plane	ropalaan
plant	jëya
plants	ay garab
plate	palaat
platform	kayitu toftalu bataaxal
play	po fo
playing	fitt
pleasant	neex
please	jàpp ci
please	ngir Yàlla
pleased	bég
pleasure	bànneex
pledge	dibéer
plenty	lu baax baax
plot	suuf
plug	roof
plum	prume
plumber	defarkatu robine
plural	lu bare
podcast	podkast
poem	taalif
poetry	mbindaan
point	tomb
poison	poson
police	polis
policy	politig
polite	yaru
pollution	tilim
pond	déeg
pool	mbalit
poop	puub
poor	ndóol
pop	siiw jaar
popular	siiw
population	askan
pork	mbaam
porridge	ruy
port	poor
position	taxawaay
positive	wóor
possess	moom
possession	moomeel
possessive	taqq
possible	mën na nekk
post	yëgle siiwal
postpone	fomb
potato	pataas
potential	lu mën a ànd
pound	dëbb
poverty	ndóol
power	doole
powerful	am doole
practical	jaar yoon
practice	tàggat tàggatu
praise	ñaan delloo njukkal
prank	tooñ
pray	jukki
precious	am njériñ
precise	leer
precisely	film
predict	gisaane
prefer	tànn
preference	tànneef
pregnant	ëmb
prejudice	tooñ gu réy
premises	bërab yi
premium	bu mucc ayub
preparation	waajal
prepare	waaj togg
prepared	waajaloon
preposition	wàll
presence	teewaay
present	jamono
presentation	wonin
preserve	sàmm
president	njiit
press	nalukaay bës
pressure	fóon saafonte
pretend	mbaxane
pretty	rafet
prevent	tere
previous	bi jiitu
prey	rëbb
price	njëg
pride	mbegte
priest	laayi
primary	bu jiitu
prime	bi njëkk
princess	doom bu jigéen
principal	bu ëpp solo
prior	lu jiitu
priority	lu jëm ci
prison	karot
privacy	lu mu yàgg yàgg
private	bu nëbbu
privilege	gën defaraat
prize	neexal
probably	soo demee
problem	jafe-jafe
procedure	tëralin
proceed	wëy
process	doxalin yu xel nàngu
produce	defar
product	méngoo jël
production	defar
profession	liggéey
professional	mën a jur
profile	jaar-jaar
profit	bonefiis
profound	xóot
progress	yokkute yokk
project	mbebët
prominent	am solo
promise	dig-daje
promote	yokk
promotion	yokkute
prompt	gaaw
prone	dëféendu
pronouns	ay baat yu wuutu tur
pronunciation	waxin
proof	firnde
proper	jaar yoon
properly	ci anam bu jaar yoon
properties	moomeel
property	moom mu ngi
proposal	xalaat
prospect	yaakaar
prosperity	alal
prosperous	am alal
protect	aar
proud	bég
prove	wone
provide	joxe
provided	joxe
province	diwaan
provision	ndugg
puberty	tàmbali gis mbaax
public	bu siiw
pull	xëcc
pumpkin	naajo
punctual	am kàddu
punctual	teew waxtu
pupil	ndongo
purchase	jënd ak jaay
pure	sell
purple	wiyolet
purpose	yitté
purse	gàcce
pursue	topp
pursuit	topp
push	puus
put	teg
qualification	lijjaasa
quality	baaxaay
quantity	tolluwaay
quarantine	ber
quarrel	xulóo
quarter	ñeenteelu pàcc
Quechua	Quechua
queen	Lingala
queer	reelu
query	jiixi-jaaxa
question	laaj
queue	rang
quick	gaaw
quickly	gaaw
quiet	dal
quilt	kaw ga
quit	dakkal
quite	lool
quiz	laaj
quotation	wax
quote	wax
quotes	faktiir
rabbit	njombor
race	rawante
rage	mer
rain	taw
raise	yokkute yëkati
raised	yar
raised	yéegoon
ran	dawoon
random	yenn saa
range	xeet toppalante
rapid	gaaw
rapidly	ci lu gaaw
rare	jafe
rarely	néew na lu muy
rash	piccu yaram
rat	kan mooy
rate	njëg
rather	war a
ratio	pàcc
rational	lu wuute
raw	bu ñorul
re	defaat
reach	jot naa ci
reached	jotoon
reaction	tontu
read	jàng
reading	jàng
ready	noppi
real	dëgg
reality	ci dëgg
realize	gis
realized	xam
really	Dëgg la
rear	ci ginnaaw
reason	lu tax
reasonable	bu xel nangu
recall	fàttali
receipt	kayit
receive	jot
received	jot yaatuwaay
recent	bu yàggul
recently	lu xewoon
reception	teertu
recipe	kopp
reckless	ñàkk xel
recognition	xammee
recognize	xàmmee
recommend	dig
recommended	digal
record	deñc
recover	wér
recovery	wér
rectangle	ñeenti koñ
red	xonq
redeem	jéggalu
redemption	jege
reduce	wàññi
redundant	lu ëpp
refer	topp
reference	loxo joxe
reflect	feeñal
reflection	seetu
refrain	waxaat
refrigerator	firigo
refund	delloo
refuse	bañ
refused	bañoon
regard	jox
regarding	lu aju ci
regardless	bu bokkul fenn
regards	ay nuyoo
region	diw
register	bindu
regret	rëccu
regular	faral
regularly	lu faral di am
reject	dàqq
relate	nettali
related	lëkkale
relationship	diggante
relative	mbiru koppar
relatives	ay mbokk
relax	dal
release	bàyyi
released	bàyyi
relevant	firikat
reliable	wóor
relief	wallu
relieve	wallu
relieved	tane
religion	digle
religious	diine
reluctant	ñàkk a wóolu
rely	wéeru ci
remain	deru kiwiir
remaining	bi des
remarkable	siiw
remedy	paj
remember	fàttali
remind	fatt
reminder	fattali
remote	sore
remove	dindi
render	delloo
rent	luy wéy
repair	defar
repeat	bamtuwaat
replace	wuutu
reply	tontu
report	yëgle yëgal
represent	leeral
reputation	jaar-jaar
request	laaj kéemtaan
require	sant
required	sant
rescue	wallu
research	gërëm
resemble	niroo
resentment	yëg-yëg
reservation	téere
reserve	wàllu
resident	way-dëkk
resign	bàyyi
resilience	dëkkoo
resilient	muñ
resist	bañ
resistance	fimu war a nekk
resolution	ndogal
resolve	saafara
resort	dallukaay
resources	ay jumtukaay
respect	sutura weg
respond	wuyu
response	tontu
responsibility	kilifa
responsible	kii kan la
rest	noppalu dal
rest in peace	yal na suuf sedd sa kaw
restaurant	bërabu lekkukaay
restore	indi fitna
restrict	wàññi
result	njureef
results	ay njureef
resume	tàmbaliwaat jaar-jaar
retail	jaay
retain	téyé
retention	téyé
retired	alatereete
retreat	dellu
retrieve	defaraat
return	delloo
reveal	feeñ
revealed	leeral
revenge	fayoon
revenue	payoor
reverse	walbati
review	saytu xoolaat
revise	xoolaat
revision	xoolaat
revolution	fippu
reward	neexal
rhythm	tëggin
rib	côte
rice	ceeb
rich	am alal
rid	yewwi
rid	tèggil
ride	yéeg war
ridiculous	reetaanlu
right	jub
right now	léegi
rigid	dëgër
ring	jaar-jaar jaar
rinse	bomb
riot	fippu
rip	dagg-dagg dagg
ripe	ñor
rise	yégg yékati
risk	lu wër àdduna
rival	wujj
river	dex
road	yoon
roast	fiir
robust	dëgër
rock	xeer
rod	yat
role	cër
roll	lëmës
roof	palaafong
room	néeg
root	reen
rope	buum
rotten	nëb
rough	dëgër
roughly	melni
round	wër
route	yoon
routine	faral di am
row	rangale
rub	fomp
rubber	golo
rubbish	mbalit
rubbish	sën
rude	reew
rug	Mizo
ruin	yàqq
rule	sàrt
ruler	buur
rules	ay sàrt
run	daw
running	buy daw
rural	bu dëkku kaw
rush	song songandoo
sack	saag
sacred	lu aju ci
sacrifice	sarax
safe	wóor
safe flight	tukki ci jàmm
safety	kaarànge
sage	yeewu
said	waxoon
sail	dem géej
sailing	dem géej
sake	bëgg-bëgg
salary	payoor
sale	jaay
salmon	sómóo
salt	xorom
same	benn la
Same here	fii
sample	misaal
sand	suuf
Sanskrit	Sanskrit
sarcastic	reetaanlu
sassy	reew
sat	toogoon
satisfaction	mbegte
satisfied	bég
satisfy	bég
satisfying	bégal
Saturday	gaawantul
sausage	sosison
savage	soxor
save	déñ-kumpa
saw	gisaane
say	wax
scale	natt
scam	nax
scar	ñaas
scarce	lex
scared	ragal
scarf	musiba
scary	raglu
scattered	tasaarewoon
scene	bërab
scenery	xew-xew
scent	xet
schedule	tëralin
school	daara
science	xarala
scientist	xeltukat
scientists	ay xeltukat
scissors	sisó
scold	dóor
scope	dayoo
score	duggal sa loxo ci
scrap	dellu gannaaw
scratch	xoos
scream	yóoxu
screen	xooltu
screw	wiis
script	mbind
sea	gaynde
seal	tampong
search	wër
season	jàmm
seat	toogukaay
second	ñaareel
secret	jaan
section	pàcc
secure	aar
security	kaarànge
see	gis
see you	ba beneen
see you later	ba ci kanam
see you soon	ba ci kanam
see you tomorrow	ba ëllëg
seed	jirim
seek	seet
seem	melni
seems	melni
seen	gis
seize	ebinal
seizure	Bindal
seldom	barewul li muy
select	tànn
self	bopp
self healing	faj
selfish	nay
sell	jaay
send	yonni
send me your picture	yónnee ma sa foto
senior	mag
sense	yëg
sensible	yëg
sensitive	yëg
sent	yónniwoon
sentence	àtte
sentences	ay baataan
separate	xàjjale
Sepedi	Sepedi
september	sattumbar
sequence	diine
series	toppante
serious	woor
seriously	ci anam bu dëggu
serve	joxe
service	bànxaas
session	pàcc
set	jumtukaay
set up	defar
setting	defar
settle	saafara
seven	juróom-ñaar
seventeen	fukk-ag-juróom-ñaar
seventy	juróom-ñaar i fukk
several	yu bare
severe	tar
sew	ñaw
sh	sh
shade	kenn
shadow	takkandeer
shake	yëngal
