ၼိူင်ႈဢၼ်	a
ဢိုတ်း	close
တူႈၶူဝ်း	closet
သိူဝ်ႈၶူဝ်း	cloth
ၶူဝ်းၼုင်ႈ	clothes
မွၵ်ႇၵုမ်ႈ	cloud
မွၵ်ႇၼႃ	cloudy
ၵူၼ်းယူဝ်ႉႁုၼ်ႉၼူဝ်	clown
ငိူၼ်ႈငဝ်ႈ	clue
ဢမ်ႇႁဵတ်းလီလီ	clumsy
တုမ်ၵၼ်	cluster
ၶူးသွၼ်လဵၼ်ႈႁႅင်း	coach
ၸီႉၼေလၢႆး	coach
ထၢၼ်ႇႁိၼ်ငိူၵ်ႈ	coal
ၽၢင်ႇပၢင်ႇလၢႆႇ	coast
ပႄႉ	coat
ၵႃႇၽီႇ	coffee
ႁူႉလီလီ	cognitive
ၼႄႉသၢင်ႉ	coincidence
ဢၼ်ၵတ်း	cold
ၵူၼ်ႇပင်း	collapse
ၶေႃးသိူဝ်ႈ	collar
ၵူၼ်းႁူမ်ႈႁဵတ်းၵၢၼ်	colleague
ၵူၼ်းႁဵတ်းၵၢၼ်ၸွမ်းၵၼ်	colleagues
ၸူႉႁွမ်	collect
ၸူႉႁွမ်တွမ်ႊဝႆႉ	collection
ႁူင်းမူၺ်း	college
သီ	color
ႁၢမ်းသီ၊ သီၶဵဝ်၊ တၢင်းဝူၼ်ႉ၊ ႁၢဝ်ႈႁႅင်း	colorless green ideas slept furiously
သီ	colour
ၶွၵ်းတၢင်းတင်ႈ	column
ဝီႁူဝ်	comb
လေႃးၸၢပ်ႈ	combination
ၶဝ်ႈပႃးၸွမ်း	combine
မႃး	come
မႃးတီႈၼႆႈ	come here
မႃးလႄႈ	come on
ၸႂ်သိူဝ်းသႃႇ	comfort
ယူႇငၢႆႈလူမ်ၸႂ်	comfortable
မႃးယဝ်ႉ	coming
ၸမ်တေမႃးယဝ်ႉ	coming soon
ပၼ်ၶေႃႈပူင်	command
တၢင်းႁၼ်	comment
ၵႃႉၶၢႆ	commercial
ငိုၼ်းသူး	commission
ႁဵတ်းတၢင်းၽိတ်း	commit
ဢဝ်ပုၼ်ႈၽွၼ်း ၶေႃႈႁပ်ႉႁွင်း	commitment
ပူၼ်ႉပႅၼ်မၢႆမီႈ	committed
ၵုၼ်ႇတၢင်းတိုဝ်း	commodity
ဢၼ်လူဝ်ႇ	common
ၵပ်းသိုပ်ႇ	communicate
ၵပ်းသိုပ်ႇတိတ်းတေႃႇ	communication
မုၵ်ႉၸုမ်း	community
ၵႂႃႇၵႂႃႇမႃးမႃး တႃႇၵၢၼ်	commute
တႆးၵေႃႉ	companion
ႁူင်းၵၢၼ်	company
တႅၵ်ႈၼိူင်း	compare
တိူၵ်ႈၼိူင်း	comparison
ဢေးလူ	compassion
ႁဵတ်းႁႂ်ႈဢီးလူ	compassionate
ၵိုင်ႇလႅပ်ႈ	compatible
ထႅမ်ႈသႂ်ႇႁႂ်ႈတဵမ်	compete
တၢင်းၵတ်ႉ	competent
ပၢင်ၶႄႇၶဵင်ႇ	competition
လႆႈၶႄႉတင်းၼမ်	competitive
ႁႃလွင်ႈသုၵ်း	complain
ႁႃလွင်ႈဢူၼ်	complaint
ၵုမ်ႇထူၼ်ႈ	complement
သႂ်ႇပၼ်ႁႂ်ႈၵုမ်ႇ	complement
ႁဵတ်းတဵမ်	complete
တဵမ်တဵမ်ထူၼ်ႈထူၼ်ႈ	completely
သုၵ်ႉသၢၵ်ႉ	complex
ႁဵတ်းၸွမ်းမၢႆမီႈ	compliance
သုၵ်ႉသၢၵ်ႉယၢပ်ႇၸႂ်	complicated
ယွင်ႈယေႃး	compliment
ႁဵတ်းၸွမ်း	comply
လိၵ်ႈပိုတ်ႇ	composition
ႁူမ်ႈလေႃး	compound
ပွင်ႇၸႂ်	comprehension
ၵုမ်ႇထူၼ်ႈ	comprehensive
ႁဵတ်းၶေႃႈလႆႈၸႂ်	compromise
ၶေႃႈလႆႈၸႂ်	compromise
ဢမ်ႇႁဵတ်းဢမ်ႇလႆႈ	compulsory
ၶွမ်း	computer
ပၵ်ႉၸႂ်	concentrate
တၢင်းႁပ်ႉႁၼ်	concept
မႆႈၸႂ်	concern
လွင်ႈၵွင်ႉၵၢႆႇ	concern
ၵပ်းၵၢႆႇ	concerned
ပၢင်မူၼ်ႊသိူဝ်း	concert
ၵမ်းလိုၼ်း	conclusion
သၢႆးပၢၼ်ႇ	concrete
မီးႁၢင်ႊမီးတူဝ်	concrete
လွင်းသၢႆး	concrete
လႆႈပိုင်ႈဢိင်	condition
ငဝ်းလၢႆး	condition
ငဝ်းလၢႆး	conditions
ၸီႉၼေသဵၼ်ႈတၢင်း	conduct
ပၢင်ၵုမ်ႊလူင်	conference
ယွၼ်းႁပ်ႉ	confess
ယုမ်ႇတူဝ်ၵဝ်ႇ	confidence
တၢင်းယုမ်ႇယမ်	confident
ႁပ်ႉႁွင်းတေႉယဝ်ႉ	confirm
တၢင်းႁၼ်ထိုင်ပိူင်ၵၼ်	conflict
ၸႂ်သုၵ်း	confused
ဢမ်ႇလပ်းလွင်း	confusion
ၸူမ်းၸွမ်း	congrats
ႁူမ်ၸူမ်းၸွမ်း	congratulation
ၸူမ်းၸွမ်းယဝ်ႉ	congratulations
ၵပ်း	conjunction
ၵပ်းၸူး	connect
ႁုပ်ႈသိမ်းဢွင်ႇပေႉ	conquer
ၸႂ်ႊႁူႉ	conscious
မီးၸႂ်ၽၢင်ႉ	consciousness
ၶေႃႈယွၼ်းၶႂၢင်ႉ	consent
ယွၼ်းၶႂၢင်ႉ	consent
ၽွၼ်းႁၢႆႉ	consequences
ၶေႃႈဢုပ်ႇၵၼ်	conservation
တူၺ်းထိုင်လုမ်းလႃး	conservative
ဝူၼ်ႉလီလီ	consider
ဝူၼ်ႉသွၼ်ႇ	considered
ၶဝ်ႈပႃးဝႆႉ	consist
ၵိုင်ႇတၢၼ်ႇ	consistency
ဢမ်ႇမီးတၢင်းလႅၵ်ႈလၢႆႊ	consistent
ပိူင်တၢႆ	constant
သိုပ်ႇပဵၼ်ဝႆႉ	constantly
တွင်ႉပိၵ်ႉ	constipation
ၽၢႆႇၵေႃႇသၢင်ႈ	construction
ႁၼ်ထိုင်ဝႃႈ	consume
ႁႂ်ႈၵုမ်ႇထူၼ်ႈ	consumption
ႁဵင်းၵပ်းသိုပ်ႇ	contact
တၢင်းပဵၼ်ၸပ်း	contagious
ပႃးဝႆႉ	contain
ပႃးၸွမ်းဝႆႉ	contains
ၵၢပ်ႈပၢၼ်လဵဝ်	contemporary
သၢင်းၽႅပ်ႉႁႅင်းၼႃႇ	contempt
လမ်းၼႂ်း	content
လၢတ်ႈထဵင်	contest
ႁူဝ်ၼၢမ်း	context
လိုမ်ႈလိၼ်	continent
သိုပ်ႇထႅင်ႈ	continue
လိၵ်ႈၵိၼ်ၵႅၼ်	contract
ႁဵတ်းလိၵ်ႈၵိၼ်ၵႅၼ်ႇ	contract
လိၵ်ႈၵိၼ်ၵႅၼ်ႇ	contrast
ႁဵတ်းလိၵ်ႈၵိၼ်ၵႅၼ်ႇ	contrast
ငိုၼ်းတွင်း	contribute
မူႇပိူင်	contribution
ထိင်း	control
ၵေႃႉမေႃထဵင်	controversial
ၶႅမ်ႉလႅပ်ႈလီ	convenience
ၽိူမ်ႉထႅမ်	convenient
ၶေႃႈဢုပ်ႇဢေႃး	conversation
လႅၵ်ႈပိၼ်ႇ	convert
တေႃႉသူင်ႇ	convey
ၵဵပ်းၶေႃႈမုၼ်း	convey
ယုမ်ႇယမ်ယွမ်းႁပ်ႉ	convince
ယုမ်ႇယမ်ႁပ်ႉၸႂ်ႉ	convinced
ႁုင်	cook
ၸဝ်ႈမိုဝ်ႉ	cook
တူမ်ႈႁုင်	cooking
လႅတ်းတေႉ	cool
ႁူမ်ႈမိုဝ်း	cooperation
ၵေႈၶႆႈ ပၼ်ႁႃ	cope
တွင်းလႅင်	copper
ၵႅၼ်ႊၵၢင်ႊ	core
ၶဝ်ႈၾႃႉ	corn
ၸဵင်ႇ	corner
မၢၼ်ႇမႅၼ်ႈ	correct
ၵႃႊၶၼ်	cost
တူၵ်းမႅၼ်	cost
သိူဝ်ႈၶူဝ်းၸၢဝ်ႈ	costume
ႁိူၼ်းထၢပ်ႈလဵဝ်	cottage
ၵုၺ်	cotton
ၶူးသွၼ်လဵၼ်ႈႁႅင်း	couch
မဵၼ်ဢၢႆႊလူတ်ႉ	cough
ပဵၼ်လႆႈ	could
ၶွင်ႇသီႇ	council
ဢၢၼ်ႇ	count
သၢၼ်ၶတ်း	counter
ဝၢၼ်ႈမိူင်း	country
မၢၼ်ႈၼွၵ်ႈၼႃးပၢင်ႇ	countryside
သွင်	couple
ၵူပ်ႉၵူႈ	couple
ႁတ်းႁၢၼ်	courage
တင်ႈႁဵၼ်း	course
လုမ်းတြႃး	court
ၽိင်ႈငႄႈ	courtesy
ပီႈၼွင်ႉၶႅၼ်ႈတွင်ႉ	cousin
ႁူမ်ႇ	cover
ဝူဝ်းမႄႈ	cow
ၶီႈၵူဝ်	coward
မီးလွင်ႈဢုၼ်ႇၸႂ်	cozy
ပူ	crab
ႁွၺ်းတႅၵ်ႇ	crack
တႅၵ်ႇၵႃႇ	crack
ဢေဝူဝ်း	craft
ၶီႈႁူဝ်	crap
လူႉလႅဝ်	crash
တူၵ်းလႅဝ်	crash
တႂ်းမွင်း	craving
ၵၢၼ်း	crawl
ယွင်ႇ	crazy
ၶူင်ႊသၢင်ႈ	create
ၶူင်ႊသၢင်ႈ	creative
ယုမ်ႇယမ်	credit
ပူပ်ႇၵၢၼ်း	creep
တုမ်ႇၶူၼ်ၼိူဝ်ႉၵီႈ	creepy
ၵူၼ်းထၢမ်းၵၢၼ်	crew
လိူင်ႈ	crime
ဢၼ်ဢၢႆသေလွင်ႈလွင်ႈ	cringe
ႁူၼ်လင်	cringe
ၶၢဝ်းၵိၼ်းႁႅင်း	crisis
ပိူင်တႅၵ်ႈတႃႇ တႅပ်းတတ်း	criteria
လမ်ႇလွင်ႈ	critical
လိၵ်ႈထတ်းသၢင်	criticism
မၢၵ်ႇဝၢၵ်ႈ	crop
ပၢတ်ႇၶဝ်ႈ	crop
မၢၵ်ႇဝၢၵ်ႈၶဝ်ႈၼမ်ႉ	crops
ၶတ်း	cross
သၢၼ်ၶတ်း	cross
ၵႃလမ်	crow
ၵူၼ်းၵိုၼ်း	crowd
ၵူၼ်းၵိုၼ်း	crowded
ႁူင်းသႅင်	crown
လမ်ႇလွင်ႈတႃႇယႃႉပႅတ်ႈ	crucial
မိူၵ်ႈလိူင်း	cruel
ၶၢဝ်းတၢင်းပၢင်ႇလၢႆႇ	cruise
ၵေႃႉထုၵ်ႇၸႂ်	crush
ငိုတ်ႈလႅဝ်၊ ယႃႉတႅၵ်ႇ	crush
ႁႆႈ	cry
တႅင်ၶႃႇ	cucumber
ၼွၼ်းဢီး	cuddle
ၽိင်ႈငႄႈ	culture
လွၵ်းလိင်ႉၼမ်	cunning
ၵွၵ်း	cup
တူႈသႂ်ႇဝၢၼ်ႇ	cupboard
လွင်ႈၵၢၼ်ထိင်းသိမ်း	curb
ယႃႈယႃ	cure
ယူတ်းယႃ	cure
ႁၢမ်ႈဢွၵ်ႇႁိူၼ်း	curfew
ၸႂ်ၶႂ်ႈႁူႉႁႅင်း	curiosity
ၸွပ်ႇႁူႉ	curious
ငေႃး	curly
ယူင်ႉငိုၼ်းတွင်း	currency
မိူဝ်ႈလဵဝ်	current
ယၢမ်းမိူဝ်ႈလဵဝ်	currently
ၵိၼ်ႇ	curse
ၽႃႈၵင်ႈ	curtain
ၵွပ်ႈမွၼ်း	cushion
ၽိင်ႈထုင်း	custom
ပီႈၼွင်ႉသိုဝ်ႉၶၢႆ	customer
ၽိင်ထုင်း	customs
ၵိမ်း	cut
ၵႅတ်း	cut
လီႁၵ်ႉ	cute
ပၼ်ႇၶွပ်ႈ	cycle
ၶီႇလႅင်	cycling
ပေႃႈ	dad
ပေႃႈ	daddy
ၵူႊဝၼ်း	daily
ၵူႊဝၼ်း	dairy
ၾၢႆ	dam
ယႃႉလူႉ	damage
လွင်ႈလူႉသုမ်း	damage
သႄႉၼႄး	damn
ယိုၵ်ႉယမ်း	damp
ၵႃႈ	dance
မီးၽေး	danger
ၽေးၶဵၼ်	dangerous
လပ်းသိင်ႇ	dark
ႁၵ်ႉဢိူၺ်း	darling
ၶၢႆႉၵႃႇ	dash
ၶေႃႈမုၼ်း	data
ဝၼ်းထီႈ	date
ၶဵၼ်းၵၼ်	date
လုၵ်ႈယိင်း	daughter
ဝၼ်း	day
တၢႆ	dead
ၶၢဝ်းမၵ်းၶၢၼ်း	deadline
ႁူလိတ်ႇ	deaf
ဢၼ်ၵႃႊယႂ်ႇ	deal
ၸႅၵ်ႇၽၢႆႉ	deal
ႁၵ်ႉဢိူၺ်း	dear
မႂ်ႇသုင်တင်းသဵင်ႈ	Dear All
ပီႈၼွင်ႉသိုဝ်ႉပၼ်ႁႅင်းၶႃႈ	Dear Customer
မႂ်ႇသုင်ၶႃႈ ပေႃႈမေႈ	Dear Parents
မႂ်ႇသုင်ၶႃႈ သြႃႇ	Dear Sir
မႂ်ႇသုင် လုၵ်ႈႁဵၼ်းၶဝ်	Dear students
မႂ်ႇသုင် ၵေႃႉၸုမ်းႁဝ်း	Dear Team
တၢင်းတၢႆ	death
ပၢင်ထဵင်ၵၼ်	debate
ၼီႈ	debit
လွင်ႈလူႉလႅဝ်	debris
ၼီႈ	debt
ႁူဝ်သိပ်းပီႊ	decade
ၸဝ်ႊ	decay
ယွမ်းလူင်း	deceased
ပႅတ်ႉ	deceive
လိူၼ်သိပ်းသွင်	december
ၶႅမ်ႉ	decent
တႅပ်းတတ်း	decide
တႅပ်းတတ်း	decided
တႅပ်းတတ်း	decision
ၽိူၼ်တႅမ်ႈလိၵ်ႈ	deck
လူတ်ႈယွမ်းၵႃႇ	decline
လူတ်ႈယွမ်း	decrease
ၽင်သႂ်ႇ	dedicated
ၸုၼ်ႉလူႇ	dedication
တၢင်းႁဵတ်းသၢင်ႈ	deed
လိုၵ်ႉ	deep
ၵႂၢင်	deer
လွတ်ႈႁၢမ်း	default
ဢဝ်ပေႉ	defeat
ၸႅတ်ႈထၢမ်	defeat
ၵႅတ်ႇၶႄ	defend
ပိုတ်ႇတီႈပွင်ႇ	define
ပိုတ်ႇတီႈပွင်ႇ	definitely
ၸႅင်ႈလႅင်းလီၼႃႇ	definitely
ပိုတ်ႇတီႈပွင်ႇ	definition
ဢမ်ႇၽွမ်ႉၸွမ်း	degree
ၸိူင်ႉထိူင်း	delay
တၢင်းမႂ်ႉ	delay
ထိူင်းထိူဝ်ႉ	delayed
မွတ်ႇပႅတ်ႈ	delete
တင်ႈၸႂ်ႁဵတ်း	deliberate
ဢူၼ်ႈဢွၼ်ႇ	delicate
ဝၢၼ်ႈမိူင်း	delicious
ပဵဝ်ႇသိူဝ်းမူၼ်ႊ	delight
သိူဝ်းသႃႇ	delighted
ၵူၼ်းသူင်ႇၶူဝ်း	deliver
သူင်ႇၸူး	delivered
တေႃႉသူင်ႇ	delivery
ၶေႃႈတုၵ်းယွၼ်း	demand
တုၵ်းယွၼ်း	demand
တၢင်းလူဝ်ႇ	demanding
တီႇမွၵ်ႉၵရေႇသီႇ	democracy
ၽီႁၢႆႉ	demon
ႁဵတ်းၼေၽၢင်ႁၢင်ႊ	demonstrate
ထဵင်	denied
တၢင်းလႅၼ်ႈ	density
မေႃယႃၶဵဝ်ႈ	dentist
ထဵင်	deny
ႁွင်ႈလိုဝ်ႈ	department
ဢွၵ်ႇၵႂႃႇ	departure
ဢိင်ၼိူဝ်	depend
ၽေႈတပ်ႉဝႆႉ	deploy
တိုၼ်းလၢင်း	deposit
လူင်းတိုၼ်း	deposit
ထိူင်းၵိူင်ႉ	depressed
ၸႂ်တူၵ်း	depression
တၢင်းၼိုၵ်း	depth
တႅမ်ႈၼေ	describe
ၸႅင်ႈၼႄ	description
ၵႂႃႇပႅတ်ႈ	desert
ၵိုင်ႇထိူၵ်ႈ	deserve
ၸၼ်ဝဵပ်ႇယၢင်ႇ	design
ဝဵပ်ႇယၢင်ႇ	design
တႅမ်ႈႁၢင်ႊဝဵပ်ႈယၢင်ႇ	designation
ၵၢင်ၸႂ်	desire
မုင်ႈမွင်း	desire
ၽိူၼ်တႅမ်ႈလိၵ်ႈ	desk
ၸႂ်လဵၵ်ႉ	despair
ႁူၵ်းႁၢႆႉ	desperate
ပိၵ်ႉသမ်ႉဝႃႈ	despite
တၢင်းၵိၼ်ဝၢၼ်	dessert
တႃႈၵႂႃႇ	destination
ၵၢမ်ႇ	destiny
ယႃႉလူႉ	destroy
ယႃႉလႅဝ်	destruction
ႁူဝ်ယွၺ်ႊ	detail
ႁူဝ်ယွၺ်ႊ	details
သွၵ်ႈႁၼ်	detect
ၸႂ်ၵႅၼ်ႇၶႅင်	determination
တႅပ်းတတ်း	determine
တႅပ်းတတ်း	determined
သၢဝ်းလူႉသၢဝ်းလႅဝ်	devastated
ႁုၼ်ႈမုၼ်း	develop
မုၼ်းလႅင်း	developed
ႁုၼ်ႈမုၼ်း	development
ၸၢၵ်ႈ	device
ၽီႁၢႆႉ	devil
မီးသႅတ်ႉၸႃႉ	devoted
ၶိူဝ်းတႄႉႁီႉဝႃႇရီႇ	Dhivehi
ယဵဝ်ႈဝၢၼ်	diabetes
ပဵၼ်တွင်ႉ	diarrhea
မၢႆတွင်းၵူႊဝၼ်းဝၼ်း	diary
ပပ်ႉပိုတ်ႈတႅတ်ႈ	dictionary
ႁဵတ်း	did
တၢႆ	die
တၢႆ	died
တႃႇၶဝ်ႈၸွမ်းလၢႆး	diet
ပႅၵ်ႈပိူင်ႈ	difference
ဢၼ်ပႅၵ်ႇပိူင်ႈ	different
တၢင်းယၢပ်ႇ	difficult
ၶုတ်း	dig
ၵုင်ႇ	dignity
ၸႂ်ဢိုၼ်ႇၶတ်းၸႂ်	diligent
ၶဝ်ႈၶမ်ႈ	dinner
ၸမ်ႈ	dip
ၵမ်းသိုဝ်ႈ	direct
တၢင်းတေၵႂႃႇ	direction
ၽူႈၼၢမ်းၸိူင်း	director
ႁင်ႈ	dirt
ႁင်ႈဝူၺ်ႇ	dirty
ဢမ်ႇၶႅင်ႁႅင်း	disable
တုၵ်ႉၶီႉတႃႉ	disabled
ႁၢႆၵႂႃႇ	disappear
ၸႂ်လမ်မႃး	disappointed
တီႈပဵၼ်လွင်ႈႁၢႆႉ	disaster
ပိုၼ်ႉပႅတ်ႈ	discard
ယွၼ်းဢွၵ်ႇ	discharge
ပၵ်းပိူင်မၢႆမီႈ	discipline
ယွမ်းပၼ်	discount
ၶူၼ်ႉႁႃ	discover
ၸႅၵ်ႇၽေႁူႉႁၼ်လႆႈ	discrimination
ဢုပ်ႇဢေႃး	discuss
ဢုပ်ႇၵုမ်	discussion
တၢင်းပဵၼ်	disease
တၢင်းပဵၼ်	diseases
ဢုပ်ႇ	disguise
လီၸင်း	disgusting
ၽၵ်း	dish
ဢၢင်ႇၽေ	dishes
ဢမ်ႇလမ်ႇလွင်ႈ	dismiss
သူင်ႇၵူၼ်း	dispatch
ၼေဝႆႉ	display
ပၢၵ်ႇပၢႆႊပႅတ်ႈ	disposal
ႁိမ်ၼမ်ႉၵႂၢမ်း	dispute
တၢင်းၵႆ	distance
ပႅၵ်ႇပိူင်	distinct
ႁူႉႁၼ်လႆႈ	distinguish
ႁိူဝ်ႉၸႂ်	distress
ၽေႈၶၢႆ	distribution
ပိုၼ်ႉၼႃႈတီႈ	district
လွင်ႈသုၵ်ႉသၢၵ်ႉ	disturb
ႁွင်ႊၼမ်ႉ	ditch
လမ်ႊၼမ်ႉ	dive
ပႅၵ်ႈပိူင်ၵၼ်	diverse
မဵဝ်းယၢင်ႇ	diversity
ၸႅၵ်ႇၽေ	divide
ၾႃႉၸဝ်ႈ	divine
ပႅတ်ႈ	divorce
မႄႈႁၢင်ႉ	divorce
မဝ်း	dizzy
ႁဵတ်း	do
သူႁႃႉ	do you
ၸွင်ႇသူႁၵ်ႉႁဝ်း	do you love me
မေႃယႃ	doctor
ၽိုၼ်လိၵ်ႈၽိုၼ်မၢႆ	document
ႁဵတ်းသၢင်ႈ	does
ဢမ်ႇလႆႈႁဵတ်း	doesn't
မႃ	dog
ၶိူဝ်းတွၵ်ႉၵရီႇ	Dogri
ႁဵတ်းယူႇ	doing
ႁုၼ်ႇႁၢင်ႊ ဢေၵူၼ်း	doll
လႅၼ်ႊပိူင်ႇငမ်း	domain
ၶူဝ်းၸႂ်ႉၼႂ်းမိူင်း	domestic
ဢဵၼ်ႁႅင်းယႂ်ႇ	dominant
ယႃႇႁဵတ်း	don't
ယႃႇမႆႈၸႂ်	Don't worry
လူႇတၢၼ်း	donate
ယဝ်ႉတူဝ်ႈလီငၢမ်း	done
မႃႉပွၵ်း	donkey
ယႃႈတႃးသွင်ႇ	dope
သွင်ပုၼ်ႈ	double
ၵူမ်ႈၵွမ်း	double
ထၢင်ႇထိူမ်	doubt
လွင်ႈထၢင်ႇထိူမ်	doubt
ၶဝ်ႈမုၼ်ႈတူင်ႇ	dough
တီႈတႂ်ႈ	down
ၸၼ်လူင်း	download
ပိူင်လိူင်း	draft
တႅမ်ႈၸၼ်ဝႆႉ ပိူင်လိူင်း	draft
ၶၢႆႉလွၺ်းလွၺ်း	drag
ႁွင်ႊလၢႆႇၼမ်ႉ	drain
ၸိူင်းတၢင်းႁၵ်ႉ	drama
တႅမ်ႈႁၢင်ႊ	draw
ၶွင်ႈထွတ်ႇ	drawer
တႅမ်ႈႁႃဝႆႉ	drawing
ၵူဝ်ႁေ	dread
တၢင်းၾၼ်	dream
ၼွၼ်းၾၼ်	dream
ၶူဝ်းတုၺ်ႇၼၢင်းယိင်း	dress
ႁွၺ်းထႆ	drill
သူတ်း	drink
ၼမ်ႉသူတ်း	drink
ႁေႃႈ	drive
ယွတ်ႇၼမ်ႉ	drop
ယွတ်ႇတူၵ်း	drop
တူၵ်းၵမ်းယွတ်ႇယွတ်ႇ	dropped
ၾႃႉလႅင်ႉ	drought
သူတ်ႉ	drunk
ႁႅင်ႈ	dry
ပဵတ်း	duck
ၵူၼ်း	dude
ပၢင်ၽိတ်းၵၼ်	due
ယွၼ်ႉဝႃႈ	due to
ၶၢၼ်ႉၼႃႇ	dull
ဢႃႉ	dumb
ၵွင်ယုၵ်းယၢပ်း	dump
ဢသၢၵ်ႈ	duration
ၽွင်းၶၢဝ်းမိူဝ်ႈ	during
ၽုၼ်ႇမုၵ်ႉ	dust
ပုၼ်ႈၽွၼ်း	duty
ယူႇသဝ်း	dwell
တၢႆ	dying
ဢၼ်လႂ်ဢၼ်ၼၼ်ႉ	each
ၵူႊၵေႃႉၵေႃႉ	each other
ၸႂ်လမ်မႃး	eager
ၼူၵ်ႉႁုင်ႉ	eagle
ႁူ	ear
ၸဝ်ႉတိူဝ်း	earlier
ၸဝ်ႉ	early
လႆႈငိုၼ်း	earn
ႁူ	ears
လုမ်ႈၾႃႉ	earth
ဢိင်ႇသၼ်ႇ	earthquake
ငၢႆႈငႅမ်ႈ	ease
ငၢႆႈငႅမ်ႈ	easily
ၽၢႆႇဝၼ်းဢွၵ်ႇ	east
ငၢႆႈ	easy
ၵိၼ်	eat
ၵိၼ်	eating
ပၢႆးမၢၵ်ႈမုၼ်း	economic
ပၢႆးမၢၵ်ႈမုၼ်း	economy
ၶၢႆႉလွၺ်းလွၺ်း	edge
မႄးၶပ်း	edit
ပၢႆးပၺ်ႇၺႃႇ	education
တွမ်ႉယွၼ်ႈ	effect
ထိုင်တီႈ	effective
ၽွၼ်းလီ ၸူဝ်ႊပွတ်းပွတ်း	efficiency
လူင်ႉလႅၼ်ႇ	efficient
တၢင်းၶတ်းၸႂ်	effort
ၶႆႇ	egg
မၢၵ်ႇၶိူဝ်	eggplant
မၢၼ်ႇယႂ်ႇ	ego
ပႅတ်ႈ	eight
သိပ်းပႅတ်ႇ	eighteen
ပႅတ်ႇသိပ်း	eighty
သေဢၼ်ဢၼ်	either
ၶပ်းၶိုင်ပၼ် သပ်းသေး	elaborate
ငွၵ်းသွၵ်ႇ	elbow
ၵေႃႉယႂ်ႇ	elder
ၵူၼ်းထဝ်ႈ	elderly
လဝ်း	elegant
ၶူဝ်းၶွင်	element
ၸၢင်ႉ	elephant
သိပ်းဢဵတ်း	eleven
ၵိုင်ႇထိူၵ်ႈ	eligible
ပၢႆႇဢွၵ်ႇပႅတ်ႈ	eliminate
ထႅင်ႈ	else
ႁဵတ်းႁႂ်ႈဢၢႆ	embarrassed
ၽွင်းၶဵဝ်	embarrassing
ၵွတ်ႇ	embrace
ပေႃႇပဵၼ်မႃး	emerge
ၶၼ်ႊၼႃႉ	emergency
ၸႂ်ၶုၺ်ႉ	emotional
ႁၼ်ထိုင်ၸွမ်းၵၢင်ၸႂ်	empathy
ပၼ်ပူၺ်	emphasis
ပၼ်ပူၺ်	emphasize
ၵူၼ်းႁဵတ်းၵၢၼ်	employee
လုၵ်ႈၸၢၵ်ႈ	employees
လုၵ်ႈၸၢင်ႈႁဵတ်းၵၢၼ်	employer
လုၵ်ႈၸၢင်ႈၵူၼ်းႁဵတ်းၵၢၼ်	employment
ပဝ်ႇ	empty
ႁဵတ်းလႆႈ	enable
ႁူပ်းၺႃး	encounter
ပၼ်ႁႅင်းၵမ်ႉထႅမ်	encourage
သုတ်းယဝ်ႉ	end
ၸမ်တေမူၺ်ႉ	endangered
ၶတ်းၸႂ်	endeavor
ယိူၼ်ႉၵၼ်ႈ	endurance
ယိူၼ်ႉၵၼ်ႈ	endure
ၽူႈၶဵၼ်	enemy
ဢဵၼ်ႁႅင်း	energy
မၼ်ႈ	engage
ၶဝ်ႈထိုင်	engaged
မၼ်ႈၵၼ်	engagement
ပၢင်တိုၵ်း	engagement
ၶဵၼ်းၵၼ်	engagement
ၸၢၵ်ႈ	engine
မေႃပၢႆးၸၢင်ႊ	engineer
ဢိင်းၵလဵတ်ႈ	English
ၶိုၼ်ႈယႂ်ႇ	enhance
ၸူမ်းၸွမ်း	enjoy
ယႂ်ႇၼႃႇ	enormous
ၵုမ်ႇထူၼ်ႈ	enough
ႁႂ်ႈပဵၼ်မႃး	ensure
ၶဝ်ႈမႃး	enter
လဝ်ႇမူၼ်ႊ	entertainment
ၸႂ်ၸိုၼ်ႇ	enthusiasm
ၸႂ်ဢိုၼ်ႇ	enthusiastic
တင်းမူတ်း	entire
သႂ်ႇပၼ်ႁူဝ်ၶေႃႈ	entitled
ႁူင်းၵေႃႇၵၢႆႇ	entity
ၶဝ်ႈၵႂႃႇ	entrance
ၽူႈၶူင်ႊပိုတ်ႇတၢင်း ၼႃႈၵၢၼ်	entrepreneur
ထူင်လိၵ်ႈ	envelope
သိုင်ႇဝႅတ်ႉလွမ်ႉ	environment
သီႈၵေႉ	envy
ထုၵ်ႇယုၵ်ႉယွင်ႈ	epic
တၢင်းပဵၼ်ၸပ်း	epidemic
မိူၼ်ၵၼ်	equal
ၶိူင်ႈၸႂ်ႉ	equipment
ၵႃႊၶၼ် ငိုၼ်းတိုၼ်း	equity
မိူၼ်ၵၼ်	equivalent
ၵွၼ်ႈထူ	eraser
ပဵၼ်လူႉ	error
လွတ်ႈ	escape
ပေႃးတေဝႃႈတေႉမႃး	especially
လိၵ်ႈပွင်	essay
လွၼ်ႉမွၼ်း	essence
ဢၼ်လူဝ်ႇ	essential
ယူႇသၢင်ႈသဝ်း	establish
ၵေႃႇသၢင်ႈ	established
ဝၢင်းႁိူၼ်း	estate
လၢမ်းၶၢတ်ႈ	estimate
ၼပ်ႉယမ်	estimated
ၸႃႉၵႂႃႇ	etc
