a little	сахал
fight	кĕрешӳ
fight	кĕреш
fighting	çапăçу
figure	кăтарт
figure	ӳкерчĕк
figure out	тавçăрса ил
file	файл
fill	тултар
filled	тултарнӑ
film	фильм
filthy	çăвăнман
finally	юлашкинчен
finance	финанс
financial	финанс
find	туп
find out	туп
fine	питĕ аван
fine	штраф
finger	пӳрне
finish	вĕçле
finished	вĕçленнĕ
fire	пушар
firm	çирĕп
firm	çирĕплĕх
first	пĕрремĕш
first name	ят
fish	пулă
fit	юрăхлă
five	пиллĕк
fix	юса
fixed	шута илнĕ
flag	ялав
flash	хĕрелсе кай
flat	хваттер
flat	лап
flaw	кӑлтӑк
flawless	кăлтăксăр
flee	чупса тар
flesh	тачка аш
flew	вĕçнĕ
flex	ав
flexible	пиçĕ
flight	вĕçев
flip	шаклатни
flirt	якăлтатни
flirting	якăлтат
float	поплавок
flood	шыв илни
floor	урай
flour	урай
flow	юх
flow	юхăм
flower	чечек
flu	грипп
fluent	хăвăрт
fluently	хăвăрттăн
fluffy	тĕклĕ
fluid	юхăм
fly	вĕç
focus	тĕлле
focus	тĕллев
fog	çăра тĕтре
foggy	тăманлă
fold	хуçлатса хур
folks	халăх
follow	хыççăн пыр
follow up	малалла тăс
following	тепĕр
food	апат-çимӗç
fool	ухмахлан
fool	ухмах
foolish	айван
foot	ура лаппи
football	футбол
for	валли
For example	Тĕслĕхрен
for instance	сăмахран
for you	сан валли
forbidden	чаракан
force	вăй
forecast	малтанах каласа хур
forehead	çамка
foreign	ют
forest	вăрман
forever	яланлăх
forget	манса кай
forgive	каçар
forgot	манса кайнă
fork	вилка
form	форма
form	форма ту
formal	йĕрке тăрăх
former	иртнĕ
fortunately	телее
fortune	шăпа
forty	хĕрĕх
forty-two	хĕрĕх тăваттă
forward	малалла
foster	майлӑ пул
fought	çапăçнă
found	тупнă
foundation	никĕс
four	тăваттă
fourteen	вун тăваттă
fox	тилĕ
fragile	мăртăк
frame	рама
framework	каркас
fraud	ултав
freak	тĕлĕнмелле япала
free	ирĕк
freedom	ирĕклĕх
freeze	шӑнт
frequency	тăтăшлăх
frequent	тăтăш
frequently	час-час
fresh	уçă
friday	ытлари кун
fridge	холодильник
friend	юлташ
friendly	туслӑ
friends	туссем
friendship	туслăх
frightened	хӑранӑ
frightening	хӑратакан
frog	шапа
from	патĕнчен
front	умĕн
frozen	шăнтнă
fruit	улма-ҫырла
frustrated	кÿреннĕ
fuel	çунтармалли хатĕр
Fulfulde	Фульфульдла
full	тулли
fun	савăнăç
function	функци
fundamental	тĕп
funeral	пытару
funny	кулӑшла
fur	çăм
furious	урăм-сурăм
furniture	сĕтел-пукан
further	малалла
furthermore	хушса пани
future	малашлăх
gain	тупăш ил
gain	тупăш
game	вăйă
gap	пушă вырăн
garage	гараж
garbage	çÿп-çап
garden	пахча
garlic	ыхра
gate	хапха
gather	пуҫтар
gathering	пуху
gauge	виçмелли прибор
gave	тыттарнă
gear	шеçтĕрне
gender	несĕл
general	пĕтĕмĕшле
generally	пӗтӗмӗшпе илсен
generate	туса кăлар
generation	ăру
generous	пархатарлă
genius	пултарулӑх
genre	жанр
gentle	çепĕç
genuine	чăн
gesture	ал вылявĕ
get	ил
get dressed	тӑхӑннӑ
get up	тăр
get well soon	часрах сывал
getting	илекен
ghost	вилнĕ çын куçа курăнни
ghosting	урăх çыншăн ĕçле
giant	гигант
gift	парне
ginger	имбирь
girl	хĕрача
girlfriend	хĕр тантăш
give	пар
give up	пăрах
given	асӑннӑ
glad	савăнăçлă
glance	куç ывăтни
glass	кĕленче
glasses	куçлăх
glimpse	мӗлтлетни
global	пĕтĕм тĕнчери
gloomy	тӗксӗм
gloves	перчеткесем
glow	ялкӑш
glow up	илемленсе пыр
glue	çилĕм
go	кай
go ahead	малалла ут
go away	кай кунтан
go to bed	çывăрма вырт
goal	задача
goals	тĕллевсем
goat	качака
god	турă
god bless you	тур сыхлатӑр
goes	пырать
going	утакан
going to	хатĕрлен
gold	ылтăн
gone	иртнĕ
gonna	пуçтарăн
goo	ҫыпӑҫакан япала
good	пархатар
good	лайăх
good afternoon	ырă кун
good bye	чипер
good day	ырă кун
good evening	ырӑ каҫ
good job	лайӑх ĕç
good looking	кӑмӑллӑ
good luck	ăнăçу сунатăп
good morning	ырă ир пултăр
good morning my love	ырă кун пултăр, юратăвăм
good night	ырă каç
goodbye	чипер юлăр
goodnight	ырă каç пултăр
goods	япаласем
Google	Гугл
Google Translate	Гугл куçарни
goose	хур
gorgeous	чиперкке
gossip	элек
got	илнĕ
got it	çакна илнĕ
government	правительство
grab	ярса тыт
grade	сорт
gradually	майӗпен
graduate	пĕтер
grain	тырă
grant	пар
granted	панă
grapes	иҫӗм
grasp	ярса тыт
grass	курăк
grateful	тав туйăмĕллĕ
gratitude	тав туйăмĕ
grave	вилтӑпри
gray	сăрă
great	питĕ пысăк
greed	ҫӑткӑнлӑх
greedy	çăткăн
green	симĕс
greet	саламла
greeting	саламлани
greetings	саламлани
grey	сăрă
grid	решетке
grief	хуйхă
grind	якат
grip	ярса тыт
grocery	гастроном
groom	авланакан
gross	брутто
ground	çĕр
group	ушкăн
grow	ӳс
growth	ÿсĕм
grumpy	йӗрӗнчӗк
Guarani	Гуаранила
guarantee	гаранти
guard	хурал
guess	сис
guest	хăна
guidance	кăтартса пыни
guide	кăтартса пыр
guide	кăтарту
guilty	айăплă
guy	каччă
guys	ачасем
gym	спортзал
habit	хăнăху
habitat	пурăнакан вырăн
had	пулнă
hail	пăр
hair	çӳç
half	çурă
hall	пысăк пӳлĕм
hand	алӑ
handle	аври
handsome	хитре
hang	çакăнса тăр
hang out	çакса тух
happen	пул
happened	пулчӗ
happiness	телей
happy	телейлĕ
happy birthday	ҫуралнӑ кун ячӗпе
happy birthday to you	çуралнă кун ячĕпе
happy new year	çĕнĕ çул ячĕпе
hard	хытă
hardly	аран-аран
hardly ever	нихăçан та пекех
harm	сăтăр
harm	сăтăр ту
harmful	сиенлĕ
harmony	килĕшÿлĕх
harsh	кăра
harvest	тухăç
has	пур
hate	ан курай
have	пур
have a good day	ырă кун пултăр
have a nice day	ырă кун пултăр
have breakfast	ирхи апат çи
have fun	хаваслан
have you eaten	эсĕ çирĕн-и
having	пур
hazard	юнав
haze	тӗттӗм
he	вăл
he has	ун пур
he is	вăл
head	пуç
headache	пуç ыратни
heal	турлен
healing	сывални
health	сывлăх
healthy	сывлăхлă
hear	илт
heard	илтнĕ
heart	чĕре
heat	вĕри
heat	вĕриле
heaven	рехет
heavy	йывăр
hectic	хыпăнуллă
height	çӳллĕш
heir	тĕпкĕч
heist	çарату
held	туса ирттернӗ
hell	тамăк
Hello	Салам
hello dear	салам хаклӑ ҫыннӑм
hello how are you	салам, ĕçсем мĕнле
hello how are you doing	салам, мĕнле пурăнатăн?
helmet	каска
help	пулăш
helpful	усăллă
hence	ҫапла вара
her	унăн
herd	кĕтÿ
here	кунта
heritage	юлнă пурлăх
hesitate	иккĕлен
Hey	Эй
Hi	Салам
hi how are you	салам, мĕнле пурăнатăр
Hi there	Пурне те салам
hidden	пытарнă
hide	пытан
hierarchy	иерархи
high	çӳллĕ
highlight	палăрт
hike	похода çӳре
hiking	поход
hilarious	шутсăр кулăшла
hill	сăрт
him	ăна
hint	систер
hip	пĕçĕ
hips	сутана
hire	пытар
hiring	кадрсем пухни
his	унăн
history	истори
hit	çап
Hmm	Хм
hobby	хобби
hold	тытса тăр
hold on	тытса тăр
hole	шăтăк
holiday	уяв
hollow	хăвăл
home	кил
homework	киле панă ĕç
honest	тӳрĕ кăмăллă
honestly	тӳрӗ
Honey	пыл
Honey	чунăм
honor	чыс
hood	капюшон
hook	çекĕл
hop	сик
hope	шан
hope	шанчăк
hopefully	шанчăкпа
hopeless	шанчăксăр
horizontal	горизонт майлă
horn	мăйрака
horrible	тискер
horror	сехре хăпни
horse	лаша
hospital	больница
hospitality	тараватлăх
host	хӑнала
host	хуҫа
hostile	тӑшманлă
hot	вĕри
hotel	хăна çурчĕ
hour	сехет
hours	сехет
house	ҫурт
household	кил-ҫурт
how	мĕнле
how about you	эсӗ мӗнле
how are you	мĕнле пурăнатăр
how are you doing	мĕнле пурăнатăр
how are you doing today	паян сан мĕнле ĕçсем
how are you today	эсĕ паян мĕнле
how do you do	мĕнле ĕçсем
how is	мĕнле
how many	миçе
how much	мӗн чухлӗ
how often	мĕнле хăвăрт
how old are you	эсир миçере
how was your day	Кун мĕнле иртрĕ?
how was your night	каçа мĕнле ирттертĕн
however	пулин те
hub	çыхă
hubby	упăшкам
hug	ытала
hug	ытам
huge	питӗ пысăк
human	этем
humble	пӑханакан
humid	нӳрĕк
humidity	нÿрĕк
hundred	çĕр
hungry	выçă
hunt	сунара çÿре
hurricane	çил-тăвăл
hurry	васка
hurry up	хăвăртрах
hurt	сăтăрла
husband	упăшка
hustle	вĕтелен
hustle	вĕркĕшӳ
hut	лаç
hygiene	гигиена
I	Эпĕ
I am	Эпĕ
I am fine	Манăн веҫех лайăх
I can	Эпĕ пултаратăп
I can't	Эпӗ пултараймастӑп
I do	Эпĕ тăватăп
I do not know	Эпĕ пĕлместĕп
I do not understand	Эпĕ ăнланмастăп
I don't	Эпĕ мар
I don't know	Эпĕ пĕлместĕп
I don't understand	Эпĕ ăнланмастăп
I don't understand what you mean	Эпĕ сана ăнланмастăп
I don't understand you	Эпĕ сана ăнланмастăп
I don’t know	Эпĕ пĕлместĕп
I don’t understand	Эпĕ ăнланмастăп
i guess	эпĕ тавçăрнă тăрăх
I had	Манăн пурччĕ
I have	Манăн пур
I have been	Эпĕ пултăм
I hope so	Эпĕ шанатăп
I know	Эпĕ пĕлетĕп
I like	Мана килӗшет
I like you	Эсĕ мана килĕшетĕн
I love	Эпĕ юрататăп
I love my big brother	Эпĕ пиччене юрататăп
I love my big sister	Эпĕ аппана юрататăп
I love my father	Эпĕ аттене юрататăп
I love my little brother	Эпĕ шăллăма юрататăп
I love my little sister	Эпĕ йăмăка юрататăп
I love my mother	Эпĕ аннене юрататăп
I love you	Эп сана юрататăп
I love you so much	Эпе сана питĕ юрататăп
I love you too	эпе те сана юрататăп
I mean	Эпӗ каласшӑн
I miss you	Эпĕ тунсăхлатăп
I miss you so much	манăн сана питĕ курас килет
I see	Эпĕ куратăп
I think	Эп çапла шутлатăп
I understand	Эпĕ ăнланатăп
I want	Ман кăмăл пур
I want to see you	Ман сана курас килет
I want you	Манăн сана кăмăл пур
I was	Эпĕ пултăм
I will	Ман кăмăл пур
I would be	Эпĕ пулăттăм
I'm	Эпĕ
I'm fine	Манă веçех лайăх
I'm good	Аван туятăп
I'm here	Эпĕ кунта
I'm sorry	Каçарăр
ice	пăр
ice cream	мороженăй
idea	шухăш
ideal	питĕ лайăх
identical	пĕрешкел
identify	палла
identity	пӗрпеклӗх
idiot	тăмсай
idle	пушăлла
if	енчен
ignore	шута ан ил
ill	чирлĕ
illegal	саккунлă мар
illness	чир
Ilocano	Илоканла
image	ÿкерчĕк
imagine	ăсра сăнарла
immediate	халех
immediately	халех
immense	путар
impact	витĕм кӳр
impact	витĕм
impatient	чăтăмсăр
implement	усă кур
import	импорт
import	импортла
important	кирлĕ
impose	хур
impossible	май ҫук
impress	кӑмӑла кай
impression	кăмăла витни
impressive	витĕмлĕ
improve	лайӑхлат
improvement	лайӑхланни
in	ăшĕнче
in addition	унсăр пуçне
In fact	Фактсем тăрăх
in front of	малта
in order to	тесе
inappropriate	вырӑнсӑр
incentive	хавхалану
incident	инцидент
include	кĕрт
including	пĕрле
income	тупăш
inconvenience	кансӗрлӗх
increase	лайăхлат
increase	лайăхлану
increased	пысӑклатнӑ
incredible	тĕлĕнмелле
indeed	чăнах та
independent	ирĕклĕ
India	Инди
indicate	катарт
indigenous	ку çĕрти
individual	уйрăм
industry	промышленность
inevitable	пурпĕрех пулакан
infant	пепке
infection	инфекци
infinity	чикĕсĕрлĕх
inflammation	çулăмлану
inflation	кӳпшеклӗх
influence	витерӳ
influence	витер
inform	пĕлтер
information	пĕлтерӳ
ingredients	ингредиентсем
inheritance	еткер
initial	малтанхи
initiative	пуçарулăх
injured	аманнă
injury	суран
innocent	айван
innovation	çĕнĕлĕх
inquiry	ыйту
insane	ӑстӑнӗ пӑсӑлнӑ
insect	хурт-кăпшанкă
insecure	хăрушă
insert	кĕрт
inside	шалти
insight	ăнкарулăх
insist	çине тăр
insomnia	ыйхă çĕтни
inspiration	хавхалану
inspire	ӳкӗте кӗрт
install	ларт
instance	тĕслĕх
instant	самантлӑх
instead	вырăнне
instead of	вырăнне
instructions	инструкци
instrument	инструмент
insult	кÿренÿ
insurance	страховани
intact	тĕрĕс-тĕкел
integrity	пĕрлĕх
intellectual	интеллектуаллӑ
intelligence	ăс-хакăл шайĕ
intelligent	пĕлӳллĕ
intend	шухӑш тыт
intended	уйăрса хуни
intense	интенсивлă
intention	шухăш
interact	пĕр-пĕрне витĕм кÿрер
interaction	пӗр-пӗринпе хутшăнни
interest	кăсăклăх
interested	кăсăкланнă
interesting	кăсăк
interfere	хутшăн
intermediate	хутлăх
internal	шалти
international	халăхсем хушшинчи
internship	стажировка
interpret	ăнлантар
interpreter	ăнлантаракан
interrupt	тат
interview	интервью
intimate	çывăх
into	шала
introduce	паллаштар
introduction	паллашу
introvert	именчӗк
intuition	сисĕмлĕх
invalid	вăйра мар
invent	ăсла
inventory	инвентарь
invest	инвестици ту
investigate	тĕпче
invitation	йыхрав
invite	йыхравла
invoice	счет
invoice	счет пар
involve	явăçтар
involved	явăçтарнă
iron	тимӗр
iron	утюгла
island	утрав
isolated	уйрӑм
issue	кăлар
issue	ыйту
issues	ыйтусем
it	вăл
it is	ку
it was	ку пулнă
it's	ку
it's ok	аванах
It's okay	Пурте йĕркеллĕ
item	пункт
items	пунктсем
its	унăн
I’m	Эпĕ
jacket	жакет
jail	тĕрмене яр
January	Кăрлач
jar	кăкшăм
jaw	янах шăмми
jealous	кӗвӗҫ
jerk	карт туртăнни
jewelry	ювелир таварĕсем
job	ӗҫ
jogging	вӗттӗн-вӗттӗн пусса чуп
join	пĕрлештер
joint	çыхăнтар
joke	шÿт
journalist	журналист
journey	çул çӳрев
joy	савăнăç
judge	суд ту
judge	судья
juice	сĕткен
july	утă уйăхĕ
jump	сик
june	çĕртме
junk	ҫӗтӗк-ҫатӑк
just	чăн
just	çеç
just do it	ахаль ту
justice	тĕрĕслĕх
justify	ҫирӗплетсе пар
Kalaallisut	Калааллисутла
keen	ăнтăлать
keep	сыхла
keep it up	малалла ту
kept	упранакан
kettle	чейник
key	ҫӑраҫҫи
kick	урапа тап
kid	ача
kidding	ача-пӑчалла хӑтланни
kidney	пÿре
kids	ачасем
kill	вĕлер
kind	йăх
kind	ырă
kinda	евĕрлĕ
kindly	ырă кăмăлпа
kindness	ырӑ кӑмӑл
king	король
kiss	чуп ту
kitchen	кухня
kite	хут çĕлен
kitten	кушак çури
knee	чĕркуççи
knew	пĕлнĕ
knife	çĕçĕ
knight	рыцарь
know	пĕл
knowledge	пĕлӳ
known	паллă
Konkani	Конканла
Krio	Креола
label	этикетка
label	этикетка çыпăçтар
labor	ĕç
labour	ĕç
lack	çитмес
ladder	пусма
lady	леди
laid	хур
lake	кÿле
lamb	путек
lame	уксах
lamp	лампа
land	çĕр
land	анса лар
landscape	ландшафт
language	чĕлхе
lap	чĕркуççи
large	пысӑк
last	юлашки
last but not least	юлашки, анчах кирли
last name	хушамат
late	кайран
lately	нумай пулмасть
later	каярах
latest	чи кая юлни
latter	юлашки
laugh	кулӑ
laughing	кулакан
laughter	ăхăлтатни
launch	тапратса яр
laundry	прачечнăй
law	саккун
lawn	уçланкă
lawyer	юрист
lay	хур
layer	си
layout	вырнаҫу схеми
lazy	кахал
lead	ерт
leader	лидер
leaf	çулçă
leak	юхӑм
lean	тайăл
leap	сикни
learn	вĕрен
learning	вĕренÿ
lease	аренда
least	чи пӗчӗкки
leather	саран
leave	хăвар
leave	кайни
leaves	сулсасем
led	ертсе пыракан
left	сулахай
leg	ура
legacy	еткер
legal	право
legend	çырни
legit	легаллĕ
leisure	ерҫӳ
lend	кивçен
length	вăрăмăш
less	сахалрах
lesson	урок
let	май пар
letter	çыру
lettuce	салат
level	шай
leverage	вăй
liability	обязательство
library	вулавăш
lick	çула
lie	ултала
lie	ултав
lies	суя
life	пурнăç
lift	çĕкле
lift	лифт
light	ҫут
light	ҫутă
light	свет
lightning	çиçĕм
like	килĕштер
likely	ҫавӑн пек
likewise	çавăн пек
line	йĕр
Lingala	Лингала
link	çыхăну
lion	арăслан
liquid	шĕвек
list	список
listen	итле
listening	итлекен
literally	пĕр улăштармасăр
literature	литература
litter	çÿпĕле
little	пӗчӗккӗ
live	пурăн
live	чĕрĕ
liver	пĕвер
lives	пурăнать
living	пурăнакан
living room	хăна пÿлĕмĕ
lizard	калта
load	тиев
loaf	буханка
loan	заем
local	вырăнти
location	вырăн
lock	çăра
lockdown	локдаун
log	пĕрене
lol	ахăлтат
lonely	пĕччен
long	вăрăм
long time no see	курманни нумай пулать
look	пăхни
look	пăх
loop	йăлă
loose	пушă
loose	пушат
lord	лорд
lose	ҫухат
loss	çухату
lost	çухат
lot	нумай
loud	хытă
lounge	кану пÿлĕмĕ
love	юрату
love	юратма
love you	сана юрататăп
lovely	кӑмӑллӑ
low	лутра
lower	аяларах
loyal	лояллă
loyalty	хисеплени
luck	ăнăçу
lucky	ăнăçлă
Luganda	Лугандла
luggage	багаж
lump	пысӑк муклашка
lunch	кăнтăр апачĕ
lungs	ÿпке
luxury	капӑрлӑх
lying	суялăх
machine	станок
mad	ăсран кайнă
madam	мадам
made	тунӑ
magazine	журнал
magnificent	чаплă
maid	хĕр
main	тĕп
maintain	пăхса тăр
maintenance	пăхса тăни
Maithili	Майтхилила
major	мăнă
major	майор
majority	ытларах
make	ту
make up	сăн-пите илемлетни
male	арçын
mall	суту-илÿ центрĕ
man	арçын
manage	пултар
management	пуçлăхсем
manager	ертÿçĕ
mandatory	тивĕçле йĕркепе
manifest	манифест
manipulate	манипуляциле
manner	манер
manual	алӑ
many	нумай
many many happy returns of the day	чи пахине сунатăп
march	пуш
margin	маржа
market	пасар
marriage	авлану
married	авланнă
mask	маскӑ
mass	купа
massive	катмар
master	маçтăр
match	пĕр килтер
match	пĕр килни
mate	юлташ
material	материал
math	математика
matter	япала
matter	пĕлтерет
maturity	ҫитӗнсе ҫитни
may	чечекленӳ
may	пултар
maybe	пулма пултарать
me	мана
me too	мана та
meal	çимĕç
mean	вăталăх
mean	пĕлтерет
meaning	пелтерĕш
means	мелсем
meant	пĕлтерĕшлĕ
meanwhile	ҫав вăхăтра
measure	виç
measures	виçевсем
meat	аш
medical	медицина
medicine	эмел
meditation	медитаци
medium	хутлăх
meet	тĕл пул
meeting	пуху
Meiteilon	Манипурла
melt	ирĕлчĕ
memories	аса илӳсем
memory	ас тăвăм
mental	ăс-тăн
mention	асăннă
mentioned	асăннă
mentor	вӗрентекен
merchant	купец
mercy	ыркăмăллăх
merely	çеç
merry christmas	телейлӗ раштав ячĕпе
mess	йĕркесĕрлĕх
message	çыру
messy	хура
metal	металл
method	меслет
mice	шӑшисем
middle	варри
midnight	çур çĕр
might	вăй-хăват
mild	ҫемҫе
milestone	тапхăр
military	çар ҫынни
milk	сĕт
million	миллион
mind	шут
mind	тавлаш
mindset	менталитет
mine	манăн
mine	рудник
mingle	пӑтрат
minor	палăрăмсăр
minute	минут
minutes	протокол
miracle	тӗлӗнтермӗш
mirror	тĕкĕр
miscellaneous	тĕрлĕрен
mischievous	ашкăнчăк
miserable	пĕтĕ сахал
misery	терт
miss	тунсăхла
miss you	сана тунсăхлатăп
missing	тунсăхлакан
mission	мисси
mist	тĕтре
mistake	йăнăш
Mizo	Мизола
mobile	мобильнăй
mock	мăшкăлав
model	модель
moderate	лăплантар
moderate	лăпкă
modern	пирĕн вăхăтри
modest	сăпайлă
moist	йӗпет
moisture	нÿрĕк
mold	форма
mold	формӑла
mole	каюра
mom	аннеçĕм
moment	самант
monday	тунти кун
money	укçа
monitor	тĕрĕсле
monkey	упăте
month	уйăх
mood	кӑмӑл
moody	тĕксĕм
moon	уйăх
moral	мораль
more	нумайрах
moreover	тата
morning	ир
mortgage	ипотека
most	чи
mostly	ытларах чух
mother	анне
motion	хускану
motivation	мотиваци
mountain	ту
mouse	шăши
mouth	çăвар
move	куç
movement	куçăм
movie	кинофильм
mrs	госпожа
much	нумай
mud	пылчăк
mug	курка
muscle	мускул
museum	музей
mushroom	кăмпа
music	кĕвĕ
must	чи кирли
must	тивĕç
mute	нимуй
mutual	хире-хирĕçле
my	манăн
My dear	Хаклă çыннăм
my friend	манăн юлташ
My hovercraft is full of eels	Манăн сывлăш минтерĕ çинчи карап çĕлен пулăсемпе тулнă
my love	мăнăн юрату
my name is	ман ят
my pleasure	тархасшăн
myself	эпĕ хам
mysterious	ăнланма çук
mystery	вăрттăнлăх
myth	миф
nail	чĕрне
naive	айван
name	ят
narrative	çырса пани
narrow	ансăр
nasty	ирсӗр
national	наци
nationality	национальность
native	тăван
natural	сут çанталакри
nature	çутçанталăк
nausea	кăмăл пăтранни
near	çывăх
nearby	çывăх
nearly	чутах
neat	типтерлĕ
necessary	кирлĕ
neck	мăй
necklace	мӑй ҫыххи
need	кирлĕ
need	кирлĕлĕх
negative	начар
neglect	тиркеш
negotiate	калаҫса ил
neighbor	кÿршĕ
neighborhood	микрорайон
neither	нихăш те
nephew	тăвансен ывăлĕ
nerd	тăнлă çын
nervous	лăпкă мар
nest	йăва
net	сетка
network	сеть
neutral	нейтраллă
never	нихăçан
never give up	нихăçан та ан пăрах
never mind	нимех те мар
nevermind	ним те мар
nevertheless	апла пулин те
new	çĕнĕ
news	хыпар
next	тепри
next to	юнашар
nice	хитре
nice to meet you	сире курма хавас
niece	тăван аппа хĕрĕ
night	каç
nightmare	сехре хăппи
nine	тăххăр
nineteen	вун тăххăр
ninety	тăхăр вуннă
No	Çук
no problem	проблема çук
no way	çул сук
nobody	никам
noise	шав
noisy	шавла
none	çук
noon	кантăрла
nope	ҫук ҫав
normal	йĕркеллĕ
north	çурçĕр
nose	сăмса
nostalgic	тунсăхлă
not	çук
not at all	нимех те
not bad	япăх мар
Not now	Халь мар
not yet	çук ха
note	асӑрхаттарни
noted	паллӑ тунӑ
nothing	нимĕн те
notice	асăрха
noticed	асӑрханӑ
noun	япала ячĕ
nouns	япала ячĕсем
novel	роман
november	чӳк уйăхĕ
now	халĕ
nowadays	пирӗн вӑхӑтра
nuisance	инкек
null	ноль
numb	шак хыт
number	номер
nurse	няня
nut	мăйăр
nutmeg	мускат мăйăрĕ
nutrition	апат
oath	тупа
obesity	мӑнтӑрланни
obey	пăхăн
object	объект
objective	задача
obligation	тивĕç
obscure	тĕттĕмле
observation	сăнав
observe	сăна
obsessed	ухмаха ернĕ
obsession	ăссăрла вăйлă туртăм
obsolete	кивелнĕ
obstacle	чăрмав
obtain	ил
obtained	илчĕ
obvious	ăнланмалла
obviously	уççăн
occasionally	хушăран
occupation	оккупаци
occupied	ерҫӳсӗр
occur	килсе тух
occurred	тухрӗ
occurs	тухать
ocean	океан
october	юпа уйăхĕ
odd	мăшăрсăр
odds	мӑшӑрлӑ мар
of course	паллах
off	чарăннă
offensive	кӳрентерекен
offer	сĕнӳ
offer	сĕн
office	офис
official	ĕçлĕ йĕркепе
often	час-час
Oh	О
oh really	о, чăнах-и?
oil	тип çу
ok	юрĕ
ok dear	юрать тусăм
ok honey	юрать, хаклă çыннăм
ok my love	юратăвăм
okay	юрĕ
okay baby	юрĕ пепкем
okay dear	çапла пултăр хаклă тусăм
okay honey	аван чунăм
okay my love	ҫапла манӑн юратӑвӑм
old	ватӑ
on	çинче
once	пĕррехинче
one	пĕрре
one language is never enough	пĕр чĕлхе анчах яланах çителĕксĕр
onion	сухан
online	онлайн
only	çеç
open	уҫ
operation	операци
opinion	шухăш
opportunities	майсем
opportunity	май
opposite	хирĕҫ
optimistic	оптитмистла
option	опци
optional	опци
or	е
orange	апельсин
orange	вут-тĕс
order	саккас ту
order	саккас
ordinary	кулленхи
organization	организаци
orientation	ориентаци
origin	пулса кайни
original	оригинал
Oromo	Оромола
orphan	тăлăх
other	ытти
otherwise	урăхла пулсан
ought	тивĕçлĕ пул
our	пирĕн
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Пирӗн мисси –  кашнинех тӗнчене ӑнланма тата хӑйӗн шухӑшне кирек епле чӗлхепе те каласа пама ирӗк туса парасси.
Our mission: to organize the world's information and make it universally accessible and useful.	Пирĕн мисси – тĕнче информацине системӑласа  пурне те усӑ курма юрӑхлӑ та усӑллӑ туса парасси.
out	тулаш
outcome	тухăçлăх
outfit	тум
outgoing	пăрахса каякан
outlet	пĕлтерĕш
outline	кăтартса пар
outside	тулта
outstanding	паллă
oven	плита
over	ытла
over there	унта
overall	пур çĕрте те
overcome	çĕнтер
overthinking	ытла нумай шутлани
overwhelmed	алчӑранӑ
overwhelming	чи
owe	парăмлан
owl	тăмана
own	харпӑрлӑх
own	харпӑр
owner	харпăрлăхçă
ox	ĕç вăкăрĕ
pace	утăм тăршшĕ
pack	чӗркесе хур
package	упаковка
paid	тÿленĕ
pain	ырату
paint	сăрă
painting	картина
pair	мăшăр
pale	шупка
palm	пальма
pan	çатма
pandemic	пандеми
panic	паника
pants	йĕм
paper	хут
paradise	çăтмах
parallel	параллельлĕ
parcel	посылка
pardon	каçарăр
parents	атте-анне
park	парк
parrot	попугай
parsley	петрушка
part	пай
participate	хутшăн
particular	ӑрасна
particularly	уйрăммăн
partner	партнер
party	пухă
pass	иртсе кай
passage	хушă
passed	иртрĕ
passion	питӗ вӑйлӑ туйӑм
passionate	хӑйӗн ӗҫӗпе кӑсӑкланнӑскер
passive	пассивлă
password	пароль
past	иртнĕ
patch	пластырь
path	сукмак
pathetic	ниме юрăхсăр
patience	чăтăмлăх
patient	чăтăмлă
patient	пациент
pattern	эреш
pause	тăхтав
pavement	тротуар
pay	тӳле
payment	тÿлев
peace	мир
peaceful	мирлĕ
peach	персик
peak	тăрри
pear	груша
peas	пăрçа
peculiar	ыттисенчен уйрăм
pee	шăр
pee	шăк
peel	хупа
peer	пĕр шайра
peers	пĕрешкел
pen	ручка
pencil	кăранташ
pending	пăхса тухмалли
people	çынсем
pepper	пăрăç
perceive	ӑнлан
perception	туйни-илтни
perfect	питӗ лайӑх
perform	пурнăçла
performance	спектакль
perhaps	ахăр
period	тапхăр
permanent	яланхи
permission	ирĕк пани
permit	ирӗк пар
perseverance	ҫине тӑни
persistent	ҫине тӑракан
person	çын
personal	персонал
personality	уйрăм çын
perspective	куç çити тавралăх
persuade	ĕнентер
pervert	пӑсса пӗтер
pet	алла хăнăхтарнă чĕр-чун
phase	фаза
phenomenon	пулăм
philosophy	философи
phone	шăнкăравла
photo	сăн ÿкерчĕк
phrase	пуплев
physical	физикăлла
pick	пухма
pick up	пуçтар
picture	картинка
piece	татăк
pieces	татăксем
pig	сысна
pigeon	кăвакарчăн
pile	сăвай
pillow	минтер
pilot	пилот
pin	штифт
pineapple	ананас
pink	писев
pit	шӑтӑк
pitch	хушă
pity	шалкă
place	хур
place	вырăн
places	вырӑнсем
plague	ылхан
plain	тӳрем
plan	план
plane	тикĕсле
plant	ӳсен-тăран
plants	ӳсен-тăрансем
plate	турилкке
platform	платформа
play	выля
play	вăйă
playing	вылякан
pleasant	кăмăллă
please	киллентер
please	тархасшăн
pleased	кăмăллă
pleasure	киленӳ
pledge	салук
plenty	нумай
plot	çĕр лаптăкĕ
plug	пробка
plum	слива
plumber	шыв пăрăхĕпе ĕçлекен
plural	нумайлă хисеп
podcast	подкаст
poem	сӑвӑ
poetry	поэзи
point	кăтарт
poison	наркăмăш
police	полицейски
