go le gonnye	a little
nonofile	fluent
elela	fluently
boleta	fluffy
seela	fluid
fofa	fly
ntshi	fly
toba	focus
mouwane	fog
go na le mouwane	foggy
mena	fold
batho	folks
batsadi	folks
latela	follow
latedisa	follow up
latelang	following
dijo	food
sematla	fool
sematla	foolish
lenao	foot
kgwele ya dinao	football
-ela	for
ka gonne	for
Sekai	For example
sekai	for instance
ya gago	for you
thibetswe	forbidden
pateletsa	force
ponelopele	forecast
phatla	forehead
seeng	foreign
sekgwa	forest
saruri	forever
lebala	forget
itshwarele	forgive
lebetse	forgot
foroko	fork
foromo	form
popego	form
semmuso	formal
pele	former
ka lesego	fortunately
lesego	fortune
masome a mane	forty
somamane le bobedi	forty-two
kwa pele	forward
tlamela	foster
godisa	foster
lwantsha	fought
fitlhetse	found
motheo	foundation
nne	four
somenne	fourteen
phokoje	fox
bokoa	fragile
foreimi	frame
letlhomeso	framework
tsietso	fraud
sa tlwaelegang	freak
mahala	free
kgololosego	freedom
gatsetsa	freeze
seelo	frequency
gangwe le gape	frequent
ka gale	frequently
forešhe	fresh
labotlhano	friday
setsidifatsi	fridge
tsala	friend
botsalano	friendly
ditsala	friends
botsala	friendship
tshogile	frightened
tshosa	frightening
segwagwa	frog
go tswa mo	from
go tloga ka	from
pele	front
gatseditswe	frozen
leungo	fruit
retetsa	frustrated
tsupuetsa	frustrated
leokwane	fuel
Sefulfulde	Fulfulde
tletse	full
boitumediso	fun
modiro	function
theo	fundamental
phitlho	funeral
tshegisa	funny
bobowa	fur
galefile	furious
fenitšhara	furniture
fa pele	further
go feta moo	furthermore
isago	future
boelwa	gain
motshameko	game
phatlha	gap
karatšhe	garage
matlakala	garbage
tshingwana	garden
konofole	garlic
heke	gate
kokoanya	gather
kokoano	gathering
selekanyi	gauge
lekanya	gauge
neile	gave
kere	gear
bong	gender
kakaretso	general
ka kakaretso	generally
tlhola	generate
tsala	generate
tshika	generation
pelo	generous
letlhale	genius
mofuta	genre
bonolo	gentle
mmatota	genuine
puo ya matsogo	gesture
bona	get
apara	get dressed
ema	get up
fola ka bonako	get well soon
bona	getting
nna	getting
sepoko	ghost
go nyelela	ghosting
dimo	giant
mpho	gift
gemere	ginger
mosetsana	girl
lekgarebe	girlfriend
fa	give
itlhoboga	give up
neilwe	given
itumetse	glad
go leba ka pele	glance
galase	glass
digalase	glasses
kgaodiso	glimpse
lefatshe ka bophara	global
ya bogotlhe	global
hutsafetse	gloomy
ditlelafo	gloves
phatsima	glow
ntlafala	glow up
sekgomaretsi	glue
tsamaya	go
tswelela	go ahead
tsamaya	go away
ya go robala	go to bed
sekgele	goal
boikaelelo	goal
dino	goals
maikemisetso	goals
podi	goat
modimo	god
modimo a go segofatse	god bless you
a tsamaya	goes
ya	going
ya go	going to
gauta	gold
ile	gone
tla	gonna
borere	goo
molemo	good
madume	good afternoon
tsaaya sentle	good bye
sala sentle	good bye
madume	good day
madume	good evening
tiro e ntle	good job
montle	good looking
keleletso masego	good luck
madume	good morning
dumela moratiwa	good morning my love
robalang sentle	good night
tsamaya sentle	goodbye
sala sentle	goodbye
robalang sentle	goodnight
dithoto	goods
Google	Google
Phetolelo ya Google	Google Translate
ganse	goose
mebalabala	gorgeous
tshele	gossip
bone	got
e bone	got it
puso	government
phamola	grab
seemo	grade
tlhopha ka seemo	grade
ka bonya	gradually
sealogane	graduate
tlhaka	grain
neya	grant
neetse	granted
diterebe	grapes
huparela	grasp
tlhaga	grass
tletse ditebogo	grateful
tebogo	gratitude
lebitla	grave
pududu	gray
tona	great
kgolo	great
bogagapa	greed
bogagapa	greedy
tala	green
dumedisa	greet
tumediso	greeting
madume	greetings
ditumediso	greetings
pududu	grey
keriti	grid
kutlobotlhoko	grief
sila	grind
tshwaro	grip
kerosari	grocery
monyadi	groom
palogotlhe	gross
mmu	ground
letswele	group
gola	grow
kgolo	growth
ngongorega ngongorega fela	grumpy
Seguarani	Guarani
tshireletsego	guarantee
molebeledi	guard
lebelela	guard
fopholetsa	guess
moeng	guest
tataiso	guidance
mosupatsela	guide
kaela	guide
molato	guilty
moeka	guy
mathaka	guys
jimi	gym
tlwaelo	habit
legaetlhago	habitat
nnile le	had
sefako	hail
moriri	hair
halofo	half
holo	hall
seatla	hand
mogala	handle
montle	handsome
kaletsa	hang
lepelela	hang
dula mmogo le ditsala	hang out
diragala	happen
diragetse	happened
boitumelo	happiness
itumetse	happy
masego a letsatsi la tsalo	happy birthday
itumelele letsatsi la botsalo	happy birthday to you
masego a ngwaga o mošwa	happy new year
thata	hard
ka bonnye	hardly
le go ka	hardly ever
tshenyo	harm
utlwisa botlhoko	harm
kotsi	harmful
kutlwano	harmony
peloethata	harsh
thobo	harvest
na le	has
tlhoa	hate
na le	have
tlhola sentle	have a good day
itumelele letsatsi	have a nice day
ja difitlholo	have breakfast
ja monate	have fun
a o jele	have you eaten
na le	having
kotsi	hazard
lotobo	haze
o	he
o na le	he has
o	he is
tlhogo	head
tlhogo e opang	headache
fodisa	heal
fola	heal
phodiso	healing
fola	healing
boitekanelo	health
itekanetse	healthy
utlwa	hear
utlwile	heard
pelotelele	heart
mogote	heat
legodimo	heaven
bokete	heavy
lapisa	hectic
botelele	height
mojaboswa	heir
kgothoso	heist
tshwere	held
bobipo	hell
dumelang	Hello
dumela moratiwa	hello dear
dumelang le kae	hello how are you
dumelang le kae	hello how are you doing
helemete	helmet
thusa	help
thuso	help
thusa	helpful
ka jalo	hence
ene	her
disa	herd
motlhape	herd
fano	here
ngwaoboswa	heritage
okaoka	hesitate
Heela	Hey
dumelang	Hi
dumelang le kae	hi how are you
Dumelang	Hi there
fitlhegile	hidden
fitlha	hide
tatelano	hierarchy
kwa godimo	high
supa	highlight
haeke	hike
haeka	hike
haekang	hiking
tlhatlhogang	hiking
tshegisa	hilarious
thabana	hill
ene	him
maele	hint
noka	hip
dinoka	hips
thapa	hire
thapang	hiring
gagwe	his
hisetori	history
iteya	hit
Ehee	Hmm
hobi	hobby
tshwara	hold
tshwarelela	hold on
mosima	hole
khunulogo	holiday
khobetsega	hollow
khuti	hollow
gae	home
tirogae	homework
tshepega	honest
ka nnete	honestly
Motho wa me	Honey
Mamepe	Honey
tlotla	honor
tikologo	hood
sekgoge	hook
tlolatlola	hop
tsholofelo	hope
ka lesego	hopefully
go tlhoka tsholofelo	hopeless
rapame	horizontal
lenaka	horn
setlhogo	horrible
poifo e e rerang	horror
pitse	horse
bookelo	hospital
kamogelo	hospitality
moamogelabaeng	host
bobaba	hostile
bolelo	hot
hotele	hotel
ura	hour
diura	hours
ntlo	house
lelapa	household
jang	how
wena	how about you
le kae	how are you
o ntse o ya jang	how are you doing
o ntse o ya jang gompieno	how are you doing today
le tlhotse jang gompieno	how are you today
le tsogile jang gompeino	how are you today
le kae	how do you do
e jang	how is
kae	how many
bokae	how much
ga kae	how often
o na le dingwaga tse kae	how old are you
o tlhotse jang	how was your day
maitiso a gago a ne a le jang	how was your night
le fa go ntse jalo	however
lefelo	hub
monna	hubby
tlamparela	hug
kgolo	huge
motho	human
boikobo	humble
longola	humid
bongola	humidity
lekgolo	hundred
tshwerwe ke tlala	hungry
tsoma	hunt
sesatlana	hurricane
itlhaganela	hurry
itlhaganele	hurry up
utlwisa botlhoko	hurt
monna	husband
maiteko	hustle
ntlo	hut
boitekanelo	hygiene
nna	I
Ke a	I am
Ke siame	I am fine
Ke teng	I am fine
Ke a kgona	I can
Ke ka	I can
ga ke kgone	I can't
Ke a dira	I do
Ga ke itse	I do not know
ga ke tlhaloganye	I do not understand
Ga ke	I don't
ga ke itse	I don't know
ga ke tlhaloganye	I don't understand
Ga ke tlhaloganye gore o raya jang	I don't understand what you mean
Ga ke go tlhaloganye	I don't understand you
Ga ke itse	I don’t know
Ga ke tlhaloganye	I don’t understand
ke tsaya jalo	i guess
ke ke ke na le	I had
Ke na le	I have
Ke ntse ke	I have been
Ke solofela jalo	I hope so
ke a itse	I know
Ke rata	I like
Ke a go rata	I like you
Ke rata	I love
ke rata mogolole	I love my big brother
ke rata nkgonne	I love my big sister
ke rata rre	I love my father
ke rata nnake	I love my little brother
ke rata nnake	I love my little sister
ke rata mme	I love my mother
ke a go rata	I love you
Ke go rata jang	I love you so much
ke a go rata le nna	I love you too
Ke raya gore	I mean
ke go tlhwaafaletse	I miss you
Ke tlhwaafaletse gore	I miss you so much
Ke a bona	I see
Ke nagana	I think
Ke a tlhaloganya	I understand
Ke batla	I want
Ke batla go go bona	I want to see you
Ke a go batla	I want you
Ke ne ke	I was
Ke tla	I will
Ke ne ke	I would be
Ke	I'm
Ke teng	I'm fine
Ke siame	I'm good
Ke fano	I'm here
ke maswabi	I'm sorry
aese	ice
bebetsididi	ice cream
mogopolo	idea
kgopolo e e eletsegang	ideal
boleng jo bo kwa godimo	ideal
tshwanang tota	identical
supa	identify
itshupo	identity
seeleele	idiot
go sa dire sepe	idle
fa	if
itlhokomolola	ignore
bobola	ill
e seng mo molaong	illegal
bolwetse	illness
Seilokhano	Ilocano
setshwantsho	image
akanya	imagine
jaanong jaana	immediate
jaanong jaana	immediately
golo thata	immense
go ama	impact
go se itshoke	impatient
tsenyatirisong	implement
romela teng	import
botlhokwa	important
laola	impose
lefisa	impose
ga go kgonege	impossible
kgatlha	impress
kakanyo	impression
kgatlhisa	impressive
tokafala	improve
tokafalo	improvement
mo	in
mo godimo ga foo	in addition
Tota	In fact
mo pele ga	in front of
gore go tle go	in order to
eseng matshwanedi	inappropriate
thotloetso	incentive
tiragalo	incident
akaretsa	include
go akaretsa	including
letseno	income
kgoreletsa	inconvenience
oketsa	increase
oketsegile	increased
go se dumelesege	incredible
tota	indeed
itaola	independent
Intiya	India
kaya	indicate
segae	indigenous
mong	individual
madirelo	industry
ka se tilwe	inevitable
lesea	infant
tshwaetso	infection
bosakhutleng	infinity
boruruga	inflammation
enfoleišene	inflation
susumetsa	influence
itsise	inform
tshedimosetso	information
ditswaki	ingredients
boswa	inheritance
pele	initial
itshimolelo	initiative
gobetse	injured
kgobalo	injury
ga a na molato	innocent
phepa	innocent
boitlhamelo	innovation
patlisiso	inquiry
botseno	insane
tshenekegi	insect
sa tshepe	insecure
tsenya	insert
mo teng	inside
temogo	insight
gatelela	insist
go tlhoka boroko	insomnia
tlhotlheletso	inspiration
rotloetsa	inspire
tsenya	install
tshupo	instance
ka gangwe	instant
mo boemong	instead
mo boemong jwa	instead of
ditaelo	instructions
seletswa	instrument
sediriswa	instrument
tlhapa	insult
inšhorense	insurance
ntse sentle	intact
seriti	integrity
motlhalefi	intellectual
botlhalefi	intelligence
tlhalefile	intelligent
ikaelela	intend
ikaeletse	intended
mahehe	intense
boitlhomo	intention
dirisana	interact
tirisano	interaction
kgatlhego	interest
kgatlha	interest
kgatlhegela	interested
kgatlhisa	interesting
tshwenya	interfere
magareng	intermediate
tsa ka fa teng	internal
boditšhaba	international
go ithuta o le mo tirong	internship
tšhomolola	interpret
motšhomolodi	interpreter
tsena ganong	interrupt
potsolotso	interview
botsolotsa	interview
atamelane	intimate
mo	into
itsise	introduce
kitsiso	introduction
moipone	introvert
poneloteng	intuition
se amogelesege	invalid
sekoa	invalid
tlhama	invent
lenanethoto	inventory
beeletsa	invest
batlisisa	investigate
taletso	invitation
laletsa	invite
lenanetheko	invoice
akaretsa	involve
akareditse	involved
nnile le seabe	involved
aene	iron
ke	is
setlhaketlhake	island
tlhaotswe	isolated
kgang	issue
matso	issues
se	it
go	it is
e ne e le	it was
ke	it's
go siame	it's ok
Go siame	It's okay
tema	item
ntlhana e e mo thulaganyong	items
sa	its
ke	I’m
baki	jacket
kgolegelo	jail
Ferikgong	January
morufa	jar
motlhagare	jaw
lefufa	jealous
thufulo	jerk
seeleele	jerk
dibenya	jewelry
tiro	job
taboga	jogging
lomaganya	join
lomagana	join
tlhakanelo	joint
motlae	joke
mmegakgang	journalist
loeto	journey
boitumelo	joy
moatlhodi	judge
atlhola	judge
matute	juice
phukwi	july
tlola	jump
seetebosigo	june
matlakala	junk
fela	just
siama	just
dira fela	just do it
tshiamiso	justice
siamisa	justify
Sekalaallisutu	Kalaallisut
tlhaga	keen
tshola	keep
tshwara fela jalo	keep it up
tshwere	kept
ketlele	kettle
senotlolo	key
raga	kick
potsane	kid
tshameka	kidding
philo	kidney
a tshameka	kids
bana	kids
bolaya	kill
mofuta	kind
pelonomi	kind
ekare	kinda
ka bopelotlhomogi	kindly
pelonomi	kindness
kgosikgolo	king
atla	kiss
kitšhi	kitchen
khaete	kite
katsenyana	kitten
lengole	knee
itsitse	knew
thipa	knife
mogale	knight
itse	know
kitso	knowledge
itsege	known
Sekonkani	Konkani
Sekerio	Krio
setshwao	label
tshwaya	label
mmereko	labor
mmereko	labour
tlhaela	lack
lere	ladder
mohumagadi	lady
beilwe	laid
letsha	lake
kwana	lamb
golafetse	lame
lebone	lamp
lefatshe	land
lenaga	landscape
puo	language
latsa	lap
dirope	lap
kgolo	large
bofelo	last
sa bofelo mme se e se gore ga se mosola	last but not least
sefane	last name
thari	late
sešeng	lately
kgantele	later
tsa bošweng	latest
morago	latter
tshegadi	laugh
tshegang	laughing
setshego	laughter
thangkgololo	launch
thangkgolola	launch
wašhene	laundry
molao	law
bojang	lawn
loboa	lawn
mmueledi	lawyer
beela	lay
rapama	lay
tlhatlhagano	layer
boalo	layout
botswa	lazy
etelapele	lead
moeteledipele	leader
letlhare	leaf
dutla	leak
tshesane	lean
tlolatlola	leap
ithuta	learn
ithuta	learning
khiriso ya setsha	lease
botlana	least
letlalo	leather
lesa	leave
tloga	leave
matlhare	leaves
tsamaile	leaves
eteletse	led
tlogetse	left
molema	left
tsamaile	left
leoto	leg
boswa	legacy
semolao	legal
mogaka	legend
mo molaong	legit
boiketlo	leisure
adima	lend
boleele	length
bobotlana	less
thuto	lesson
letla	let
hira	let
lekwalo	letter
tlhaka	letter
lethise	lettuce
bogodimo	level
neela thata	leverage
sebetsa	leverage
maikarabelo a go duela	liability
molato	liability
laeborari	library
gora	lick
aka	lie
rapama	lie
maaka	lies
botshelo	life
tsholetsa	lift
lefiti	lift
lesedi	light
bofefo	light
legadima	lightning
rata	like
eletsega	likely
kooteng	likely
fela jalo	likewise
mola	line
Selingala	Lingala
segoke	link
gokaganya	link
tau	lion
seedi	liquid
lenane	list
reetsa	listen
reeditse	listening
totatota	literally
ditlhangwa	literature
matlakala	litter
nnye	little
tshela	live
aga	live
sebete	liver
matshelo	lives
tshelang	living
phaposi ya kamogelo ya baeng	living room
mokgantitshwane	lizard
foraga	load
mokgweleo	load
loufu	loaf
kadimo	loan
selegae	local
lefelo	location
lotlela	lock
seloto	lock
go tswalelwa	lockdown
legong	log
thubega ka setshego	lol
jewa ke bodutu	lonely
eletsa	long
telele	long
kgale re sa bonane	long time no see
leba	look
segole	loop
repisa	loose
golola	loose
morena	lord
latlha	lose
tatlhegelo	loss
latlhega	lost
ntsi	lot
gelebetega	loud
boamogelelo baeng	lounge
rata	love
rata	love you
monate	lovely
ntle	lovely
kwa tlase	low
tlase	lower
ikanyegang	loyal
boikanyego	loyalty
lesego	luck
lesego	lucky
Seluganda	Luganda
thoto	luggage
kuruga	lump
lekwete	lump
dijo tsa motshegare	lunch
makgwafo	lungs
manobonobo	luxury
aka	lying
motšhini	machine
tenegile	mad
tsenwa	mad
mme wa tlotlego	madam
dirile	made
makasine	magazine
tlotlometse	magnificent
mothusi wa mo lapeng	maid
morweetsana	maid
konokono	main
babalela	maintain
tlhokomelo	maintenance
Semaithili	Maithili
tona	major
bontsi	majority
dira	make
meikapo	make up
tona	male
mmolo	mall
monna	man
tsamaisa	manage
botsamaisi	management
motsamaisi	manager
patelediwa	mandatory
senola	manifest
go laola ka tsela e e seng maleba	manipulate
mokgwa	manner
mosupatsela	manual
ya diatla	manual
ntsi	many
nna le letsatsi le le monate le le segofetseng	many many happy returns of the day
mopitlwe	march
morato	margin
maraka	market
lenyalo	marriage
nyetse	married
mmaseke	mask
fitlha	mask
mmese	mass
matšhwiti	mass
boitshegamg	massive
fenya	master
mong	master
mokgwaro	match
lekanya	match
motshameko	match
gwela	mate
molekane	mate
lesela	material
didiriso	material
mathemetiki	math
selo	matter
bogodi	maturity
ka	may
gongwe	maybe
m (prefix added to a verb)	me
nna	me
le nna	me too
dijo	meal
raya	mean
setlhogo	mean
bokao	meaning
go raya gore	means
dithata	means
kaile gore	meant
go sa ntse go le jalo	meanwhile
lekanya	measure
seelo	measures
lekanya	measures
nama	meat
tsa kalafi	medical
ditlhare	medicine
bongaka	medicine
dikgopolo	meditation
magareng	medium
kopana	meet
kopano	meeting
Semeiteilone	Meiteilon
gakologa	melt
digopotso	memories
segopotso	memory
tsa tlhaloganya	mental
umaka	mention
umakilwe	mentioned
morutisi	mentor
mogwebi	merchant
mautlwelobotlhoko	mercy
fela	merely
itumelele keresemose	merry christmas
tlhakatlhakano	mess
molaetsa	message
boatla	messy
tshipi	metal
mmeo	method
mokgwa	method
magotlo	mice
gare	middle
bosigogare	midnight
ka	might
bonolo	mild
kgato e e botlhokwa	milestone
sesole	military
mašwi	milk
miliyone	million
tlhaloganyo	mind
mokgwa wa kakanyo	mindset
sa me	mine
tlhakanya	mingle
potlana	minor
motsotso	minute
metsotso	minutes
motlholo	miracle
seipone	mirror
tsele le tsele	miscellaneous
senya	mischievous
tlhomola pelo	miserable
bohutsana jo bogolo	misery
fosa	miss
go tlhwaafaletse	miss you
tlhaelang	missing
latlhegile	missing
mmišhene	mission
mouwane	mist
phoso	mistake
Semizo	Mizo
mobaele	mobile
sotla	mock
mmotlolo	model
go le gonnye	moderate
segompieno	modern
boingotlo	modest
bongola	moist
khawa	moisture
mouto	mold
serunya	mole
mmele	mom
motsotso	moment
mosupulogo	monday
madi	money
molebeledi	monitor
lebela	monitor
tshwene	monkey
kgwedi	month
boikutlo	mood
na le maikutlo a a sa siamang	moody
ngwedi	moon
ngwao	moral
go fetisa	more
go feta foo	moreover
phakela	morning
peelo	mortgage
bogolo	most
segolo	mostly
mme	mother
tsamao	motion
tlhotlheleso	motivation
thaba	mountain
legotlo	mouse
molomo	mouth
suta	move
motsamao	movement
mokgatlho	movement
filimi	movie
mohumagadi	mrs
segolo	much
seretse	mud
lebekere	mug
mosifa	muscle
musiamo	museum
gola	mushroom
lebowa	mushroom
mmino	music
tshwanetse	must
didima	mute
tlotlana	mutual
ya me	my
Moratiwa	My dear
tsala ya me	my friend
Hovakherafote ya me e tletse ditlhapidikanoga	My hovercraft is full of eels
lerato la me	my love
leina la me ke	my name is
boitumelo jwa me	my pleasure
nna	myself
sa itseweng	mysterious
masaitsweng	mystery
dikinane	myth
sepekere	nail
lenala	nail
sengwana	naive
leina	name
kanelo	narrative
tshesane	narrow
maswe	nasty
bosetšhaba	national
bosetšhaba	nationality
semelafa	native
sa tlholego	natural
tlholego	nature
go feroga sebete	nausea
gaufi	near
gaufi	nearby
batlile	nearly
ithata	neat
tlhokagala	necessary
thamo	neck
sebaga	necklace
tlhoko	need
sa siamang	negative
tlhokomologo	neglect
tlhokomologa	neglect
rerisana	negotiate
moagisani	neighbor
tikologo	neighborhood
epe	neither
setlogolo	nephew
lesutlha	nerd
mankge wa dibuka	nerd
tshoga	nervous
sentlhaga	nest
letlowa	net
mararang	network
go se tseye letlhakore	neutral
legoka	never
se ke wa bo wa ineela	never give up
itlhokomolose	never mind
tlogela	nevermind
le fa go le jalo	nevertheless
ntšha	new
dikgang	news
latelang	next
go bapa le	next to
monate	nice
ke itumelela go kopana le wena	nice to meet you
setlogolo	niece
bosigo	night
segateledi	nightmare
robongwe	nine
somerobongwe	nineteen
somarobongwe	ninety
nnyaa	No
ga go na mathata	no problem
ga go tsela	no way
ope	nobody
modumo	noise
modumo	noisy
epe	none
motshegare	noon
nnyaa	nope
le fa e le	nor
tlealegileng	normal
bokone	north
nko	nose
tlhwafetse	nostalgic
eseng	not
le e seng	not at all
ga go maswe	not bad
E seng jaanong	Not now
ise	not yet
kwala	note
nnoto	note
tsaya tsia	note
etse tlhoko	noted
kwadile	noted
sepe	nothing
kitsiso	notice
ela tlhoko	notice
lemogile	noticed
leina	noun
maina	nouns
ntšha	novel
padi	novel
ngwanaatsele	november
jaanong	now
malatsing a	nowadays
letshwenyo	nuisance
lefela	null
setlasu	numb
nomore	number
palo	number
mooki	nurse
oka	nurse
kgeru	nut
natemeke	nutmeg
kotlo	nutrition
maikano	oath
monono	obesity
obamela	obey
selo	object
morero	objective
ikgaogantsho	objective
maitlamo	obligation
go nna bofitlha	obscure
go ela tlhoko	observation
ela tlhoko	observe
rata tlolo	obsessed
lerato la	obsession
go lemalela	obsession
se se sa tlholeng se dirisiwa	obsolete
sekgoreletsi	obstacle
bona	obtain
amogetse	obtained
bonagala	obvious
go a bonala	obviously
nako nngwe	occasionally
thopo	occupation
tshwaregile	occupied
nnang	occupied
diragala	occur
diragetse	occurred
diragala	occurs
lewatle	ocean
diphalane	october
setlholo	odd
thwadi	odd
metso	odds
ya	of
ee gone	of course
tswa go	off
kgopisa	offensive
neela	offer
kantoro	office
semmuso	official
gantsi	often
Ao	Oh
ao ruri	oh really
leokwane	oil
go siame	ok
go siame moratiwa	ok dear
go siame mokapelo	ok honey
go siame moratiwa	ok my love
go siame	okay
go siame motho wa ka	okay baby
go siame moratiwa	okay dear
go siame motho wa ka	okay honey
go siame moratiwa	okay my love
tsofetse	old
mo	on
fa	once
gangwe	once
kile	once
nngwe	one
puo e le esi ga e kake ya lekana	one language is never enough
eie	onion
mo inthaneteng	online
fela	only
bula	open
karo	operation
kakanyo	opinion
ditšhono	opportunities
tšhono	opportunity
bolebana	opposite
go nna le tsholofelo	optimistic
tlhopho	option
ga e patelediwe	optional
kgotsa	or
namune	orange
taelo	order
otara	order
tlwaelegile	ordinary
thulaganyo	organization
kakanyo	orientation
tshimologo	origin
tshimologo	original
Seoromo	Oromo
khutsana	orphan
nngwe	other
e seng jalo	otherwise
tshwanetse	ought
ya rona	our
Maikaelelo a rona: go kgontsha batho botlhe, gongwe le gongwe go tlhaloganya lefatshe le go tlhagisa dikakanyo tsa bone go ralala dipuo.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Maikaelelo a rona: go rulaganya tshedimosetso ya lefatshe le go dira gore e fitlhelesege le go nna mosola mo lefatsheng ka bophara.	Our mission: to organize the world's information and make it universally accessible and useful.
tswa	out
ntle	out
botso	outcome
diaparo	outfit
tswang	outgoing
kgoro ya go ya kwantle	outlet
thadiso	outline
thadisa	outline
kwa ntle	outside
saletseng kwa morago	outstanding
onto	oven
fela	over
mo godimo ga	over
kwa	over there
gotlhegotlhe	overall
fentse	overcome
go akanya phetelela	overthinking
fekeediwa	overwhelmed
fekeetsang	overwhelming
kolota	owe
morubisi	owl
rua	own
mongwe	owner
pholo	ox
lebelo	pace
phuta	pack
sephutelwana	package
phutela	package
duetse	paid
botlhoko	pain
pente	paint
penta	paint
setshwantso se se pentilweng	painting
pentang	painting
sebedi	pair
setlhafetse	pale
palema	palm
legofi	palm
pane	pan
leroborobo	pandemic
tlalelo	panic
tlhologelelwa	pants
marokgwe	pants
fegelwa	pants
pampiri	paper
parateisi	paradise
bapa	parallel
phasele	parcel
tshwarelo	pardon
batsadi	parents
phaka	park
papalagae	parrot
phasili	parsley
karolo	part
tsaya karolo	participate
rileng	particular
bogolosegolo	particularly
molekane	partner
moletlo	party
feta	pass
falola	pass
phaseišhe	passage
falotse	passed
tšhakgalo	passion
fisegela	passionate
upalala	passive
khunololamoraba	password
fetileng	past
bitia	patch
pitielo	patch
tsela	path
tlhomola pelo	pathetic
boitshoko	patience
molwetsi	patient
pelotelele	patient
sekao	pattern
kgaotso	pause
kgaotsa	pause
pheifemente	pavement
duela	pay
tuelo	pay
tuelo	payment
kagiso	peace
na leng kagiso	peaceful
perekisi	peach
setlhowa	peak
pere	pear
dierekisi	peas
sa tlwaelegang	peculiar
ntsha metsi	pee
obola	peel
thaka	peer
dithaka	peers
pene	pen
kwala	pen
phensele	pencil
letetse	pending
batho	people
pepere	pepper
go lemoga	perceive
temogo	perception
itekanetsa	perfect
diragatsa	perform
tiragatso	performance
gongwe	perhaps
nako	period
leruri	permanent
tetla	permission
letla	permit
tetlo	permit
boitshoko	perseverance
tataletse	persistent
tsweletseng	persistent
motho	person
sebele	personal
botho	personality
ponalo	perspective
tlhotlheletsa	persuade
sokamisa	pervert
yo o sokameng	pervert
seotlwana	pet
legato	phase
kgakgamatso	phenomenon
filosofi	philosophy
mogala	phone
senepe	photo
sekapolelo	phrase
ka nama	physical
kgetla	pick
tlhopha	pick
sela	pick up
tsaya	pick up
setshwantsho	picture
setoki	piece
dikabetla	pieces
kolobe	pig
leeba	pigeon
mokoa	pile
kokowanya	pile
mosamo	pillow
mokgweetsi wa sefofane	pilot
kopela	pin
sepelete	pin
peineapole	pineapple
pinki	pink
molete	pit
boka	pitch
segalo sa lentswe	pitch
tlhomogela pelo	pity
kutlwelobotlhoko	pity
lefelo	place
mafelo	places
leroborobo	plague
lebala	plain
tlhamaletseng	plain
leano	plan
sefofane	plane
semela	plant
dimela	plants
poleiti	plate
seralo	platform
tshameka	play
tshameka	playing
itumedisang	pleasant
tsweetswee	please
kgatlhwa	pleased
natefo	pleasure
peelo	pledge
itlamo	pledge
ntsi	plenty
poloto	plot
polaka	plug
poreimi	plum
polambara	plumber
bontsi	plural
photekhasete	podcast
leboko	poem
poko	poetry
supa	point
botlhole	poison
maphodisa	police
pholisi	policy
maitseo	polite
tshilafatso	pollution
mogobe	pond
phulu	pool
lekadiba	pool
makaka	poop
humanegile	poor
phunya	pop
itsege	popular
palo	population
nama ya kolobe	pork
motogo	porridge
boemakepe	port
maemo	position
molemo	positive
rua	possess
thuo	possession
thui	possessive
kgonega	possible
phoustu	post
poso	post
busetsa morago	postpone
tapole	potato
bokgoni	potential
ponto	pound
thuga	pound
lehuma	poverty
maatla	power
maatla	powerful
tiriso	practical
go dira	practice
bodiri	practice
baka	praise
pako	praise
motlae	prank
rapela	pray
ratega	precious
molotwe	precise
re tshe	precisely
bonelapele	predict
rata bogolo	prefer
leakanyetsopele	preference
imile	pregnant
kgobelelo	prejudice
dikgopolo	premises
mafelo	premises
karolotuelo	premium
paakanyo	preparation
baakanya	prepare
ipaakantse	prepared
letlama	preposition
boteng	presence
tlhagisa	present
mpho	present
teng	present
tlhagiso	presentation
dibela	preserve
moporesidente	president
bobega dikgang	press
tobetsa	press
kgatelelo	pressure
dira ekare	pretend
ntle	pretty
kganela	prevent
fetileng	previous
sebolawa	prey
tlhwatlhwa	price
boipelo	pride
mabela	pride
moruti	priest
potlana	primary
konokono	primary
golo	prime
ntlha	prime
boitekanelo	prime
kgosigatsana	princess
mogokgo	principal
pele go moo	prior
selo se se tlang pele	priority
kgolego	prison
bosephiri	privacy
poraefete	private
tlotla	privilege
sekgele	prize
rata thata	prize
gongwe	probably
bothata	problem
tsamaiso	procedure
tswelela pele	proceed
tirego	process
uma	produce
kungo	product
kumo	production
porofešhene	profession
porofešhenale	professional
porofaele	profile
poelo	profit
molemo	profit
boteng	profound
tswelelopele	progress
khutlola	project
porojeke	project
boemo	prominent
tlhageletseng	prominent
tsholofetso	promise
tlhatlhosa	promote
tlhatlhoso	promotion
rotloetsa	prompt
tshabelelwa	prone
maemedi	pronouns
kapodiso	pronunciation
bopaki	proof
siame	proper
sentle	properly
thoto	properties
pharologantsho	properties
thoto	property
tlhagiso	proposal
potiela	prospect
tswelelo	prosperity
tswelela	prosperous
sireletsa	protect
motlotlo	proud
tlhomamisa	prove
tlamela	provide
tlametse	provided
porofense	province
tlamelo	provision
bokgarebe	puberty
bokau	puberty
ya setšhaba	public
batho	public
goga	pull
lephutsi	pumpkin
mo nakong	punctual
thaka	pupil
morutwa	pupil
theko	purchase
phepa	pure
phepole	purple
