кӀеззиг	a little
тӀетаӀӀош	extremely
къаьсттина чӀогӀа	extremely
бӀарг	eye
бӀаьргаш	eyes
кӀеда	fabric
инзардоккху	fabulous
юьхь	face
бат	face
гӀолаца	facilitate
гӀирс	facilities
объект	facility
бакъдерг	fact
фактор	factor
завод	factory
факташ	facts
маргӀалдола	fade
аьтто боха	fail
аьтто боха	failed
кхачамбацар	failure
аьтто цахилар	failure
гӀийла	faint
оьзда	fair
мела	fairly
фея	fairy
тешар	faith
тешаме	faithful
моттаргӀа	fake
тардар	fake
харца	fall
дожа	fall
харцо	false
хастам	fame
довзар	familiar
доьзал	family
мацалла	famine
гоьдаьлла	famous
девзаш долу	famous
вентилятор	fan
мохтухург	fan
исбаьхьа	fancy
фантастическан	fantastic
гена	far
вовшахкъастар	farewell
хьаьтта	farm
ферма	farm
фермер	farmer
тайнарг	fascinating
дагадухург	fascinating
мода	fashion
сиха	fast
маса	fast
чехка	fast
мохь йиллина	fat
дерстина	fat
бале	fatal
кхоллам	fate
кхел	fate
да	father
гӀелдалар	fatigue
гӀалат	fault
дукха деза	favorite
хьоме	favorite
дика	favour
хьоме	favourite
кхерам	fear
той	feast
пелаг	feather
башхалла	feature
башхаллаш	features
февраль	february
вуьззина	fed up
ахча далар	fee
хӀума яла	feed
зӀе латтор	feedback
юкъарло кхабар	feedback
хаадала	feel
хаадалар	feeling
когаш	feet
охьакхета	fell
накъост	fellow
хаадала	felt
зударийн	female
керт	fence
ялта хьекъа	fertile
фестиваль	festival
схьадаккха	fetch
хорша	fever
масех	few
кӀизиг	fewer
зуда ехна стаг	fiance
кхоьллинарг	fiction
аре	field
дера	fierce
пхийтта	fifteen
шовзткъе итт	fifty
тӀом	fight
латар	fight
тасадалар	fight
латар	fighting
фигура	figure
кеп	figure
куц	figure
билгалдан	figure out
файл	file
дуза	fill
дуьззина	filled
фильм	film
цӀаьрмат	filthy
тӀаьххьара	finally
дерзош	finally
финансаш	finance
финансан	financial
каро	find
билгалдар	find out
дика ду	fine
пӀелг	finger
кхочушдан	finish
чекха даьккхина	finished
цӀе	fire
герзтохар	fire
декъа	firm
онда	firm
хьалхара	first
цӀе	first name
чӀара	fish
тӀеэха	fit
пхиъ	five
тодан	fix
тодина	fixed
байракх	flag
ялар	flash
квартира	flat
хӀусам	flat
петар	flat
эшам	flaw
ала хӀума доцу	flawless
дада	flee
дилха	flesh
лелира	flew
сатто	flex
кӀеда	flexible
тӀемадала	flight
сальто	flip
флирт лелор	flirt
цӀога хьийзор	flirt
флирт	flirting
даха	float
тӀехула латта	float
хидестар	flood
этаж	floor
гӀат	floor
дама	flour
даржа	flow
Ӏана	flow
зезаг	flower
грипп	flu
ведда	fluent
тӀехула	fluently
чехка	fluently
месала	fluffy
кочалла	fluid
лела	fly
ойла тӀеяха	focus
тидам тӀеберза	focus
дохка	fog
дахкаран	foggy
сатто	fold
нах	folks
тӀаьхьадаха	follow
тӀех ваха	follow up
тӀаьхьадаха	following
даар	food
кхача	food
Ӏовдал	fool
Ӏовдал	foolish
ког	foot
футбол	football
дуьхьа	for
-на	for
масала	For example
масала	for instance
хьуна	for you
дихкина	forbidden
магош доцу	forbidden
ца магийна	forbidden
гӀора	force
ницкъ	force
прогноз	forecast
хиндерг	forecast
хьаж	forehead
арахьара	foreign
кхечу мехкан	foreign
хьун	forest
гуттаренна	forever
дицдала	forget
гечдар	forgive
вицвелла	forgot
мӀара	fork
кеп	form
форма	form
куьцан	formal
хилла	former
ирсана	fortunately
хьал	fortune
шовзткъе	forty
шовзткъе шиъ	forty-two
хьалха	forward
гӀодан	foster
летта	fought
карийра	found
лард	foundation
бух	foundation
диъ	four
дейтта	fourteen
цхьогал	fox
экам	fragile
гур	frame
рамкаш	framework
курхалла	fraud
тамашена стаг	freak
мукъа	free
паргӀато	freedom
шелдала	freeze
луьсталла	frequency
кест-кеста	frequent
хӀоразза а хирг	frequent
наггахь	frequently
кест-кеста	frequently
керла	fresh
пӀераска	friday
шелиг	fridge
доттагӀ	friend
доттагӀаллин	friendly
доттагӀий	friends
дотагӀалла	friendship
кхераделла	frightened
кхераме	frightening
пхьид	frog
-ра	from
хьалхе	front
гӀорийнарг	frozen
шабинарг	frozen
стоьмаш	fruit
хилла доцу	frustrated
ягорг	fuel
FuӀfuӀde	Fulfulde
дуьззина	full
синкъерам	fun
функци	function
декхар	function
лард	fundamental
бух буьллу	fundamental
тезет	funeral
декхаделла	funny
самукъане	funny
чо	fur
луьра	furious
мебель	furniture
генара	further
цул совнаха	furthermore
хиндерг	future
схьаэца	gain
ловзар	game
юкъ	gap
гараж	garage
нехаш	garbage
беш	garden
саьрмасекх	garlic
ков	gate
лехьо	gather
лехьор	gathering
калибр	gauge
дела	gave
механизм	gear
стен-боьршалла	gender
коьрта	general
юкъара	general
гуттара	generally
генерировать	generate
тӀаьхье	generation
комаьрша	generous
гени	genius
жанр	genre
хьасартне	gentle
кӀеда-мерза	gentle
бакъ долу	genuine
билгало	gesture
схьаэца	get
тӀе хӀума йоха	get dressed
хьалагӀатта	get up
сиха товелла	get well soon
схьаэцар	getting
гӀаларт	ghost
гӀаларт	ghosting
доккха	giant
совгӀат	gift
Ӏамбар	ginger
занжабил	ginger
жима йоӀ	girl
йоӀ	girlfriend
дала	give
карадахар	give up
совгӀатна	given
хазахета	glad
синкъераме	glad
хьажар	glance
куьзга	glass
куьзганаш	glasses
лепар	glimpse
глобалан	global
бодане	gloomy
каранаш	gloves
лепа	glow
серло яла	glow up
бокх	glue
даха	go
хьалха дӀагӀо	go ahead
дӀагӀо	go away
дӀавижа ваха	go to bed
Ӏалашо	goal
Ӏалашонаш	goals
газа	goat
Дела	god
Дала декъал войла хьо	god bless you
тан	goes
даха	going
кечвала	going to
дошо	gold
дӀавахна	gone
гулделла	gonna
тӀелета	goo
дика	good
де дика хуьлда	good afternoon
Ӏодика хуьлда	good bye
дика де ду	good day
суьйре дика хуьлда	good evening
дика болх бу	good job
безаме	good looking
аьтто бойла	good luck
Ӏуьйре дика хуьлда	good morning
Ӏуьйре дика хуьлда хьан, хьоминаг	good morning my love
буьйса декъала хуьлда	good night
буьйса дика хуьлда	good night
Ӏодика хуьлда	goodbye
буьйса декъала йола	goodnight
дикалла	goods
Гугл	Google
GoogӀe гочдархо	Google Translate
гӀаз	goose
исбаьхьа	gorgeous
эладита	gossip
схьаэцна	got
кхийтира	got it
урхалла	government
Ӏедал	government
дӀалаца	grab
класс	grade
тӀаьхьо	gradually
тӀаьхь-тӀаьхьа	gradually
дешнарг	graduate
кӀа	grain
грант	grant
гайтинарг	granted
кемсаш	grapes
катохар	grasp
буц	grass
шена дина дика гуш	grateful
тӀалам болуш	grateful
баркалла	gratitude
каш	grave
басар	gray
сира	gray
тӀехдика	great
сутаралла	greed
сутара	greedy
баьццара	green
маршалла хаттар	greet
маршалла хаттар	greeting
маршалла хаттар	greetings
мокха	grey
сира	grey
бой	grid
бала	grief
атар	grind
лацар	grip
баккхал	grocery
зуда ехна стаг	groom
дерриг	gross
дуьне	ground
тоба	group
кхиа	grow
лакхалла	growth
кхоьлина	grumpy
Гуарани	Guarani
закъалт	guarantee
гаранти	guarantee
ха дар	guard
шекьхила	guess
дагаэккха	guess
хьаша	guest
куьйгалла	guidance
урхалла	guide
куьйгалла	guide
бехке	guilty
кӀант	guy
кӀентий	guys
тренажеран зал	gym
амал	habit
дахарна гонахдерг	habitat
хила	had
къора	hail
месаш	hair
ах	half
уче	hall
чуьра чоь	hall
куьг	hand
лардалар	handle
бӀаьрла	handsome
тайна	handsome
хаза	handsome
хьалаолла	hang
синкъерам	hang out
нисдалар	happen
хилар	happen
нисделла	happened
хилла	happened
тӀедеана	happened
ирс	happiness
ирсе	happy
декъала	happy
ирс долуш	happy
винчу денца декъалво	happy birthday
декъала хийла хьо	happy birthday to you
Керлачу шарца	happy new year
хала	hard
ницкъала	hard
халла	hardly
цкъа а хир дуй техьа	hardly ever
зен	harm
зуламе	harmful
гармони	harmony
буьрса	harsh
ялта чудерзор	harvest
хила	has
ца деза	hate
хилa	have
ду	have
Ӏодика йойла	have a good day
Ӏодика йойла	have a nice day
марта даа	have breakfast
сакъера	have fun
ахь хӀума йиина	have you eaten
долу	having
кхерам	hazard
яйн дохк	haze
иза	he
цуьнгахь	he has
иза ву	he is
корта	head
коьртан лазар	headache
дарба лело	heal
дарба лелор	healing
могашалла	health
могуш	healthy
хезаш	hear
хаза	hear
хезна	heard
дог	heart
йовхо	heat
стигал	heaven
хала	heavy
хоршан	hectic
локхалла	height
тӀаьхье	heir
къоладар	heist
латтийра	held
жоьжахати	hell
Маршалла хуьлда	Hello
маршалла ду хьоьга, хьомениг	hello dear
марша вогӀийла	hello how are you
муха ву хьо	hello how are you
Маршалла ду, хӀу деш ву хьо	hello how are you doing
гӀем	helmet
гӀо	help
пайде	helpful
цундела	hence
цуьнан	her
бажа	herd
кхузахь	here
тӀаьхьало	heritage
шеко хилар	hesitate
ХӀей	Hey
Маршалла ду	Hi
Маршалла ду, муха ву хьо	hi how are you
Маршалла ду	Hi there
къайлаха	hidden
дӀадилла	hide
иерархи	hierarchy
лекха	high
схьакъасто	highlight
таллар	hike
кхарстар	hike
лелар	hike
гӀашлойн туризм	hiking
самукъане	hilarious
гу	hill
цуьнан	him
дӀаалар	hint
ха	hip
варо	hip
вареш	hips
хӀотта	hire
болхбан стаг лацар	hiring
цуьнан	his
истори	history
тоха	hit
Хмм	Hmm
мерзделларг	hobby
хобби	hobby
кхаба	hold
латто	hold
сацо	hold
латта	hold on
Ӏуьрг	hole
дезде	holiday
еса	hollow
цӀа	home
цӀера болх	homework
догцӀена	honest
тешаме	honestly
моз	Honey
Мерзаниг	Honey
Хьомениг	Honey
сий	honor
капюшон	hood
мӀара	hook
кхийсадала	hop
сатийса	hope
догдаха	hope
сатуьйсуш долу	hopefully
тешаме воцу	hopeless
ана	horizontal
цатам	horn
ирча	horrible
Ӏадор	horror
говр	horse
дарбанцӀа	hospital
хьошалла	hospitality
хьалханча	host
да	host
тхьамда	host
мостагӀаллин	hostile
довха	hot
отель	hotel
сахьт	hour
сахьташ	hours
цӀа	house
цӀено	house
цӀийнан бахам	household
маса	how
мел	how
муха	how
Ахь хӀун эр дара	how about you
муха ву хьо	how are you
муха ву хьо	how are you doing
муха ву хьо тахана	how are you doing today
тахана муха ву хьо	how are you today
хӀун деш ву хьо	how do you do
муха	how is
мел	how many
маса	how much
мел	how much
мел кеста	how often
хьан маса шо ду	how old are you
муха дӀаделира хьан де	how was your day
муха дӀаелира буьйса	how was your night
делахь а	however
хаб	hub
майра	hubby
марадолла	hug
сов доккха	huge
тӀехдоккха	huge
стаг	human
адам	human
эсала	humble
тӀуьналла	humid
тӀуьналла	humidity
бӀе	hundred
меца	hungry
кого	hunt
дарц	hurricane
сихо	hurry
сихвала	hurry up
чов ян	hurt
лазо	hurt
дохо	hurt
майра	husband
цӀийнда	husband
тӀеттӀататтадалар	hustle
лаппагӀа	hut
уьнахцӀано	hygiene
Со	I
со ву	I am
Со дика ву	I am fine
соьга дало	I can
соьга ца дало	I can't
сан гӀуллакх ца хуьлу	I can't
Ас до	I do
Суна ца хаьа	I do not know
Со ца кхета	I do not understand
Суна ца	I don't
Суна ца хаьа	I don't know
Со ца кхета	I don't understand
Со ца кхета ахь дуьйцучах	I don't understand what you mean
Со ахь дуьйцчуьнах ца кхета	I don't understand you
Суна ца хаьа	I don’t know
Со ца кхета	I don’t understand
суна хета	i guess
Соьгахь дара	I had
cоьгахь ду	I have
сан ду	I have
Соьгахь хила	I have been
иштта хета суна а	I hope so
Суна хаа	I know
Суна хаз хета	I like
Суна хьо хазахета	I like you
Суна веза	I love
Суна сайн воккхаха ваша дукха веза	I love my big brother
Суна сайн йоккхаха йиша дукха еза	I love my big sister
Суна сайн да дукха веза	I love my father
Суна сайн ваша дукха веза	I love my little brother
Суна сайн йиша дукха еза	I love my little sister
Суна сайн нана дукха еза	I love my mother
Суна веза хьо	I love you
Суна чӀогӀа дукха еза хьо	I love you so much
Суна а веза хьо	I love you too
суна хетарехь	I mean
Хьуна сагатделла сан	I miss you
ЧӀогӀа сахьийза сан хьо ганза	I miss you so much
суна го	I see
суна хета	I think
со кхета	I understand
Суна деза	I want
Суна ган лаьа хьо	I want to see you
Суна хьо веза	I want you
Со вара	I was
со хир ю	I will
со хир ву	I will
Со хир вара	I would be
со ву	I'm
Дика ву со	I'm fine
со дика ву	I'm good
Со кхузахь ву	I'm here
къинтӀера вала	I'm sorry
бехк ма билла суна	I'm sorry
ша	ice
морожени	ice cream
ойла	idea
тӀехдаьлла дика	ideal
тоьлла дерг	ideal
цхьатерра	identical
билгалдаккха	identify
къасто	identify
цхьатерра	identity
идиот	idiot
мукъа	idle
нагахь санна	if
тергал цадар	ignore
лергах цаохьар	ignore
цомгуш	ill
бакъонца доцу	illegal
цамгар	illness
Илокано	Ilocano
сурт	image
сурт хӀоттош	imagine
хьем боцуш	immediate
сихха	immediately
хьем боцуш	immediately
хӀинцца	immediately
доккха	immense
вас	impact
Ӏаткъам	impact
собаре ца хилар	impatient
кхочушдар	implement
импорт ян	import
коьрта	important
мехала	important
ладаме	important
харцо йийца	impose
хила йиш йоцу	impossible
битам	impress
битам	impression
бӀаьрла	impressive
битаме	impressive
дӀанисдан	improve
тадан	improve
тадан	improvement
чу	in
тӀетохуш	in addition
Боккъола а	In fact
хьалха	in front of
дуьхьа	in order to
цхьана ца догӀу	inappropriate
яхь	incentive
стимул	incentive
хьовзам	incident
хилларг	incident
хилам	incident
дӀаэца	include
чулоцуш	including
чулацар	including
пайда	income
бӀегӀийла	inconvenience
алсамдаккхар	increase
дебор	increase
алсамдаькхинарг	increased
Ӏаламате	incredible
тамаше	incredible
баккъалла а	indeed
дозуш доцу	independent
Инди	India
гайта	indicate
дуста	indicate
бухера схьа	indigenous
бухенгара	indigenous
шенна лерина	individual
шенна	individual
шашаха	individual
индустри	industry
хилаза ца долу	inevitable
бер	infant
инфекци	infection
йист йоцуш	infinity
кхетар	inflammation
инфляци	inflation
Ӏаткъам	influence
хаамбар	inform
хаам	information
информаци	information
ингридиенташ	ingredients
верасалла	inheritance
юьххьера	initial
дуьххьера	initial
дуьххьара	initiative
чов хилла	injured
лазийна	injured
чов	injury
бехкбоцу	innocent
инноваци	innovation
таллам	inquiry
хьераваьлла	insane
сагалмат	insect
кхерамза	insecure
тийса	insert
чохьа	inside
чохь	inside
чухулара	inside
само	insight
тидамалла	insight
тӀера цавалар	insist
къар цавалар	insist
наб яр	insomnia
дог ирахӀоттар	inspiration
дагатасар	inspire
дӀахӀоттор	install
масал	instance
мӀаьргона	instant
бӀаьрган негӀар тохале	instant
метта	instead
меттал	instead of
хьехамаш	instructions
гӀирс	instrument
инструмент	instrument
сийсаздаккхар	insult
зен юкъара хилар	insurance
куьг тохаза	intact
дийна хилар	integrity
интеллектан	intellectual
интеллект	intelligence
хьекъале	intelligent
кхетам болуш	intelligent
ойла ян	intend
билгалдаьккхина	intended
сихонца	intense
сихдинна	intense
чехкка	intense
негат	intention
дозуш хила	interact
зӀе латтор	interaction
тидам тӀеберзар	interest
догдар	interest
тидам тӀебаханарг	interested
тамаше	interesting
самукъане	interesting
юкъегӀертар	interfere
юкъера	intermediate
чохьара	internal
дуьненаюкъара	international
интернатура	internship
хьеха	interpret
кхетам бала	interpret
гочдархо	interpreter
хадор	interrupt
интервью	interview
дагара	intimate
чу	into
декъаозо	introduce
чулаца	introduce
чулацам	introduction
чудахар	introduction
интроверт	introvert
ийна	introvert
делладелла	introvert
дегахьехам	intuition
бакъдоцу	invalid
кхолла	invent
гӀирс	inventory
инвентарь	inventory
юкъадилар	invest
талла	investigate
кхайкхар	invitation
кхайкхар	invite
хьесап	invoice
декъаозар	involve
юкъаозор	involve
декъадигина	involved
юкъаозина	involved
декъаозийна	involved
эчиг	iron
ду	is
гӀайре	island
къаьстина	isolated
хаттар	issue
проблема	issue
декхар	issue
хаттарш	issues
иза	it
и ду	it is
иза ду	it is
и хила	it was
хӀара	it's
дерриг дика ду	it's ok
Дерриг дика ду	It's okay
пункт	item
хӀуманаш	items
цуьнан	its
Со ву	I’m
куртка	jacket
набахте	jail
Январь	January
кӀудал	jar
мочхал	jaw
хьогӀе	jealous
эмгаралле	jealous
Ӏовдал	jerk
ювелиран хӀуманаш	jewelry
болх	job
вадар	jogging
декъадаха	join
дӀакхета	join
цхьаьна ден	joint
бегаш	joke
журналист	journalist
араваьлла лелар	journey
кхарстар	journey
хазахетар	joy
кхелахо	judge
мутта	juice
июль	july
кхосавалар	jump
июнь	june
тӀелхигаш	junk
атта	just
дехьа иза	just do it
нийсо	justice
бехказвоккхуш	justify
Калааллисут	Kalaallisut
тӀедирзина	keen
тидам болуш	keen
чусадиллина	keen
латто	keep
сацо	keep
иштта дӀа	keep it up
лаьцна	kept
чайнак	kettle
догӀа	key
мийра Ӏитта	kick
бер	kid
бералла	kidding
жим	kidney
бераш	kids
вер	kill
оьзда	kind
дика	kind
тайпана	kinda
безамехь	kindly
дикалла	kindness
паччахь	king
барт баккхар	kiss
оба яккхар	kiss
кхача буу чоь	kitchen
кехатан кема	kite
цициган кӀорни	kitten
гола	knee
хиина хила	knew
урс	knife
рыцарь	knight
тӀемало	knight
хаьа	know
хаарш	knowledge
Ӏилма	knowledge
доьвзаш долу	known
Конкани	Konkani
Крио	Krio
биргӀа	label
къинхьегам	labor
къинхьегам	labour
цахилар	lack
лами	ladder
леди	lady
диллина	laid
Ӏам	lake
ишал	lake
Ӏахар	lamb
астагӀ	lame
стогар	lamp
аре	land
латта	land
Ӏалам	landscape
мотт	language
ган	lap
доккха	large
тӀаьххьара	last
тӀаьххьара амма ладаме	last but not least
фамили	last name
тӀаьхьа	late
тӀехтилла	late
дукха хан йоцуш	lately
тӀаьхьо	later
тӀаьхьа	later
тӀаьхьара	latest
тӀаьххьара	latter
дела	laugh
доьлу	laughing
велар	laughter
хьалалатор	launch
долор	launch
хӀуманаш юьттийла	laundry
закон	law
низам	law
хоти	lawn
юрист	lawyer
охьадилла	lay
чкъор	layer
дӀанисдар	layout
мало ен	lazy
малонча	lazy
дига	lead
хьалха хила	lead
коьртехь хила	lead
лидер	leader
гӀа	leaf
дӀаэхар	leak
тӀетовжа	lean
кхийсадала	leap
Ӏамор	learn
Ӏамор	learning
аренда	lease
уггар кӀезиг	least
чкъор	leather
дӀатаса	leave
дита	leave
гӀаш	leaves
дига	led
аьрру	left
аьрру агӀор	left
ког	leg
тӀаьхьало	legacy
законан	legal
низамехь	legal
дийцар	legend
туьйра	legend
низаме	legit
законан	legit
мукъа хан	leisure
юхалург дала	lend
йохалла	length
жимаха	less
дарс	lesson
урок	lesson
бакъо яла	let
маго	let
кехат	letter
салат	lettuce
берам	lettuce
рагӀ	level
зеразакъ	leverage
жоьпалла	liability
библиотека	library
мотт хьекха	lick
аьшпаш	lie
пуьташ	lie
харцо	lies
дахар	life
хьалагӀатто	lift
хьалаайдан	lift
серло	light
ткъес	lightning
деза	like
схьахетарехь	likely
цунах терра	likewise
оцу кепехь	likewise
сиз	line
Лингала	Lingala
ссылка	link
лом	lion
кочалла	liquid
список	list
ладогӀа	listen
ладогӀар	listening
ма-дарра	literally
литература	literature
нехаш	litter
жима	little
даха	live
доӀах	liver
дахаран	lives
кхачо	living
дахар	living
хьешан цӀа	living room
моьлкъа	lizard
тӀедахка	load
бепиг	loaf
кредит	loan
юхалург ахча дала	loan
меттигера	local
лаьтта меттиг	location
догӀа	lock
дӀакъовлар	lockdown
блокировка	lockdown
хен	log
терса	lol
цхьалха	lonely
деха	long
ганза дукха хан яра	long time no see
хьежа	look
лол	loop
маьрша	loose
мукъа	loose
эла	lord
дайа	lose
дайар	loss
дайина	lost
дайна	lost
дуккха	lot
чӀогӀа	loud
хьешан цӀа	lounge
безам	love
суна веза хьо	love you
тӀехдика	lovely
лоха	low
лахахь	lower
тешаме	loyal
муьтӀахьалла	loyalty
аьтто	luck
аьтту болу	lucky
Луганда	Luganda
кира	luggage
дакъа	lump
делкъехь хӀума яар	lunch
атта	lungs
хьолалла	luxury
Ӏуьллу	lying
машина	machine
хьерадаьлла	mad
кхетам боцуш	mad
мадам	madam
дина	made
кхоьллина	made
журнал	magazine
исбаьха	magnificent
гӀарбаш	maid
коьрта	main
кхаба	maintain
латто	maintain
чӀагӀдан	maintain
хьашт кхочушдар	maintenance
Майтхили	Maithili
коьрта	major
дукхахдерг	majority
дан	make
дан	make up
вовшахтоха	make up
боьршаниг	male
йоккха туька	mall
стаг	man
адам	man
урхалла дан	manage
куьйгалла дан	manage
урхалла	management
менеджер	manager
дан дезарг	mandatory
декхарийлахь долу	mandatory
манифест	manifest
кхайкхам	manifest
манипуляци ян	manipulate
амал	manner
хьехам	manual
инструкци	manual
дукха	many
чӀогӀа дукха хаза юхадар хилла кху дийнахь	many many happy returns of the day
март	march
пайда	margin
базар	market
брак	marriage
марехь	married
маска	mask
йоккха тоба	mass
сов доккха	massive
доккха	massive
пхьар	master
говзанча	master
мастер	master
нисдалар	match
накъост	mate
материал	material
математика	math
хьал	matter
гӀуллакх	matter
кхиар	maturity
хила мага	may
хила тарло	maybe
хила мега	maybe
суна	me
со а	me too
даар	meal
маьӀна хила	mean
хетарехь	mean
маьӀна	meaning
маьӀна хилар	means
моттург	meant
цуьнца цхьаьна	meanwhile
барам	measure
гӀуллакхаш	measures
жижиг	meat
лоьрийн	medical
дарба	medicine
молха	medicine
медитаци	meditation
юккъера	medium
цхьаьнакхета	meet
вовшахкхета	meet
гулло	meet
вовшахкхетар	meeting
Мейтейлон	Meiteilon
лала	melt
дагадар	memories
эс	memory
хьекъале	mental
хьахор	mention
хьахийна	mentioned
хьехамча	mentor
йохкархо	merchant
къинхетам	mercy
атта	merely
Декъал хуьлда	merry christmas
кегари	mess
хаам	message
къепе йоцу	messy
метал	metal
метод	method
кеп	method
дехкий	mice
юккъера	middle
ахбуьйса	midnight
хила тарлуш	might
кӀеда	mild
дайн	mild
мунда	milestone
тӀеман	military
шура	milk
миллион	million
кхетам	mind
хьекъал	mind
ойла яр	mindset
сайн	mine
сан	mine
эдан	mingle
бӀегӀийла йоцу	minor
ладам боцу	minor
эшаме	minor
минот	minute
миноташ	minutes
Ӏаламат	miracle
куьзга	mirror
башха	miscellaneous
хьогӀе	mischievous
ирс доцу	miserable
къоьлла	misery
мисс	miss
Хьуна сагатделла	miss you
дайнарг	missing
мисси	mission
дохка	mist
гӀалат	mistake
Мизо	Mizo
мобилан	mobile
арахецар	mock
модель	model
гӀехьа	moderate
вайн хенан	modern
эвхье	modest
тӀуьна	moist
тӀуналла	moisture
матар	mold
минга	mole
нана	mom
юкъ	moment
мӀаьрго	moment
оршот	monday
ачха	money
монитор	monitor
маймал	monkey
бутт	month
ойла	mood
луьра	moody
бутт	moon
оьздангаллин	moral
доккхаха	more
дуккхаха	more
дукхаха	moreover
Ӏуьйре	morning
ипотека	mortgage
уггар доккха	most
коьртан	mostly
нана	mother
болам	motion
мотиваци	motivation
лам	mountain
дахка	mouse
бага	mouth
лела	move
болар	movement
лелар	movement
кино	movie
госпожа	mrs
дукха	much
мода	mud
кружка	mug
дилха	muscle
музей	museum
жӀаьлин нускал	mushroom
мукъам	music
йиш	music
декхар ду	must
хила деза	must
дан деза	must
аз доцу	mute
вовшийн	mutual
сан	my
Сан хьомениг	My dear
сан накъост	my friend
Сан хинкема жӀаьлин чӀерех дуьззина ду	My hovercraft is full of eels
сан безам	my love
сан цӀе ю	my name is
хаза а хеташ	my pleasure
сайн	myself
къайлаха	mysterious
къайле	mystery
хабар	myth
мӀара	nail
кӀоргенза	naive
цӀе	name
дийцаран	narrative
готта	narrow
гомха	narrow
вон	nasty
къаьмнийн	national
къам	nationality
чоьхьара	native
даймахкара	native
цӀера	native
Ӏаламан	natural
Ӏалам	nature
дог керчар	nausea
уллехь	near
юххехь	near
гергахь	near
лулахь	nearby
гергга	nearly
дурсе	neat
цӀена лелаш	neat
оьшуш долу	necessary
ворта	neck
туьтеш	necklace
дан дезар	need
оьшуш хилар	need
хьашт хилар	need
дацаре	negative
негативе	negative
бӀостанехьа	negative
цадаша	neglect
дагадовла	negotiate
лалахо	neighbor
лулахо	neighborhood
цхьа а	neither
вешин кӀант	nephew
йишин кӀант	nephew
Ӏонтаз	nerd
сингаттаме	nervous
сабӀаьрзе	nervous
нерваш дика йоцуш	nervous
бен	nest
зӀе	net
сеть	network
юкъа ца гӀерта	neutral
цкъа а	never
цкъа а кара ма гӀo	never give up
тергалдан оьшуш доцу	never mind
тидаме ма эца	never mind
ледара	nevermind
хӀетте а	nevertheless
керла	new
керланаш	news
poгӀepa	next
гергахь	next to
юххехь	next to
уллехь	next to
тайна	nice
хаза	nice
товш	nice
хьо вевзина хаза хета	nice to meet you
вешин йоӀ	niece
йишин йоӀ	niece
буьйса	night
Ӏаламат	nightmare
исс	nine
ткъесна	nineteen
дезткъе итт	ninety
ХӀан-хӀа	No
новкъа дац	no problem
проблема яц	no problem
хӀумма а	no way
цхьа а	nobody
гӀов	noise
гӀовгӀа йолу	noisy
гӀаране	noisy
кӀадбоцург	none
цхьа а доцург	none
делкъе	noon
хӀан-хӀа	nope
доцуш	nope
цхьа	nor
барамехь	normal
гуттарлера	normal
къилбаседа	north
мара	nose
яхначу хене сатийсарца	nostalgic
хӀан-хӀа	not
цхьа а	not at all
вон дац	not bad
дац цкъачунна	Not now
хӀинца а хиланза	not yet
кехат	note
билгалдаьккхина	noted
хӀумма а	nothing
доцург	nothing
хаам	notice
гинарг	noticed
цӀердош	noun
цӀердош	nouns
роман	novel
ноябрь	november
хӀинца	now
хӀинцалерчу хенахь	nowadays
цатам	nuisance
нолан	null
мотт цахуург	numb
мотсецнарг	numb
номер	number
лорйиша	nurse
бӀара	nut
мускатан бӀара	nutmeg
даар	nutrition
дуй	oath
дарстар	obesity
муьтӀахь хила	obey
объект	object
Ӏалашо	objective
тӀелацам	obligation
къаьсташ доцу	obscure
тергам бар	observation
тидаме эца	observe
талла	observe
тергам бан	observe
Ӏалашо кхочуш ян араваьлла	obsessed
сацам байна	obsessed
сацам байна	obsession
ширделла	obsolete
дуьхьало	obstacle
тӀекхача	obtain
схьаэца	obtain
схьаэцнарг	obtained
гуш долу	obvious
схьахетарехь	obviously
юкъкара	occasionally
наггахь	occasionally
мукъа цахилар	occupation
мукъа доцу	occupied
схьадала	occur
нисделла	occurred
схьадалар	occurs
океан	ocean
октябрь	october
тамаше	odd
шансаш	odds
-ах	of
-aн	of
бакъду	of course
дера	of course
ара	off
юьстах	off
мостагӀаллин	offensive
кховдор	offer
офис	office
чоь	office
лерина	official
юкъ-кара	often
кест-кеста	often
дуккхаза	often
оxӀ	Oh
охӀ-хӀай	Oh
бакъ ду	oh really
даьтта	oil
мегар ду	ok
дика ду	ok
дик ду хьоминаг	ok dear
дика ду, хьоменаг	ok honey
дика ду, хьомениг	ok my love
дика ду	okay
мегар ду	okay
дика ду хьомениг	okay baby
дика ду, хьоминиг	okay dear
дика ду, хьомениг	okay honey
дика ду, сан безам	okay my love
къена	old
воккха	old
тӀе	on
цкъа	once
цхьаъ	one
цхьа а мотт ца хуьлу кхачам болуш	one language is never enough
хох	onion
онлайн	online
бен	only
схьаделла	open
операци	operation
хетарг	opinion
таронаш	opportunities
аьтто хилар	opportunity
таро	opportunity
дуьхьал	opposite
тешаш хила	optimistic
догдогӀуш хила	optimistic
отптимист хила	optimistic
вариант	option
тӀехь доцу	optional
я	or
цӀехо-можа	orange
омра	order
буьйр	order
могӀара	ordinary
хьукмат	organization
организаци	organization
ориентаци	orientation
къастам	orientation
схьавалар	origin
бухара стаг	origin
оригинал	original
Оромо	Oromo
бобер	orphan
кхин	other
