a	with
follow	dondo
follow up	dondu
following	cirin
food	kwagh yan
fool	byume or
foolish	bume
foot	kpande nguhar
football	bol
for	Gadia
For example	u tesen ikyav
for instance	nenge ase yo
for you	sha ci wough
forbidden	iyange kwagh
force	tahav
force	agee
forecast	fa akper
forehead	icur
foreign	ken ityar igen
forest	ikyo
forever	gbem
forever	shawon
forget	hungur
forgive	de kwaghbo
forgot	hungur
fork	fooku
form	inja
formal	sha tindi
former	u karen
fortunately	er doo
fortune	shagba
fortune	zegeinyar
forty	akundu ahar
forty-two	akundu ahar kar uhar
forward	hemen
foster	hingir
fought	nongu
found	zua
foundation	imaagh
four	unyiin
fourteen	pue kaa unyiin
fox	ageranyi
fragile	taver ga
frame	kon shi iyou ki sha foto ga windolo
framework	sha anza
fraud	iv
freak	gba eren tso
free	gbilin
freedom	ueren kwagh sha shima you
freeze	gba akpo
frequency	kwa
frequent	hanmashie
frequently	felefele
fresh	ndor
fresh	gese gese
fresh	he
friday	tomataan
fridge	ityegh ki batur
friend	ijende
friend	aboki
friend	ikyar
friendly	saasaa
friends	mba aboki
friendship	ikya
friendship	ijende
frightened	cieu
frightened	mciem
frightening	chie
frog	isôhô
from	Hana
front	ken shi
frozen	kundu gba akpo
fruit	ityamegh
frustrated	shima vihin
fuel	pyaturuu
Fulfulde	Fulfulde
full	iv
fun	saan iyol
fun	msaanyol
function	eren tom
fundamental	hange hange
funeral	iku tsan
funny	Hôm
fur	ice i kpatema u vesen
furious	ishima vihin
furniture	kyav mbi ken iyou
further	Hemen
furthermore	ken hemen yo
future	ken hemen
gain	mtsera
gain	liba
game	anumbe
gap	ian
garage	gaadi
garbage	tsaver akaa
garden	sule
garlic	alabusa
gate	gyet
gather	kohol
gathering	mkohol
gauge	karen
gave	na
gear	eren
gender	kwase gayo nomsoor
general	cica cii
generally	zom chii
generate	dugh ker
generation	ikyov ikyov
generous	eren iyua
genius	orfankwagh
genre	ityo
genre	inja
gentle	kundu kundu
gentle	ishima legh legh
gentle	sar sar
genuine	mimi
gesture	dughn ave
gesture	tesen
get	Kura
get dressed	mou hua kyondu
get up	mou sha
get well soon	angev mbu bee
getting	zuan ami
ghost	mbakuv
ghost	jijingi
ghosting	ken myer
giant	ikyôror
gift	iyuwa
ginger	seta
girl	wanye kwase
girl	wan kwase
girlfriend	ishiôr
give	na
give up	dekera
given	na
glad	ember
glad	member
glance	kenger
glass	jingi
glasses	akpe
glimpse	nenge
global	tar chir
gloomy	vihin
gloves	azubu a sha ave
glow	iengem
glow up	lu sha shi ese-ese
glue	var
go	Yem
go ahead	zahemen
go away	yem kera
go to bed	ye za yav
goal	ikyo
goals	ako
goat	ivyo
god	Aondo
god bless you	aondoter a nau iveren
goes	zenden
going	yemen
going to	zan u
gold	zanaria
gone	yem
gonna	m soo pe
goo	yem
good	Doo
good afternoon	u pande vee
good bye	za dedoo
good day	upande nena
good evening	u pande vee
good job	tom u dedoo
good looking	u doo ashe
good luck	ikyor dedoo
good morning	U nder ver
good morning my love	adoomshima u nder ver
good night	Sa kpee
goodbye	saakper
goodnight	saa kper
goods	ikyav
Google	google
Google Translate	gema ijô kposo kposo sha google
goose	ikyegh
gorgeous	doo anshe
gossip	angereke
got	zua
got it	zua amin
government	gomenti
government	gomooti
grab	kor
grade	ikyaren
gradually	kure kure
gradually	tegh tegh
graduate	bee makeranta
grain	waarawa
grant	na ian
grant	na
granted	lumun
granted	na
granted	ne
grapes	atam a wain
grasp	kaven
grass	toho
grateful	iwuese
gratitude	iwuese
grave	uwar
gray	ivu
great	tapka
great	Akaavesen
greed	hua
greedy	hwa
greedy	huwa
green	kweegh dindee
greet	sugh
greeting	ishuun
greetings	ishuun
grey	il
grid	hwange
grief	mzungu
grind	wua
grip	kusu
grocery	akaayan
groom	or kwase he
gross	hanmakwagh cii
ground	he nya
group	mkohol
grow	mende
grow	vese
growth	mzehemen
grumpy	ishimavihin
Guarani	Guarani
guarantee	bum
guarantee	ityendezwa
guard	kura
guess	ahaba
guest	orvanya
guidance	hemen
guide	tesen
guilty	iboogh
guilty	ave-il
guy	angbian wam
guy	orne
guys	nomsoov
gym	iyou i anumbegh
habit	ieren
habit	mlu
habitat	tar
had	vande
hail	ishunghun
hail	wuese
hair	ice
half	tion
hall	iyou
hall	ate
hand	wegh
handle	nenge sha mi
handsome	ordoon
hang	zer
hang out	due shawon
happen	kwagh er
happened	kwagh er
happiness	msaaniyol
happy	Saan
happy birthday	iyange I mmar a doo
happy birthday to you	i yange i mar i doo
happy new year	inyom ihe i doo
hard	Taver
hardly	taver
hardly ever	ka taver hanmashie
harm	bura
harmful	iyolvihin
harmful	bula
harmful	kwaghbo
harmony	iligh
harsh	tu vihin
harvest	sunda
has	a
hate	tswam
have	mba
have a good day	yange i doo
have a nice day	iyange i doo
have breakfast	ya kwaghyan u pepe
have fun	lu dedoo
have you eaten	u ya kwagh ver
having	lun
hazard	vihin
haze	iikpigh
he	Wen
he has	ngu
he is	nomsoor ngu
head	tyo-or
head	ityough
headache	nande tyough
heal	bee angev
healing	mbee u angev
health	mkpeyol
healthy	dedoo
hear	ungwa
heard	ungwa
heart	ishima
heat	iceeyologh
heaven	tartor
heavy	yuhwa
hectic	hurugh hurugh
hectic	kpishi u eren
height	ityaven
heir	mbayandyako
heist	iv
held	Kor
hell	hade
hell	igyam usu
Hello	msugh u
hello dear	msugh u
hello how are you	msugh, u ngu nena
hello how are you doing	u ngu nena?
helmet	agunduutya
help	Wase
help	iwasen
helpful	iwasen
hence	Shanahan yô
her	un
herd	kpilanyam
here	heen
heritage	tsegh
hesitate	wanger ga
Hey	Ka we
Hi	msugh u
hi how are you	u ngu nena
Hi there	i er nena
hidden	myer
hide	yer
hierarchy	Sha atihi
hierarchy	Sha aaven
high	Hembasha
highlight	ityouki kwagh
hike	unde
hiking	wo unden
hilarious	doo gande
hill	igyungu
hill	uwo
him	wen
hint	tam kyuur
hip	ikyoosu
hips	ikyoosu
hips	iwenge
hire	kimbi ortom
hiring	tôô tom
his	una
history	yiase
hit	kema
hit	ta
Hmm	shigh shima
hobby	akaaeren sha shie u memen
hold	Kôr
hold on	tile
hold on	kôr ave
hole	ihyula
hole	ihyungwa
holiday	memiyol
hollow	ikwe vande
home	ya
homework	ityom i ne ke makeranta
honest	mimi
honestly	mimi
Honey	Iyough
honor	iwuese
honor	icivir
hood	gar
hook	tsuwe
hop	tsue
hope	Ishima i veren keghen
hopefully	ishimaveren
hopeless	gbenda ke ngu ga
horizontal	teran
horn	korugh
horrible	vihi kpishi
horror	bo
horse	nyinya
hospital	iyouci
hospitality	ere mbavannya dedoo
host	ikyum
hostile	tswam
hostile	ayôôso
hot	Tsee
hotel	ijiir i tsan
hour	ihwa
hours	ahwa
house	ya
household	tsombor
household	hen ya
how	Nena
how about you	we ye
how are you	U ngu nena
how are you	U pande nena
how are you doing	U ngu nena
how are you doing today	U ngu ne na nyian
how are you today	u ngu nena nyian
how do you do	u ngu nena
how is	ngu nena
how many	ume
how much	ka nana
how often	ka ashien nena
how old are you	Un ngu ayom a me
how was your day	iyange you kaa nena
how was your night	u yav dedoo ga
however	kpaa
however	nahan kpaa
hub	ijiir
hubby	nom
hug	kuve
huge	Kutuku
huge	dômôô
human	or
human	umace
human	orumace
humble	iyol jime
humid	iceenyolough
humidity	ndoholugh
hundred	deri
hungry	ijen
hunt	ikyor
hurricane	ijeverahumbe
hurry	fesefese
hurry up	fefa
hurt	vihi iyol
husband	nom
hustle	ker kwagh
hut	yol toho
hygiene	tsembelegh
I	Mo
I am	m ngu
I am fine	kwagh erem ga
I can	me fatyo
I can't	me fatyo ga
I do	m eren
I do not know	mfa ga
I do not understand	mkav ga
I don't	m soo ga
I don't know	M fa ga
I don't understand	M kav ga
I don't understand what you mean	mfa kwagh u usoo ga
I don't understand you	m ngu kaven we ga
I don’t know	mfa ga
I don’t understand	m kav ga
i guess	m hen mer
I had	yange m
I have	M ngu aa
I have been	mngu
I hope so	m hen nahan
I know	M fa
I like	msoo
I like you	msoo u
I love	doomshima
I love	msoo
I love my big brother	msoo angbianwam unomso u vesen
I love my big sister	msoo angbianwam ukwase u vesen
I love my father	msoo terem
I love my little brother	msoo angbianwam unomso u cuku
I love my little sister	msoo angbianwam ukwase u cuku
I love my mother	msoo ngom
I love you	u doom shima
I love you so much	u doom ishima kpishi
I love you too	we kpa u doom shima
I love you too	mo kpa msoo kwagh wough
I mean	m hen me
I miss you	sa rem pe nengen a we
I miss you so much	salem ape nenge awe yum
I see	mnenge
I think	mhen
I understand	m kav
I want	m soo
I want to see you	msoo ape nengen awe
I want you	msoo u
I was	m lu
I will	me er
I would be	me lu
I'm	m ngu
I'm fine	m ngu doo doo
I'm good	mngu dedoo
I'm here	mngu heen
I'm sorry	yam anyi
ice	ndôhôr
ice	ikyo mnger
ice cream	ice cream
idea	gbenda
idea	mhen
ideal	vough
ideal	dedoo
identical	fa inja
identify	Kav
identity	fan
idiot	ibyume or
idle	gbilin
idle	tom ave ave
if	aluer
ignore	ungwa ato
ill	angev
illegal	iferkwagh
illness	angev
Ilocano	Ilocano
image	foto
imagine	henen
immediate	fese
immediate	ave ave
immediately	kpase
immense	zegeuee
impact	gbussu
impact	gbuur
impatient	kela ke kela
implement	er keng
import	yamen va teen
important	hange-hange
impose	kii ior
impossible	manyange ga
impossible	fatyô ga
impress	er doon
impression	doon tsung
impression	hemban doon
impressive	kwagh la doo
improve	Vese
improvement	mzehemen
in	ker
in addition	u see shami
In fact	nahan
in front of	ishigh ki
in front of	sha ashe a
in order to	u una
inappropriate	shamiga
incentive	taver
incentive	kwagh u taver shima
incident	kwagh u yange er
include	kuwa
including	kua
income	inyaregh
income	inyaregh ki sha wer
inconvenience	hagher
increase	Seer
increased	seer
incredible	kpiligh iyol
indeed	sha mimi yô
indeed	sha kpôô yô
independent	tseeneke
India	kpen tar u India
indicate	tese
indigenous	marnya
individual	gbenger
industry	ijii i eren akaa
inevitable	ubunden ngu ga
infant	wanakiriki
infection	iangev
infinity	mkurshio
inflammation	mula
inflation	ishe seer
influence	mhen
inform	orlun
information	ibaver
ingredients	ikyayue
ingredients	ilyôghonov
inheritance	dyako
initial	iti i hiihii
initiative	kwaghhenen
injured	vihi yol
injured	yolvihin
injury	iyolvihin
injury	ivav
innocent	ishôô
innovation	gbenda u he
inquiry	kawagh pinen
insane	ihyundugh
insect	akaa a purugh
insecure	shimayinan
insert	wa
inside	ken ato
insight	averashe
insist	hange
insomnia	mhungur
inspiration	mgbegha
inspire	mgbegha
install	wa
instance	tesen ikyav
instant	fese
instant	ave ave
instead	Kpa
instead of	sha ityough ki
instructions	atindi
instrument	ikyagh ki tomough
instrument	kwaghkuhwan
insult	tuhwa
insurance	injaa i yolkuran
intact	gban gban
integrity	tile sha mimi
integrity	mimi
intellectual	kwghfan
intelligence	kwaghfan
intelligent	kwaghfan
intend	awa shima
intended	awa ishima
intense	taveraa
intention	awashima
interact	lam
interaction	mpin
interaction	imôngo
interest	gba shima
interest	mtsera
interest	isharen
interested	salem
interesting	isharen
interfere	wan ave
intermediate	hen atô
internal	ken ato
international	taa chigh
internship	tom
interpret	pase
interpreter	or pasen idjwa
interrupt	nzughul
interview	mba mpin
intimate	kôôsôô
intimate	tsembelee
into	ken
introduce	pase
introduction	hii kwagh
introvert	or lun teghlee
intuition	ishima you
invalid	a inja ga
invent	gba
inventory	ikyav mbi
invest	zua liba
investigate	mker
investigate	time
invitation	lôhô
invite	loho
invoice	ikyav i nyarev ki kimbin
involve	kua ior
involved	ave-il
involved	wa wegh
iron	iyou
is	lu
island	uicile
isolated	tswen
issue	ikyaa
issues	ikyaa
it	lu
it is	ngu
it was	yange
it's	ka
it's ok	ka shami
It's okay	kashami
item	akaa
items	ikyav
its	ka han a utse
I’m	mo
I’m	me
jacket	zege riga
jail	pulusu
January	we u hiihii
jar	ityegh
jaw	gbem zwa
jealous	yuhwe
jerk	ibumeor
jewelry	anagh
job	tom
jogging	ayem
join	nyor
joint	ijuan
joke	asenge
journalist	or abaver
journey	zende
joy	msaaniyol
judge	orjir
judge	ijir
juice	zar atamaikyon
july	wer u sha utaankaruhar
jump	tsue
june	uwer u sha atera tar
junk	akojo ukya
just	perapera
just	Er
just do it	gba eren tso
justice	ijirôron
justify	ishô
Kalaallisut	Kalaallisut
keen	girim
keep	ver
keep it up	zahemen
kept	ver
kettle	tsua
key	kii
kick	tume
kid	wanye
kidding	asenge
kidney	ahi
kids	mbayev
kill	wua
kind	Dedoo
kind	Anza
kinda	kam er
kindly	kundu kundu
kindness	er doo
king	tor
king	or u hemen
kiss	zwa susen
kiss	suse zwa
kitchen	iyou iyorun
kite	nima
kitten	wan kpatema
knee	inyu
knew	fa
knife	ihyô
knight	orshoja
know	Fa
knowledge	kwagh-fan
known	fa
Konkani	konkani
Krio	Krio
label	ngyeren i tii
labor	mbatomov
labour	mbatomov
lack	ibyan
ladder	jande
lady	kwase
laid	ver
laid	bugh gbenda
lake	kungwa
lamb	wan iyongu
lame	byumegh
lamp	imienger
land	inya
landscape	talegh nyaa
language	Zwa
lap	anam
lap	ikyum
large	gbogbonan
large	igbyenge
large	zegenan
last	masetyô
last but not least	u masetyo kpa hemban ndahar ga
last name	iti masetyo
late	leti
lately	mase jime
later	hila
latest	sember
latter	utse
latter	masetyô
laugh	se
laughing	sen
laughter	aham
launch	kwaghyan u atetan
laundry	kiren akondo
laundry	kôôn akondo
law	tindi
lawn	paa tembe
lawyer	or atindii
lay	ta
layer	abeen
layout	mlu
lazy	hwe
lazy	gbudôô
lazy	hwev
lead	Hemen
leader	orhemen
leaf	kwa
leak	ian i kwagh duen
lean	kande
leap	tsue
learn	hen
learning	kwagh henen
lease	na sha nya
least	hemba gban jime
leather	ikyoughur
leave	undu
leaves	ikya
led	hemen
left	yem
leg	nguhar
legacy	dyako
legal	sha tindi
legend	yiase
legit	mimi
leisure	ahumbe
lend	wasem
length	iniembe
length	lihen
length	mlihi
less	yina
lesson	hen
let	de
letter	washika
lettuce	ikya
level	iaven
leverage	pelegh shami
liability	mba mzeiyol
liability	ikyav
library	ijiir i oruntageda
lick	ndiagh
lie	aie
lies	aie
life	uma
lift	kende
light	iwanger
lightning	iwanger
like	Soo
likely	alaghga
likewise	di er
line	hwange
Lingala	Lingala
link	zua
lion	anyam
liquid	zaa
list	ngyeren
listen	kegh atô
listening	ungwan
literally	kpôô kpôô
literature	ityageda i sha kwagh
litter	côu côu
little	cuku
little	kpuaa
live	Uma
liver	mtemam
lives	uuma
living	uumace
living room	ingbough you
lizard	avange
load	ikav
loaf	vegher
loan	injo
local	ka ya
location	ijiir
lock	gesa
lockdown	gesa iyou
lockdown	mtem ke ya
log	kon
log	nyôr
lol	se i due kera
lonely	mtswenem
long	gôgô
long	lihe
long time no see	sha kaa kpishi
look	nenge
loop	wever
loop	ahura a wever
loose	doughdough
lord	aôndo
lose	tese
lose	Saa
loss	saa
lost	saa
lot	kpishi
loud	taveraa
lounge	ijiir i mmem
love	Dooshima
love you	msoo u
lovely	Dooshima
low	kpeng
lower	sen
lower	kiriki
loyal	mimi
loyalty	tilen sha mimi
loyalty	ungwan imo
luck	ikyôr
lucky	ikyoo
Luganda	Luganda
luggage	ikyav
lump	ankwagh
lunch	kwaghyan u atetan
lungs	huhu
luxury	yoôughyôugh
lying	aiye
machine	kikye
mad	hunde
madam	kwase
made	er
magazine	tageda u saan iyol
magnificent	zegekwagh
magnificent	doo tsung
maid	iyese
main	tine kwagh
maintain	sôr
maintenance	sôron
Maithili	Maithili
major	tamenkwagh
majority	ikpela yol
make	er
make up	hingiir
male	Nomso
mall	ijiir I teen akaa
man	or
manage	nongun
management	u nenge sha ior man akaa
manager	orhemen
mandatory	keng keng
manifest	tesen ikyav
manipulate	nzughul kwagh
manner	genda uu
manual	takerada
many	kpishi
many many happy returns of the day	akaa dedoo kpishi sha iyange inyian
march	wer u sha utar
margin	ian ii mpav
market	kasua
marriage	ivav
marriage	ivese
married	ivese
mask	ishigh
mass	kpila
massive	zege
massive	vesen
master	orvesen
match	zua
mate	orkwaa
material	akondo
material	ikyav
math	ayenge
matter	itine-kwagh
maturity	via
may	mei
maybe	adooga
maybe	alaghga
me	Mo
me too	Mo kpaa
meal	kwaghyan
mean	In ja ne na
meaning	ikyav i kwagh
means	inja na yo
meant	inja na yo
meanwhile	nahan yo
measure	kar
measure	una
measures	akaa
meat	inyam
medical	twer
medicine	icigh
meditation	u henen sha kwagh
medium	akuma akuma
meet	Kohol
meeting	mzough
Meiteilon	meiteilon
melt	sough
memories	mmumbur
memory	mumbur
mental	ishima
mental	mhen
mention	ter
mentioned	tegh
mentor	ortesen
merchant	orkpenga
merchant	orkasuwa
mercy	mhôônom
merely	tsô
merely	tseegh
merry christmas	kirimishi idoo
mess	hôngor
message	loho
messy	coughcough
metal	iyô
method	gbenda la
mice	ihyevyou
middle	hen ato
midnight	atô utu
might	tahva
mild	legh legh
milestone	vesen
military	soja
milk	atumba
million	akpa dubu utaan
mind	ishima
mindset	awashima
mine	iyam
mine	wam
mingle	nungwa
minor	wanye u cuku
minute	miniti
minutes	miniti
miracle	ivande
mirror	mjingi
miscellaneous	mba genev
mischievous	bula
miserable	mtaver
misery	ican
miss	ndiir
miss	saa
miss you	mngu awe shima
missing	Saa
missing	ndiir
mission	tyom
mist	kpikpishi
mistake	shamiga
Mizo	Mizo
mobile	hanseeti
mock	laha
model	ikyav
moderate	kundu kundu
moderate	akuma akuma
modern	nyian
modern	ainge
modest	akuma akuma
modest	iyol jime
moist	ndôhôr
moisture	ndôhôr
mold	maa
mole	ikyav
mom	ngom
moment	shie
monday	hiitom
money	inyaregh
money	akpoo
monitor	nengen sha
monkey	ikya
month	uwer
mood	zuduu
moody	shimavihin
moon	uwer
moral	ieren
more	Hemba
moreover	sha nahan yo
morning	pepe
mortgage	injô
most	hembe
mostly	hemban chigh
mother	ngô
motion	tenger
motivation	ityôkyaa
mountain	uwo
mouse	hyev
mouth	dzwa
move	hinja
movement	mzough
movie	fiim
mrs	kwase u or
much	kpishi
mud	angbyôr
mug	iyongo
muscle	atsam a homun tar
museum	ijiir i veren akaa a yiase
mushroom	ijov
music	imo
music	atsam
music	kwaghkuhwan
must	keng
mute	kondo ikyer
mute	viin
mutual	sha awashima wase
my	Uwam
My dear	u wam
my friend	ijende yam
My hovercraft is full of eels	orfankwagh ga kpa tesen er na fa
my love	Dooshima wam
my name is	iti yam er
my pleasure	doom
my pleasure	kumam
my pleasure	saan mo yol
myself	mo
myself	yol yam
mysterious	kpilighyol
mystery	akaamyer
myth	kwaghkpilighiyol
nail	mande
nail	kusa
naive	lanegh
naive	bume
name	iti
narrative	kwaghhir
narrow	hoghol
nasty	ibyume kwagh
nasty	dang
national	Sha ato utar
nationality	ikyuior
native	kwagh u tyoo
natural	gbaaondo
nature	igbetar
nausea	sua
nausea	isho
near	ikyua
nearby	ikyua
nearly	zurum
neat	tsembelee
necessary	Keng
neck	mon
necklace	isha
need	m-gbe
negative	kwagh ubo
neglect	undu
neglect	gbihi
neglect	hungur
negotiate	ôron ishe
neighbor	wanndor
neighborhood	dondo ya
neither	shi
neither	shin
nephew	wan u angôm
nerd	fan igbenda
nervous	kunde
nest	iya
net	kper
network	ityôgh
neutral	hen ato
never	mayange
never give up	de gban wer ga
never mind	de we ikyo ga
nevermind	gbaden tso
nevertheless	kpaa
new	i he
new	mbahev
news	abaver
next	ugeen
next to	doondo a
nice	doo
nice to meet you	ka kwagh de doo u fan we
niece	wan u angôm
night	tugh
nightmare	mnyamcien
nine	utaan kar unyiin
nineteen	pue kar utaan kar unyiin
ninety	akundu anyiin gber
No	Ei
no problem	za iyol ngu ga
no way	gbenda ngu ga
nobody	or ga
nobody	or ze
noise	ayoosu
noisy	ayoosu kpishi
none	momga
noon	atetan
nope	ei
nor	shin
normal	vough
normal	sha tindi
north	ibusutaregh
nose	ahenga
nostalgic	shimataver sha mhen u akaatse
not	ze
not at all	venda
not bad	vihi ga
Not now	ka hegon ga
not yet	kuma ga
note	nenge er
note	ver shima
noted	vande ôron
nothing	Kwagh ga
notice	nenge
noticed	nenge mer
noun	ati
nouns	ati
novel	takerada
november	wer u sha pue kaa uhar
now	Hegen
nowadays	ainge
nuisance	mzeiyol
null	gbilin
numb	kera nyion ga
number	ingyer
nurse	kwaseyouci
nut	isham
nutmeg	yiye
nutrition	kwaghyan
oath	bum
obesity	mkehenem
obey	lumun
object	kwagh
objective	ityokyaa kpookpoo
obligation	kwagh u i gbe u eren
obscure	yer
observation	nengen
observe	verashe
obsessed	tume ityough
obsession	hemba verem ishima
obsolete	ityokyaaga
obstacle	agbe
obtain	ngohol
obtained	zua
obvious	tese wang
obviously	shaa kpôô
occasionally	ashie ashie
occupation	Tom
occupied	uve ityough
occur	er
occurred	eren
occurs	er
ocean	tyeku
october	uwer u sha pue
odd	ibya
odds	tim
of	u
of course	sha kôô
off	pir
offensive	iyongu
offer	na
office	afishi
official	hingir
official	mbahemen
often	Fan eren
Oh	aye
oh really	mimi ne
oil	mkurem
ok	ok
ok dear	mlumun shioryam
ok honey	ka shami ordedoo
ok my love	een shior yam
okay	Ka sha mi
okay baby	kashami wan wam
okay dear	ka shami
okay honey	ka shami u doo shima
okay my love	ka shami dooshima yam
old	tse
on	Tsar
on	Sha
once	iniemôm
one	môm
one language is never enough	dzwa mon kuma ga
onion	alabusa
online	sha ahumbe
only	tseegh
open	bugh
operation	ipyaven
opinion	mnenge
opportunities	ian
opportunity	agir
opposite	hendan
optimistic	shimaveren keghen
option	gbenda
optional	msoo u or
or	shin
orange	alumbu
orange	alum
order	order
ordinary	Kwakyaa ga
organization	ijiirtom
orientation	iamegh gbenda
origin	mhii
origin	hiihii
original	uhiihii
Oromo	Oromo
orphan	ancôghol
other	Orgen
otherwise	gayô
ought	gba pe
our	wase
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	tom wase: u wasen hanmor shin tar u fan man tsen a yol ave ken ijô kposo kposo
Our mission: to organize the world's information and make it universally accessible and useful.	tom wase: u kohol mkaanem ma sha inja sha ci u tar cii u e fatyô u zuan ami
out	due
outcome	za kure
outfit	ikyondo
outgoing	cian ashe ga
outlet	ijiir
outline	pase
outside	ke won
outstanding	doo gande
oven	atse
over	sha
over there	kee la
overall	cicacii
overcome	henmban cii
overthinking	kwagh henen kpishi
overwhelmed	jikii
overwhelming	ngee gande
owe	injo
owl	ivungu
own	uve
own	una
owner	orkwagh
ox	jaki
pace	ian
pack	iv poo
pack	nger
package	ikyav
paid	kimbi
pain	nyion
paint	peint
painting	akaa kpelaan
pair	uhar uhar
pair	mba uhar
pale	fuluu
palm	ikyevwe
palm	ivilegh
pan	chenge
pandemic	zegeuange
panic	chia
pants	wondo
paper	kwatakerada
paradise	paradiso
parallel	avegher ahaa
parcel	imbyulugh
pardon	de
parents	mbamaren
park	ijiir i veren mato
park	ijiir i doon ashe
parrot	kimbir
parsley	kwayue
part	môm ken
part	vegher
participate	eren kwagh vea ior
particular	jim
particularly	jiilaayo
partner	uwam
party	gurgur
pass	Kaa
passage	ivur
passed	kaa
passion	asaren
passionate	ishima tsung
passionate	isharen
passive	gbanlun
password	tindi
past	ken jime
patch	paci
path	Hwange
path	gogo
pathetic	sha kunya
patience	ishima-wan
patient	Wa shima
patient	Shima wan
pattern	ikyav
pause	tile
pavement	gbenda
pay	kimbi
payment	injar
payment	kimbi
peace	Bem
peaceful	bem
peaceful	huan
peach	mbuee
peak	sha ato
pear	mzembe
peas	igboo ahi
peculiar	kposo
pee	pee
peel	sev
peer	orkwav
peers	mbakwav
pen	pyen
pencil	kwagh u ngeren akaa amin
pencil	pensel
pending	wa iyol I eren
people	ior
pepper	mkem
perceive	kav
perceive	nenge er
perception	mhen
perfect	vough
perform	er kwagh
performance	iniôgon
perhaps	adooga
perhaps	alaghga
period	shighe
permanent	gbekeke
permanent	kpe undu
permission	na ian
permit	na ian
perseverance	gba wer ga
perseverance	tavershima
persistent	zahemen
persistent	gba uwer ga
persistent	tavershima
person	or
personal	or yol nan
personality	ieren i or
perspective	mnenge
persuade	tsugh
pervert	hôngor
pet	kwagh nunben
phase	vegher
phenomenon	kpilighyol
philosophy	mbamhen
phone	waya
phone	hanseeti
phone	telefon
photo	Foto
phrase	ishemberkwaghôron
physical	sha u taha
physical	korokoro
pick	too
pick up	too sha
picture	foto
piece	ivur kwagh
pieces	asange
pig	igyo
pigeon	kyungugh
pile	ikyav
pillow	pilo
pilot	or u nahan girgi
pin	tume
pineapple	mbue u akune kune
pink	nyian
pit	ihwanga
pitch	haa
pity	zungwe
pity	mhoonum
place	ijiir
places	ajir
plague	atsan
plain	wang
plan	awashima
plane	girgi i pulugh
plant	kon
plants	imendenev
plate	gbande
platform	tsembe
play	I numbe
play	Kuhwan
playing	numben
pleasant	doo kpishi
please	Mzamber
pleased	doom a mi
pleasure	isharen
pledge	bum
pledge	tôndo zwa
pledge	ityendezwa
plenty	kpishi
plenty	gbing
plot	bamber nya
plug	zôô
plum	zegekwagh
plumber	Mbaerentom u ugôngor mba mngerev
plural	ishember
podcast	kwaghyoon Sha ahumbe
poem	imo
poetry	icam
point	ityokyaa
poison	bo
police	dasenda
policy	tindi
polite	civir
pollution	akaa a van a zaiyol
pond	ityungumnger
pool	tyungu mnger i ken ya
poop	ambi
poor	or-byanave
pop	duen
popular	fa wuee
population	ingyer ior
pork	inyam igyo
porridge	luam
port	gar
position	mtil
positive	dedoo
possess	a mi
possession	akaa alu ami
possessive	akaa a lun ami
possible	fatyô
post	ijiirtom
post	ityough
postpone	yem ami ken hemen
potato	atsaka
potential	mfe
pound	kume
poverty	ican
power	tahav
powerful	tahav kpishi
practical	injaa
practical	aeren
practice	eren
praise	wuese
prank	inimbe
pray	msen
precious	doo tsung
precise	kwagh shon kpookpoo
precisely	jigh jigh
predict	tsengaôron
prefer	hemba soon
preference	avershigh
pregnant	wa iyav
prejudice	ifer
premises	hen ijiir
premium	inyaregh
preparation	yol wan
prepare	wa iyol
prepared	wa iyol
preposition	mpase u ati
presence	mluwam
present	hegen
presentation	kwagh tesen
preserve	kula
president	Pesiden
press	kighir
pressure	mbamkighir
pressure	kighir
pretend	apera
pretty	Doo ashe
prevent	yange
previous	U Karen la
prey	gba ke hônon
price	injar
pride	imanger
pride	iyol gengese
pride	ligima
priest	fada
primary	plamali
prime	ityôkyaa i vesen
princess	wantor
principal	Orvesen
principal	orhemen
prior	vande
priority	kwagh u vesen
prison	pulusu
privacy	kwagh u myer
private	myer
privilege	ian
prize	iyua
probably	shi nan kpaa
problem	zaiyol
procedure	gbenda eren kwagh
proceed	za hemen
process	gogo
produce	er kwagh
product	kwagh
production	kwagh eren
profession	ipyasen
professional	orfankwagh u na eren
profile	fa kwagh na
profit	liba
profound	kpishi
progress	mzehemen
project	tom
prominent	taghertagher
promise	ityende dzwa
promote	mezehemen
promotion	u seer
promotion	mzehemen
prompt	voughur
prone	fatyô u eren
pronouns	akaa a tilen sha ati aior
pronunciation	myer
proof	ikyav
proper	vough
properly	voughur
properties	ikyav mbi
properties	akaa
property	ikyav
proposal	nger kwagh u se er yo
prospect	ian
prosperity	mkpeyol
prosperity	kwagh ave
prosperity	yôughyôugh
prosperous	yvughyôugh
protect	kula
proud	imanger
prove	tesen kyav
provide	na
provided	ver
province	tar
province	kpentar
provision	mne
provision	iwasen
provision	kwaghyan
puberty	hia
public	kur ior
pull	udugh
pull	uluu
pumpkin	atamaikyon
punctual	faa
pupil	wanakiriki
purchase	yam
pure	mimi
purple	nyian kulee
purpose	ityo ikyaa
purse	ikpa i cuku
pursue	zenda
pursuit	aeren akka
push	tughur
put	wa
qualification	nana kuma
quality	ieren
quality	kpe kpe
quantity	mngee u kwagh
quarantine	veren ken iyou
quarrel	zwa  zohôn
