ए	a
थोडें	fewer
अर्थसहाय्य	fiance
नवलकथा	fiction
मळ	field
शेत	field
भिरांकूळ	fierce
पंदरा	fifteen
पन्नास	fifty
उड्डाण	fight
झगडप	fighting
आकृती	figure
उजो	file
भरण	fill
भरप	filled
चित्रपट	film
फिल्म	film
घाणयारें	filthy
अंतिम	finally
निमाणें	finally
अर्थसहाय्य	finance
महसूल	finance
अर्थिक	financial
मेळोवप	find
सोदप	find
सोदचें	find out
दंड	fine
बोट	finger
सोंपोवचें	finish
सोंपलें	finished
उजो	fire
आस्थापन	firm
थीर	firm
फर्म	firm
पयलें	first
नुस्तें	fish
फीट	fit
पाच	five
थीर	fixed
ध्वज	flag
फ्लॅश	flash
फ्लॅट	flat
सपाट	flat
उणे	flaw
दोश	flaw
निर्दोश	flawless
मूस	flee
मास	flesh
मूस	flew
जंव	flex
लवचीक	flexible
उड्डाण	flight
विमान	flight
टिचकी	flip
लगट	flirt
उफेवप	float
हुंवार	flood
जमीन	floor
मजलो	floor
पीठ	flour
ओघ	flow
प्रवाह	flow
फूल	flower
फ्लू	flu
अस्खलीत	fluent
अस्खलीत	fluently
मोव	fluffy
द्रव	fluid
उडप	fly
मूस	fly
केंद्रीत	focus
धुकें	fog
दोडप	fold
लोकनाच	folks
अन्न	food
खाण	food
पिसो	fool
मूर्ख	fool
अजागळ	foolish
मूर्ख	foolish
पांय	foot
फूटबॉल	football
खातीर	for
हरकत	forbidden
ताकद	force
बळ	force
अदमास	forecast
कपल	forehead
विदेशी	foreign
रान	forest
कायम	forever
विसरप	forget
विसरलें	forgot
देखीक	for instance
काटो	fork
फॉर्क	fork
प्रकार	form
फॉर्म	form
उपचारीक	formal
आदलो	former
सुदैवान	fortunately
चाळीस	forty
ब्येचाळीस	forty-two
चालना	foster
झगडें	fought
मेळ्ळें	found
बुन्याद	foundation
चार	four
चौदा	fourteen
कोलो	fox
दुबळें	fragile
नाजूक	fragile
चवकट	frame
आराखडो	framework
फटींगपण	fraud
कोल्ल	freak
फुकट	free
मुक्ती	freedom
सुटका	freedom
गोठेवप	freeze
फ्रीक्वेन्सी	frequency
सतत	frequent
सातत्यान	frequently
ताजें	fresh
शुक्रार	friday
फ्रिज	fridge
इश्ट	friend
इश्टागतीचें	friendly
इश्ट	friends
इश्टागत	friendship
भेश्टावप	frightened
भेश्टावप	frightening
बेबूक	frog
कडल्यान	from
फुडें	front
गोठयल्लें	frozen
फळ	fruit
निरशेवप	frustrated
इंधन	fuel
फुलफुल्दे	Fulfulde
उपाट	full
पूर्ण	full
उमेद	fun
मजा	fun
कार्य	function
मूलभूत	fundamental
अंतयात्रा	funeral
मजेशीर	funny
पिसां	fur
भयंकर	furious
फर्निचर	furniture
आनीक	furthermore
फुडार	future
नफो	gain
प्राप्ती	gain
खेळ	game
गॅप	gap
चीर	gap
फरक	gap
गॅरेज	garage
कोयर	garbage
पोरसूं	garden
लसूण	garlic
गेट	gate
जमाव	gathering
गॉज	gauge
दिवप	gave
गिअर	gear
लिंग	gender
सर्वसादारण	general
सामान्यपणान	generally
पिळगी	generation
उदार	generous
बुदवंत	genius
जेनरे	genre
प्रकार	genre
सौम्य	gentle
अस्सल	genuine
हावभाव	gesture
मेळोवचें	get
मेळटा	getting
उठ	get up
भूत	ghost
भूताटकी	ghosting
राकेसी	giant
भेट	gift
आलें	ginger
चली	girl
इश्टीण	girlfriend
प्रेमीका	girlfriend
दिवचें	give
दिवप	give
दिलें	given
दिल्लें	given
सोडचें	give up
खोस	glad
काच	glass
ग्लास	glass
कांच	glasses
झलक	glimpse
वैश्वीक	global
दुख्खी	gloomy
हातमोजे	gloves
चमकप	glow
चकचक	glue
चिकट	glue
वच	go
उद्देश्य	goal
उद्देश्य	goals
बोकडी	goat
देव	god
वता	goes
वता	going
भांगर	gold
गेलो	gone
करतलो	gonna
गू	goo
बरें	good
शूभ	good
गूडबाय	goodbye
शुभेच्छा	good luck
उत्पादनां	goods
वस्तू	goods
गुगल	Google
आवाळे	goose
हंस	goose
भव्य	gorgeous
चाडयो	gossip
कळ्ळें	got
मेळ्ळें	got
कळ्ळें	got it
सरकार	government
ओडचें	grab
घेवचें	grab
ग्रेड	grade
सवका-सवका	gradually
पदवीधर	graduate
धान्य	grain
दिवप	grant
द्राक्षां	grapes
प्रभुत्व	grasp
तण	grass
उपकारी	grateful
दिनवास	gratitude
थडें	grave
राखाडी	gray
लोभ	greed
लोभी	greedy
पाचवें	green
शुभेच्छा	greeting
शुभेच्छा	greetings
राखाडी	grey
हांवेस	grid
दुख्ख	grief
वांटप	grind
ताबो	grip
न्हवरो	groom
एकंदरीत	gross
एकूण	gross
मैदान	ground
गट	group
वाड	grow
विकास	grow
वाड	growth
विकास	growth
अविचारी	grumpy
गुआरानी	Guarani
हमी	guarantee
गार्ड	guard
अदमास	guess
अंदाज	guess
सोयरो	guest
मार्गदर्शन	guidance
मार्गदर्शन	guide
अपराधी	guilty
दोशी	guilty
इश्टा	guy
इश्टानो	guys
जीम	gym
संवय	habit
वसती	habitat
आशिल्लें	had
खालें	had
राबितो	hail
केंस	hair
अर्द	half
सभाघर	hall
हात	hand
धर	handle
हँडल	handle
देखणो	handsome
गोळोव	hang
हँग	hang
दवर	hang out
घडणूक	happen
घडलें	happened
आनंद	happiness
आनंदी	happy
खोशी	happy
कठीण	hard
सामकीं	hardly
केन्नाय	hardly ever
लुकसाण	harm
हानी	harm
हानीकारक	harmful
मिलाप	harmony
कडक	harsh
कापणी	harvest
लुंवणी	harvest
आसा	has
तिरस्कार	hate
दुस्वास	hate
आसा	have
आसात	have
खा	have
आसा	having
खाता	having
धोको	hazard
धुकें	haze
तो	he
तकली	head
पेंकप	healing
आरोग्य	health
भलायकी	health
आरोग्यवान	healthy
आयकप	hear
आयकप	heard
काळीज	heart
उश्णताय	heat
सर्ग	heaven
खूब	heavy
जड	heavy
त्रासदायक	hectic
उंचाय	height
उंची	height
वारस	heir
डकैती	heist
ताबो	held
पकड	held
नरक	hell
हॅलो	Hello
हॅल्मेट	helmet
आदार	help
मजत	help
आदाराचें	helpful
ताकालागून	hence
तिचें	her
कळप	herd
हांगा	here
दायज	heritage
अनमनप	hesitate
आरे	Hey
हाय	Hi
लिपिल्लें	hidden
लिपोवचें	hide
दायज	hierarchy
हायरार्की	hierarchy
उंच	high
उच्च	high
हायलायट	highlight
वाड	hike
हायकींग	hiking
खेळीमेळीचें	hilarious
दोंगुल्ली	hill
ताणे	him
तो	him
हिंट	hint
कमर	hip
कुले	hips
ताचें	his
इतिहास	history
हाणप	hit
अं	Hmm
संवय	hobby
धर	hold
नियंत्रण	hold
बुराक	hole
सुटी	holiday
पोकळ	hollow
घर	home
गृहपाठ	homework
इमानी	honest
प्रामाणीक	honest
प्रामाणिकपणान	honestly
म्होंव	Honey
भौमान	honor
हूक	hook
कुटप	hop
आस्त	hope
इबाडिल्लें	hopeless
आडवें	horizontal
शिंग	horn
हॉर्न	horn
भयानक	horrible
भिरांकूळ	horror
घोडो	horse
ऑश्पिताल	hospital
आदरातिथ्य	hospitality
येजमान	host
दुस्मानकायेचें	hostile
वैरभावाचें	hostile
गरम	hot
हॉटेल	hotel
वर	hour
वरां	hours
घर	house
घरगुती	household
कशें	how
तथापि	however
पूण	however
कितले	how many
कितले	how much
केंद्र	hub
हब	hub
घोव	hubby
खूब	huge
मनीस	human
नमळायेन	humble
दमट	humid
आद्रताय	humidity
शंभर	hundred
भुकेल्लो	hungry
शिकार	hunt
हुरिर्केन	hurricane
उपद्रव	hurt
दूख	hurt
घोव	husband
ताकतीक	hustle
खोप	hut
नितळसाण	hygiene
हांव	I
बर्फ	ice
कल्पना	idea
कल्पना	ideal
समान	identical
वळखप	identify
वळख	identity
मूर्ख	idiot
सुस्त	idle
जर	if
टाळचें	ignore
दुयेंत	ill
बेकायदेशीर	illegal
दुयेंस	illness
इलोकानो	Ilocano
हांव	I'm
हांव	I’m
प्रतिमा	image
कल्पना	imagine
तत्काळ	immediate
तत्काळ	immediately
रोखडेंच	immediately
अपार	immense
खूब	immense
परिणाम	impact
प्रभाव	impact
हुतहुतें	impatient
अंमलबजावणी	implement
आयात	import
म्हत्वाचें	important
अशक्य	impossible
छाप	impression
प्रभावी	impressive
सुदारणा	improve
सुदारणा	improvement
हातूंत	in
अयोग्य	inappropriate
प्रोत्साहन	incentive
घडणूक	incident
प्रसंग	incident
सयत	including
उत्पन्न	income
येणावळ	income
गैरसोय	inconvenience
वाड	increase
वाडिल्लें	increased
अविश्वसनीय	incredible
खरेंच	indeed
खरेपणीं	indeed
स्वतंत्र	independent
भारत	India
दर्शोवप	indicate
स्वदेशी	indigenous
मनीस	individual
उद्देग	industry
अपरीहार्य	inevitable
शीश्यू	infant
संक्रमण	infection
अनंतताय	infinity
पराकाश्ठा	infinity
सूज	inflammation
म्हारगाय	inflation
प्रभाव	influence
कळोवप	inform
म्हायती	information
घटक	ingredients
व्यंजन	ingredients
दायज	inheritance
वारसो	inheritance
आरंभीक	initial
फुडाकार	initiative
जखमी	injured
जखम	injury
निरागस	innocent
सादें	innocent
उपक्रम	innovation
चवकशी	inquiry
पिशेपण	insane
कीटक	insect
असुरक्षीत	insecure
रिगोवचें	insert
भितर	inside
दुरदृष्टी	insight
निद्रानाश	insomnia
प्रेरणा	inspiration
प्रेरणा	inspire
उदारण	instance
तत्काळ	instant
तेपरस	instead
सुचोवण्यो	instructions
वाद्य	instrument
अपमान	insult
विमो	insurance
तत्वनिश्ठा	integrity
बौधीक	intellectual
बुदवंतकाय	intelligence
बुदवंत	intelligent
हेतू	intend
गंर्भीत	intended
तिव्र	intense
हेतू	intention
परस्परसंवाद	interact
परस्परउलोवप	interaction
इत्सा	interest
कळंतर	interest
रुची	interest
इत्सुक	interested
मध्यस्त	intermediate
अंतर्गत	internal
आंतरीक	internal
आंतरराष्ट्रीय	international
इंटर्नशीप	internship
दुभाशी	interpreter
बाधा	interrupt
मुलाखत	interview
खाजगी	intimate
हातूंत	into
परिचय	introduce
वळख	introduce
वळख	introduction
अंतर्मूख	introvert
अंतप्प्रेरणा	intuition
अवैध	invalid
संशोधन	invent
इनवेंटोरी	inventory
साधनसंग्रह	inventory
गूंतोवचें	invest
आपोवणें	invitation
आमंत्रण	invitation
आमंत्रण	invite
इनवॉयस	invoice
वांटेकार	involved
समावेश	involved
सहभागी	involved
पोलाद	iron
लोखंड	iron
आसा	is
अशें	I see
जुंवो	island
समस्या	issue
समस्या	issues
तें	it
आयटम	item
नग	item
वस्तू	item
आयटम्स	items
वस्तू	items
तें	its
आसूं	it's ok
आसूं	It's okay
जॅकेट	jacket
कादय	jail
जेल	jail
जानेवारी	January
जार	jar
जबडो	jaw
दुस्वास	jealous
झटको	jerk
वस्ती	jewelry
काम	job
नोकरी	job
जॉगिंग	jogging
संयोग	join
सहभाग	join
जोड	joint
मस्करी	joke
पत्रकार	journalist
प्रवास	journey
भोंवडी	journey
आनंद	joy
न्यायमुर्ती	judge
रोस	juice
जुलाय	july
उडी	jump
जून	june
जंक	junk
आतांच	just
फकत	just
न्याय	justice
कलाल्लिसुत	Kalaallisut
खर	keen
दवरचें	keep
दवरचें	kept
दवरप	kept
किटली	kettle
चावी	key
मुखेल	key
कीक	kick
भुरगें	kid
किडणी	kidney
भुरगीं	kids
मारप	kill
प्रकार	kind
बरें	kind
किंडा	kinda
दयाळूपण	kindness
राजा	king
उमो	kiss
रांदचेकूड	kitchen
पतंग	kite
माजरापील	kitten
धोंपर	knee
जाणा	knew
सुरी	knife
जाणा	know
ज्ञान	knowledge
ज्ञात	known
कोंकणी	Konkani
क्रियो	Krio
लेबल	label
कामगार	labour
उणाव	lack
कमी	lack
शिडी	ladder
बायल	lady
नेणार	laid
तळें	lake
कोकरूं	lamb
थोटो	lame
दिवो	lamp
जमीन	land
भूंय	land
लँडस्केप	landscape
भास	language
मांडी	lap
मोठें	large
व्हड	large
निमाणें	last
उसरां	late
उसरां	lately
मागीर	later
हालींचें	latest
दुसरो	latter
हांसो	laugh
हांसो	laughing
हांसो	laughter
शुभारंभ	launch
लाँंड्री	laundry
कायदो	law
लॉन	lawn
वकील	lawyer
पुरप	lay
मांडप	lay
स्तर	layer
रचणाय	layout
आळशी	lazy
सुस्त	lazy
फुडाकार	lead
फुडारी	leader
पान	leaf
गळटी	leak
बारीक	lean
लीप	leap
शिकप	learn
शिकप	learning
शिक्षण	learning
लीज	lease
किमान	least
चामडें	leather
सुटी	leave
सोड	leave
पानां	leaves
सुटयो	leaves
नेतृत्व	led
दावें	left
पांय	leg
लिगसी	legacy
कायदेशीर	legal
आख्यायिका	legend
कायदेशीर	legit
सवड	leisure
लांबाय	length
लांबी	length
उणें	less
कमी	less
धडो	lesson
चला	let
चीट	letter
पत्र	letter
लेट्युस	lettuce
पांवडो	level
स्तर	level
लिवरेज	leverage
लागणूक	liability
पुस्तकालय	library
लायब्ररी	library
फट	lie
आसा	lies
फटकिरें	lies
जिवीत	life
उखलप	lift
उजवाड	light
प्रकाश	lightning
आवड	like
चडशें	likely
तशेंच	likewise
ओळ	line
लिंगाला	Lingala
लिंक	link
शींव	lion
द्रव	liquid
सूची	list
आयकप	listen
आयकप	listening
अक्षरशः	literally
शब्दशः	literally
साहित्य	literature
लीटर	litter
थोडेंशें	little
ल्हान	little
जिवें	live
फिग्द	liver
जगता	lives
जिवंत	living
बैठक	living room
पाल	lizard
भार	load
लोड	load
लोफ	loaf
वडी	loaf
कर्ज	loan
रीण	loan
थळावें	local
थळ	location
कुलप	lock
लॉक	lock
लॉकडावन	lockdown
लॉग	log
एकलो	lonely
लांब	long
दिसप	look
लूप	loop
मेकळें	loose
सुटें	loose
ईश्वर	lord
देव	lord
शेणप	lose
सुटप	lose
लुकसाण	loss
शेणलें	lost
खूब	lot
व्हडल्यान	loud
लॉन्ज	lounge
मोग	love
सुंदर	lovely
उणें	low
कमी	low
कमी	lower
इमानी	loyal
परोपकारी	loyal
इमानीपण	loyalty
प्रामाणिकपण	loyalty
नशीब	luck
नशीबवान	lucky
लुगांडा	Luganda
सामान	luggage
दिफळो	lump
फुफ्फुसां	lungs
चैनीचें	luxury
फट	lying
मशीन	machine
पिसो	mad
मॅडम	madam
तयार	made
नेमाळें	magazine
भव्य	magnificent
शोभिंवंत	magnificent
वावराडी	maid
मुखेल	main
राखप	maintain
सांबाळप	maintain
देखरेख	maintenance
मैथिली	Maithili
प्रमुख	major
मुखेल	major
मोठें	major
व्हड	major
भोवसंख्याक	majority
मुखेल	majority
दादलो	male
मॉल	mall
दादलो	man
हाताळचें	manage
वेवस्थापन	management
वेवस्थापक	manager
सक्तीचें	mandatory
व्यक्त	manifest
ढवळाढवळ	manipulate
फटोवप	manipulate
आचरण	manner
शिश्त	manner
मॅन्युअल	manual
खुबशे	many
जायते	many
मार्च	march
मार्जीन	margin
समास	margin
बाजार	market
लग्न	marriage
मास्क	mask
मुखवटो	mask
चोंबो	mass
तिव्र	massive
मास्टर	master
जुळणी	match
साथीदार	mate
नग	material
वस्तू	material
साहित्य	material
गणीत	math
परिपक्वताय	maturity
घडये	may
कदाचीत	maybe
घडये	maybe
हांव	me
जेवण	meal
मध्य	mean
म्हणल्यार	mean
अर्थ	meaning
म्हणल्यार	means
म्हणजे	meant
इतलेमजगतीं	meanwhile
मेजप	measure
उपाय	measures
मास	meat
वखद	medical
वखद	medicine
साधना	meditation
मध्यम	medium
बसका	meet
भेट	meet
मेळप	meet
बसका	meeting
मैतैलोन	Meiteilon
वितळप	melt
स्मरणां	memories
मेमरी	memory
स्मरण	memory
मानसीक	mental
उल्लेख	mention
उल्लेखीत	mentioned
मँटोर	mentor
वेपारी	merchant
दया	mercy
क्वचित	merely
गबाळेंपण	mess
गोंदळ	mess
संदेश	message
अवेवस्थीत	messy
घाण	messy
धातू	metal
पद्दत	method
उंदीर	mice
मदलें	middle
मध्यानरात	midnight
कदाचीत	might
सौम्य	mild
लस्कर	military
दूद	milk
मिलियन	million
मन	mind
म्हगेलें	mine
म्हजें	mine
मिसळप	mingle
गौण	minor
नेणार	minor
मिनीट	minute
मिण्टां	minutes
अजाप	miracle
जादू	miracle
आरसो	mirror
तरेकवार	miscellaneous
उपद्रवी	mischievous
दयनीय	miserable
वायट	miserable
दारिद्र्य	misery
याद	miss
शेणला	missing
मिशन	mission
धुकें	mist
चूक	mistake
मिजो	Mizo
मोबायल	mobile
नकली	mock
मॉडेल	model
मध्यम	moderate
मवाळ	moderate
आधुनीक	modern
मवाळ	modest
दमट	moist
वलसाण	moisture
आयट	mold
मस	mole
आई	mom
खीण	moment
सोमार	monday
दुडू	money
पयशे	money
मॉनिटर	monitor
माकड	monkey
म्हयनो	month
लहर	mood
लहरी	moody
चंद्रीम	moon
उपदेश	moral
चड	more
आनीक	moreover
तेभायर	moreover
सकाळ	morning
घाणवट	mortgage
तारण	mortgage
चडशें	most
चडशें	mostly
आवय	mother
गती	motion
उर्बां	motivation
प्रोत्साहन	motivation
दोंगर	mountain
पर्वत	mountain
उंदीर	mouse
तोंड	mouth
हालोवचें	move
हालचाल	movement
मुव्ही	movie
श्रीमती	mrs
कितले	much
खूब	much
चिखल	mud
मग	mug
स्नायू	muscle
वस्तुसंग्रहालय	museum
अळमें	mushroom
संगीत	music
फावो	must
मोनो	mute
परस्पर	mutual
म्युच्युअल	mutual
म्हजें	my
हांव	myself
रहस्यमय	mysterious
रहस्य	mystery
दंतकथा	myth
नाकुट	nail
भावार्थी	naive
नांव	name
अरुंद	narrow
घाणयारें	nasty
दुश्ट	nasty
राष्ट्रीय	national
राष्ट्रीयत्व	nationality
थळावो	native
सैमीक	natural
सैम	nature
ओंकारो	nausea
लागसार	near
लागीं	near
लागसरचें	nearby
जुस्ताजुस्त	neat
नीट	neat
वेवस्थीत	neat
गरजेचें	necessary
म्हत्वाचें	necessary
मान	neck
हार	necklace
गरज	need
नकारात्मक	negative
नेगेटीव	negative
दुर्लक्ष	neglect
घासाघीस	negotiate
शेजारी	neighbor
शेजारधर्म	neighborhood
पुतणो	nephew
भाचो	nephew
समाजघाणो	nerd
नेर्वोझ	nervous
भिवकुटें	nervous
घोटेर	nest
एकंदरीत	net
जाळें	net
नॅटवर्क	network
तटस्थ	neutral
तरीय	nevertheless
नवें	new
खबरो	news
फुडें	next
सोबीत	nice
पुतळी	niece
भाची	niece
रात	night
धास्ती	nightmare
णव	nine
एकोणीस	nineteen
णव्वद	ninety
ना	No
आवाज	noise
ध्वनी	noise
आवाजाचें	noisy
दनपार	noon
ना	nope
सामान्य	normal
उत्तर	north
नाक	nose
ना	not
न्हय	not
नाच्च	not at all
टीप	note
नामनेचो	noted
नोटीस	notice
सुचोवणी	notice
नाम	noun
नाम	nouns
कादंबरी	novel
नोव्हेंबर	november
आतां	now
उपद्रव	nuisance
शुन्य	null
भेरावप	numb
सुस्त	numb
आंकडो	number
नर्स	nurse
बी	nut
जायफळ	nutmeg
पोशक	nutrition
सोपूत	oath
जाडी	obesity
ऑब्जॅक्ट	object
वस्तू	object
उद्देश्य	objective
लागणूक	obligation
गूढ	obscure
निरिक्षण	observation
पिशें	obsession
अमर्याद	obsolete
निजाचें	obsolete
आडमेळीं	obstacle
प्राप्त	obtain
मेळोवप	obtain
संपादन	obtain
मेळ्ळें	obtained
प्रत्यक्ष	obvious
सहज	obvious
सकृतदर्शनी	obviously
सहजतायेन	obviously
केन्नाकेन्नाय	occasionally
प्रासंगीक	occasionally
वेवसाय	occupation
घडटा	occur
घडलें	occurred
घडटा	occurs
म्हासागर	ocean
ऑक्टोबर	october
विचित्र	odd
विशम	odd
वितुश्ट	odds
चें	of
नक्की	of course
शॅर्त	of course
अपमानकारक	offensive
ऑफर	offer
प्रस्ताव	offer
कचेरी	office
अधिकृत	official
चडशेदां	often
अरेरे	Oh
ओ	Oh
तेल	oil
बरें	ok
पोरणें	old
हाचेर	on
एकदां	once
एक	one
कांदो	onion
पियांव	onion
ऑनलायन	online
फकत	only
उकतें	open
उगडप	open
ऑपरेशन	operation
अभिप्राय	opinion
मत	opinion
संद्यो	opportunities
संद	opportunity
आड	opposite
विरुध्द	opposite
आशावादी	optimistic
पर्याय	option
पर्यायी	optional
वा	or
संत्र	orange
आदेश	order
क्रम	order
हलकें	ordinary
संघटणा	organization
कल	orientation
मूळ	origin
मूळ	original
ओरोमो	Oromo
अनाथ	orphan
हेर	other
अन्यथा	otherwise
नाजाल्यार	otherwise
आमचें	our
बाद	out
निष्पत्ती	outcome
पोशेग	outfit
आवटगोईंग	outgoing
आउटलेट	outlet
रुपरेखा	outline
भायर	outside
सर्वोत्तम	outstanding
ओवन	oven
चेर	over
एकंदरीत	overall
थंयसर	over there
अतिविचार	overthinking
चिड्डप	overwhelmed
हरोवप	overwhelming
घुगूम	owl
धनी	own
मालकी	own
स्वताचें	own
धनी	owner
बैल	ox
वेग	pace
पॅक	pack
पॅकेज	package
दुखप	pain
वेदना	pain
पितारप	paint
रंग	paint
चित्रकला	painting
पितारप	painting
जोडी	pair
निस्तेज	pale
पान	pan
पॅन	pan
म्हामारी	pandemic
आकांत	panic
पॅण्ट्स	pants
कागद	paper
सर्ग	paradise
समांतर	parallel
पार्सल	parcel
क्षमा	pardon
भोगसणी	pardon
माफी	pardon
पालक	parents
उद्यान	park
पोपट	parrot
ओवो	parsley
वोंवो	parsley
भाग	part
वांटेकार	participate
सहभागी	participate
थारावीक	particular
थारावीक	particularly
भागीदार	partner
पक्ष	party
पार्टी	party
उत्तिर्ण	pass
पास	pass
उतारो	passage
पांयवाट	passage
मार्ग	passage
इत्सा	passion
भावनाविवश	passionate
निश्क्रीय	passive
सोंशीक	passive
पासवर्ड	password
आदलें	past
भूतकाळ	past
थिगळ	patch
पॅच	patch
मार्ग	path
रस्तो	path
करुणाजनक	pathetic
पासियेंस	patience
पासिंयेंस	patient
पद्दत	pattern
रावप	pause
फारीकसाण	payment
शांती	peace
शांत	peaceful
जरदाळु	peach
शिखर	peak
पिअर	pear
मटर	peas
विचित्र	peculiar
मूतप	pee
सोलप	peel
पिअर	peer
पिअर्स	peers
पॅन	pen
पॅन्सील	pencil
अनिर्णित	pending
प्रलंबीत	pending
लोक	people
मिरयां	pepper
जाणविकाय	perceive
समज	perception
अचूक	perfect
योग्य	perfect
रास्त	perfect
सादरीकरण	performance
कदाचीत	perhaps
कालावधी	period
कायमचें	permanent
अनुमती	permission
अनुमती	permit
चिकाटी	perseverance
सातत्यान	persistent
व्यक्ती	person
खाजगी	personal
व्यक्तिमत्व	personality
दृश्टीकोण	perspective
समजावप	persuade
पाळीव	pet
टप्पो	phase
घडणूक	phenomenon
विलक्षण	phenomenon
तत्वज्ञान	philosophy
फोन	phone
फोटो	photo
वाक्प्रचार	phrase
भौतिक	physical
शारीरिक	physical
वेंचप	pick
व्हरप	pick up
चित्र	picture
कुडको	piece
कुडके	pieces
दुकर	pig
कबुतर	pigeon
पारवो	pigeon
रास	pile
उशें	pillow
पायलट	pilot
पिन	pin
अनस	pineapple
गुलाबी	pink
फोंडकूल	pit
पिच	pitch
दया	pity
सुवात	place
सुवाती	places
प्लेग	plague
सपाट	plain
सरळ	plain
प्लान	plan
विमान	plane
वनस्पत	plant
वनस्पती	plants
ताट	plate
बशी	plate
माची	platform
खेळप	play
खेळप	playing
मनोहर	pleasant
मोहक	pleasant
आनंद	pleasure
तारण	pledge
खूब	plenty
कुडको	plot
प्लॉट	plot
प्लग	plug
बोर	plum
प्लंबर	plumber
अनेकवचन	plural
पोडकास्ट	podcast
कविता	poem
कविता	poetry
गूण	point
बिंदू	point
विश	poison
वीख	poison
पुलिस	police
धोरण	policy
थंड	polite
नम्र	polite
प्रदुशण	pollution
तळें	pond
पूल	pool
साकंव	pool
भितल्लें	poop
गरीब	poor
दुबळो	poor
पॉप	pop
लोकप्रिय	popular
लोकसंख्या	population
पोर्क	pork
पेज	porridge
बंदर	port
सुवात	position
स्थिती	position
पोझिटिव	positive
सकारात्मक	positive
ताबो	possession
कब्जाचें	possessive
शक्य	possible
पोस्ट	post
बटाट	potato
संभाव्य	potential
तळें	pound
पौंंड	pound
गरिबी	poverty
बळ	power
बळिश्ट	powerful
वेव्हारीक	practical
सराव	practice
स्तुती	praise
मस्करी	prank
प्रार्थना	pray
मोलादीक	precious
ज्युस्त	precise
ज्यूस्त	precisely
अदमास	predict
प्राथमिकताय	preference
गुरवार	pregnant
पक्षपात	prejudice
संकुलात	premises
प्रिमियम	premium
तयारी	preparation
तयारी	prepare
उपस्थिती	presence
इनाम	present
देणें	present
हाजीर	present
सादरीकरण	presentation
राखीव	preserve
अध्यक्ष	president
प्रेस	press
दाब	pressure
मोहक	pretty
आडायता	prevent
प्रतिबंध	prevent
आदलें	previous
शिकार	prey
किंमत	price
गर्व	pride
भट	priest
प्राथमिक	primary
प्रायम	prime
मुखेल	prime
राजकुंवरी	princess
प्राचार्य	principal
आदीं	prior
पूर्व	prior
प्राथमिकताय	priority
कादय	prison
गुप्तताय	privacy
खाजगी	private
विशेशाधिकार	privilege
इनाम	prize
कदाचीत	probably
समस्या	problem
कार्यपद्दत	procedure
प्रक्रिया	process
उत्पन्न	produce
उत्पादन	product
उत्पादन	production
वेवसाय	profession
तज्ञ	professional
वेवसायीक	professional
प्रोफायल	profile
नफो	profit
गंभीर	profound
प्रगती	progress
प्रकल्प	project
प्रतिश्ठीत	prominent
उतर	promise
बढती	promotion
तत्पर	prompt
प्रवृत्त	prone
सर्वनामा	pronouns
उच्चारण	pronunciation
पुरावो	proof
योग्य	proper
योग्यरितीन	properly
सारकें	properly
गूणधर्म	properties
मालमत्ता	property
प्रस्ताव	proposal
देखावो	prospect
उत्कर्श	prosperity
भरभराट	prosperity
भरभराटीचें	prosperous
संरक्षण	protect
अभिमानी	proud
गर्व	proud
प्रांत	province
तजविज	provision
जुंवानपण	puberty
भौशीक	public
ओडचें	pull
दुदी	pumpkin
विद्यार्थी	pupil
खरेदी	purchase
निव्वळ	pure
जांभळो	purple
उद्देश्य	purpose
पर्स	purse
उद्देश्य	pursuit
धुकलप	push
घालप	put
पात्रताय	qualification
गूणवत्ता	quality
दर्जो	quality
प्रमाण	quantity
शत्रूत्व	quarrel
चतुर्थांश	quarter
पाव	quarter
केचुवा	Quechua
राणी	queen
विलक्षण	queer
क्वॅरी	query
प्रस्न	question
प्रतिक्षावळ	queue
रांक	queue
जलद	quick
जलद	quickly
ओग्गी	quiet
खुपशेदां	quiet
गोधडी	quilt
गोयडी	quilt
सोडप	quit
ओग्गी	quite
खुबदां	quite
प्रस्नमंच	quiz
उतारो	quotation
उतारो	quote
उतारे	quotes
ससो	rabbit
धांवप	race
सर्त	race
रेज	rage
पावस	rain
उठवप	raise
उबारप	raise
उबारिल्लें	raised
धांवप	ran
बिनहिशोबी	random
पल्लो	range
रेंज	range
सतत	rapid
जलद	rapidly
किरकोळ	rare
किरकोळ	rarely
क्वचित	rarely
उंदीर	rat
दर	rate
प्रमाण	ratio
माफक	rational
विचारवान	rational
कच्चें	raw
तन्ने	raw
गांठप	reach
पावप	reach
पावलो	reached
प्रतिक्रिया	reaction
वाचप	read
वाचन	reading
वाचप	reading
तयार	ready
अस्सल	real
खरें	real
वास्तवीक	real
खरें	reality
सत	reality
जाणवलें	realize
ख-यानीच	really
खरेंच	really
वास्तवीक	really
किरकोळ	rear
कारण	reason
माफक	reasonable
पावती	receipt
मेळोवप	receive
सेपादन	receive
मेळिल्लें	received
हालींचें	recent
हालींच	recently
रिसेप्शन	reception
रेसिपी	recipe
साहसी	reckless
नामनां	recognition
वळख	recognition
नामनां	recognize
शिफारस	recommend
सुचयल्लें	recommend
सुचयल्लें	recommended
नोंंद	record
रिकव्हर	recover
रिकव्हरी	recovery
आयत	rectangle
तांबडें	red
सूट	redemption
उणावप	reduce
अनावश्यक	redundant
