a	Un
flow	yuyuui
flower	Xochitl
flu	tsonpili
fluent	yuyujui
fluently	con fluidez
fluffy	pachontik
fluid	fluido
fly	pantli
focus	tlaixiuilistli
fog	ayauitl
foggy	tlamixtemi
fold	kuexpacho
folks	ikniutin
follow	totokati
follow up	tepostoka
following	siguiente
food	tlakuali
fool	kuauiuiti
foolish	xolopitli
foot	mets
football	fútbol
for	para
For example	tetlapolotia
for instance	xi yeyekoli
for you	tlen ta
forbidden	achiualoni
force	chikaulistli
forecast	tlayolteouilistli
forehead	ixpan
foreign	koyotl
forest	tlauitlanti
forever	nochipa
forget	kilkauaj
forgive	tlapopoljui
forgot	kilkalki
fork	teposnakateki
form	tlapoaltlakuiloli
formal	nitse
former	achtopan
fortunately	tlen itonal
fortune	tlatkitl
forty	ompoali
forty-two	ompoali uan ome
forward	axtui
foster	tiselis
fought	nitla uilanki
found	nipanti
foundation	peualistli
four	naui
fourteen	matlaktli uan naui
fox	ostoatl
fragile	yamanik
frame	nautlateuili
framework	armazón
fraud	tlakakayali
freak	xolotl
free	amotlainaketl
freedom	tlanemakayotl
freeze	istik
frequency	ajachika
frequent	achi nochipa
frequently	achi nochipa
fresh	seseltik
friday	viernes
fridge	teposesekayotl
friend	uampo
friendly	ijuitoloni
friends	ijniuamej
friendship	ikniyotl
frightened	majmajtli
frightening	tlamamajketl
frog	xokualochi
from	in
front	kuajtol
frozen	semiktli
fruit	ijtlajka
frustrated	polantok
fuel	tlen tlatla
Fulfulde	Fulfulde
full	temik
fun	pakili
function	tlaakiltlachiua
fundamental	neluayotl
funeral	tlamikilistli
funny	pakilis
fur	tsonkal
furious	tlilkualantok
furniture	tlatkitl
further	piui
furthermore	nojkia
future	okachiuali
gain	asik tlamantli
game	ajauili
gap	kakauatik
garage	teposkauakajokui
garbage	tlasoli
garden	xochitla
garlic	kosnakatl
gate	tlatsakuiloli
gather	pixkanilistli
gathering	piskanilistli
gauge	tlayeyekoua
gave	kijto
gear	sansejkomej
gender	sesentlamantli
general	ipanokayotl
generally	ipanokayotl
generate	kitlatlani
generation	kintlakatilistli
generous	yoltkapaktitl
genius	tlalnamijketl
genre	sesentlamantli
gentle	tlateokanil
genuine	sanyeyo
gesture	xoloxayakatl
get	tlanis
get dressed	yoyontiya
get up	meualistli
get well soon	xomochikuaj nima
getting	niseliya
ghost	sentlapachontli
ghosting	ixpatltlakakayajketl
giant	tlsauejkapantik
gift	tetlautili
ginger	jenginbre
girl	ixpokatl
girlfriend	noaxka
give	makas
give up	nimo temaka
given	patoli
glad	pakilis
glance	tlachilistli
glass	teskatl
glasses	ixteuilotl
glimpse	kuali tlachiyali
global	semanauak
gloomy	atle pakyotl
gloves	maixpachoa
glow	petlani
glow up	tlapetlantli
glue	tlatlaskiltli
go	xia
go ahead	tlayakantok
go away	xiya
go to bed	motekas
goal	tlen nikasis
goals	panmachiotl
goat	tentsontli
god	Toteko
god bless you	toteko mistiochiuaj
goes	yaui
going	youi
going to	yas ne
gold	teokuitlatl
gone	yatok
gonna	yas kanke
goo	tenkualaktli
good	kuali
good afternoon	tiotlakilti
good bye	timoitase
good day	kuali tonal
good evening	Tlapoyoualti
good job	kuali tekitl
good looking	kuali nenestli
good luck	kuali itonal
good morning	tonalti
good morning my love	tonalti no tlasojtli
good night	Tlapoyoualti
goodbye	timoita
goodnight	tlapoyoualti
goods	iaxka
Google	tiremos ipan internet
Google Translate	Tlajtolkuepa tlen Google
goose	tlalalakatl
gorgeous	tlauel yeyejtsi
gossip	sasamijtoa
got	niselij
got it	nikuamachiliya
government	tepachiolistli
grab	xikiski
grade	youimachtili
gradually	pilpilkentsi
graduate	mauismakitilistli
grain	achtli
grant	tlamakaualistli
granted	tlamakauiltili
grapes	xokomekatl
grasp	kiski
grass	akakauastli
grateful	tlasojkamatili
gratitude	tlaxolkamakayotl
grave	motlalkontli
gray	tenextik
great	ueyi
greed	netlaikolistlilistli
greedy	nexikoli
green	xoxoktik
greet	ximopanolti
greeting	tlajpaloli
greetings	tlajpaloli
grey	tenextik
grid	rejilla
grief	pinaua
grind	tisi
grip	kiski
grocery	xiukaloyan
groom	tlaixnamik
gross	atlakamachtili
ground	tlali
group	ololi
grow	moskalti
growth	iskalti
grumpy	sankuajkualantok
Guarani	Guarani
guarantee	tlenmelauak
guard	tlapiani
guess	nitonalpoa
guest	tlakuanotstli
guidance	tlayekanketl
guide	tlayenkamauiliya
guilty	tlaltlakoli
guy	ajkeya
guys	pilkuekuetsin
gym	netekoliskokoyan
habit	tlamamali
habitat	tepetlali
had	ni pixtok
hail	tlaseuitstli
hair	tsonkali
half	tlajko
hall	kalmelaktli
hand	maitl
handle	euika
handsome	tlakatl yeyejtsi
hang	tlakuapiloa
hang out	tiontlapanosej
happen	pano
happened	panotok
happiness	pakilistli
happy	pakilis
happy birthday	pakilis itonaltlakatki
happy birthday to you	pakilis motonalejketl
happy new year	yeyejtsi yankuik xiuitl
hard	tetik
hardly	sanok
hardly ever	ax axkema
harm	itlakotilistli
harmful	iltlakoltik
harmony	armonía
harsh	tlakualantli
harvest	pixkalistli
has	pixtok
hate	kokoli
have	pichtok
have a good day	xipiya se kuali tonali
have a nice day	xijpita se kuali tonali
have breakfast	tenisalistli
have fun	mauisoli
have you eaten	tijtlakuajki
having	kipixtok
hazard	ouilistli
haze	mixtentli
he	Ya
he has	ya kipistok
he is	ne elij
head	tsonteko
headache	kokoua notsonteko
heal	pachiui
healing	pachiui
health	chikaulistli
healthy	pakinemilistli
hear	tlakaki
heard	nakastli
heart	yoloj
heat	totoniya
heaven	eljuikak
heavy	etik
hectic	frenético
height	uejkapa
heir	tlasemokaui
heist	tlaxtekeme
held	nipixki
hell	miktlantli
Hello	Piali
hello dear	piali nenejkitl
hello how are you	piali kejatsa ti'istok
hello how are you doing	piali kejatsa ti'istok
helmet	kuachimali
help	tlapaleuili
helpful	tlatekalistli
hence	maske
her	tlen
herd	sentlamayolkatl
here	nika
heritage	tetlakakauili
hesitate	amoneltika
Hey	kaki
Hi	Piali
hi how are you	piali kejatsa ti'istok
Hi there	tlachketl
hidden	tlatitok
hide	tlatilistli
hierarchy	tekikayotl
high	uejkapantik
highlight	resaltar
hike	nenejkayotl
hiking	tepentlekoa
hilarious	tlatlaueliueskayotl
hill	Tepexitl
him	tlen
hint	ojtli
hip	topitsauayan
hips	topitsauayan
hire	tlanekuiloa
hiring	tlanekuilolistli
his	an
history	nemiliskayotl
hit	maitl
Hmm	Mmm
hobby	panonemilis
hold	kiski
hold on	chia
hole	ostotl
holiday	tekitlasiyakaketl
hollow	kakauatik
home	nocha
homework	semiluitekitl
honest	mimatki
honestly	elchipaualistli
Honey	Nektli
honor	itaukayotl
hood	kalalajtli
hook	kuamaxali
hop	tsikuini
hope	techialistli
hopefully	ika tonali
hopeless	ayok temachikayotl
horizontal	auemanilistli
horn	tlajtoaki
horrible	temanajtli
horror	tlamamajtli
horse	kauayo
hospital	kokoxkali
hospitality	kokoxkalpan
host	anfitrión
hostile	tkauilanketl
hot	totonik
hotel	axiuayani
hour	imani
hours	imamin
house	Kali
household	tlenistojke kalitij
how	katsa
how about you	tlen eltok ta
how are you	Kejatsa ti'istok
how are you doing	Kejatsa ti'istok
how are you doing today	kejatsa elij ama motonal
how are you today	kejatsa ti'istok ama
how do you do	kejatsa ti'istok
how is	kejatsa
how many	keski
how much	keski
how often	jeje achi nochipa
how old are you	keski xiuitl tipiyaj
how was your day	kejatsa tipanok mo tonal
how was your night	kejatsa elki moyouali
however	maske
hub	tlaxantetektli
hubby	ueue
hug	nanajua
huge	tlauel ueyi
human	maseual
humble	teijnelsi
humid	achixolontok
humidity	kuachauastli
hundred	makuilpoali
hungry	mayankayotl
hunt	tlapeuajtli
hurricane	ajakatlnamikitilistli
hurry	isiuitiya
hurry up	ximoijisiuilti
hurt	tekokoua
husband	ueue
hustle	tlaojonolistli
hut	xakali
hygiene	tlachipajketl
I	Na
I am	Nani elij
I am fine	kuali niistok
I can	niuelij
I can't	axniueli
I do	na nichiua
I do not know	axnimati
I do not understand	axnimachiliya
I don't	na axtle
I don't know	ax nimati
I don't understand	axnimachiliya
I don't understand what you mean	axnimachiliya tlen tijneki tikijtos
I don't understand you	axnimachiliya
I don’t know	axnimati
I don’t understand	axnimachiliya
i guess	nitlaliya
I had	pixki
I have	pixtok
I have been	ni eltok
I hope so	nopa nochiya
I know	na nimati
I like	tinexpajktiaj
I like you	tinexpajktiaj
I love	tlasojtli
I love my big brother	nitlasojtka no ueyijni
I love my big sister	nitlasojtla no siuaueyijni
I love my father	nitlasojtla notata
I love my little brother	nitlasojtla nopilijni
I love my little sister	nitlasojtla nopilsiuaijni
I love my mother	nitlasojtla nonana
I love you	nimitstlasotla
I love you so much	nimitstlasotla miyaj
I love you too	na nojkia nimitstlasotla
I mean	nejki nikitos
I miss you	nimitsilnamiki
I miss you so much	nimitsilnamiki miyak
I see	kita
I think	na nitlamachiliya
I understand	machiliya
I want	nejki
I want to see you	nijneki sempoali
I want you	nimitsneki
I was	niyajki
I will	niyas
I would be	eliskia
I'm	ni elij
I'm fine	kuali ni istok
I'm good	kuali niistok
I'm here	nika niistok
I'm sorry	ni machiliya
ice	sesekpan
ice cream	itstik
idea	yeyekolistli
ideal	yeyekolistli
identical	iuikal
identify	tlakamatlakuilotontli
identity	neneukayotl
idiot	kuauiui
idle	tlatsiuili
if	kena
ignore	akuayolo
ill	kokolistli
illegal	ilegal
illness	kokolistli
Ilocano	Ilocano
image	ixiptli
imagine	ijnamikis
immediate	ninan
immediately	amantsi
immense	uextik
impact	chikauaknextili
impatient	kokoli
implement	kipeualtisnekilis
import	kalakitlamankayotl
important	tlanenekoli
impose	tlatlaliya
impossible	amoueli
impress	mauisok
impression	tepostlakuilolistli
impressive	impresionante
improve	ni tlakualaliya
improvement	kuakualili
in	tlen
in addition	nojkia
In fact	tlen chiuali
in front of	ixpan tlen
in order to	ketsa
inappropriate	inapropiado
incentive	incentivo
incident	incidente
include	tlapouili
including	niixtlali
income	tominkakalakilistli
inconvenience	aonteneki
increase	piuiltilistli
increased	incrementado
incredible	auelnektoktok
indeed	sialistli
independent	selkatik
India	India
indicate	temoa
indigenous	maseualmej
individual	seselti
industry	industria
inevitable	moneki
infant	pilkonetl
infection	temalotl
infinity	amotlami
inflammation	posauak
inflation	patiuayotl
influence	tepatlantoyotl
inform	tlanonotsali
information	amochpantilistli
ingredients	tlen motekiuiya
inheritance	tetlakauilili
initial	peuali
initiative	peualtili
injured	mokokojtok
injury	tekokolistli
innocent	aketenchiuani
innovation	tlajkualaliya
inquiry	neyolnotsalistli
insane	tsonyolpolitok
insect	yolkatsin
insecure	majmajtok
insert	kalakilis
inside	kalitij
insight	machtilistli
insist	insistir
insomnia	ajkochilistli
inspiration	teyotilistli
inspire	iteyolitilistli
install	tlatlaliya
instance	kemantsi
instant	achika
instead	ya ni
instead of	sepan
instructions	katsamochiua
instrument	tlachiualoni
insult	fierokamanali
insurance	tleneliya
intact	axtleno ipantik
integrity	nechikokilia
intellectual	intelectual
intelligence	yolokayotl
intelligent	tlaueuelij
intend	ninejki yukatelolistli
intended	sankinenejki
intense	tleueyimaka
intention	yukatelolistli
interact	interactuar
interaction	interacción
interest	tlaixnextok
interested	kinenejtok
interesting	tlaixkisa
interfere	mokalakia
intermediate	intlajkoli
internal	kalitik
international	tlaltepaktli
internship	pasantía
interpret	kuepatlajtoli
interpreter	kuepatlajtol
interrupt	tlakotonia
interview	onkamanalkali
intimate	auilnestli
into	a
introduce	tlatsintilistli
introduction	kamanaltlapeuali
introvert	maukayotl
intuition	niixmachiliya
invalid	tenonotialistli
invent	tlayoyokoa
inventory	tlasentlalimatl
invest	invertir
investigate	tlatemoa
invitation	tlakuanotstli
invite	invitar
invoice	tklakuilasis
involve	mokalakiya
involved	tikalakiya
iron	tepostlauilkomali
is	kaxtiltlajtoli
island	ayoualtlali
isolated	anakmosatlani
issue	Tlamantli
issues	tlamantli
it	Ya
it is	elij
it was	yajki
it's	sin
it's ok	kuali titok
It's okay	kualtitok
item	inik
items	sentlamantli
its	in
I’m	Na
jacket	tlamamali
jail	kalteltsakuali
January	Enero
jar	axaloj
jaw	mandíbula
jealous	nechikauani
jerk	kuauiuiti
jewelry	teokuitlakayotl
job	tekitl
jogging	tlaloli
join	sejkotilistli
joint	saliuyantli
joke	uetskalistli
journalist	periodista
journey	nenemilis
joy	tlaipantilis
judge	tlatlakoliaxilani
juice	paskatl
july	julio
jump	tsikuini
june	junio
junk	tlasoli
just	melauaknemilise
just do it	san xichiua
justice	melankayeyekoli
justify	justificar
Kalaallisut	Kalaallisut
keen	tlatoani
keep	tlakualtia
keep it up	kenopa xinemi
kept	tekipanoli
kettle	tepostxiuatl
key	tlatlapoloni
kick	tekteleksa
kid	konetsa
kidding	kamanatlajtoa
kidney	atekojtli
kids	konemej
kill	mikilis
kind	keya
kinda	se kentsi
kindly	tlasojtlalistli
kindness	yeknakayotl
king	tlatoani
kiss	tsokontli
kitchen	tlakualchiualoyan
kite	xikoatl
kitten	mistontsi
knee	tlankua
knew	nijmatki
knife	tlatekini
knight	tlakatsintli
know	nokonmati
knowledge	tlaixnachili
known	temajti
Konkani	Konkani
Krio	Krio
label	etiqueta
labor	tlakoneui
labour	tekitl
lack	axualajki
ladder	kuatlatekoli
lady	ichpotsiual
laid	tlalis
lake	ueyateskatl
lamb	ixkatl
lame	kuacho
lamp	tlauli
land	tlali
landscape	panorama
language	Tlajtoli
lap	kuaxantli
large	uextik
last	teija
last but not least	tlen tlatsonko uan nojkia monenejki
last name	tsonka
late	tiotlakili
lately	satlasonko
later	achi San kentsi
latest	tlenijika
latter	tlaika
laugh	ueska
laughing	ueskayotl
laughter	chikauatlueskayotl
launch	inalojtlakuali
laundry	yoyontsokiyo
law	machiyotl
lawn	sakapechtli
lawyer	tepantlajtoani
lay	tlalis
layer	tilmatli
layout	patlachtik
lazy	tlatsiui
lead	melankauiya
leader	uelitini
leaf	amatl
leak	chipinki
lean	pachoa
leap	tsikuini
learn	uelis
learning	tlamachtilistli
lease	tlakeua
least	tlen teipa
leather	kuetlaxchi
leave	texkauilis
leaves	amatl
led	uiuijkak
left	opuchmaitl
leg	mestli
legacy	tlakanauatili
legal	machioketstli
legend	nemiliakamali
legit	ueltetlatki
leisure	tlatsiui
lend	tlanelti
length	ueyi
less	San achi
lesson	nemachtilistli
let	xikaua
letter	tlakuiloli
lettuce	axoxoukilitk
level	aueyak
leverage	chiuas kuamitl
liability	responsabilidad
library	amoxtlatiloyan
lick	pipitsoa
lie	tllakakayajketl
lies	kajayaua
life	nemilis
lift	tepantlajkok
light	tlaauli
lightning	tlapetlantli
like	katsa
likely	noueli
likewise	nojkia
line	tlaxotlali
Lingala	Lingala
link	tetsonuilistli
lion	ocelotl
liquid	aauitl
list	poaltlakuiloli
listen	Tlakakili
listening	tlakakili
literally	kejatsa nikitoa
literature	amoxtlajtoyotl
litter	tlasoli
little	pilkuekuetsi
live	yoyltok nesi ixkopinka
liver	eltapachtli
lives	nenemilistli
living	yolitok
living room	kalmelaktli
lizard	topitsi
load	tlamamaltia
loaf	malachtektektli
loan	tlaneuali
local	kaltlanamatili
location	kanke
lock	kaltsakua
lockdown	aislamiento
log	amoxtepanoli
lol	jajaja
lonely	isetlakatl
long	uextik
long time no see	miyak kauitl axnimitsistok
look	tlachiyali
loop	sampaeua
loose	tlatsiui
lord	totlayi
lose	poliuis
loss	politik
lost	kuapolotok
lot	tlalkali
loud	chikaulistli
lounge	kalmelaktli
love	tlasojtlalistli
love you	nimitstlasotla
lovely	yeyejtsi
low	tlatsintla
lower	temo
loyal	netlakanekili
loyalty	netlakanelistli
luck	tonali
lucky	tonali
Luganda	Luganda
luggage	kuajpanitlauijuijka
lump	mamali
lunch	tlakuasaloni
lungs	tochichin
luxury	momochkatl
lying	ixtlakatini
machine	tepostlaolini
mad	kualantok
madam	toaui
made	mochitok
magazine	amoxtontli
magnificent	yolueyilistli
maid	mucama
main	tlayakaniya
maintain	tekipanoa
maintenance	tlakualilistli
Maithili	Maithili
major	momayakayotl
majority	nochimej
make	chiuas
make up	tijkuepas
male	tlakatl
mall	ueyitlanamakatia
man	tlakatl
manage	melaualiyaj
management	kaltlajtoani
manager	tlanauatiketl
mandatory	tlatenkuilili
manifest	monechtia
manipulate	tlajkakayajketl
manner	kenopa
manual	mochiuas
many	miyakej
many many happy returns of the day	xikaxiti miyak xiutl
march	nenemilis
margin	amoxtentli
market	tiankistli
marriage	mamiktikistli
married	siuajtok
mask	ixtlajtsakui
mass	teokalpan
massive	ueynextikimaseualmej
master	tlasojtli
match	tlamina
mate	ijniui
material	tekiuili
math	tlapoalmatilistli
matter	tlamantli
maturity	ikoxilistli
may	mayo
maybe	nouelij
me	tlen na
me too	na nojkia
meal	tlakuali
mean	ki'itosneki
meaning	ki'itosneki
means	in kenin
meant	nijneki nikijtos
meanwhile	uajka katsa
measure	yeyejkoa
measures	tlayeyekoli
meat	nakatl
medical	Tlapatijketl
medicine	pajtli
meditation	meditación
medium	tkajko
meet	kixmatis
meeting	sentilistli
Meiteilon	Meiteilon
melt	atia
memories	ilnamili
memory	ilnamili
mental	kuatlatsonkotl
mention	nikonijtoua
mentioned	iniljuitl
mentor	tlaixmatka
merchant	tlasemananki
mercy	teiknotslistli
merely	simplemente
merry christmas	pakilis tlakatilistli
mess	ouitepanyalistli
message	amatlakuiloli
messy	tlaxitinilini
metal	tepostli
method	kentlachiuali
mice	kimichimej
middle	tkajko
midnight	tlakoyoual
might	Atlak
mild	yamanik
milestone	tsintli
military	yaotl
milk	lechi
million	chikuase poali uan makuili xikipili
mind	tlaknamikilis
mindset	mentalidad
mine	tlen na
mingle	tixnemi
minor	achiteipan
minute	amatsinya
minutes	achikentsi
miracle	tlamauisoli
mirror	teskatl
miscellaneous	amoneuki
mischievous	atlakanemini
miserable	iknoli
misery	ikniyotl
miss	nimitsilnamiki
miss you	nimitsilnamiki
missing	kuapolojtok
mission	misión
mist	mixtemi
mistake	kuapolo
Mizo	Mizo
mobile	ejetlakanonostli
mock	ajauiya
model	modelo
moderate	yolismatini
modern	yankuik
modest	youinemini
moist	achi xolontok
moisture	achi xolontok
mold	kopinali
mole	tusa
mom	Nana
moment	achitsi
monday	lunes
money	Tomy
monitor	tlapaloni
monkey	osomatli
month	metstli
mood	pakilchuilistli
moody	ixkualantok
moon	metstli
moral	moral
more	piui
moreover	nojkia
morning	mostla
mortgage	kalitomitlanextili
most	nochimej
mostly	nochimej
mother	Nana
motion	olintli
motivation	neyoleualoni
mountain	tepetl
mouse	kimichi
mouth	kamak
move	oliniya
movement	olintli
movie	metlaixkopinali
mrs	toaui
much	miyaj
mud	nochi
mug	toxkaxil
muscle	tlachikatli
museum	tlakikali
mushroom	nanajkatl
music	tlatsotsonalistli
must	tlachichiualistli
mute	achkamati
mutual	tiompa
my	Na
My dear	no tlasojtli
my friend	niukni
My hovercraft is full of eels	Ni aerodeslizador temiton ika anguilas
my love	no tlasojtla
my name is	no toka elij
my pleasure	se pakilis
myself	ni na
mysterious	neiyanilistli
mystery	neyanalistli
myth	kamanali
nail	isti
naive	tlachialistli
name	toka
narrative	sasalinl
narrow	pitsaktik
nasty	motlaiktiani
national	tlalpankayotl
nationality	tlalpankayotl
native	altepekakonetl
natural	iukayo
nature	iukayotl
nausea	patstlami
near	nechka
nearby	nexkatsi
nearly	nechka
neat	ateskali
necessary	monejki
neck	kextla
necklace	kostli
need	nenejkilistli
negative	axkana
neglect	iskalkauaj
negotiate	tekipanoa
neighbor	kalnauak
neighborhood	kalpoli
neither	tlen
nephew	machkone
nerd	nerdo
nervous	tlauatini
nest	tepasol
net	kipiya
network	matlatl
neutral	neutral
never	axkema
never give up	axkema ximotemaka
never mind	xikilkauaj
nevermind	xikilkauaj
nevertheless	nojkia
new	yankuik
news	tlaixmachilistli
next	tech
next to	iuikal
nice	tonalti
nice to meet you	paki ni mitsixmati
niece	machijni
night	tlayoua
nightmare	fierotlatemiktli
nine	chiknaui
nineteen	matlaktli uan naui
ninety	najpoali uan matlaktli
No	Axtle
no problem	axunka kualantli
no way	axuelis
nobody	axaka
noise	moliniketl
noisy	tlakakaloa
none	amaka
noon	tlajkotonal
nope	axtle
nor	ne
normal	kenijki
north	ayamiktlan
nose	yakatsol
nostalgic	kaktimanilistli
not	axtle
not at all	aujka axtleno
not bad	kualtitok
Not now	ama axtle
not yet	ayatle
note	tlakuiloli
noted	kijkuilojtok
nothing	axtleno
notice	makas kuenta
noticed	tlachiyali
noun	yeltik
nouns	yeltik
novel	ikpasasanili
november	noviembre
now	amantsi
nowadays	ama in tonali
nuisance	kuesiyotl
null	axunka
numb	sesepoa
number	tlapoali
nurse	kokoxsiuapixkii
nut	senyoyotl
nutmeg	senyeloj
nutrition	nutrición
oath	itechtlajtololistli
obesity	tomauak
obey	tlaneltoka
object	tlajkia
objective	asilistli
obligation	tesoltlatiyani
obscure	tlayoua
observation	tlatkachiyalistli
observe	tlachia
obsessed	tochontik
obsession	obsesión
obsolete	obsoleto
obstacle	tlatsakuiliya
obtain	pixtos
obtained	nipixki
obvious	kenopa elis
obviously	saueltsi kenopa
occasionally	kemanika
occupation	moteki
occupied	tlenteki
occur	tekipanolistli
occurred	tlen panotok
occurs	mochiua
ocean	ueyiatl
october	octubre
odd	raro
odds	senkamochiuaj
of	in
of course	uajka kenopa
off	sejtok
offensive	kanalkualantli
offer	tomitemo
office	amatlakuilolan
official	taltekatl
often	kemantsi
Oh	Oh
oh really	ah tlen neliya
oil	chiauikayotl
ok	Kuali
ok dear	kuali teijnelsi
ok honey	kuali tlasojtli
ok my love	kuali no tlasojtli
okay	Kuali
okay baby	kena pilkonetsi
okay dear	senka tlasojtli
okay honey	senka kuali yeyejtsi
okay my love	Kena kuali no tlasojtla
old	ueuentsi
on	tlen
once	se uelta
one	se
one language is never enough	se tlajtoli axkema tematchin
onion	xonakatl
online	in tlauasani
only	iselti
open	tlapojtok
operation	tisikali
opinion	nikitosneki
opportunities	imankayotl
opportunity	monekilistli
opposite	hualnichketsali
optimistic	moueyimaka
option	opción
optional	tlatinejki
or	o
orange	lalax
order	tlapamitl
ordinary	tlakxitokoa
organization	tlakepanolistli
orientation	ikisauayankayotl
origin	peuali
original	tlense
Oromo	Oromo
orphan	ijnotsi
other	seyoj
otherwise	tlen seyok tlamantli
ought	uikili
our	tlen toaxka
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	To tekitlachilis: Ti kauilisej tlen nochimej, ipan kampauelij, kixmatikaj tlaltekpaktli uan kamatika ika nochi tlaltoli.
Our mission: to organize the world's information and make it universally accessible and useful.	To tekitlachilis: ti sekotilisej nopa tlaltol kamanali tlen tlaltekpaktli uan tichiuasej ma kiasika uan kinpaleuis.
out	kalteno
outcome	tlentemaka
outfit	tlakemitl
outgoing	extrovertido
outlet	kiski auilikalotl
outline	nauak
outside	kalteno
outstanding	ixkisa
oven	xamitlkaltexkali
over	ipani
over there	nikanika
overall	ipan nochi
overcome	ixpanos
overthinking	miyak tlainamiki
overwhelmed	tetlokoktia
overwhelming	kuesiui
owe	uikili
owl	tekolotl
own	tlen na
owner	axka
ox	kuakuyeyotl
pace	pano
pack	tlapiloli
package	tlapiloli
paid	tlaxtlajke
pain	kokoua
paint	tlapatla
painting	tlakuiloyitl
pair	sansejko
pale	iztaltik
palm	apaxchtli
pan	tlatsoyolinoni
pandemic	tlaltepakokolistli
panic	mamajketl
pants	pantaloj
paper	amatl
paradise	iljuikatliltik
parallel	paralelo
parcel	atiuitsouilistli
pardon	tlapopoljuiya
parents	itatamej
park	kenke
parrot	alotl
parsley	sakalijpajtli
part	achi
participate	techmotlaliya
particular	teaxka
particularly	seknikiski
partner	sansejko
party	iljuitl
pass	pano
passage	ojtli
passed	xipano
passion	pasmikilistli
passionate	komoni
passive	mojkaua
password	tlstlapololistli
past	panojka
patch	salotok
path	ojtli
pathetic	olinyotl
patience	tlapakaiyotl
patient	kokochketl
pattern	tlanauatiketl
pause	kiketski
pavement	tlapepechtli
pay	tlaxtlajke
payment	tlaxtlaua
peace	tlamatkayotk
peaceful	paktinemi
peach	yoloxokotl
peak	kuautlatsakuali
pear	atsapotl
peas	exotl
peculiar	peculiar
pee	axixtli
peel	xima
peer	ompa
peers	iuikal
pen	totolakatl
pencil	kautlakuiloli
pending	tlenpoliui
people	maseualmej
pepper	kaxtilchil
perceive	kiselia
perception	yolismati
perfect	senkiska
perform	kichiua
performance	yoltekii
perhaps	nouelij
period	tonali
permanent	nochipa
permission	teixkontsinko
permit	nijkaua
perseverance	perseverancia
persistent	insistente
person	maseual
personal	ixkoyan
personality	personalidad
perspective	tlaixiuilistli
persuade	elejkia
pervert	tlauelilok
pet	yolkaijniuitl
phase	fase
phenomenon	tlapoloamoxtli
philosophy	yolismatilistli
phone	tlanonotsaloli
photo	tlaixkopinkayotl
phrase	kamanali
physical	semanauatini
pick	nitlasekojtiliya
pick up	pepenoa
picture	tlaixkopinkayotl
piece	se se
pieces	senseyo
pig	pitso
pigeon	uilotl
pile	pila
pillow	tsonikpali
pilot	kamilmijka
pin	tilmasoani
pineapple	matsajtli
pink	Tlatakeualtik
pit	ostotl
pitch	ixtlauak
pity	pinaua
place	kampeka
places	miekaan
plague	plaga
plain	tlamaya
plan	xiuitl
plane	tepostototl
plant	xiuitl
plants	xiumi
plate	kalpechtli
platform	tepancholoantli
play	tekipanolistli
playing	mauili
pleasant	auiyani
please	se tlapaleuili
pleased	ajauiyakatl
pleasure	nipapakilia
pledge	tetechkautli
plenty	ixiachi
plot	pakyotl
plug	tomacorriente
plum	masaxokotl
plumber	temetspixki
plural	miyake
podcast	podcast
poem	xochikuikatl
poetry	tlajtokuikayotl
point	tliltetl
poison	mikoapatli
police	tlapixki
policy	semitkamitilistli
polite	Tepiltikayotl
pollution	tlalpopochitlajkoli
pond	akalotl
pool	amanali
poop	kuitlatl
poor	axtomikipiyaj
pop	kotonki
popular	tenyotekatl
population	altepeme
pork	pitso
porridge	metlakauili
port	akalkixoayan
position	nesenkaualistli
positive	kena
possess	pixtok
possession	axkatia
possessive	axkatilis
possible	nouelis
post	amstltlakuiloyan
postpone	seyojuelta
potato	tchipajkamojtli
potential	uelitilistli
pound	akalotl
poverty	toxontinemi
power	ueltiyotl
powerful	uelitini
practical	tlayeyekoa
practice	tlayeyekouaj
praise	tetlamachiya
prank	uestkalistli
pray	teomaniliya
precious	tlauel yeyejtsi
precise	kenopa
precisely	on senka
predict	predecir
prefer	tikaltlaliya
preference	tetlapanaljuili
pregnant	tkakualtilistli
prejudice	prejuicio
premises	tlatlaliya
premium	axtui kualkuali
preparation	momachtia
prepare	tlachichiua
prepared	chichiketl
preposition	preposición
presence	nextilistli
present	ama pano
presentation	nextilistli
preserve	kauis
president	altepetlajtoani
press	tlamalistli
pressure	kuanauatili
pretend	sanmochiua
pretty	yeyejtsi
prevent	ximomalui
previous	axtui
prey	atsakuali
price	keski
pride	nakastsonteyotl
priest	totatsi
primary	tlen peki
prime	neliakualtitok
princess	siuapiltin
principal	tlanauatiketl
prior	axtui
priority	axtuui
prison	kaltsakualko
privacy	privacidad
private	tesekaltili
privilege	teikneniloni
prize	tetlautili
probably	nouelij panos
problem	tetsakualistli
procedure	Tekiyochiwalistli
proceed	chiuaka
process	katsamochitiyas
produce	tlenmochiua
product	kiankistiloni
production	tlenmochiua
profession	netoltialistli
professional	profesional
profile	perfil
profit	tlatlantli
profound	uejkatla
progress	akokitsalistli
project	nextiltekitlchiualistli
prominent	Tenyotekatl
promise	tlauelkakilistli
promote	tlekojtiya
promotion	tletlekoli
prompt	chikauak
prone	kamatlatsintla
pronouns	achkaitl
pronunciation	moitojua
proof	tlayeyekoli
