a	i
fluently	ngokutjhelela
fluffy	mavukuvuku
fluid	amanzana
fly	phapha
focus	itjhejo
focus	tjheja
fog	ikungu
foggy	kunekungu
fold	bhinca
folks	abantu bomndeni
follow	landela
follow up	ilandelela
following	okulandelako
food	ukudla
fool	isidlhadlha
foolish	kobudlhadlha
foot	inyawo
football	ibholo erarhwako
for	kwe
For example	Isibonelo
for instance	isibonelo
for you	ngeyakho
forbidden	ngadliwako
force	amandla
forecast	bikezela
forehead	ipandla
foreign	kwangaphandle
forest	ihlathi
forever	kwanaphakade
forget	khohlwa
forgive	colela
forgot	khohliwe
fork	iforogo
form	bumba
form	isibumbeko
formal	okusemthethweni
former	kwangaphambilini
fortunately	ngetjhudu
fortune	itjhudu
forty	amatjhumi amane
forty-two	amatjhumi amane nambili
forward	phambili
foster	ukukhulisa umntwana ongasuye wakho
fought	ukulwa
found	thola
foundation	isendlalelo
four	kune
fourteen	itjhumi nane
fox	udahla
fragile	phukako
frame	ifreyimu
framework	iphahla
fraud	ubukhwabanisi
freak	isiphithiphithi
free	simahla
freedom	ikululeko
freeze	rhahla
frequency	kanengi
frequent	kanengi
frequently	kanengana
fresh	fretjhi
friday	lesihlanu
fridge	isiqandisi
friend	mngani
friendly	nomusa
friends	abangani
friendship	ubungani
frightened	ethukwa
frightening	ukuthusa
frog	isirhwerhwe
from	ku
front	phambili
frozen	rhahlileko
fruit	isithelo
frustrated	tshwenyekileko
fuel	isibaseli
Fulfulde	isiFulfulde
full	zala
fun	mnandi
function	umsebenzi
fundamental	okuqakathekileko
funeral	umngcwabo
funny	hlekisako
fur	isikhumba
furious	kwatileko
furniture	ifenitjhara
further	kudanyana
furthermore	okhunye godu
future	ikusasa
gain	ukuzuza
gain	zuza
game	umdlalo
gap	isikhala
garage	igaratjhi
garbage	iinsila
garden	itoni
garlic	ikonofula
gate	iyege
gather	buthelela
gathering	umbuthano
gauge	igeji
gave	nikele
gear	igere
gender	ubulili
general	vamileko
generally	ngokuvamileko
generate	zala
generation	isizukulwani
generous	nomusa
genius	isihlakaniphi
genre	ijenri
gentle	thambileko
genuine	kwamambala
gesture	ukukhuluma ngezitho zomzimba
get	thola
get dressed	yembatha
get up	sikima
get well soon	phola msinya
getting	thola
ghost	isipoko
ghosting	ukungasabonani
giant	ikakaramba
gift	isipho
ginger	ijinja
girl	umntazana
girlfriend	intombi
give	nikela
give up	lahlela itewu
given	nikela
glad	thaba
glance	ukurhedlula
glass	irhalasi
glasses	amarhalasi
glimpse	rhedlula
global	iphasimazombe
gloomy	isizi
gloves	amaglavu
glow	rhanyazela
glow	ukurhanyazela
glow up	tjhuguluka ube ngcono
glue	iglu
go	khamba
go ahead	ragela phambili
go away	suka lapha
go to bed	khamba uyokulala
goal	umnqopho
goals	iminqopho
goat	imbuzi
god	umzimu
god bless you	uzimu akubusise
goes	khamba
going	khamba
going to	uya e
gold	irhawuda
gone	khambile
gonna	ngizo
good	kuhle
good	kulungile
good afternoon	lotjha
good bye	sala kuhle
good day	lotjha
good job	umsebenzi omuhle
good looking	uqaleka kuhle
good luck	ngikufisela itjhudu
good morning	lotjha
good morning my love	lotjha sithandwa sami
good night	ulale kuhle
goodbye	sala kuhle
goodnight	ulale kuhle
goods	iimpahla
goose	irhansi
gorgeous	karisa
gossip	ukuhleba
got	ngiyifumene
got it	ngiyitholile
government	umbuso
grab	hluthula
grade	ibanga
grade	isigaba
gradually	kancanikancani
graduate	igrajuwethi
grain	ithoro
grant	isibonelelo
grant	nikela
granted	nikelwe
grapes	amadreyibe
grasp	bamba
grass	utjani
grateful	ukuthokoza
gratitude	ukuthokoza
grave	ithuna
gray	tshetlha
great	kuhle
greed	amarhamaru
greedy	ukuba nehliziyo embi
green	hlaza satjani
greet	lotjhisa
greeting	ukulotjhisa
greetings	ukulotjhisa
grey	tshetlha
grid	igridi
grief	isizi
grind	gaya
grip	bamba
grocery	igrowuzari
groom	umkhwenyana
gross	nganahlonipho
ground	itatawu
group	isiqhema
grow	khula
growth	ukukhula
grumpy	ukukwata
Guarani	isiGuarani
guarantee	qinisekisa
guard	ugadi
guess	raya
guest	isitatanyiswa
guidance	umhlahlo
guide	umhlahlo
guide	hlahla
guilty	ukuba nomlandu
guy	mngani
guys	bantu
gym	ukuzithabulula
habit	umukghwa
habitat	indawo yokuhlala
had	ngibe
hail	isinanja
hair	iinhluthu
half	isiquntu
hall	iholo
hand	isandla
handle	phatha
handsome	hlamazana
hang	haga
hang out	ledlha
happen	yenzeka
happened	kwenzeka
happiness	ithabo
happy	thaba
happy birthday	langa elihle lamabeletho
happy birthday to you	langa elihle lamabeletho kuwe
happy new year	umnyaka omutjha onepumelelo
hard	qinileko
hardly	nakancani
hardly ever	nakancani
harm	limaza
harm	ukulimaza
harmful	limazako
harmony	ngokuzwana
harsh	indluzula
harvest	isivuno
has	una
hate	zonda
have	si
have a good day	ube nelanga elimnandi
have a nice day	ube nelanga elimnandi
have breakfast	idla ibhrakfesi
have fun	dlala kamnandi
have you eaten	ingabe udlile
having	ukuba ne
hazard	ingozi
haze	fiphala
he	yena
he has	une
he is	uyi
head	ihloko
headache	ihloko
heal	yelapha
healing	ukwelapha
health	zamaphilo
healthy	ukuba nepilo
hear	izwa
heard	zwile
heart	ihliziyo
heat	tjhisa
heat	rhunyeleko
heaven	izulu
heavy	budisi
hectic	matasatasa
height	ubude
heir	indlalifa
heist	ubulelesi
held	banjwe
hell	isihogo
Hello	Lotjha
hello dear	lotjha sithandwa
hello how are you	lotjha unjani
hello how are you doing	lotjha unjani
helmet	umakarabha
help	siza
helpful	nesizo
hence	ngikho
her	yena
herd	umhlambi
here	lapha
heritage	amagugu
hesitate	ukuzaza
Hey	Heyi
Hi	Lotjha
hi how are you	lotjha unjani
Hi there	Lotjha
hidden	fihlekileko
hide	fihla
hierarchy	ukulandelana
high	phezulu
highlight	tjengisa
hike	khamba ngeenyawo
hiking	ukuhayikha
hilarious	hlekisako
hill	umbundu
him	yena
hint	isiyeleliso
hip	inyonga
hips	iinyonga
hire	qatjha
hiring	ukuqatjha
his	kwakhe
history	umlando
hit	betha
hobby	umsebenzi wokuzilibazisa
hold	bamba
hold on	jama
hole	umgodi
holiday	iholideyi
hollow	nganalitho
home	ekhaya
homework	umsebenzi wekhaya
honest	ukuthembeka
honestly	ngokweqiniso
Honey	Sithandwa
Honey	Iluju
honor	hlonipha
hood	ingwani
hook	iwugu
hop	ukupharuma
hope	ithemba
hope	themba
hopefully	ngethemba
hopeless	ukungasabi nethemba
horizontal	buvundla
horn	iphondo
horrible	esabekako
horror	ukwesaba
horse	ipera
hospital	isibhedlela
hospitality	ubuntu
host	amukela
host	ukwamukela
hostile	nobutha
hot	tjhisa
hotel	ihotela
hour	i-iri
hours	ama-iri
house	indlu
household	ikhaya
how	njani
how about you	alo wena ke
how are you	unjani
how are you doing	uvuke njani
how are you doing today	uvuke njani namhlanjesi
how are you today	unjani namhlanje
how do you do	wenza njani
how is	injani
how many	mangaki
how much	malini
how often	kanengi kangangani
how old are you	uneminyaka emingaki
how was your day	belinjani ilanga lakho
how was your night	ulele njani
however	yeke
hub	ihabhu
hubby	umlingani
hug	ukusingatha
hug	singatha
huge	khulu
human	umuntu
humble	ukuzithoba
humid	ubumanzana
humidity	ubumanzana
hundred	ikhulu
hungry	lamba
hunt	ukuzuma
hurricane	amawuruwuru
hurry	rhaba
hurry up	yenza masinya
hurt	limaza
husband	umyeni
hustle	kalukana
hustle	ukukalukana
hut	indlu
hygiene	ukuhlwengeka
I	Mina
I am	ngi
I am fine	ngikhona
I can	ngingakghona
I can't	angeze
I do	ngiyenza
I do not know	angazi
I do not understand	angizwisisi
I don't	angi
I don't know	angazi
I don't understand	angizwisisi
I don't understand what you mean	Angizwisisi bona utjho ukuthini
I don't understand you	angizwisisi
I don’t know	angazi
I don’t understand	angizwisisi
i guess	ngiyacabanga
I had	bengine
I have	ngine
I have been	bengi
I hope so	ngethemba njalo
I know	ngiyazi
I like	ngithanda
I like you	ngiyakuthanda
I love	ngiyathanda
I love my big brother	ngithanda umnakwethu omkhulu
I love my big sister	ngithanda udadwethu omkhulu
I love my father	ngithanda ubaba wami
I love my little brother	ngithanda umnakwethu omncani
I love my little sister	ngithanda udadwethu
I love my mother	ngithanda umma wami
I love you	ngiyakuthanda
I love you so much	ngikuthanda khulu
I love you too	nami ngiyakuthanda
I mean	ngitjho bona
I miss you	ngikukhumbulile
I miss you so much	ngikukhumbula khulu
I see	ngiyabona
I think	ngicabanga
I understand	ngiyazwisisa
I want	ngifuna
I want to see you	ngifuna ukukubona
I want you	ngifuna wena
I was	bengi
I will	ngizaku
I would be	ngizabe ngi
I'm	ngi
I'm fine	ngikhona
I'm good	ngimnandi
I'm here	ngilapha
I'm sorry	ngiyacolisa
ice	irhwaba
ice cream	i-ayisikhrimu
idea	umbono
ideal	ehle
identical	fanako
identify	qala
identity	tjengisa
idiot	isidlhadlha
idle	ngasebenziko
if	nangabe
ignore	lisa
ill	gula
illegal	ukungabi semthethweni
illness	ubulwele
Ilocano	isi-Ilocano
image	isithombe
imagine	cabanga
immediate	msinya
immediately	msinyazana
immense	khulukhulu
impact	betheka
impact	ukubetheka
impatient	ngabekezeliko
implement	hloma
import	ukungenisa
import	ngenisa
important	qakathekileko
impose	funza
impossible	ayikghonakali
impress	thabisa
impression	umbono
impressive	karisako
improve	yenza ngcono
improvement	ukwenza ngcono
in	ngaphakathi
in addition	ukungezelela
In fact	kuhlekuhle
in front of	phambi kwe
in order to	ukuze
inappropriate	ngakhambisaniko
incentive	ihlohlomezelo
incident	isehlakalo
include	faka hlangana
including	faka hlangana
income	ingenisomali
inconvenience	ukuphazamiseka
increase	ukungezelela
increase	ngeza
increased	ngeziweko
incredible	babazekako
indeed	kwamambala
independent	ukuzijamela
India	i-India
indicate	tjengisa
indigenous	kwendabuko
individual	ngamunye
industry	ibubulo
inevitable	ngavimbekiko
infant	isana
infection	ukutshwayeleka
infinity	okungapheliko
inflammation	ukuvuvuka
inflation	ibhebhedlhontengo
influence	ukuthelela
influence	thelela
inform	tjela
information	ilwazi
ingredients	iinthako
inheritance	ilifa
initial	kokuthoma
initiative	umzamo
injured	limele
injury	ukulimala
innocent	msulwa
innovation	ukusungula
inquiry	iphenyo
insane	ubuhlanya
insect	inunwana
insecure	ngakaphephi
insert	faka
inside	ngaphakathi
insight	ilwazi
insist	gandelela
insomnia	ukudinwa
inspiration	itjisakalo
inspire	khuthaza
install	hloma
instance	isibonelo
instant	khonokho
instead	kunokobana
instead of	kunalokhu
instructions	imilayo
instrument	isisetjenziswa
insult	thukana
insurance	i-intjhorensi
intact	iphelele
integrity	isithunzi
intellectual	ukuhlakanipha
intelligence	ukuhlakanipha
intelligent	ukuhlakanipha
intend	fisa
intended	kwenzelwe
intense	okungeneleleko
intention	isifiso
interact	sebenzisana
interaction	ukusebenzisana
interest	ikareko
interested	ukuba nekareko
interesting	karisako
interfere	cabhela
intermediate	phakathi
internal	ngaphakathi
international	kweentjhabatjhaba
internship	ihlelo lokubandulela umsebenzi
interpret	rhumutjha
interpreter	utologi
interrupt	phazamisa
interview	ukuhlunga
intimate	tjhideleneko
into	ngaphakathi kwa
introduce	ukwethula
introduction	isingeniso
introvert	untozakhe
intuition	ilemuko
invalid	okungasi semthethweni
invent	sungula
inventory	yokusungula
invest	ukusisa
investigate	phenya
invitation	isimemo
invite	mema
invoice	i-invoyisi
invoice	invoyisa
involve	faka hlangana
involved	ukuhlangabezana
iron	uku-ayina
iron	ayina
is	yi
island	isihlengele
isolated	hlukanisiweko
issue	khupha
issue	ikhupho
issues	iindaba
it	yona
it is	kuzoku
it was	beku
it's	yi
it's ok	kulungile
It's okay	kulungile
item	i-ayithemu
items	ama-ayithemu
its	yi
I’m	ngi
jacket	ijasi
jail	ijele
January	uTjhirhweni
jar	umjeka
jaw	umhlathi
jealous	umona
jerk	ukuhluthuka
jewelry	umcwebo
job	umsebenzi
jogging	ukujoga
join	hlanganyela
joint	ilunga
joke	ihlaya
journalist	umbikiindaba
journey	ikhambo
joy	ithabo
judge	ahlulela
judge	ukwahlulela
juice	ijuzi
july	uvelabahlinze
jump	yeqa
june	umgwengweni
junk	iinsila
just	fanele
just	faneleko
just do it	yese wenze
justice	ubulungiswa
justify	nikela isizathu
Kalaallisut	isiKalaallisut
keen	funa
keep	londoloza
keep it up	ragela phambili
kept	bekwe
kettle	iketlela
key	isikhiya
kick	rarha
kid	umntwana
kidding	ukudlala
kidney	iso
kids	abantwana
kill	bulala
kind	umusa
kind	-nomusa
kinda	kancani
kindly	ngomusa
kindness	ukuba nomusa
king	ikosi
kiss	cabuza
kitchen	ikhwitjhi
kite	ikhayithi
kitten	ukatswana
knee	idolo
knew	yazi
knife	umukhwa
knight	ikutani
know	yazi
knowledge	ilwazi
known	yaziwa
Konkani	isiKonkani
Krio	isiKrio
label	leyibula
label	ileyibula
labor	umsebenzi wokuzilibazisa
labour	umsebenzi
lack	tlhogekako
ladder	isitebhisi
lady	dade
laid	bekele
lake	ilitsha
lamb	imvu
lame	dondisako
lamp	ilampa
land	ehla
land	ukwehla
landscape	thuthukisa ijamo lenarha
language	ilimi
lap	igoji
large	kulu
last	kokugcina
last but not least	okhunye godu
last name	isibongo
late	ngemva kwesikhathi
lately	muva
later	lokha
latest	kwamva
latter	muva
laugh	hleka
laughing	ukuhleka
laughter	isihleko
launch	ukuhloma
laundry	ilondri
law	umthetho
lawn	iloni
lawyer	igqwetha
lay	ndlala
layer	ilarha
layout	isendlalelo
lazy	vilapha
lead	dosa
leader	umdosiphambili
leaf	ikari
leak	vuza
lean	ukweyama
leap	ukweqa
learn	funda
learning	ukufunda
lease	qatjhisa
least	ncani khulu
leather	isikhumba
leave	ilifu
leave	phuma
leaves	amakari
led	ibangele
left	isincele
leg	umlenze
legacy	ilifa
legal	ngokomthetho
legend	inolwanamlando
legit	okusemthethweni
leisure	ukuledlha
lend	boleka
length	ubude
less	ncani
lesson	isifundo
let	ngizaku
letter	incwadi
lettuce	ilethisi
level	izinga
leverage	linganisa
liability	isikolodo
library	ibulungelo leencwadi
lick	khotha
lie	lala
lie	ukulala
lies	amala
life	ipilo
lift	ukuphakamisa
lift	phakamisa
light	khanyako
light	ukukhanya
lightning	umbani
like	thanda
likely	kungenzeka
likewise	ngokunjalo
line	umuda
Lingala	isiLingala
link	isihlanganisi
lion	ibhubezi
liquid	amanzi
list	irhelo
listen	lalela
listening	ukulalela
literally	njengombana kutjhiwo
literature	zomtlolo
litter	ukusilaphaza
little	ncani
live	philako
live	phila
liver	isibindi
lives	amaphilo
living	ukuhlala
living room	ikamero lokuhlala
lizard	isibhadwa
load	umthwalo
loaf	ipani
loan	imalimboleko
local	indawo
location	indawo
lock	lodlhela
lockdown	ukuqinteliswa
log	isigodo
lonely	nesizungu
long	ede
long time no see	kade ngingasakuboni
look	ukuqala
look	qala
loop	isirhobelo
loose	tjhaphuluka
loose	ukutjhaphuluka
lord	zimu
lose	loba
loss	ukuloba
lost	lahlekelwa
lot	nengi
loud	phezulu
lounge	ikamero lokuphumula
love	ithando
love	thanda
love you	ngiyakuthanda
lovely	kuhle
low	phasi
lower	ngaphasi
loyal	ukuthembeka
loyalty	ukuthembeka
luck	itjhudu
lucky	itjhudu
Luganda	isiLuganda
luggage	umthwalo
lump	iliqa
lunch	amadina
lungs	amaphaphu
luxury	umnono
lying	lele
machine	umtjhini
mad	hlanya
madam	kosikazi
made	yenziwe
magazine	imagazini
magnificent	kuhle khulu
maid	umntazana
main	okuqakathekileko
maintain	itjho
maintenance	ukutjheja
Maithili	isiMaithili
major	ubukhulu
major	khulu
majority	inengi
make	enza
make up	isizeso
male	duna
mall	isithabathaba seentolo
man	indoda
manage	lawula
management	ukuphatha
manager	umphathi
mandatory	kukatelelekile
manifest	veza
manipulate	lawula
manner	umukghwa
manual	imanyuwali
many	okunengi
many many happy returns of the day	uzimu akuleke ngeminye iminyaka eminengi
march	untaka
margin	imajini
market	imakethe
marriage	umtjhado
married	tjhadile
mask	imaski
mass	ubudisi
massive	omkhulu
master	unomzana
match	ukumadana
match	madana
mate	umlingani
material	imatheriyali
math	iimbalo
matter	indaba
maturity	ukuvuthwa
may	mhlambe
may	ngingenza
maybe	mhlambe
me	mina
me too	nami
meal	ukudla
mean	-tjho
mean	ngazisiko
meaning	ihlathululo
means	kutjho
meant	okutjho bona
meanwhile	ngaleso sikhathi
measure	meda
measures	iindlela
meat	inyama
medical	imedikhali
medicine	iinhlahla
meditation	ukuzindla
medium	phakathi
meet	hlangana
meeting	umhlangano
Meiteilon	isiMeiteilon
melt	ncithika
memories	imikhumbulo
memory	umkhumbulo
mental	komkhumbulo
mention	itjho
mentioned	veze
mentor	umeluleki
merchant	umrhwebi
mercy	isirhawu
merely	kwaphela
merry christmas	ukresimusi omuhle
mess	iinsila
message	umlayezo
messy	silaphazekileko
metal	isimbi
method	indlela
mice	ikhondlo
middle	phakathi
midnight	phakathi kobusuku
might	kungenzeka
mild	pholileko
milestone	qakathekileko
military	amasotja
milk	ibisi
million	isigidi
mind	umkhumbulo
mind	khumbula
mindset	umkhumbulo
mine	mina
mine	ngeyami
mingle	ukuhlanganisa
minor	ncani
minute	umzuzu
minutes	imizuzu
miracle	umkarisomraro
mirror	isiboniboni
miscellaneous	okuhlukahlukene
mischievous	ukulelesa
miserable	ngakathabi
misery	isizi
miss	khumbula
miss you	ngikukhumbulile
missing	lahlekile
mission	umsebenzi
mist	ikungu
mistake	iphoso
Mizo	isiMizo
mobile	khambako
mock	ukugwera
model	umhlobo
moderate	lingana
modern	kwanje
modest	kwanje
moist	manzana
moisture	umswakamo
mold	ukukhunta
mold	khunta
mole	ifukwana
mom	umma
moment	isikhathi
monday	mvulo
money	imali
monitor	yelela
monkey	ifene
month	inyanga
mood	amazizo
moody	ubujamo
moon	inyezi
moral	umukghwa
more	okunengi
moreover	godu
morning	ekuseni
mortgage	ukubanjiswa kwepahla
most	inengi
mostly	kanengi
mother	umma
motion	isitjhukumiso
motivation	ukusekela
mountain	intaba
mouse	ikhondlo
mouth	umlomo
move	tjhida
movement	umsikinyeko
movie	imuvi
mrs	mm
much	kanengi
mud	idaka
mug	ibhigiri
muscle	umsipha
museum	imyuziyemu
mushroom	ikhowe
music	umvumo
must	kufanele
must	faneleko
mute	thulisa
mutual	ngokubambisana
my	yami
My dear	Sithandwa ami
my friend	mngani wami
My hovercraft is full of eels	Isiketjana sami sizele iinhlambi ezide ezimatsikana
my love	sithandwa sami
my name is	ibizo lami ngingu
my pleasure	ngiyathokoza
myself	mina ngokwami
mysterious	fihlakeleko
mystery	okusimanga
myth	inganekwana
nail	izipho
naive	butlhogalemuko
name	ibizo
narrative	ingcoco
narrow	matsikani
nasty	silingako
national	ilizwe loke
nationality	ubutjhaba
native	wendabuko
natural	kwemvelo
nature	imvelo
nausea	gonyuluka
near	eduze
nearby	eduze
nearly	pheze
neat	hlwengekile
necessary	qakathekileko
neck	intamo
necklace	umbhayelo wentanyeni
need	tlhoga
need	itlhogeko
negative	kumbi
neglect	nganaki
negotiate	bonisana
neighbor	umakhelwana
neighborhood	umakhelwani
neither	namkha
nephew	umtjhana
nerd	umdlwembe
nervous	thukiwe
nest	isidleke
net	inede
network	ithungelelwano
neutral	ukungathathi ihlangothi
never	akhange
never give up	ungapheli amandla
never mind	akutshwenyi
nevermind	akutshwenyi
nevertheless	nokho
new	etja
news	iindaba
next	okulandelako
next to	edaqi kwe
nice	kuhle
nice to meet you	ngiyathokoza ukukubona
niece	umzukulu
night	ubusuku
nightmare	ibhudango elimbi
nine	lithoba
nineteen	itjhumi nethoba
ninety	amatjhumi alithoba
No	Awa
no problem	akunamraro
no way	angeze
nobody	akunamuntu
noise	itjhada
noisy	netjhada
none	akukho
noon	emini
nope	awa
nor	nanyana
normal	okujayelekileko
north	etlhagwini
nose	ipumulo
nostalgic	ukuzizwa uthabile
not	ingasi
not at all	nakancani
not bad	akusikumbi
Not now	Ingasi njenganje
not yet	akukenzeki
note	tjheja
noted	kutshwayiwe
nothing	litho
notice	isaziso
noticed	tjhejeka
noun	ibizo
nouns	amabizo
novel	inoveli
november	usinyikhaba
now	njenganje
nowadays	kilamalanga
nuisance	into esilingako
null	iqanda
numb	ukungabi nomuzwa
number	inomboro
nurse	unese
nut	intongomani
nutmeg	imbumbulo
nutrition	ukondleka
oath	isifungo
obesity	ukunona
obey	thobela
object	into
objective	umnqopho
obligation	isibopho
obscure	sitha
observation	itjhejo
observe	qala
obsessed	ukuzindla
obsession	umzindlo
obsolete	ukuphelelwa sikhathi
obstacle	isiqabo
obtain	zuza
obtained	thole
obvious	okutjhatjhalazi
obviously	vele
occasionally	ngasikhathi
occupation	umsebenzi
occupied	vala isikhundla
occur	yenzeka
occurred	kwenzeka
occurs	yenzeka
ocean	ilwandle
october	usewula
odd	ngakhambisaniko
odds	amathuba wokwenza into
of	ye
of course	iye
off	kude
offensive	esilingako
offer	umnikelo
offer	nikela
office	i-ofisi
official	okusemthethweni
often	kanengi
Oh	Bababe
oh really	afeke kwamambala
oil	i-oli
ok	kulungile
ok dear	kulungile sithandwa
ok honey	kulungile sithandwa
ok my love	kulungile sithandwa sami
okay	kulungile
okay baby	kulungile mntwana
okay dear	kulungile sithandwa
okay honey	kulungile sithandwa
okay my love	kulungile sithandwa sami
old	dala
on	phezu
once	kanye
one	kunye
one language is never enough	ilimi elilodwa alikaneli
onion	i-eyi
online	onlayini
only	kwaphela
open	vula
operation	ukusebenza
opinion	umbono
opportunities	amathuba
opportunity	ithuba
opposite	phambeneko
optimistic	nethemba
option	ikhetho
optional	nokukhethwa
or	namkha
orange	o-orentji
orange	i-orentji
order	hlela
order	ihlelo
ordinary	okujayelekileko
organization	ihlangano
orientation	ibandulo nelwazi
origin	ivelaphi
original	kokuthoma
Oromo	isi-Oromo
orphan	intandani
other	okhunye
otherwise	nakungasinjalo
ought	ngenzeka
our	sethu
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Umsebenzi wethu: azwisise iphasi mazombe nokobana akghone ukukhuluma ilimi lakhe.
Our mission: to organize the world's information and make it universally accessible and useful.	Umsebenzi wethu:kuhlela ilwazi lephasi mazombe nokulenza litholakale kizo zoke iinarha
out	ngaphandle
outcome	umphumela
outfit	izambatho
outgoing	phumako
outlet	isango
outline	uhlaka
outside	ngaphandle
outstanding	okuseleko
oven	i-ondo
over	ngaphezu
over there	lapha
overall	i-ovorolo
overcome	yehlula
overthinking	ukucabanga khulu
overwhelmed	bhedlheka
overwhelming	bhedlhako
owe	koloda
owl	isikhova
own	zuzileko
own	zuza
owner	umnikazi
ox	ikabi
pace	ibelo
pack	paka
package	ipaka
paid	bhadaliweko
pain	ubuhlungu
paint	penda
painting	isithombe
pair	ipara
pale	tshetlha
palm	intende
pan	ipani
pandemic	umabhubhisa
panic	ivalo
pants	amabhrugu
paper	iphepha
paradise	ipharadesi
parallel	malungana
parcel	iphasela
pardon	icolo
parents	ababelethi
park	iphaga
park	jama
parrot	ubhobhorhayi
parsley	iphasili
part	ingcenye
participate	ukuzibandakanya
particular	khethekileko
particularly	khulukhulu
partner	umlingani
party	iphathi
pass	dlulisa
passage	iphasitjhi
passed	dlulileko
passion	itjisakalo
passionate	nethando
passive	sidu
password	iphasiwedi
past	isikhathi esidlulileko
patch	ukuphakama
path	indlela
pathetic	ukuba nezwelo
patience	ukubekezela
patient	sigulani
patient	gulako
pattern	iphetheni
pause	phumula
pavement	ipheyvimende
pay	bhadala
payment	imbhadalo
peace	ukuthula
peaceful	ngokuthula
peach	iperegisi
peak	isiqongolo
pear	ipiyere
peas	amaphizi
peculiar	ngakavami
pee	ukujoba
pee	joba
peel	kela
peer	intanga
peers	abangani
pen	ipeni
pencil	ipensela
pending	kulawulwe
people	abantu
pepper	ibilibili
perceive	bona
perception	umbono
perfect	kuhle
perform	sebenza
performance	umsebenzi
perhaps	mhlamunye
period	isikhathi
permanent	kwasafuthi
permission	imvumo
permit	imvumo
perseverance	ukubekezela
persistent	ukuphikelela
person	umuntu
personal	okungokwakho
personality	ubuntu
perspective	ihlangothi
persuade	heha
pervert	hlanakela
pet	ifuyosithandwa
phase	isigaba
phenomenon	isehlakalo
philosophy	ifilosofi
phone	umtato
photo	isithombe
phrase	umutjhwana
physical	komzimba
pick	dobha
pick up	ukudobha
picture	isithombe
piece	isitokana
pieces	iintokana
pig	ifarigi
pigeon	izuba
pile	iwobhu
pillow	umsamelo
pilot	umtjhayeli wesiphaphamtjhini
pin	iphini
pineapple	ipeyinabhula
pink	pinki
pit	umgodi
pitch	phezulu
pity	isirhawu
place	ukubeka
place	beka
places	iindawo
plague	ubulwele
plain	thabaleleko
plan	umtlamo
plane	isiphaphamtjhini
plant	tjala
plants	iintjalo
plate	ipleyidi
platform	iplatfomu
play	dlala
play	umdlalo
playing	ukudlala
pleasant	thabisako
please	bawa
pleased	thabisako
pleasure	ithabo
pledge	thembisa
plenty	kunengi
plot	indawo
plug	plaga
plum	iplamu
plumber	iplamara
plural	ubunengi
podcast	iphodkhasti
poem	ikondlo
poetry	ikondlo
point	iphuzu
poison	itjhefu
police	ipholisa
policy	umgomo
polite	ngomoya ophasi
pollution	isilaphazeko
pond	idanyana
pool	idamu
poop	udede
poor	umtlhago
pop	dumuza
popular	dumileko
population	isitjhaba
pork	ifarigi
porridge	umdoko
port	itheku
position	indawo
positive	hlela
possess	phatha
possession	ukuphatha
possessive	ubunikazi
possible	kghonakalako
post	ukuposa
post	posa
postpone	tshwilisa
potato	izambani
potential	ikghono
pound	iponde
poverty	indlala
power	amandla
powerful	namandla
practical	okuphrakthikhali
practice	jayeza
practice	ukuzijayeza
praise	halalisela
prank	umgilingwana
pray	thandaza
precious	kuhle
precise	nembako
precisely	ngokunembako
predict	bonela phambili
prefer	nyula
preference	okunyulwako
pregnant	ukuba sidisi
prejudice	ukuzindla
premises	amacabazi
premium	iphrimiyamu
preparation	amalungiselelo
prepare	zilungiselele
prepared	ukuzilungiselela
preposition	abondaweni
presence	ukuba khona
present	njenganje
present	isipho
presentation	isethulo
preserve	ukubulunga
president	umengameli
press	ukugandelela
press	gandelela
pressure	igandelelo
pretend	ukuzenzisa
pretty	ubuhle
pretty	ngobuhle
prevent	khandela
previous	ngaphambilini
prey	ukudla
price	intengo
pride	ukuzikhukhumeza
priest	umfundisi
primary	iphrayimari
prime	oyihloko
princess	ikosazana
principal	uphrinsipala
prior	ngaphambi
priority	okunyulwako
prison	ijele
privacy	buntumba
private	kwangasese
privilege	ilungelo elikhethekileko
prize	umtlomelo
probably	mhlambe
problem	umraro
procedure	ikambiso
proceed	raga
process	khambisa
process	ikambiso
produce	khiqiza
product	umkhiqizo
production	umkhiqizo
profession	iphrofetjheni
professional	phrofetjhinali
profile	iphrofayili
profit	inzuzo
profound	dephileko
progress	raga
progress	iragelo
project	iphrojekthi
prominent	dumileko
promise	isithembiso
promise	thembisa
promote	thuthukisa
promotion	ukukhutjhulwa esikhundleni
prompt	khuthaza
prone	athembekele
pronouns	izabizwana
pronunciation	ukuphimisa
proof	ubufakazi
proper	kwamambala
properly	ngefanelo
properties	izakhiwo
property	ipahla
proposal	isitjhukumiso
prospect	ukungenzeka
prosperity	ipumelelo
prosperous	ipumelelo
protect	vikela
proud	zikhakhazisa
prove	fakaza
provide	nikela
provided	nangabe
province	isifunda
provision	umnikelo
puberty	ibanga lobuja
public	umphakathi
pull	dosa
pumpkin	umgade
punctual	ngesikhathi
pupil	umfundi
purchase	thenga
pure	kwamambala
purple	phephuli
purpose	umnqopho
purse	isipatji
pursue	ukusungula
pursuit	thoma
push	sunduza
put	beka
qualification	iziqu
quality	ikhwalithi
quantity	inani
quarantine	ukuba wedwa
quarrel	ukulwa
quarrel	ilwa
