kou'n	a
iyolɛ	execution
be pkin	executive
djuman	exercise
n'ga abu i lɔ	exhaust
fɛ	exhausted
iklekle lɛ	exhibit
nin'gue klelɛ	exhibition
ewolɛ	exist
minh	existence
n'ga wo lɛ	existing
fitewlɛ	exit
fite	exit
aju mua	expand
a trɛ	expand
minndɛ	expect
n'ga ye min'dɛ	expected
i gua ti dɔhun	expenses
igua tchinli	expensive
min silɛ	experience
yo vie	experiment
sran n'ga wa ʃɛ i juman nu	expert
e sin'li	expired
tutunu	explain
inu yiyi lɛ	explanation
like dan n'ga be yo	exploit
nian nu	explore
fa ko guassu	export
fa ko lika uflɛ	export
klehi	expose
kle i	exposed
ikle lɛ	exposure
kan n'dɛ	express
i gnunu wafa	expression
trɛ nu	extend
yo i dan	extend
trɛnu	extended
i wun muan	extension
iwafa	extent
guassu	external
nuen i	extinct
issu	extra
guassu	extra
yi inu	extract
like n'ga be lafi a su	extraordinary
dɔwun	extreme
dɔ wun	extremely
yima	eye
yima mu	eyes
tissu	fabric
tan'ni	fabric
eti kpa	fabulous
i gnunu	face
yo min nin eyo kekle	facilitate
societe mu	facilities
usini	facility
n'ga si'nli	fact
n'ga yo li tiɛ	factor
usuni	factory
n'dɛ'm	facts
saki	fade
fien	fade
wa kula yo man	fail
wa kwla man	failed
kula man	failure
iyi bluli	faint
fɛtɛ fɛtɛ	faint
issu	fair
kpa	fair
dɔ'un	fairly
issu	fairly
assiɛ wussu kanhan	fairy
laffissu	faith
lafi su	faithful
ato	fake
tɔ	fall
ato	FALSE
i dun'man	fame
i silɛ	fame
n'ssi yi	familiar
awlobo	family
aho	famine
sran dan	famous
klo	fan
klanman	fancy
n'ga a kundɛ ka a yo	fancy
eti pka	fantastic
mua	far
ye ya nianmien su	farewell
fie dan	farm
nan'ni me lika	farm
fiessu juman di fuɛ	farmer
n'klo yi	fascinating
modi	fashion
nindɛ	fast
dan	fat
kunlɛ like	fatal
ye ayin'man	fate
si	father
baba	father
afɛ	fatigue
fɔnli	fault
n'ga a klohi	favorite
flɛri	favour
n'ga a klohi	favourite
srɛ	fear
sro	fear
fɛtri	feast
annun'man n'drɛ	feather
iwafa n'ga ti	feature
iwafa n'ga ti	features
fevrie	february
man aliɛ	fed up
i yolɛ sika	fee
man aliɛ	feed
ijɔlɛ	feedback
ɔyo kɛ	feel
n'ga a wun yi	feeling
ja	feet
fa i n'van	fell
mi sran	fellow
fun'an fun'an	felt
wun	felt
bla	female
cloturi	fence
eman ba kpa	fertile
fetri	festival
kun'dɛ	fetch
fa	fetch
arɛ	fever
kahan	few
kan'an	fewer
yi	fiance
bian	fiance
flimi nu like	fiction
n'ga tia nanwlɛ	fiction
issɔ like nu	field
di wlɛ	fierce
blu ni n'nun	fifteen
ablo nun	fifty
tu utre	fight
utre tulɛ	fighting
like nuan	figure
ti	figure out
fluwa mu	file
yi i	fill
yi i	filled
filmi	film
fien	filthy
iguawlɛ	finally
sika n'dɛ	finance
sika n'dɛ	financial
ɲin i	find
ɲin i	find out
eti pka	fine
sama	finger
vie	finish
vie li	finished
si'n	fire
societe	firm
klili	first
duman n'ɲon su	first name
jue	fish
ni ɔ ya	fit
n'nun	five
sie kpa	fix
sie i kpa	fixed
drapo	flag
foto i kpajalɛ	flash
sua	flat
ti a kpa	flaw
e ti kpa	flawless
wondi	flee
n'nin	flesh
tu n'glo	flew
be kwla bli i	flex
pɔpɔ	flexible
bo	flight
utre	flight
sɛ issi'n	flip
di ten'de	flirt
di te'n n'de	flirting
m'lon man	float
n'zue yi lika i	flood
etagi	floor
able sanmlin	flour
iyowlɛ	flow
flɛri	flower
atre ya	flu
wehin	fluent
titi	fluent
kin titi	fluently
mon'tonh	fluffy
be ti	fluid
tu n'glo	fly
tu	fly
n'ga a akun'nda wo su	focus
yan'sue	fog
yanssue	foggy
klu i	fold
sran kaka	folks
su i su	follow
issu nianlɛ	follow up
nian su	follow up
n'ga su i su	following
like dilɛ	food
aliɛ	food
siman n'gulɛlɛ	fool
sin'zin	foolish
jã	foot
ban'non	football
nan	for
kle kun	For example
n'ga tiɔ	for instance
ɔ liɛ	for you
n'ga be kula yo man	forbidden
wumien	force
sun'zu	forecast
iti su	forehead
eti ɛ su	foreign
aofuen	forest
ʃin kula	forever
wulafi	forget
yaki	forgive
wla fi	forgot
fuchɛti	fork
atiɛ	fork
i wafa	form
pkin me bulɛ	formal
lã	former
nianmien ti	fortunately
sika	fortune
lika pka n'ga sran lɛ i	fortune
abla n'nan	forty
abla n'nan ni n'ɲon	forty-two
ibue n'ssu	forward
yo i publicite	foster
bu kɛ	fought
gnin li	found
association	foundation
n'nan	four
blu ni n'nan	fourteen
soklo n'gbli	fox
etiman kekle	fragile
inuanssu	frame
ihun'muan	framework
lika sɔ	framework
walɛ	fraud
didii	freak
srɛ like	freak
n'gbin	free
alaje	freedom
jɔ	freeze
glace	freeze
ʃin vie	frequency
titi	frequent
tʃin vie	frequently
jɔ	fresh
ya	friday
frigidɛr	fridge
dja n'vuɛ	friend
javuɛ nu	friendly
javuɛ mu	friends
javuɛ	friendship
srɛ kun yi	frightened
srɛ like	frightening
klɛ	frog
efafi'n	from
iɲu'nu	front
djɔ kelkle	frozen
waka n'ma	fruit
eyo ya	frustrated
essenci	fuel
Fulfulde	Fulfulde
yiwa	full
n'guã	fun
i liɛ n'ga e yo	function
like kpa	fundamental
sɛ bo	funeral
kle srilɛ	funny
n'ninh n'drɛ	fur
fa aya	furious
sua nu nin'gue mu	furniture
ikunu	further
ye wlu ikunu pka	furthermore
ayiman	future
gnan	gain
n'guã	game
i afien	gap
loto siesie wlɛ lika	garage
wla	garbage
ijre	garden
layi	garlic
anuan	gate
bo i kpɔlɛ	gather
yissa	gather
yissa	gathering
sun'zu	gauge
manli	gave
machini nin'gue	gear
bla anzɛ yassua	gender
i n'gba nu	general
i klwa nu	generally
man like	generate
afuɛ kun nu sran	generation
kunu ufue	generous
like kpa	genius
i wafa	genre
kunnu wufue	gentle
ikpa yin	genuine
sa siesie lɛ	gesture
gnan	get
wla tralɛ	get dressed
jasso	get up
yo juejue	get well soon
ɲan i	getting
wumien	ghost
umien	ghosting
kpannangblan wun	giant
akatua	gift
assiɛbo sa	ginger
blã	girl
jan'vuɛ bla	girlfriend
man	give
yaki nu	give up
manli	given
yo fɛ	glad
nian	glance
verri	glass
nian'nu	glass
verri mu	glasses
nian nu	glimpse
wun' i	glimpse
i n'gba	global
dun'wa	gloomy
be sa gan	gloves
kpajalɛ	glow
kpaja	glow up
kɔli	glue
kɔ	go
kɔ	go ahead
kɔ lɔ	go away
kɔla	go to bed
i viewlɛ	goal
agun'da nu	goals
boli	goat
nian'mien	god
nianmien wuka wɔ	god bless you
si'in	goes
kɔ	going
kɔ lɛ su	going to
sika ɔkulɛ	gold
wɔli	gone
kɔ	gonna
n'ga seri	goo
n'ga ti mlonlon	goo
kpa	good
mo wonti	good afternoon
bã wonti	good afternoon
ye tɛ wo nu	good bye
tʃin kpa	good day
Ba wossi'n o	good evening
awossi'n o	good evening
mo	good job
e ti kpa	good looking
e fite kpa	good looking
min nianmien suman ɔ	good luck
arɛ ho	good morning
aɲiho	good morning
arɛ o mi soman	good morning my love
awossi'n ho	good night
lafi kpa	good night
ye tɛ wo nu	goodbye
ye wo ayin'man	goodnight
sran like'm	goods
Google	Google
Google n'ga be fa kan anien kun	Google Translate
labu labu	goose
klanhan kpa	gorgeous
sran wun n'dɛ kan fuɛ	gossip
ɲan i	got
gnan li i	got it
awa	government
tranu	grab
i juman	grade
kan'gan	gradually
diplɔmi	graduate
n'ma	grain
man ati'n	grant
man li ati'n	granted
waka n'ma n'ga be fa yo divin	grapes
tra nu	grasp
ijre	grass
e si yo	grateful
e si ye	gratitude
tɛ	grave
ble kɛ n'zuen	gray
etikpka	great
aliɛ dilɛ dan	greed
aliɛ di fuɛ kpli	greedy
ble kɛ n'ɲa	green
yo like	greet
like yolɛ	greeting
like yowa	greetings
ble kɛ fa sa	grey
jajawlɛ	grid
awuyomo	grief
yo mugu mugu	grind
ti'n	grind
fa	grip
tra nu	grip
lika n'ga be yo tro nin'gue atɛ	grocery
yi	groom
wun'	groom
i n'gba	gross
assiɛ	ground
be sran kaka	group
gni	grow
ɲilɛ	growth
kula aya fa	grumpy
Guarani	Guarani
ewa yo su	guarantee
sran n'ga nian lika su	guard
bu i akun'nda	guess
awofuɛ	guest
kle kle lɛ	guidance
kle ati'n	guide
yi ɛ yo li	guilty
yassua	guy
ɲa mu	guys
spori yolɛ	gym
tralɛ	habit
tranwlɛ	habitat
gnin	had
yo like	hail
n'ma	hail
ti muen	hair
ti n'drɛ	hair
bue	half
sua kunu dan	hall
sa	hand
yo ni be sa	handle
klanman	handsome
klanhan	handsome
sen'de	hang
fite	hang out
ɲoin	hang out
si'n	happen
n'ga sin'li	happened
akunu juɛ	happiness
yo i fɛ	happy
mo ni wɔ afuɛ tchin yi	happy birthday
tʃin n'ga be wuwo issu fetri	happy birthday to you
mo ni tʃin	happy new year
kekle	hard
kekle	hardly
e ti kekle	hardly ever
ya	harm
tɛ	harm
ya	harmful
n'ga yo klan'man	harmony
kekleke	harsh
n'ga a ɲin i	harvest
e ɲan	has
eklo man sran	hate
lɛ	have
min ɔ tʃinin sin kpa	have a good day
min andɛ yo kpa man wɔ	have a nice day
di aliɛ	have breakfast
kan n'gua	have fun
ye bobo ye wun	have you eaten
lɛ i	having
n'gbin sa	hazard
yan'sue	haze
ibɔbɔ	he
e lɛ	he has
e ti	he is
be ti	head
tiya	headache
mian'mian	heal
yo juejue	heal
yo juejue	healing
juejue	health
juejue	healthy
ti sa	hear
ti li	heard
awlin	heart
do	heat
an'glo	heaven
non'ni	heavy
like juejue	hectic
i n'glo n'glo su	height
ke sran wu issi'n nin'gue fafue mu	heir
walɛ	heist
avie	heist
fali	held
blɔlɔ	hell
Anouho	Hello
arɛ o	hello dear
agni o	hello dear
agni o awun ti kpa	hello how are you
anuo awun ti pka	hello how are you doing
moto kle	helmet
wuka	help
ewuka	helpful
issotiɛ	hence
i	her
bua mu	herd
nan'ni mu	herd
wa	here
aja ningue	heritage
bu i sin	hesitate
aɲo	Hey
Anouho	Hi
aɲio ahun ti kpa	hi how are you
amu aɲio	Hi there
fia	hidden
fia	hide
pkin mu	hierarchy
n'glo	high
kle	highlight
blo kolɛ	hike
ye wlan blo	hiking
ekle srilɛ	hilarious
kpɔlɛ su	hill
yi	him
ɔ yin wo su	hint
keje	hip
sran vi	hips
fa wɔ di juman	hire
fa juman fuɛ	hiring
i	his
lã n'dɛ	history
bo i	hit
Hmm	Hmm
n'guã	hobby
tranu	hold
jran	hold on
kuman	hole
blɛ n'ga be do wun'mien	holiday
lika kplala	hollow
awlo	home
awlo juman	homework
sran kpa	honest
sran n'ga be lafi issu	honest
kunu su	honestly
awɔma n'zue	Honey
min' i wumien	honor
ti tre	hood
kle	hood
tra	hook
tu tra su	hop
minndɛ	hope
e lafi su	hopefully
e kɔ yoman su	hopeless
n'ga ja wɔ n'gbigbi nu	horizontal
ponh'ponh'	horn
tɛ kpa	horrible
n'ga yo srɛ	horror
kpanngɔ	horse
dɔtrɔ	hospital
sran nu solɛ	hospitality
tranfuɛ	host
klo man sran	hostile
do wa	hot
hotɛli	hotel
dɔ	hour
dɔ'mu	hours
sua	house
suanu	household
issɛ	how
ye ɔ li	how about you
ahou'nti kpa	how are you
ahou'nti kpa	how are you doing
n'zu yɛ assu yo andɛ	how are you doing today
awun ti pka an'de	how are you today
ahun ti kpa	how do you do
e ti sɛ	how is
n'ɲɛ	how many
n'gnɛ	how much
tʃin beni	how often
alɛ afuɛ n'gnɛ	how old are you
andɛ ti sɛ	how was your day
a lafi kpa	how was your night
sanguɛ	however
pkɛ i wun	hub
mi wun	hubby
yo atuu	hug
dan kpa	huge
sran	human
sran kpa	humble
duawa	humid
duawa	humidity
ya'kun	hundred
awo	hungry
konien	hunt
n'zue n'ga tɔ tɛ	hurricane
nin'dɛ	hurry
yo n'nindɛ	hurry up
bo wla	hurt
wu'n	husband
keje	hustle
nan'mue nu suaba	hut
n'ga ti san'wu	hygiene
Mi	I
n'ti	I am
mi wun ti kpa	I am fine
N'kula	I can
n'kulaman	I can't
N'yo	I do
n'si man	I do not know
n'ti man	I do not understand
n'kula man	I don't
n'ssiman	I don't know
N'ti man	I don't understand
N'ti man n'ga awin kan i	I don't understand what you mean
n'ti man	I don't understand you
n'ssiman	I don’t know
n'ti man	I don’t understand
n'bukɛ	i guess
N'lɛ i	I had
n'lɛ	I have
N'yoli	I have been
n'bu i sɔ	I hope so
n'ssi	I know
n'klo	I like
n'klo ɔ	I like you
n'klo ɔ	I love
n'klo wɔ mi niãn bian	I love my big brother
n'klo wɔ mi niãn bla	I love my big sister
n'klo wɔ mi baba	I love my father
n'klo wɔ mi niãn bian	I love my little brother
n'klo wɔ mi niãn bla	I love my little sister
n'klo wɔ mi ni	I love my mother
n'klowɔ	I love you
n'klowɔ kpa	I love you so much
n'klo ɔ vie	I love you too
mi yin yo	I mean
n'wlã do wɔ	I miss you
n'wlã do wɔ	I miss you so much
n'wun yi	I see
n'bukɛ	I think
n'tili	I understand
n'kundɛ kɛ	I want
mi yin n'wun wɔ	I want to see you
n'kundɛ wɔ	I want you
n'ti	I was
n'kula	I will
N'yoli	I would be
n'ti	I'm
mi wu'n ti kpa	I'm fine
mi wu'n ti kpa	I'm good
n'wolɛ	I'm here
yaki	I'm sorry
glaci	ice
glassi	ice cream
akun'nda	idea
n'ga ti kpa	ideal
i kun'gba	identical
duman	identify
duman	identity
sin'zi	idiot
sin'gli'n	idiot
n'ga di ya juman kun	idle
sɛ	if
n'tan tɛ su	ignore
usandi man ɔ	ill
n'ga ti a n'mla su	illegal
tukpatʃɛ	illness
Ilocano	Ilocano
foto	image
bu i akun'nda	imagine
itchra	immediate
itchra	immediately
pkan'gban	immense
dan	immense
i n'ga effa yo i su	impact
kwla midɛ man	impatient
sie ilɛ	implement
fa wlu	import
nin'gue kpa	important
yo i kekle nu	impose
n'ga sran kula yo man	impossible
kle i wun	impress
i wafa n'ga a wu'n i	impression
kpakpa	impressive
yo i kpa	improve
iyolɛ kpa	improvement
ikunu	in
inu	in
ekun	in addition
yɛ	In fact
i ɲunu	in front of
nan	in order to
e ti man kpa	inappropriate
n'ga man wɔ umien	incentive
n'dɛ tɛ	incident
ewonu	include
ewonu	including
sika n'ga a ɲin i	income
ibue tɛ	inconvenience
wukassu	increase
guassu	increase
wuka su	increased
n'ga a lafi a su	incredible
iti yɛ	indeed
di ibɔbɔ i juman	independent
Indi	India
kle ni be sa	indicate
sran n'ga be tran issoɔ klɔ su	indigenous
sran	individual
usini ni nin'gue	industry
non n'ga wa yossu	inevitable
bakan'nu	infant
tupka tʃɛ	infection
n'ga vie man de	infinity
kan'ni	inflammation
issu ukaɛ	inflation
wafa n'ga eyo ɔ su	influence
kan kle i	inform
n'dɛma	information
nin'gue n'ga be fa yo mu	ingredients
i atin'	inheritance
ibo	initial
fa ajalɛ	initiative
like ya	injured
kan'ni	injury
nin yi ɔ	innocent
i wuflɛ yo lɛ	innovation
wussalɛ	inquiry
fia	insane
kakã	insect
ti tɛ	insecure
fa wlu	insert
i kunu	inside
wunli	insight
tin'su	insist
kin kpa	insist
kɛ lafilɛ kuman sran	insomnia
wu mien	inspiration
man wumien	inspire
do wumien	inspire
sie	install
n'ga tɛ wolɛ	instance
dɔ	instant
ɔ maan	instead
e ti kɛ	instead of
klekle lɛ	instructions
like	instrument
kpɛ n'zua	insult
assuranci	insurance
e ti kun'gba	intact
nanwlɛ fuɛ	integrity
fluwa sifuɛ	intellectual
si n'gwlɛlɛ	intelligence
n'gulɛlɛ	intelligent
wlɔ akun'nda	intend
n'ga a kun'dɛ	intended
dɔwun'	intense
i akun'nda	intention
ijɔ ni	interact
be afien like yolɛ	interaction
n'gundɛ	interest
n'kula	interested
yo fɛ	interesting
wla aliɛ nu	interfere
like n'ga wo bé afien	intermediate
ikunu	internal
minh n'gba nu	international
nin'gue suanlɛ	internship
yiyi nu	interpret
kin iwuflɛ	interpret
sran n'ga yijɔ be ɲunu	interpreter
be ɲunu yijɔle	interpreter
kpɛ	interrupt
sran qosan wusalɛ	interview
n'ga sran wun'man nu	intimate
inu	into
kle ɔ wun	introduce
ibo bo lɛ	introduction
eyi jɔman	introvert
like kun cemi kɛ	intuition
ti man kpa	invalid
yo like kun	invent
n'ga be yo be	inventory
wla i liɛ nu	invest
enketi	investigate
qosan wusalɛ	investigate
flɛlɛ	invitation
flɛ yi	invite
ressu	invoice
n'ga yo	involve
n'ga e yo	involved
blãlɛ	iron
eti	is
assiɛ klikli	island
y'a i wun'mi	isolated
n'dɛ	issue
n'dɛ	issues
sã	issues
e	it
eti	it is
eti	it was
e ti	it's
e ti kpa	it's ok
e ti su	it's ok
eti kpa	It's okay
eti issu	It's okay
like'm	item
like n'ma mu	items
i	its
n'ti	I’m
vɛssi	jacket
bisua	jail
Angbɔ sra	January
Janvie sra	January
sɛ	jar
awuje	jaw
aɲinblɔɛ	jealous
keje lɛ	jerk
fin'fin fuɛ	jerk
bla mu me makiaji nin'gue	jewelry
juman	job
be janu won'dilɛ	jogging
to be	join
ikpɔlɛ	joint
kan n'goa	joke
jurnalissi	journalist
lika kɔlɛ	journey
akunu juɛ	joy
juji	judge
wakama n'zue	juice
juye	july
tu tra	jump
zuen	june
nin'gue fien	junk
wla	junk
eti su	just
yo sa	just do it
n'ga ti issu	justice
kle kle nu	justify
Kalaallisut	Kalaallisut
juejue	keen
tra'nu	keep
yaki i sɔ	keep it up
sie i	keep it up
sie li	kept
sɛ	kettle
n'ga be ton n'zue nu	kettle
lakle	key
fin'yi ni be ja	kick
tu i ja si yi	kick
bakan	kid
klɔklɔ lɛ	kidding
vi	kidney
bakan mu	kids
kun'i	kill
wafa	kind
kan'han	kinda
ni kunu wufue	kindly
kunnu wufue	kindness
famien	king
min' i bise	kiss
aliɛ ton'wlɛ	kitchen
n'ga e tu	kite
djelua ba	kitten
ja kpolɛ	knee
si i	knew
kue	knife
lã blofue me son'ja	knight
si	know
niggue n'ga e si yi	knowledge
si i	known
Konkani	Konkani
Krio	Krio
issu n'zɔliɛ	label
jūman	labor
juman	labour
n'ga numanlɛ	lack
echɛli	ladder
talua	lady
sie	laid
n'zue	lake
bua wa	lamb
jaya fuɛ	lame
kan'nien	lamp
assiɛ	land
like n'ga ye wun be	landscape
lika	landscape
anien	language
kpɛ i wun	lap
gba hum	large
issien liɛ	last
issien san'guɛ nan i kan	last but not least
ɔ baba duman	last name
issien	late
issien	lately
issien	later
i sien	latest
sien	latter
sri	laugh
srilɛ	laughing
srilε	laughter
to lɔ	launch
nin'gue pkulɛ	laundry
justici	law
n'mla	law
n'mla	lawn
avoca	lawyer
juji	lawyer
lahi	lay
n'ga la su	layer
i sie sielɛ	layout
n'vɛɛ	lazy
kle ati'n	lead
be su pkin	leader
n'gna	leaf
essin	leak
wondilɛ	leak
kanhan	lean
tu tra su	leap
suan	learn
like suan lɛ	learning
fa sua	lease
ikanhan kpa	least
n'nin kpolo	leather
djasso lɛ	leave
kɔ	leaves
kle atin	led
ewɔ li	left
ja	leg
aja ningue	legacy
n'ga ti issu	legal
lã n'dɛ	legend
n'ga ti n'mla su	legit
n'guã	leisure
man kalɛ	lend
man like	lend
issu'n n'zuwlɛ	length
i kahan	less
n'gwlɛlɛ	lesson
ye	let
fluwa	letter
lettri	letter
saladi	lettuce
i tin'nin su	level
i ssu i	level
mahini n'ga be fa man su	leverage
issu lafilɛ	liability
blɔfutɛ fluwa sua	library
tafi	lick
ato	lie
ato	lies
min	life
man su	lift
sɛssɛ	light
kanhan	light
n'gblanlan	lightning
kɛ	like
n'ga won yo su	likely
ikun'gba	likewise
ɲan'man	line
Lingala	Lingala
be afien like	link
jra	lion
asɔmɔli	lion
n'zue	liquid
i bobo lɛ	list
sie wɔ su	listen
be su sielɛ	listening
sie assu	listening
ibuebue	literally
fluwa nu n'dɛ	literature
i n'ma n'ma	litter
kanhan	little
tran	live
i bɔ	liver
min	lives
tran	living
salon nu	living room
sua ba dan	living room
ben'ze	lizard
apa'nba	lizard
otekun'	lizard
sua	load
pkanhu	loaf
kalɛ	loan
ye wa liɛ	local
fa ni sika	location
tonu	lock
sua nu fia lɛ	lockdown
wlu nu	log
srilɛ	lol
iwumi	lonely
tin'nin	long
wa tʃɛ n'wunman wɔ	long time no see
nian	look
inu tolɛ	loop
mli'n	loose
famien	lord
m'li	lose
mli	loss
mlin'	lost
ibue	lot
pkan	loud
sua kunu	lounge
klolɛ	love
klo ɔ	love you
klo klanhan	lovely
ibolɔ	low
ija n'gua	lower
eti ɔ liɛ	loyal
sran n'ga kula yo man o tɛ	loyalty
muaye	luck
alɛ muaye	lucky
Luganda	Luganda
trɔ	luggage
bue	lump
pko	lump
aliɛ dilɛ	lunch
taflan'man	lungs
wlogbi like	luxury
ato kanlɛ	lying
machini	machine
fia fuɛ	mad
mo bla	madam
yoli	made
fluwa	magazine
jurnali	magazine
klanhan	magnificent
sua nu juman di fuɛ bla	maid
iba	main
yassɔ	maintain
sie issɔ	maintain
issiessie lɛ	maintenance
Maithili	Maithili
inii	major
iba	major
be n'gba	majority
siessie	make
yoo	make
bla me makiyagi	make up
yassua	male
lika n'ga be yo nin'gue mu	mall
yassua	man
bian	man
sie	manage
nian su	manage
issu nian lɛ	management
be su pkin	manager
n'ga ti su kɛ be yo	mandatory
kle i wu	manifest
kin kin i	manipulate
yo	manipulate
iwafa	manner
be sanu	manual
kaka	many
n'tʃin yoli fɛ an'dɛ	many many happy returns of the day
nanti	march
i bue	margin
gua	market
aja	marriage
waja	married
be ɲunu kata le like	mask
be n'gba	mass
dãn	massive
si iyi yo	master
be yanu	match
javuɛ	mate
like ma'm	material
matematiki	math
nin'gue siesiewa	math
likessɔ	matter
blolɛ	maturity
ekula	may
kpɔkun	maybe
n'bɔbɔ	me
n'bɔbɔ vie	me too
aliɛ	meal
ati'n	mean
i bo	meaning
ibo	means
ibo'm	means
i n'ga ekan	meant
lɛ fan	meanwhile
ikun'gba	meanwhile
sun'nzu wlɛ	measure
nin'gue nuan falɛ	measures
aliɛ	meat
dɔrttrɔ	medical
dɔtrɔ	medicine
akun'nda bulɛ	meditation
be n'ga be ni wunmiɛn’mu bé yijɔ	medium
yanu	meet
yaya	meeting
Meiteilon	Meiteilon
san'gan nu	melt
n'ga ye fa sie ye tinu	memories
iti nu	memory
n'gwlɛlɛ	mental
niggue	mention
kan	mention
kanli	mentioned
ye pkin	mentor
like atɛ yo fuɛ	merchant
anvo	mercy
n'gbin sa	merely
mo ni ʃin	merry christmas
suku suku	mess
n'galiɛ	message
suman	message
sran suku fuɛ	messy
fien	messy
blalɛ	metal
iwafa n'ga be fa yo	method
gbekle mu	mice
i afien	middle
minui	midnight
ekula	might
monton	mild
muen	mild
i bue kun	milestone
so'nja	military
nun'nun'	milk
apki	million
akunda	mind
akun'nda	mindset
miliɛ	mine
be wla be wun nu	mingle
san'gan nu	mingle
kan	minor
miniti	minute
dɔ	minutes
miniti	minutes
like n'ga iyolɛ ti kekle	miracle
nian'nu	mirror
bue kaka	miscellaneous
si n'gwlɛlɛ	mischievous
yo nin'gue tɛ	mischievous
yalɛ	miserable
yalɛ	misery
ɲinmin i	miss
n'wlã do wɔ	miss you
m'li li	missing
juman n'ga be fa man wɔ	mission
yan'sue	mist
a fɔn	mistake
Mizo	Mizo
n'ga nanti	mobile
sri	mock
i wafa	model
blɛ blɛ	moderate
issienlin like	modern
eyi jɔman	modest
dua	moist
n'duntre	moisture
fien	mold
kpakpato	mole
man'mi	mom
dɔ vie	moment
kissie	monday
sika	money
nin'gue klefuɛ	monitor
n'do	monkey
nuan	month
wawɛ	mood
anwlin	mood
n'ga ti a like fi	moody
n'ga kaki nin'dɛ	moody
an'glo ba	moon
akun'nda	moral
ekun	more
kaka	more
eni	moreover
ekun	moreover
n'glɛmu	morning
garanti	mortgage
sua mu	mortgage
dɔ wun	most
kaka lika	mostly
ni	mother
man'mi	mother
be to blin	motion
jassolɛ	motivation
kpɔlɛ	mountain
gbekle	mouse
nuan	mouth
tu abo	move
kɔ	move
keje lɛ	movement
filmi	movie
bian	mrs
kaka	much
son'li	much
faduawa	mud
pɔtɔpɔtɔ	mud
kpon'gbo	mug
pleti	mug
wu'mien	muscle
sua n'ga be sie la nin'gue me lɔ	museum
n'dre	mushroom
jue	music
eyokɛ	must
kaki	mute
ayo be yo ɔ vie	mutual
mi	my
Mi niãn	My dear
Mi sran kpa	My dear
n'javuɛ	my friend
Mi n'zue su ale jue ble ma yi i	My hovercraft is full of eels
sran n'ga n'klo i	my love
mi duman yɛlɛ	my name is
be flɛmi kɛ	my name is
eyo mi fɛ	my pleasure
n'bɔbɔ	myself
n'ga be sia nu	mysterious
n'ga be siɛ i	mystery
like n'ga be siman nu pka	myth
sabu	nail
e si man	naive
dun'man	name
yijolɛ	narrative
kanhan	narrow
kunnu vi	nasty
wafa assiɛ n'su	national
wɔ akpasua	nationality
be wu yi lɛ	native
nianmien nin'gue	natural
blo	nature
ijre ni waka mu	nature
fiɛ	nausea
iwu'n	near
mantan i	near
i wun lɛ	nearby
koko	nearly
sran sun'nzu fuɛ	neat
n'ga sran etissu kɛ eyo	necessary
kɔmi	neck
be kɔmi nu gnãn	necklace
n'ga n'lɛmin i	need
tiã pka	negative
nan fɛ i pka	neglect
gua dilɛ	negotiate
inu n'dɛ kanlɛ	negotiate
be n'ga be tran ɔ sua wun'	neighbor
be n'ga yeni be ye tran	neighborhood
nan be n'nion nion	neither
niaan bla anzɛ niaan yassua i wa	nephew
n'ga si ngwlɛlɛ	nerd
faaya nin'dɛ	nervous
n'nin sua	nest
gnan'man	net
rezo i	network
n'ga yo man like fi	neutral
de	never
nan jrin i de	never give up
nan tɛ su	never mind
nan tɛ su	nevermind
kɔ kun	nevertheless
uflɛ	new
n'dɛmu	news
issi liɛ	next
iwun	next to
klanhan	nice
ɔ wu'nlɛ n'ga n'wun wɔ e yo n'fɛ	nice to meet you
n'nian wa	niece
kuɛ guɛ	night
laliɛ tɛ	nightmare
n'gwlan	nine
blu ni n'gwlan	nineteen
abla n'gwlan	ninety
Tchɛtchɛ	No
n'dɛnuman lɛ	no problem
kplinman su	no way
sran fi	nobody
ndɛ’n truli	noise
yijɔlɛ kaka	noisy
vie fi	none
like fi	none
midi	noon
tʃɛ tʃɛ	nope
ɛ ɛ	nope
ekun	nor
n'ga ti issu	normal
i n'glo lika	north
bue	nose
yin kpin lã su	nostalgic
nan	not
n'in i n'gba	not at all
e ti a tɛ	not bad
Nan itʃra	Not now
nan ka	not yet
klɛlɛ	note
n'tili	noted
like fi	nothing
nian su	notice
nian i n'zɔliɛ	noticed
duman	noun
duman mu	nouns
fluwa	novel
novembri	november
itchra	now
issien	nowadays
woya woya like mu	nuisance
like fi	null
yo non'ni	numb
inuan	number
dɔtrɔ bla	nurse
n'ma	nut
waka n'ma	nutmeg
aliɛ dillɛ like	nutrition
n'da talɛ	oath
ke sran ti dan	obesity
ti sran nuan n'dɛssu	obey
like	object
n'ga ye sun'nzu su	objective
mmla	obligation
ble	obscure
niãnlɛ	observation
nian be	observe
afe iti	obsessed
n'ga be yin' osu	obsession
n'ga be di a su kun	obsolete
nin'gue kekle	obstacle
gnin i	obtain
ɲin i	obtained
eti nanwlɛ	obvious
tissu kpa	obviously
le vie	occasionally
tʃin vie'm	occasionally
djuman	occupation
like n'ga be yo	occupation
eyo like	occupied
n'gassi'n li	occur
n'ga sin li	occurred
n'ga sin	occurs
je n'zue	ocean
oktobri	october
eti ya issu	odd
saka saka	odds
i	of
etissu	of course
nuan wa	off
wutre di lɛ	offensive
fa man	offer
juman diwlɛ sua	office
