kadikit	a little
matagas	hard
garu bako	hardly
bakong kadalasan	hardly ever
danyos	harm
danyusan	harm
nakakaraot	harmful
pagkakasundo	harmony
malupit	harsh
ani	harvest
igwa	has
uyam	hate
igwa	have
magkaigwa nin marhay na aldaw	have a good day
magkaigwa nin marhay na aldaw	have a nice day
magpamahaw na	have breakfast
mag-ogma	have fun
nagkakan ka na	have you eaten
igwa	having
peligro	hazard
manipis na panganuron	haze
siya	he
igwa siya	he has
siya	he is
payo	head
kulog payo	headache
bulungon	heal
nabubulong	healing
salud	health
marhay an salud	healthy
dangog	hear
nadangog	heard
puso	heart
magpainit	heat
init	heat
langit	heaven
magabat	heavy
dipisil	hectic
langkaw	height
tagapagmana	heir
kinaputan	held
imperno	hell
hello kumusta ka	hello how are you
kumusta	hello how are you doing
helmet	helmet
tabang	help
matinabang	helpful
kaya	hence
siya	her
kawan	herd
digdi	here
minana	heritage
nagduduwa-duwa	hesitate
Uy	Hey
kumusta ka na	hi how are you
natatago	hidden
magtago	hide
herarkiya	hierarchy
halangkaw	high
sakat	hike
pagtukad	hiking
makangirit	hilarious
bulod	hill
siya	him
ideya	hint
piad	hip
piad	hips
arkila	hire
nag-aako	hiring
saiyang	his
kasaysayan	history
tamaan	hit
Umm	Hmm
libangan	hobby
kaputan	hold
maghalat	hold on
luho	hole
buwang	hollow
harong	home
aisgnasyon	homework
onesto	honest
may pagka-onesto	honestly
Honey	Honey
Dugos	Honey
onra	honor
talukbong	hood
kawit	hook
lukso	hop
nag-aasa	hope
pag-asa	hope
sana	hopefully
mayong pag-asa	hopeless
pahigda	horizontal
busina	horn
sungay	horn
nkakatakot	horrible
makatakot	horror
kabayo	horse
ospital	hospital
marhay na pag-ako	hospitality
palaban	hostile
mainit	hot
hotel	hotel
oras	hour
mga oras	hours
harong	house
pamilya	household
pano	how
ika	how about you
kumusta ka	how are you
kumusta ka	how are you doing
kumusta ka ngonyan	how are you doing today
kumusta ka ngonyan	how are you today
kumusta ka na	how do you do
pano an	how is
pira	how many
gurano	how much
gurano kaparate	how often
pirang taon kana	how old are you
kumusta an aldaw mo	how was your day
Kumusta ang banggi mo	how was your night
minsan siring	however
agom	hubby
kugos	hug
kuguson	hug
dakulaon	huge
tawo	human
mapakumbaba	humble
mahalumigmig	humid
kahalumigmigan	humidity
gatos	hundred
gutom	hungry
mang-ayam	hunt
bagyo	hurricane
dali dalian	hurry
dalian mo	hurry up
nakolgan	hurt
agom na lalaki	husband
magdalidali	hustle
paghidali	hustle
kubo	hut
pangangataman sa hawak	hygiene
Ako	I
Ako	I am
Marhay ako	I am fine
Kaya ko	I can
Dai ko kaya	I can't
Iyo	I do
Dai ko aram	I do not know
Dai ko maintindihan	I do not understand
Dai ko	I don't
Dai ko aram	I don't know
dai ko maintindihan	I don't understand
Dai ko naiintindihan an gusto mong sabihon	I don't understand what you mean
Dai taka maintindihan	I don't understand you
Dai ko aram	I don’t know
Dai ko maintindihan	I don’t understand
hula ko	i guess
Nagkaigwa ako	I had
Igwa ako	I have
Ako nagin	I have been
Nag-aasa ako	I hope so
Aram ko	I know
Gusto ko	I like
Gusto ta ka	I like you
Gusto ko	I love
Namumutan ko an sakong manoy	I love my big brother
Namumutan ko an sakong manay	I love my big sister
Namumutan ko an sakong ama	I love my father
Namumutan ko an sakong sadit na tugang na lalaki	I love my little brother
Namumutan ko an sakong sadit na tugang na babaye	I love my little sister
Namumutan ko an sakong ina	I love my mother
namumutan ta ka	I love you
Namumutan ta kang marhay	I love you so much
Namumutan ta ka man	I love you too
An buot sabihon	I mean
Nahiling ko	I see
iniisip ko	I think
Naintindihan ko	I understand
Gusto ko	I want
Gusto ko ikang mahiling	I want to see you
Gusto ta ka	I want you
Kaidto ako	I was
Gigibuhon ko	I will
Ako magigin	I would be
Ako	I'm
marhay ako	I'm fine
Marhay ako	I'm good
Yaon ako	I'm here
Naghahagad ako nin kapatawadan	I'm sorry
yelo	ice
sorbetes	ice cream
ideya	idea
perpekto	ideal
magkapareho	identical
midbidon	identify
midbidan	identity
patal	idiot
mayong gibo	idle
kun	if
pabayaan	ignore
may helang	ill
ilegal	illegal
kahilangan	illness
imahen	image
imahenar	imagine
dali-dali	immediate
tulos tulos	immediately
dakulaon	immense
mayong pasensya	impatient
isagibo	implement
mahalaga	important
magpataw	impose
imposible	impossible
mapabilib	impress
impresyon	impression
nakakadagka	impressive
uswag	improve
pag-uswag	improvement
sa laog	in
sa kadagdagan	in addition
Sa totoo	In fact
sa atubangan kan	in front of
tangani na	in order to
bakong tama	inappropriate
insentibo	incentive
insidente	incident
kaibanan	include
kaibanan an	including
kita	income
bakong kombeniente	inconvenience
pagtaas	increase
nagtataas	increase
nadagdagan	increased
dai kapanipaniwala	incredible
talaga	indeed
independiente	independent
India	India
ipahiling	indicate
katutubo	indigenous
indibiduwal	individual
industriya	industry
dai malilikayan	inevitable
aki na sadit	infant
impeksiyon	infection
mayong katapusan	infinity
paghubag	inflammation
pagtaas nin mga barakalon	inflation
mang-impluwensiya	influence
impluwensiya	influence
magsabi	inform
impormasyon	information
ingrediente	ingredients
mana	inheritance
patienot	initial
pagkukusa	initiative
nadanyusan	injured
lugad	injury
inosente	innocent
inobasyon	innovation
hapot	inquiry
bua	insane
insekto	insect
daing kasiguruhan	insecure
isaliot	insert
sa laog	inside
kaunawaan	insight
iinsister	insist
inspirasyon	inspiration
magtao nin inspirasyon	inspire
instilar	install
pagkakataon	instance
madalian	instant
imbes	instead
kesa kan	instead of
mga intruksiyon	instructions
instrumento	instrument
insulto	insult
seguro	insurance
mayong kulang	intact
integridad	integrity
intelektwal	intellectual
katalian	intelligence
intelehente	intelligent
tuyo	intend
tinuyo	intended
grabe	intense
intensiyon	intention
nakiestoryahn	interact
interaksiyon	interaction
interes	interest
interesado	interested
enteresante	interesting
papunduhon	interfere
intermediya	intermediate
sa laog	internal
international	international
interpretar	interpret
tagapag-interpretar	interpreter
makisabad	interrupt
interbiyo	interview
harani an buot	intimate
sa	into
ipamidbid	introduce
introduksiyon	introduction
intuwisyon	intuition
mayong bisa	invalid
imbento	invent
imbentaryo	inventory
mamuhunan	invest
imbestigar	investigate
imbitasyon	invitation
imbitahan	invite
kabale	involve
iiba	involved
plantsa	iron
plantsahon	iron
isla	island
iseparar	isolated
isyu	issue
nagtao	issue
mga problema	issues
ini	it
iyan an	it is
iyo idto	it was
Ini an	it's
ok lang	it's ok
okay lang	It's okay
aytem	item
mga aytem	items
an	its
Ako	I’m
presohan	jail
Enero	January
garapon	jar
panga	jaw
selos	jealous
makauyam na tawo	jerk
alahas	jewelry
trabaho	job
magdalagan	jogging
bale	join
dugtongan	joint
karaw	joke
periyodista	journalist
pagbyahe	journey
kaogmahan	joy
hukom	judge
hukoman	judge
hulyo	july
lukso	jump
hunyo	june
basura	junk
rasonable	just
lang	just
gibuhon mo sana	just do it
hustisya	justice
patunayan	justify
alisto	keen
taguon	keep
ipagpadagos mo yan	keep it up
sinaray	kept
kasirula	kettle
liyabe	key
sipa	kick
aki	kid
nagkakaraw	kidding
bato	kidney
mga aki	kids
gadan	kill
mabuot	kind
kabuotan	kind
medyo	kinda
paki-	kindly
kabuotan	kindness
hade	king
hadok	kiss
kusina	kitchen
buradol	kite
kuting	kitten
tuhod	knee
aram na	knew
kutsilyo	knife
kabalyero	knight
aram	know
kaaraman	knowledge
aram na	known
matatak	label
tatak	label
gibo	labor
gibo	labour
kulang	lack
hagdan	ladder
daraga	lady
linatag	laid
danaw	lake
karnero	lamb
pilay	lame
ilawan	lamp
daga	land
nag-abot	land
tanawon	landscape
lenggwahe	language
kulkol	lap
dakula	large
huri	last
ultimo pero importante	last but not least
apelyedo	last name
huri	late
kasuarin lang	lately
atyan	later
pinakahuri	latest
paghuri	latter
ngirit	laugh
nagngingirit	laughing
ngirit	laughter
ilunsad	launch
labahan	laundry
ley	law
natad	lawn
abogado	lawyer
ilaag	lay
patong	layer
ayos	layout
hugakon	lazy
mangenot	lead
lider	leader
dahon	leaf
nagtatakdo	leak
sandig	lean
lukso	leap
nanudan	learn
pag-aadal	learning
arkila	lease
pinakadikit	least
anit	leather
maghale	leave
magbakasyon	leave
mga dahon	leaves
pangenotan	led
wala	left
tabay	leg
pamana	legacy
legal	legal
uroestorya	legend
tunay	legit
oras na mayong gibo	leisure
suble	lend
laba	length
dikit	less
leksiyon	lesson
tugutan	let
surat	letter
paghiro	leverage
paninimbagan	liability
librarya	library
dilaan	lick
utik	lie
mag-utik	lie
mga utik	lies
buhay	life
elebeytor	lift
iangat	lift
ilawan	light
maliwanag	light
liwanag	light
kikilat	lightning
gusto	like
siring kan	like
siring	likely
siring man	likewise
linya	line
leon	lion
likido	liquid
listahan	list
magdangog	listen
nagdadangog	listening
literal	literally
literatura	literature
nagtapok	litter
sadit	little
buhay	live
mabuhay	live
atay	liver
nakaistar	lives
mga buhay	lives
nabubuhay	living
salas	living room
butiki	lizard
karga	load
tinapay	loaf
utang	loan
lokal	local
lokasyon	location
kandado	lock
kahoy	log
mamundo	lonely
halaba	long
haloy na kitang dai nagkahilingan	long time no see
paghiling	look
hiling	look
palibot	loop
turosan	loose
turos	loose
diyos	lord
nawaran	lose
kawaran	loss
nawara	lost
lote	lot
makusog	loud
pahingaloan	lounge
pagkamoot	love
namumuot	love
namumutan ta ka	love you
magayon	lovely
hababa	low
mas hababa	lower
maimbod	loyal
pagkamaimbod	loyalty
swerte	luck
maswerte	lucky
maleta	luggage
bukol	lump
pangudto	lunch
baga	lungs
luho	luxury
pag-utik	lying
makinarya	machine
anggot	mad
madam	madam
ginibo	made
magasin	magazine
nakapagayon	magnificent
katabang	maid
pangenot	main
mantenir	maintain
mantenir	maintenance
komandante	major
pangenot	major
mayoriya	majority
gibo	make
magkasundo	make up
lalaki	male
lalaki	man
manehar	manage
manehamento	management
namamahala	manager
kinakaipuhan	mandatory
magpahiling	manifest
manipular	manipulate
paagi	manner
manwal	manual
dakol	many
dakulon na maogmang pagbabalik sa mga aldaw	many many happy returns of the day
martsa	march
margin	margin
merkado	market
kasal	marriage
may agom	married
maskara	mask
dakol	mass
dakula asin magabat	massive
kagurangnan	master
labanan	match
maglaban	match
agom	mate
materyal	material
matimatika	math
bagay	matter
mahalaga	matter
pagkamaygurang	maturity
mayo	may
pwede daw	may
tibaad	maybe
ako	me
ako man	me too
pagkaon	meal
buot sabihon	mean
maraot	mean
buot sabihon	meaning
paagi	means
pakahulugan	meant
samantala	meanwhile
sukulon	measure
nagsukol	measures
karne	meat
medikal	medical
bulong	medicine
hararom na pag-iisip	meditation
tagbo	meet
pagtiripon	meeting
natunaw	melt
mga rumdumon	memories
memorya	memory
mental	mental
binanggit	mention
nabaggit	mentioned
tagapagtokdo	mentor
negosyante	merchant
herak	mercy
lang	merely
makalat	mess
mensahe	message
makalat	messy
metal	metal
paagi	method
mga kino	mice
tahaw	middle
matanga	midnight
posible	might
malumanay	mild
milyahe	milestone
militar	military
gatas	milk
milyon	million
isaisip	mind
isip	mind
kaisipan	mindset
sako	mine
minahan	mine
makihalubilo	mingle
minor	minor
minuto	minute
sadit	minute
mga minuto	minutes
milagro	miracle
salming	mirror
makaraw	mischievous
miserable	miserable
pagsakit	misery
nawawara	missing
misyon	mission
hamog	mist
sala	mistake
nahihiro	mobile
pag-ulog-olog	mock
paluyahon	moderate
katamtaman	moderate
moderno	modern
disente	modest
mamasa-masa	moist
halumigmig	moisture
alamag	mold
pormahon	mold
arong	mole
ina	mom
momento	moment
lunes	monday
kwarta	money
subaybay	monitor
ukay	monkey
bulan	month
pagmate	mood
sumpungin	moody
bulan	moon
moral	moral
dakol	more
liban pa kaiyan	moreover
aga	morning
sangla	mortgage
pinaka	most
kadaklan	mostly
ina	mother
hiro	motion
motibasyon	motivation
bulod	mountain
kino	mouse
ngimot	mouth
hiro	move
hiro	movement
pelikula	movie
misis	mrs
dakol	much
laboy	mud
tasa	mug
laman	muscle
museo	museum
kabute	mushroom
musika	music
kaipuhan	must
dapat	must
pula	mute
pareho an pagmate	mutual
sako	my
Sakong namumutan	My dear
sakong katood	my friend
Pano nin kasile an hovercraft ko	My hovercraft is full of eels
sakong namumutan	my love
an pangaran ko	my name is
ikinakaogma ko	my pleasure
saridi	myself
misteryoso	mysterious
misteryo	mystery
gibo-gibo	myth
kuko	nail
mayong aram	naive
pangaran	name
estorya	narrative
hayakpit	narrow
bastos	nasty
nasyunal	national
nasyu	nationality
katutubo	native
natural	natural
kapalibutan	nature
pagkalula	nausea
harani	near
harani	nearby
harani na	nearly
malinig	neat
kaipuhan	necessary
liog	neck
kulintas	necklace
pangangaipo	need
kaipuhan	need
negatibo	negative
pinabayaan	neglect
makipagkasundo	negotiate
kataed	neighbor
pagtaraed	neighborhood
arinman bako	neither
pamangkin na lalaki	nephew
nerbyos	nervous
salagan	nest
net	net
dai lamang	never
dai magsuko	never give up
dai na lugod	never mind
dai na lang	nevermind
baga man	nevertheless
bago	new
bareta	news
sunod	next
kataed kan	next to
marhay	nice
naoogma akong mabisto ka	nice to meet you
pamangkin na babaye	niece
banggi	night
bangungot	nightmare
siyam	nine
dise nwebe	nineteen
nubenta	ninety
Dai	No
mayong problema	no problem
mayong dalan	no way
taong mayong kwenta	nobody
ribok	noise
maribok	noisy
mayo	none
udto	noon
bako	nope
ni dai	nor
normal	normal
norte	north
dungo	nose
bako	not
dai talaga	not at all
bakong maraot	not bad
Bako ngonyan	Not now
dai pa	not yet
tandaan	note
tinandaan	noted
mayo	nothing
abiso	notice
nareparo	noticed
pangngaran	noun
pangaran	nouns
nobela	novel
nobyembre	november
ngonyan	now
ngonyan na mag aldaw	nowadays
istorbo	nuisance
mayong saysay	null
mayong pagmate	numb
numero	number
nars	nurse
nutrisyon	nutrition
sumpa	oath
sobrang katabaan	obesity
pagsunod	obey
bagay	object
katuyuhan	objective
obligasyon	obligation
nakatago	obscure
obserbasyon	observation
obserbar	observe
grabeng pagkagusto	obsessed
pagkagusto nin marhay	obsession
dai na ginagamit	obsolete
harang	obstacle
kua	obtain
nakua	obtained
hiling hiling	obvious
hiling hiling	obviously
paminsan-minsan	occasionally
trabaho	occupation
inukupar	occupied
nangyari	occur
nangyari	occurred
nangyari	occurs
kadagatan	ocean
oktubre	october
kakaiba	odd
kaulangan	odds
nin	of
syempre	of course
punduhon	off
nakakaraot buot	offensive
alok	offer
mag-alok	offer
opisina	office
opisyal	official
pirme	often
Ah	Oh
ow talaga	oh really
lana	oil
ok	ok
ok dear	ok dear
ok sakong namumutan	ok my love
okay	okay
okay baby	okay baby
okay honey	okay honey
okay sakong namumutan	okay my love
gurang	old
sa ibabaw	on
sarong beses	once
saro	one
bakong igo an sarong lenggwahe	one language is never enough
sibulyas	onion
iyo sana	only
bukas	open
operasyon	operation
opinyon	opinion
mga oportunidad	opportunities
oportunidad	opportunity
kabaliktaran	opposite
optimistiko	optimistic
opsyon	option
opsyunal	optional
o	or
kahel	orange
isugo	order
order	order
ordinaryo	ordinary
organisasyon	organization
oryentasyon	orientation
kapinunan	origin
orihinal	original
ilo	orphan
iba	other
sa ibang paagi	otherwise
kaipuhan	ought
sato	our
An samuyang misyon: tanganing tawan nin dalan an gabos, maski saen na maintindihan an kinaban asin ipahayag an saindang sadiri gamit an mga lenggwahe.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
An samuyang misyon: iyo an ayuson an impormasyon sa kinaban asin gibuhon ining na-aaccess asin kapaki-pakinabang sa gabos.	Our mission: to organize the world's information and make it universally accessible and useful.
luwas	out
resulta	outcome
bado	outfit
paluwas	outgoing
saksakan	outlet
balangkas	outline
luwas	outside
lataw	outstanding
pugon	oven
sa ibabaw	over
duman	over there
kabilugan	overall
napangganahan	overcome
sobrang pag-iisip	overthinking
nasobrahan	overwhelmed
napakadakula	overwhelming
utang	owe
kwago	owl
pagsasadiri	own
sadiri	own
tagsadiri	owner
liksi nin lakaw	pace
pakete	pack
ikahon	pack
pakete	package
binayadan	paid
kulog	pain
pinta	paint
pagpinta	painting
padis	pair
malungsi	pale
palad	palm
kawali	pan
pandemya	pandemic
taranta	panic
pantalon	pants
papel	paper
paraiso	paradise
pakiulit	pardon
mga magurang	parents
parke	park
loro	parrot
parte	part
magpartisipar	participate
partikular	particular
patikular	particularly
kapareha	partner
pagtiripon	party
ipasa	pass
sa susunod na lng	pass
agihan	passage
nakapasar	passed
madubdob	passionate
nakaagi	past
tapal	patch
dalan	path
kaherak-herak	pathetic
pasensya	patience
mapasensya	patient
pasyente	patient
pundo	pause
palitada	pavement
magbayad	pay
bayad	payment
katoninongan	peace
matoninong	peaceful
taas	peak
pear	pear
gisantes	peas
kakaiba	peculiar
ihi	pee
nag-iihi	pee
ubakan	peel
kabarkada	peer
mga pag-iriba	peers
pansurat	pen
lapis	pencil
dai pa tapos	pending
mga tawo	people
paminta	pepper
pakaintindi	perceive
pag-iisip	perception
perpekto	perfect
magsagibo	perform
pagsagibo	performance
siguro	perhaps
peryudo	period
tuldok	period
panahon	period
permanente	permanent
permiso	permission
permiso	permit
tiyaga	perseverance
mapirit	persistent
tawo	person
personal	personal
personalidad	personality
perspektibo	perspective
dagkahon	persuade
ataman na hayop	pet
hapulason	pet
parte	phase
tanda	phenomenon
pilosopiya	philosophy
telepono	phone
litrato	photo
prase	phrase
pisikal	physical
purot	pick
kuanon	pick up
litrato	picture
pidaso	piece
mga pidaso	pieces
orig	pig
salampati	pigeon
pagpatung-patungon	pile
ulunan	pillow
piloto	pilot
arpilier	pin
idukot	pin
pinya	pineapple
rosa	pink
kalot	pit
kalidad nin tunog	pitch
itindog	pitch
herak	pity
ilaag	place
lugar	place
mga lugar	places
linaag	places
salot	plague
simple	plain
plano	plan
eroplano	plane
magtanom	plant
mga pananom	plants
pagtanom	plants
plato	plate
pagkawat	play
magkawat	play
nagkakawat	playing
magayon	pleasant
paki	please
makisuyo	please
naogma	pleased
kaogmahan	pleasure
pangako	pledge
dakolon	plenty
estorya	plot
saksakan	plug
seregwelas	plum
tubero	plumber
tula	poem
mga tula	poetry
itokdo	point
tuldok	point
hilo	poison
pulis	police
polisiya	policy
magalang	polite
polusyon	pollution
danaw	pond
karigusan	pool
pag ibahon	pool
udo	poop
pobre	poor
naglataw	pop
popular	popular
populasyon	population
karne nin orig	pork
lanot	porridge
pier	port
posisyon	position
positibo	positive
igwa	possess
pagsadiri	possession
mapag-angkin	possessive
posible	possible
magpaskil	post
poste	post
napundo	postpone
patatas	potato
potensiyal	potential
pukpok	pound
kapobrehan	poverty
kuryente	power
kapangyarihan	power
makapangyarihan	powerful
praktikal	practical
sanayon	practice
kinasanayan	practice
omaw	praise
pamibi	pray
mahalaga	precious
eksakto	precise
eksakto	precisely
hula	predict
mas gusto	prefer
preperensiya	preference
bados	pregnant
baong marhay na opinyon	prejudice
palibot	premises
preparasyon	preparation
preparar	prepare
preparado	prepared
presensiya	presence
presente	present
regalo	present
presentasyon	presentation
preserbar	preserve
presidente	president
pinindot	press
pindot	press
pamumuwersa	pressure
magpanggap	pretend
magayon	pretty
medyo	pretty
pugulan	prevent
kan nakaagi	previous
dakop	prey
presyo	price
mapalangkaw	pride
padi	priest
pangenot	primary
pangenot	prime
prinsesa	princess
prinsipal	principal
bago pa man	prior
prayuridad	priority
presuhan	prison
pagkapribado	privacy
pribado	private
pribelihiyo	privilege
premyo	prize
baad	probably
problema	problem
proseso	procedure
magpadagos	proceed
proseso	process
iproseso	process
magbunga	produce
produkto	product
produksiyon	production
propesyon	profession
propesyunal	professional
tubo	profit
hararom	profound
uswag	progress
pag-uswag	progress
proyekto	project
prominente	prominent
pangako	promise
ipangako	promise
ilangkaw	promote
promosyon	promotion
madali	prompt
pirme	prone
pagsabi	pronunciation
patunay	proof
angay	proper
sa tama	properly
mga pagsadiri	properties
pagsadiri	property
suhestiyon	proposal
linalaoman	prospect
prosperidad	prosperity
mauswag	prosperous
protekta	protect
orgulyo	proud
patunayan	prove
magtao	provide
itinao	provided
probinsiya	province
probisyon	provision
pagdadaraga	puberty
publiko	public
butungon	pull
amay	punctual
estudyante	pupil
bakal	purchase
puro	pure
lila	purple
katuyuhan	purpose
pitaka	purse
magpadagos	pursue
mga inaabot	pursuit
ibusol	push
laag	put
kwalipikasyon	qualification
kwalidad	quality
kalidad	quality
kadakulan	quantity
seneparar	quarantine
iwal	quarrel
nag-iiwal	quarrel
unquarto	quarter
reyna	queen
nalilibong	queer
kahapotan	query
hapot	question
ipila	queue
pila	queue
madali	quick
dali-dali	quickly
silensyo	quiet
kubrekama	quilt
magpundo	quit
lubos	quite
halos	quite
iksamen	quiz
kotasyon	quotation
banggit	quote
binanggit	quote
kasabihan	quotes
kuneho	rabbit
lahi	race
anggot	rage
uran	rain
itaas	raise
umento	raise
itaas	raised
nagdalagan	ran
maski arin sana	random
madali	rapid
makaskas	rapidly
bihira	rare
bihira	rarely
kino	rat
kaysa	rather
proporsyon	ratio
maheherakon	rational
hilaw	raw
abot	reach
naabot	reached
reaksiyon	reaction
basa	read
nagbabasa	reading
handa	ready
tunay	real
realidad	reality
reyalisar	realize
reyalisar	realized
talaga	really
likod	rear
rason	reason
rasonable	reasonable
isipon giraray	recall
resibo	receipt
nakaresibe	receive
nag-ako	received
ngonyan pa sana	recent
kan suarin pa sana	recently
resepsyon	reception
daing ingat	reckless
pagkamidbid	recognition
mamibdidan	recognize
rinekomenda	recommend
irenerekomenda	recommended
listahan	record
rekord	record
mabawi	recover
pagrahay	recovery
rektanggulo	rectangle
pula	red
tubos	redeem
pagtubos	redemption
bawasan	reduce
pauro-utro	redundant
itukdo	refer
reperensiya	reference
ipahiling	reflect
aninag	reflection
magpugol	refrain
balik bayad	refund
habuan	refuse
sinayumahan	refused
konsideraron	regard
tungkol sa	regarding
manungod	regards
rehiyon	region
rehistro	register
nanghihinayang	regret
regular	regular
regular	regularly
sikwal	reject
konektar	relate
konektado	related
relasyon	relationship
paryentes	relative
may koneksyon sa	relative
partedaryo	relatives
pahingalo	relax
pagtao	release
itinao	release
pinalaya	released
may koneksiyon	relevant
maaasahan	reliable
kaginhawahan	relief
maginhawahan	relieve
naginhawahan	relieved
relihiyon	religion
relihiyoso	religious
nagduduwa duwa	reluctant
maglaom	rely
magdanay	remain
nawawalat	remaining
karepareparo	remarkable
solusyon	remedy
rumdom	remember
parumdumon	remind
pagirumdom	reminder
gamit pang kontrol nin TV	remote
harayo	remote
haleon	remove
magtao	render
renta	rent
irahayon	repair
uliton	repeat
salidahan	replace
simbagon	reply
simbag	reply
ipaisi	report
saysay	report
representar	represent
repustayon	reputation
kahagadan	request
maghagad	request
kahagadan	require
kaipuhan	required
paliligtas	rescue
pagsisiyasat	research
kapandok	resemble
raot nin buot	resentment
reserbasyon	reservation
reserba	reserve
residente	resident
naghale sa trabaho	resign
katatagan	resilience
matatag	resilient
labanan	resist
paglaban	resistance
resolusyon	resolution
masolusyunan	resolve
karigusan	resort
pinagkukuanan	resources
irespeto	respect
respeto	respect
simbag	respond
simbag	response
responsabilidad	responsibility
responsable	responsible
pahingalo	rest
nagpahingalo na	rest in peace
restawran	restaurant
ibalik	restore
higpitan	restrict
resulta	result
mga resulta	results
magpadagos	resume
tingi	retail
padanayon	retain
padanayon	retention
dai na nagtatrabaho	retired
suko	retreat
kinua	retrieve
ibalik	return
ibunyag	reveal
sabihon	revealed
paghihiganti	revenge
kita	revenue
baliktadon	reverse
ibahon	revise
rebisyon	revision
rebolusyon	revolution
premyo	reward
ritmo	rhythm
gusok	rib
maluto	rice
mayaman	rich
haleon	rid
sakay	ride
mag-sakay	ride
makangirit	ridiculous
too	right
tama	right
ngonyan	right now
matibay	rigid
singsing	ring
balnawan	rinse
iriwal	riot
gision	rip
gisi	rip
hinog	ripe
bumuhat	rise
pagbuhat	rise
isapeligro	risk
peligro	risk
ribal	rival
salog	river
tinampo	road
maglandag	roast
matipuno	robust
mahiwas	rock
gagampanan	role
ligid	roll
bubong	roof
kwarto	room
gamot	root
lubid	rope
lapa	rotten
garapgasapon	rough
halos	roughly
bilog	round
ruta	route
rutina	routine
linya	row
kuskos	rub
goma	rubber
basura	rubbish
bastos	rude
trapo	rug
destroso	ruin
regulasyon	rule
ruler	ruler
regulasyon	rules
magdalagan	run
nagdadalagan	running
maghidali	rush
paghidali	rush
sako	sack
banal	sacred
sakripisyo	sacrifice
ligtas	safe
ligtas na pagbyahe	safe flight
kaligtasan	safety
pantas	sage
sinabi	said
layag	sail
paglalayag	sailing
kapakanan	sake
sweldo	salary
pagpabakal	sale
asin	salt
pareho	same
Pareho digdi	Same here
sampol	sample
baybay	sand
sarkastiko	sarcastic
tukaw	sat
satispaksiyon	satisfaction
kontento	satisfied
kontento	satisfy
makakakontento	satisfying
Sabado	Saturday
tsoriso	sausage
maringis	savage
magtipon	save
nahiling	saw
sabi	say
timbangan	scale
peklat	scar
kakadikit	scarce
takot	scared
bandana	scarf
makatakot	scary
nagkalat	scattered
senaryo	scene
tanawon	scenery
parong	scent
iskedyul	schedule
iiskedyul	schedule
eskwelahan	school
siyensiya	science
siyentista	scientist
siyentista	scientists
gunting	scissors
anggotan	scold
sakop	scope
iskor	score
pinipidaso	scrap
kagaw	scratch
gasgas	scratch
kurahaw	scream
iskrip	script
dagat	sea
tatak	seal
maghanap	search
kapanahunan	season
tukawan	seat
ikaduwa	second
sekreto	secret
seksiyon	section
ligtas	secure
siguridad	security
hiling	see
maghilingan kita	see you
maghilingan kita atyan	see you later
maghilingan kita sa susunod	see you soon
maghilingan kita sa aga	see you tomorrow
pisog	seed
hanap	seek
gari	seem
gari	seems
nahiling	seen
kinua	seize
atake	seizure
bihira	seldom
magpili	select
sadiri	self
nagbubulong nin sadiri	self healing
makasadiri	selfish
magpabakal	sell
padara	send
ipadara mo sakuya an saimong litrato	send me your picture
gurang	senior
pagmate	sense
matino	sensible
sensitibo	sensitive
ipinadasa	sent
pagkasabi	sentence
mga tataramon	sentences
separado	separate
Setyembre	september
pagkakasunod-sunod	sequence
sunod-sunod	series
seryoso	serious
sa seryoso	seriously
serbi	serve
serbisyo	service
sesyon	session
ilaag	set
makakaibahan	set
mag tindog	set up
tagbo	setting
ayuson	settle
pito	seven
dise syete	seventeen
sitenta	seventy
nagkapira	several
malala	severe
tinahi	sew
lindong	shade
anino	shadow
lugoon	shake
dapat	shall
hababaw	shallow
kasusupgan	shame
porma	shape
parte	share
magtao	share
mapanas	sharp
siya	she
igwa siya nin	she has
siya	she is
nagrarakdag	shed
karnero	sheep
pidaso	sheet
estante	shelf
arikurong	shell
istaran	shelter
panangga	shield
sirang	shine
barko	ship
pagpapadara	shipping
bado	shirt
sapatos	shoes
badilon	shoot
tindahan	shop
mamakal	shopping
tampi nin dagat	shore
halipot	short
kakulangan	shortage
tira	shot
dapat	should
abaga	shoulder
kurahaw	shout
pasale	show
ipahiling	show
ipahiling mo sako	show me
pauranan	shower
hipon	shrimp
nagsadit	shrink
sarado	shut
dai na maggirong	shut up
supog	shy
tugang	sibling
mga tugang	siblings
may helang	sick
gilid	side
paghangos nin haramon	sigh
hiling	sight
pagturutanaw	sightseeing
senyales	sign
pirma	signature
mahalaga	significant
katoninongan	silence
silensyo	silent
luko-luko	silly
plata	silver
kapareho	similar
gago	simp
simple	simple
sabay-sabay	simultaneously
puon	since
sinsero	sincere
sinsero	sincerely
kanta	sing
parakanta	singer
mayong agom	single
naglubog	sink
lababo	sink
tugang na babaye	sister
hipag	sister in law
magtukaw	sit
lugar	site
sitwasyon	situation
anom	six
dise sais	sixteen
sisenta	sixty
sukol	size
kublit	skin
maniwang	skinny
laktaw	skip
palda	skirt
langit	sky
uripon	slave
turog	sleep
nagkakaturog	sleeping
pipirot	sleepy
manggas	sleeve
pidasuhon	slice
pidaso	slice
nadalinas	slide
bakong gayo	slightly
maniwang	slim
