Jun	a
tzexa tzala	exit
lemtz'il	expand
yol	expect
ayo´n	expected
ayo´nmaj	expected
ayon	expected
kub' tb'ajsan	expenses
wi´yal	expensive
ojtzq´b´il	experience
ojtz'q'il	expert
kub'	expired
tx'olb'al	explain
chik'b'l	explain
chik'b'al	explain
chik'b'al	explanation
yajil	exploit
qo kayen	explore
exk´ay	export
chik'il	expose
tyek'in	exposed
chik´il	exposure
tx'olb'al	express
chik'b'al	express
chik'b'il	express
yek´kye´xix sa´b´ix	expression
q´onxa	extend
yekin	extended
yoli'	extended
extension	extension
echil	extent
jumajx	external
ma k'ubaj	extinct
juntl	extra
toj chʼin yol	extract
nim tbʼanel	extraordinary
kuj	extreme
junti´j	extremely
witzj	eye
witz´j	eyes
chem	fabric
tbʼanelxix	fabulous
twitz	face
nya kwest	facilitate
q-facilidad	facilities
ma b´nchet	fact
b'a'nmaj	fact
nim toklen	factor
b'inchb'il	factory
b´inchaj	facts
ma Kim	fade
ma txi'	fade
ma tz´akj	fail
ma tzakj	failed
ma tzá qj	failure
xb unin nya kuj	faint
numj	faint
naqchaj	fair
junx	fairly
q´uqlalk´u´j	faith
wen	faithful
nya ax	fake
tz´aq	fall
chaj yol	FALSE
ploj	FALSE
taq´ux	FALSE
nimxix toklen	fame
jaxjal	familiar
najayal	familiar
jaxjal	family
najayal	family
q´aq´in	famine
jotx wutzqilte	famous
xjal taj qi´j	fan
witz´ik´ixim	fancy
chaq	far
mankasab´il	farewell
attoq nim awal	farm
ajkojol	farmer
n-qo ja ka´yen ti´j	fascinating
tbʼanel	fashion
ojqelx	fast
xb´ok	fat
xtob´	fat
chu´s	fat
nach	fatal
ja ma qoxe	fate
xnuq	father
tata	father
tat	father
siktel	fatigue
ma q´etzakj	fault
a mas qaj ti´j	favorite
xtalb´il	favour
mas ngane	favourite
xob´ajil	fear
chewil	fear
chi	fear
nim chib'j	feast
xiky'b'aj	feather
t-kayb´ajtz	feature
kyok ti´j	features
tkab´jaw	february
xtx'ujin	fed up
chjol	fee
k´achil	feed
k´a´chil	feed
yol	feedback
n'alte	feel
na'l	feeling
qamb'aj	feet
q'anab'aj	feet
ma k'u tz'aq'	fell
wuk´il	fellow
ma ku tnana	felt
ttxu	female
naq´aku	fence
b´a´n tz´alen	fertile
nintz q'ij	festival
jyol	fetch
kyeq´ kyaq	fever
ch´in	few
noq ch´inxix	few
ch'in	fewer
kyajlaj	fiance
k´ul	field
juntij lamidx	fierce
jwelaj	fifteen
ka´k´al laj	fifty
jya'tz	fight
la'jan k'axjel	fight
la'jan	fighting
t-kayb´ajtz	figure
jyol	figure out
k'u'l	file
nojsantzan	fill
ma tzq´et	filled
txumakib´	film
q´ux	filthy
tz´il	filthy
tuntzentzje	finally
pwaq	finance
pwaq	financial
ma knet	find
ma tze'el yal	find out
b´a´n	fine
tal qob´aj	finger
b´aj	finish
ma b'ent	finished
q'aq'	fire
tok	firm
tnejil	first
tnejel	first
tjil tb´i	first name
katz	fish
kyix	fish
naq´l	fit
naq´et	fit
naqle	fit
jwe´	five
b'inchalte	fix
junx	fixed
tsu't tnam	flag
tzaj	flash
chq´alaj	flat
chq´ajlaj	flat
tzkaj	flaw
tx'u'jwi	flaw
saq	flawless
oq´il	flee
ch´ib´aj	flesh
ma lipan	flew
paqtzul	flex
koxpil	flexible
kylipan twitz kyaʼj	flight
miltz´ul	flip
paq´tzull	flip
chunil	flirting
ma k´uj b´aj	flood
ma k´uj lob´j	flood
twi´tx´otx´	floor
ky´aj	flour
n-tza t-b´inchen tib´aj	flow
b´ech	flower
yolok toj twi	flu
a'	fluent
nya kuj	fluently
chab´a	fluffy
ta'l	fluid
lipal	fly
kxel kayet	focus
muj	fog
muj q´witz	foggy
q´aqmujil	foggy
paqtzul	fold
wukile	folks
lipeb'il	follow
ljonxa	follow up
juntl	following
niky´b´eb´il	food
xnak	fool
xkonk	fool
qejil	fool
mib'in	foolish
tx'u'j	foolish
qamab'aj	foot
q'anb'aj	foot
xpo´tzil	football
tu´n	for
te	for
techel	For example
jun kyxol	for instance
teya	for you
mya b´an	forbidden
ipumal	force
tzen tzule	forecast
twitz	forehead
mya te tzaló	foreign
tze´	forest
k´ul	forest
te jotx q´ij	forever
el naj	forget
najsimil	forget
najsal	forgive
ma tz'ik' tnal	forgot
tza'n tiene	form
b´a´n	formal
formal	former
b´a´namaj)	fortunately
tq'inimal	fortune
kab´k´al	forty
kab´k´al kab´	forty-two
twitz	forward
tbʼanel tten	foster
ma la'jan k'axjel	fought
ma knet	found
kab'.tlok'	foundation
kyaje	four
kyaj	four
kyajlaj	fourteen
chux	fox
kab´ale taq´e	fragile
tilbʼilal	frame
alkye tten	framework
laq´e tib´il	fraud
ttxu	freak
tz´pin	free
tzaqpin	freedom
qwak´sal	freeze
wak´sil	freeze
che´wsil	freeze
atl	frequency
ch´qalx	frequent
kukx	frequent
ch´qalx	frequently
kukx	frequently
xba´jin	fresh
joq'ij	friday
chewsb´il	fridge
quk´ila	friend
xb´oj	friend
xjal b´an yolen	friendly
quk´ila	friends
tamiw	friendship
x´ob´ajil	frightened
lab'il	frightening
xulma	frog
xal	frog
maxtz'u	from
plaj	front
tplaj	front
wak´sin	frozen
che´wsin	frozen
qwak´	frozen
lob´j	fruit
tzaj tbʼis	frustrated
gasolin	fuel
Fulfulde	Fulfulde
nojsantza	full
tzalb´ajil	fun
tachaxil	fun
tajb'en sqit	function
ka'yb'il	function
kib'il	function
iqin tnam	fundamental
muquʼn	funeral
tzalb´ajil	funny
txa ab´aj	fur
tz´umil	fur
tx'u'jin	furious
toj tja'	furniture
q´ontz	further
extzen	furthermore
tzul	future
kanb´il	gain
saqchal	game
netz´ b´e	gap
tja b'och	garage
tz´is	garbage
ja te b'ech	garden
anx	garlic
anjs	garlic
tjpel ja	gate
mojb'ab'il	gather
chmob´il	gathering
ch´uqil	gathering
echil	gauge
ma tzaj q'on	gave
jun tuerca	gear
xe´chil	gender
tqab´	gender
jotx	general
majx	generally
b'inchal	generate
toj ambʼil	generation
b´a´xjal	generous
twi´xim	genius
xe´chil	genre
tqab´	genre
tb´anilxjal	gentle
twutx té	genuine
kotx'il	gesture
kanetsil	get
xb´alamet	get dressed
q´on tija	get dressed
wektza	get up
qa tz'el b'a'na	get well soon
kanetsil	getting
ju'õ	ghost
Ma wile jun anmi´	ghosting
nintz'ku'	giant
o´yb´itz	gift
xanxiw	ginger
kuxin	girl
tukʼil	girlfriend
q´olte	give
oqb´il	give up
kolil	give up
ko´lil	give up
dado	given
tzalaj	glad
oquinil	glance
lemet	glass
tjomel witzb´aj	glasses
k'ayil	glimpse
nya we'n	gloomy
qoqb´il	glow
xtilin	glow up
xtilan	glow up
lak´ib´il	glue
q´oxel	go
nejli	go ahead
tx´iya´	go away
wtal	go to bed
q´oya tal	go to bed
ktal	go to bed
tikb´antel	goal
a wajb´ile	goals
Ttxu chib´	goat
chip	goat
ajaw	god
ky'iwb'il ajaw	god bless you
n-ipan	goes
nipan	goes
ma chinxe	going
q´oya atz	going to
q'anpwaq	gold
ma txi	gone
ma q'ox atz'	gonna
oeri	goo
b´a´n	good
q´alte	good afternoon
chinq´olb´ene	good afternoon
wexa	good bye
chab´iya	good bye
b´a´ntz q´ij	good day
talte	good evening
qalte	good evening
b´an aq´na´n	good job
aq´unb´en	good job
aq´namaj	good job
ponix	good looking
b´ax kayen tib´e	good luck
B´a´tz q´ij	good morning
chinqolbéne	good morning
b´an q´ij	good morning my love
ta´lt	good night
qalte	good night
wexa	goodbye
qalte	goodnight
at jun	goods
google	Google
gans	goose
ponex wen	gorgeous
slak'	gossip
kenetsil	got
kanetsal	got
chi k'aneye tij	got it
wi´xin	government
tzuyil	grab
tzyul	grab
ab´q´i xnaq´tz	grade
kol	grade
cheb'a	gradually
xnaqʼtzbʼil	graduate
twi'tz	grain
q'onxa	grant
xjitz	grapes
kaneyil	grasp
itzaj	grass
q´oj chionte	grateful
q´ol chjonte	gratitude
jul	grave
sib'	gray
b´a´nxix	great
achb'il	greed
tuk´a avidez	greedy
txa'x	green
q'olb'eb'l	greet
q´olb´eb´il	greeting
q'olb'el	greetings
sib'	grey
pa' xwub'	grid
n-cho´n	grief
ch´el	grind
tzyuma	grip
matij	gross
tajq' xjab'	ground
chmoj	group
ch´iy	grow
ch´iyil	grow
ch'iy	growth
lo'ch	grumpy
guaraní	Guarani
qkʼuʼj tiʼj	guarantee
xq'uqil	guard
ponil	guess
txokb´il	guest
nejil	guidance
yek´ul b´e	guide
tpaj	guilty
pajb´al	guilty
q'a	guy
q'a	guys
kuxin	guys
ax b´inchet junjun q´ij	habit
jaa	habitat
ma ja tz'aq'	had
saqb'aqaj	hail
saqb'aqin	hail
xyen	hair
tzmalwi	hair
nik´jan	half
q'uqb'il	hall
q´ob´aj	hand
yukal	handle
yukchil	handle
q´tik´	handsome
yob´ink´a	hang
kyten jun rat	hang out
qa ma b'aj	happen
ma b´aj	happened
tzalajsb´il	happiness
tzalaj	happy
Tzalajsb´il q´ij teya	happy birthday
tzaljsb´il q´ij teya	happy birthday to you
Tzajasb´il ak´aj abq´i	happy new year
ch´ux	hard
kyuw	hardly
bajxa	hardly ever
yajil	harm
q'on taq'wix	harmful
ttxu´txajil chnab´	harmony
ch´ux	harsh
aw'al	harvest
a ti te	has
xkymb'aj	hate
a tita	have
Iq´in	have
b'atz qij teya	have a good day
b´a´nx q´ij teya	have a nice day
wa´l	have breakfast
wal	have breakfast
tachxil	have fun
tzalb'ajil	have fun
ma wana	have you eaten
a tita	having
aq´in	having
xob'ajil	hazard
yaq'	haze
a	he
a ti te	he has
a	he is
wib´aj	head
wi	head
nchon wi'	headache
q´anil	heal
b'a'n	health
b´an t-chwinqel	healthy
b´il	hear
b'ilte	heard
anma	heart
anmi	heart
q´exa	heat
q´aq´il	heat
kya´j	heaven
al	heavy
yekil	hectic
twe'	height
etzb´il	heir
elq'in	heist
eleq	heist
txtokal	held
xtokal	held
xib'alb'a	hell
najan	hell
tenb'ilq'aq'	hell
Je´ky	Hello
tze´n tayey	hello dear
je´ky s´e´n taya	hello how are you
je'ky s'en taya	hello how are you doing
t-xk'omil wib'aj	helmet
onil	help
ajb´ebíl	helpful
ajb´alan	helpful
chi	helpful
tuntzen	hence
teya	her
k'loj rit	herd
tzalu´	here
n-ki o´n qe	heritage
xtz´mil	hesitate
Tze´n	Hey
Je´ky	Hi
je´ky s´e´n ta´ya	hi how are you
je´ky	Hi there
ewin	hidden
ewil	hide
ajb'ech	hierarchy
nimin twe	high
xtilil	highlight
b´etil	hike
bʼetil	hiking
q-tzeb´el	hilarious
witz	hill
a	him
tb'anel b'e	hint
twi'kuxb'aj	hip
xixb'aj	hip
xixb'aj	hips
tzyul	hire
teya	his
t-xilen	history
b´ujil	hit
ky´ixb´il	hit
jun rat	hobby
tzuyil	hold
tzuyb´il	hold
tzyul	hold
nyon	hold on
yol	hold on
xlaq´	hole
ojlal	holiday
jul	hollow
ja	home
aq'unab'il toj ja	homework
axix	honest
axix	honestly
T- al kab	Honey
ta´l kab´	Honey
nimxix chjonte	honor
tz'itk'uj	hood
xok	hook
yo'b'il	hook
t'ik´pul	hop
toj q´ij	hope
ch'in tb'anel tu'nju	hopefully
b'is	hopeless
tq´e´lil	horizontal
q'ajtzb'il	horn
taq'wix	horrible
xob'il	horror
kej	horse
tja q'anb'il	hospital
b'antulena	hospitality
xjal yolel toj chnab´	host
nya bʼaʼn	hostile
kyeq´	hot
ponix ja	hotel
kolq'ij	hour
kolq'ij	hours
ja	house
ja	household
se´n tzun	how
Tza´n	how
yajtzun ta	how about you
s´ent a´ya	how are you
se´n ta´ya	how are you doing
s´e´n ta´ya jalin	how are you doing today
s´e´n taya jalin	how are you today
s´e´n ta´ya	how do you do
s'e'n	how is
jte'qe	how many
jte	how much
jt´en	how much
niy pun	how much
kukxjo	how often
jte tanq´ib´la´	how old are you
sen sexa tq´ija	how was your day
s´e´n sok´iya´ te q´onik´in	how was your night
Noq tze´n taye	however
niky'aj	hub
qe ka´yil	hubby
tz´ulil	hug
nimin	huge
xjal	human
b´unlatten	humble
b´uninxjal	humble
xb´u´l	humid
xb´umb´uj	humidity
wayij	hungry
wa´yij	hungry
q´aq´in	hungry
kanb´at	hunt
nim jb'al	hurricane
qelxa	hurry
q´elxa	hurry up
q´lana	hurry up
ky´ixb´e	hurt
chmilb'aj	husband
n-chi rinen jotx	hustle
ja	hut
xnul	hygiene
Ayine	I
ayine	I am
b´an chjonte	I am fine
ja'ku	I can
ja'na	I can
ja'ka	I can
lay b´entwune	I can't
oky	I do
s´e´n lo	I do not know
mixti k´ane	I do not understand
lay´	I don't
s´e´n lo	I don't know
mixti	I don't understand
minti	I don't understand
jon	I don't understand
mixti in chin kaneye tiju toka qmalte	I don't understand what you mean
xi kane	I don't understand you
s´en lo	I don’t know
xti K'ane	I don’t understand
axlo	i guess
tenwe	I had
a tiwe´	I have
ntene	I have been
a tz´n yonjiye	I hope so
b´in	I know
kanli	I know
in chin laqe tija	I like
chi laqe tija	I like you
tk'ujlab'il	I love
chin laqe tij tziqe ni min	I love my big brother
chin laqe tij tziqe ni min	I love my big sister
chin laqe tij nmane	I love my father
chin laqe tij witzine	I love my little brother
chin laqe tij witzine	I love my little sister
tx´uye	I love my mother
in chin laqe tij naniye	I love my mother
In chin laqe tija	I love you
in chin laqe tija	I love you so much
ikxwe in chin laqe tija	I love you too
a kxel nmane	I mean
inchin bisine tija	I miss you
chin bisine nim tija	I miss you so much
txi k´ayine	I see
ximil	I think
chin ximine	I think
ma chin qaneye	I understand
ajb´il	I want
waje t´un tw´ila´	I want to see you
ky'iwb'il	I want you
ma chin tene	I was
k-txel b´inchane	I will
axna	I would be
ayine	I'm
b´an tiniye	I'm fine
b´an ti niye	I'm good
a tine tzala	I'm here
najsama	I'm sorry
txa'chew'	ice
leq'che'w	ice cream
xim	idea
tbʼanel onbʼil	ideal
ikxixju	identical
tun txi t-jyone	identify
techel	identity
mib´e b´isen	idiot
xi yuk´ch	idle
oky	if
mi txi t-kayen	ignore
yab´	ill
yab´il	ill
nya we'n	illegal
yab'	illness
Ilocano	Ilocano
tilb´ilal	image
ximb´aj	imagine
jalinxix	immediate
jalinxix	immediately
nintzk´u	immense
kuj te qe	impact
loch'il	impatient
tun tok	implement
iltij	import
iltij	important
chq'ol	impose
la'yx b'ent	impossible
tuʼn kyjaw labʼin	impress
t-xaq uʼj toj kʼuxbʼil	impression
qo ja ka´yen ti´j	impressive
b´antyil	improve
wen	improvement
tuj	in
Tu	in
axna	in addition
axpe ikx	In fact
twi'tz	in front of
el qe	in order to
nach	inappropriate
qmojbʼabʼil	incentive
nya bʼaʼn	incident
tun tokx	include
tukʼex	including
nya bʼaʼn	inconvenience
nimsal	increase
ma jaw	increased
mi n-xi q-ni´men	incredible
tuntzen	indeed
t-junalx	independent
India	India
q´maxa	indicate
wqnaqil	indigenous
jun	individual
tjunix	individual
poq´sal ti´chaq	industry
la b´ant t´el	inevitable
kwal qa	infant
tilal yab´il	infection
nimxix	infinity
tq'anil	inflammation
xhupin	inflation
yolelqe	influence
q'malte	inform
tqanil	information
t-k'ujil	ingredients
etzb'iñ	inheritance
el q´un xi qeya	initial
tnejil	initial
tun txi xke	initiative
ma q'ixb'i	injured
ky'ilxb'en	injury
mya at t-paj	innocent
ak'aj	innovation
jyoʼnktza	inquiry
tx´u´j	insane
q´kup	insect
mlay bʼant jun tiʼ	insecure
q´onxa	insert
toj	inside
umel tuʼn	insight
wexa	insist
txunwi´	insomnia
tz'ilte	inspiration
ambʼil te	inspire
q'ol	install
tqanin onbʼil	instance
jalinxix	instant
tuj - tx´ixpub´il	instead
te txel	instead of
qmal txolil	instructions
wakb'il	instrument
yasil	insult
b´a´ntten	insurance
jun wen xjal	integrity
mas bʼaʼn	intellectual
mas bʼaʼn	intelligence
b´an b´isen	intelligent
qanil	intend
jatumel	intended
n-lipen	intense
taj	intention
yolil	interact
yolil	interaction
tal pwaq	interest
ta´l pwaq	interest
tal pwaq	interested
qaj ti´j	interesting
xyol	interfere
niky'jen	intermediate
tojxi	internal
tukxa	internal
ti´jxix tnam	international
iky'il	internship
nelpuna	interpret
yaqpul	interrupt
xjelb´il	interview
tamiw.	intimate
toj	into
xuqan	introduce
xuq	introduce
tuk tel q-nik´	introduction
xjal mib´e yolen	introvert
n´al	intuition
jachmob´il	intuition
attoq jun tyabʼ toj	invalid
xkansil	invent
nab´il	invent
tel qpaʼn	invest
jyol	investigate
x´okb´il	invitation
txok´il	invite
u´j tun txi chjet	invoice
tun tokj	involve
tun tokxe toj	involved
k'uxb'il	iron
a ju	is
plowti'j	island
a'ti'j	island
tjunalx	isolated
b´i´yol	issue
q´oj	issues
a	it
a	it is
ma b'aj	it was
aju	it's
b´an	it's ok
b'a'n	It's okay
xnaqʼtzbʼil	item
tz´aqsb´il	items
teya	its
ayine	I’m
t´ij kamixj	jacket
chojb´il il	jail
tnexjaw	January
xar	jar
qtzi	jaw
xk´aqlin	jealous
ajxky´aqil	jealous
nya bʼaʼn xjal	jerk
pwaqab´aj	jewelry
a´qan	job
rinel	jogging
mojb'alte	join
txol b'a'q	joint
yaq	joke
chik´qanil	journalist
xob´lyol	journalist
b´etil	journey
b éyat	journey
tzalaj	joy
xjal q´malte	judge
ta'l	juice
twuxjaw	july
lipul	jump
tqaxjaw	june
tz'is	junk
noq	just
b´inchanxa	just do it
xtis	justice
xtulb'il-il	justice
teylixil	justice
ikyjo	justify
Kalaallisut	Kalaallisut
laqil	keen
kanq´ila	keep
nejk'uya	keep it up
jaku ten	kept
txikyb'il	kettle
tal ja´	key
xajol	kick
k´awl	kid
yaq´il	kidding
chjab'	kidney
k´wal	kids
bíyil	kill
tichaq'x	kind
ch'in netz'	kinda
b'a'nxix	kindly
b'a'nxix	kindness
nim tipumal	king
tz´ub´	kiss
ma´tz	kiss
b´inchb´il wab´j	kitchen
q'manxa'	kite
wix	kitten
ch´ekyb´aj	knee
ch´eky	knee
b'intaq	knew
q'esil	knife
ponix ichan	knight
ojtzqil	know
nab´il	knowledge
ojtzqib´il	knowledge
tzqi'n	known
Konkani	Konkani
Krio	Krio
tu´jal pa	label
aq´untl	labor
aq´qntz	labor
aq'anal	labour
chi´ixpatzan	lack
ch´inx	lack
ch´ix b´aj	lack
yotx	ladder
q'apoj	lady
kubʼ bʼinchaʼn	laid
najab´	lake
talnajab´	lake
alwun	lake
rit	lamb
q´ewjne	lame
kandil	lamp
tx´otx´	land
tbʼanel keʼyin	landscape
yol	language
twi tqan	lap
xqin	large
xji´l	large
qini´ch	large
b´ajsb´il	last
mankb´il	last
nya iltij	last but not least
tmakb´il jela	last but not least
k´olil	last name
yaj	late
kʼitzqeku	lately
nejxi	later
a ju tmakb'il	latest
tmakb'il	latter
tzet	laugh
tze´l	laugh
tz´el	laughing
tzet	laughter
tze´l	laughter
txi q-xo´n	launch
tx´ajb´l	laundry
q-ley	law
xpatzb´an	lawn
q'olte	lay
txow	layer
qajbʼil	layout
q´il	lazy
yek´il	lead
q´ol tumel	lead
nejinil	leader
a'witz	leaf
ma tz'ex	leak
nel	leak
k´ekuya	lean
xmejek´uya	lean
mok´ekaya	lean
t'ikpajil	leap
kanol	learn
xnaq´tzil	learn
xnaqtzb'il	learning
majil	lease
naq ch'in	least
tz´u´m	leather
tz´u´n	leather
le´b´il kolil	leave
t-xaqtze´	leaves
txaq tze	leaves
qʼiʼn tuʼn	led
nayaj	left
xnayj	left
kuxb'sj	leg
n-ki o´n qe	legacy
kywitz aj kawil	legal
tzqib'k'lojyol	legend
kyiʼj xuʼj	legit
amb'il	leisure
txol	lend
ch'exyol	lend
tnuq	length
tnuqil	length
naq´ch´in	less
chi´n	less
xnaqʼtzbʼil	lesson
chi nexe tk´tza	let
samu'j	letter
q-lechuga	lettuce
chik'ob'ilja	level
txi q-aprovecharen	leverage
matoklen	liability
maju´jb´il	library
leq´il	lick
leq´al	lick
chal yol	lie
chajyol	lies
chwiqlal	life
q'inktza	lift
xtilin	light
xtilin	lightning
nwane	like
jakulo bʼan	likely
ax ikx	likewise
sqit	line
Lingala	Lingala
enlace	link
q'eq ti'witzb'aj	lion
t´al	liquid
b´in	listen
b´il	listening
ikjxexje	literally
u´j	literature
tz'is	litter
b´otz´	little
chwinqlal	live
saseb´	liver
chwiqlal	lives
chwiqlala	living
jaa	living room
ayin	lizard
a'yin	lizard
Iqatz	load
twamo´s	loaf
xb´ukwa	loaf
tx´i´l	loaf
tx´ex	loan
ch´exb´aj	loan
ch´ex	loan
tembʼil	local
jatumel	location
jpul	lock
jpun	lock
oʼkx tiʼj jun	lockdown
qtzʼibʼinkux tqanil	log
tzeb´el	lol
tjunix	lonely
xji'l	long
xqin	long
qini'ch	long
tzma xq´iltla	long time no see
kayil	look
bucle	loop
jaw	loose
tza'qil	loose
tza'q	loose
iichin	lord
tz´aqil	lose
ma qe tz'aq'	loss
ma tzaj	lost
xol	lost
nintz´	lot
nim twe'	loud
matij twe'	loud
nimtwe'	loud
nim ja	lounge
laq´jil	love
in chin laqe tija	love you
qaj ti´j	lovely
ch'in	low
chi'n ta'l	lower
jun xjal leal	loyal
qʼuqbʼil kykʼuʼj.	loyalty
tb'anel tunju	luck
b´a´namaj	lucky
Luganda	Luganda
tiq´ina	luggage
tanaj	lump
iqtz	lump
w'al	lunch
tbʼanel	luxury
mib´e yolen tuk´e twutx	lying
kxb'il	machine
tzkaj	mad
tx´u´jwi´	mad
qtxu	madam
b'a'nmaj	made
chik´xim	magazine
b'anxex	magnificent
xjal misol tz´is	maid
winaq	main
k'ayilte	maintain
kayb´etz	maintenance
Maithili	Maithili
winaq	major
chʼixmi tkyaqil	majority
b´inchal	make
tok te	make up
tman	male
nimin k´ax	mall
toj qyol	Mam
ichin	man
chan	man
akja´yil xnaq´tzb´il	manage
b´inchel	management
xjal yekel jotx	manager
aq´un	mandatory
q'amanxe	manifest
chq'ol	manipulate
tumel	manner
uʼj	manual
nim	many
toxjaw	march
margen	margin
k'ayb'il	market
mjeb'in	marriage
mejeb´li	married
potzb'il wutz	mask
q´otj	mass
txqan	massive
xnaq´atzon	master
nejenel aq´untl	master
xnaq´tzal	master
saqchal	match
tuk´il	mate
aq´unb´il	material
ajlab´ilxix	math
Iltij	matter
ma q´qnix	maturity
kb´entil tuna	may
qapa	maybe
qaj	maybe
weye	me
ikyx we	me too
wab´aj	meal
tzelpuna	mean
ti tz´elpuna	meaning
ti tz'elpuna	means
a taq´ xi tman	meant
extzen	meanwhile
mlol	measure
malil	measure
échat	measure
malb´il	measures
chib´j	meat
q´anil	medical
q'anb'il	medicine
b'isil	meditation
xol	medium
chmolte	meet
ch´uqil	meet
mujb´el xjal	meeting
Meiteilon	Meiteilon
yulj	melt
niwjsal	melt
n´al	memories
nab´b´il	memory
txubʼtxaj	mental
q´malte	mention
q´manxa	mention
ma tzaj q'man	mentioned
xnaqʼtzbʼil	mentor
k´ayil	merchant
uʼn tjapun	mercy
tuʼntzunju	merely
mya b´a´n taye	mess
q-yol	message
nya txolb´i´n	messy
xitli	messy
sputin	messy
kxb'il	metal
txilnen	method
ich'	mice
niky´aj	middle
niky´jin	middle
tkuj aq´b´il	midnight
ku tz´u lo	might
cheb´e	mild
amb'il	milestone
txa'x xjal	military
ta'l imaj	milk
millon	million
nab´l	mind
b'is	mindset
weye´	mine
smol	mingle
b´otz	minor
minut	minute
minut	minutes
bʼaʼn kyuʼn	miracle
ka´witz	mirror
xpejs	mirror
kayb´iwitzb´aj	mirror
k'loj	miscellaneous
tiptaj	mischievous
mya b´an t-chwinqel	miserable
mebʼayil	misery
b´isil	miss
chin bisine tija	miss you
ma qe tzaq´	missing
tiʼ in bʼant kyuʼn	mission
q'aqmujil	mist
q-paj	mistake
Mizo	Mizo
celular	mobile
xniky´b´il	mock
knol	mock
yekʼbʼil tiʼj	model
kawil	moderate
ja'lin	modern
me's	modest
Ak´l	moist
ob´ob´j	moist
xb´umb´uj	moisture
poj	mold
q´eq´al	mole
nan	mom
amb'il	moment
xjaw	monday
pwaq	money
max	monkey
xjaw	month
ipumalj teya	mood
lo'chil	moody
txu xjaw	moon
b'is	moral
q´otzl	more
ikx tz´unj	moreover
ch´ubil	morning
nchi´j	morning
najchi´j	morning
k'as	mortgage
nintz'	most
te tnejil	mostly
txub'l	mother
txub'aj	mother
yukchil	motion
sak'sil	motivation
pink'ul	mountain
chik'ul	mountain
k'ul	mountain
ich´	mouse
tzib'aj	mouth
yukchuil	move
yekil	move
yekil	movement
txumakb'	movie
xu'j	mrs
nim	much
xoq'l	mud
jar	mug
ch´ib´aj	muscle
xul	mushroom
tx´yol	mushroom
xwich´	mushroom
chnab´	music
twi´chnab´	music
b'inchanxa	must
q'ol nakb'il	mute
ikxje te junjen	mutual
weye	my
a ju quk'ila xb'oj	my friend
a waje	my love
awe nb´i	my name is
ayiin	myself
chal yol	mysterious
nik´al yol	mysterious
ewan	mystery
noqxyol	myth
xky´aqb´aj te´sb´il	nail
xnak	naive
b´ib´aj	name
tx´olb´il	narrative
jutz´	narrow
twitz	narrow
much´	narrow
juntij tzu´j	nasty
tnam	national
tanmiyil	nationality
te jaxex	native
ttenkuxjo	natural
qtxu' tx'otx'	nature
twitz tx'otx'	nature
xab'	nausea
naqa	near
naqayin	near
naqa´yin	near
naq'ak'u	nearby
junilni	nearly
tb´anel	neat
iltij	necessary
qul	neck
q´ub´aj	neck
uyj	necklace
qaj	need
ch'u'xil	negative
ewin	negative
xi xik'ayin	neglect
k'ayil	negotiate
xjal ajlaj	neighbor
kojb'il	neighborhood
mi´ne	neither
witzine	nephew
mas bʼaʼn	nerd
xob´ajil	nervous
tchwil	nervous
paqb'il	nest
q'u'	nest
saq	net
xyub´	network
pa	network
junx	neutral
layx	never
mixi qe tzaqpina	never give up
xlek'uj	never mind
nya´ iltij	nevermind
extzen	nevertheless
ak´aj	new
ab'ax	news
juntl	next
junx tuk´il	next to
Tb´anil	nice
tzen tayey	nice to meet you
witz´ine	niece
qoniky'an	night
aq'b'il	night
xob'sil qwatl	nightmare
b'elaj	nine
b´elajlaj	nineteen
kyjk´al laj	ninety
Lay	No
mi´ b´isen	no problem
xix jun tumil	no way
mixti	nobody
chkyimb´il	noise
chkyimb´il	noisy
ni junjun	none
wanq'ij	noon
chilka qij	noon
chilqij	noon
mixti	nope
minti tla	nope
ikja	normal
jawnix	north
txa´nb´aj	nose
b'is	nostalgic
lay	not
minti	not
tla	not
xite'	not at all
b´ante	not bad
lay jalin	Not now
namx	not yet
twi chnab´	note
ma kux tz'ib'it	noted
xtix	nothing
kayil	notice
ma tzok tayina	noticed
kyaqil b´ib´aj	noun
jiq´chal	noun
kyaqil b´ib´aj	nouns
jiq´chal	nouns
saq	novel
tjunlaxkaw	november
jalin	now
ja lin te q´ij jalin	nowadays
snak	nuisance
mya wen	null
sk´an	numb
tajlal	number
onil ajq'anil	nurse
jumil	nut
sutjitz´	nut
ch'ilil	nutmeg
k'ach'il	nutrition
jun yol toj tbʼi dios	oath
xtob´	obesity
xb´o´w	obesity
nimb´il	obey
nimal	obey
sipb´al	object
tkb´antel	objective
txi b´inchet	obligation
q´lolj	obscure
k'ayil	observation
k´ayilte	observe
taj ti´j wen	obsessed
obsesion	obsession
asb'en	obsolete
tun t-jyet	obtain
kykʼamoʼn	obtained
iktzen	obvious
iktzen	obviously
mya jotx q´ij	occasionally
mi´ amli	occupation
nya ambli	occupied
na b'aj	occur
ma b'aj	occurred
in b´aj	occurs
kub'ni plow	ocean
jawni plow	ocean
tlaxjaw	october
alkayela	odd
nya mikxe	odds
te	of
iktzen	of course
yupil	off
yupan	off
yupin	off
nach	offensive
q-loq´ barat	offer
ja jatumel	office
aju axix	official
junjen maj	often
