एकः	a
पुट	fold
गणः	folks
अनुशीलनं	follow
अनुसरण	following
अनुगच्छ	follow up
आहारः	food
मूर्खः	fool
मूर्खतया	foolish
पादः	foot
फुटबालं	football
कृते	for
प्रतिबंधित	forbidden
बल	force
पूर्वानुमान	forecast
ललाट	forehead
विदेशः	foreign
वनः	forest
सदा	forever
उदाहरणतया	For example
विस्मृत	forget
वहते	forgive
विस्मृत	forgot
क्षणिक	for instance
शूलिका	fork
आवेदनपत्रं	form
औपचारिक	formal
पूर्व	former
सौभाग्यतया	fortunately
भाग्य	fortune
चत्वारिंशत्	forty
द्विचत्वारिंशत्	forty-two
अग्रतः	forward
तुभ्यं	for you
लल्	foster
आह्वे	fought
प्राप्तः	found
प्रतिष्ठिका	foundation
चत्वारः	four
चतुर्दश	fourteen
लोमशा	fox
खण्ड्य	fragile
आबन्ध	frame
प्रारूप	framework
कपट	fraud
मनोलौल्य	freak
निःशुल्कः	free
स्वतंत्रता	freedom
स्थग्	freeze
आवृत्ती	frequency
बारंबार	frequent
भृशः	frequently
प्रत्यग्र	fresh
शुक्रवारं	friday
प्रशीतक	fridge
मित्रम्‌	friend
मैत्रेय	friendly
मित्राः	friends
मित्रता	friendship
भयभीत	frightened
भयानकः	frightening
मंडूक:	frog
इत्यस्मात्‌	from
पुरतः	front
संशीत	frozen
फलं	fruit
निराश	frustrated
ईंधन	fuel
फुलफुल्दे	Fulfulde
पूर्ण	full
परिहासः	fun
नियोग	function
मौलिक	fundamental
अन्त्येष्टि	funeral
विलक्षणम्‌	funny
लोमचर्मन्	fur
क्रुद्ध	furious
उपस्कर	furniture
अग्रे	further
भूयस्	furthermore
भविष्य	future
प्राप्ति	gain
क्रीडा	game
अंतर	gap
यानशाला	garage
अवकर	garbage
उद्यान	garden
लशुन	garlic
द्वार	gate
स्खति	gather
मेलन	gathering
तर्कय	gauge
दत्तवती	gave
संयोक्त	gear
लिंग	gender
सामान्य	general
सामान्यतया	generally
पीढ़ी	generation
उदारः	generous
कुशाग्र	genius
मातुर्	genre
मृदुल	gentle
प्रामाणिक	genuine
व्यंजकाः	gesture
प्राप्नोतु	get
विवस्त्रायते	get dressed
लाभ	getting
जाग्रत्	get up
प्रेत	ghost
द्वय-कवते	ghosting
दैत्याकार	giant
उपहारं	gift
आर्द्रक	ginger
बालिका	girl
महिलामित्र	girlfriend
देहि	give
प्रदत्त	given
त्यजति	give up
प्रसन्नः	glad
प्रभा	glance
चषक	glass
चषकाः	glasses
आभासाः	glimpse
वैश्विक	global
विषादपूर्ण	gloomy
हस्तत्राणम्	gloves
शुच्	glow
रञ्ज्	glow up
लेप	glue
गच्छ	go
अग्रसर	go ahead
ध्येय	goal
लक्षानि	goals
अजा	goat
भगवान	god
श्वस्ति	god bless you
प्रस्थान	goes
गच्छति	going
तद्.गच्छति	going to
स्वर्णं	gold
गतः	gone
गच्छेत्	gonna
गू	goo
शोभन	good
नमस्कारः	good afternoon
पुनर्दर्शनाय	good bye
पुनर्मिलामः	goodbye
शुभसन्ध्या	good evening
श्रेष्ठकार्य	good job
सुदृश्य	good looking
शुभकामना	good luck
सुप्रभातम्‌	good morning
शुभरात्रि	good night
शुभरात्री	goodnight
वस्तुनि	goods
गूगल	Google
लक्षणा	goose
अतिशोभनः	gorgeous
प्रजल्प	gossip
लब्धः	got
शासन	government
समालभते	grab
वर्ग	grade
क्रमिकवार	gradually
स्नातक	graduate
अन्न	grain
अनुदान	grant
अनुदात्त	granted
द्राक्षा	grapes
गृह्णति	grasp
तृणं	grass
कृतज्ञ	grateful
कृतवेदित्व	gratitude
गंभीर	grave
धूसर	gray
महान्‌	great
लोलुपता	greed
लोलुप	greedy
हरित	green
शुभकामना	greeting
अभिवादन	greetings
धूसर	grey
गृध्र	grid
दुःख	grief
घृष्	grind
वाराङ्ग	grip
भक्ष्यापणः	grocery
वधूवरौ	groom
सकल	gross
भूमि	ground
समूह	group
परिवर्धते	grow
वृद्धि	growth
परुष	grumpy
गुआरानी	Guarani
बंधक	guarantee
रक्षक	guard
अनुमानम्‌	guess
अतिथि	guest
मार्गदर्शन	guidance
मार्गदर्शकः	guide
दोषी	guilty
व्यक्ति	guy
जन	guys
व्यायामशाला	gym
अभ्यास	habit
अभ्यास	habitat
आसीत्‌	had
सभागृह	hail
केशः	hair
अर्ध	half
सभागृह	hall
हस्त	hand
वारङ्गः	handle
रुचिरः	handsome
जडीभवति	hang
आतिष्ठते	hang out
भवति	happen
भूतः	happened
प्रसन्नता	happiness
प्रसन्नः	happy
रूक्षः	hard
नैव	hardly
हानि	harm
हानिकारक	harmful
संवादिता	harmony
रुक्ष	harsh
सस्य	harvest
वा	has
घृणा	hate
अस्ति	have
अश्	have fun
त्वा	having
पणते	hazard
धुंध	haze
सः	he
शिरः	head
शिरोवेदना	headache
उपशम्यति	heal
भाविन्	healing
आरोग्यम्‌	health
स्वस्थः	healthy
शृणोतु	hear
श्रुत	heard
हृदयम्‌	heart
उष्णता	heat
स्वर्गः	heaven
भारयुक्तम्‌	heavy
प्रलेप	hectic
तस्य	he has
औनत्यम्‌	height
उत्तराधिकारिन्	heir
मुष्	heist
धृतः	held
नरकः	hell
नमस्ते	Hello
शिरस्त्राण	helmet
साहाय्यम्‌	help
सहायक	helpful
अतः	hence
तस्याः	her
समूहं	herd
अत्र	here
परम्परा	heritage
भो	Hey
नमस्कार	Hi
अदृष्ट	hidden
गोपयतु	hide
पदानुक्रमं	hierarchy
उच्चैः	high
प्रमुखाकृष्टि	highlight
आरोहण	hike
भ्रमपादिका	hiking
रंजक	hilarious
चोटी	hill
तस्य	him
संकेत	hint
नितंब	hip
श्रोणिका	hips
भृति	hire
सर्जन	hiring
तस्य	his
इतिहास	history
ताडनम्‌	hit
आं	Hmm
अभिरुचि	hobby
गृह्णातु	hold
ग्रह्	hold on
छिद्र	hole
अवकाशदिनं	holiday
कोटर	hollow
गृहम्‌	home
गृहकार्य	homework
सत्यरतः	honest
सारल्येन	honestly
मधु	Honey
सम्मान	honor
फणा	hood
आलम्ब	hook
प्लु	hop
आशा	hope
संभवतः	hopefully
निराश	hopeless
क्षैतिज	horizontal
शृंग	horn
भयंकरं	horrible
भय	horror
घोटकः	horse
चिकित्सालय	hospital
सत्कार	hospitality
निमन्त्रकः	host
अभिमुखम्	hostile
उष्णः	hot
वसतिगृह	hotel
घटकः	hour
घण्टानः	hours
गृहम्‌	house
गार्ह	household
कथम्‌	how
तथापि	however
कथं	how is
कति	how many
कियत्‌	how much
कतिवरम्	how often
कोश	hub
पतिदेव	hubby
आलिङ्गनम्‌	hug
विशालः	huge
मानव	human
विनम्रः	humble
प्रक्लिन्न	humid
आर्द्रता	humidity
शतकः	hundred
बुभुक्षित	hungry
आखेटं	hunt
प्रभंजन	hurricane
त्वरा	hurry
परिक्षतः	hurt
भर्ता	husband
हुष्टुत	hustle
कुटि	hut
आरोग्य	hygiene
अहम्‌	I
अहमस्मि	I am
हिम	ice
पयोहिम	ice cream
विचारं	idea
आदर्शः	ideal
संरूप	identical
समीकुरुते	identify
चिह्नं	identity
मूर्खः	idiot
आलम	idle
यदि	if
उपेक्षा	ignore
रुग्णः	ill
अवैध	illegal
रोग	illness
इलोकानो	Ilocano
अहमस्मि	I'm
छवि	image
गणयति	imagine
ममार्थः	I mean
तुरत	immediate
झटिति	immediately
अविमित	immense
प्रभावः	impact
अधीर	impatient
हेति	implement
आयात	import
महत्वपूर्णः	important
असंभवः	impossible
आदधाति	impress
छवि	impression
चित्ताकर्षकः	impressive
विशोधयतु	improve
प्रगति	improvement
इत्यस्मिन्‌	in
अतिरिक्ते	in addition
अनुचितं	inappropriate
प्रोत्साहन	incentive
प्रसंग	incident
निहितः	include
सहित	including
आय	income
असुविधा	inconvenience
वृद्ध	increased
अविश्वसनीय	incredible
नूनम्‌	indeed
स्वाधीन	independent
भारत	India
संकेतन	indicate
देशज	indigenous
व्यक्तिगत	individual
उद्योग	industry
अपरिहार्यं	inevitable
वस्तुतः	In fact
शिशु	infant
संक्रमण	infection
अनंतं	infinity
जलन	inflammation
अपमूल्यन	inflation
प्रभावः	influence
सूचना	information
पुरतः	in front of
तत्व	ingredients
उत्तराधिकार	inheritance
आरंभिक	initial
आरम्भः	initiative
रुग्ण	injured
क्षत	injury
निर्दोषः	innocent
नवोन्मेषण	innovation
अर्थ	in order to
पृच्छा	inquiry
उन्मत्त	insane
कीट:	insect
असुरक्षित	insecure
युज्	insert
अन्तः	inside
अंतर्दृष्टि	insight
निर्बन्ध्	insist
अनिद्रा	insomnia
प्रोत्साहन	inspiration
प्रेरय	inspire
प्रतिस्था	install
क्षण	instance
क्षणिक	instant
तत्स्थाने	instead
वितरणं	instead of
निर्देशाः	instructions
साधन	instrument
अपमान	insult
अभिरक्षा	insurance
आबद्ध	intact
शुद्धता	integrity
बुद्धिजीवी	intellectual
चपलता	intelligence
चतुरः	intelligent
संकेतन	intend
इंगित	intended
तीव्र	intense
मति	intention
संवाद	interact
परिचर्चा	interaction
अभिरुचिः	interest
इच्छति	interested
रुचिकरम्‌	interesting
उच्छिनत्ति	interfere
अवान्तरम्	intermediate
आंतरिक	internal
अन्तराष्ट्रिय	international
व्याख्याति	interpret
व्याख्याता	interpreter
व्यवधान	interrupt
साक्षात्कारं	interview
अंतरंग	intimate
इत्यस्मिन्‌	into
पवर्तयति	introduce
आमुख	introduction
अंतर्मुखी	introvert
अंतरचेतना	intuition
अप्रतिषेध	invalid
उपज्ञा	invent
वस्तुपरिसङ्ख्या	inventory
निवेश	invest
परिनयति	investigate
आमंत्रण	invitation
समाह्वे	invite
बीजक	invoice
निहित	involve
आसक्तः	involved
लौह	iron
अस्ति	is
द्वीप	island
उपेक्षितः	isolated
निर्गमनम्‌	issue
विषयाः	issues
इदम्‌	it
वस्तु	item
मदा :	items
इदमस्ति	it is
अस्य	its
सर्वोचित	It's okay
प्रावारकं	jacket
कारावास	jail
जनवरी	January
कलश	jar
हनु	jaw
मत्सरः	jealous
सङ्क्षोभ	jerk
कर्णाभरन	jewelry
कार्य	job
मन्दक्षावन	jogging
आबन्धम्	join
संयुक्त	joint
व्यंग	joke
पत्रकाराः	journalist
यात्रा	journey
आनंदं	joy
न्यायाधीश	judge
फलरस	juice
जुलाईमाह	july
उत्प्लवन	jump
तुच्छ	junk
इदानीम्‌	just
न्याय	justice
प्रमाणय्	justify
कलाल्लिसुत	Kalaallisut
उत्सुक	keen
स्थापय	keep
रक्षित	kept
पात्र	kettle
कुंजी	key
पादप्रहार	kick
शिशु	kid
कीदृश्	kidding
वृक्क	kidney
बालकाः	kids
हन्	kill
दयालु	kind
रुपेण	kinda
कृपया	kindly
औदार्य	kindness
राजा	king
चुंबन	kiss
पाकशाला	kitchen
पतंगं	kite
बिदालिका	kitten
जानुक	knee
ज्ञात	knew
छुरिका	knife
डामर	knight
जानातु	know
ज्ञानम्‌	knowledge
ज्ञात	known
कोंकणी	Konkani
क्रियो	Krio
नामपत्र	label
श्रम	labor
श्रम	labour
विरहः	lack
चरण	ladder
स्त्री	lady
स्थापित	laid
सरोवरः	lake
अजशिशु	lamb
पुङ्गु	lame
दीपकः	lamp
भूः	land
भूप्रदेश	landscape
भाषा	language
उत्सङ्ग	lap
बृहत्‌	large
अन्तिमः	last
विलम्बेन	late
नव्यस्	lately
कालान्तरे	later
अद्यतन	latest
परवर्ती	latter
हासः	laugh
हसति	laughing
हास्य	laughter
प्रक्षेपनम्	launch
लोणिका	laundry
विधि	law
दूर्वा	lawn
अधिवक्ता	lawyer
स्थापयति	lay
स्तर	layer
प्रारूपं	layout
आलसः	lazy
सीसम्‌	lead
नेता	leader
पर्ण	leaf
स्रवति	leak
कृशः	lean
प्लुति	leap
जानातु	learn
शिक्षण	learning
भाट	lease
न्यूनतम	least
चर्म	leather
त्यजतु	leave
पत्राणि	leaves
अग्रसर	led
वामः	left
टङ्का	leg
संप्रत्ति	legacy
वैधानिक	legal
आख्यान	legend
वैधानिक	legit
अवकाशः	leisure
प्रमुञ्चते	lend
दैर्घ्यम्‌	length
न्यूनम्‌	less
पाठ	lesson
पत्रम्	letter
शाकभेदः	lettuce
स्तर	level
तुलायन्त्रयोगः	leverage
देय	liability
पुस्तकालय	library
चम्	lick
असत्यम्‌	lie
असत्य	lies
जीवनम्‌	life
उन्नयनी	lift
प्रकाशः	light
गाज	lightning
इव	like
संभवतः	likely
अथो	likewise
पंक्ति	line
लिंगाला	Lingala
सम्बन्ध	link
सिंहः	lion
द्रव	liquid
सूची	list
शृणोतु	listen
श्राव्य	listening
अक्षरशः	literally
साहित्यं	literature
इत्य	litter
निवसति	live
यकृत	liver
जीवति	lives
आजीविका	living
गृहगोदिका	lizard
भार	load
उण्डेरक	loaf
ऋणं	loan
स्थानिक	local
स्थानीय	location
ताल	lock
अपिदधन	lockdown
वृत्त	log
एकांततः	lonely
दीर्घम्‌	long
अवलोकनम्‌	look
परिक्रम	loop
मुक्त	loose
विधाता	lord
पराजयते	lose
हानि	loss
लुप्तः	lost
विपुलं	lot
उत्ताल	loud
विश्रांतिका	lounge
स्नेहः	love
सुन्दरः	lovely
न्यूनम्‌	low
अवच	lower
निष्ठावान्	loyal
प्रभुभक्ति	loyalty
भाग्य	luck
भाग्यशाली	lucky
लुगांडा	Luganda
परिच्छद	luggage
घन	lump
मध्याह्नभोजनम्‌	lunch
फुफ्फुस	lungs
विलास	luxury
असत्यभाषणम्	lying
यंत्रं	machine
मत्तः	mad
महोदया	madam
निर्मिता	made
पत्रिका	magazine
भव्य	magnificent
कना	maid
मुख्यः	main
अनुरक्षयतु	maintain
अनुरक्षणम्‌	maintenance
मैथिली	Maithili
प्रधानः	major
बहुमत	majority
निर्मीयताम्‌	make
रचयति	make up
पुरुषः	male
विपणि	mall
नरः	man
प्रबंधनं	manage
प्रबन्धनम्‌	management
प्रबंधकः	manager
अनिवार्यः	mandatory
प्रत्यक्ष	manifest
उपरञ्जयति	manipulate
शिष्टाचार	manner
शास्त्र	manual
बहवः	many
प्रयाण	march
सीमन्	margin
विपणि	market
पाणिग्रहणम्	marriage
विवाहित	married
मुखावरण	mask
घन	mass
स्थूल	massive
निपुण	master
मेलनम्‌	match
मित्र	mate
पदार्थ	material
गणित	math
विषयः	matter
परिपक्वता	maturity
स्यात्‌	may
भवेत्‌	maybe
अहम्‌	me
भोजन	meal
अर्थः	mean
अर्थ	meaning
साधनानि	means
अर्थ	meant
मध्यांतरे	meanwhile
मापन	measures
मांसं	meat
चिकित्सीय	medical
चिकित्सा	medicine
ध्यानं	meditation
मध्यम	medium
मेलनम्‌	meet
मेलनम्‌	meeting
मैतैलॉन	Meiteilon
द्रवित	melt
स्मृत्याम्	memories
स्मृति	memory
मानसिक	mental
उल्लेख	mention
उल्लेखित	mentioned
मार्गदर्शक	mentor
वणिक्‌	merchant
दया	mercy
नाममात्रेण	merely
भोजनालयः	mess
सन्देशः	message
अत्यवस्था	messy
धातु:	metal
प्रक्रिया	method
अहमपि	me too
मुषका	mice
मध्यं	middle
मध्यरात्री	midnight
विक्रमः	might
मृदु	mild
क्रोशमापनपाषाण	milestone
सैन्यदल	military
दुग्धं	milk
प्रयुतहर्ट्स्	million
मस्तिष्कम्‌	mind
मानसिकता	mindset
मदीयः	mine
अभिश्री	mingle
बाल	minor
क्षणं	minute
पन्चनिमेषः	minutes
अचंभा	miracle
दर्पण	mirror
विविध	miscellaneous
हिंस्र	mischievous
हताशः	miserable
अभूति	misery
भ्रमः	miss
असमेत	missing
नियोग	mission
त्वद्विरहविह्वलः	miss you
तुहिनं	mist
त्रुटि	mistake
मिजो	Mizo
निष्तन्त्री	mobile
हस्	mock
प्रतिकृति	model
सन्तुलित	moderate
आधुनिक	modern
शालीन	modest
क्लदीवत्	moist
आर्द्रता	moisture
आचारण	mold
न्यच्छ	mole
माता	mom
क्षण	moment
सोमवारं	monday
मुद्रा	money
नियंत्रण	monitor
वानरः	monkey
माह	month
मनोदशा	mood
उदासीन	moody
शशांक	moon
नैतिक	moral
अधिकः	more
भूयस्	moreover
प्रातः	morning
मौर्व	mortgage
अधिकतमः	most
अधिकतया	mostly
माता	mother
गति	motion
प्रयुक्ति	motivation
पर्वत	mountain
मूषकः	mouse
मुख	mouth
चलनम्	move
आन्दोलन	movement
चलचित्रं	movie
महोदया	mrs
अति	much
पंक	mud
चषकः	mug
मांसपेशी	muscle
संग्रहालय	museum
मशरूमं	mushroom
संगीतं	music
अवश्यम्‌	must
मूक	mute
पारस्परिक	mutual
मम	my
माम्	myself
रहस्यमयी	mysterious
रहस्य:	mystery
मिथकः	myth
कीलं	nail
बलिश	naive
नामः	name
प्राक्कथन	narrative
सङ्कीर्णः	narrow
विरूपकः	nasty
राष्ट्रीय	national
राष्ट्रीय	nationality
देशज	native
प्राकृतिक	natural
प्रकृति	nature
वमनेच्छा	nausea
समीपः	near
निकटे	nearby
सन्निकट	nearly
सुव्यस्थितः	neat
आवश्यकम्‌	necessary
ग्रीवा	neck
कर्णहार	necklace
आवश्यकता	need
नकारात्मक	negative
उपेक्षा	neglect
परक्रामणं	negotiate
प्रतिवेशी	neighbor
प्रतिवेशिन्	neighborhood
नैर्धन्य	nerd
अधीरः	nervous
संनिवास	nest
जालं	net
जाल	network
तटस्थ	neutral
तथापि	nevertheless
नूतनम्‌	new
समाचारं	news
अग्रिम	next
अग्रिम	next to
शोभनम्‌	nice
भातृजा	niece
निशा	night
दुःस्वप्न	nightmare
नवं	nine
एकोनविम्शति	nineteen
नवति	ninety
नहि	No
अविदितम्	nobody
कोलाहलं	noise
शब्दवत्	noisy
अपराह्न	noon
न	nope
नापि	nor
सामान्य	normal
उत्तर	north
नासिका	nose
स्मृति-रत	nostalgic
नहि	not
नातीव	not at all
टीका	note
विश्रुतः	noted
सूचना	notice
सूचित	noticed
संज्ञा	noun
संज्ञानाम्	nouns
उपन्यास	novel
अधुना	now
इदानीम्	nowadays
अनुत्रास	nuisance
लुप्तमूल्य	null
जड	numb
संख्या	number
उपचर	nurse
शलाटु	nut
पोषण	nutrition
शपथ	oath
स्थूलता	obesity
अनुपालन	obey
वस्तु	object
वस्तुनिष्ठ	objective
कर्तव्यता	obligation
दुर्बुद्ध	obscure
दर्शनं	observation
अवलोकयति	observe
अभिभूतः	obsessed
दुराग्रह	obsession
विकट	obsolete
अवरोध	obstacle
प्राप्नोतु	obtain
प्राप्त	obtained
प्रत्यक्षं	obvious
सुस्पष्टम्‌	obviously
कादाचित्	occasionally
उपजीविका	occupation
प्रविष्ट	occupied
सम्भवते	occur
भूतः	occurred
भवति	occurs
समुद्रं	ocean
विषमः	odd
विभिन्नता	odds
इत्यस्य	of
निश्चयेन	of course
दूरे	off
आक्रामक	offensive
प्रस्तावः	offer
कार्यालयं	office
कार्यालययी	official
बहुशः	often
अहो	Oh
तेलं	oil
अस्तु	ok
अस्तु	okay
वृद्धः	old
इत्युपरि	on
एकदा	once
एकम्‌	one
पलाण्डु	onion
लब्धसम्पर्क	online
केवलम्‌	only
उद्घाटित	open
संचालन	operation
अभिप्रायः	opinion
अवसराः	opportunities
अवसरः	opportunity
विपरीतः	opposite
आशावादी	optimistic
विकल्प	option
वैकल्पिक	optional
वा	or
नारङ्ग	orange
आदेशः	order
सामान्य	ordinary
संघठनं	organization
आभिमुख्य	orientation
श्रोतं	origin
मूल	original
ऑरोमो	Oromo
अनाथः	orphan
इतर	other
अन्यथा	otherwise
भाविन्	ought
अस्माकम्‌	our
बहिः	out
परिणाम	outcome
संगठन	outfit
बहिर्गामी	outgoing
निर्गम	outlet
रूपरेखा	outline
बहिः	outside
उत्कृष्ट	outstanding
आपाका	oven
उपरि	over
सकलं	overall
अतिक्रामति	overcome
तत्रेण	over there
अतिचिंता	overthinking
आविष्ट	overwhelmed
मज्जन	overwhelming
अपमयते	owe
उलूक	owl
स्वकीयम्‌	own
स्वामी	owner
वृषभ	ox
गति	pace
बन्ध	pack
सम्पुट	package
भृत	paid
पीडा	pain
चित्र	paint
चित्रकारी	painting
युग्म	pair
पाण्डुर	pale
करतल	palm
भ्राष्ट्र	pan
सर्व्वव्यापकरोगः	pandemic
भीत	panic
प्रुथ्	pants
पत्रं	paper
स्वर्ग:	paradise
समानांतर	parallel
परिवेष्ट	parcel
क्षम्	pardon
मातापितरौ	parents
उद्यान	park
शुकः	parrot
सुचरित्रा	parsley
भाग	part
अनुभुज्	participate
विशिष्टः	particular
विशेषतया	particularly
महभागी	partner
मिलन	party
उत्तीर्णः	pass
प्रसंग	passage
अतीत	passed
प्रतिरम्भः	passion
तैजस	passionate
उदासीन	passive
समाभाष्	password
भूत	past
कर्पटक	patch
पथं	path
क्लेशनीयं	pathetic
सहिष्णुता	patience
रोगीः	patient
प्रतिमानम्‌	pattern
विराम	pause
बद्धभू	pavement
वेतनं	pay
वेतन	payment
शान्तिः	peace
शांतिप्रियं	peaceful
आरुक	peach
चोटी	peak
अमृत	pear
अनणु	peas
विशिष्ट	peculiar
मूत्	pee
तक्षनं	peel
संगठन	peer
समवयस्क	peers
लेखनी	pen
अङ्कनी	pencil
विचाराधीनः	pending
जनाः	people
मरिच	pepper
जिघ्रति	perceive
बोध	perception
परिपूर्णम्‌	perfect
प्रदर्शन	perform
प्रदर्शनम्‌	performance
कदाचिद्‌	perhaps
कालांशः	period
स्थायी	permanent
अनुमति	permission
अनुज्ञापत्र	permit
दृढ़ता	perseverance
अनवरत	persistent
व्यक्ति	person
व्यक्तिगत	personal
व्यक्तित्व	personality
दृशीक	perspective
उपब्रूते	persuade
पितृव्य	pervert
लालितकः	pet
क्षण	phase
घटना	phenomenon
दर्शनशास्त्र	philosophy
फोनं	phone
चित्रं	photo
सम्पुट	phrase
भौतिक	physical
चिनूहि	pick
ग्रहणम्	pick up
चित्र	picture
भाग	piece
अंशा:	pieces
सुकरः	pig
कपोतः	pigeon
सम्चि	pile
उपधान	pillow
वैमानिक	pilot
आतप	pin
अनास	pineapple
पाटल	pink
खड्ड	pit
लिम्पति	pitch
दयनीय	pity
स्थानम्‌	place
स्थानाः	places
मारिका	plague
सम	plain
योजना	plan
समतल	plane
वनस्पति	plant
औषध्याम्	plants
स्थालिका	plate
तमङ्गः	platform
क्रीडतु	play
क्रीडति	playing
प्रसन्न	pleasant
कृपया	please
प्रसन्न	pleased
आनन्दः	pleasure
प्रतिज्ञा	pledge
बहुल	plenty
भूखण्ड	plot
निग	plug
जम्बुल	plum
नलकार	plumber
बहुवाचक	plural
पॉडकास्टं	podcast
काव्य	poem
काव्य	poetry
बिन्दु	point
विष	poison
आरक्षक	police
नीति	policy
नम्रः	polite
प्रदूषणं	pollution
जलाशय	pond
सञ्चय	pool
मल	poop
निर्धनः	poor
लोक	pop
लोकप्रियं	popular
जन	population
ओदन	porridge
पोताश्रय	port
स्थितिः	position
सकारात्मकः	positive
भज्	possess
भुक्ति	possession
स्वामिगत	possessive
सम्भव	possible
पद	post
स्थगन	postpone
आलूः	potato
तन्मात्रम्‌	potential
निश्रेणिचिह्न	pound
निर्धनता	poverty
शक्ति	power
शक्तिशाली	powerful
व्यावहारिक	practical
अभ्यासः	practice
प्रशंसा	praise
चाल	prank
प्रयाण	pray
बहुमूल्यम्‌	precious
सटीक	precise
निपुणम्	precisely
शास्ति	predict
अभिवृणीते	prefer
आद्यता	preference
गर्भवती	pregnant
पूर्वाग्रहं	prejudice
परिसर	premises
वृद्धि	premium
प्रेप्सति	preparation
सिद्ध	prepared
उपसर्ग	preposition
उपस्थिति	presence
उपस्थितः	present
प्रस्तुति	presentation
संरक्षण	preserve
राष्ट्रपति	president
मुद्रणशाला	press
प्रबलता	pressure
व्यपदिशति	pretend
सुभगा	pretty
निवारयतु	prevent
पूर्वतनम्‌	previous
हिंस्र	prey
मूल्य	price
अभिमानः	pride
पुरोहित	priest
प्राथमिक	primary
मुख्य	prime
राजकुमारी	princess
प्रधानाचार्य	principal
पूर्वतर	prior
पूर्ववर्तिता	priority
कारागृह	prison
निजता	privacy
वैयक्तिक	private
विशेषाधिकार	privilege
पुरस्कारं	prize
प्रायेण	probably
समस्या	problem
प्रक्रिया	procedure
प्रवर्तते	proceed
प्रक्रिया	process
उत्पन्न	produce
उत्पाद	product
उत्पादन	production
व्यवसाय	profession
व्यवसायी	professional
रूपरेखा	profile
लाभं	profit
गभीर	profound
विकासः	progress
प्रकल्प	project
प्रमुख्य	prominent
वचनं	promise
प्रोत्साहन	promote
संवर्धना	promotion
त्वरित	prompt
ग्राहक	prone
सर्वनाम	pronouns
उच्चारणं	pronunciation
प्रमाणं	proof
उचित	proper
उचितं	properly
गुणाः	properties
सम्पत्तिः	property
प्रस्ताव	proposal
सम्भावना	prospect
समृद्धि	prosperity
सम्पन्न	prosperous
संरक्षयतु	protect
गर्वितः	proud
प्रमाणन	prove
परिकल्पयतु	provide
प्रदत्त	provided
प्रांत	province
प्रावधान	provision
किशोरावस्था	puberty
सार्वजनिक	public
आकर्षति	pull
कुष्माण्ड	pumpkin
समयनिष्ठ	punctual
छात्र	pupil
संक्रयणम्‌	purchase
पवित्र	pure
शोण	purple
उद्देश्यम्‌	purpose
स्यूत	purse
प्रयक्षते	pursue
आकांक्षा	pursuit
नोद	push
स्थापयतु	put
योग्यता	qualification
गुणवत्ता	quality
मात्रा	quantity
संगरोधम्	quarantine
कलहं	quarrel
चतुर्थांश	quarter
केचुवा	Quechua
राज्ञी	queen
विचित्र	queer
उत्प्रेक्षा	query
प्रश्न	question
पङ्क्ति	queue
तीव्र	quick
शीघ्रेण	quickly
शांतिम्	quiet
आस्तरण	quilt
परिजहातु	quit
नितान्तम्‌	quite
प्रश्नोत्तरी	quiz
उद्धरण	quotation
उद्धरण	quote
उद्धरण	quotes
शशकः	rabbit
धावनं	race
रुष्	rage
वृष्टि	rain
उत्थापय	raise
उन्नत	raised
अधावत्	ran
यदृच्छासङ्ख्या	random
पङ्क्तिः	range
तीव्र	rapid
शीघ्रतया	rapidly
दुर्लभः	rare
दुर्लभतः	rarely
दुस्साहसी	rash
मूषकः	rat
मानम्‌	rate
उत	rather
अनुपातं	ratio
तर्कसंगत	rational
अपक्व	raw
पुनः	re
अवाप्नोतु	reach
समाप्य	reached
प्रतिक्रिया	reaction
पठतु	read
पठन	reading
आत्त	ready
वास्तविक	real
वास्तविकतया	reality
अनुभूत	realized
यथार्थत	really
पश्च	rear
कारणम्‌	reason
युक्तियुक्त	reasonable
प्रत्यावर्तन	recall
प्राप्त	receipt
प्राप्नोतु	receive
प्राप्तः	received
सद्यस्क	recent
सद्यः	recently
ग्रहण	reception
व्यंजनं	recipe
साहसिक	reckless
स्वीकृति	recognition
प्रत्यभिजानातु	recognize
प्रशंसति	recommend
प्रस्तावित	recommended
अभिलेख	record
समुच्छ्वस्	recover
पुनर्प्राप्ति	recovery
आयत	rectangle
रक्त	red
निष्क्रीणाति	redeem
निष्क्रयण	redemption
व्यर्थ	redundant
आक्षिपति	refer
सन्दर्भः	reference
परावर्तति	reflect
परावर्तन	reflection
जहाति	refrain
शितकः	refrigerator
प्रतिदान	refund
अस्वीकार	refuse
आस्वीकृत	refused
सादर	regard
संबंधे	regarding
अनवेक्ष	regardless
सादर	regards
क्षेत्र	region
पंजीकर्	register
खेदः	regret
नियमित	regular
नियमतः	regularly
अस्वीकार	reject
सम्बद्ध	relate
आसम्बद्ध	related
सम्बन्धः	relationship
संबंधी	relative
संबंधीजनाः	relatives
विनोदयन	relax
मोचनम्‌	release
अनावृता	released
प्रासङ्गिकः	relevant
विश्वसनीयः	reliable
उपशम्	relief
मूचन	relieve
मूचित	relieved
धर्म	religion
धार्मिक	religious
अनिच्छुक	reluctant
विश्वसिति	rely
समभिवर्तते	remain
अवशिष्ट	remaining
लक्षनीय	remarkable
उपचार	remedy
स्मरतु	remember
समनुविद्	remind
स्मरणपत्र	reminder
