un	a
brudet	famous
aduad	fan
gwenterez	fan
aveler	fan
faltazi	fancy
mistr	fancy
cheuc'h	fancy
dreist	fantastic
pell	far
kimiad	farewell
feurm	farm
tieg	farmer
boemus	fascinating
giz	fashion
yun	fast
buan	fast
yunañ	fast
druzoni	fat
tev	fat
tonket	fatal
tonkad	fate
tad	father
engehentiñ	father
skuizhder	fatigue
faot	fault
karetañ	favorite
madober	favour
karetañ	favourite
aon	fear
kaout aon	fear
fest	feast
plu	feather
perzh	feature
perzhioù	features
C'hwevrer	february
poazh	fed up
priz	fee
skodenn	fee
tell-gastiz	fee
magañ	feed
distro	feedback
santout	feel
santadenn	feeling
treid	feet
diskar	fell
kouezhañ	fell
keneil	fellow
santet	felt
parez	female
kloued	fence
strujus	fertile
festival	festival
mont da gerc'hat	fetch
terzhienn	fever
nebeut	few
nebeutoc'h	fewer
danvez-pried	fiance
faltazi	fiction
tachenn	field
park	field
domani	field
feuls	fierce
garv	fierce
kriz	fierce
pemzek	fifteen
hanter-kant	fifty
emgann	fight
en em gannañ	fight
emgann	fighting
tudenn	figure
sifr	figure
empentiñ	figure
kavout	figure out
kompren	figure out
restr	file
diellaouiñ	file
teuliad	file
leuniañ	fill
leun	filled
film	film
heugus	filthy
a-benn ar fin	finally
arc'hant	finance
arc'hantel	financial
kavout	find
kavout	find out
dizoleiñ	find out
mat	fine
tell-gastiz	fine
biz	finger
echuiñ	finish
echuet	finished
tennañ	fire
tan	fire
kadarn	firm
kentañ	first
da gentañ	first
anv-bihan	first name
pesk	fish
pesketa	fish
dereat	fit
pemp	five
dresañ	fix
dreset	fixed
banniel	flag
luc'hedenn	flash
ranndi	flat
plat	flat
stabil	flat
si	flaw
disi	flawless
kelienenn	flee
tec'hout	flee
kig	flesh
nijet	flew
plegadenn	flex
plegañ	flex
gwevn	flexible
nijadenn	flight
eilpennañ	flip
lamm	flip
distreiñ	flip
dousetiñ	flirt
o kudenniñ	flirting
bezañ war-neuñv	float
dour-beuz	flood
estaj	floor
pondalez	floor
leur	floor
bleud	flour
redek	flow
red	flow
bleunienn	flower
grip	flu
flour	fluent
flour	fluently
blot	fluffy
levn	fluffy
liñvenn	fluid
berus	fluid
kelienenn	fly
nijal	fly
sipañ e spered	focus
latar	fog
latarek	foggy
plegañ	fold
tudoù	folks
heuliañ	follow
heuliañ	follow up
da-heul	following
boued	food
foll	fool
touellañ	fool
sot	foolish
troad	foot
mell-droad	football
evit	for
Da skouer	For example
da skouer	for instance
evidoc'h	for you
difennet	forbidden
nerzh	force
rakwelet	forecast
diawelet	forecast
diaweladenn	forecast
tal	forehead
estren	foreign
koad	forest
da viken	forever
disoñjal	forget
pardoniñ	forgive
disoñjet	forgot
skalf	fork
fourchetez	fork
kroashent	fork
stumm	form
furmskrid	form
stummañ	form
furmel	formal
bet	former
dre eurvad	fortunately
eurvad	fortune
peadra	fortune
daou-ugent	forty
daou ha daou-ugent	forty-two
kas pelloc'h	forward
war-raok	forward
magañ	foster
stourmet	fought
kavet	found
diazezadur	foundation
pevar	four
pevarzek	fourteen
louarn	fox
bresk	fragile
stern	frame
framm	framework
felliezh	fraud
touell	fraud
istrogell	freak
evit netra	free
dieubiñ	free
dieub	free
frankiz	freedom
rev	freeze
skornañ	freeze
reoliegezh	frequency
alies	frequent
alies	frequently
fresk	fresh
Gwener	friday
yenerez	fridge
mignon	friend
gant mignoniezh	friendly
mignoned	friends
mignoniezh	friendship
spouronet	frightened
spouronus	frightening
ran	frog
a-berzh	from
eus	from
tal	front
skornet	frozen
frouezh	fruit
frustret	frustrated
atizañ	fuel
trelosk	fuel
foulaeg	Fulfulde
leun	full
klok	full
fent	fun
arc'hwel	function
diazez	fundamental
obidoù	funeral
fentus	funny
feur	fur
fuloret	furious
arrebeuri	furniture
pelloc'h	further
a zo muioc'h	furthermore
dazont	future
gounit	gain
c'hoari	game
toull	gap
karrdi	garage
lastez	garbage
liorzh	garden
kignen	garlic
kloued	gate
strollañ	gather
emvod	gathering
priziañ	gauge
jaoj	gauge
a roe	gave
dafar	gear
gwikefre	gear
rod dantek	gear
jener	gender
hollek	general
jeneral	general
dre-vras	generally
genel	generate
rummad	generation
brokus	generous
den speredek-dreist	genius
jener	genre
jentil	gentle
gwirion	genuine
jestr	gesture
tapout	get
laka da zilhad	get dressed
sevel	get up
mont war well buan	get well soon
lakaat	getting
kaout	getting
tasmant	ghost
gouleier displann	ghosting
ramz	giant
prof	gift
jinjebr	ginger
plac'h	girl
mignonez	girlfriend
reiñ	give
dilezel	give up
roet	given
plijet	glad
sell	glance
gwerenn	glass
lunedoù	glasses
spurmantiñ	glimpse
hollek	global
teñval	gloomy
manegoù	gloves
skediñ	glow
skedus	glow up
peg	glue
mont	go
kae	go
bec'h dezhi	go ahead
kae kuit	go away
kae da gousket	go to bed
pal	goal
palioù	goals
gavr	goat
doue	god
Doue d'ho pennigo	god bless you
a ya	goes
o vont	going
o vont da	going to
aour	gold
aet	gone
bezañ o vont da	gonna
glud	goo
gel	goo
mat	good
endervezh mat	good afternoon
kenavo	good bye
deiz mat	good day
noz vat	good evening
labour mat	good job
neuziet kaer	good looking
chañs vat	good luck
demat	good morning
demat labousig	good morning my love
noz vat	good night
kenavo	goodbye
noz vat	goodnight
madoù	goods
Google	Google
Google Treiñ	Google Translate
gwaz	goose
kaer-kenañ	gorgeous
latenniñ	gossip
en deus bet	got
he deus bet	got
intentet	got it
gouarnamant	government
tapout krog e	grab
derez	grade
pazenn-ha-pazenn	gradually
tapout e ziplom	graduate
greun	grain
grataat	grant
yalc'had	grant
asantet	granted
grataet	granted
lakaomp	granted
rezin	grapes
tapout krog en un dra bennak	grasp
geot	grass
anaoudek	grateful
anaoudegezh vat	gratitude
grevus	grave
bez	grave
gris	gray
meur	great
dreist	great
c'hoantegezh	greed
pizh-skragn	greedy
glasvez	green
gwer	green
ekologel	green
saludiñ	greet
salud	greeting
gourc'hemennoù	greetings
gris	grey
rouedad	grid
kael	grid
glac'har	grief
malañ	grind
dornell	grip
tapout krog	grip
stardañ	grip
ispiserezh	grocery
ober war-dro	groom
danvez-pried	groom
pried	groom
heugus	gross
splann	gross
kriz	gross
leur	ground
strollad	group
kresk	grow
kreskiñ	grow
kresk	growth
gouerous	grumpy
guaranieg	Guarani
gwarantiñ	guarantee
gward	guard
divinout	guess
ostiz	guest
linenn-stur	guidance
alioù	guidance
heñcher	guide
heñchañ	guide
kablus	guilty
paotr	guy
paotred	guys
embregerezh-korf	gym
jiminas	gym
boaz	habit
annez	habitat
en deus bet	had
he deus bet	had
grizilh	hail
blev	hair
hanter	half
hall	hall
dorn	hand
embreger	handle
mistr	handsome
krougañ	hang
kantren	hang out
c'hoarvezout	happen
c'hoarvezet	happened
eürusted	happiness
laouen	happy
deiz-ha-bloaz laouen	happy birthday
deiz-ha-bloaz laouen deoc'h	happy birthday to you
bloavezh mat	happy new year
kalet	hard
a-boan	hardly
koulz lavaret morse	hardly ever
gloazadur	harm
gloazañ	harm
gloazus	harmful
kendoniezh	harmony
garv	harsh
eost	harvest
en deus	has
kasoni	hate
hon eus	have
devezh mat	have a good day
devezh mat deoc'h	have a nice day
leinañ	have breakfast
kaout plijadur	have fun
ha debret ez peus	have you eaten
kaout	having
arvar	hazard
brumenn	haze
displann	haze
moged	haze
eñ	he
eñ en deus	he has
eñ zo	he is
mont war-zu	head
penn	head
kadoriañ	head
poan-benn	headache
pareañ	heal
pareañ	healing
yec'hed	health
yac'h	healthy
deskiñ	hear
klevet	hear
klevet anv	hear
klevet	heard
kreiz	heart
kalon	heart
gwrez	heat
tommañ	heat
neñv	heaven
pounner	heavy
trubuilhus	hectic
uhelder	height
ment	height
barr	height
hêr	heir
laerezh	heist
aozet	held
dalc'het	held
miret	held
ifern	hell
Salud deoc'h	Hello
salud bihan	hello dear
salud penaos emañ kont	hello how are you
demat penaos emañ kont	hello how are you doing
tokarn	helmet
sikour	help
talvoudus	helpful
dre se	hence
hi	her
bagad	herd
amañ	here
hêrezh	heritage
termal	hesitate
Salud	Hey
Salud	Hi
salud, mont a ra	hi how are you
ac'hanta tudoù	Hi there
kuzhet	hidden
kuzhat	hide
urzhaz	hierarchy
uhel	high
barr	highlight
lakaat war wel	highlight
tro-vale	hike
pourmenadenn	hike
pourmen	hiking
farsus	hilarious
tuchenn	hill
hennezh	him
damlavaret	hint
damveneg	hint
lez	hip
divlez	hips
enfredañ	hire
oc'h enfredañ	hiring
e	his
istor	history
disoc'h	hit
stokenn	hit
skeiñ	hit
Hmm	Hmm
diverr-amzer	hobby
aozañ	hold
derc'hel	hold
levezon	hold
derc'hel krog	hold on
toull	hole
vakañsoù	holiday
kleuz	hollow
ar gêr	home
ti	home
deverioù	homework
onest	honest
evit gwir	honestly
mel	Honey
Karedig	Honey
enor	honor
enoriñ	honor
kabell	hood
krog	hook
sailhañ	hop
spi	hope
kaout spi	hope
hetiñ	hope
emichañs	hopefully
dizesper	hopeless
a-led	horizontal
korn	horn
spontus	horrible
spont	horror
marc'h	horse
ospital	hospital
bod	hospitality
aozañ	host
ostiz	host
buhezour	host
enebet	hostile
tomm	hot
brout	hot
kras	hot
leti	hotel
eur	hour
eurioù	hours
ti	house
tiegezh	household
oaled	household
penaos	how
henvroad	how about you
ha ganeoc'h	how about you
mont a ra	how are you
penaos emañ kont	how are you doing
penaos emañ kont hiziv	how are you doing today
penaos emaout hiziv	how are you today
plijet on oc'h ober anaoudegezh ganeoc'h	how do you do
penaos eo	how is
pet	how many
pegement	how much
pegen alies	how often
pe oad oc'h	how old are you
penaos eo bet hiziv	how was your day
mat ez peus kousket	how was your night
koulskoude	however
poent-kej	hub
kreiz	hub
kroashent	hub
gwaz	hubby
briata	hug
bras-meurbet	huge
denel	human
uvel	humble
gleb	humid
glebor	humidity
kant	hundred
naoniek	hungry
chaseal	hunt
korventenn	hurricane
mall	hurry
hastañ buan	hurry up
ober poan	hurt
gloazañ	hurt
gloaz	hurt
gwaz	husband
hastañ buan	hustle
lochenn	hut
yec'hederezh	hygiene
me	I
me zo	I am
Mat emaon	I am fine
Gallout a ran	I can
Ne c'hallan ket	I can't
Ober a ran	I do
n'ouzon ket	I do not know
Ne gomprenan ket	I do not understand
ne labouran ket	I don't
N'ouzon ket	I don't know
Ne gomprenan ket	I don't understand
ne gomprenan ket ar pezh ar pezh a fell dit lavaret	I don't understand what you mean
ne gomprenan ket ar pezh ar pezh a fell deoc'h lavaret	I don't understand what you mean
Ne gomprenan ket ac'hanoc'h	I don't understand you
n'ouzon ket	I don’t know
Ne gomprenan ket	I don’t understand
divinout a ran	i guess
me am boa	I had
me am eus	I have
bet on bet	I have been
emichañs	I hope so
gouzout a ran	I know
Plijout a ra din	I like
pljout a rez din	I like you
karout a ran	I love
karout a ran ma breur bras	I love my big brother
karout a ran ma c'hoar vras	I love my big sister
karout a ran ma zad	I love my father
karout a ran ma breur bihan	I love my little brother
karout a ran ma c'hoar vihan	I love my little sister
karout a ran ma mamm	I love my mother
karet out ganin	I love you
Karout a ran ac'hanout kement	I love you so much
Da gaout a ran me ivez	I love you too
a soñj din	I mean
diouer a rez din	I miss you
diouer a rez din spontus	I miss you so much
gwelet a ran	I see
Soñjal a ran	I think
kompren a ran	I understand
c'hoant am eus	I want
c'hoant am eus da welet ac'hanout	I want to see you
Ezhomm am eus ac'hanout	I want you
Me a oa	I was
Ober a rin	I will
me a vefe	I would be
me zo	I'm
mat emaon	I'm fine
mat emaon	I'm good
amañ emaon	I'm here
mantret on	I'm sorry
skorn	ice
dienn-skorn	ice cream
mennozh	idea
peurvat	ideal
heñvel	identical
anaout	identify
identelezh	identity
diot	idiot
vak	idle
arouarek	idle
ma	if
lezel a-gostez	ignore
klañv	ill
er-maez lezenn	illegal
kleñved	illness
ilokanoeg	Ilocano
skeudenn	image
ijinañ	imagine
diouzhtu	immediate
diouzhtu	immediately
divent	immense
skog	impact
skogañ	impact
dibasiant	impatient
lakaat e plas	implement
enporzhiañ	import
pouezus	important
gourlakaat	impose
dibosupl	impossible
balpiñ	impress
soñj	impression
moulladenn	impression
bamus	impressive
gwellaat	improve
gwellaenn	improvement
e	in
ouzhpenn-se	in addition
Evit gwir	In fact
a-dal da	in front of
a-benn	in order to
amzere	inappropriate
broudus	incentive
draen	incident
gwallzarvoud	incident
ebarzhiñ	include
en o zouez	including
kred	income
trubuilh	inconvenience
kudenn	inconvenience
kresk	increase
kreskiñ	increase
kresket	increased
digredus	incredible
da vat	indeed
dizalc'h	independent
India	India
diskouez	indicate
engenidik	indigenous
hiniennel	individual
industriezh	industry
ret	inevitable
krouadur	infant
poread	infection
anfin	infinity
tanijenn	inflammation
monc'hwez	inflation
levezon	influence
levezoniñ	influence
kelaouiñ	inform
keloù	information
aozennoù	ingredients
hêrezh	inheritance
orin	initial
deroù	initial
lizherenn-dal	initial
intrudu	initiative
gloazet	injured
gloaz	injury
digablus	innocent
nevezadur	innovation
enklask	inquiry
foll	insane
digredus	insane
diboell	insane
amprevan	insect
diasur	insecure
enlakaat	insert
e diabarzh	inside
rakwel	insight
pouezañ	insist
anhun	insomnia
awen	inspiration
enanalañ	inspire
staliañ	install
degouezh	instance
red	instant
prantad	instant
prim	instant
e-lec'h	instead
e-lec'h	instead of
kemennoù	instructions
benveg	instrument
kunujenniñ	insult
kunujenn	insult
asurañs	insurance
anterin	intact
antenrinded	integrity
intellektual	intellectual
speredegezh	intelligence
speredek	intelligent
fellout	intend
soñjet	intended
kreñv	intense
youl	intention
mont e darempred gant	interact
etreoberiaduur	interaction
interest	interest
dedennet	interested
dedennus	interesting
emellout	interfere
etre	intermediate
diabarzh	internal
etrebroadel	international
staj	internship
jubennour	interpret
dielfennañ	interpret
jubennour	interpreter
kaner	interpreter
troc'hañ	interrupt
atersadenn	interview
diabarzh	intimate
lakaat da grediñ	intimate
e-barzh	into
lakaat e-barzh	introduce
kinnig	introduce
digoradur	introduction
entroet	introvert
raksant	intuition
nammet	invalid
ijinañ	invent
renabl	inventory
postañ	invest
imbourc'h	investigate
pedadenn	invitation
pediñ	invite
fakturenniñ	invoice
emplegañ	involve
empleget	involved
dir	iron
zo	is
eo	is
enez	island
digenvez	isolated
poent	issue
kudenn	issue
poentoù	issues
kudennoù	issues
an dra-se	it
zo	it is
eo	it is
e oa	it was
eo	it's
mat eo	it's ok
mat eo	It's okay
tra	item
traoù	items
e	its
he	its
Me zo	I’m
chupenn	jacket
bac'h	jail
Genver	January
pod	jar
krenañ	jar
javed	jaw
gwarizius	jealous
beulke	jerk
bravigoù	jewelry
labour	job
redek	jogging
emezelañ	join
bodañ	join
kenstroll	joint
boutin	joint
farsadenn	joke
farsal	joke
kazetenner	journalist
beaj	journey
levenez	joy
barner	judge
barn	judge
chug	juice
Gouere	july
lammat	jump
Mezheven	june
stlepel	junk
lastez	junk
nemet	just
hepken	just
bec'h dezhi	just do it
justis	justice
reizhabegiñ	justify
greunlandeg	Kalaallisut
entanet	keen
mirout	keep
tour-meur	keep
gwareziñ	keep
kendalc'hit	keep it up
miret	kept
kitell	kettle
alc'hwez	key
tennañ	kick
taol-troad	kick
bugel	kid
farsal	kidding
lounezh	kidney
bugale	kids
lazhañ	kill
jentil	kind
seurt	kind
doare	kinda
seurt	kinda
gant madelezh	kindly
madelezh	kindness
roue	king
pok	kiss
pokat	kiss
kegin	kitchen
sarpant-nij	kite
kizhier bihan	kitten
glin	knee
a ouie	knew
a anaveze	knew
kontell	knife
marc'heg	knight
gouzout	know
anavezout	know
anaoudegezh	knowledge
anavezet	known
konkaneg	Konkani
krioeg	Krio
tikedenn	label
rummata	label
tikedenniñ	label
labour	labor
tud labour	labour
labour	labour
diouer	lack
skeul	ladder
itron	lady
pozet	laid
gourvezet	laid
lakaet	laid
lenn	lake
oan	lamb
kamm	lame
lamp	lamp
douar	land
bro	land
gweledva	landscape
yezh	language
barlenn	lap
tro	lap
ledan	large
diwezhañ	last
erfin met hep klozañ	last but not least
anv-familh	last name
diwezhat	late
er mareoù-mañ	lately
diwezhatoc'h	later
diwezhañ	latest
diwezhatoc'h	latter
c'hoarzh	laugh
c'hoarzhin	laugh
c'hoarzhin	laughing
c'hoarzhin	laughter
loc'hañ	launch
kannerezh	laundry
lezenn	law
leton	lawn
breutaer	lawyer
gourvezañ	lay
gwiskad	layer
gwiskadiñ	layer
kinkladur	layout
pajennaozañ	layout
lezirek	lazy
intrudu	lead
sturiañ	lead
plom	lead
penn	leader
bleiner	leader
delienn	leaf
diflipañ	leak
diskuilhañ	leak
berañ	leak
treutik	lean
lammat	leap
deskiñ	learn
deskadurezh	learning
o teskiñ	learning
feurm	lease
feurmiñ	lease
nebeutañ	least
lêr	leather
mont kuit	leave
lezel	leave
ehan	leave
delioù	leaves
bleinet	led
kleiz	left
aet kuit	left
gar	leg
hêrezh	legacy
hervez lezenn	legal
mojenn	legend
diouzh lezenn	legit
dudi	leisure
asantiñ	lend
kinnig	lend
prestañ	lend
hirder	length
nebeutoc'h	less
kentel	lesson
lezel	let
talvezout	let
feurmiñ	let
lizher	letter
letuz	lettuce
kompezañ	level
liveañ	level
live	level
tennañ splet	leverage
atebegezh	liability
levraoueg	library
lipat	lick
gaou	lie
livañ gevier	lie
gourvez	lie
gevier	lies
buhez	life
pignerez	lift
gouloù	light
sklaer	light
skañv	light
arnev	lightning
luc'hedenn	lightning
plijout	like
moarvat	likely
ouzhpenn-se	likewise
linenn	line
lingalaeg	Lingala
liammañ	link
liamm	link
leon	lion
liñvenn	liquid
roll	list
rollañ	list
selaou	listen
o selaou	listening
ger ha ger	literally
lennegezh	literature
strobañ	litter
lastez	litter
nebeut	little
bevañ	live
avu	liver
buhezhioù	lives
bev	living
micher	living
doare-bevañ	living
saloñs	living room
glazard	lizard
kargañ	load
torzh-vara	loaf
amprest	loan
den eus ar vro	local
lec'hel	local
lec'h	location
prennañ	lock
prenn	lock
kenfinañ	lockdown
enrollañ	log
marilh	log
kevreañ	log
NAF	lol
en e-unan	lonely
pell	long
hir	long
pell a oa	long time no see
sellet	look
sell	look
lagadenn	loop
laosk	loose
leuskel	loose
aotrou	lord
koll	lose
koll	loss
aet da get	lost
kollet	lost
tachenn	lot
kalz	lot
uhel	loud
kreñv	loud
saloñs	lounge
karout	love
karantez	love
da garout a ran	love you
brav	lovely
izel	low
izeloc'h	lower
leal	loyal
lealded	loyalty
chañs	luck
chañsus	lucky
gandaeg	Luganda
malizenn	luggage
kreskenn	lump
tamm	lump
treziad	lump
merenn	lunch
skevent	lungs
aez	luxury
gourvezet	lying
o livañ gevier	lying
mekanik	machine
foll	mad
itron	madam
graet	made
kelaouenn	magazine
meurdezus	magnificent
matezh	maid
pennañ	main
derc'hel	maintain
ratre	maintenance
maithileg	Maithili
major	major
bras	major
muianiver	majority
ober	make
ijinañ	make up
fardañ	make up
mont d'ober	make up
par	male
kreizenn-genwerzh	mall
den	man
dont a-benn	manage
reoliñ	management
melestrer	manager
rekis	mandatory
manifestiñ	manifest
embregata	manipulate
merat	manipulate
doareoù	manner
dornlevr	manual
kalz	many
un devezh kaer a hetan dit	many many happy returns of the day
Meurzh	march
marz	margin
marc'had	market
eured	marriage
dimezet	married
maskl	mask
oferenn	mass
a-vras	mass
hollek	massive
mestroniañ	master
mestr	master
alumetez	match
parañ	match
krogad	match
mignon	mate
danvezel	material
danvez	material
mat	math
kraf	matter
danvez	matter
kontañ	matter
darevidigezh	maturity
gallout	may
marteze	maybe
me	me
me ivez	me too
pred	meal
drouk	mean
talvezout	mean
ster	meaning
doareoù	means
peadra	means
a dalveze	meant
e-keit-se	meanwhile
muzuliañ	measure
diarbenn	measure
muzul	measure
muzulioù	measures
diarbennoù	measures
kig	meat
mezegel	medical
louzoù	medicine
darvesterezh	meditation
krenn	medium
kejañ	meet
en em gavout	meet
klotañ gant	meet
emvod	meeting
meiteieg	Meiteilon
teuziñ	melt
eñvorennoù	memories
eñvor	memory
bredel	mental
psikologel	mental
psikiatrek	mental
meneg	mention
meneget	mentioned
mentor	mentor
marc'hadour	merchant
truez	mercy
a-boan	merely
Nedeleg laouen	merry christmas
stlabez	mess
moc'hañ	mess
kemennadenn	message
diskempenn	messy
metal	metal
hentenn	method
logod	mice
kreiz	middle
hanternoz	midnight
galloud	might
skañv	mild
kerreizh	mild
bonn	milestone
milourel	military
laezh	milk
milion	million
teurel evezh	mind
spered	mind
empenn	mind
stad spered	mindset
mengleuz	mine
din	mine
ober anaoudegezh	mingle
en em veskañ	mingle
minor	minor
dister	minor
bihan	minor
munut	minute
rentañ-kont	minutes
munutoù	minutes
burzhud	miracle
melezour	mirror
kilseller	mirror
dasskediñ	mirror
a bep seurt	miscellaneous
ravailhon	mischievous
truezus	miserable
mizer	misery
fazi	miss
mankout	miss
dimezell	miss
diouer a rez din	miss you
diank	missing
kefridi	mission
latar	mist
fazi	mistake
mizoeg	Mizo
hezoug	mobile
ober goap	mock
patrom	model
habask	moderate
modern	modern
uvel	modest
gleb	moist
glebor	moisture
moull	mold
goz	mole
mammig	mom
mare	moment
Lun	monday
arc'hant	money
kontrolliñ	monitor
marmouz	monkey
miz	month
aergelc'h	mood
imor	mood
gwallimor	mood
ginus	moody
loar	moon
moral	moral
muioc'h	more
a zo gwell	moreover
mintin	morning
arouestl	mortgage
muiañ	most
dreist-holl	mostly
mamm	mother
goulenn	motion
dilec'hiadenn	motion
kinnig	motion
youl	motivation
menez	mountain
logodenn	mouse
genoù	mouth
fiñval	move
fiñv	move
fiñv	movement
film	movie
It.	mrs
re	much
kalz	much
fank	mud
tasenn	mug
kigenn	muscle
mirdi	museum
tog-touseg	mushroom
sonerezh	music
rankout	must
redi	must
mut	mute
ken	mutual
ma	my
Ma faotr	My dear
ma mignon	my friend
Leun eo ma dourruzer gant sili	My hovercraft is full of eels
ma c'harantez	my love
ma anv eo	my name is
ar blijadur zo din	my pleasure
me ma-unan	myself
kevrinus	mysterious
kevrin	mystery
mojenn	myth
tach	nail
ivin	nail
hegredik	naive
envel	name
anv	name
dezrevell	narrative
strizh	narrow
vil	nasty
broadel	national
broadelezh	nationality
genidik	native
naturel	natural
natur	nature
heug	nausea
tost	near
e-tal-kichen	nearby
tost	nearly
naet	neat
ret	necessary
gouzoug	neck
kilpenn	neck
strizh-douar	neck
tro-c'houzoug	necklace
ezhomm	need
negativel	negative
dibalamour	neglect
marc'hata	negotiate
amezeg	neighbor
amezeien	neighborhood
kennebeut	neither
hini ebet	neither
niz	nephew
razh urzhiataer	nerd
nervennek	nervous
neizh	nest
roued	net
rouedad	network
neptu	neutral
nepreizh	neutral
morse	never
dalc'h krog bepred	never give up
ne vern	never mind
ne vern	nevermind
kement-se lavaret	nevertheless
nevez	new
keleier	news
kentañ	next
e-kichen	next to
mat	nice
jentil	nice
brav	nice
ur blijadur eo ober anoudegezh ganeoc'h	nice to meet you
nizez	niece
noz	night
gwallhunvre	nightmare
nav	nine
naontek	nineteen
dek ha pevar-ugent	ninety
Ket	No
kudenn ebet	no problem
e mod ebet	no way
den ebet	nobody
trouz	noise
trouzus	noisy
hini ebet	none
kreisteiz	noon
nann	nope
nag	nor
na	nor
normal	normal
norzh	north
fri	nose
hiraezhus	nostalgic
ket	not
tamm ebet	not at all
madik	not bad
Ket bremañ	Not now
ket c'hoazh	not yet
notenniñ	note
notenn	note
notennet	noted
netra	nothing
kemenn	notice
merzet	noticed
anv	noun
anvioù	nouns
danevell	novel
Du	november
bremañ	now
evit an deizioù	nowadays
noaz	nuisance
null	null
genaoueg	numb
niver	number
klañvdiourez	nurse
magerez	nurse
kraoñenn	nut
muskadez	nutmeg
magadurezh	nutrition
le	oath
teuc'hegezh	obesity
sentiñ	obey
traezenn	object
pal	objective
redi	obligation
teñval	obscure
arselladenn	observation
arsellet	observe
trelatet	obsessed
trelat	obsession
dispredet	obsolete
skoilh	obstacle
dont a-benn da gaout	obtain
en deus bet	obtained
he deus bet	obtained
anat	obvious
anat deoc'h	obviously
a-wechoù	occasionally
ac'hubadur	occupation
micher	occupation
ac'hubet	occupied
c'hoarvezout	occur
c'hoarvezet	occurred
a cʼhoarvez	occurs
meurvor	ocean
Here	october
iskis	odd
drol	odds
eus	of
evel-just	of course
fall	off
lazhet	off
e vakañsoù	off
tagus	offensive
kinnig	offer
burev	office
ofisiel	official
alies	often
Hopala	Oh
Ac'ha, evit gwir	oh really
eoul	oil
mat eo	ok
mat eo er mod-se	ok dear
mat eo karedig	ok honey
mat eo karedig	ok my love
mat eo	okay
mat eo bihan	okay baby
mat eo ken ez eo	okay dear
mat eo evel-se	okay honey
mat eo labousig	okay my love
kozh	old
war enaou	on
war	on
ur wech	once
unan	one
ne vez morse a-walc'h gant ur yezh nemetken	one language is never enough
ognon	onion
enlinenn	online
hepken	only
boulc'hañ	open
digor	open
digeriñ	open
oberatadenn	operation
obererezh	operation
soñj	opinion
digarezioù	opportunities
chañsoù	opportunities
chañs	opportunity
rag-enep	opposite
gwellwelaus	optimistic
dibarzh	option
diret	optional
pe	or
orañjez	orange
urzh	order
urzhiañ	order
boas	ordinary
aozadur	organization
tuadur	orientation
orin	origin
orin	original
dibar	original
oromoeg	Oromo
emzivad	orphan
all	other
mod-all	otherwise
dleout	ought
hon	our
Hor c'hefridi : lakaat pep hini, ne vern pelec'h e ve o chom, da gompren ar bed ha da ezteurel e soñj en tu all d'ar yezhoù	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Hor c'hefridi : aozañ roadennoù ar bed ha lakaat anezho e kerz an holl ha talvoudus d'an holl	Our mission: to organize the world's information and make it universally accessible and useful.
er-maez	out
disoc'h	outcome
skipailh	outfit
gwiskamant	outfit
dilhad	outfit
eztroet	outgoing
diskarg	outlet
stal	outlet
skarzhadenn	outlet
ezlinenn	outline
er-maez	outside
dispar	outstanding
forn	oven
echu	over
dreist	over
du-hont	over there
penn-da-benn	overall
en holl	overall
mont dreist da	overcome
rebrederiañ	overthinking
badaouet	overwhelmed
dic'houzañvus	overwhelming
dleout	owe
toud	owl
kaouenn	owl
perc'hennañ	own
perc'henn	owner
ejen	ox
kammed	pace
sac'h	pack
pakañ	pack
pakad	pack
pakadur	package
paeet	paid
poan	pain
livañ	paint
livadur	painting
livañ	painting
par	pair
disliv	pale
palv	palm
palmez	palm
paelon	pan
pandemiezh	pandemic
pennfollañ	panic
brageier-dindan	pants
slipoù	pants
brageier	pants
paper	paper
pennad-kazetenn	paper
baradoz	paradise
kenstur	parallel
tachenn	parcel
pakata	parcel
pakad	parcel
pardon	pardon
pardoniñ	pardon
tud ar vugale	parents
park	park
peroked	parrot
perisilh	parsley
lodenn	part
kemer perzh	participate
dibar	particular
dreist-holl	particularly
keveler	partner
mignon	partner
gouel	party
tremen-hent	pass
tremen	pass
kartenn	pass
tremen	passage
tremenet	passed
resevet	passed
degemeret	passed
trefu	passion
entanet	passionate
gouzañvus	passive
ger-tremen	password
tremenet	past
takoniñ	patch
plakenn	patch
pezh	patch
gwenodenn	path
mantrus	pathetic
pasianted	patience
pasiant	patient
klañvour	patient
arval	patient
patrom	pattern
ehan	pause
riblenn-straed	pavement
pavez	pavement
hent	pavement
pae	pay
paeañ	pay
paeamant	payment
peoc'h	peace
peoc'hus	peaceful
pechez	peach
barr	peak
pikern	peak
per	pear
piz-bihan	peas
dibar	peculiar
titich	pee
ober titich	pee
peliat	peel
keneil	peer
par	peer
kenlabourer	peer
kenseurted	peers
kreion	pen
kreion	pencil
war c'hortoz	pending
tud	people
pobl	people
pebr	pepper
spurmantiñ	perceive
sell	perception
peurvat	perfect
seveniñ	perform
taol-kaer	performance
marteze	perhaps
mizoù	period
marevezh	period
pik	period
trebadus	permanent
aotre	permission
aotre	permit
aotren	permit
dalc'husted	perseverance
dalc'hus	persistent
padus	persistent
den	person
personel	personal
personelezh	personality
savboent	perspective
