a little	бер аҙ
exhaust	бөтөрөргә
exhaust	йонсоторға
exhausted	бик арыған
exhibit	күрһәтергә ҡуйырға
exhibition	күргәҙмә
exist	булырға
existence	барлыҡ
existing	ғәмәлдәге
exit	сығырға
expand	киңәйтергә
expect	көтөргә
expected	көткән
expenses	сығымдар
expensive	ҡыйбат
experience	тәжрибә
experience	емәнергә
experiment	эксперимент
expert	эксперт
expired	йылы тулған
explain	аңлатырға
explanation	аңлатыу
exploit	иҙергә
exploit	эксплуатацияларға
explore	тикшерергә
export	ситкә сығарырға
export	экспорт
expose	фашларға
exposed	дусар ителгән
exposure	һаҡланмаған булыу
express	белдерергә
expression	әйтем
extend	киңәйтергә
extended	киңәйтелгән
extension	киңәйтеү
extent	күләм
external	тышҡы
extinct	ҡырылып бөткән
extra	өҫтәмә
extract	ташыртырға
extract	өҙөмтә
extract	экстракт
extraordinary	ғәҙәти булмаған
extreme	экстремаль
extreme	сиктән тыш
extremely	бик
eye	күҙ
eyes	күҙҙәр
fabric	туҡыма
fabulous	күркәм
face	ҡаршыларға
face	бит
facilitate	булышырға
facilities	йыһазландырыу
facility	объект
fact	факт
factor	фактор
factory	завод
facts	факттар
fade	шиңергә
fail	уңышһыҙлыҡ
fail	уңышһыҙлыҡҡа осрарға
failed	еңелгән
failure	уңышһыҙлыҡҡа осрау
faint	һуштан яҙырға
fair	аҡһыл
fair	ғәҙел
fairly	урынлы
fairly	дөрөҫ итеп
fairy	әкиәттәге
fairy	фея
faith	ышаныс
faithful	тоғро
fake	ялған
fall	йығылырға
fall	йығылыу
false	ялған
fame	дан
familiar	таныш
family	ғәилә
famine	аслыҡ
famous	танылған
fan	елләткес
fan	һәүәҫкәр
fancy	хыял
fancy	оҡшатырға
fantastic	хыялый
far	алыҫ
farewell	хушлашыу
farm	ферма
farmer	фермер
fascinating	мауыҡтырғыс
fashion	мода
fast	тиҙ
fat	май
fat	һимеҙ
fatal	үлемесле
fate	яҙмыш
father	атай
fatigue	арыу
fault	ғәйеп
favorite	иң яраткан
favour	яҡшы ҡарау
favour	ярҙам
favourite	яратҡан
fear	ҡурҡыу
fear	ҡурҡырға
feast	мәжлес
feather	ҡауырһын
feature	айырылып торорға
feature	сифат
features	сифаттар
february	февраль
fed up	туҡ
fee	түләнес
feed	ашатырға
feedback	һөрәнләнеш
feel	һиҙергә
feeling	тойғо
feet	аяҡтар
fell	йығылып төшкән
fellow	иптәш
felt	һиҙгән
female	ҡатын-ҡыҙ
fence	ҡойма
fertile	үрсеүгә һәләтле
fertile	уңдырышлы
festival	фестиваль
fetch	алып килтерергә
fever	юғары температура
few	аҙ
fewer	аҙыраҡ
fiance	кейәү
fiction	матур әҙәбиәт
fiction	ялған
field	даирә
field	ялан
fierce	ярһыу
fifteen	ун биш
fifty	илле
fight	һуғыш
fight	һуғышырға
fighting	һуғыш
figure	фигура
figure	иҫәпләргә
figure out	асыҡлап белергә
file	файл
fill	тултырырға
filled	тултырылған
film	фильм
film	төшөрөргә
filthy	бып-бысраҡ
finally	ахырҙа
finance	финанстар
financial	финанс
find	табырға
find out	асыҡларға
fine	штраф
fine	яҡшы
finger	бармаҡ
finish	тамамларға
finished	тамамланған
fire	ут
firm	ныҡ
firm	фирма
first	беренсе
first name	исем
fish	балыҡ
fit	тура килергә
five	биш
fix	төҙәтергә
fixed	төҙәтелгән
flag	флаг
flash	момент
flash	сатҡы
flat	йәйпәк
flat	фатир
flaw	етешһеҙлек
flawless	мөнһөҙ
flee	ҡасып ҡотолорға
flesh	тән
flew	осҡан
flex	бөгөргә
flexible	һығылмалы
flight	осош
flip	әйләндерергә
flirt	ҡыйшанлау
flirting	ғишыҡ уйыны
float	йөҙөргә
flood	ташҡын
floor	иҙән
flour	он
flow	ағым
flow	ағырға
flower	сәскә
flu	грипп
fluent	иркен
fluently	иркен
fluffy	ҡабарынҡы йөнлө
fluid	шыйыҡса
fly	осорға
focus	фокус
focus	иғтибарҙы тупларға
fog	томан
foggy	томанлы
fold	бөкләргә
fold	папка
folks	халыҡтар
follow	эйәрергә
follow up	артынан эйәрерга
following	түбәндәге
food	аҙыҡ-түлек
fool	алдарға
fool	алйот
foolish	аҡылһыҙ
foot	аяҡ
football	футбол
for	өсөн
For example	Мәҫәлән
for instance	мәҫәлән
for you	һинең өсөн
forbidden	тыйылған
force	көс
forecast	алдан әйтеп ҡуйыу
forehead	маңлай
foreign	сит илдәге
forest	урман
forever	мәңгелеккә
forget	оноторға
forgive	ғәфү итергә
forgot	онотҡан
fork	сәнске
form	яһарға
form	форма
formal	формаль
former	элекке
fortunately	бәхеткә ҡаршы
fortune	уңыш
fortune	яҙмыш
fortune	байлыҡ
forty	ҡырк
forty-two	ҡырҡ ике
forward	алға
forward	тапшырырға
foster	тәрбиәләп үҫтерергә
fought	һуғышҡан
found	нигеҙ һалырға
found	тапҡан
foundation	нигеҙ
foundation	фонд
four	дүрт
fourteen	ун дүрт
fox	төлкө
fragile	мурт
frame	рам
framework	структура
fraud	мутлыҡ
freak	нишана
free	түләүһеҙ
free	ирекле
freedom	ирек
freeze	туңдырырға
frequency	йышлыҡ
frequent	йышлыҡ
frequently	аҙым һайын
fresh	яңы
friday	йома
fridge	һыуытҡыс
friend	дуҫ
friendly	күңелсәк
friends	дуҫтар
friendship	дуҫлыҡ
frightened	ҡурҡҡан
frightening	ҡурҡыныс
frog	тәлмәрйен
front	ал
frozen	туңдырылған
fruit	емеш-еләк
frustrated	борсоулы
fuel	яғыулыҡ
Fulfulde	фула теле
full	тулы
fun	күңелле
function	эшләргә
function	функция
fundamental	нигеҙ һалыусы
funeral	ерләү
funny	ҡыҙыҡ
fur	йөн
furious	ярһыу
furniture	мебель
further	ары
furthermore	унан да бигерәк
future	киләсәк
gain	эшләп алырға
gain	файҙа
game	уйын
gap	бушлыҡ
garage	гараж
garbage	суп сар
garden	баҡса
garlic	һарымһаҡ
gate	ҡапҡа
gather	йыйынырға
gathering	йыйылышыу
gauge	үлсәргә
gave	биргән
gear	күсергес
gender	гендер
general	генерал
general	дөйөм
generally	ғәҙәттә
generate	етештерергә
generation	етештереү
generation	быуын
generous	йомарт
genius	даһи
genre	жанр
gentle	наҙлы
genuine	ихлас
gesture	ым
get	алырға
get	булырға
get dressed	кейенергә
get up	торорға
get well soon	тиҙерәк һауығығыҙ
getting	ала торған
ghost	шәүлә
ghosting	юҡ булыу
giant	гигант
gift	бүләк
ginger	имбирь
ginger	ерән
girl	ҡыҙ
girlfriend	иптәш ҡыҙы
give	бирергә
give up	бирешергә
given	бирелгән
glad	шат
glance	күҙ ташларға
glass	быяла
glass	стакан
glasses	күҙлек
glimpse	осҡон
global	глобаль
gloomy	ҡараңғы
gloomy	күңелһеҙ
gloves	бирсәткәләр
glow	яҡтыртыу
glow	яҡтырырға
glow up	йәмләнергә
glue	йәбештерергә
glue	елем
go	барырға
go ahead	алға барырға
go away	китәле
go to bed	йоҡларға ятырға
goal	маҡсат
goals	маҡсаттар
goat	кәзә
god	хоҙай
god bless you	иҫән булығыҙ
goes	бара
going	китеп бара
going to	йыйыла
gold	алтын
gone	киткән
gonna	йыйыла
goo	йәбешкәк
good	изгелек
good	һәйбәт
good afternoon	хәйерле көн
good bye	һау булығыҙ
good day	хәйерле көн
good evening	хәйерле кис
good job	бик яҡшы
good looking	сибәр
good luck	уңыштар
good morning	хәйерле иртә
good morning my love	хәйерле иртә һөйөүем
good night	тыныс йоҡо
goodbye	хуш бул
goodnight	тыныс йоҡо
goods	тауарҙар
Google	Гугл
Google Translate	Гугл Тәржемәсе
goose	ҡаҙ
gorgeous	таң ҡалырлыҡ
gossip	ғәйбәт
got	алған
got it	аңланым
government	хөкүмәт
grab	ҡулға алырға
grade	дәрәжә
gradually	аҡрынлап
graduate	тамамлаусы
grain	иген
grant	грант
granted	бирелгән
grapes	виноград
grasp	тотоп алырға
grass	үлән
grateful	баяныслы
gratitude	рәхмәт хисе
grave	ҡәбер
grave	етди
gray	һоро
great	бөйөк
great	бик яҡшы
greed	ҡомһоҙлоҡ
greedy	ҡомһоҙ
green	йәшел
greet	сэлэм әйтергә
greeting	тәбрикләү
greetings	сәләмләү
grey	һоро
grid	селтәр
grief	ҡайғы
grind	ваҡларға
grip	ныҡ итеп тоторға
grocery	бакалея
groom	кейәү
gross	тулайым
ground	нигеҙ
ground	ер
group	төркөм
grow	үҫергә
growth	үҫеү
grumpy	уғыр
Guarani	гуарани теле
guarantee	гарантия
guard	ҡарауылсы
guess	әйтеп ҡарарға
guest	ҡунаҡ
guidance	етәкселәр
guide	йүнәлтергә
guide	өгөтсө
guilty	ғәйепле
guy	егет
guys	егеттәр
gym	тренажер залы
habit	ғәҙәт
habitat	йәшәү мөхите
had	булды
hail	борсаҡ
hail	сәләмләргә
hair	сәс
half	ярты
hall	зал
hand	ҡул
handle	еңеп сығырға
handle	тотҡа
handsome	матур
hang	элергә
hang out	һәптәнләп йөрөргә
happen	килеп сығырға
happened	булған
happiness	бәхет
happy	бәхетле
happy birthday	тыуған көнөң менән
happy birthday to you	тыуған көнөң менән
happy new year	яңы йыл менән
hard	ауыр
hard	ҡаты
hardly	саҡ ҡына
hardly ever	бик һирәк
harm	зарар
harm	зарар итергә
harmful	зарарлы
harmony	аһәңлелек
harsh	тупаҫ
harsh	аяуһыҙ
harvest	уңыш
has	бар
hate	дошман күрергә
have	бар
have a good day	уңышлы көн һиңә
have a nice day	көнөң яҡшы булһын
have breakfast	иртәнге ашты ашарға
have fun	күңел асырға
have you eaten	һин ашағаның бар мы
having	биләү
hazard	хәүеф-хәтәр
haze	еңел томан
he	ул
he has	уныҡы бар
he is	ул
head	баш
head	етәкселек итергә
headache	баш ауыртыу
heal	төҙәлергә
heal	именәйтергә
healing	дауалау
health	һаулыҡ
healthy	һау
hear	ишетергә
heard	ишеткән
heart	йөрәк
heat	йылы
heat	именәйтергә
heaven	йәннәт
heavy	ауыр
hectic	биҙгәк
height	буй
heir	вариҫ
heist	талау
held	тотҡан
hell	тамуҡ
Hello	Һаумыһығыҙ
hello dear	һаумы ҡәҙерлем
hello how are you	сәләм ни хәлдәр
hello how are you doing	һаумырығыҙ хэлдэрегеҙ нисек
helmet	шлем
help	ярҙам итергә
helpful	файҙалы
hence	биннәтижә
her	уны
herd	көтөү
here	бында
heritage	мираҫ
hesitate	шикләнеү
Hey	Сәләм
Hi	Сәләм
hi how are you	сәләм хәлдәр нисек
Hi there	Сәләм
hidden	йәшерелгән
hide	йәшерергә
hierarchy	иерархия
high	юғары
highlight	билдәләргә
hike	походҡа барырға
hiking	йәйәүле туризм
hilarious	бик күңелле
hill	уба
him	уны
hint	ишара
hip	бот
hips	янбаш
hire	ялларға
hiring	яллау
his	уның
history	тарих
hit	һуғырға
Hmm	Хмм
hobby	хобби
hold	тотоп торорға
hold on	тороп тор
hole	тишек
holiday	байрам
hollow	эсе ҡыуыш
home	өй
homework	өйгә эш
honest	намыҫлы
honestly	намыҫлы
Honey	йөрәкәйем
Honey	Бал
honor	ихтирам
hood	капюшон
hook	ырғаҡ
hop	һикерергә
hope	өмөт
hope	өмөтләнергә
hopefully	өмөт менән
hopeless	өмөтһөҙлөк
horizontal	горизонталь
horn	мөгөҙ
horrible	ҡот осҡос
horror	ҡурҡыныслыҡ
horse	ат
hospital	дауахана
hospitality	ҡунаҡсыллыҡ
host	хужа
host	үткәрергә
hostile	дошманлыҡ
hot	эҫе
hotel	ҡунаҡхана
hour	сәғәт
hours	сәғәт
house	йорт
household	йорт хужалыҡ
how	нисек
how about you	һинең хаҡта
how are you	хәлдәр нисек
how are you doing	хәлдәр нисек
how are you doing today	хәлдәрең нисек бөгөн
how are you today	һин бөгөн нисек
how do you do	хәл-әхүәлдәрең нисек
how is	нисек
how many	нисә
how much	күпме
how often	йыш мы
how old are you	һиңә нисә йәш
how was your day	көнөң нисек үтте
how was your night	төнөң нисек үтте
however	әммә
hub	хаб
hubby	ирекаем
hug	ҡосаҡлау
hug	ҡосаҡларға
huge	бик ҙур
human	әҙәм
humble	тыйнаҡ
humid	дымлы
humidity	дымлылыҡ
hundred	йөҙ
hungry	ас
hunt	һунар
hurricane	ҡойон
hurry	ҡаваланырға
hurry up	тиҙерәк
hurt	бәлектергә
husband	ир
hustle	ығы-зығы
hustle	ығы-зығы килергә
hut	бәләкәй өй
hygiene	гигиена
I	Мин
I am	мин
I am fine	Минең барыһы ла яҡшы
I can	мин алам
I can't	мин алмайым
I do	Эйе
I do not know	мин белмәйем
I do not understand	Мин аңламайым
I don't	мин түгел
I don't know	мин белмәйем
I don't understand	Мин аңламайын
I don't understand what you mean	Һин нимә әйтергә теләгәнеңде мин аңламайым
I don't understand you	Мин һине аңламайым
I don’t know	мин белмәйем
I don’t understand	мин аңламайым
i guess	тип уйлайым
I had	Миндә булған ине
I have	миндә бар
I have been	мин булдым
I hope so	шулай булыр тип өмөтләнәм
I know	мин беләм
I like	Миңә оҡшай
I like you	һин миңә оҡшайһың
I love	мин яратам
I love my big brother	Мин ағайымды яратам
I love my big sister	Мин апайымды яратам
I love my father	Мин атайымды яратам
I love my little brother	Мин ҡустымды яратам
I love my little sister	Мин һеңлемде яратам
I love my mother	Мин әсәйемде яратам
I love you	Мин һине яратам
I love you so much	мин һине шул тиклем яратам
I love you too	мин дә һине яратам
I mean	мин әйтергә теләйем
I miss you	мин һине һағынғынмын
I miss you so much	мин һине бик һағынам
I see	күрәм
I think	тип уйлайым
I understand	мин аңлайым
I want	мин теләйем
I want to see you	һине күргем килә
I want you	мин һине теләйем
I was	мин булдым
I will	мин
I would be	мин булыр инем
I'm	мин
I'm fine	Минең барыһы ла һәйбәт
I'm good	минең барыһы ла яҡшы
I'm here	мин бында
I'm sorry	ғәфү ит мине
ice	боҙ
ice cream	туңдырма
idea	идея
ideal	идеаль
identical	берҙәй
identify	айыра сисергә
identity	шәхсиәт
idiot	йүләр
idle	һыбай
if	әгәр
ignore	иғтибарһыҙ ҡалдырырға
ill	сирле
illegal	законһыҙ
illness	ауырыу
Ilocano	илокано теле
image	һүрәт
imagine	күҙ алдына килтерергә
immediate	хәҙер үк
immediately	шул уҡ саҡта
immense	бик ҙур
impact	тәьҫир итергә
impact	йоғонто
impatient	түҙемһеҙ
implement	булдырырға
import	сит илдән индерергә
import	импорт
important	мөһим
impose	мәжбүр итергә
impossible	йонмауыҡ
impress	хайран ҡалдырырға
impression	тәьҫорат
impressive	тәьҫирле
improve	яҡшыртырға
improvement	яҡшыртыу
in addition	өҫтәүенә
In fact	Ысынбарлыҡта
in front of	алдында
in order to	өсөн
inappropriate	ярамаған
incentive	этәргес көс
incentive	ҡылғатҡыс
incident	инцидент
include	индерергә
including	шул иҫәптән
income	килем
inconvenience	уңайһыҙлыҡ
increase	арттырырға
increase	арттырыу
increased	күбәйгән
incredible	ышанмаҫлыҡ
indeed	ысынлапта
independent	бойондороҡһоҙ
India	Һиндостан
indicate	күрһәтергә
indigenous	аҫаба
individual	шәхси
industry	сәнәғәт
inevitable	ҡотолғоһоҙ
infant	яңы тыуған бала
infection	инфекция
infinity	сикһеҙлек
inflammation	шешеү
inflation	инфляция
influence	тәьҫир итергә
influence	йоғонто
inform	хәбәр итергә
information	мәғлүмәт
ingredients	ингредиенттар
inheritance	мираҫ
initial	иң тәүге
initiative	инициатива
injured	яраланған
injury	йәрәхәт
innocent	яҙыҡһыҙ
innovation	инновация
inquiry	тәфтишләү
insane	ахмаҡ
insect	бөжәк
insecure	икеләнеүсән
insert	ҡуйырға
inside	эстә
insight	башҡа уй төшөү
insist	ныҡышырға
insomnia	йоҡоһоҙлоҡ
inspiration	илһам
inspire	дәртләндерергә
install	ҡуйырға
instance	осраҡ
instant	моменталь
instead	урынында
instead of	урынына
instructions	инструкциялар
instrument	инструмент
insult	мыҫҡыл итергә
insurance	страхование
intact	тейелмәгән
integrity	бөтөнлөк
intellectual	интеллектуаль
intelligence	аҡыл
intelligence	разведка
intelligent	уҡымышлы
intend	ниәт итергә
intended	ниәтләнгән
intense	ныҡ
intention	ниәт
interact	үҙ-ара бәйләнешергә
interaction	үҙ-ара бәйләнеше
interest	мәнфәғәт
interested	ҡалаҡыҙыҡһынған
interesting	ҡыҙыҡлы
interfere	буталырға
intermediate	аралыҡ
internal	эске
international	халыҡ-ара
internship	стажировка
internship	интернатура
interpret	телдән тәржемә итергә
interpreter	телдән тәржемә итеүсе
interrupt	бүлдерергә
interview	интервью
intimate	интим
into	эскә
introduce	таныштырға
introduction	инеш
introvert	интроверт
intuition	интуиция
invalid	ғәмәлдә түгел
invent	уйлап табырға
inventory	инвентаризация
invest	аҡса һалырға
investigate	тикшереү үткәрергә
invitation	саҡырыу
invite	саҡырырға
invoice	иҫәп-фактура бирергә
invoice	иҫәп-фактура
involve	ылыҡтырырға
involved	тарттырылған
iron	тимер
iron	үтектергә
island	утрау
isolated	айырым
issue	баҫма
issue	сығарырға
issues	мәсьәләләр
it	был
it is	был
it was	булған
it's	был
it's ok	барыһы ла яҡшы
It's okay	Барыһы ла һәйбәт
item	предмет
items	предметтар
its	уның
I’m	мин
jacket	куртка
jail	төрмә
January	ғинуар
jar	банка
jaw	яңаҡ һөйәге
jealous	көнсөл
jerk	иҫәр
jerk	ҡапыл хәрәкәт
jewelry	биҙәүес
job	эш
jogging	йүгереү
join	ҡатнашырға
joint	уртаҡ
joint	быуын
joke	шаяртыу
journalist	журналист
journey	сәйәхәт
joy	шатлыҡ
judge	хөкөм итергә
judge	вәли
juice	һут
july	июль
jump	һикерергә
june	июнь
junk	иҫке-моҫҡо
just	эле генә
just	ғәҙел
just do it	эшлә лә ҡуй
justice	ғәҙеллек
justify	аҡларға
Kalaallisut	калааллисут теле
keen	дәртле
keep	һаҡларға
keep	ҡалдырырға
keep it up	артабан да шулай булһын
kept	тотҡан
kettle	сәйгүн
key	төп
key	асҡыс
kick	тибергә
kid	бала
kidding	шаяртып
kidney	бөрө
kids	балалар
kill	үлтерергә
kind	изге
kind	һәйбәт
kinda	әйтерһең дә
kindly	һөйкөмлө
kindness	изгелек
king	король
kiss	үбергә
kitchen	аш бүлмәһе
kite	осорғос
kitten	бесәй балаһы
knee	тубыҡ
knew	белгән
knife	бысаҡ
knight	рыцарь
know	белергә
knowledge	белем
known	билдәле
Konkani	конкани теле
Krio	крио теле
label	этикетка
label	этикетка һалыу
labor	хеҙмәт
labour	хеҙмәт
lack	етмәҫкә
ladder	баҫҡыс
lady	ханым
lady	леди
laid	һалынған
lake	күл
lamb	бәрәс
lame	аҡһаҡ
lamp	лампа
land	ер өҫтөнә ҡунырға
land	ил
landscape	пейзаж
language	тел
lap	итәк
large	өлкән
last	дауам итергә
last	һуңғы
last but not least	һуңғыһы, әммә мөһим
last name	фамилия
late	һуң
lately	был арала
later	һуңыраҡ
latest	иң һуңғыһы
latter	һуңғы
laugh	көлөргә
laughing	көлөү
laughter	көлкө
launch	осорорға
laundry	кер йыуыу
law	закон
lawn	газон
lawyer	юрист
lay	һалырға
layer	ҡат
layout	ойоштороу
lazy	ялҡау
lead	ҡурғаш
lead	алып барырға
leader	етәксе
leaf	япраҡ
leak	ағып кәмергә
lean	эйелергә
lean	ябыҡ
leap	ырғырға
learn	өйрәнергә
learning	өйрәнеү
lease	ҡуртымға алыу
least	иң аҙ
leather	кәжән
leave	китергә
leave	ҡалдырырға
leaves	япраҡтар
leaves	китә
led	алып килтергән
left	ҡалған
left	һулға
leg	аяҡ
legacy	мираҫ
legal	законлы
legend	легенда
legit	законға ярашлы
leisure	ял ваҡыты
lend	бурысҡа бирергә
length	оҙонлоҡ
less	аҙыраҡ
lesson	дәрес
let	бирергә
letter	хәреф
letter	хат
lettuce	салат үләне
level	кимәл
leverage	рычаг
liability	яуаплылыҡ
library	китапхана
lick	яларға
lie	ялған
lie	ятырға
lies	буш һүҙҙәр
lies	ята
life	тормош
lift	лифт
lift	мендерергә
light	ут
light	яндырырға
light	еңел
lightning	яҡтылыҡ
lightning	йәшен
like	оҡшатырға
likely	ихтимал
likewise	шулай уҡ
line	һыҙыҡ
Lingala	лингала теле
link	һылтанма
lion	арыҫлан
liquid	шыйыҡса
list	күсермә
listen	тыңларға
listening	тыңлау
literally	ысын мәғәнәһендә
literature	әҙәбиәт
litter	сүп сар
little	бәләкәй
live	тере тауыш
live	йәшәргә
liver	йәшәүсе
liver	бауыр
lives	йәшәй
lives	кешенең ғүмерҙәре
living	йәшәү
living room	ҡунаҡ бүлмәһе
lizard	кеҫәртке
load	йөк
loaf	буханка
loaf	эшһеҙ тик йөрөргә
loan	бурысҡа
local	урындағы
location	урынлашыуы
lock	бөҙрә
lock	бикләргә
lock	йоҙаҡ
lockdown	карантин
log	бүрәнә
lol	лол
lonely	яңғыҙ
long	ынтылырға
long	оҙон
long time no see	күптән күрешмәнек
look	ҡарарға
look	ҡараш
loop	элмәк
loose	көрпәк
loose	мөмкинлек бирергә
lord	хоҙай
lord	әфәнде
lose	юғалтырға
loss	юғалтыу
lost	юғалған
lot	насип
lot	күп
loud	көслө
lounge	ҡунаҡ бүлмәһе
love	яратырға
love	мөхәббәт
love you	һине яратам
lovely	йәмле
low	ләпәк
lower	түбәнерәк
loyal	тоғро
loyalty	тоғролоҡ
luck	уңыш
lucky	уңышлы
Luganda	луганда теле
luggage	багаж
lump	киҫәк
lunch	төшкө аш
lungs	үпкә
luxury	зиннәтлек
lying	ятҡан
lying	алдау
machine	машина
mad	аҡылдан яҙған
mad	уҫал
madam	мадам
made	эшләгән
magazine	магазин
magazine	журнал
magnificent	мөһабәт
maid	ҡыҙ
maid	хеҙмәтсе
main	төп
maintain	һаҡларға
maintenance	хеҙмәтләндереү
Maithili	майтхили теле
major	майор
major	бөтәһенән бигерәк
majority	күпселек
make	итергә
make up	макияж
make up	килешергә
male	ир кеше
mall	сауҙа үҙәге
man	кеше
manage	булдыра алырға
management	етәкселәр
manager	менеджер
mandatory	мәжбүри
manifest	беленергә
manipulate	хәйлә ҡорорға
manner	рәүеш
manual	инструкция
many	күп
many many happy returns of the day	был көндә иң изге теләктәремде еткерәм
march	маршта йөрөргә
march	март
margin	һаҡлам
market	баҙар
marriage	никах
married	никахта торған
mask	битлек
mass	күп кеше ҡатнашҡан
massive	сикһеҙ
master	белгес
master	әфәнде
match	шырпы
match	ҡушланырға
mate	дуҫ
material	материал
math	математика
matter	йомош
matter	әһәмиәт тоторға
maturity	өлгөргәнлек
may	май
may	мөмкин
maybe	ихтимал
me	миңә
me too	мин дә
meal	ашамлыҡ
mean	ҡарау
mean	яман
meaning	мәғәнә
means	йүн
meant	күҙ уңында тотҡан
meanwhile	шул арала
measure	үлсәргә
measures	саралар
meat	ит
medical	медицина
medicine	дарыу
medicine	медицина
meditation	медитация
medium	уртаса
meet	осрарға
meeting	осрашыу
Meiteilon	манипури теле
melt	ирергә
memories	иҫтәлектәр
memory	хәтер
mental	психик
mention	телгә алырға
mentioned	телгә алынған
mentor	остаз
merchant	сауҙагәр
mercy	шәфҡәтлелек
merely	генә
merry christmas	раштыуа байрам менән
mess	бардак
message	хәбәр
messy	иптәлмәгән
metal	металл
method	ысул
mice	сысҡандар
middle	урта
midnight	төн уртаһы
might	көс
mild	күпшек
milestone	этап
military	хәрби
milk	һөт
million	миллион
mind	аҡыл
mind	ҡаршы әйтергә
mindset	фекерләү образы
mine	минеке
mine	шахта
mingle	ҡушылырға
minor	бәлиғ булмаған
minor	икенсе дәрәжәләге
minute	минут
minutes	минуттар
miracle	мөғжизә
mirror	көҙгө
miscellaneous	төрлө
mischievous	шаян
miserable	ҡыҙғаныс
misery	ҡайғы-хәсрәт
miss	тейҙерә алмаҫҡа
miss	һағынырға
miss	ҡалдырырға
miss you	һине һағындым
missing	юғалған
mission	миссия
mist	томан
mistake	хата
Mizo	мизо теле
mobile	мобиль
mock	мыҫҡыл итергә
model	модель
moderate	уртаса
moderate	кәметергә
modern	хәҙерге
modest	баҫалҡы
moist	дымландырырға
moisture	еүешлек
mold	форма
mold	формалаштырырға
mole	миң
mom	әсәй
moment	саҡ
monday	дүшәмбе
money	аҡса
monitor	күҙәтергә
monitor	староста
monkey	маймыл
month	ай
mood	кәйеф
moody	мыжыҡ
moon	ай
moral	әхлаҡи
more	күберәк
moreover	ул ғына ла түгел
morning	иртә
mortgage	ипотека
most	күпселек
mostly	күпселек
mother	әсәй
motion	хәрәкәт
motivation	мотивация
mountain	тау
mouse	сысҡан
mouth	ауыҙ
move	ҡуҙғалырға
movement	хәрәкәт
movie	кино
mrs	миссис
much	күп
mud	бысраҡ
mug	көрөшкә
muscle	мускул
museum	музей
mushroom	бешмәк
music	музыка
must	тейеш
must	кәрәклек
mute	тауышһыҙ
mutual	үҙ-ара
my	минең
My dear	Ҡәҙерлем
my friend	дуҫым
My hovercraft is full of eels	Минең һауа карабым йыланбалыҡтар менән тулы
my love	йәнем
my name is	минең исемем
my pleasure	рәхәтләнеп
myself	үҙемде
mysterious	серле
mystery	сер
myth	миф
nail	сөй
nail	тырнаҡ
naive	бер ҡатлы
name	исем
narrative	хикәйә
narrow	тар
nasty	ерәнес
national	милли
nationality	милләт
native	туған
natural	тәбиғи
nature	тәбиғәт
nausea	күңел болғаныу
near	янында
nearby	яҡында
nearly	тиерлек
neat	ипле
necessary	кәрәк
neck	муйын
necklace	муйынсаҡ
need	мохтажлыҡ
need	кәрәк
negative	тиҫкәре
neglect	иғтибар итмәҫкә
negotiate	фекер алышырға
neighbor	күрше
neighborhood	өлөш
neither	бер ниндәй ҙә
nephew	бер туғандың улы
nerd	аҡыллы баш
nervous	ҡыҙыу
nest	оя
net	селтәр
network	селтәр
neutral	нейтраль
never	бер ҡасан да
never give up	бер ҡасан да бирешмә
never mind	мөһим түгел
nevermind	мөһим түгел
nevertheless	шулай булһа ла
new	яңы
news	яңылыҡтар
next	киләһе
next to	эргәһендә
nice	һәйбәт
nice to meet you	танышыуыма бик шатмын
niece	бер туғандың ҡыҙы
night	төн
nightmare	төнгө кошмар
nine	туғыҙ
nineteen	ун туғыҙ
ninety	туҡһан
No	Юҡ
no problem	ҡайғырма
no way	бер ни өсөн дә
nobody	бер кем дә
noise	шау
noisy	шаулы
none	бер кем дә
noon	төш
nope	юҡ
nor	ни
normal	ғәҙәти
north	төнъяҡ
nose	танау
nostalgic	ерһенмәү
not	түгел
not at all	бер нисек тә
not bad	арыу
Not now	Әле түгел
not yet	әлегә юҡ
note	иғтибар итергә
noted	билдәләнгән
nothing	бер нимә лә
notice	иғтибар итергә
noticed	күреп ҡалған
noun	исем
nouns	исемдәр
novel	роман
november	ноябрь
now	һәҙер
nowadays	беҙҙең заманда
nuisance	күңелһеҙлек
null	нуль
numb	ҡатҡанлыҡ
number	номер
number	һан
nurse	медсестра
nut	сәтләүек
nutmeg	мөшкәт
nutrition	туҡланыу
oath	ант
obesity	һимереү
obey	буйһонорға
object	объект
object	ҡаршы килергә
objective	маҡсат
objective	ғәҙел
obligation	йөкләмә
obscure	тоноҡ
observation	күҙәтеү
observe	күҙәтергә
obsessed	йынғаныҡ
obsession	мауығыу
obsolete	иҫке
obstacle	ҡаршылыҡ
obtain	ҡулға төшөрөргә
obtained	өлгәшкән
obvious	ап-асыҡ
obviously	моғайын
occasionally	ҡайһы берҙә
occupation	һөнәр
occupied	мәшғүл
occur	барлыҡҡа килергә
occurred	барлыҡҡа килгән
occurs	килеп сыға
ocean	океан
october	октябрь
odd	сәйер
odds	мөмкинлектәр
of course	әлбиттә
off	һүндерелгән
offensive	кәмһетеүле
offer	тәҡдим итергә
offer	тәҡдим
office	офис
official	вазифалы кеше
official	рәсми
often	йыш
Oh	Уф
oh really	о, шулаймы ни
oil	май
ok	ярар
ok dear	ярар, ҡәҙерлем
ok honey	ярай ҡәҙерлем минең
ok my love	ярай йөрәкәйем
okay	ярай
